	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.AO.A0JF.01A.11R.A056.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A8.A07Z.01A.11R.A00Z.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AC.A7VB.01A.11R.A352.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.AO.A12C.01A.11R.A10J.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.A2.A0SY.01A.31R.A084.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.E2.A15A.01A.11R.A12D.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.AO.A03P.01A.11R.A00Z.07	TCGA.AN.A0XW.01A.11R.A109.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.ZPU1.2326.SM.57WEP
COX6C	223512.12	152662.96	256748.15	331809.5	185362.8	158046.64	194578.47	48643.87	209994.66	69753.56	47974.16	43840.21	170568.48	105727.15	176583.6	185362.8	74760.09	110983.6	111755.56	152662.96	144427.91	111755.56	136637.07	132900.7	159145.95	201440.3	198667.0	221968.2	207103.59	128373.58	124863.17	211455.3	68793.23	355624.68	42346.82	81244.48	265802.39	195931.88	190574.09	263966.36	242898.5	51775.15	61999.83	150561.19	140478.49	144427.91	148488.36	228208.61	61999.83	202841.44	169390.27	107203.06	186652.11	229795.93	95949.32	61571.56	391864.76	193234.41	147462.67	95949.32	425853.18	59474.18	125731.67	217400.14	120609.84	164758.26	320506.81	170568.48	65535.0	205673.01	177811.84	117311.73	122293.5	55877.28	51775.15	112532.89	269512.87	174152.51	160252.91	191899.64	67377.47	152662.96	189257.69	147462.67	208544.12	45386.27	56265.94	67377.47	195931.88	194578.47	47642.77	30361.44	253213.41	180294.02	59887.86	73221.53	114897.47	437825.58	527933.71	200048.85	197294.7	184082.4	228208.61	116501.39	145432.49	20881.4	125731.67	286861.53	205673.01	180294.02	110216.97	62865.33	118949.35	15824.9	223512.12	72715.74	127486.83	124000.67	158046.64	492579.5	204252.32	114897.47	164758.26	6250.56	12329.98
DAB2	775.05	466.88	144.01	323.03	291.04	651.58	514.56	1437.15	307.69	1437.15	780.44	1540.37	228.13	476.71	214.27	256.78	723.08	423.61	493.56	167.9	327.56	299.25	255.0	660.68	125.24	248.0	848.22	199.85	438.59	638.15	1250.98	559.28	1081.39	563.18	860.08	248.0	368.65	529.06	420.68	759.08	423.61	624.99	251.48	603.67	262.2	791.35	842.36	417.77	854.13	177.53	723.08	447.82	226.54	303.44	995.0	435.55	607.87	334.46	500.46	267.73	567.1	1331.57	1111.82	400.71	95.34	435.55	759.08	178.77	808.0	248.0	507.46	447.82	281.09	1745.2	872.1	376.41	441.64	242.88	555.41	684.02	860.08	684.02	241.19	379.04	543.96	909.17	1135.2	718.08	130.6	406.31	525.39	679.29	248.0	693.58	1066.48	1617.0	1417.35	190.34	358.54	307.69	255.0	423.61	206.94	185.11	529.06	591.22	447.82	291.04	217.27	45.53	277.2	1066.48	381.68	1519.15	220.32	947.83	607.87	231.32	92.05	193.01	153.34	595.34	543.96	71.0	85.22
DACT1	195.72	72.52	97.36	114.36	128.79	189.02	232.94	376.41	86.43	723.08	249.73	356.05	86.43	199.85	39.22	53.95	325.29	52.82	64.8	28.24	85.82	45.21	66.65	66.18	10.08	55.49	181.28	31.9	24.81	157.68	536.45	122.64	373.81	38.67	155.5	26.28	147.06	132.44	149.12	205.5	19.97	123.5	40.07	316.37	46.18	358.54	202.66	93.35	206.94	55.49	555.41	127.89	73.03	37.05	748.61	175.07	100.13	81.71	285.03	30.78	108.14	860.08	314.17	60.82	21.94	98.73	312.0	82.87	244.57	88.26	152.28	58.71	37.05	514.56	312.0	59.55	120.1	43.94	163.28	135.24	277.2	218.79	77.25	82.87	384.34	204.07	194.36	237.86	3.76	153.34	167.9	256.78	39.22	142.01	303.44	866.07	503.95	43.32	156.59	108.9	67.12	115.16	44.89	45.85	92.05	303.44	106.63	132.44	28.45	1.89	70.51	460.44	151.22	329.84	82.29	356.05	92.05	44.89	27.44	18.43	8.78	37.59	287.01	0.26	28.65
DCHS1	215.77	53.19	29.91	80.57	122.64	104.42	166.73	229.72	155.5	312.0	118.43	253.23	76.17	108.9	66.18	42.11	147.06	34.02	80.57	21.63	125.24	178.77	334.46	56.68	17.51	76.71	154.42	28.86	45.53	103.69	97.36	94.01	197.09	24.11	127.0	53.57	229.72	65.26	57.08	60.82	102.97	154.42	34.02	90.77	42.41	234.57	291.04	103.69	120.1	48.87	165.57	139.07	57.08	70.51	249.73	80.57	74.58	48.87	122.64	56.28	88.26	414.87	172.65	127.89	40.93	74.58	183.82	80.01	212.78	67.12	172.65	63.89	53.57	241.19	253.23	50.98	36.27	51.35	77.79	67.12	164.42	94.67	31.0	101.54	105.89	104.42	236.21	67.12	22.92	64.8	183.82	211.31	67.59	100.83	164.42	139.07	271.48	99.43	146.03	67.12	69.03	47.5	36.27	100.83	63.0	202.66	115.16	70.51	58.3	54.33	53.95	153.34	138.1	135.24	75.11	83.45	137.14	112.77	37.32	17.77	14.03	95.34	96.68	0.16	18.03
DDR2	312.0	96.68	85.82	74.58	58.3	164.42	224.97	674.59	72.01	575.03	236.21	665.29	63.0	104.42	53.19	55.1	215.77	105.89	80.57	54.33	116.78	56.68	79.45	44.57	13.72	76.71	320.8	84.04	39.5	155.5	264.03	104.42	341.51	33.3	249.73	54.72	104.42	94.01	154.42	152.28	47.17	237.86	40.36	131.51	38.67	334.46	295.11	123.5	229.72	49.91	215.77	153.34	49.56	29.48	358.54	169.07	199.85	67.12	256.78	53.57	164.42	693.58	409.15	68.55	42.11	157.68	307.69	93.35	217.27	86.43	187.71	52.08	39.5	616.37	368.65	71.0	177.53	115.16	234.57	88.26	400.71	234.57	54.33	151.22	124.37	220.32	638.15	237.86	8.32	110.43	190.34	312.0	44.57	189.02	295.11	532.74	348.71	61.68	101.54	110.43	92.7	102.25	28.04	36.27	118.43	215.77	164.42	115.97	50.27	7.69	82.29	320.8	111.99	387.02	131.51	312.0	169.07	49.56	32.36	22.75	17.64	114.36	185.11	2.39	45.85
DISC1	26.1	34.75	14.35	16.75	14.89	28.86	18.43	57.08	15.0	45.21	21.63	63.45	14.67	26.1	9.56	11.3	27.84	18.03	28.24	20.86	22.26	17.38	15.11	21.32	4.28	22.75	57.08	9.34	23.25	26.67	23.59	23.42	25.17	27.64	40.64	11.64	11.64	11.73	18.84	22.92	11.3	32.13	9.13	24.11	11.04	38.12	37.85	21.32	58.3	18.56	25.91	21.47	11.21	15.0	35.0	18.97	44.57	11.47	16.27	14.03	16.88	42.71	33.3	16.15	12.18	20.11	18.84	10.16	30.56	12.93	18.97	30.34	20.56	52.08	27.84	13.42	22.75	11.82	19.68	16.27	44.89	26.86	8.38	26.86	15.0	26.67	65.72	25.72	5.82	14.35	21.47	27.25	11.64	27.25	37.05	43.02	33.3	14.35	12.27	15.22	22.59	19.39	8.45	9.2	32.13	23.42	15.0	12.09	11.3	3.23	15.68	35.25	11.21	49.21	11.38	29.7	21.32	7.88	10.24	7.51	10.16	16.75	25.54	20.71	7.34
DZIP1	126.12	31.67	26.47	46.5	29.91	52.08	71.5	169.07	31.9	305.55	74.58	114.36	33.78	73.03	22.1	27.44	113.56	34.75	47.84	17.38	68.07	20.11	46.18	37.59	4.82	41.52	139.07	32.36	20.11	72.01	159.9	64.8	149.12	20.71	92.05	15.22	53.57	59.55	73.03	79.45	11.91	59.55	17.13	63.0	13.62	102.25	122.64	44.57	68.07	40.07	98.73	48.52	61.68	23.93	180.02	87.65	69.03	43.94	102.97	18.56	55.1	211.31	151.22	40.07	9.34	45.21	154.42	46.18	139.07	33.78	80.57	27.84	38.95	148.09	133.36	28.65	53.95	22.26	73.54	73.54	154.42	63.45	24.63	58.71	100.83	92.05	125.24	76.17	16.03	59.13	58.71	92.7	19.25	71.0	138.1	332.14	159.9	35.5	55.1	51.35	30.34	121.79	24.46	28.04	35.0	90.14	39.22	52.08	17.77	3.44	30.34	152.28	97.36	85.82	56.28	99.43	75.64	40.07	39.5	15.22	5.02	21.94	151.22	0.33	20.56
ECM2	289.02	197.09	135.24	127.89	89.51	178.77	224.97	1008.9	106.63	1359.57	208.38	974.5	87.03	189.02	88.26	120.1	334.46	158.79	78.34	35.76	232.94	91.41	127.89	101.54	16.03	100.13	432.53	124.37	131.51	283.05	813.63	118.43	575.03	71.5	373.81	28.24	124.37	108.14	353.59	297.17	58.71	486.75	72.52	264.03	84.63	341.51	384.34	91.41	571.05	76.17	638.15	149.12	59.13	92.7	603.67	218.79	199.85	144.01	599.49	64.8	205.5	1268.46	583.07	129.69	65.26	195.72	291.04	57.08	529.06	86.43	356.05	122.64	58.71	941.27	679.29	117.6	414.87	142.01	366.09	158.79	486.75	384.34	113.56	170.25	339.14	429.54	961.07	361.04	13.42	138.1	220.32	218.79	51.71	283.05	567.1	2224.63	1001.93	156.59	199.85	237.86	158.79	285.03	88.88	52.45	157.68	251.48	212.78	149.12	53.95	7.69	151.22	954.43	100.83	500.46	127.89	312.0	99.43	78.34	35.25	43.02	3.86	146.03	291.04	40.07	53.95
ENTPD1	693.58	283.05	242.88	329.84	198.47	353.59	283.05	941.27	346.29	1781.89	507.46	1008.9	316.37	269.6	212.78	176.29	327.56	334.46	432.53	138.1	620.67	217.27	264.03	353.59	123.5	323.03	954.43	242.88	343.89	563.18	511.0	353.59	536.45	379.04	607.87	241.19	262.2	309.83	279.14	329.84	191.67	665.29	126.12	429.54	173.85	775.05	595.34	366.09	665.29	178.77	579.04	289.02	285.03	191.67	753.83	379.04	473.41	176.29	339.14	271.48	343.89	656.11	860.08	329.84	92.05	387.02	591.22	255.0	521.76	234.57	507.46	435.55	269.6	947.83	1111.82	211.31	543.96	248.0	265.87	466.88	480.04	435.55	132.44	395.18	256.78	486.75	759.08	275.28	134.3	260.38	435.55	733.19	189.02	571.05	575.03	1216.75	718.08	190.34	392.44	273.37	201.25	432.53	133.36	122.64	450.94	665.29	435.55	303.44	120.1	43.32	759.08	934.76	237.86	599.49	251.48	423.61	271.48	183.82	125.24	154.42	57.08	281.09	507.46	127.89	105.15
FAM26E	33.54	17.77	15.34	26.47	16.27	30.34	41.22	98.73	20.11	120.1	59.97	103.69	14.78	33.3	7.34	13.42	61.68	18.7	21.32	7.06	22.59	9.27	18.43	17.38	4.7	15.68	42.11	9.13	9.34	37.59	85.82	21.16	69.52	12.74	34.26	9.34	26.28	24.99	36.01	36.01	10.16	31.22	7.82	28.45	11.91	56.68	60.82	19.25	65.72	13.22	72.01	34.02	11.91	9.7	95.34	34.02	31.22	19.11	58.3	7.75	29.91	141.02	77.25	22.75	6.62	27.84	63.0	18.84	65.26	13.42	39.5	16.27	18.43	141.02	67.12	12.93	36.79	16.63	30.56	22.92	78.34	53.19	15.22	21.94	42.71	53.95	65.26	50.63	4.78	28.24	38.12	43.32	8.99	29.48	80.57	183.82	90.77	8.38	40.64	23.76	23.25	23.93	7.11	9.63	24.28	41.22	35.5	27.05	24.81	0.61	23.42	88.26	29.7	69.03	17.0	81.14	27.44	14.14	5.59	5.02	0.62	13.93	39.22	1.35	3.72
FAM49A	141.02	66.18	52.08	58.71	67.59	68.55	65.72	215.77	47.84	175.07	88.26	208.38	70.51	80.57	51.35	44.25	81.71	70.01	138.1	57.49	59.55	31.9	31.67	65.26	17.38	35.0	223.41	35.0	35.5	57.89	131.51	87.65	80.57	50.27	129.69	44.89	34.02	34.26	58.3	80.57	25.17	105.89	19.97	74.58	30.12	86.43	138.1	57.89	122.64	25.17	78.89	53.19	34.51	28.65	67.12	64.34	100.83	56.28	70.51	54.33	75.11	118.43	110.43	49.21	27.44	49.21	73.03	34.51	77.25	53.57	51.35	47.84	35.25	287.01	80.01	31.45	68.07	37.59	81.14	107.38	113.56	96.68	31.0	43.63	60.82	123.5	234.57	114.36	14.78	52.82	90.14	107.38	31.67	131.51	96.01	177.53	114.36	29.7	43.63	45.85	47.5	71.5	22.75	39.22	56.68	88.88	50.63	41.52	21.47	5.41	42.41	148.09	44.57	185.11	28.65	125.24	64.8	18.7	14.78	47.17	10.55	83.45	81.71	9.7	28.24
FAP	1135.2	414.87	138.1	473.41	432.53	1001.93	1250.98	2075.59	599.49	4123.49	1350.18	1721.16	417.77	1242.34	432.53	389.72	1819.35	334.46	665.29	172.65	497.0	91.41	441.64	559.28	66.65	356.05	1030.12	221.86	201.25	647.07	2502.97	665.29	2271.4	297.17	660.68	343.89	651.58	866.07	1059.11	1662.49	105.89	607.87	101.54	642.59	283.05	1757.34	1259.69	819.3	1572.76	316.37	1477.58	1081.39	612.11	299.25	3303.0	967.76	638.15	624.99	1674.06	171.45	791.35	3540.14	2758.13	529.06	66.65	466.88	2400.97	381.68	1651.0	327.56	1167.14	297.17	193.01	3349.13	2468.49	441.64	825.0	249.73	1199.98	872.1	1857.6	1111.82	457.25	507.46	1551.09	1151.06	1015.93	866.07	38.95	961.07	1151.06	1322.37	208.38	878.17	1733.13	4038.61	1963.57	175.07	1208.34	417.77	279.14	536.45	332.14	193.01	384.34	1295.13	909.17	928.3	19.82	29.7	444.72	2224.63	1183.45	1508.65	409.15	1191.69	679.29	441.64	127.0	86.43	81.14	185.11	1135.2	14.56	23.93
FGF7	149.12	118.43	16.51	94.01	35.5	153.34	127.0	595.34	80.57	336.79	169.07	878.17	97.36	109.66	55.89	75.64	171.45	29.27	64.34	29.48	114.36	23.59	42.71	223.41	2.61	47.5	299.25	31.22	129.69	71.5	543.96	177.53	273.37	134.3	246.28	11.64	102.25	67.12	253.23	212.78	8.25	120.94	28.45	129.69	19.53	241.19	387.02	69.52	135.24	24.81	435.55	66.65	38.67	63.0	273.37	170.25	234.57	126.12	140.04	41.81	102.97	595.34	181.28	55.89	10.0	157.68	182.55	38.12	514.56	127.0	140.04	50.98	24.81	312.0	239.52	37.59	142.01	87.65	289.02	228.13	403.5	164.42	33.78	129.69	190.34	371.22	438.59	507.46	10.79	40.93	94.01	176.29	6.57	332.14	450.94	1322.37	473.41	32.13	81.14	69.03	31.67	199.85	49.56	68.07	107.38	161.02	38.12	60.39	0.73	3.11	90.14	339.14	52.08	476.71	28.65	387.02	249.73	146.03	6.78	13.12	2.86	96.68	112.77	6.06	35.76
FKBP9	1991.0	890.44	909.17	954.43	934.76	1572.76	2178.83	2240.11	1322.37	4181.07	1225.22	2335.28	616.37	1015.93	860.08	802.41	1883.54	1151.06	1008.9	607.87	1870.53	878.17	1151.06	1104.13	366.09	1286.18	1477.58	1119.56	1175.27	1457.23	3103.19	1119.56	2384.37	836.53	1378.57	698.41	1030.12	995.0	1508.65	1427.22	860.08	1674.06	780.44	1457.23	1304.15	1721.16	1857.6	2148.82	1883.54	941.27	2178.83	1447.15	1674.06	1498.22	2720.15	1662.49	1295.13	1191.69	1709.26	660.68	1143.1	4736.79	2537.92	1233.75	1167.14	1397.83	2163.77	1427.22	2537.92	1175.27	1857.6	713.11	902.89	2627.46	2627.46	1175.27	1023.0	1066.48	1457.23	1066.48	2434.5	1498.22	1378.57	1561.89	1259.69	1721.16	2178.83	1844.76	830.75	1437.15	1662.49	1733.13	1199.98	1242.34	2434.5	4298.64	3515.68	785.88	1617.0	961.07	813.63	981.29	780.44	961.07	1313.23	2287.2	1540.37	1388.16	830.75	1111.82	902.89	2319.15	1225.22	1936.53	1167.14	1844.76	1225.22	1745.2	836.53	1008.9	688.78	808.0	1477.58	674.59	441.64
FOXF2	96.01	10.96	30.56	23.25	13.32	44.57	40.07	118.43	31.45	146.03	34.26	63.45	28.24	52.45	32.82	18.97	66.65	22.1	34.75	7.94	33.54	10.31	22.26	17.77	2.63	23.93	57.89	25.91	6.06	33.78	112.77	37.05	43.02	8.71	42.41	15.56	23.93	45.53	10.79	41.22	3.89	48.87	10.79	19.82	16.39	113.56	80.57	37.85	41.81	22.92	63.89	27.44	36.27	11.73	46.5	36.79	34.26	24.63	44.89	11.64	32.36	115.16	80.57	28.65	7.82	35.76	141.02	15.11	113.56	16.63	29.48	21.32	5.32	62.56	113.56	21.94	13.03	17.13	48.52	49.21	65.26	45.53	13.83	34.26	36.01	42.11	78.34	21.16	5.54	31.22	50.27	61.68	5.63	52.82	53.19	121.79	114.36	72.01	36.53	32.13	36.79	47.5	8.65	9.78	12.83	49.91	23.76	65.72	6.26	1.95	18.84	87.65	62.56	36.53	33.54	35.0	8.85	13.62	12.27	8.0	3.82	10.39	37.32	13.32	14.78
GIT2	395.18	429.54	307.69	329.84	239.52	363.56	366.09	587.13	417.77	567.1	447.82	507.46	289.02	389.72	307.69	236.21	420.68	348.71	476.71	253.23	450.94	299.25	353.59	281.09	209.84	329.84	665.29	318.57	361.04	536.45	493.56	420.68	438.59	371.22	511.0	389.72	457.25	297.17	366.09	356.05	339.14	540.19	151.22	368.65	255.0	483.38	503.95	395.18	559.28	363.56	392.44	480.04	339.14	327.56	368.65	457.25	420.68	262.2	409.15	373.81	406.31	547.75	529.06	356.05	297.17	379.04	343.89	323.03	412.0	336.79	346.29	435.55	371.22	514.56	432.53	356.05	387.02	373.81	307.69	353.59	511.0	351.14	329.84	332.14	334.46	361.04	521.76	470.14	202.66	438.59	414.87	603.67	236.21	438.59	540.19	438.59	503.95	392.44	373.81	470.14	423.61	403.5	271.48	242.88	384.34	575.03	332.14	389.72	291.04	381.68	291.04	551.56	409.15	536.45	348.71	518.15	500.46	275.28	368.65	346.29	281.09	361.04	351.14	248.0	194.36
GLT8D2	450.94	152.28	37.85	157.68	116.78	246.28	384.34	961.07	131.51	1977.24	435.55	780.44	143.01	316.37	90.14	145.02	629.35	111.99	197.09	23.59	169.07	45.21	152.28	119.26	14.24	176.29	420.68	81.14	116.78	316.37	1199.98	212.78	941.27	138.1	262.2	77.25	208.38	201.25	412.0	500.46	26.67	325.29	28.45	450.94	118.43	454.09	500.46	161.02	624.99	114.36	954.43	332.14	185.11	143.01	1369.04	299.25	248.0	177.53	791.35	36.53	234.57	1883.54	902.89	198.47	27.64	186.4	656.11	89.51	802.41	81.71	395.18	75.11	43.63	1467.37	1044.52	139.07	156.59	82.29	316.37	285.03	723.08	384.34	171.45	289.02	559.28	353.59	503.95	332.14	24.81	334.46	353.59	450.94	53.57	297.17	759.08	2537.92	1096.5	92.05	368.65	152.28	97.36	629.35	124.37	67.59	157.68	521.76	253.23	226.54	15.45	7.11	164.42	1175.27	414.87	529.06	143.01	460.44	237.86	151.22	52.45	35.25	17.77	80.57	624.99	31.67	27.05
HEG1	450.94	363.56	180.02	258.57	220.32	356.05	447.82	1096.5	246.28	1143.1	336.79	1467.37	120.94	255.0	96.01	133.36	555.41	181.28	195.72	71.0	529.06	155.5	277.2	194.36	22.59	224.97	647.07	197.09	155.5	450.94	476.71	379.04	551.56	105.15	587.13	137.14	441.64	205.5	248.0	273.37	157.68	536.45	119.26	312.0	62.56	921.88	802.41	466.88	583.07	150.17	490.14	312.0	104.42	91.41	684.02	376.41	579.04	121.79	412.0	110.43	246.28	1183.45	780.44	208.38	116.78	463.65	555.41	191.67	493.56	305.55	438.59	202.66	133.36	1159.07	733.19	194.36	476.71	231.32	246.28	195.72	878.17	521.76	149.12	363.56	283.05	417.77	961.07	429.54	53.95	231.32	348.71	551.56	123.5	540.19	647.07	878.17	813.63	164.42	249.73	209.84	256.78	185.11	70.51	131.51	435.55	536.45	264.03	229.72	82.29	41.52	185.11	753.83	256.78	921.88	228.13	616.37	435.55	92.05	66.18	128.79	26.1	334.46	277.2	303.44	246.28
KCTD12	559.28	277.2	105.89	164.42	215.77	351.14	332.14	1639.59	267.73	759.08	403.5	1781.89	176.29	255.0	146.03	221.86	318.57	366.09	301.33	105.89	775.05	234.57	253.23	536.45	60.39	258.57	934.76	264.03	312.0	379.04	624.99	438.59	656.11	361.04	759.08	178.77	217.27	116.78	486.75	638.15	92.7	723.08	67.59	343.89	150.17	674.59	651.58	366.09	1073.91	118.43	497.0	332.14	170.25	187.71	679.29	231.32	463.65	234.57	343.89	156.59	343.89	1081.39	674.59	267.73	48.52	244.57	429.54	193.01	647.07	316.37	490.14	480.04	150.17	1378.57	532.74	343.89	303.44	208.38	679.29	341.51	674.59	384.34	145.02	289.02	301.33	836.53	1104.13	518.15	95.34	283.05	376.41	470.14	149.12	679.29	791.35	607.87	684.02	131.51	351.14	273.37	148.09	473.41	112.77	85.82	547.75	460.44	497.0	223.41	59.13	27.44	186.4	854.13	223.41	1159.07	199.85	518.15	387.02	157.68	77.25	87.65	85.22	348.71	314.17	75.11	124.37
KIAA1462	246.28	205.5	73.54	255.0	139.07	221.86	275.28	669.92	224.97	791.35	281.09	559.28	123.5	346.29	86.43	72.01	348.71	120.1	145.02	111.21	518.15	144.01	249.73	143.01	63.45	201.25	234.57	104.42	169.07	277.2	387.02	189.02	466.88	101.54	329.84	151.22	156.59	186.4	239.52	301.33	138.1	420.68	115.97	195.72	115.16	536.45	438.59	220.32	412.0	156.59	334.46	194.36	170.25	94.01	400.71	251.48	249.73	152.28	307.69	49.21	208.38	728.11	412.0	175.07	106.63	191.67	283.05	151.22	303.44	108.9	297.17	299.25	195.72	559.28	351.14	148.09	241.19	145.02	241.19	209.84	450.94	336.79	119.26	237.86	301.33	264.03	559.28	281.09	40.07	209.84	269.6	214.27	116.78	314.17	371.22	802.41	435.55	131.51	194.36	148.09	202.66	181.28	115.16	138.1	223.41	199.85	173.85	264.03	66.65	17.13	187.71	334.46	166.73	356.05	173.85	295.11	226.54	122.64	69.03	103.69	19.11	246.28	299.25	24.99	36.01
LAMA4	791.35	559.28	346.29	525.39	299.25	616.37	830.75	1617.0	591.22	2018.8	775.05	1487.87	403.5	775.05	253.23	204.07	1159.07	336.79	305.55	178.77	518.15	212.78	429.54	314.17	101.54	283.05	599.49	206.94	423.61	567.1	1216.75	490.14	974.5	189.02	759.08	301.33	363.56	376.41	536.45	607.87	358.54	808.0	249.73	503.95	191.67	1259.69	791.35	447.82	947.83	249.73	836.53	629.35	287.01	172.65	981.29	674.59	518.15	387.02	693.58	127.0	429.54	1437.15	1191.69	275.28	267.73	563.18	1051.79	358.54	693.58	229.72	748.61	289.02	466.88	1519.15	1259.69	267.73	624.99	318.57	890.44	343.89	1199.98	954.43	232.94	595.34	743.43	587.13	1437.15	679.29	162.14	366.09	656.11	669.92	301.33	583.07	878.17	1950.0	1199.98	299.25	571.05	356.05	447.82	265.87	241.19	389.72	454.09	532.74	412.0	511.0	591.22	23.93	454.09	941.27	447.82	909.17	387.02	928.3	497.0	170.25	138.1	150.17	44.25	400.71	860.08	18.16	108.9
