	GTEX.139TS.2226.SM.5J2N1	GTEX.Z93S.2626.SM.57WBX	GTEX.11EI6.2626.SM.5PNVT	GTEX.132NY.2026.SM.5L3FM	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.ZTX8.1026.SM.5EGHD	TCGA.E8.A3X7.01A.11R.A22U.07	GTEX.WI4N.2426.SM.4OOSC
C5orf15	595.34	575.03	698.41	642.59	329.84	420.68	723.08	813.63	1662.49	647.07	1561.89	1127.35	1769.57	1242.34	1378.57	1617.0	1111.82	1605.83	947.83	1104.13	836.53	1286.18	1662.49	884.29	808.0	1023.0	1417.35	1359.57	1583.71	1277.29	1277.29	1216.75	579.04	785.88	1617.0	1583.71	1277.29	902.89	1457.23	974.5	988.12	866.07	872.1	1259.69	1233.75	728.11	1477.58	1008.9	1651.0	854.13	1151.06	1175.27	1015.93	941.27	743.43	896.64	1096.5	967.76	1427.22	974.5	1322.37	934.76	1023.0	941.27	769.69	808.0	620.67
CAAP1	221.86	244.57	223.41	136.19	111.21	176.29	130.6	348.71	454.09	212.78	429.54	265.87	463.65	318.57	358.54	312.0	341.51	490.14	299.25	293.07	248.0	358.54	438.59	262.2	198.47	297.17	454.09	412.0	457.25	414.87	368.65	343.89	231.32	248.0	358.54	429.54	361.04	251.48	429.54	323.03	295.11	264.03	271.48	363.56	299.25	187.71	309.83	253.23	366.09	214.27	325.29	327.56	314.17	262.2	212.78	406.31	373.81	351.14	480.04	295.11	285.03	303.44	267.73	205.5	241.19	199.85	96.01
CCNJ	33.06	52.08	35.5	34.26	33.06	19.25	8.0	98.73	105.15	70.01	113.56	76.71	125.24	96.01	162.14	98.73	91.41	130.6	96.01	78.89	77.79	144.01	156.59	98.73	60.82	80.01	119.26	102.25	150.17	86.43	112.77	59.55	51.71	53.19	127.89	114.36	125.24	88.88	166.73	64.34	54.72	76.71	98.73	86.43	52.82	46.18	43.63	50.27	82.29	38.12	63.0	60.39	82.87	76.17	48.52	63.45	85.82	72.52	52.08	42.41	69.03	82.29	77.79	23.25	48.52	30.78	21.94
CCT5	1757.34	1628.26	2018.8	1331.57	1407.55	1216.75	1388.16	3564.78	3124.78	2032.85	3168.41	2875.3	3665.02	3190.46	3794.3	3103.19	3901.01	3540.14	2915.45	2997.45	2319.15	3874.05	3768.09	2133.97	2240.11	2367.9	3614.55	2855.44	3982.99	2555.58	2835.7	3614.55	2104.58	2303.12	3794.3	3325.99	3257.52	2664.15	3874.05	2367.9	2287.2	2915.45	2485.67	2555.58	2627.46	1857.6	3039.3	2537.92	2502.97	2119.22	2796.65	2224.63	2287.2	2351.53	1781.89	2434.5	3372.43	2335.28	3280.18	2193.99	2915.45	2032.85	2434.5	1417.35	2555.58	2047.0	1519.15
CHAMP1	134.3	124.37	128.79	183.82	126.12	147.06	120.1	376.41	293.07	158.79	412.0	336.79	289.02	269.6	438.59	409.15	368.65	457.25	176.29	255.0	236.21	277.2	414.87	275.28	279.14	312.0	426.57	785.88	387.02	420.68	435.55	269.6	215.77	258.57	368.65	387.02	460.44	305.55	450.94	325.29	287.01	348.71	297.17	327.56	251.48	214.27	275.28	281.09	269.6	332.14	409.15	299.25	438.59	277.2	307.69	320.8	366.09	348.71	303.44	241.19	366.09	336.79	299.25	204.07	341.51	173.85	93.35
CPD	147.06	197.09	164.42	172.65	154.42	260.38	275.28	371.22	921.88	260.38	1572.76	551.56	1268.46	728.11	1023.0	836.53	1159.07	1081.39	480.04	476.71	395.18	1216.75	1322.37	336.79	373.81	444.72	954.43	866.07	1304.15	748.61	866.07	759.08	414.87	314.17	1001.93	1487.87	866.07	412.0	884.29	356.05	532.74	358.54	400.71	791.35	571.05	312.0	293.07	493.56	444.72	406.31	620.67	466.88	587.13	409.15	356.05	595.34	603.67	358.54	579.04	351.14	514.56	518.15	397.93	387.02	543.96	387.02	191.67
CPNE3	426.57	339.14	457.25	532.74	348.71	483.38	351.14	890.44	1583.71	718.08	2209.26	796.86	1769.57	902.89	1529.73	1111.82	1806.78	1769.57	866.07	961.07	896.64	1467.37	1674.06	941.27	684.02	981.29	1369.04	1651.0	1819.35	1540.37	1417.35	825.0	1216.75	796.86	1175.27	1529.73	1487.87	785.88	1167.14	775.05	934.76	753.83	674.59	1617.0	1304.15	753.83	1721.16	738.29	1551.09	836.53	1183.45	854.13	1081.39	866.07	748.61	1407.55	1407.55	1081.39	1225.22	819.3	1081.39	3349.13	1250.98	934.76	1030.12	353.59	237.86
CPSF6	514.56	559.28	563.18	466.88	412.0	547.75	232.94	896.64	890.44	599.49	909.17	679.29	890.44	688.78	769.69	921.88	878.17	988.12	738.29	775.05	698.41	836.53	896.64	684.02	518.15	698.41	854.13	921.88	928.3	713.11	896.64	698.41	532.74	647.07	988.12	890.44	836.53	674.59	1015.93	567.1	612.11	674.59	708.18	738.29	532.74	563.18	447.82	591.22	490.14	612.11	656.11	651.58	651.58	595.34	483.38	642.59	748.61	579.04	723.08	486.75	587.13	785.88	638.15	441.64	483.38	642.59	454.09
CSNK1A1	981.29	1651.0	1388.16	1175.27	934.76	1340.84	420.68	2417.67	4181.07	1674.06	3928.15	2367.9	4010.71	2537.92	3794.3	3349.13	3168.41	3515.68	2915.45	2935.74	2468.49	3928.15	4038.61	2520.38	2104.58	2777.33	3540.14	5479.15	3847.29	4095.0	5076.84	2133.97	1721.16	1950.0	3665.02	3901.01	3874.05	2178.83	4038.61	1936.53	2664.15	2367.9	1709.26	3491.39	3372.43	1745.2	2855.44	2319.15	3491.39	2573.36	3820.7	3847.29	2720.15	2895.31	2224.63	3081.75	3443.31	3190.46	3665.02	2303.12	3955.48	3443.31	2384.37	1721.16	2976.74	1073.91	1397.83
CSNK2A1	466.88	507.46	647.07	503.95	384.34	647.07	312.0	813.63	1208.34	647.07	1498.22	638.15	1001.93	909.17	1208.34	1208.34	1037.29	1487.87	651.58	884.29	753.83	1322.37	1388.16	743.43	679.29	921.88	1096.5	1295.13	1583.71	947.83	928.3	854.13	529.06	660.68	1119.56	1159.07	1259.69	723.08	1313.23	743.43	796.86	665.29	599.49	1088.92	890.44	647.07	616.37	651.58	769.69	688.78	941.27	921.88	884.29	796.86	651.58	921.88	1388.16	947.83	1259.69	753.83	1127.35	921.88	808.0	599.49	860.08	454.09	447.82
CSTF1	209.84	279.14	197.09	244.57	173.85	164.42	366.09	497.0	567.1	336.79	616.37	616.37	728.11	525.39	624.99	607.87	612.11	579.04	571.05	624.99	525.39	748.61	612.11	521.76	540.19	473.41	688.78	693.58	669.92	620.67	612.11	563.18	363.56	503.95	612.11	647.07	624.99	507.46	842.36	547.75	529.06	529.06	540.19	555.41	620.67	341.51	497.0	567.1	587.13	457.25	665.29	500.46	486.75	507.46	497.0	642.59	703.28	595.34	591.22	466.88	571.05	571.05	511.0	395.18	447.82	273.37	135.24
CSTF2T	147.06	190.34	154.42	157.68	104.42	114.36	134.3	320.8	353.59	241.19	429.54	353.59	454.09	368.65	409.15	361.04	334.46	423.61	336.79	361.04	316.37	373.81	395.18	363.56	329.84	351.14	400.71	414.87	255.0	423.61	518.15	309.83	232.94	301.33	351.14	420.68	444.72	336.79	447.82	314.17	343.89	293.07	353.59	397.93	316.37	248.0	244.57	336.79	343.89	316.37	387.02	363.56	406.31	314.17	299.25	346.29	435.55	406.31	379.04	287.01	450.94	381.68	348.71	258.57	423.61	156.59	171.45
CTR9	255.0	234.57	217.27	269.6	166.73	166.73	182.55	423.61	629.35	318.57	665.29	426.57	674.59	555.41	656.11	620.67	575.03	674.59	483.38	521.76	406.31	665.29	703.28	420.68	356.05	466.88	603.67	796.86	713.11	567.1	607.87	507.46	327.56	358.54	571.05	555.41	603.67	412.0	616.37	412.0	457.25	414.87	387.02	624.99	457.25	325.29	299.25	387.02	389.72	392.44	567.1	518.15	486.75	441.64	323.03	476.71	540.19	536.45	633.73	371.22	595.34	529.06	490.14	358.54	457.25	285.03	171.45
CYFIP1	995.0	842.36	915.51	703.28	612.11	525.39	476.71	1250.98	1594.73	974.5	1757.34	1304.15	1963.57	1561.89	2468.49	1991.0	2240.11	1844.76	1322.37	2032.85	1199.98	2004.85	2367.9	1127.35	1143.1	1167.14	1936.53	1909.85	1950.0	1519.15	1794.29	1477.58	974.5	1015.93	2319.15	1709.26	1662.49	1023.0	1594.73	1250.98	1277.29	1096.5	1268.46	1540.37	1498.22	785.88	1015.93	1073.91	1030.12	1250.98	2090.03	1757.34	1259.69	1081.39	1167.14	1806.78	1709.26	1594.73	1697.45	1628.26	1950.0	2004.85	1561.89	921.88	1467.37	743.43	775.05
DCAF12	384.34	395.18	363.56	273.37	194.36	182.55	251.48	480.04	713.11	371.22	693.58	466.88	660.68	591.22	688.78	660.68	708.18	780.44	473.41	529.06	403.5	599.49	743.43	493.56	412.0	435.55	679.29	813.63	708.18	532.74	525.39	563.18	426.57	381.68	753.83	674.59	607.87	447.82	738.29	460.44	447.82	441.64	368.65	551.56	507.46	336.79	500.46	441.64	543.96	376.41	543.96	493.56	514.56	438.59	466.88	567.1	607.87	543.96	633.73	429.54	480.04	514.56	476.71	371.22	518.15	206.94	181.28
DCAF13	189.02	215.77	229.72	251.48	218.79	182.55	127.89	567.1	599.49	332.14	703.28	414.87	514.56	532.74	497.0	457.25	536.45	587.13	435.55	384.34	356.05	497.0	660.68	361.04	275.28	432.53	529.06	525.39	620.67	493.56	409.15	406.31	633.73	397.93	529.06	595.34	493.56	373.81	738.29	314.17	329.84	414.87	366.09	417.77	392.44	246.28	480.04	320.8	555.41	275.28	318.57	287.01	373.81	339.14	241.19	420.68	543.96	329.84	536.45	271.48	463.65	307.69	320.8	201.25	379.04	251.48	217.27
DCAF16	185.11	206.94	228.13	223.41	191.67	329.84	32.82	351.14	583.07	251.48	450.94	361.04	414.87	403.5	532.74	518.15	414.87	651.58	351.14	381.68	318.57	473.41	599.49	371.22	314.17	389.72	356.05	543.96	435.55	414.87	397.93	329.84	239.52	289.02	551.56	483.38	409.15	299.25	567.1	299.25	299.25	283.05	264.03	450.94	395.18	301.33	279.14	237.86	395.18	283.05	429.54	363.56	381.68	325.29	334.46	429.54	454.09	403.5	426.57	206.94	353.59	543.96	327.56	212.78	279.14	121.79	186.4
DCAF7	403.5	438.59	384.34	368.65	329.84	285.03	287.01	665.29	1081.39	521.76	1340.84	738.29	1167.14	878.17	1447.15	1199.98	1051.79	1111.82	708.18	825.0	629.35	1427.22	1208.34	708.18	698.41	693.58	1096.5	1498.22	1208.34	819.3	909.17	780.44	414.87	543.96	1369.04	1088.92	1119.56	656.11	1096.5	665.29	642.59	571.05	624.99	1044.52	813.63	629.35	454.09	669.92	669.92	679.29	941.27	941.27	780.44	603.67	660.68	872.1	1037.29	830.75	1066.48	629.35	1001.93	961.07	860.08	642.59	934.76	381.68	273.37
