	TCGA.BC.A110.01A.11R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5518.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5752.01A.11R.1580.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
IL17RA	96.01	68.55	69.03	186.4	186.4	78.89	89.51	208.38	221.86	116.78	143.01	90.77	147.06	215.77	118.43	119.26	154.42	244.57	92.05	157.68	249.73	130.6	124.37	150.17	176.29	85.22	164.42	149.12	198.47	125.24	141.02	125.24	126.12	163.28	145.02	129.69	126.12	165.57	161.02	49.21	125.24	170.25	121.79	117.6	98.73	114.36	107.38	112.77	186.4	102.97	108.14	77.79	118.43	54.72	109.66	248.0	161.02	130.6	104.42	163.28	141.02	100.83	141.02	147.06	82.29	123.5	172.65	129.69	101.54	211.31	189.02	176.29	146.03	159.9	150.17	177.53	133.36	150.17	175.07	198.47	137.14	129.69	162.14	98.04	155.5	125.24	226.54	128.79	115.16	291.04	175.07	244.57	100.13	114.36	248.0	195.72	121.79	135.24	197.09	211.31	117.6	154.42	186.4	175.07	201.25	180.02	88.88	231.32	106.63	118.43	110.43	149.12	199.85	141.02	125.24	162.14	117.6	58.3	163.28	136.19	107.38
IP6K1	182.55	241.19	151.22	728.11	567.1	473.41	381.68	902.89	624.99	503.95	718.08	432.53	651.58	642.59	493.56	483.38	463.65	674.59	389.72	426.57	660.68	426.57	571.05	490.14	633.73	334.46	555.41	693.58	500.46	358.54	521.76	423.61	457.25	567.1	450.94	473.41	457.25	438.59	511.0	312.0	583.07	420.68	395.18	571.05	493.56	392.44	473.41	486.75	555.41	363.56	567.1	493.56	400.71	334.46	417.77	698.41	669.92	329.84	332.14	595.34	441.64	392.44	500.46	571.05	291.04	529.06	438.59	460.44	334.46	607.87	656.11	559.28	525.39	457.25	447.82	547.75	470.14	518.15	559.28	607.87	698.41	486.75	470.14	392.44	441.64	341.51	633.73	441.64	525.39	669.92	429.54	603.67	373.81	387.02	460.44	583.07	547.75	376.41	507.46	723.08	429.54	466.88	638.15	483.38	514.56	607.87	323.03	684.02	381.68	571.05	595.34	483.38	371.22	417.77	490.14	591.22	368.65	329.84	525.39	351.14	503.95
KDM2A	438.59	392.44	532.74	808.0	872.1	503.95	624.99	1059.11	981.29	669.92	780.44	629.35	842.36	954.43	540.19	954.43	802.41	1001.93	688.78	753.83	872.1	753.83	743.43	848.22	928.3	511.0	808.0	1008.9	836.53	708.18	718.08	703.28	629.35	902.89	674.59	651.58	738.29	684.02	759.08	507.46	665.29	718.08	536.45	769.69	733.19	521.76	866.07	551.56	708.18	612.11	759.08	819.3	872.1	480.04	518.15	1096.5	780.44	438.59	684.02	854.13	612.11	532.74	802.41	674.59	665.29	647.07	595.34	708.18	647.07	796.86	872.1	830.75	728.11	738.29	743.43	728.11	743.43	1015.93	665.29	775.05	947.83	947.83	629.35	579.04	753.83	536.45	878.17	583.07	769.69	1015.93	629.35	896.64	540.19	633.73	791.35	813.63	688.78	693.58	759.08	921.88	660.68	679.29	780.44	791.35	693.58	791.35	587.13	941.27	543.96	830.75	551.56	733.19	629.35	591.22	563.18	669.92	511.0	279.14	1081.39	624.99	575.03
KDM4B	119.26	171.45	149.12	1397.83	802.41	620.67	612.11	915.51	995.0	693.58	1233.75	860.08	759.08	1350.18	406.31	808.0	890.44	1001.93	688.78	825.0	1304.15	547.75	1030.12	1119.56	1059.11	532.74	1104.13	1119.56	698.41	759.08	1073.91	638.15	802.41	872.1	1388.16	878.17	703.28	503.95	1001.93	603.67	890.44	830.75	941.27	941.27	532.74	915.51	1135.2	684.02	669.92	603.67	379.04	842.36	802.41	688.78	988.12	928.3	830.75	551.56	532.74	802.41	995.0	397.93	1378.57	708.18	480.04	454.09	878.17	981.29	759.08	1059.11	934.76	884.29	819.3	988.12	941.27	947.83	769.69	698.41	866.07	1378.57	583.07	1447.15	1096.5	532.74	718.08	693.58	753.83	753.83	819.3	1073.91	967.76	1322.37	759.08	848.22	825.0	1081.39	698.41	723.08	1233.75	1519.15	591.22	674.59	1066.48	669.92	1277.29	579.04	688.78	1183.45	791.35	1313.23	647.07	961.07	1051.79	764.36	791.35	684.02	376.41	199.85	463.65	409.15	480.04
KDM5B	108.9	126.12	71.0	579.04	620.67	293.07	420.68	915.51	759.08	387.02	693.58	381.68	780.44	567.1	264.03	511.0	629.35	1001.93	423.61	381.68	688.78	312.0	387.02	607.87	909.17	346.29	638.15	872.1	733.19	518.15	511.0	470.14	429.54	679.29	466.88	438.59	403.5	432.53	612.11	432.53	483.38	518.15	438.59	934.76	392.44	318.57	759.08	414.87	547.75	447.82	363.56	595.34	656.11	301.33	277.2	624.99	830.75	318.57	447.82	802.41	493.56	336.79	432.53	567.1	406.31	314.17	336.79	480.04	339.14	567.1	791.35	543.96	718.08	599.49	559.28	490.14	525.39	514.56	447.82	567.1	563.18	713.11	392.44	400.71	426.57	414.87	842.36	366.09	575.03	703.28	457.25	753.83	305.55	525.39	647.07	665.29	796.86	392.44	500.46	647.07	301.33	412.0	616.37	397.93	463.65	511.0	303.44	536.45	363.56	551.56	409.15	466.88	305.55	412.0	454.09	429.54	320.8	244.57	395.18	397.93	363.56
KIAA0226	45.53	40.36	44.57	195.72	228.13	107.38	137.14	217.27	182.55	155.5	223.41	153.34	180.02	234.57	69.03	191.67	138.1	246.28	116.78	130.6	260.38	140.04	145.02	146.03	204.07	125.24	151.22	231.32	197.09	127.89	172.65	133.36	151.22	178.77	181.28	136.19	159.9	120.1	186.4	134.3	128.79	135.24	137.14	229.72	244.57	141.02	103.69	136.19	177.53	146.03	136.19	186.4	186.4	118.43	104.42	262.2	164.42	94.01	129.69	185.11	108.14	98.04	255.0	142.01	74.58	121.79	124.37	147.06	125.24	226.54	217.27	204.07	167.9	102.25	171.45	198.47	187.71	185.11	158.79	164.42	194.36	190.34	178.77	132.44	198.47	117.6	151.22	109.66	166.73	275.28	162.14	208.38	130.6	117.6	143.01	128.79	89.51	121.79	206.94	205.5	126.12	118.43	158.79	175.07	212.78	138.1	127.0	236.21	135.24	178.77	120.1	167.9	85.82	123.5	141.02	134.3	88.26	69.52	130.6	127.0	87.03
KIAA0754	2.51	1.0	1.91	66.65	44.57	1.2	10.47	141.02	96.01	9.48	53.19	13.52	104.42	72.01	0.85	23.93	16.75	114.36	4.74	18.56	121.79	4.5	25.54	28.65	140.04	4.7	39.79	85.82	70.51	29.7	13.03	15.8	29.91	48.52	27.64	22.26	10.16	16.75	27.44	8.85	12.64	25.72	12.93	71.0	33.3	6.36	84.04	20.71	33.06	7.75	3.41	19.11	24.99	1.43	1.23	107.38	42.71	3.69	16.51	82.29	10.39	2.16	33.78	16.63	1.89	11.21	4.21	21.78	11.73	36.01	62.56	40.64	75.11	59.13	21.78	60.39	46.5	26.67	20.41	23.08	53.95	40.07	14.35	8.13	17.13	13.03	76.17	3.35	17.77	111.21	38.12	116.78	2.16	34.02	69.03	20.86	18.29	12.18	53.19	100.83	3.86	14.45	35.25	21.94	18.97	21.32	3.76	58.71	9.63	8.99	10.39	25.72	4.58	10.71	12.0	48.52	23.93	11.73	28.65	24.46	7.51
KIF3B	206.94	215.77	224.97	423.61	607.87	417.77	346.29	503.95	551.56	358.54	551.56	607.87	490.14	551.56	366.09	429.54	389.72	587.13	318.57	420.68	559.28	389.72	414.87	409.15	555.41	341.51	466.88	483.38	547.75	361.04	323.03	387.02	503.95	466.88	616.37	397.93	339.14	414.87	493.56	236.21	432.53	417.77	460.44	624.99	599.49	387.02	518.15	514.56	624.99	497.0	269.6	406.31	414.87	368.65	260.38	728.11	587.13	241.19	457.25	555.41	299.25	220.32	412.0	532.74	348.71	497.0	255.0	381.68	351.14	532.74	466.88	559.28	503.95	473.41	339.14	909.17	503.95	435.55	466.88	397.93	688.78	514.56	460.44	414.87	470.14	376.41	483.38	318.57	497.0	529.06	470.14	423.61	351.14	426.57	503.95	368.65	406.31	323.03	599.49	406.31	264.03	400.71	563.18	444.72	738.29	559.28	447.82	493.56	368.65	373.81	341.51	381.68	249.73	351.14	275.28	387.02	361.04	211.31	414.87	417.77	332.14
KLK2	0.0	3.29	0.0	217400.14	246289.25	520665.48	236256.4	93325.55	163620.18	209994.66	148488.36	391864.76	167058.21	207103.59	228208.61	279017.26	288856.81	96616.71	279017.26	329517.51	225066.78	284880.02	353168.2	258533.99	191899.64	249727.34	202841.44	167058.21	161367.56	280957.98	320506.81	324980.94	309589.14	236256.4	350728.68	378516.38	218912.29	292889.12	254974.66	334117.42	341137.96	311742.51	378516.38	92680.9	318292.9	383800.28	207103.59	288856.81	303217.87	280957.98	132900.7	386469.83	360589.03	341137.96	443937.41	182810.84	277089.94	338781.54	256748.15	131982.68	279017.26	269512.87	294926.33	311742.51	120609.84	363097.14	324980.94	284880.02	299043.36	241220.67	208544.12	294926.33	221968.2	329517.51	246289.25	320506.81	303217.87	373305.21	316094.29	303217.87	320506.81	301123.38	419990.32	284880.02	345900.08	334117.42	177811.84	311742.51	331809.5	139508.13	324980.94	194578.47	279017.26	355624.68	221968.2	437825.58	290865.98	260332.24	280957.98	195931.88	265802.39	248002.34	253213.41	331809.5	269512.87	273275.14	244588.0	185362.8	375901.76	389157.95	299043.36	365622.68	299043.36	383800.28	402881.61	284880.02	231394.29	322736.12	284880.02	370726.6	254974.66
LDOC1L	63.0	18.56	21.63	400.71	316.37	146.03	169.07	392.44	503.95	198.47	323.03	218.79	414.87	358.54	148.09	234.57	258.57	371.22	198.47	232.94	381.68	153.34	323.03	353.59	532.74	137.14	358.54	351.14	381.68	232.94	211.31	185.11	221.86	444.72	260.38	198.47	201.25	198.47	253.23	121.79	234.57	260.38	181.28	638.15	251.48	205.5	457.25	223.41	341.51	187.71	209.84	205.5	262.2	145.02	136.19	417.77	536.45	90.77	231.32	379.04	194.36	209.84	246.28	320.8	103.69	204.07	175.07	271.48	110.43	389.72	332.14	303.44	423.61	332.14	309.83	327.56	303.44	279.14	231.32	318.57	264.03	403.5	206.94	172.65	258.57	208.38	423.61	204.07	214.27	480.04	267.73	457.25	149.12	309.83	341.51	229.72	314.17	218.79	346.29	363.56	105.89	223.41	336.79	246.28	237.86	273.37	140.04	346.29	157.68	132.44	237.86	244.57	164.42	228.13	239.52	299.25	279.14	142.01	224.97	229.72	212.78
LRIG1	373.81	258.57	301.33	7642.41	3874.05	2209.26	1870.53	3325.99	3716.2	2240.11	6079.61	1991.0	2855.44	3665.02	1662.49	4066.71	3372.43	4328.55	2485.67	2255.7	3768.09	2451.44	2701.35	2935.74	4123.49	1936.53	5076.84	3589.58	2739.08	2400.97	4123.49	2720.15	3515.68	3982.99	3874.05	2855.44	2271.4	2287.2	4328.55	3982.99	2739.08	3395.89	3372.43	4512.4	3349.13	2956.17	2915.45	4181.07	2609.3	2303.12	1437.15	4181.07	2976.74	3280.18	1639.59	3982.99	4095.0	2303.12	2417.67	2835.7	4802.93	3039.3	2485.67	2935.74	2090.03	1519.15	3081.75	4095.0	2400.97	4769.75	6607.01	3982.99	4038.61	3716.2	2645.74	5076.84	2591.27	5329.3	3235.01	2384.37	4543.8	4388.98	3372.43	3614.55	3742.05	4869.99	3515.68	1628.26	4066.71	5913.33	4639.29	3540.14	2075.59	4836.35	7537.18	3564.78	2119.22	1909.85	3395.89	4736.79	1870.53	2384.37	4066.71	2417.67	4419.52	2319.15	2664.15	5255.91	2417.67	1844.76	2739.08	2777.33	2451.44	2855.44	3443.31	2075.59	1709.26	902.89	1745.2	1909.85	1745.2
MARK2	199.85	171.45	132.44	890.44	813.63	567.1	796.86	1044.52	1073.91	616.37	796.86	674.59	1104.13	1119.56	718.08	884.29	525.39	1104.13	612.11	878.17	1066.48	708.18	728.11	872.1	1051.79	591.22	928.3	1369.04	848.22	599.49	713.11	599.49	1066.48	961.07	1023.0	647.07	651.58	679.29	733.19	493.56	684.02	769.69	417.77	785.88	915.51	480.04	759.08	679.29	860.08	703.28	412.0	624.99	934.76	460.44	642.59	1268.46	954.43	480.04	813.63	1044.52	698.41	567.1	866.07	954.43	624.99	591.22	629.35	830.75	642.59	947.83	1073.91	928.3	830.75	728.11	665.29	842.36	688.78	1313.23	866.07	866.07	1088.92	1001.93	698.41	571.05	902.89	540.19	1015.93	651.58	1008.9	988.12	866.07	1073.91	665.29	802.41	890.44	842.36	785.88	688.78	974.5	848.22	651.58	753.83	909.17	819.3	941.27	866.07	684.02	909.17	579.04	1096.5	555.41	669.92	629.35	679.29	651.58	728.11	438.59	316.37	595.34	543.96	579.04
MARS2	88.88	59.55	67.12	118.43	87.65	64.34	48.52	93.35	146.03	100.83	221.86	123.5	94.01	97.36	116.78	102.97	77.79	96.01	75.64	76.71	104.42	85.22	132.44	127.0	143.01	123.5	78.89	115.16	96.68	55.1	107.38	79.45	70.51	120.94	86.43	44.89	64.8	37.59	96.68	104.42	92.7	91.41	65.26	206.94	73.54	73.54	98.73	65.26	101.54	55.89	44.25	83.45	124.37	89.51	67.59	105.89	123.5	64.8	60.82	88.88	37.85	66.18	129.69	82.29	60.39	54.72	58.3	63.0	102.97	146.03	65.26	70.01	100.13	130.6	78.34	149.12	131.51	91.41	59.13	121.79	109.66	71.5	58.3	66.18	77.25	87.65	116.78	43.94	94.67	103.69	81.71	109.66	68.55	107.38	111.21	139.07	61.25	68.07	93.35	156.59	49.56	63.89	122.64	62.56	98.73	80.01	58.71	76.17	65.26	50.98	100.13	63.0	44.57	105.15	84.04	59.97	30.78	32.59	36.79	36.27	84.63
MED1	140.04	89.51	118.43	423.61	476.71	248.0	251.48	500.46	521.76	262.2	387.02	283.05	563.18	403.5	249.73	301.33	281.09	507.46	202.66	305.55	507.46	226.54	307.69	371.22	547.75	283.05	366.09	480.04	514.56	320.8	283.05	281.09	267.73	417.77	346.29	275.28	253.23	277.2	373.81	241.19	309.83	323.03	277.2	563.18	379.04	201.25	559.28	320.8	412.0	303.44	228.13	307.69	301.33	220.32	193.01	435.55	346.29	190.34	305.55	476.71	287.01	208.38	299.25	325.29	198.47	269.6	202.66	356.05	285.03	384.34	450.94	361.04	441.64	381.68	293.07	409.15	466.88	327.56	279.14	281.09	529.06	356.05	279.14	244.57	334.46	248.0	476.71	241.19	320.8	587.13	320.8	450.94	221.86	325.29	457.25	273.37	289.02	271.48	381.68	429.54	234.57	236.21	403.5	301.33	392.44	323.03	220.32	387.02	237.86	223.41	262.2	318.57	214.27	246.28	258.57	275.28	194.36	120.1	273.37	265.87	220.32
METTL2B	172.65	178.77	183.82	348.71	379.04	214.27	358.54	356.05	361.04	237.86	339.14	332.14	293.07	368.65	269.6	392.44	348.71	397.93	303.44	198.47	346.29	242.88	305.55	291.04	343.89	234.57	287.01	599.49	341.51	314.17	312.0	256.78	323.03	363.56	305.55	234.57	215.77	242.88	260.38	204.07	264.03	303.44	289.02	454.09	277.2	258.57	346.29	271.48	260.38	269.6	212.78	234.57	457.25	194.36	221.86	395.18	291.04	218.79	329.84	356.05	234.57	242.88	316.37	249.73	212.78	269.6	166.73	217.27	293.07	307.69	325.29	260.38	236.21	316.37	295.11	312.0	521.76	291.04	281.09	229.72	371.22	180.02	208.38	206.94	264.03	303.44	366.09	232.94	309.83	358.54	371.22	283.05	186.4	303.44	314.17	339.14	299.25	320.8	341.51	314.17	248.0	232.94	395.18	255.0	271.48	299.25	171.45	309.83	215.77	190.34	297.17	287.01	224.97	226.54	224.97	371.22	283.05	387.02	220.32	249.73	182.55
MGA	37.05	28.24	33.78	242.88	237.86	68.07	121.79	368.65	295.11	103.69	176.29	105.15	256.78	234.57	90.14	127.89	113.56	318.57	124.37	127.89	291.04	105.89	121.79	166.73	293.07	74.06	187.71	297.17	299.25	156.59	108.9	119.26	120.94	215.77	141.02	98.73	97.36	113.56	150.17	63.89	109.66	161.02	111.99	341.51	185.11	90.77	269.6	151.22	206.94	105.89	78.34	180.02	161.02	61.68	54.72	305.55	140.04	72.52	140.04	273.37	108.14	69.03	132.44	105.89	55.89	90.77	82.29	142.01	112.77	164.42	236.21	178.77	221.86	170.25	138.1	211.31	251.48	141.02	113.56	132.44	281.09	208.38	115.16	96.68	123.5	121.79	273.37	81.14	142.01	332.14	149.12	275.28	73.03	138.1	239.52	135.24	145.02	113.56	183.82	241.19	81.14	118.43	218.79	129.69	102.97	113.56	78.89	197.09	83.45	139.07	94.01	139.07	97.36	100.83	108.14	154.42	124.37	81.71	134.3	134.3	88.88
MIEF1	202.66	183.82	206.94	409.15	406.31	208.38	262.2	381.68	480.04	285.03	543.96	379.04	366.09	463.65	295.11	327.56	336.79	441.64	293.07	323.03	392.44	237.86	346.29	343.89	429.54	251.48	381.68	406.31	406.31	291.04	303.44	291.04	307.69	389.72	339.14	291.04	239.52	271.48	351.14	244.57	329.84	312.0	275.28	423.61	291.04	248.0	470.14	314.17	395.18	264.03	165.57	275.28	325.29	236.21	214.27	480.04	406.31	215.77	305.55	389.72	206.94	277.2	397.93	312.0	212.78	318.57	241.19	303.44	244.57	460.44	368.65	351.14	339.14	368.65	297.17	547.75	490.14	277.2	309.83	316.37	353.59	406.31	289.02	231.32	353.59	249.73	397.93	242.88	275.28	518.15	325.29	435.55	258.57	348.71	414.87	327.56	289.02	275.28	395.18	463.65	220.32	303.44	387.02	341.51	429.54	312.0	242.88	412.0	223.41	220.32	332.14	303.44	197.09	242.88	244.57	316.37	269.6	172.65	265.87	293.07	262.2
MKRN2	186.4	132.44	173.85	397.93	395.18	244.57	351.14	480.04	473.41	307.69	476.71	320.8	323.03	441.64	260.38	366.09	293.07	497.0	256.78	358.54	387.02	327.56	379.04	389.72	525.39	283.05	353.59	473.41	429.54	323.03	327.56	285.03	229.72	373.81	305.55	379.04	299.25	299.25	361.04	275.28	325.29	307.69	289.02	454.09	351.14	301.33	447.82	332.14	361.04	275.28	293.07	381.68	267.73	231.32	229.72	435.55	381.68	297.17	279.14	441.64	343.89	303.44	351.14	353.59	251.48	323.03	275.28	356.05	299.25	371.22	395.18	366.09	376.41	358.54	351.14	403.5	379.04	392.44	275.28	287.01	423.61	447.82	262.2	267.73	353.59	312.0	497.0	287.01	438.59	514.56	318.57	486.75	199.85	320.8	264.03	248.0	323.03	323.03	384.34	447.82	258.57	293.07	420.68	291.04	320.8	336.79	314.17	450.94	327.56	329.84	303.44	343.89	285.03	297.17	318.57	497.0	457.25	376.41	265.87	336.79	299.25
MYRIP	107.38	79.45	130.6	283.05	107.38	115.97	112.77	289.02	249.73	76.71	122.64	147.06	199.85	146.03	128.79	137.14	69.52	289.02	155.5	70.51	190.34	104.42	211.31	80.57	358.54	115.16	132.44	403.5	175.07	76.17	100.13	82.87	75.11	144.01	166.73	127.89	61.25	33.06	234.57	118.43	177.53	92.7	126.12	161.02	162.14	107.38	289.02	96.01	163.28	111.21	46.84	214.27	100.83	36.27	87.03	215.77	231.32	77.25	100.13	208.38	134.3	70.51	66.65	78.34	147.06	185.11	120.94	221.86	92.7	148.09	267.73	120.94	279.14	246.28	133.36	199.85	167.9	161.02	120.94	88.26	221.86	231.32	94.67	97.36	116.78	186.4	204.07	34.02	85.22	314.17	126.12	253.23	60.82	195.72	177.53	305.55	307.69	63.89	248.0	118.43	51.71	54.33	157.68	105.15	154.42	92.05	126.12	128.79	79.45	77.25	89.51	125.24	100.13	123.5	164.42	85.22	47.5	25.72	39.22	31.0	65.26
NFIC	718.08	836.53	813.63	1832.01	2004.85	791.35	1111.82	2384.37	1781.89	836.53	2417.67	1088.92	1639.59	2287.2	1104.13	1233.75	1073.91	2163.77	633.73	1059.11	2384.37	1250.98	921.88	1467.37	2485.67	884.29	2119.22	1806.78	1457.23	896.64	1135.2	1088.92	1159.07	1628.26	1674.06	1119.56	1008.9	1572.76	1628.26	934.76	1096.5	1225.22	896.64	2335.28	1331.57	733.19	1378.57	1030.12	1304.15	1135.2	748.61	1044.52	1001.93	674.59	679.29	2047.0	2400.97	713.11	915.51	1662.49	981.29	525.39	1225.22	961.07	669.92	890.44	748.61	1183.45	743.43	2075.59	1529.73	2018.8	1605.83	1721.16	1286.18	1769.57	1268.46	1322.37	1191.69	1167.14	1950.0	1674.06	1277.29	909.17	1216.75	713.11	1397.83	813.63	1369.04	2271.4	1605.83	2178.83	848.22	1001.93	1977.24	1059.11	1397.83	1015.93	2148.82	1467.37	825.0	1151.06	1447.15	1259.69	2178.83	1477.58	775.05	2224.63	759.08	830.75	612.11	1268.46	1023.0	921.88	995.0	1529.73	884.29	511.0	1529.73	808.0	878.17
NFYA	154.42	120.94	117.6	314.17	409.15	177.53	379.04	629.35	511.0	334.46	426.57	339.14	567.1	312.0	283.05	518.15	348.71	454.09	426.57	332.14	389.72	384.34	420.68	387.02	642.59	420.68	297.17	400.71	392.44	353.59	341.51	339.14	314.17	429.54	320.8	289.02	285.03	279.14	314.17	260.38	293.07	295.11	269.6	454.09	595.34	226.54	579.04	384.34	395.18	406.31	223.41	543.96	466.88	220.32	183.82	429.54	507.46	164.42	426.57	486.75	232.94	267.73	473.41	444.72	273.37	271.48	204.07	312.0	348.71	420.68	503.95	329.84	403.5	389.72	320.8	435.55	624.99	429.54	242.88	348.71	579.04	409.15	241.19	226.54	363.56	283.05	420.68	251.48	414.87	381.68	236.21	483.38	229.72	287.01	400.71	612.11	293.07	271.48	293.07	454.09	265.87	269.6	336.79	323.03	429.54	412.0	229.72	351.14	237.86	351.14	212.78	305.55	314.17	267.73	267.73	295.11	239.52	223.41	237.86	269.6	249.73
NLN	159.9	198.47	214.27	323.03	341.51	148.09	115.97	198.47	379.04	138.1	371.22	204.07	366.09	318.57	84.63	191.67	201.25	273.37	164.42	175.07	348.71	92.7	177.53	299.25	429.54	140.04	279.14	348.71	262.2	159.9	75.11	158.79	198.47	289.02	348.71	155.5	74.06	97.36	277.2	139.07	239.52	249.73	231.32	529.06	376.41	147.06	493.56	183.82	291.04	120.94	112.77	234.57	237.86	161.02	108.14	392.44	269.6	113.56	166.73	454.09	159.9	56.28	281.09	167.9	96.01	96.01	107.38	193.01	190.34	301.33	226.54	172.65	389.72	237.86	177.53	358.54	141.02	287.01	175.07	175.07	249.73	132.44	114.36	182.55	50.27	260.38	529.06	123.5	154.42	285.03	291.04	285.03	99.43	291.04	271.48	231.32	251.48	159.9	269.6	289.02	69.52	129.69	327.56	187.71	244.57	287.01	202.66	198.47	148.09	115.97	182.55	105.15	95.34	162.14	176.29	214.27	189.02	106.63	88.88	137.14	111.21
