	TCGA.AK.3447.01A.01R.1766.07	TCGA.67.3770.01A.01R.0946.07	TCGA.49.4510.01A.01R.1206.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.97.8171.01A.11R.2287.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R7.01A.11R.A220.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
DYRK1A	141.02	251.48	373.81	316.37	540.19	371.22	571.05	420.68	444.72	299.25	497.0	473.41	521.76	454.09	395.18	708.18	511.0	591.22	381.68	674.59	309.83	616.37	457.25	406.31	532.74	698.41	518.15	629.35	642.59	708.18	612.11	555.41	406.31	412.0	525.39	460.44	543.96	444.72	607.87	733.19	748.61	486.75	620.67	708.18	420.68	480.04	571.05	607.87	293.07	656.11	540.19	642.59	521.76	525.39	460.44	343.89	299.25	536.45	738.29	420.68	555.41	733.19	642.59	423.61	503.95	603.67	497.0	532.74	688.78	460.44	507.46	525.39	583.07	638.15	429.54	718.08	551.56	651.58	633.73	693.58	497.0	412.0	587.13	728.11	813.63	656.11	575.03	470.14	348.71	450.94	684.02	579.04	651.58	450.94	599.49	470.14	854.13	503.95	532.74	567.1	529.06	490.14	791.35	629.35	529.06	638.15	406.31	808.0	507.46	684.02	703.28	466.88	503.95	612.11	376.41	483.38	389.72	463.65
EP300	28.24	142.01	198.47	223.41	412.0	169.07	389.72	314.17	343.89	211.31	299.25	327.56	432.53	287.01	226.54	532.74	389.72	480.04	218.79	514.56	223.41	476.71	358.54	223.41	283.05	507.46	358.54	366.09	420.68	429.54	395.18	366.09	232.94	283.05	389.72	275.28	217.27	305.55	417.77	665.29	607.87	341.51	551.56	454.09	334.46	281.09	201.25	371.22	201.25	403.5	361.04	343.89	387.02	376.41	356.05	237.86	229.72	205.5	547.75	241.19	441.64	559.28	483.38	301.33	289.02	366.09	260.38	426.57	500.46	231.32	327.56	267.73	371.22	325.29	241.19	567.1	283.05	642.59	397.93	571.05	376.41	236.21	406.31	547.75	660.68	595.34	412.0	351.14	281.09	303.44	334.46	267.73	361.04	287.01	432.53	332.14	599.49	400.71	429.54	444.72	341.51	253.23	406.31	420.68	423.61	543.96	258.57	656.11	329.84	599.49	571.05	307.69	361.04	480.04	158.79	366.09	194.36	318.57
EPC2	34.26	275.28	320.8	246.28	299.25	279.14	186.4	325.29	262.2	208.38	318.57	283.05	406.31	260.38	231.32	518.15	303.44	457.25	239.52	384.34	218.79	392.44	249.73	283.05	332.14	483.38	314.17	432.53	476.71	490.14	387.02	412.0	237.86	255.0	351.14	231.32	289.02	236.21	426.57	457.25	441.64	323.03	353.59	463.65	256.78	307.69	285.03	323.03	186.4	389.72	307.69	348.71	327.56	348.71	281.09	228.13	191.67	265.87	463.65	237.86	316.37	470.14	417.77	273.37	299.25	332.14	358.54	348.71	417.77	301.33	291.04	299.25	356.05	397.93	249.73	447.82	318.57	444.72	381.68	493.56	348.71	244.57	346.29	361.04	463.65	454.09	406.31	285.03	221.86	273.37	441.64	389.72	339.14	264.03	403.5	291.04	575.03	323.03	392.44	363.56	301.33	281.09	447.82	426.57	363.56	406.31	187.71	441.64	297.17	463.65	483.38	295.11	339.14	381.68	169.07	264.03	291.04	287.01
ERCC6L2	49.56	76.17	64.34	115.97	153.34	90.14	85.22	84.63	130.6	103.69	175.07	141.02	183.82	122.64	144.01	400.71	206.94	323.03	127.0	277.2	106.63	251.48	134.3	142.01	187.71	293.07	180.02	236.21	316.37	303.44	271.48	265.87	125.24	157.68	118.43	125.24	185.11	146.03	199.85	417.77	368.65	161.02	283.05	246.28	112.77	146.03	142.01	189.02	98.73	287.01	194.36	180.02	209.84	183.82	140.04	66.18	151.22	164.42	346.29	74.58	256.78	361.04	312.0	146.03	197.09	198.47	199.85	256.78	403.5	152.28	128.79	171.45	178.77	255.0	150.17	318.57	226.54	351.14	253.23	426.57	178.77	128.79	251.48	327.56	450.94	279.14	215.77	140.04	92.05	169.07	291.04	162.14	163.28	127.0	199.85	148.09	532.74	214.27	316.37	293.07	197.09	129.69	353.59	277.2	223.41	316.37	138.1	420.68	137.14	423.61	320.8	182.55	178.77	373.81	84.04	175.07	144.01	167.9
GLTSCR1L	5.02	69.52	105.89	93.35	128.79	79.45	132.44	123.5	244.57	157.68	153.34	137.14	180.02	122.64	90.77	271.48	164.42	211.31	111.99	209.84	100.83	223.41	150.17	128.79	180.02	253.23	185.11	220.32	209.84	256.78	211.31	195.72	104.42	126.12	152.28	140.04	156.59	122.64	204.07	260.38	283.05	173.85	199.85	201.25	106.63	132.44	178.77	194.36	94.01	223.41	126.12	194.36	176.29	152.28	146.03	93.35	90.77	157.68	277.2	98.04	208.38	239.52	224.97	127.0	167.9	187.71	152.28	171.45	234.57	156.59	155.5	170.25	185.11	237.86	129.69	229.72	198.47	226.54	211.31	237.86	146.03	109.66	185.11	236.21	291.04	239.52	228.13	143.01	111.99	134.3	220.32	176.29	163.28	123.5	211.31	153.34	277.2	193.01	204.07	199.85	161.02	161.02	241.19	163.28	172.65	212.78	113.56	267.73	150.17	248.0	260.38	113.56	166.73	221.86	78.34	115.16	127.89	167.9
GPATCH8	14.78	127.89	211.31	146.03	234.57	185.11	281.09	212.78	293.07	151.22	299.25	273.37	318.57	211.31	155.5	450.94	303.44	392.44	193.01	412.0	159.9	381.68	264.03	244.57	291.04	409.15	291.04	285.03	334.46	384.34	368.65	312.0	217.27	234.57	291.04	237.86	279.14	273.37	329.84	429.54	457.25	301.33	379.04	353.59	178.77	246.28	262.2	256.78	178.77	409.15	303.44	289.02	309.83	234.57	283.05	185.11	164.42	234.57	470.14	182.55	325.29	371.22	363.56	251.48	325.29	361.04	336.79	339.14	409.15	265.87	237.86	287.01	403.5	450.94	237.86	503.95	423.61	395.18	417.77	480.04	303.44	244.57	363.56	392.44	503.95	395.18	358.54	275.28	201.25	242.88	457.25	318.57	316.37	226.54	371.22	264.03	532.74	343.89	283.05	336.79	329.84	251.48	397.93	395.18	358.54	368.65	221.86	457.25	287.01	406.31	460.44	231.32	297.17	414.87	166.73	262.2	234.57	265.87
HEATR5B	13.93	84.04	118.43	85.82	167.9	115.16	161.02	138.1	198.47	158.79	186.4	172.65	206.94	139.07	142.01	271.48	220.32	215.77	146.03	223.41	120.94	229.72	156.59	161.02	164.42	253.23	185.11	221.86	265.87	260.38	208.38	195.72	159.9	156.59	202.66	138.1	181.28	158.79	191.67	239.52	281.09	173.85	214.27	264.03	146.03	146.03	183.82	214.27	111.21	228.13	202.66	187.71	211.31	187.71	189.02	121.79	119.26	181.28	269.6	145.02	231.32	262.2	242.88	151.22	191.67	229.72	226.54	229.72	246.28	180.02	173.85	172.65	212.78	244.57	151.22	267.73	228.13	281.09	226.54	242.88	198.47	137.14	234.57	246.28	293.07	228.13	228.13	176.29	141.02	176.29	231.32	214.27	187.71	142.01	190.34	161.02	291.04	246.28	217.27	206.94	211.31	173.85	249.73	236.21	246.28	236.21	147.06	309.83	181.28	258.57	265.87	186.4	191.67	273.37	108.14	193.01	148.09	189.02
KAT6A	21.94	68.07	199.85	94.67	162.14	96.68	177.53	167.9	264.03	92.7	149.12	167.9	211.31	146.03	111.99	309.83	180.02	267.73	131.51	241.19	126.12	224.97	143.01	167.9	163.28	307.69	182.55	209.84	287.01	277.2	208.38	206.94	134.3	144.01	193.01	144.01	190.34	155.5	195.72	320.8	334.46	191.67	255.0	264.03	138.1	177.53	175.07	173.85	103.69	249.73	166.73	182.55	234.57	253.23	190.34	109.66	149.12	167.9	299.25	125.24	239.52	356.05	283.05	139.07	169.07	194.36	214.27	234.57	309.83	153.34	159.9	191.67	214.27	271.48	148.09	361.04	189.02	348.71	279.14	329.84	167.9	134.3	199.85	295.11	426.57	273.37	191.67	161.02	153.34	142.01	281.09	218.79	193.01	142.01	211.31	172.65	353.59	194.36	251.48	239.52	197.09	164.42	289.02	242.88	224.97	299.25	143.01	395.18	158.79	348.71	289.02	151.22	173.85	301.33	100.13	163.28	144.01	172.65
KMT2A	12.45	59.97	104.42	103.69	215.77	75.64	186.4	142.01	229.72	89.51	182.55	211.31	231.32	177.53	116.78	403.5	202.66	327.56	138.1	281.09	117.6	271.48	187.71	215.77	208.38	356.05	239.52	289.02	309.83	351.14	248.0	220.32	169.07	173.85	220.32	187.71	186.4	163.28	248.0	403.5	473.41	202.66	325.29	323.03	166.73	175.07	221.86	208.38	135.24	303.44	206.94	224.97	267.73	232.94	195.72	116.78	105.15	175.07	376.41	136.19	289.02	373.81	334.46	164.42	195.72	246.28	244.57	255.0	356.05	199.85	206.94	215.77	249.73	373.81	171.45	417.77	279.14	366.09	366.09	420.68	189.02	157.68	255.0	381.68	441.64	279.14	293.07	206.94	152.28	145.02	371.22	214.27	217.27	164.42	248.0	201.25	536.45	253.23	275.28	314.17	221.86	191.67	371.22	283.05	232.94	314.17	152.28	438.59	208.38	420.68	406.31	156.59	205.5	332.14	88.88	190.34	195.72	229.72
LNPEP	72.01	57.49	55.1	67.59	92.7	84.04	78.34	108.14	76.71	80.01	85.22	100.13	118.43	68.55	60.39	171.45	111.99	167.9	63.45	136.19	50.63	138.1	88.88	90.14	102.97	199.85	131.51	137.14	175.07	172.65	189.02	127.0	71.0	97.36	105.15	94.01	105.89	92.7	148.09	191.67	224.97	128.79	149.12	126.12	95.34	81.71	104.42	124.37	53.57	181.28	107.38	108.14	121.79	122.64	113.56	61.25	74.06	82.87	220.32	76.71	145.02	189.02	186.4	75.64	97.36	129.69	121.79	148.09	195.72	100.83	86.43	116.78	144.01	159.9	95.34	193.01	100.83	208.38	159.9	189.02	92.05	75.64	134.3	153.34	242.88	154.42	115.97	107.38	85.82	85.82	170.25	126.12	67.12	79.45	122.64	97.36	258.57	138.1	137.14	137.14	108.9	79.45	158.79	126.12	126.12	163.28	73.54	193.01	75.11	239.52	190.34	97.36	107.38	195.72	56.28	98.04	82.29	104.42
MGA	10.0	50.27	69.52	86.43	127.0	69.52	64.8	60.82	151.22	48.18	87.65	88.88	87.65	67.59	65.72	177.53	82.87	136.19	46.18	135.24	52.08	112.77	74.06	75.11	80.57	158.79	87.03	102.25	137.14	166.73	101.54	107.38	57.49	72.01	84.04	67.59	92.05	67.59	98.04	180.02	181.28	82.87	126.12	129.69	68.55	73.54	87.65	113.56	52.08	136.19	82.29	98.04	120.94	131.51	85.82	46.18	53.57	86.43	144.01	53.19	99.43	158.79	138.1	63.45	94.01	101.54	93.35	109.66	169.07	79.45	93.35	82.87	115.97	130.6	74.06	159.9	96.01	163.28	149.12	173.85	84.04	53.57	100.13	123.5	187.71	137.14	92.7	82.29	64.8	57.08	128.79	71.0	92.7	73.54	108.14	72.01	208.38	94.67	109.66	115.16	90.77	78.89	143.01	118.43	96.01	127.89	61.68	170.25	81.14	151.22	145.02	81.71	87.65	157.68	57.49	57.49	71.5	92.7
MICAL3	6.78	85.82	43.02	48.18	145.02	36.01	98.04	97.36	150.17	9.06	169.07	136.19	107.38	81.71	83.45	267.73	129.69	262.2	94.01	312.0	68.07	264.03	171.45	103.69	146.03	291.04	195.72	117.6	163.28	224.97	201.25	231.32	83.45	125.24	134.3	126.12	86.43	114.36	161.02	323.03	336.79	97.36	248.0	236.21	94.67	109.66	127.89	127.89	63.89	295.11	199.85	182.55	175.07	48.87	149.12	71.0	91.41	94.67	363.56	71.5	143.01	224.97	249.73	103.69	115.97	169.07	80.57	189.02	299.25	95.34	88.88	143.01	193.01	194.36	92.7	248.0	158.79	283.05	256.78	389.72	135.24	84.04	175.07	211.31	334.46	211.31	231.32	123.5	66.65	69.52	148.09	84.63	126.12	105.15	153.34	88.26	444.72	159.9	208.38	205.5	153.34	100.13	248.0	229.72	120.1	265.87	102.97	323.03	180.02	297.17	241.19	163.28	161.02	275.28	65.72	126.12	87.03	149.12
MKL2	15.8	156.59	98.73	108.9	175.07	197.09	215.77	189.02	142.01	165.57	144.01	139.07	135.24	99.43	77.25	289.02	146.03	325.29	82.29	260.38	74.06	209.84	122.64	113.56	190.34	297.17	138.1	175.07	242.88	264.03	242.88	173.85	102.25	111.21	145.02	109.66	149.12	108.9	190.34	336.79	368.65	161.02	198.47	223.41	102.25	106.63	162.14	145.02	63.0	195.72	157.68	163.28	229.72	253.23	172.65	52.08	101.54	166.73	293.07	64.34	218.79	293.07	295.11	94.01	136.19	221.86	176.29	253.23	332.14	147.06	99.43	120.1	204.07	237.86	114.36	299.25	206.94	281.09	299.25	381.68	101.54	92.7	172.65	211.31	387.02	249.73	201.25	130.6	84.04	108.14	256.78	177.53	191.67	85.82	205.5	244.57	480.04	157.68	228.13	209.84	163.28	129.69	314.17	242.88	172.65	267.73	120.1	379.04	136.19	353.59	341.51	122.64	170.25	275.28	101.54	101.54	84.63	127.89
NEK1	48.52	62.12	36.53	33.06	75.64	44.25	66.65	52.45	83.45	84.63	86.43	69.52	84.63	69.03	70.51	119.26	81.71	99.43	69.52	101.54	37.85	84.63	71.5	72.01	83.45	109.66	71.0	98.73	112.77	139.07	97.36	101.54	56.68	64.34	96.68	65.26	69.03	68.07	78.34	102.97	99.43	61.25	88.26	116.78	59.13	74.06	60.39	92.7	57.49	105.15	80.01	94.01	100.13	92.05	87.03	59.55	63.89	70.01	114.36	49.21	71.0	149.12	112.77	74.06	65.72	89.51	71.5	98.73	119.26	64.34	77.79	73.03	85.22	90.14	58.71	120.1	84.63	128.79	93.35	127.89	77.79	51.71	88.88	98.04	137.14	112.77	77.25	65.72	52.08	82.29	94.67	68.07	74.06	57.49	75.11	82.29	149.12	84.63	97.36	82.87	87.65	67.12	118.43	102.97	88.26	90.77	56.68	108.9	84.63	140.04	109.66	82.87	89.51	131.51	82.87	76.17	72.01	84.63
NF1	68.55	156.59	208.38	161.02	226.54	152.28	133.36	229.72	218.79	175.07	255.0	273.37	348.71	241.19	190.34	409.15	305.55	348.71	234.57	395.18	209.84	361.04	229.72	299.25	305.55	441.64	267.73	363.56	423.61	432.53	358.54	277.2	258.57	248.0	320.8	226.54	309.83	244.57	318.57	518.15	567.1	293.07	414.87	332.14	273.37	246.28	341.51	343.89	211.31	323.03	287.01	305.55	389.72	397.93	260.38	199.85	237.86	299.25	486.75	234.57	358.54	463.65	426.57	236.21	323.03	348.71	336.79	363.56	493.56	277.2	295.11	246.28	316.37	392.44	253.23	438.59	356.05	599.49	381.68	511.0	258.57	285.03	341.51	438.59	503.95	435.55	356.05	293.07	248.0	244.57	503.95	384.34	327.56	256.78	323.03	312.0	555.41	381.68	363.56	409.15	303.44	301.33	406.31	334.46	361.04	376.41	236.21	507.46	287.01	454.09	460.44	241.19	293.07	480.04	129.69	262.2	253.23	242.88
NFAT5	14.67	58.3	104.42	44.25	100.83	79.45	78.89	105.89	61.25	49.91	103.69	166.73	187.71	73.54	55.49	241.19	197.09	199.85	71.0	323.03	44.57	237.86	110.43	103.69	153.34	299.25	124.37	193.01	249.73	234.57	220.32	109.66	94.67	91.41	153.34	88.88	180.02	131.51	194.36	316.37	334.46	193.01	253.23	204.07	111.99	107.38	138.1	173.85	39.5	208.38	183.82	150.17	194.36	121.79	130.6	44.89	102.25	146.03	381.68	87.03	220.32	327.56	246.28	96.68	187.71	220.32	153.34	183.82	299.25	67.59	113.56	116.78	242.88	279.14	133.36	334.46	148.09	325.29	221.86	312.0	113.56	90.14	237.86	293.07	444.72	262.2	269.6	209.84	94.67	101.54	255.0	189.02	159.9	88.88	180.02	117.6	438.59	221.86	187.71	161.02	152.28	121.79	236.21	232.94	202.66	246.28	91.41	397.93	122.64	336.79	316.37	120.94	127.89	293.07	78.34	150.17	55.49	101.54
NPC2	40062.48	65990.84	81809.59	82951.62	115696.65	120609.84	111755.56	156954.93	158046.64	141455.6	113315.62	85876.94	99333.0	98646.85	83528.61	85876.94	113315.62	92680.9	87075.75	97288.74	106462.55	115696.65	91404.92	142439.51	92680.9	124000.67	107948.72	137587.47	93974.69	98646.85	138544.47	104996.83	86474.27	85283.74	80125.95	111755.56	122293.5	93974.69	108699.57	55877.28	91404.92	134755.94	109455.64	65082.31	114103.8	85876.94	117311.73	130165.62	127486.83	130165.62	92040.7	131982.68	154794.07	100023.92	110983.6	80125.95	135693.24	97288.74	104996.83	109455.64	95286.54	85283.74	97965.44	110216.97	104271.56	103551.29	155870.75	94628.34	77934.88	118127.7	135693.24	88905.42	93974.69	105727.15	105727.15	93325.55	118127.7	49666.0	115696.65	56265.94	117311.73	114897.47	103551.29	90773.53	114103.8	53601.03	100023.92	126606.21	118949.35	119776.72	112532.89	103551.29	104996.83	80125.95	111755.56	100719.65	69753.56	102125.66	95286.54	100719.65	102836.01	107948.72	65990.84	92040.7	110216.97	95949.32	89523.81	75803.72	101420.22	80683.28	103551.29	106462.55	121448.75	85876.94	77396.54	127486.83	104271.56	94628.34
NSD1	29.48	153.34	140.04	167.9	201.25	93.35	167.9	209.84	158.79	167.9	206.94	185.11	178.77	176.29	138.1	325.29	163.28	314.17	139.07	287.01	130.6	246.28	186.4	211.31	198.47	303.44	241.19	239.52	244.57	307.69	244.57	228.13	128.79	158.79	205.5	170.25	214.27	189.02	228.13	320.8	376.41	236.21	239.52	264.03	169.07	180.02	208.38	191.67	138.1	299.25	218.79	223.41	260.38	217.27	195.72	120.1	195.72	208.38	318.57	135.24	264.03	309.83	316.37	155.5	205.5	248.0	208.38	262.2	329.84	212.78	191.67	224.97	285.03	303.44	191.67	351.14	267.73	299.25	303.44	361.04	164.42	144.01	223.41	281.09	414.87	305.55	208.38	189.02	143.01	144.01	256.78	232.94	190.34	170.25	234.57	217.27	435.55	193.01	307.69	273.37	223.41	199.85	327.56	264.03	209.84	318.57	150.17	341.51	185.11	395.18	316.37	187.71	215.77	305.55	147.06	172.65	171.45	205.5
PBRM1	29.27	150.17	202.66	175.07	346.29	221.86	232.94	248.0	343.89	123.5	214.27	205.5	258.57	187.71	189.02	395.18	256.78	329.84	197.09	373.81	143.01	299.25	182.55	223.41	242.88	381.68	246.28	301.33	397.93	387.02	279.14	297.17	157.68	204.07	264.03	183.82	224.97	169.07	281.09	438.59	497.0	218.79	323.03	339.14	224.97	199.85	217.27	264.03	142.01	314.17	271.48	241.19	309.83	318.57	220.32	173.85	199.85	217.27	381.68	169.07	305.55	444.72	341.51	201.25	242.88	260.38	253.23	327.56	395.18	217.27	237.86	221.86	275.28	307.69	191.67	397.93	251.48	470.14	356.05	466.88	212.78	169.07	265.87	343.89	511.0	361.04	242.88	198.47	173.85	221.86	351.14	246.28	217.27	195.72	255.0	231.32	547.75	277.2	320.8	379.04	265.87	208.38	376.41	336.79	275.28	361.04	171.45	490.14	248.0	476.71	358.54	244.57	255.0	381.68	195.72	229.72	181.28	229.72
PHF3	28.24	149.12	220.32	165.57	384.34	187.71	301.33	384.34	366.09	217.27	358.54	341.51	470.14	323.03	258.57	587.13	420.68	470.14	305.55	438.59	336.79	483.38	323.03	348.71	412.0	583.07	420.68	480.04	591.22	599.49	511.0	540.19	343.89	297.17	406.31	291.04	376.41	289.02	500.46	620.67	555.41	397.93	563.18	559.28	341.51	363.56	435.55	486.75	262.2	529.06	363.56	460.44	395.18	660.68	358.54	271.48	275.28	353.59	620.67	316.37	457.25	629.35	521.76	356.05	363.56	392.44	339.14	480.04	607.87	343.89	368.65	325.29	406.31	476.71	353.59	669.92	457.25	819.3	540.19	674.59	379.04	339.14	412.0	575.03	674.59	547.75	454.09	392.44	279.14	373.81	616.37	463.65	325.29	343.89	463.65	397.93	836.53	466.88	444.72	470.14	423.61	356.05	607.87	486.75	441.64	518.15	325.29	693.58	387.02	629.35	540.19	379.04	356.05	595.34	183.82	361.04	269.6	406.31
PIK3C2A	214.27	157.68	139.07	194.36	220.32	162.14	205.5	209.84	356.05	236.21	217.27	251.48	269.6	198.47	141.02	389.72	279.14	379.04	159.9	454.09	100.13	297.17	208.38	208.38	301.33	409.15	246.28	260.38	371.22	392.44	297.17	232.94	178.77	226.54	271.48	155.5	242.88	187.71	295.11	483.38	447.82	255.0	348.71	371.22	198.47	193.01	236.21	242.88	128.79	301.33	291.04	279.14	327.56	249.73	248.0	140.04	297.17	366.09	426.57	167.9	305.55	444.72	381.68	211.31	236.21	273.37	260.38	356.05	543.96	241.19	229.72	255.0	283.05	309.83	253.23	423.61	258.57	466.88	341.51	500.46	209.84	152.28	334.46	441.64	441.64	432.53	291.04	242.88	191.67	201.25	339.14	244.57	327.56	249.73	253.23	220.32	638.15	289.02	309.83	325.29	260.38	237.86	457.25	376.41	351.14	320.8	166.73	497.0	202.66	521.76	387.02	283.05	287.01	441.64	244.57	242.88	155.5	217.27
PIK3CA	35.25	118.43	102.25	115.97	175.07	141.02	150.17	106.63	129.69	111.99	127.0	170.25	175.07	92.05	115.16	269.6	162.14	204.07	121.79	195.72	127.0	163.28	100.13	118.43	140.04	316.37	127.0	199.85	242.88	248.0	189.02	195.72	132.44	133.36	169.07	98.73	150.17	132.44	164.42	297.17	248.0	127.0	198.47	249.73	130.6	140.04	162.14	164.42	79.45	231.32	155.5	150.17	204.07	226.54	190.34	102.25	90.14	113.56	246.28	105.89	197.09	336.79	234.57	122.64	142.01	156.59	135.24	195.72	316.37	138.1	87.03	145.02	141.02	214.27	137.14	314.17	195.72	353.59	215.77	283.05	151.22	152.28	221.86	229.72	289.02	205.5	189.02	139.07	122.64	132.44	273.37	183.82	130.6	140.04	153.34	125.24	389.72	229.72	228.13	214.27	176.29	144.01	241.19	211.31	202.66	295.11	117.6	320.8	139.07	305.55	226.54	163.28	133.36	320.8	96.01	138.1	103.69	119.26
