	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.VUSG.0926.SM.3GIK6	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.YECK.0926.SM.4W214	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.11I78.0126.SM.5HL6F	GTEX.U3ZN.0626.SM.3DB7U	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13PL7.1726.SM.5J2NX	GTEX.UJHI.0726.SM.3DB92	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.12WSA.1026.SM.5EGHN	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ
DPP7	463.65	208.38	307.69	559.28	0.0	1.13	2224.63	2997.45	1870.53	1487.87	4358.66	4239.45	4481.23	6471.02	4066.71	3060.45	4066.71	2367.9	11584.24	10154.69	1605.83	3564.78	2104.58	1923.14	5076.84	4972.34	6887.62	4095.0	3982.99	5441.3	7331.05	1331.57	5594.3	941.27	9876.98	4095.0	5112.16	1508.65	1561.89
FAM229A	21.47	9.34	6.21	8.71	0.0	0.71	32.13	39.22	31.45	21.47	117.6	29.06	98.04	211.31	96.68	67.59	59.97	46.18	185.11	102.25	16.63	64.34	26.1	28.86	118.43	93.35	108.9	92.05	40.93	69.52	155.5	16.15	118.43	26.86	115.16	35.0	260.38	50.27	19.25
FBXL15	45.21	21.01	30.78	74.06	0.0	0.57	142.01	323.03	138.1	183.82	341.51	279.14	379.04	285.03	651.58	218.79	208.38	90.14	656.11	493.56	109.66	366.09	239.52	94.01	346.29	371.22	279.14	371.22	392.44	447.82	353.59	84.04	371.22	119.26	325.29	140.04	497.0	130.6	87.65
FKBP8	1268.46	830.75	1674.06	2485.67	5872.48	3564.78	5831.91	4181.07	7382.04	3515.68	5954.47	5183.54	5255.91	9808.75	6294.04	6381.92	5751.61	3901.01	8479.89	4704.07	3103.19	4358.66	4095.0	3564.78	6840.04	7589.61	6337.83	6426.31	5555.65	7230.1	5954.47	2915.45	6079.61	3395.89	5831.91	6887.62	8363.13	4210.15	5255.91
GAK	406.31	620.67	679.29	638.15	0.0	1.2	703.28	1167.14	909.17	503.95	1183.45	1127.35	1242.34	1721.16	1844.76	1572.76	872.1	961.07	2664.15	1909.85	836.53	988.12	791.35	656.11	1745.2	1143.1	2075.59	1769.57	961.07	1819.35	2573.36	525.39	1909.85	387.02	1794.29	1242.34	1605.83	921.88	647.07
GLTSCR2	1832.01	1498.22	2319.15	1950.0	0.0	0.64	12589.08	7081.29	11504.21	3690.52	17197.56	7911.95	11584.24	18052.61	11345.82	9151.82	10808.41	4972.34	14361.31	7749.1	5672.41	8658.09	3303.0	5041.77	9474.59	18689.27	15285.81	10659.59	10225.32	14971.21	11504.21	6037.61	11584.24	6207.38	13776.25	10659.59	20881.4	6337.83	4358.66
HDAC10	67.59	68.55	177.53	244.57	0.0	0.96	258.57	361.04	251.48	249.73	507.46	595.34	728.11	1191.69	769.69	493.56	450.94	387.02	928.3	890.44	299.25	420.68	348.71	181.28	642.59	748.61	967.76	656.11	412.0	483.38	1081.39	215.77	684.02	178.77	896.64	842.36	884.29	301.33	147.06
HES4	19.53	62.56	3.59	3.44	0.0	0.58	112.77	98.73	97.36	46.84	183.82	173.85	87.03	836.53	426.57	128.79	131.51	57.08	253.23	109.66	70.51	90.77	63.0	67.59	177.53	185.11	191.67	262.2	141.02	150.17	176.29	37.59	117.6	42.11	77.79	98.04	273.37	46.84	67.59
IDUA	38.95	48.52	26.1	52.45	0.0	1.0	197.09	214.27	165.57	94.01	503.95	733.19	356.05	1008.9	791.35	260.38	312.0	251.48	693.58	1304.15	167.9	500.46	255.0	102.97	480.04	759.08	780.44	543.96	409.15	371.22	995.0	102.97	409.15	86.43	830.75	366.09	665.29	167.9	104.42
ISCU	1757.34	1909.85	1769.57	1540.37	0.0	0.93	2701.35	5366.37	3589.58	2997.45	5403.7	3212.66	3874.05	6699.25	4419.52	2976.74	3982.99	4095.0	5147.73	3540.14	1950.0	4328.55	2133.97	2796.65	4769.75	5594.3	5555.65	3564.78	4038.61	5403.7	5633.22	3146.52	5954.47	4802.93	4358.66	3124.78	5831.91	3146.52	2047.0
LENG8	460.44	656.11	242.88	164.42	0.0	1.77	1023.0	1519.15	1685.71	403.5	2209.26	1883.54	2319.15	7280.4	2739.08	1963.57	1639.59	1417.35	2573.36	2915.45	1268.46	1572.76	493.56	651.58	4937.99	2133.97	5147.73	2018.8	1008.9	6337.83	3820.7	713.11	3039.3	291.04	2163.77	2351.53	4123.49	1001.93	624.99
LHB	1.58	1.5	0.0	0.71	0.0	0.51	5.23	0.89	0.84	0.55	6.31	8.71	12.83	21.16	11.91	7.0	3.41	2.46	10.63	5.59	2.05	5.11	4.5	0.07	13.72	16.63	4.54	6.52	3.26	6.41	11.73	0.65	1.38	0.0	0.47	4.31	22.92	0.0	0.0
LRCH4	381.68	423.61	189.02	397.93	0.0	1.22	551.56	780.44	764.36	583.07	1175.27	995.0	1721.16	2303.12	1350.18	1378.57	1096.5	733.19	2047.0	2537.92	629.35	1199.98	848.22	679.29	2163.77	1286.18	2224.63	1340.84	1250.98	1709.26	2502.97	450.94	1594.73	358.54	2047.0	981.29	3303.0	629.35	336.79
LTB4R	71.5	57.49	23.93	9.85	100.13	131.51	96.68	49.56	18.16	21.78	113.56	102.97	155.5	764.36	363.56	236.21	147.06	26.47	780.44	251.48	60.82	52.82	46.5	23.93	108.9	242.88	187.71	208.38	132.44	55.49	559.28	39.22	409.15	41.52	201.25	111.99	348.71	76.71	40.36
MADCAM1	0.48	0.46	0.55	2.86	0.0	0.23	1.04	2.12	1.27	2.58	6.21	3.14	9.7	17.0	8.71	5.32	3.29	2.89	13.52	17.25	3.86	7.11	5.23	0.92	12.64	7.57	7.34	14.78	1.53	11.04	9.41	0.95	9.41	6.57	12.93	3.66	23.76	0.97	1.51
MAP1LC3A	253.23	872.1	293.07	490.14	0.0	0.65	1286.18	1519.15	1242.34	251.48	2287.2	1662.49	1268.46	2351.53	2335.28	1467.37	1295.13	1745.2	3018.3	1832.01	239.52	1151.06	490.14	813.63	2240.11	2701.35	1745.2	2573.36	1883.54	3060.45	1757.34	486.75	2224.63	334.46	1277.29	872.1	1806.78	748.61	819.3
MROH6	209.84	23.76	16.75	25.54	0.0	0.87	206.94	130.6	105.15	32.59	180.02	297.17	176.29	363.56	529.06	151.22	172.65	94.01	738.29	371.22	61.25	98.04	325.29	30.34	412.0	343.89	146.03	693.58	78.89	283.05	248.0	42.71	291.04	26.47	234.57	273.37	1104.13	166.73	77.79
MRPL41	283.05	249.73	423.61	567.1	0.0	0.51	454.09	866.07	476.71	255.0	884.29	947.83	941.27	1286.18	2351.53	591.22	860.08	514.56	1073.91	981.29	303.44	753.83	358.54	351.14	587.13	1044.52	1561.89	1378.57	825.0	1119.56	1572.76	214.27	1059.11	327.56	921.88	575.03	1508.65	339.14	267.73
MTA1	406.31	180.02	241.19	246.28	0.0	1.33	599.49	403.5	470.14	229.72	748.61	684.02	921.88	2061.24	1199.98	620.67	961.07	361.04	769.69	1457.23	447.82	718.08	429.54	223.41	1594.73	1388.16	1551.09	1001.93	616.37	607.87	1225.22	320.8	842.36	140.04	679.29	718.08	2047.0	473.41	476.71
NME3	287.01	595.34	293.07	420.68	0.0	0.99	397.93	1397.83	872.1	728.11	1540.37	1388.16	947.83	4123.49	2682.69	1073.91	791.35	808.0	2591.27	1685.71	444.72	1733.13	651.58	575.03	1457.23	2090.03	2645.74	1697.45	854.13	2209.26	1781.89	435.55	2468.49	633.73	2271.4	988.12	1936.53	612.11	389.72
NPEPL1	63.45	193.01	65.72	199.85	0.0	0.84	595.34	624.99	567.1	244.57	947.83	713.11	785.88	1605.83	836.53	813.63	728.11	540.19	1427.22	1242.34	395.18	775.05	264.03	384.34	836.53	796.86	1583.71	703.28	688.78	860.08	1519.15	521.76	1250.98	371.22	1059.11	656.11	1857.6	629.35	249.73
PANX2	12.18	22.75	22.1	18.84	0.0	0.78	34.26	17.77	19.97	5.73	80.57	60.39	39.5	82.29	101.54	64.34	34.51	7.46	303.44	178.77	15.34	7.11	12.27	20.71	277.2	57.49	97.36	132.44	82.29	155.5	234.57	29.48	161.02	4.78	30.78	16.15	118.43	46.5	18.84
PFDN5	5219.6	8134.41	9279.58	6792.79	0.0	1.31	14065.74	15285.81	6983.79	25708.25	28723.62	15715.58	26431.04	39510.91	33455.53	10154.69	22535.88	16496.96	38164.99	25179.16	12415.75	16157.44	10225.32	13776.25	24660.96	35856.82	24153.43	19892.37	24321.43	22850.48	31215.04	17804.06	30361.44	36357.37	28525.2	10585.95	38966.94	7331.05	6561.36
PNPLA2	693.58	420.68	738.29	825.0	0.0	0.97	2047.0	2875.3	3280.18	808.0	3928.15	3190.46	4010.71	7180.15	7589.61	4095.0	4543.8	2255.7	6516.03	4095.0	723.08	2119.22	1540.37	995.0	6699.25	5255.91	3874.05	4010.71	4639.29	4903.87	5479.15	1304.15	4704.07	967.76	3928.15	2240.11	9025.81	1605.83	1437.15
PPP1R35	189.02	275.28	96.68	141.02	0.0	0.88	199.85	283.05	234.57	211.31	269.6	318.57	339.14	890.44	848.22	309.83	392.44	198.47	633.73	559.28	147.06	295.11	269.6	136.19	463.65	450.94	447.82	466.88	297.17	366.09	563.18	116.78	412.0	67.59	323.03	301.33	551.56	173.85	260.38
RPL13A	20593.91	18950.18	19082.0	13215.02	0.0	1.81	52135.28	50359.33	23986.58	22850.48	65082.31	34396.12	106462.55	153724.82	68793.23	38966.94	65082.31	28923.41	74760.09	73221.53	24490.61	52135.28	20451.65	21468.49	53601.03	81244.48	80125.95	62865.33	62865.33	60723.88	71219.26	52135.28	70727.3	34876.28	48307.85	41763.8	98646.85	16727.26	22692.63
RPL36	6607.01	3742.05	5147.73	7280.4	0.0	1.35	15934.98	23169.48	8840.04	5329.3	27938.14	13681.08	29736.59	51775.15	32994.92	11424.74	20030.74	9474.59	34396.12	20310.37	4639.29	17078.76	11827.67	8479.89	18431.96	47974.16	33224.42	20310.37	22072.07	27938.14	21768.19	13492.72	25887.07	9409.14	17437.64	13968.57	48643.87	4388.98	8022.41
RPS15	7803.01	5711.87	8191.0	7911.95	0.0	1.51	18819.27	31650.8	12943.04	14867.79	34876.28	17437.64	29124.6	69753.56	38966.94	17078.76	25005.23	13033.07	56657.31	23986.58	11827.67	20737.16	14663.09	11745.96	26248.46	53601.03	33224.42	28328.16	26248.46	32315.87	25354.3	15392.14	33224.42	11664.82	25530.66	16960.78	55107.99	6426.31	12076.21
S100A13	2319.15	2855.44	2119.22	194.36	0.0	0.74	5633.22	4388.98	4388.98	2018.8	7180.15	4038.61	7230.1	10296.45	7695.57	2240.11	2502.97	4298.64	7230.1	6337.83	2004.85	4769.75	1369.04	2645.74	6250.56	8840.04	8022.41	4268.94	7230.1	4268.94	6426.31	4152.18	9606.86	4543.8	4869.99	2573.36	9344.14	4450.27	3060.45
SCXA	1.3	3.66	0.0	0.0	0.0	0.79	26.47	23.93	9.06	5.41	29.91	47.84	19.82	80.57	141.02	17.77	17.51	25.17	72.01	58.71	14.67	11.47	29.48	5.06	46.84	61.25	15.0	60.82	9.34	76.17	48.52	2.76	36.27	2.58	68.55	23.93	96.68	5.68	2.71
SDR39U1	559.28	438.59	529.06	500.46	0.0	1.07	723.08	1378.57	674.59	660.68	1487.87	1143.1	1159.07	2287.2	1806.78	1023.0	890.44	785.88	2004.85	2090.03	921.88	1268.46	1191.69	921.88	1268.46	1487.87	2367.9	1662.49	921.88	1487.87	1685.71	638.15	1662.49	802.41	1857.6	902.89	2485.67	988.12	713.11
SFTPC	1.31	0.0	10.88	4.28	64186.29	44145.15	2.880867455E7	5.882801313E7	7.92550749E7	2039804.27	4.811555286E7	3.003205688E7	2.706640506E7	115696.65	4.188702152E7	3.130739107E7	1.343972137E7	2.880867455E7	1.587221249E7	1.18632822E7	8624442.87	5.761735011E7	1.712973997E7	3.801327429E7	4.878722096E7	2.49061716E7	1.501602794E7	2.525384881E7	5.228884881E7	1.0826562323E8	1.194579786E7	1.391367215E7	2.037080884E7	1.712973997E7	3.109113511E7	6.17527469E7	1.178133652E7	1.66613263E7	1.835920079E7
SIVA1	341.51	426.57	890.44	1259.69	3443.31	121.79	1806.78	4066.71	2255.7	1832.01	5183.54	3060.45	2777.33	4010.71	4704.07	2148.82	3491.39	2178.83	3928.15	3901.01	1447.15	3419.52	1397.83	2193.99	3257.52	5292.48	4010.71	3847.29	3639.7	5006.93	4543.8	2104.58	3564.78	1359.57	3982.99	1369.04	4298.64	1023.0	1331.57
SPSB3	154.42	223.41	447.82	529.06	0.0	0.64	438.59	934.76	1059.11	414.87	1487.87	884.29	1304.15	1594.73	1617.0	1008.9	1081.39	842.36	1794.29	1242.34	358.54	1037.29	470.14	629.35	860.08	1397.83	1605.83	1407.55	947.83	1397.83	1936.53	500.46	1794.29	551.56	1304.15	785.88	2209.26	669.92	379.04
TMEM259	1183.45	967.76	1081.39	1199.98	0.0	1.07	1340.84	1487.87	1551.09	981.29	2209.26	1870.53	2193.99	4769.75	2796.65	1923.14	2351.53	1277.29	3372.43	3665.02	1233.75	1769.57	1277.29	1208.34	3190.46	2645.74	3639.7	2720.15	2032.85	3372.43	3901.01	1233.75	2555.58	872.1	2935.74	1594.73	4095.0	1322.37	1001.93
TP53I13	228.13	175.07	287.01	221.86	0.0	0.77	351.14	1044.52	529.06	457.25	1111.82	759.08	780.44	1199.98	1617.0	819.3	723.08	1059.11	1769.57	1143.1	575.03	995.0	713.11	612.11	764.36	1487.87	1143.1	995.0	934.76	1322.37	1417.35	493.56	1096.5	447.82	1639.59	718.08	1259.69	579.04	336.79
TRABD	126.12	120.1	228.13	299.25	0.0	0.95	406.31	521.76	279.14	341.51	595.34	579.04	656.11	1208.34	785.88	612.11	483.38	358.54	791.35	1159.07	358.54	518.15	563.18	214.27	819.3	624.99	909.17	651.58	633.73	896.64	934.76	353.59	684.02	246.28	738.29	384.34	1225.22	348.71	379.04
UBXN1	220.32	277.2	1225.22	1350.18	0.0	0.97	2976.74	2502.97	3018.3	1794.29	4836.35	2855.44	4152.18	3820.7	4937.99	2777.33	4298.64	2816.11	5995.9	4543.8	1697.45	2682.69	1857.6	2627.46	4512.4	4736.79	3190.46	3955.48	4210.15	4802.93	5672.41	1427.22	4152.18	2682.69	4903.87	3257.52	6381.92	1950.0	2193.99
YPEL3	651.58	802.41	376.41	559.28	0.0	0.6	1832.01	2255.7	2664.15	1331.57	4358.66	3639.7	4704.07	4450.27	5872.48	3874.05	3589.58	3325.99	6745.86	4419.52	728.11	2119.22	1909.85	1519.15	5076.84	3103.19	3982.99	4328.55	3146.52	3901.01	5112.16	688.78	5076.84	1259.69	3168.41	2816.11	5076.84	1936.53	1143.1
ZCCHC3	59.55	42.41	26.1	40.07	0.0	0.22	185.11	138.1	131.51	45.85	140.04	143.01	195.72	164.42	201.25	119.26	121.79	88.26	151.22	194.36	66.18	110.43	146.03	70.01	86.43	171.45	111.99	156.59	113.56	132.44	163.28	66.18	201.25	71.0	92.7	100.83	318.57	63.89	122.64
