	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.A7.A26E.01A.11R.A277.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.AQ.A0Y5.01A.11R.A14M.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.U3ZN.0226.SM.3DB8D	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.13FTW.1126.SM.5J2NV	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	TCGA.38.4625.01A.01R.1206.07.1
PPIL4	688.78	1250.98	571.05	878.17	514.56	599.49	684.02	127.0	1008.9	1143.1	1143.1	22.92	191.67	244.57	176.29	104.42	190.34	217.27	130.6	113.56	463.65	111.21	251.48	104.42	43.32	220.32	264.03	256.78	195.72	197.09	444.72	199.85	182.55	201.25	346.29	220.32	224.97	199.85	228.13	384.34	202.66	126.12	258.57	242.88	232.94	148.09	454.09	251.48	249.73	186.4	157.68	0.49
QKI	1295.13	1037.29	866.07	995.0	1111.82	866.07	1685.71	182.55	1605.83	2061.24	1923.14	208.38	260.38	353.59	195.72	69.52	283.05	532.74	194.36	172.65	688.78	118.43	616.37	164.42	180.02	368.65	785.88	423.61	575.03	587.13	1519.15	563.18	305.55	595.34	591.22	297.17	1304.15	379.04	171.45	363.56	921.88	275.28	543.96	341.51	260.38	248.0	656.11	529.06	395.18	483.38	262.2	708.18
RNGTT	281.09	341.51	246.28	339.14	301.33	400.71	251.48	57.08	217.27	228.13	320.8	52.45	70.51	121.79	80.01	40.64	106.63	102.25	45.53	52.45	214.27	32.36	226.54	59.13	81.71	87.65	133.36	84.04	155.5	118.43	256.78	153.34	111.99	96.01	142.01	127.89	136.19	71.0	60.39	80.57	94.01	43.94	133.36	73.03	43.32	125.24	88.26	87.65	57.08	139.07	76.17	0.33
SEC23A	1159.07	1551.09	1175.27	947.83	941.27	1066.48	2047.0	122.64	1191.69	1322.37	1073.91	181.28	368.65	547.75	271.48	291.04	563.18	860.08	351.14	202.66	1388.16	309.83	1191.69	353.59	432.53	674.59	1208.34	514.56	1685.71	595.34	2555.58	1015.93	1051.79	909.17	785.88	547.75	1191.69	718.08	392.44	384.34	1096.5	525.39	1286.18	616.37	262.2	607.87	651.58	480.04	432.53	1119.56	616.37	0.72
SERINC1	4575.41	7382.04	4575.41	5913.33	4123.49	4210.15	4704.07	1001.93	8421.31	11267.44	6887.62	1936.53	1268.46	2271.4	836.53	612.11	1286.18	2287.2	1529.73	1295.13	2915.45	718.08	3124.78	684.02	2090.03	3124.78	2796.65	2224.63	3443.31	2047.0	6887.62	2682.69	1135.2	2609.3	3280.18	2627.46	5041.77	2351.53	2255.7	2163.77	3060.45	2835.7	2061.24	2915.45	1277.29	1794.29	2255.7	2240.11	2018.8	4388.98	1551.09	0.46
SLC35A1	1066.48	1359.57	764.36	1769.57	1242.34	2119.22	830.75	246.28	1127.35	1167.14	743.43	173.85	156.59	423.61	194.36	199.85	217.27	289.02	142.01	221.86	555.41	178.77	733.19	212.78	221.86	406.31	329.84	403.5	299.25	591.22	567.1	551.56	248.0	236.21	616.37	291.04	647.07	209.84	343.89	503.95	231.32	221.86	309.83	420.68	258.57	312.0	305.55	341.51	389.72	351.14	307.69	0.46
SRP54	1883.54	1794.29	1857.6	2485.67	1340.84	1857.6	1844.76	571.05	1340.84	1844.76	1467.37	500.46	902.89	1250.98	954.43	775.05	1104.13	1111.82	974.5	748.61	2434.5	595.34	1457.23	1037.29	616.37	890.44	656.11	713.11	1250.98	571.05	2367.9	884.29	941.27	988.12	981.29	753.83	909.17	825.0	764.36	802.41	947.83	647.07	890.44	718.08	555.41	507.46	1030.12	599.49	884.29	1088.92	896.64	1.0
TMED7	2400.97	1896.65	3060.45	2875.3	1923.14	2537.92	2555.58	287.01	2047.0	2682.69	3794.3	457.25	1015.93	1369.04	642.59	511.0	884.29	1096.5	915.51	620.67	1617.0	497.0	1651.0	476.71	665.29	941.27	1081.39	698.41	1388.16	1225.22	2255.7	1806.78	591.22	813.63	1594.73	878.17	921.88	1233.75	669.92	764.36	974.5	624.99	1417.35	688.78	514.56	890.44	1151.06	1111.82	759.08	995.0	559.28	107.38
TMEM181	713.11	1127.35	647.07	1183.45	842.36	1059.11	769.69	135.24	629.35	780.44	848.22	150.17	85.22	287.01	106.63	90.77	163.28	180.02	156.59	161.02	273.37	90.14	454.09	111.21	163.28	154.42	127.89	131.51	215.77	187.71	363.56	202.66	135.24	156.59	156.59	144.01	244.57	156.59	115.97	125.24	199.85	93.35	251.48	136.19	110.43	220.32	162.14	76.71	98.73	189.02	130.6	0.79
TMEM30A	2104.58	3395.89	2047.0	3515.68	2061.24	2485.67	2875.3	312.0	2895.31	3614.55	4972.34	579.04	612.11	825.0	547.75	232.94	540.19	651.58	381.68	651.58	1733.13	392.44	1331.57	373.81	642.59	909.17	1295.13	860.08	995.0	915.51	1183.45	1583.71	559.28	981.29	1447.15	961.07	1304.15	974.5	854.13	941.27	830.75	665.29	1250.98	1199.98	647.07	748.61	890.44	890.44	961.07	1175.27	361.04	215.77
TMF1	934.76	995.0	551.56	612.11	583.07	376.41	1119.56	65.72	748.61	860.08	764.36	8.85	87.03	127.0	63.0	40.93	68.55	146.03	81.71	52.08	209.84	59.13	226.54	88.88	35.76	97.36	154.42	102.25	144.01	215.77	273.37	143.01	127.0	178.77	116.78	88.88	139.07	82.29	73.54	262.2	170.25	75.11	124.37	108.14	75.64	74.06	194.36	85.82	96.01	126.12	81.14	0.48
TRAPPC6B	497.0	483.38	571.05	713.11	397.93	808.0	447.82	118.43	638.15	813.63	647.07	85.82	135.24	228.13	140.04	255.0	191.67	303.44	177.53	121.79	575.03	158.79	366.09	206.94	97.36	314.17	228.13	234.57	260.38	318.57	490.14	579.04	193.01	218.79	318.57	281.09	316.37	299.25	303.44	441.64	256.78	198.47	293.07	285.03	232.94	260.38	334.46	293.07	265.87	236.21	234.57	0.53
UBE2J1	1073.91	796.86	1268.46	1508.65	1030.12	1417.35	633.73	186.4	1508.65	974.5	1369.04	289.02	351.14	493.56	255.0	87.03	283.05	279.14	125.24	224.97	612.11	167.9	518.15	209.84	151.22	293.07	567.1	258.57	633.73	255.0	780.44	376.41	283.05	373.81	417.77	218.79	341.51	343.89	175.07	307.69	356.05	217.27	366.09	177.53	193.01	363.56	376.41	231.32	181.28	403.5	271.48	0.54
UBE3A	1225.22	1313.23	1583.71	941.27	3280.18	1529.73	1313.23	228.13	1159.07	1183.45	1378.57	76.71	289.02	435.55	215.77	255.0	312.0	435.55	251.48	193.01	684.02	256.78	547.75	157.68	134.3	376.41	368.65	305.55	387.02	674.59	872.1	536.45	412.0	336.79	507.46	334.46	483.38	309.83	414.87	603.67	417.77	316.37	389.72	441.64	414.87	231.32	356.05	353.59	346.29	403.5	253.23	80.57
UFL1	813.63	1015.93	872.1	1167.14	785.88	819.3	703.28	69.52	656.11	547.75	981.29	52.08	152.28	346.29	157.68	84.63	180.02	228.13	158.79	108.14	665.29	85.22	483.38	102.25	68.07	334.46	234.57	229.72	638.15	285.03	1119.56	463.65	327.56	237.86	412.0	256.78	412.0	295.11	277.2	358.54	258.57	158.79	305.55	314.17	307.69	220.32	260.38	217.27	165.57	329.84	251.48	90.14
USO1	3124.78	1769.57	1651.0	1605.83	1819.35	1936.53	2018.8	403.5	1697.45	1685.71	2255.7	129.69	591.22	1151.06	624.99	312.0	698.41	1651.0	775.05	417.77	1709.26	438.59	1369.04	872.1	264.03	1037.29	1268.46	753.83	1977.24	775.05	3690.52	928.3	764.36	1001.93	1388.16	988.12	1350.18	802.41	753.83	1119.56	1487.87	559.28	1259.69	693.58	775.05	525.39	934.76	591.22	723.08	1313.23	1151.06	153.34
USP16	791.35	1295.13	995.0	708.18	813.63	1001.93	780.44	220.32	1277.29	1322.37	802.41	52.45	303.44	571.05	239.52	293.07	373.81	480.04	214.27	295.11	656.11	228.13	603.67	334.46	81.71	301.33	343.89	267.73	406.31	457.25	961.07	511.0	323.03	318.57	497.0	271.48	305.55	229.72	307.69	406.31	387.02	251.48	379.04	262.2	450.94	327.56	400.71	271.48	293.07	297.17	303.44	0.42
USP45	155.5	236.21	157.68	332.14	146.03	249.73	201.25	35.0	176.29	158.79	236.21	25.17	40.07	98.04	41.81	27.05	74.06	71.0	51.35	52.45	123.5	40.93	122.64	43.94	24.11	77.25	34.51	78.34	60.39	29.48	124.37	71.0	107.38	55.1	68.55	92.05	52.82	49.91	27.05	79.45	132.44	35.76	96.68	60.82	112.77	43.32	68.55	46.84	95.34	72.01	67.12	0.47
UTP14C	232.94	703.28	293.07	293.07	339.14	3280.18	529.06	66.18	341.51	587.13	463.65	54.33	105.89	115.97	72.01	49.56	90.14	202.66	75.64	90.77	148.09	63.45	269.6	71.5	70.01	98.04	148.09	104.42	209.84	137.14	423.61	163.28	87.03	134.3	206.94	120.1	236.21	128.79	117.6	130.6	143.01	120.1	183.82	126.12	156.59	84.04	116.78	158.79	104.42	138.1	95.34	0.0
VTA1	1477.58	1073.91	1340.84	1721.16	1427.22	1697.45	674.59	246.28	1191.69	2555.58	1183.45	224.97	356.05	384.34	271.48	149.12	336.79	414.87	314.17	265.87	878.17	153.34	819.3	218.79	346.29	432.53	791.35	343.89	878.17	460.44	1151.06	521.76	490.14	503.95	603.67	435.55	836.53	551.56	371.22	406.31	540.19	529.06	395.18	384.34	297.17	438.59	551.56	463.65	323.03	563.18	420.68	0.13
ZFAND6	4802.93	2682.69	3212.66	2224.63	2502.97	3103.19	2591.27	988.12	2976.74	4181.07	2400.97	748.61	1757.34	1651.0	1304.15	1340.84	1721.16	1896.65	1617.0	1832.01	2573.36	981.29	2255.7	775.05	1143.1	1721.16	2133.97	1733.13	2104.58	2335.28	2468.49	3443.31	2018.8	1806.78	2935.74	1508.65	1870.53	2018.8	1427.22	1242.34	1745.2	1119.56	2133.97	1313.23	1477.58	1651.0	2485.67	1594.73	1605.83	2004.85	1388.16	312.0
ZMYND11	1073.91	1832.01	1242.34	947.83	2367.9	2032.85	1757.34	343.89	1794.29	1781.89	1359.57	221.86	389.72	540.19	220.32	164.42	287.01	438.59	267.73	244.57	638.15	262.2	674.59	346.29	220.32	343.89	447.82	314.17	493.56	444.72	896.64	511.0	346.29	463.65	423.61	414.87	656.11	414.87	432.53	473.41	607.87	265.87	414.87	438.59	303.44	336.79	483.38	262.2	303.44	463.65	312.0	0.55
