	GTEX.SE5C.1026.SM.4BRUG	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZT9W.2126.SM.51MSF	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3T8.11A.11R.A22L.07	TCGA.EL.A3T3.11A.11R.A22L.07	TCGA.EL.A3ZR.11A.11R.A23N.07	TCGA.KS.A41L.11A.11R.A23N.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3H1.11A.11R.A21D.07	TCGA.EL.A3T7.11A.21R.A22L.07	TCGA.KS.A41J.11A.12R.A23N.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.H2.A3RI.11A.11R.A220.07	TCGA.EM.A1CT.11A.11R.A13Y.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.XUW1.1026.SM.4BONY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.XBEW.0126.SM.4AT66	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O21.2226.SM.5MR3L
CMTR1	376.41	0.0	152.28	158.79	493.56	575.03	441.64	366.09	339.14	400.71	417.77	366.09	525.39	414.87	406.31	395.18	591.22	595.34	595.34	638.15	679.29	493.56	642.59	624.99	656.11	718.08	629.35	490.14	743.43	470.14	483.38	540.19	718.08	651.58	612.11	728.11	642.59	486.75	507.46	674.59	651.58	470.14	555.41	638.15	497.0	555.41	638.15	571.05	733.19	679.29	583.07	738.29	866.07	571.05	612.11	493.56	503.95	616.37	728.11	500.46	753.83	660.68	447.82	656.11	493.56	575.03	665.29	395.18	559.28	759.08	603.67	571.05	463.65	642.59	583.07	532.74	406.31	551.56	463.65	693.58	616.37	638.15	669.92	511.0	591.22	660.68	460.44	620.67
CPSF7	698.41	0.0	444.72	470.14	1225.22	1051.79	785.88	543.96	647.07	1037.29	1059.11	785.88	1119.56	759.08	733.19	679.29	1477.58	1529.73	2119.22	2061.24	2018.8	1295.13	2303.12	1628.26	1806.78	1721.16	1697.45	1199.98	2303.12	1233.75	1551.09	1457.23	1909.85	1313.23	1529.73	2032.85	1561.89	1378.57	1151.06	1397.83	1745.2	1175.27	1407.55	1551.09	1199.98	1167.14	1369.04	1605.83	2739.08	1417.35	2148.82	2434.5	1909.85	2335.28	1883.54	1769.57	1417.35	1806.78	2351.53	1104.13	2004.85	1662.49	1037.29	1923.14	1427.22	1378.57	1819.35	1191.69	1259.69	2451.44	1561.89	1199.98	1096.5	2555.58	1295.13	1331.57	733.19	1286.18	1208.34	2224.63	1605.83	1477.58	1896.65	1135.2	1359.57	2119.22	1313.23	1572.76
CRAMP1L	80.01	0.0	36.01	92.7	208.38	209.84	164.42	120.1	115.16	190.34	178.77	91.41	166.73	183.82	146.03	154.42	336.79	325.29	353.59	318.57	432.53	237.86	381.68	366.09	397.93	363.56	301.33	228.13	327.56	195.72	223.41	265.87	353.59	329.84	199.85	366.09	287.01	205.5	221.86	334.46	376.41	197.09	242.88	444.72	236.21	229.72	231.32	217.27	343.89	221.86	287.01	348.71	346.29	457.25	273.37	323.03	248.0	395.18	476.71	199.85	423.61	341.51	178.77	291.04	221.86	309.83	363.56	180.02	226.54	438.59	305.55	285.03	191.67	361.04	253.23	281.09	158.79	239.52	187.71	366.09	267.73	343.89	341.51	195.72	316.37	420.68	204.07	327.56
DDX17	3820.7	2287.2	995.0	1233.75	4736.79	4066.71	2895.31	3372.43	1977.24	4268.94	4543.8	3467.27	4575.41	2777.33	3540.14	2758.13	7911.95	7230.1	12502.12	10014.87	11504.21	6699.25	9945.68	9673.69	8963.45	8901.53	8718.32	7749.1	15075.35	6164.49	6792.79	6121.9	11267.44	8901.53	8191.0	10659.59	9088.59	6037.61	5872.48	6426.31	10014.87	7433.4	6745.86	6561.36	7130.55	7081.29	7230.1	7180.15	10808.41	7911.95	6699.25	11345.82	11584.24	13306.94	9409.14	6207.38	7130.55	13872.08	11424.74	5594.3	12853.63	6250.56	5076.84	10154.69	7382.04	7695.57	10512.82	5441.3	7280.4	11424.74	8078.22	7331.05	5112.16	10883.59	6652.97	7695.57	4543.8	7695.57	4210.15	10014.87	6745.86	9409.14	10296.45	7433.4	9151.82	9808.75	6164.49	7642.41
DENND4B	358.54	379.04	122.64	120.1	406.31	291.04	432.53	343.89	320.8	361.04	567.1	429.54	403.5	420.68	457.25	429.54	521.76	555.41	599.49	620.67	603.67	540.19	532.74	536.45	988.12	651.58	555.41	397.93	607.87	389.72	318.57	441.64	595.34	567.1	373.81	669.92	540.19	348.71	412.0	575.03	567.1	406.31	518.15	518.15	511.0	514.56	473.41	457.25	713.11	507.46	521.76	525.39	780.44	825.0	384.34	575.03	444.72	441.64	764.36	371.22	688.78	688.78	450.94	587.13	406.31	435.55	595.34	361.04	500.46	878.17	441.64	400.71	387.02	575.03	423.61	438.59	277.2	429.54	457.25	660.68	460.44	486.75	529.06	450.94	511.0	842.36	503.95	591.22
DIP2A	164.42	209.84	87.65	144.01	269.6	314.17	226.54	186.4	215.77	295.11	293.07	237.86	293.07	201.25	253.23	221.86	384.34	358.54	493.56	414.87	460.44	343.89	409.15	457.25	483.38	423.61	392.44	267.73	473.41	258.57	339.14	303.44	480.04	339.14	318.57	500.46	366.09	273.37	316.37	353.59	397.93	264.03	312.0	368.65	275.28	366.09	281.09	368.65	438.59	325.29	346.29	395.18	476.71	486.75	414.87	289.02	314.17	389.72	493.56	232.94	529.06	389.72	271.48	381.68	283.05	309.83	409.15	232.94	329.84	603.67	318.57	325.29	262.2	463.65	305.55	332.14	231.32	297.17	281.09	450.94	314.17	395.18	444.72	341.51	332.14	381.68	256.78	395.18
DMTF1	291.04	0.0	56.28	128.79	890.44	890.44	511.0	447.82	441.64	884.29	733.19	470.14	1208.34	441.64	674.59	642.59	1498.22	1417.35	1806.78	2119.22	2178.83	1143.1	1745.2	1896.65	1674.06	1709.26	1832.01	825.0	2855.44	1030.12	1081.39	1167.14	1540.37	1369.04	1304.15	2148.82	1883.54	1104.13	947.83	1096.5	1529.73	884.29	1008.9	995.0	854.13	1304.15	1167.14	1208.34	2351.53	1191.69	1388.16	1709.26	2178.83	2075.59	1119.56	1088.92	1119.56	2351.53	2032.85	884.29	1991.0	1407.55	830.75	1561.89	1008.9	954.43	2319.15	679.29	1467.37	2193.99	1191.69	1001.93	599.49	1923.14	1208.34	1407.55	490.14	1167.14	483.38	2384.37	1277.29	1437.15	1639.59	1066.48	1721.16	1561.89	1225.22	1199.98
GABBR1	316.37	0.0	5.96	15.91	291.04	187.71	368.65	323.03	171.45	309.83	351.14	147.06	117.6	94.67	275.28	157.68	642.59	532.74	620.67	656.11	525.39	473.41	555.41	500.46	647.07	555.41	571.05	336.79	902.89	348.71	387.02	389.72	432.53	470.14	423.61	651.58	165.57	518.15	351.14	483.38	397.93	291.04	366.09	500.46	332.14	438.59	444.72	525.39	764.36	435.55	651.58	457.25	728.11	934.76	743.43	346.29	470.14	432.53	769.69	316.37	559.28	629.35	131.51	633.73	423.61	379.04	389.72	275.28	260.38	769.69	525.39	384.34	305.55	414.87	281.09	265.87	163.28	329.84	356.05	406.31	291.04	248.0	497.0	435.55	529.06	420.68	327.56	339.14
GGA3	376.41	0.0	246.28	301.33	514.56	529.06	371.22	289.02	279.14	379.04	414.87	316.37	379.04	447.82	325.29	277.2	514.56	518.15	603.67	624.99	651.58	532.74	616.37	607.87	703.28	688.78	599.49	417.77	693.58	341.51	363.56	563.18	718.08	525.39	397.93	669.92	693.58	314.17	381.68	647.07	669.92	353.59	432.53	651.58	466.88	423.61	432.53	395.18	718.08	476.71	665.29	759.08	819.3	764.36	507.46	708.18	417.77	579.04	753.83	409.15	665.29	684.02	387.02	525.39	483.38	432.53	551.56	316.37	518.15	656.11	521.76	497.0	327.56	493.56	476.71	486.75	297.17	521.76	447.82	813.63	503.95	563.18	500.46	432.53	759.08	890.44	420.68	647.07
HELB	5.92	0.0	4.66	1.25	7.63	16.15	3.59	4.82	3.26	5.87	5.45	5.19	2.61	7.28	8.19	2.1	14.56	17.9	21.63	14.03	19.25	15.0	15.45	15.68	37.85	24.99	11.47	6.52	53.57	11.04	15.45	7.46	17.38	18.56	12.0	52.08	12.93	11.64	5.19	10.08	14.89	13.52	6.11	11.3	11.73	10.24	8.32	12.27	27.25	8.78	14.67	18.16	16.88	35.0	15.34	16.75	19.53	16.51	16.27	8.06	52.45	16.75	10.39	17.51	6.52	9.13	19.53	1.69	14.78	20.56	4.35	17.51	7.69	37.05	17.38	10.63	4.03	10.96	5.92	17.9	12.09	18.29	21.94	22.43	6.89	29.27	11.38	13.42
INTU	12.74	45.21	18.29	10.96	102.25	100.83	61.25	66.65	39.79	64.34	64.34	55.1	79.45	54.72	54.72	45.21	147.06	126.12	212.78	217.27	204.07	136.19	146.03	185.11	143.01	143.01	158.79	99.43	309.83	90.77	127.0	96.01	80.01	98.73	139.07	264.03	107.38	166.73	100.13	68.07	126.12	101.54	123.5	66.18	65.72	156.59	130.6	116.78	154.42	110.43	169.07	166.73	209.84	190.34	193.01	81.14	165.57	169.07	148.09	82.29	262.2	80.01	69.03	202.66	164.42	96.01	136.19	64.34	67.12	229.72	122.64	98.04	72.52	221.86	102.97	111.21	44.57	76.71	68.55	202.66	88.88	138.1	147.06	131.51	177.53	133.36	205.5	117.6
KSR1	165.57	0.0	563.18	738.29	358.54	764.36	521.76	256.78	341.51	486.75	384.34	246.28	420.68	559.28	417.77	185.11	981.29	1104.13	1467.37	1437.15	1709.26	909.17	1857.6	1369.04	1350.18	1313.23	1216.75	483.38	2163.77	896.64	679.29	825.0	1151.06	1233.75	748.61	2537.92	1073.91	547.75	669.92	830.75	1268.46	718.08	612.11	995.0	854.13	1331.57	1662.49	884.29	1832.01	1208.34	866.07	1104.13	1870.53	2384.37	1191.69	1331.57	642.59	1806.78	1651.0	723.08	2701.35	1001.93	733.19	1477.58	723.08	915.51	1662.49	265.87	1175.27	1883.54	1059.11	684.02	718.08	2956.17	647.07	1037.29	305.55	1119.56	813.63	1572.76	995.0	1350.18	733.19	518.15	791.35	1529.73	1051.79	1143.1
L3MBTL1	52.45	0.0	1.07	11.47	145.02	158.79	76.17	84.63	61.68	169.07	138.1	44.89	164.42	77.25	82.29	74.58	318.57	277.2	373.81	351.14	438.59	166.73	287.01	314.17	277.2	295.11	320.8	145.02	379.04	159.9	202.66	129.69	283.05	201.25	198.47	473.41	135.24	151.22	137.14	173.85	271.48	124.37	142.01	334.46	149.12	183.82	201.25	239.52	435.55	258.57	248.0	289.02	450.94	429.54	299.25	193.01	248.0	228.13	447.82	122.64	563.18	320.8	100.83	406.31	156.59	205.5	314.17	163.28	171.45	547.75	242.88	164.42	141.02	476.71	145.02	181.28	150.17	175.07	136.19	361.04	194.36	256.78	314.17	178.77	293.07	275.28	173.85	224.97
MAU2	226.54	329.84	194.36	293.07	656.11	532.74	441.64	363.56	316.37	497.0	486.75	339.14	497.0	423.61	454.09	264.03	819.3	753.83	842.36	848.22	1127.35	620.67	909.17	947.83	896.64	866.07	802.41	507.46	836.53	384.34	555.41	651.58	967.76	759.08	567.1	974.5	723.08	373.81	603.67	808.0	872.1	521.76	633.73	967.76	647.07	532.74	647.07	660.68	825.0	718.08	633.73	791.35	941.27	947.83	647.07	674.59	543.96	769.69	1191.69	587.13	1216.75	808.0	466.88	791.35	441.64	713.11	878.17	426.57	555.41	1037.29	743.43	748.61	503.95	896.64	638.15	674.59	420.68	651.58	612.11	1037.29	629.35	819.3	802.41	473.41	669.92	872.1	476.71	854.13
MBD1	620.67	0.0	265.87	353.59	884.29	854.13	902.89	529.06	674.59	703.28	785.88	540.19	748.61	941.27	684.02	656.11	981.29	1088.92	1159.07	1199.98	1277.29	1015.93	1183.45	1167.14	1199.98	1127.35	1104.13	872.1	1242.34	713.11	808.0	1059.11	1001.93	1015.93	1088.92	1233.75	921.88	728.11	941.27	1119.56	1208.34	890.44	902.89	1159.07	995.0	808.0	934.76	947.83	1322.37	988.12	1059.11	1295.13	1331.57	1388.16	947.83	1001.93	866.07	988.12	1397.83	961.07	1350.18	1208.34	780.44	1127.35	848.22	981.29	1175.27	723.08	954.43	1304.15	1216.75	1030.12	825.0	1119.56	974.5	915.51	642.59	934.76	819.3	1277.29	1051.79	909.17	1051.79	988.12	988.12	1183.45	902.89	1081.39
MLLT6	529.06	454.09	147.06	191.67	1936.53	759.08	1104.13	981.29	884.29	866.07	1594.73	954.43	954.43	647.07	1277.29	738.29	1991.0	1923.14	2537.92	2400.97	2627.46	1844.76	2701.35	2047.0	2451.44	2287.2	1769.57	1388.16	1991.0	1277.29	1259.69	1457.23	1991.0	1769.57	1508.65	2915.45	1498.22	1277.29	1015.93	1896.65	2303.12	1073.91	1250.98	2090.03	1322.37	1540.37	1662.49	1437.15	2739.08	1359.57	2255.7	2271.4	2895.31	4152.18	1757.34	2133.97	1605.83	2485.67	2701.35	1104.13	2520.38	2047.0	1175.27	1977.24	1733.13	1551.09	1950.0	909.17	1639.59	2758.13	1651.0	1529.73	1088.92	2468.49	1407.55	1651.0	679.29	1551.09	1628.26	2895.31	1572.76	1923.14	2047.0	1572.76	2104.58	2720.15	1662.49	1857.6
