	TCGA.5N.A9KI.01A.31R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CM.6171.01A.11R.1653.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GL.01A.12R.A37I.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	GTEX.WHPG.0426.SM.4M1XW	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5
NR2C1	246.28	269.6	503.95	698.41	723.08	836.53	1359.57	493.56	466.88	2271.4	872.1	1540.37	934.76	733.19	819.3	123.5	412.0	376.41	381.68	444.72	228.13	371.22	490.14	457.25	158.79	356.05	339.14	202.66	295.11	343.89	607.87	684.02	703.28	262.2	1697.45	934.76	1096.5	1457.23	738.29	325.29	511.0	967.76	387.02	303.44	414.87	314.17
NUP160	201.25	242.88	221.86	320.8	389.72	305.55	571.05	470.14	373.81	547.75	500.46	603.67	348.71	444.72	356.05	88.26	127.0	111.99	108.9	79.45	111.21	154.42	101.54	119.26	115.16	136.19	77.79	80.01	275.28	316.37	450.94	339.14	669.92	2240.11	830.75	490.14	447.82	785.88	503.95	205.5	454.09	693.58	239.52	299.25	234.57	202.66
NUPL1	255.0	466.88	283.05	236.21	389.72	438.59	647.07	429.54	595.34	559.28	438.59	836.53	521.76	412.0	426.57	173.85	155.5	109.66	156.59	126.12	74.58	96.68	170.25	117.6	87.65	68.55	140.04	104.42	307.69	267.73	271.48	289.02	679.29	693.58	607.87	555.41	738.29	507.46	441.64	187.71	316.37	438.59	316.37	236.21	211.31	201.25
PAXBP1	220.32	149.12	215.77	397.93	371.22	392.44	796.86	638.15	529.06	775.05	376.41	902.89	688.78	389.72	409.15	17.38	117.6	108.9	123.5	93.35	115.97	108.14	94.67	99.43	39.22	111.99	186.4	26.86	239.52	246.28	432.53	251.48	802.41	476.71	684.02	361.04	454.09	651.58	579.04	176.29	518.15	791.35	176.29	178.77	197.09	229.72
PCNXL4	104.42	163.28	334.46	460.44	616.37	334.46	387.02	242.88	406.31	301.33	143.01	543.96	249.73	318.57	190.34	204.07	121.79	130.6	135.24	80.01	175.07	154.42	186.4	141.02	126.12	155.5	150.17	94.01	309.83	147.06	318.57	343.89	830.75	660.68	503.95	287.01	450.94	547.75	579.04	198.47	473.41	466.88	211.31	134.3	205.5	194.36
PDS5A	358.54	426.57	426.57	389.72	563.18	514.56	753.83	463.65	665.29	563.18	414.87	813.63	473.41	536.45	503.95	123.5	253.23	204.07	260.38	199.85	156.59	194.36	275.28	258.57	157.68	277.2	226.54	267.73	679.29	366.09	567.1	497.0	995.0	819.3	802.41	688.78	819.3	928.3	981.29	314.17	514.56	780.44	397.93	435.55	281.09	351.14
PHF3	215.77	258.57	348.71	480.04	571.05	217.27	480.04	229.72	351.14	480.04	316.37	624.99	341.51	275.28	221.86	29.91	155.5	142.01	185.11	62.56	112.77	84.63	167.9	98.04	58.3	169.07	96.01	248.0	348.71	164.42	379.04	273.37	679.29	796.86	547.75	181.28	339.14	595.34	486.75	269.6	384.34	283.05	170.25	273.37	248.0	279.14
PHIP	73.03	103.69	116.78	214.27	273.37	197.09	327.56	234.57	265.87	291.04	242.88	559.28	303.44	260.38	167.9	12.55	50.98	22.75	41.81	15.68	27.25	23.42	49.91	24.81	9.63	29.7	28.86	14.45	260.38	114.36	343.89	262.2	460.44	656.11	412.0	139.07	287.01	540.19	395.18	110.43	242.88	412.0	119.26	153.34	145.02	169.07
PPIL4	368.65	212.78	358.54	409.15	476.71	409.15	575.03	285.03	441.64	473.41	277.2	629.35	547.75	426.57	269.6	22.92	190.34	128.79	187.71	130.6	88.26	111.21	220.32	138.1	43.32	180.02	148.09	211.31	403.5	234.57	708.18	339.14	511.0	981.29	620.67	591.22	343.89	540.19	470.14	198.47	450.94	426.57	400.71	341.51	332.14	348.71
PRPF39	161.02	316.37	384.34	532.74	507.46	476.71	748.61	612.11	921.88	848.22	323.03	921.88	738.29	503.95	470.14	33.06	182.55	143.01	177.53	125.24	107.38	137.14	123.5	134.3	27.64	82.29	91.41	30.34	228.13	220.32	420.68	309.83	941.27	587.13	647.07	435.55	493.56	624.99	454.09	205.5	406.31	473.41	189.02	158.79	239.52	232.94
