	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.BP.5178.01A.01R.1426.07	TCGA.B0.5084.01A.01R.1334.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.B0.5088.01A.01R.1334.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.BQ.5889.01A.11R.1592.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A896.01A.11R.A36F.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.ZG.A9M4.01A.11R.A41O.07	TCGA.F5.6812.01A.11R.1830.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.KP.A3W1.01A.11R.A22K.07	TCGA.AJ.A8CT.01A.11R.A37O.07
BCAP31	16960.78	11112.3	5791.62	9025.81	10512.82	11745.96	7230.1	7230.1	8421.31	10084.54	6164.49	4869.99	7966.99	6887.62	7485.11	7642.41	6164.49	7589.61	6887.62	6037.61	5517.27	7280.4	4937.99	7180.15	2956.17	3982.99	4210.15	3325.99	2303.12	2701.35	1883.54	2682.69	2061.24	2367.9	2627.46	1977.24	3874.05	2367.9	3742.05	2720.15	4937.99	3639.7	2573.36	4575.41	3212.66	2485.67	4152.18	3690.52	2875.3	3742.05	2148.82	4704.07	2367.9	2796.65	2090.03	7331.05	2133.97	5076.84	3955.48	3212.66	2997.45	5329.3	1936.53	2485.67	2935.74	2591.27	5479.15	6471.02	5403.7	12676.65	5076.84
BUD31	4736.79	3665.02	2032.85	3190.46	3847.29	4736.79	3491.39	3103.19	2417.67	2193.99	3614.55	2573.36	2664.15	3280.18	4704.07	3564.78	3146.52	3146.52	2591.27	4903.87	6935.54	3874.05	4543.8	3212.66	961.07	1397.83	1175.27	1388.16	1037.29	921.88	1216.75	1417.35	1350.18	1015.93	1304.15	1216.75	1259.69	988.12	1437.15	1059.11	1819.35	1457.23	1697.45	1508.65	896.64	974.5	2090.03	2193.99	1059.11	1233.75	1127.35	1427.22	796.86	1104.13	1167.14	1651.0	1268.46	1175.27	848.22	1286.18	1073.91	915.51	836.53	921.88	1030.12	1008.9	2664.15	2319.15	2997.45	4388.98	3716.2
C12orf73	325.29	318.57	395.18	262.2	555.41	346.29	264.03	262.2	221.86	221.86	291.04	183.82	251.48	400.71	511.0	237.86	316.37	356.05	237.86	384.34	361.04	297.17	412.0	246.28	115.16	83.45	166.73	129.69	135.24	117.6	186.4	113.56	154.42	180.02	177.53	199.85	94.01	180.02	175.07	167.9	122.64	281.09	214.27	249.73	162.14	175.07	221.86	176.29	142.01	98.73	220.32	260.38	91.41	204.07	182.55	120.1	170.25	121.79	85.22	157.68	155.5	87.65	159.9	98.73	131.51	277.2	256.78	271.48	366.09	242.88	209.84
C18orf21	738.29	624.99	595.34	490.14	890.44	587.13	507.46	567.1	511.0	647.07	381.68	441.64	616.37	555.41	620.67	616.37	551.56	616.37	518.15	543.96	525.39	438.59	503.95	490.14	275.28	262.2	226.54	309.83	403.5	197.09	217.27	329.84	277.2	318.57	356.05	353.59	285.03	283.05	358.54	244.57	277.2	447.82	473.41	312.0	260.38	265.87	229.72	194.36	208.38	165.57	318.57	256.78	220.32	351.14	334.46	205.5	165.57	171.45	271.48	279.14	303.44	108.9	314.17	223.41	325.29	348.71	511.0	400.71	693.58	476.71	470.14
C19orf53	7537.18	11992.79	3614.55	7382.04	14561.8	7749.1	5329.3	6337.83	4358.66	4769.75	5594.3	4736.79	6337.83	4903.87	7749.1	7966.99	5329.3	6516.03	4869.99	6516.03	6079.61	7331.05	5329.3	5633.22	2224.63	2875.3	2855.44	3325.99	2178.83	1757.34	2777.33	2777.33	1794.29	2591.27	2956.17	2997.45	2956.17	2148.82	3060.45	1857.6	2935.74	2451.44	3372.43	3467.27	3955.48	2573.36	2555.58	2796.65	2090.03	3372.43	3257.52	3257.52	1923.14	1806.78	2855.44	2976.74	2400.97	2367.9	2935.74	2609.3	2573.36	1977.24	2061.24	2367.9	2163.77	2502.97	2520.38	3820.7	8718.32	6079.61	5791.62
CARS2	1757.34	1378.57	1066.48	1721.16	2335.28	1508.65	1369.04	1250.98	1183.45	981.29	1487.87	1359.57	1259.69	1407.55	1594.73	2075.59	1883.54	1250.98	1216.75	2303.12	1015.93	2004.85	1883.54	1417.35	1044.52	759.08	1268.46	1477.58	848.22	708.18	1088.92	1073.91	529.06	1427.22	1119.56	1551.09	902.89	1427.22	679.29	1167.14	1059.11	1277.29	1096.5	1044.52	1583.71	1498.22	842.36	1008.9	1277.29	967.76	1127.35	1508.65	698.41	1477.58	1819.35	796.86	1119.56	543.96	738.29	934.76	1175.27	728.11	808.0	995.0	1044.52	819.3	1001.93	1605.83	1883.54	854.13	1819.35
CCDC124	3847.29	2502.97	2591.27	2240.11	5112.16	2555.58	2133.97	2502.97	2367.9	2319.15	2816.11	1781.89	2664.15	2434.5	2664.15	2720.15	2664.15	3018.3	2400.97	2915.45	2645.74	3419.52	2645.74	2758.13	1378.57	1216.75	1745.2	1883.54	1242.34	1030.12	896.64	1199.98	1233.75	1340.84	1313.23	1008.9	1268.46	1001.93	1487.87	1088.92	1896.65	1208.34	1467.37	1857.6	1250.98	1350.18	1709.26	1322.37	1175.27	1639.59	1268.46	1233.75	1051.79	1313.23	995.0	1594.73	1001.93	1359.57	1216.75	1250.98	1175.27	1051.79	1037.29	1127.35	928.3	988.12	2090.03	2047.0	3372.43	4038.61	2271.4
CCZ1B	1674.06	1388.16	1819.35	595.34	2032.85	1135.2	1191.69	808.0	1286.18	1104.13	884.29	1519.15	909.17	1639.59	1225.22	1167.14	1044.52	1111.82	890.44	1313.23	2502.97	764.36	2224.63	1819.35	718.08	297.17	267.73	748.61	320.8	392.44	314.17	698.41	575.03	633.73	708.18	366.09	279.14	529.06	423.61	316.37	376.41	493.56	260.38	309.83	244.57	339.14	246.28	291.04	400.71	412.0	435.55	447.82	356.05	684.02	264.03	199.85	629.35	514.56	403.5	450.94	450.94	400.71	441.64	587.13	587.13	251.48	1135.2	1225.22	1551.09	1733.13	1457.23
CDK2AP1	10084.54	4937.99	3491.39	2935.74	3820.7	5255.91	5479.15	3847.29	2875.3	4512.4	3060.45	3212.66	5479.15	4268.94	5255.91	3540.14	2875.3	4239.45	4095.0	2739.08	3257.52	4239.45	2537.92	2240.11	432.53	536.45	1104.13	1286.18	764.36	753.83	563.18	733.19	612.11	1199.98	713.11	356.05	563.18	733.19	1023.0	336.79	497.0	1059.11	954.43	1015.93	217.27	616.37	1208.34	872.1	575.03	981.29	954.43	521.76	1350.18	583.07	536.45	819.3	665.29	693.58	796.86	1037.29	836.53	536.45	819.3	500.46	813.63	1096.5	7382.04	3060.45	5517.27	2555.58	4937.99
CDK4	6983.79	3060.45	3847.29	2148.82	6381.92	4481.23	2935.74	1991.0	2537.92	2915.45	3018.3	1794.29	2739.08	3081.75	3168.41	2193.99	2701.35	3018.3	2997.45	1991.0	2047.0	3235.01	2627.46	1617.0	1008.9	1059.11	540.19	1096.5	1199.98	1417.35	595.34	567.1	733.19	1119.56	1397.83	802.41	1605.83	563.18	1250.98	813.63	1199.98	1051.79	934.76	825.0	813.63	967.76	954.43	1745.2	1322.37	941.27	1008.9	1111.82	878.17	954.43	679.29	813.63	860.08	1551.09	775.05	1208.34	665.29	785.88	718.08	1119.56	1175.27	836.53	1721.16	2976.74	3874.05	2627.46	1605.83
CDK7	532.74	587.13	536.45	813.63	2090.03	1225.22	819.3	743.43	563.18	629.35	780.44	392.44	813.63	563.18	954.43	624.99	785.88	599.49	555.41	902.89	708.18	599.49	435.55	1015.93	262.2	395.18	318.57	262.2	265.87	176.29	134.3	171.45	236.21	148.09	309.83	212.78	169.07	169.07	181.28	231.32	195.72	327.56	241.19	214.27	249.73	277.2	348.71	414.87	199.85	251.48	269.6	307.69	123.5	214.27	197.09	120.1	267.73	201.25	275.28	470.14	277.2	223.41	343.89	171.45	325.29	249.73	669.92	848.22	1183.45	718.08	954.43
CKLF	2835.7	2451.44	1225.22	1605.83	2555.58	2209.26	1551.09	1066.48	1073.91	1529.73	1572.76	1369.04	1437.15	1757.34	1617.0	1295.13	1059.11	1883.54	1572.76	1096.5	791.35	1487.87	728.11	1733.13	307.69	543.96	753.83	409.15	204.07	277.2	187.71	273.37	205.5	346.29	348.71	400.71	395.18	309.83	463.65	239.52	616.37	397.93	226.54	450.94	384.34	255.0	260.38	363.56	470.14	525.39	318.57	679.29	244.57	329.84	244.57	543.96	376.41	429.54	395.18	547.75	432.53	353.59	363.56	217.27	281.09	368.65	470.14	1844.76	2032.85	1594.73	1397.83
CLEC7A	33.06	629.35	106.63	277.2	140.04	178.77	262.2	141.02	323.03	361.04	241.19	660.68	166.73	450.94	223.41	316.37	87.03	258.57	172.65	93.35	61.25	327.56	81.71	463.65	10.63	41.52	189.02	42.41	53.19	39.5	15.68	26.47	18.56	182.55	111.99	10.63	19.53	32.82	50.98	33.06	19.11	44.25	54.33	119.26	10.08	35.25	37.05	60.82	13.52	55.89	69.52	32.82	32.13	90.14	82.87	16.03	57.08	82.87	191.67	115.16	70.51	74.58	53.57	82.29	34.75	10.47	98.73	110.43	93.35	127.89	146.03
CLIC1	6381.92	10084.54	6516.03	13123.73	11267.44	24490.61	17804.06	13968.57	12589.08	14065.74	12076.21	9344.14	14663.09	13215.02	16960.78	11345.82	12502.12	15715.58	16157.44	12244.81	12502.12	14765.09	11504.21	7382.04	1540.37	2555.58	2520.38	1991.0	974.5	1561.89	988.12	1037.29	842.36	1572.76	1844.76	1295.13	1529.73	1857.6	1896.65	1487.87	1519.15	1378.57	819.3	1757.34	1519.15	1242.34	1709.26	3820.7	921.88	2061.24	1697.45	2004.85	1561.89	1977.24	1322.37	2075.59	1008.9	2004.85	1378.57	2758.13	1745.2	1909.85	1277.29	2997.45	1819.35	1407.55	12329.98	14971.21	12415.75	14065.74	8247.98
CNIH4	3303.0	2351.53	1286.18	1487.87	2627.46	2682.69	2255.7	1467.37	1175.27	1350.18	1529.73	1030.12	1991.0	1259.69	2417.67	1359.57	1250.98	2367.9	1242.34	1167.14	1015.93	1073.91	1159.07	1268.46	412.0	420.68	483.38	297.17	307.69	412.0	220.32	229.72	226.54	368.65	358.54	343.89	397.93	336.79	583.07	283.05	521.76	579.04	366.09	638.15	327.56	358.54	466.88	287.01	429.54	470.14	463.65	529.06	547.75	371.22	332.14	346.29	536.45	384.34	363.56	503.95	409.15	412.0	318.57	215.77	438.59	320.8	866.07	1216.75	1721.16	1378.57	836.53
COA4	2520.38	3768.09	1259.69	2319.15	1697.45	2835.7	2796.65	2224.63	2224.63	2018.8	2935.74	1427.22	2468.49	2090.03	3395.89	2758.13	2271.4	2351.53	2835.7	2240.11	2335.28	1721.16	1709.26	1304.15	2047.0	1551.09	2271.4	1794.29	1427.22	1286.18	1143.1	1561.89	1832.01	1350.18	1977.24	1467.37	2061.24	1159.07	1745.2	1397.83	2434.5	1819.35	1844.76	1950.0	1417.35	1857.6	1757.34	1923.14	1977.24	1896.65	1674.06	1794.29	1572.76	1477.58	1781.89	1832.01	1628.26	1733.13	1857.6	1819.35	1427.22	1697.45	1457.23	1051.79	1242.34	1572.76	2090.03	1487.87	2417.67	1477.58	1617.0
COPS6	3716.2	1883.54	2303.12	4903.87	5555.65	6121.9	4152.18	4298.64	2835.7	3018.3	4639.29	3349.13	3742.05	4210.15	4903.87	4903.87	4328.55	3847.29	3564.78	7537.18	7695.57	4239.45	5995.9	5255.91	1277.29	1427.22	2367.9	1896.65	1397.83	1594.73	1322.37	1651.0	1208.34	1551.09	2119.22	2075.59	2255.7	1551.09	1936.53	1909.85	2061.24	1519.15	1819.35	2163.77	1551.09	1583.71	896.64	2032.85	1757.34	1769.57	1794.29	1936.53	1551.09	2004.85	1498.22	1745.2	1397.83	1870.53	1896.65	2303.12	2240.11	1551.09	1477.58	1540.37	1628.26	1769.57	3443.31	2895.31	5112.16	4210.15	2915.45
CPNE2	802.41	872.1	708.18	1008.9	2485.67	780.44	1191.69	1950.0	1277.29	1208.34	1397.83	1561.89	1135.2	1277.29	854.13	1313.23	1286.18	1030.12	1066.48	896.64	703.28	1096.5	954.43	329.84	151.22	204.07	244.57	316.37	164.42	135.24	128.79	154.42	64.34	525.39	271.48	293.07	237.86	226.54	187.71	211.31	78.89	248.0	138.1	120.94	237.86	214.27	260.38	211.31	186.4	190.34	120.94	273.37	202.66	275.28	116.78	102.25	159.9	256.78	193.01	169.07	463.65	117.6	112.77	323.03	142.01	175.07	258.57	1044.52	674.59	1844.76	1477.58
CPNE7	61.25	69.52	796.86	224.97	3103.19	400.71	148.09	18.03	126.12	43.94	63.89	152.28	59.97	39.22	108.14	102.97	65.72	156.59	71.5	24.81	441.64	100.83	1407.55	212.78	29.27	16.75	12.83	15.8	2.81	7.46	0.0	0.0	0.0	7.69	1.69	45.21	3.5	22.43	3.96	5.15	0.8	5.02	0.55	55.49	3.56	5.36	3.38	0.0	53.95	15.91	1.85	58.71	15.45	26.86	41.81	32.59	7.57	7.11	4.7	27.64	8.71	1.16	3.5	11.91	3.0	8.0	48.87	229.72	830.75	497.0	115.97
CPSF3	902.89	909.17	603.67	669.92	1073.91	669.92	563.18	457.25	476.71	483.38	441.64	409.15	518.15	480.04	438.59	447.82	414.87	514.56	514.56	438.59	447.82	447.82	480.04	620.67	191.67	262.2	253.23	260.38	291.04	303.44	164.42	406.31	400.71	307.69	293.07	356.05	234.57	260.38	253.23	251.48	316.37	318.57	329.84	206.94	307.69	236.21	236.21	228.13	191.67	297.17	287.01	314.17	139.07	307.69	323.03	279.14	275.28	273.37	262.2	312.0	273.37	232.94	248.0	253.23	260.38	212.78	587.13	836.53	748.61	995.0	503.95
