	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	GTEX.ZYY3.1626.SM.5EGJF	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1
AVIL	232.94	275.28	205.5	232.94	176.29	633.73	143.01	35.5	97.36	95.34	92.05	17.38	24.99	36.79	138.1	54.33	100.13	25.35	107.38	19.39	26.67	90.14	23.08	69.52	14.03	27.05	281.09	59.13	117.6	41.22	26.67	172.65	95.34	129.69	98.73	28.24	7.75	89.51	14.67	31.9	0.0	9.78
BGLAP	100.13	100.83	81.14	164.42	122.64	142.01	39.5	4.7	26.86	44.25	13.72	0.0	0.89	8.38	135.24	21.01	31.67	1.14	43.94	4.58	2.73	52.82	6.94	9.85	2.48	0.0	90.77	10.71	30.56	3.96	6.21	81.14	21.78	88.88	30.78	13.52	3.53	37.05	8.38	3.47	0.0	0.75
C19orf18	108.9	96.68	114.36	58.71	71.0	73.54	17.9	5.32	8.92	6.89	16.15	5.36	14.45	5.54	77.79	29.7	16.63	4.28	29.48	12.83	18.56	39.5	17.38	3.59	9.78	22.1	31.67	28.04	25.35	12.18	10.16	43.63	15.11	65.72	10.24	23.76	22.92	52.08	6.62	17.77	0.0	0.0
C1orf63	3901.01	4181.07	3146.52	3103.19	3540.14	4152.18	1427.22	373.81	1183.45	1540.37	521.76	607.87	81.71	460.44	4836.35	796.86	1407.55	497.0	1628.26	195.72	348.71	1104.13	669.92	638.15	246.28	277.2	3018.3	587.13	902.89	785.88	620.67	2485.67	1467.37	1674.06	1159.07	285.03	215.77	1340.84	493.56	332.14	0.0	78.89
C3orf35	58.3	78.34	49.56	63.45	37.05	46.5	10.31	5.02	12.18	9.41	14.35	3.99	0.46	1.17	45.85	6.41	16.03	5.96	11.04	0.0	8.38	14.03	8.45	9.41	0.85	1.64	38.95	5.54	14.78	2.76	3.11	45.53	16.51	32.36	10.0	1.31	2.73	18.7	3.2	1.93	0.0	0.23
CC2D2B	23.42	11.55	34.51	25.91	40.64	6.31	11.55	2.27	10.0	6.41	4.7	1.48	1.62	0.39	30.12	3.69	10.63	1.07	21.32	3.66	8.92	11.55	7.51	2.48	0.8	1.19	32.59	4.62	9.06	6.78	3.38	31.9	16.88	15.11	10.16	3.72	6.36	13.52	2.34	2.61	0.0	0.58
CCDC130	1963.57	2133.97	1529.73	1639.59	1870.53	1498.22	860.08	287.01	684.02	896.64	567.1	417.77	186.4	318.57	1896.65	830.75	738.29	130.6	802.41	309.83	237.86	884.29	555.41	476.71	244.57	332.14	1540.37	457.25	698.41	543.96	447.82	1340.84	1051.79	995.0	802.41	514.56	389.72	878.17	314.17	271.48	0.0	100.13
CCDC14	1250.98	1111.82	1250.98	1331.57	1066.48	1143.1	620.67	271.48	486.75	723.08	351.14	131.51	224.97	221.86	1242.34	656.11	775.05	185.11	551.56	211.31	180.02	480.04	307.69	220.32	224.97	297.17	1437.15	384.34	607.87	371.22	348.71	1268.46	656.11	802.41	547.75	301.33	162.14	769.69	212.78	218.79	0.0	30.56
CCDC17	114.36	102.25	75.64	120.94	87.03	76.17	18.16	4.24	11.82	23.93	9.63	3.5	2.92	3.06	75.11	11.21	18.97	1.68	20.86	2.29	4.58	30.78	8.85	11.55	2.43	7.57	41.22	4.78	15.22	4.28	4.62	75.11	25.72	30.56	16.51	3.0	3.5	6.16	2.81	3.82	0.0	0.0
CCDC180	273.37	299.25	397.93	432.53	363.56	242.88	80.57	11.47	53.19	98.73	42.71	59.55	20.41	9.78	301.33	49.91	82.29	12.36	132.44	11.21	10.63	80.01	39.5	20.86	35.5	27.25	239.52	39.79	59.55	28.04	36.79	221.86	69.03	74.06	69.03	17.13	25.54	96.68	9.48	25.72	0.0	0.0
CCDC66	476.71	444.72	435.55	376.41	518.15	642.59	119.26	53.57	171.45	137.14	185.11	87.03	33.54	72.52	323.03	126.12	170.25	66.65	137.14	60.82	102.25	139.07	97.36	64.34	77.25	77.25	320.8	77.25	83.45	71.5	76.71	224.97	186.4	136.19	163.28	48.18	91.41	178.77	56.68	59.55	201.25	30.78
CCDC84	1757.34	2303.12	1909.85	1322.37	1583.71	1359.57	480.04	221.86	363.56	514.56	409.15	118.43	84.63	139.07	1857.6	693.58	647.07	195.72	536.45	75.64	167.9	426.57	307.69	163.28	130.6	133.36	1529.73	332.14	669.92	232.94	170.25	1378.57	642.59	1015.93	435.55	204.07	87.03	642.59	115.97	114.36	0.0	31.45
CDAN1	395.18	420.68	334.46	348.71	426.57	346.29	152.28	49.21	121.79	158.79	95.34	94.01	76.71	93.35	327.56	128.79	177.53	60.39	190.34	52.45	60.82	151.22	111.21	115.97	79.45	85.22	236.21	112.77	129.69	84.04	99.43	178.77	198.47	211.31	131.51	66.18	108.9	134.3	96.68	83.45	0.0	39.79
CDK10	1745.2	1909.85	1769.57	2178.83	1819.35	2240.11	1991.0	872.1	1073.91	2178.83	1819.35	738.29	728.11	743.43	4210.15	1745.2	1923.14	295.11	2061.24	397.93	688.78	1617.0	591.22	1081.39	420.68	579.04	5441.3	1066.48	1519.15	928.3	791.35	3820.7	1551.09	2400.97	1745.2	796.86	934.76	1159.07	780.44	733.19	0.0	195.72
CEACAM19	438.59	599.49	836.53	305.55	397.93	269.6	127.0	34.51	73.03	124.37	43.02	84.63	9.13	24.46	189.02	75.11	656.11	13.52	112.77	10.55	14.14	146.03	27.84	49.21	30.34	64.34	171.45	43.94	115.97	42.41	15.68	177.53	81.14	237.86	190.34	17.25	43.63	108.9	11.13	20.41	0.0	132.44
CHERP	928.3	872.1	1044.52	866.07	1015.93	890.44	563.18	232.94	400.71	713.11	403.5	320.8	277.2	299.25	836.53	563.18	397.93	255.0	497.0	150.17	202.66	536.45	406.31	273.37	320.8	373.81	529.06	444.72	457.25	409.15	373.81	651.58	536.45	514.56	476.71	264.03	346.29	511.0	371.22	423.61	511.0	123.5
CHKB-CPT1B	141.02	183.82	73.54	109.66	65.26	103.69	137.14	10.79	55.89	144.01	57.89	40.36	4.62	20.41	307.69	119.26	85.82	0.0	169.07	0.82	28.04	176.29	57.89	40.07	14.45	23.93	283.05	50.63	55.1	52.45	83.45	400.71	96.01	91.41	90.77	61.25	0.84	98.73	17.9	35.25	0.0	8.78
COL11A2	142.01	75.64	38.4	53.57	72.52	25.35	4.98	8.78	4.35	13.12	4.03	8.92	5.73	7.51	34.02	2.66	27.05	4.86	17.51	5.23	6.46	21.78	6.84	3.29	3.23	3.59	44.25	3.96	11.13	3.5	2.34	53.57	16.75	22.26	11.91	1.71	9.56	14.67	5.15	4.17	0.0	0.0
CPSF3L	5112.16	6792.79	5366.37	4869.99	4639.29	4736.79	1963.57	928.3	1551.09	1757.34	1540.37	1081.39	1167.14	1183.45	3491.39	1628.26	1769.57	620.67	2104.58	441.64	1001.93	2627.46	1467.37	1286.18	995.0	1051.79	3018.3	1073.91	1721.16	1467.37	1407.55	2956.17	1844.76	2384.37	1340.84	1733.13	1685.71	1487.87	947.83	872.1	1662.49	603.67
CPT1B	1030.12	1313.23	1088.92	1233.75	961.07	884.29	536.45	70.01	283.05	483.38	220.32	85.82	17.13	53.95	1745.2	444.72	368.65	22.92	529.06	22.26	98.04	638.15	183.82	162.14	85.82	82.29	1233.75	138.1	232.94	180.02	209.84	1498.22	255.0	406.31	384.34	102.97	50.63	318.57	70.01	68.07	0.0	90.77
CSNK2B-LY6G5B-1181	137.14	167.9	228.13	18.16	175.07	84.04	37.32	24.46	26.67	45.21	16.75	13.12	11.3	6.94	89.51	14.14	73.54	9.93	51.71	7.28	2.41	82.87	9.93	13.62	15.8	21.78	112.77	20.41	95.34	4.03	7.46	27.44	59.55	127.0	48.52	33.54	8.65	50.27	12.83	6.57	0.0	8.0
CTD-2368P22.1	149.12	140.04	237.86	212.78	267.73	318.57	117.6	49.91	55.89	75.64	45.53	30.12	60.82	12.64	305.55	85.82	140.04	19.53	150.17	57.89	38.95	63.45	49.21	5.41	42.41	74.58	189.02	57.08	76.17	57.89	52.45	182.55	97.36	79.45	129.69	130.6	61.68	122.64	55.1	59.55	0.0	0.16
CTD-2369P2.10	28.24	29.06	29.48	21.94	21.94	15.11	10.08	9.41	7.75	13.62	8.25	3.41	4.43	5.92	28.45	7.34	10.63	3.72	8.65	2.94	2.63	13.03	5.15	10.24	3.92	5.06	13.32	3.5	16.27	5.68	8.25	16.39	9.2	10.08	8.32	1.27	9.41	3.23	3.89	6.31	0.0	2.27
CUL9	1437.15	1794.29	2061.24	1369.04	1477.58	1378.57	764.36	218.79	423.61	633.73	426.57	329.84	283.05	241.19	1950.0	463.65	718.08	81.14	624.99	251.48	212.78	748.61	312.0	267.73	267.73	320.8	1286.18	460.44	551.56	320.8	346.29	988.12	688.78	967.76	647.07	312.0	351.14	599.49	271.48	255.0	0.0	100.83
DCDC2B	3.32	8.78	3.2	15.56	15.68	8.32	4.5	0.78	0.8	2.84	3.96	1.0	0.42	0.77	16.39	2.61	4.7	0.0	8.65	0.0	3.0	3.0	3.2	0.74	0.41	1.58	17.13	1.19	4.58	1.16	1.91	19.82	2.61	2.78	5.68	2.1	0.0	4.03	0.41	1.13	0.0	0.43
DGCR8	713.11	791.35	902.89	748.61	928.3	791.35	299.25	175.07	293.07	339.14	197.09	182.55	202.66	164.42	563.18	299.25	381.68	77.79	303.44	127.0	175.07	275.28	236.21	199.85	220.32	201.25	629.35	234.57	339.14	209.84	239.52	400.71	403.5	356.05	303.44	161.02	157.68	343.89	223.41	185.11	0.0	99.43
DNAH1	281.09	287.01	275.28	190.34	314.17	301.33	108.9	44.25	61.68	115.97	99.43	21.94	14.56	50.98	432.53	146.03	156.59	13.62	127.89	10.24	25.35	165.57	55.89	56.68	23.76	40.64	293.07	49.56	100.83	39.5	41.81	273.37	108.14	204.07	137.14	49.56	16.39	108.9	22.75	33.3	0.0	3.53
DND1	18.97	13.83	23.93	33.3	11.13	14.03	4.54	0.79	4.31	4.5	8.71	3.92	0.0	1.14	15.11	4.46	6.89	0.0	1.93	0.0	0.0	5.68	4.03	3.59	1.6	2.39	3.92	1.97	3.23	1.55	0.0	7.82	5.59	7.4	3.47	0.0	1.93	0.0	0.0	0.78	0.0	0.26
DNHD1	450.94	463.65	466.88	403.5	420.68	463.65	156.59	25.54	75.64	140.04	124.37	45.53	24.28	20.11	567.1	148.09	178.77	27.05	142.01	17.25	34.26	117.6	71.5	109.66	18.16	21.63	309.83	35.5	79.45	44.57	46.18	426.57	115.97	127.89	141.02	39.5	13.62	94.67	19.97	34.02	0.0	2.43
EGFL8	1950.0	2255.7	1529.73	1794.29	1561.89	1051.79	373.81	52.08	131.51	209.84	138.1	84.63	138.1	38.4	934.76	116.78	236.21	78.89	379.04	37.32	68.55	323.03	106.63	55.89	60.82	48.18	536.45	62.56	214.27	55.1	43.32	563.18	312.0	356.05	249.73	81.71	123.5	231.32	42.11	46.18	0.0	66.18
ENGASE	1508.65	1407.55	1369.04	1628.26	1199.98	2032.85	532.74	90.77	320.8	651.58	265.87	176.29	85.82	153.34	2133.97	277.2	334.46	58.71	733.19	57.89	73.03	660.68	231.32	226.54	99.43	171.45	941.27	136.19	339.14	185.11	234.57	934.76	500.46	543.96	532.74	86.43	104.42	547.75	89.51	82.29	0.0	31.0
ENTHD2	1191.69	995.0	872.1	1295.13	995.0	1268.46	329.84	144.01	299.25	353.59	231.32	163.28	101.54	143.01	1594.73	303.44	414.87	63.89	414.87	73.03	83.45	444.72	214.27	334.46	136.19	187.71	819.3	182.55	255.0	166.73	166.73	629.35	429.54	521.76	351.14	106.63	117.6	251.48	88.88	131.51	0.0	62.12
FAM160A2	1844.76	2240.11	1519.15	1662.49	1909.85	1498.22	688.78	293.07	536.45	713.11	466.88	543.96	248.0	387.02	1051.79	988.12	521.76	341.51	961.07	162.14	381.68	791.35	432.53	476.71	291.04	543.96	1030.12	543.96	595.34	532.74	447.82	1617.0	915.51	775.05	660.68	379.04	426.57	796.86	343.89	334.46	0.0	137.14
FAM186A	19.11	19.39	24.63	16.75	15.0	23.42	9.34	3.03	3.11	5.23	4.74	2.92	2.01	1.48	16.03	5.15	12.36	3.69	7.11	0.0	0.0	12.27	2.39	3.56	0.4	4.7	22.92	3.5	8.19	2.66	1.51	14.78	4.06	10.08	4.94	6.21	1.89	13.62	1.57	0.39	0.0	0.29
FAM229A	665.29	703.28	373.81	432.53	483.38	339.14	65.72	29.27	55.1	69.52	36.53	17.51	13.32	27.25	201.25	58.71	83.45	17.38	87.03	17.38	11.91	112.77	75.11	28.45	6.52	11.73	181.28	38.4	63.89	31.0	21.16	154.42	85.22	114.36	44.25	32.82	8.58	48.18	14.35	20.56	0.0	0.09
FAM27E2	34.02	38.67	90.77	59.13	36.79	22.43	6.78	1.14	18.97	4.86	6.73	2.94	1.23	1.13	57.89	11.82	20.41	0.0	4.9	0.0	0.0	13.12	9.56	0.0	0.8	2.76	39.22	1.57	5.5	2.29	1.14	23.93	0.0	33.06	6.46	1.68	5.68	11.3	1.57	1.13	0.0	0.0
FAM71F2	80.57	76.17	123.5	85.82	95.34	166.73	40.93	12.27	10.71	33.54	29.91	2.05	13.52	1.19	58.71	10.55	15.22	1.14	18.43	6.41	3.5	29.91	8.13	8.71	4.06	7.63	142.01	29.48	30.12	21.63	6.94	113.56	28.86	46.5	18.16	5.11	2.76	33.78	9.93	10.63	0.0	0.0
GBA2	4268.94	5147.73	5711.87	4512.4	5255.91	3540.14	921.88	591.22	1397.83	1268.46	1015.93	775.05	497.0	656.11	2384.37	1561.89	1498.22	518.15	1447.15	457.25	476.71	941.27	780.44	872.1	603.67	688.78	2976.74	1111.82	1127.35	954.43	808.0	1883.54	1498.22	2178.83	1551.09	733.19	842.36	1477.58	660.68	995.0	0.0	85.82
GGA1	1397.83	1551.09	1268.46	1417.35	1304.15	1498.22	854.13	336.79	915.51	738.29	703.28	567.1	583.07	438.59	2224.63	775.05	896.64	190.34	988.12	301.33	327.56	988.12	660.68	511.0	480.04	497.0	1457.23	603.67	819.3	836.53	638.15	1216.75	808.0	830.75	656.11	638.15	679.29	802.41	493.56	450.94	0.0	470.14
GOLGA8S	28.24	25.35	31.9	21.32	28.65	19.68	29.48	4.13	12.27	24.28	10.55	5.82	6.84	8.45	39.22	13.22	16.88	5.82	29.7	1.5	17.77	21.47	11.82	8.51	2.76	2.36	37.32	12.27	18.97	7.17	8.58	39.79	15.8	17.38	23.93	3.72	5.63	19.53	5.41	6.26	0.0	0.04
HECTD4	1551.09	1378.57	1781.89	1369.04	1277.29	1175.27	470.14	195.72	318.57	587.13	336.79	256.78	224.97	281.09	1059.11	285.03	447.82	185.11	403.5	88.26	199.85	423.61	343.89	279.14	224.97	299.25	651.58	301.33	490.14	353.59	198.47	738.29	373.81	457.25	432.53	236.21	187.71	376.41	141.02	291.04	0.0	95.34
IBA57-AS1	24.11	18.97	29.91	13.32	31.9	19.25	9.78	2.29	2.36	4.5	5.59	0.0	4.86	3.0	10.0	12.64	5.19	0.0	15.8	1.5	0.0	5.68	0.0	0.0	3.96	0.0	30.34	2.36	2.32	0.0	6.06	28.24	3.76	10.63	3.82	0.0	10.24	8.92	2.36	1.51	0.0	0.0
KIAA0195	2075.59	2104.58	2287.2	1870.53	2224.63	2303.12	1369.04	351.14	1159.07	1167.14	890.44	1111.82	928.3	713.11	2104.58	1359.57	1199.98	656.11	1508.65	400.71	830.75	1540.37	1044.52	1088.92	813.63	1551.09	1806.78	819.3	1151.06	1015.93	718.08	1378.57	1313.23	1674.06	1628.26	660.68	1088.92	1135.2	642.59	708.18	0.0	229.72
KLHL17	441.64	497.0	463.65	567.1	486.75	423.61	199.85	34.75	113.56	193.01	124.37	36.01	25.72	59.13	389.72	108.14	182.55	27.64	202.66	8.38	33.3	249.73	94.67	77.25	37.32	21.32	329.84	42.41	138.1	57.49	65.26	277.2	161.02	236.21	112.77	71.0	30.34	132.44	28.24	33.78	0.0	24.28
LZTR1	2178.83	2287.2	1794.29	1950.0	2104.58	2255.7	921.88	339.14	603.67	1001.93	638.15	733.19	435.55	679.29	2047.0	1331.57	1051.79	136.19	1104.13	327.56	426.57	1059.11	941.27	511.0	444.72	426.57	1407.55	708.18	842.36	759.08	629.35	1388.16	1066.48	974.5	713.11	497.0	483.38	947.83	507.46	633.73	0.0	151.22
MAN2C1	7589.61	8658.09	7589.61	7537.18	7857.29	5791.62	2758.13	612.11	1529.73	2502.97	1617.0	819.3	791.35	693.58	7382.04	2193.99	2895.31	791.35	2739.08	341.51	575.03	2319.15	1250.98	1135.2	651.58	529.06	10296.45	1059.11	1870.53	796.86	954.43	6164.49	2758.13	4543.8	2682.69	974.5	599.49	2417.67	791.35	743.43	0.0	229.72
MAPK8IP3	2075.59	2032.85	1936.53	2119.22	2367.9	2133.97	1467.37	281.09	743.43	1073.91	1008.9	397.93	102.25	348.71	3982.99	547.75	1457.23	73.54	1199.98	55.1	80.57	1135.2	409.15	305.55	220.32	339.14	4836.35	463.65	1594.73	392.44	441.64	2956.17	1044.52	1936.53	1457.23	273.37	155.5	802.41	173.85	189.02	0.0	23.93
ME3	780.44	860.08	665.29	854.13	842.36	718.08	346.29	297.17	332.14	376.41	532.74	309.83	371.22	346.29	703.28	476.71	348.71	251.48	579.04	299.25	339.14	400.71	348.71	253.23	275.28	463.65	540.19	336.79	595.34	341.51	289.02	764.36	555.41	825.0	339.14	412.0	341.51	567.1	253.23	264.03	0.0	32.13
MOK	872.1	1037.29	583.07	909.17	884.29	791.35	262.2	111.99	244.57	291.04	185.11	237.86	146.03	236.21	480.04	332.14	205.5	117.6	460.44	129.69	159.9	265.87	141.02	106.63	110.43	157.68	353.59	172.65	258.57	236.21	234.57	470.14	307.69	412.0	199.85	116.78	105.89	312.0	151.22	123.5	0.0	15.68
MZF1	1639.59	1896.65	1191.69	1437.15	1183.45	1572.76	543.96	68.07	221.86	536.45	199.85	177.53	76.17	92.7	967.76	403.5	417.77	53.95	409.15	53.95	63.45	275.28	209.84	111.21	93.35	215.77	872.1	206.94	414.87	187.71	111.21	728.11	423.61	447.82	423.61	205.5	80.57	307.69	116.78	105.89	0.0	34.02
NEURL4	1183.45	1242.34	1208.34	1104.13	1023.0	872.1	400.71	80.01	281.09	356.05	135.24	164.42	72.52	113.56	934.76	269.6	299.25	40.36	299.25	40.64	78.34	373.81	164.42	111.99	105.15	154.42	651.58	141.02	273.37	148.09	201.25	497.0	351.14	483.38	314.17	84.04	116.78	299.25	77.25	128.79	0.0	57.89
NICN1	679.29	591.22	941.27	878.17	1096.5	656.11	157.68	86.43	177.53	120.1	112.77	180.02	132.44	70.51	409.15	176.29	183.82	63.45	309.83	69.03	148.09	158.79	153.34	98.04	171.45	260.38	346.29	140.04	135.24	104.42	120.94	429.54	256.78	172.65	194.36	111.21	113.56	201.25	147.06	118.43	0.0	73.54
NINL	314.17	318.57	529.06	343.89	511.0	255.0	256.78	50.98	145.02	228.13	178.77	92.05	69.03	106.63	366.09	299.25	144.01	71.0	135.24	47.84	94.67	323.03	139.07	108.14	97.36	181.28	366.09	190.34	217.27	115.16	172.65	406.31	148.09	279.14	150.17	69.52	88.88	291.04	87.65	134.3	0.0	19.68
NPIPA3	295.11	450.94	346.29	264.03	490.14	540.19	29.7	37.85	54.33	48.87	26.28	55.1	1.28	18.7	221.86	73.03	80.57	17.77	78.89	0.0	6.11	75.64	41.22	31.22	16.75	46.18	215.77	43.02	61.68	57.49	27.05	211.31	73.03	28.04	19.25	11.38	27.84	19.25	31.9	13.52	0.0	30.34
NR6A1	18.16	32.82	49.56	31.22	30.78	22.43	13.42	4.9	17.25	14.45	12.55	2.94	4.43	2.97	22.43	14.67	11.91	6.31	17.13	4.03	10.0	10.08	6.36	5.32	6.67	3.14	21.78	8.13	11.82	5.32	8.58	22.59	14.35	14.56	13.52	4.13	5.28	6.01	4.28	13.32	12.64	8.58
PIDD	830.75	947.83	884.29	759.08	878.17	775.05	329.84	81.71	154.42	186.4	182.55	120.94	64.8	96.01	642.59	193.01	220.32	27.05	236.21	33.3	28.04	231.32	152.28	162.14	74.06	118.43	563.18	87.03	161.02	117.6	154.42	490.14	303.44	234.57	169.07	105.15	60.39	138.1	82.87	50.98	0.0	35.76
PLEKHH1	356.05	368.65	603.67	466.88	447.82	271.48	119.26	33.3	84.04	141.02	55.89	32.13	47.17	32.59	376.41	297.17	92.7	87.03	320.8	57.49	75.11	395.18	66.65	37.85	40.07	103.69	172.65	253.23	127.89	99.43	100.13	988.12	178.77	202.66	102.97	114.36	39.5	99.43	63.0	74.06	0.0	8.58
