	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.YFC4.1526.SM.5IFJS	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC
CCL23	20.86	139.07	2.61	8.58	11.04	9.27	2.41	2.03	0.0	7.75	1.64	2.03	7.22	3.53	5.36	4.78	1.43	5.92	5.54	5.54	20.11	171.45	201.25	186.4	20.11	187.71	145.02	718.08	43.02	133.36	158.79	76.71	170.25	173.85	157.68	373.81	830.75	318.57	18.56	199.85	220.32	121.79	314.17	67.59	182.55	197.09	220.32	297.17	450.94	199.85	490.14	33.78	103.69	314.17	97.36	25.35	253.23	125.24	208.38	170.25	96.01	39.79	460.44	612.11	376.41	195.72	218.79	35.76	177.53	260.38	514.56	733.19	212.78	80.57	162.14	536.45	713.11	470.14	208.38	47.84	71.5
CCR1	12.83	90.14	15.68	10.39	31.67	11.04	5.32	3.99	23.25	15.91	8.25	5.45	27.05	4.98	12.36	5.41	7.63	3.66	13.62	10.79	15.34	152.28	78.34	178.77	15.8	42.71	40.36	116.78	41.81	132.44	107.38	38.12	60.82	194.36	39.79	146.03	381.68	579.04	37.05	295.11	221.86	208.38	341.51	63.45	205.5	154.42	217.27	320.8	108.9	283.05	275.28	66.65	128.79	234.57	175.07	33.78	376.41	84.63	177.53	234.57	193.01	75.64	162.14	151.22	60.39	248.0	348.71	24.28	103.69	34.75	214.27	65.26	161.02	70.51	18.43	271.48	339.14	133.36	105.15	57.08	170.25
CD163	220.32	665.29	353.59	358.54	403.5	231.32	43.02	35.5	129.69	336.79	69.52	21.01	595.34	32.59	81.71	135.24	108.14	78.34	89.51	157.68	289.02	3303.0	1208.34	2417.67	170.25	698.41	791.35	2682.69	397.93	1242.34	1096.5	403.5	651.58	3325.99	785.88	2224.63	3820.7	8538.88	301.33	5479.15	2004.85	2224.63	3018.3	769.69	1519.15	1427.22	3168.41	3665.02	2133.97	2367.9	2468.49	1883.54	2209.26	3190.46	1183.45	379.04	3665.02	1066.48	2255.7	3018.3	2758.13	733.19	2701.35	4869.99	703.28	4903.87	1991.0	733.19	1487.87	366.09	3018.3	872.1	2855.44	733.19	414.87	4298.64	3467.27	2739.08	941.27	808.0	1583.71
CLEC1B	170.25	555.41	0.0	0.55	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	17.38	0.16	0.0	0.0	0.0	16.39	0.0	2.23	65.72	1322.37	842.36	802.41	221.86	902.89	860.08	1519.15	262.2	988.12	674.59	387.02	733.19	961.07	591.22	493.56	5366.37	10296.45	18.84	1216.75	1268.46	1407.55	2956.17	197.09	1340.84	1685.71	1540.37	4268.94	2032.85	1594.73	2591.27	201.25	902.89	3303.0	327.56	51.71	2875.3	995.0	480.04	1639.59	1605.83	189.02	4239.45	2004.85	748.61	1437.15	1008.9	110.43	995.0	206.94	4512.4	3794.3	1331.57	135.24	403.5	2178.83	2997.45	1216.75	1081.39	17.51	1697.45
CLEC4G	381.68	1044.52	0.0	3.23	18.29	5.96	1.69	0.21	2.84	2.94	0.0	0.21	9.56	114.36	1.01	3.17	0.29	23.42	1.85	1.08	426.57	2287.2	1697.45	2485.67	497.0	1250.98	1437.15	4066.71	967.76	2178.83	1467.37	780.44	1733.13	1870.53	1709.26	1437.15	26067.14	7749.1	60.82	866.07	6121.9	2104.58	4358.66	379.04	5403.7	3018.3	3124.78	5183.54	2240.11	4388.98	5672.41	848.22	2133.97	11112.3	1757.34	93.35	7695.57	2061.24	1572.76	4575.41	1388.16	1037.29	3794.3	4095.0	3820.7	2520.38	9606.86	444.72	2351.53	1250.98	18819.27	11504.21	1709.26	988.12	902.89	3847.29	9409.14	2835.7	2739.08	241.19	4328.55
CLIC2	32.82	61.68	4.24	29.27	59.55	19.11	17.13	10.63	187.71	32.82	57.89	7.63	75.64	36.27	26.28	28.86	63.89	15.68	38.95	30.56	31.22	128.79	106.63	155.5	15.56	71.0	69.03	122.64	31.22	121.79	111.21	73.54	49.91	161.02	47.84	126.12	483.38	246.28	40.64	98.04	92.05	96.01	164.42	42.71	149.12	198.47	162.14	316.37	102.25	158.79	211.31	58.71	54.72	173.85	87.65	55.89	246.28	115.97	26.47	161.02	80.57	79.45	96.68	100.13	51.71	115.16	395.18	49.91	110.43	38.12	201.25	173.85	102.25	49.21	20.26	114.36	275.28	85.22	85.82	62.12	119.26
COTL1	275.28	447.82	145.02	273.37	497.0	214.27	58.71	87.65	647.07	299.25	121.79	65.72	466.88	217.27	199.85	120.94	185.11	105.89	117.6	293.07	251.48	1044.52	802.41	1127.35	231.32	612.11	620.67	1551.09	361.04	718.08	842.36	466.88	759.08	1295.13	547.75	769.69	6745.86	5517.27	684.02	2701.35	2468.49	941.27	1175.27	567.1	1819.35	1304.15	896.64	1757.34	1268.46	1721.16	1199.98	503.95	514.56	2351.53	1242.34	660.68	2335.28	753.83	961.07	1015.93	860.08	733.19	995.0	1359.57	967.76	1322.37	5329.3	273.37	454.09	329.84	2875.3	3515.68	791.35	551.56	420.68	1583.71	2075.59	947.83	753.83	426.57	579.04
CRHBP	343.89	802.41	1.89	50.63	20.56	36.53	28.24	4.21	10.96	11.04	20.71	4.74	71.5	29.06	8.25	1.71	6.67	44.89	20.86	12.93	159.9	2796.65	1407.55	1313.23	195.72	1388.16	1175.27	1844.76	466.88	1651.0	1369.04	540.19	1233.75	1388.16	954.43	1088.92	7280.4	10959.3	87.03	1697.45	4358.66	2835.7	3235.01	301.33	3928.15	3303.0	3395.89	4671.57	3820.7	4066.71	2627.46	265.87	780.44	6426.31	1037.29	141.02	2417.67	1936.53	1583.71	2451.44	3589.58	902.89	5403.7	4836.35	2777.33	6381.92	1529.73	323.03	1498.22	264.03	9151.82	4268.94	1781.89	450.94	780.44	1832.01	6607.01	1991.0	1059.11	32.13	2895.31
CSF1R	74.06	191.67	40.36	82.87	191.67	85.82	13.52	22.92	92.05	128.79	28.45	16.03	191.67	31.22	80.01	34.02	78.34	17.9	59.13	89.51	78.89	954.43	447.82	583.07	45.85	126.12	206.94	796.86	87.65	211.31	256.78	123.5	156.59	638.15	239.52	406.31	1832.01	860.08	92.05	769.69	583.07	518.15	518.15	297.17	723.08	420.68	381.68	988.12	412.0	791.35	890.44	507.46	543.96	1233.75	483.38	124.37	1268.46	463.65	426.57	915.51	651.58	323.03	397.93	1331.57	129.69	698.41	1208.34	104.42	312.0	98.04	1350.18	307.69	473.41	309.83	96.01	748.61	1030.12	356.05	493.56	206.94	497.0
CYBB	23.42	93.35	13.32	18.03	90.14	19.39	6.78	9.7	42.71	41.81	11.73	4.9	50.27	8.99	29.06	8.38	40.93	6.84	14.89	34.26	27.64	387.02	190.34	309.83	16.15	47.84	82.29	265.87	29.48	72.01	175.07	65.26	84.04	356.05	80.57	169.07	974.5	733.19	130.6	341.51	759.08	275.28	195.72	148.09	351.14	353.59	256.78	616.37	209.84	708.18	463.65	93.35	138.1	713.11	244.57	92.05	480.04	224.97	87.65	234.57	265.87	143.01	244.57	470.14	76.71	358.54	915.51	23.76	122.64	86.43	575.03	148.09	182.55	128.79	15.11	432.53	511.0	201.25	171.45	57.08	343.89
DLEU7	0.36	2.94	0.0	0.0	0.99	0.53	1.08	0.46	1.22	1.27	0.21	0.0	1.69	0.0	0.0	0.18	1.36	0.58	0.54	0.17	1.38	8.32	6.11	6.67	1.58	3.47	1.68	6.89	1.2	1.46	4.17	2.16	3.14	16.51	1.2	4.03	12.36	6.67	0.0	8.06	11.38	7.51	3.38	1.51	4.28	5.54	9.85	15.45	1.55	2.48	10.79	0.0	9.41	7.75	7.28	0.0	5.82	1.48	2.53	4.66	7.11	7.51	6.36	18.43	2.34	7.82	9.85	2.53	5.45	0.0	8.06	10.88	6.31	2.39	1.69	4.43	10.55	10.88	1.6	0.0	2.29
DNASE1L3	708.18	2133.97	67.59	656.11	1583.71	571.05	156.59	77.25	77.25	281.09	138.1	68.55	460.44	228.13	356.05	176.29	409.15	318.57	334.46	149.12	503.95	4298.64	2777.33	3540.14	693.58	2609.3	2367.9	5112.16	1216.75	4095.0	2178.83	1242.34	2351.53	2645.74	2816.11	3325.99	29327.18	18689.27	204.07	1467.37	4704.07	3690.52	11664.82	429.54	4543.8	8778.97	3928.15	8305.36	6652.97	3540.14	7911.95	1331.57	1540.37	12415.75	511.0	202.66	4543.8	981.29	3257.52	4038.61	3467.27	1104.13	5791.62	7803.01	5633.22	6250.56	5913.33	854.13	3060.45	1199.98	26067.14	19754.96	6250.56	665.29	1397.83	8840.04	13776.25	4066.71	2451.44	251.48	5366.37
EHD3	64.34	133.36	1.45	10.96	29.06	6.46	4.74	5.92	62.56	16.03	11.47	4.98	39.79	13.52	22.26	8.45	45.21	6.67	9.13	10.63	32.59	228.13	205.5	211.31	31.9	208.38	165.57	267.73	37.05	88.26	132.44	94.01	185.11	183.82	177.53	96.01	733.19	480.04	31.22	136.19	273.37	183.82	441.64	75.11	265.87	171.45	412.0	620.67	204.07	217.27	295.11	19.82	204.07	348.71	78.89	51.35	387.02	217.27	129.69	307.69	208.38	100.13	314.17	429.54	146.03	253.23	94.67	63.89	368.65	65.72	480.04	395.18	236.21	55.49	72.01	172.65	473.41	190.34	144.01	15.8	329.84
ERG	39.5	68.07	15.8	38.12	104.42	15.56	30.78	18.03	68.55	55.89	39.22	14.03	91.41	52.45	64.34	25.54	36.79	34.51	40.36	14.89	33.3	105.15	100.13	141.02	21.32	100.83	55.1	113.56	49.91	102.97	67.12	81.14	78.34	119.26	90.77	81.71	493.56	271.48	28.04	157.68	142.01	109.66	134.3	38.12	130.6	118.43	133.36	166.73	154.42	172.65	182.55	57.08	67.12	194.36	98.04	32.13	120.94	118.43	120.1	130.6	118.43	69.03	126.12	201.25	123.5	135.24	205.5	68.07	73.03	68.07	312.0	287.01	112.77	59.13	17.51	217.27	183.82	164.42	118.43	43.02	100.83
FCN2	633.73	1044.52	0.67	2.51	89.51	59.13	1.99	1.95	1.5	23.25	1.87	1.64	17.9	5.41	7.57	99.43	1.66	23.08	63.0	1.95	303.44	3103.19	1794.29	2004.85	693.58	2075.59	1697.45	3742.05	915.51	2976.74	2816.11	981.29	1991.0	2573.36	2148.82	2417.67	19482.97	17437.64	54.33	2701.35	5479.15	1896.65	9808.75	532.74	3639.7	4575.41	8598.28	12244.81	6516.03	4419.52	10154.69	1819.35	4038.61	11745.96	1769.57	92.7	12329.98	3928.15	4481.23	9474.59	3190.46	1268.46	9215.48	8078.22	5555.65	6207.38	18304.63	884.29	4123.49	2193.99	8363.13	10883.59	5441.3	1208.34	775.05	10512.82	10883.59	5041.77	1781.89	283.05	3443.31
FCN3	1594.73	3081.75	13.83	27.25	728.11	40.93	20.71	9.48	140.04	67.59	32.36	19.97	334.46	27.44	66.65	119.26	52.08	314.17	16.03	3.03	656.11	8363.13	5041.77	3280.18	808.0	5672.41	5219.6	11189.6	3874.05	4736.79	5006.93	3060.45	6164.49	2335.28	4512.4	4575.41	48307.85	45701.96	432.53	10368.08	13968.57	10585.95	14765.09	1259.69	11584.24	5872.48	9474.59	14065.74	11267.44	12160.22	12415.75	1977.24	6037.61	16269.83	6887.62	503.95	16960.78	7180.15	9945.68	8191.0	6294.04	1991.0	12415.75	8840.04	6935.54	11827.67	33688.23	1605.83	6652.97	3491.39	28923.41	27363.16	9474.59	3665.02	1369.04	15180.22	19348.38	12853.63	9409.14	595.34	4010.71
FEZ1	93.35	139.07	12.55	37.59	128.79	48.87	19.53	23.93	223.41	59.55	27.84	10.88	91.41	49.91	47.17	20.86	43.32	38.12	12.18	24.11	57.08	429.54	251.48	181.28	100.83	190.34	234.57	256.78	116.78	140.04	204.07	175.07	249.73	356.05	167.9	155.5	860.08	723.08	66.18	412.0	486.75	301.33	226.54	95.34	547.75	236.21	193.01	738.29	182.55	351.14	361.04	45.85	152.28	551.56	119.26	118.43	432.53	417.77	103.69	246.28	262.2	183.82	182.55	256.78	194.36	144.01	303.44	35.76	208.38	129.69	915.51	679.29	248.0	90.77	55.1	182.55	473.41	197.09	217.27	42.71	356.05
FGL2	71.0	143.01	12.18	37.05	112.77	35.25	36.79	7.0	34.02	53.57	25.17	20.26	80.01	25.54	35.0	24.46	48.52	26.47	28.45	36.01	56.68	368.65	180.02	327.56	28.65	115.16	119.26	211.31	84.04	248.0	251.48	94.67	109.66	303.44	123.5	201.25	1407.55	1259.69	69.03	563.18	131.51	177.53	575.03	232.94	145.02	384.34	540.19	511.0	190.34	373.81	368.65	68.55	115.16	371.22	54.72	110.43	279.14	161.02	187.71	206.94	214.27	201.25	191.67	348.71	204.07	373.81	813.63	131.51	135.24	87.03	334.46	208.38	232.94	93.35	81.14	217.27	414.87	176.29	111.99	82.87	171.45
GIMAP4	199.85	312.0	64.34	224.97	329.84	102.97	108.9	38.95	264.03	236.21	135.24	61.68	351.14	212.78	173.85	135.24	165.57	121.79	148.09	84.63	173.85	470.14	387.02	599.49	90.14	366.09	323.03	660.68	120.94	389.72	438.59	289.02	371.22	518.15	318.57	423.61	2303.12	1104.13	194.36	563.18	612.11	607.87	633.73	189.02	540.19	660.68	559.28	1037.29	518.15	738.29	1008.9	211.31	480.04	684.02	258.57	229.72	1030.12	555.41	273.37	842.36	400.71	387.02	366.09	954.43	647.07	571.05	974.5	139.07	287.01	226.54	1304.15	967.76	343.89	214.27	132.44	909.17	1030.12	518.15	260.38	198.47	384.34
