	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZT9W.1826.SM.51MQX	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KL.8323.01A.21R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.X261.1726.SM.4PQYT	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.RN64.1826.SM.48FDV	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.VJYA.1026.SM.4KL21	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
ARHGAP24	111.99	40.36	55.49	76.17	87.65	47.5	28.86	173.85	457.25	387.02	277.2	293.07	748.61	305.55	204.07	384.34	341.51	293.07	633.73	718.08	629.35	884.29	466.88	420.68	854.13	1015.93	813.63	738.29	518.15	1001.93	521.76	638.15	633.73	1806.78	379.04	688.78	603.67	669.92	819.3	2367.9	2303.12	3395.89	1167.14	703.28	1044.52	122.64	248.0	629.35	2739.08	2627.46	915.51	1417.35	414.87	674.59	551.56	603.67	1066.48	934.76	40.36	31.45	148.09	13.32	130.6	98.04	85.82	148.09	136.19	218.79	84.63	197.09	299.25	49.56	127.0	457.25	78.89	389.72	255.0	170.25	113.56	155.5	299.25	110.43	92.05	138.1	116.78	154.42	28.45	305.55	173.85	112.77	241.19	102.97	105.15	603.67	559.28	532.74	447.82	293.07	361.04	159.9	155.5	289.02	169.07
ARHGAP31	9.48	55.1	81.14	98.73	71.0	59.55	26.28	172.65	226.54	197.09	152.28	150.17	129.69	108.14	220.32	209.84	186.4	171.45	236.21	346.29	202.66	78.34	214.27	94.01	301.33	178.77	151.22	358.54	157.68	325.29	223.41	127.0	343.89	78.34	85.82	137.14	204.07	137.14	406.31	273.37	343.89	75.11	136.19	256.78	136.19	40.07	277.2	264.03	159.9	258.57	47.84	35.0	74.58	105.15	320.8	46.18	109.66	90.14	19.82	22.92	84.04	14.89	13.62	16.88	17.9	28.45	18.56	26.28	9.7	8.32	27.84	21.16	24.63	9.7	79.45	35.0	26.67	28.86	18.16	14.45	28.65	25.35	13.93	8.65	13.42	7.0	8.65	15.11	5.41	34.02	101.54	66.65	41.81	94.67	31.0	84.63	183.82	164.42	98.04	156.59	241.19	211.31	158.79
ARHGAP6	9.27	36.01	37.05	98.73	224.97	20.11	15.8	202.66	246.28	318.57	325.29	301.33	368.65	171.45	256.78	215.77	223.41	450.94	928.3	915.51	1044.52	381.68	988.12	571.05	493.56	1529.73	961.07	1119.56	995.0	934.76	1015.93	480.04	909.17	323.03	1135.2	890.44	764.36	1286.18	1233.75	140.04	493.56	167.9	139.07	642.59	1225.22	277.2	423.61	1051.79	211.31	223.41	69.52	82.29	23.93	75.64	1242.34	60.39	81.71	59.97	18.16	22.59	97.36	8.19	5.5	9.7	5.63	13.42	14.78	16.15	12.64	4.28	42.71	25.91	9.06	7.75	25.17	17.9	18.84	8.06	19.11	11.21	44.25	12.18	11.38	7.82	8.06	9.41	4.74	28.45	9.85	336.79	128.79	159.9	64.8	76.71	42.41	66.65	299.25	82.87	50.98	575.03	187.71	463.65	389.72
ARL6	35.25	38.12	27.44	45.53	59.13	44.25	26.67	98.73	224.97	205.5	224.97	109.66	172.65	128.79	167.9	140.04	151.22	143.01	1498.22	607.87	785.88	896.64	571.05	70.51	612.11	743.43	318.57	759.08	842.36	718.08	620.67	289.02	775.05	941.27	583.07	629.35	656.11	718.08	1250.98	555.41	271.48	368.65	199.85	759.08	493.56	995.0	376.41	866.07	202.66	258.57	98.73	76.71	70.01	84.63	896.64	88.26	104.42	126.12	62.56	47.84	66.18	57.49	34.51	36.27	18.97	46.5	40.07	108.14	15.8	14.45	59.97	39.79	46.18	26.86	78.34	38.4	58.71	17.38	78.89	28.86	91.41	77.25	24.11	43.32	14.89	37.32	18.03	41.52	35.76	84.63	78.89	34.75	39.5	103.69	32.82	55.1	189.02	102.25	52.45	97.36	137.14	201.25	138.1
ARMCX2	57.89	75.64	140.04	236.21	320.8	63.45	40.64	759.08	708.18	915.51	961.07	728.11	1199.98	395.18	860.08	511.0	796.86	612.11	2133.97	2061.24	1617.0	92.7	1322.37	521.76	457.25	3039.3	708.18	1015.93	2075.59	1388.16	915.51	2104.58	1208.34	1991.0	1561.89	633.73	872.1	2537.92	2664.15	775.05	1769.57	915.51	1096.5	884.29	848.22	256.78	2255.7	2816.11	981.29	1044.52	397.93	287.01	248.0	511.0	1417.35	395.18	231.32	305.55	20.41	47.84	182.55	23.42	35.25	50.98	52.45	80.57	36.27	69.03	34.02	68.55	293.07	32.82	21.63	23.76	120.1	82.87	64.34	39.79	21.32	40.36	113.56	106.63	33.3	52.45	17.13	9.85	5.02	55.1	33.06	127.89	339.14	69.03	94.01	234.57	170.25	258.57	529.06	231.32	532.74	890.44	1769.57	2935.74	1936.53
ATP10D	24.46	70.01	87.65	81.71	120.1	57.49	47.17	307.69	1081.39	616.37	325.29	414.87	287.01	123.5	368.65	301.33	463.65	612.11	1268.46	1023.0	1191.69	152.28	878.17	262.2	1199.98	1208.34	674.59	1304.15	896.64	1378.57	1119.56	1167.14	1806.78	595.34	1015.93	1081.39	1119.56	1175.27	1909.85	318.57	435.55	260.38	395.18	819.3	559.28	211.31	921.88	1359.57	389.72	329.84	244.57	48.87	177.53	197.09	1551.09	96.01	151.22	283.05	52.45	55.89	125.24	62.12	34.26	57.89	29.7	81.14	64.34	51.71	24.63	38.67	40.36	81.71	41.52	75.64	100.13	64.8	34.26	13.52	88.88	26.1	71.0	40.36	8.0	64.8	29.06	34.02	10.79	67.59	28.24	92.7	99.43	51.71	85.22	205.5	162.14	189.02	395.18	147.06	253.23	171.45	125.24	165.57	133.36
ATP7A	17.51	65.26	61.68	74.58	53.57	55.1	35.76	96.01	114.36	115.16	112.77	99.43	71.5	140.04	96.68	106.63	120.1	101.54	423.61	397.93	146.03	314.17	262.2	159.9	108.9	183.82	521.76	176.29	133.36	460.44	137.14	189.02	246.28	318.57	98.04	234.57	165.57	218.79	281.09	133.36	180.02	90.77	127.89	170.25	470.14	169.07	165.57	215.77	115.97	145.02	26.1	38.12	31.67	43.02	206.94	32.36	39.79	32.36	30.12	18.43	54.33	16.88	16.27	17.77	13.62	21.47	23.08	23.42	17.77	40.36	29.06	33.54	13.52	11.82	32.82	31.67	36.53	28.45	20.56	20.11	31.22	27.25	14.67	10.16	21.01	7.17	4.39	24.46	29.48	59.97	97.36	59.13	63.45	139.07	95.34	148.09	82.87	94.01	96.01	74.58	65.72	98.04	63.0
ATP8B4	35.5	42.41	29.91	19.53	51.35	13.93	43.02	33.78	42.11	144.01	108.14	15.22	32.59	98.04	135.24	32.36	55.89	57.08	547.75	209.84	547.75	10.71	211.31	35.25	279.14	181.28	271.48	567.1	728.11	62.56	1159.07	361.04	1721.16	684.02	529.06	947.83	753.83	819.3	277.2	37.85	55.1	77.79	14.03	915.51	329.84	287.01	400.71	1066.48	76.71	54.72	36.79	10.16	41.81	49.21	1191.69	24.46	32.13	47.5	29.48	78.89	68.07	34.26	30.34	46.18	20.26	68.55	60.82	51.35	51.71	26.67	111.21	28.86	51.71	74.06	86.43	104.42	52.08	31.0	59.97	30.56	50.98	59.13	13.72	29.91	82.87	27.25	31.45	59.13	31.0	41.22	49.21	56.68	30.78	35.25	14.78	31.45	36.27	39.5	56.68	20.56	44.89	27.25	41.52
ATP9B	251.48	228.13	305.55	309.83	291.04	295.11	201.25	395.18	591.22	514.56	624.99	616.37	395.18	435.55	688.78	503.95	563.18	376.41	555.41	529.06	620.67	500.46	275.28	307.69	543.96	514.56	555.41	460.44	414.87	579.04	547.75	579.04	392.44	703.28	387.02	559.28	536.45	624.99	503.95	366.09	470.14	371.22	381.68	444.72	607.87	189.02	616.37	409.15	341.51	381.68	223.41	251.48	412.0	395.18	567.1	260.38	363.56	176.29	251.48	205.5	211.31	169.07	208.38	143.01	191.67	214.27	152.28	158.79	182.55	193.01	141.02	189.02	297.17	178.77	339.14	162.14	209.84	172.65	224.97	260.38	392.44	218.79	234.57	167.9	351.14	166.73	166.73	195.72	500.46	224.97	231.32	435.55	269.6	1066.48	400.71	348.71	400.71	242.88	414.87	329.84	309.83	289.02	271.48
BBX	97.36	93.35	102.97	158.79	231.32	87.65	53.19	229.72	281.09	376.41	353.59	237.86	293.07	236.21	234.57	205.5	305.55	336.79	733.19	500.46	329.84	256.78	224.97	68.07	264.03	450.94	381.68	500.46	371.22	759.08	583.07	234.57	743.43	723.08	267.73	356.05	466.88	791.35	974.5	583.07	954.43	327.56	341.51	316.37	543.96	149.12	163.28	703.28	660.68	703.28	299.25	120.1	163.28	142.01	796.86	181.28	223.41	221.86	198.47	52.08	146.03	54.72	69.52	68.07	25.17	114.36	92.05	70.51	62.56	112.77	111.99	90.14	58.71	63.45	133.36	193.01	119.26	93.35	76.71	42.71	95.34	77.79	44.89	51.35	48.87	37.59	19.53	59.13	71.0	493.56	221.86	297.17	120.1	231.32	155.5	190.34	412.0	239.52	255.0	167.9	295.11	412.0	139.07
BCAP29	607.87	616.37	693.58	791.35	836.53	486.75	525.39	417.77	808.0	536.45	679.29	616.37	555.41	563.18	591.22	518.15	616.37	575.03	1508.65	346.29	802.41	612.11	1135.2	438.59	884.29	1350.18	1594.73	1191.69	612.11	624.99	1963.57	348.71	2997.45	941.27	1015.93	2434.5	2032.85	802.41	1639.59	791.35	1216.75	723.08	633.73	1551.09	1175.27	373.81	480.04	3443.31	703.28	921.88	429.54	490.14	514.56	457.25	647.07	764.36	785.88	679.29	941.27	2047.0	1111.82	1127.35	500.46	536.45	242.88	532.74	599.49	412.0	295.11	253.23	476.71	665.29	323.03	371.22	420.68	358.54	291.04	305.55	466.88	327.56	392.44	351.14	450.94	429.54	323.03	473.41	325.29	329.84	447.82	688.78	1044.52	872.1	400.71	555.41	441.64	555.41	974.5	620.67	486.75	1709.26	1242.34	2224.63	1427.22
