	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.T6MO.0326.SM.32QOK	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.VS.A8EH.01A.11R.A36F.07	GTEX.13OVG.1426.SM.5K7VP	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.T3.A92N.01A.11R.A39I.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CQ.A4CG.01A.11R.A266.07	GTEX.1399S.0526.SM.5IJG8	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	TCGA.21.5787.01A.01R.1635.07
ASXL2	59.13	77.79	78.89	113.56	224.97	202.66	218.79	253.23	258.57	283.05	142.01	231.32	201.25	223.41	202.66	248.0	209.84	255.0	305.55	251.48	255.0	217.27	283.05	287.01	255.0	229.72	116.78	389.72	234.57	135.24	231.32	164.42	162.14	217.27	379.04	287.01	237.86	281.09	205.5	260.38	112.77	46.5	79.45	97.36	143.01	63.89	57.08	90.77	197.09	130.6	59.97	279.14	140.04	85.22	51.35	151.22	205.5	0.0	0.34	190.34	94.01
ATP2B4	1008.9	591.22	327.56	2178.83	3168.41	2682.69	2875.3	4575.41	3820.7	3928.15	4450.27	2796.65	2664.15	3614.55	2303.12	3665.02	3325.99	2935.74	2915.45	3794.3	2777.33	2855.44	1950.0	3190.46	3928.15	5633.22	1832.01	3955.48	3039.3	2255.7	1733.13	2384.37	3235.01	1857.6	6037.61	1529.73	3742.05	2335.28	1605.83	1709.26	1991.0	457.25	1111.82	703.28	915.51	775.05	262.2	808.0	1135.2	842.36	674.59	878.17	612.11	909.17	775.05	813.63	1286.18	902.89	190.34	1277.29	669.92
BIVM-ERCC5	0.0	0.0	0.0	11.3	115.16	86.43	111.99	149.12	157.68	163.28	97.36	118.43	138.1	165.57	104.42	140.04	133.36	167.9	142.01	175.07	163.28	132.44	164.42	183.82	135.24	164.42	66.18	145.02	119.26	41.22	78.89	71.5	220.32	157.68	194.36	114.36	145.02	111.21	229.72	281.09	0.0	0.0	0.0	13.52	52.82	0.0	0.0	16.03	44.25	41.52	9.78	76.71	24.11	19.97	3.82	28.24	100.83	0.0	0.0	17.38	0.0
C1QTNF7	2.27	0.89	0.34	229.72	346.29	186.4	536.45	299.25	395.18	463.65	297.17	147.06	493.56	532.74	283.05	414.87	466.88	169.07	403.5	713.11	414.87	457.25	325.29	258.57	507.46	447.82	269.6	713.11	239.52	80.01	87.65	42.71	135.24	258.57	775.05	14.03	251.48	102.25	69.52	214.27	1.03	1.3	4.17	0.68	100.13	8.13	3.72	3.06	7.34	3.79	0.47	2.46	2.97	0.82	1.69	3.5	84.63	0.0	0.0	110.43	2.12
C22orf39	307.69	307.69	486.75	1051.79	1066.48	921.88	1175.27	1242.34	1313.23	1037.29	1277.29	1008.9	1023.0	1175.27	947.83	1208.34	1225.22	934.76	848.22	1268.46	1119.56	1037.29	1023.0	1023.0	974.5	1225.22	1015.93	1437.15	1322.37	1066.48	854.13	780.44	928.3	629.35	1674.06	511.0	1159.07	967.76	825.0	780.44	209.84	303.44	314.17	486.75	575.03	262.2	295.11	361.04	287.01	591.22	363.56	409.15	275.28	312.0	171.45	249.73	669.92	0.0	0.55	503.95	547.75
C7orf41	287.01	224.97	178.77	2739.08	3103.19	2758.13	2915.45	4903.87	7857.29	4769.75	5366.37	4298.64	2400.97	5995.9	2119.22	6250.56	3690.52	2976.74	3372.43	6887.62	4181.07	4575.41	3419.52	4152.18	4802.93	5831.91	1769.57	11909.94	2796.65	2502.97	2976.74	1950.0	4181.07	3639.7	3847.29	3212.66	3716.2	3235.01	1628.26	1674.06	127.89	180.02	142.01	34.51	698.41	182.55	158.79	251.48	189.02	122.64	91.41	175.07	178.77	299.25	177.53	121.79	1191.69	145.02	71.5	579.04	190.34
C8orf34	1.91	0.3	0.0	21.47	69.52	69.52	147.06	351.14	130.6	86.43	412.0	38.95	35.5	165.57	35.25	64.34	40.64	74.06	56.28	189.02	82.29	39.79	14.14	50.98	73.03	195.72	15.34	111.21	15.0	40.07	8.45	80.01	10.79	17.25	389.72	98.04	38.67	21.94	6.62	25.54	0.16	1.43	0.4	0.0	32.59	0.95	4.46	0.0	0.8	0.48	0.49	0.57	2.68	1.07	10.08	3.63	7.22	0.0	0.03	51.71	15.45
CAP2	66.65	57.89	84.04	253.23	463.65	647.07	1008.9	796.86	1104.13	753.83	1044.52	587.13	277.2	909.17	301.33	493.56	551.56	470.14	514.56	974.5	358.54	571.05	417.77	785.88	438.59	679.29	159.9	1487.87	305.55	368.65	241.19	297.17	135.24	214.27	4607.24	124.37	264.03	106.63	171.45	395.18	58.71	38.95	85.22	52.45	218.79	67.59	95.34	62.12	41.81	62.12	61.25	77.25	31.67	30.12	50.98	73.54	162.14	0.0	0.18	44.89	47.84
CCDC85A	2.56	0.31	0.0	82.29	157.68	53.95	98.73	102.25	91.41	48.52	114.36	164.42	106.63	120.1	114.36	193.01	66.18	122.64	171.45	143.01	105.89	117.6	60.82	105.15	81.71	157.68	145.02	195.72	166.73	84.04	59.55	248.0	41.52	119.26	341.51	208.38	221.86	166.73	72.01	139.07	7.0	0.46	7.63	3.89	149.12	0.48	0.68	0.0	1.11	0.41	0.0	2.71	2.84	0.42	2.34	16.63	37.59	0.0	0.01	105.15	2.32
CD36	802.41	98.04	29.06	47974.16	53230.77	45701.96	45701.96	98646.85	118127.7	80683.28	68793.23	68793.23	45386.27	53601.03	42346.82	52135.28	75280.1	82951.62	71714.63	92040.7	98646.85	79572.48	44761.41	76861.91	127486.83	92040.7	51062.33	163620.18	87075.75	29327.18	45701.96	76861.91	122293.5	57051.4	124863.17	57448.23	162489.97	97288.74	77396.54	51417.5	156.59	76.17	175.07	11664.82	147462.67	303.44	95.34	202.66	148.09	3515.68	16.51	5954.47	679.29	11.21	620.67	320.8	40062.48	0.0	0.36	1628.26	49.91
CLVS1	11.73	4.03	4.74	11.04	12.83	13.93	25.17	52.45	33.78	21.32	38.95	14.89	14.03	74.06	10.71	19.68	18.03	27.84	23.25	49.91	38.95	22.43	13.32	22.92	38.4	19.11	14.14	34.02	12.18	4.1	9.78	11.13	22.75	18.43	84.63	9.06	10.88	8.13	11.91	8.25	1.46	1.99	7.17	3.32	4.46	12.83	3.29	3.41	12.18	1.11	1.99	4.24	0.32	2.58	5.87	7.4	2.92	0.0	0.03	5.73	1.57
COPZ2	1277.29	638.15	417.77	3690.52	3146.52	2701.35	2434.5	3395.89	4512.4	2835.7	3303.0	2682.69	2468.49	3515.68	1832.01	3060.45	2758.13	1844.76	2303.12	4328.55	2240.11	3124.78	1896.65	2468.49	2591.27	4010.71	1794.29	2384.37	2209.26	2468.49	423.61	1857.6	1977.24	2090.03	7485.11	2895.31	2537.92	2701.35	1225.22	1508.65	2061.24	693.58	872.1	1044.52	890.44	1023.0	551.56	1088.92	2148.82	909.17	1259.69	2018.8	1111.82	1286.18	2075.59	733.19	854.13	0.0	0.77	607.87	237.86
CPED1	10.55	5.82	7.94	748.61	954.43	1617.0	1628.26	1605.83	2573.36	1529.73	1104.13	1242.34	1059.11	1844.76	759.08	1583.71	1498.22	1674.06	1519.15	1950.0	2032.85	1844.76	1295.13	1721.16	1844.76	2351.53	567.1	2915.45	595.34	234.57	454.09	409.15	915.51	587.13	3540.14	624.99	1001.93	1963.57	387.02	633.73	7.75	46.84	30.56	3.35	336.79	20.86	16.03	10.55	13.83	11.73	10.39	36.79	16.51	4.7	11.82	17.25	220.32	0.0	0.17	320.8	16.88
CRY2	148.09	112.77	138.1	723.08	2104.58	1225.22	872.1	1781.89	1242.34	1662.49	1268.46	1457.23	674.59	1350.18	1151.06	1295.13	1268.46	1216.75	1397.83	1857.6	1350.18	1059.11	848.22	967.76	1662.49	1832.01	1127.35	1651.0	521.76	902.89	1151.06	583.07	595.34	878.17	2335.28	872.1	872.1	854.13	748.61	884.29	139.07	133.36	151.22	112.77	463.65	232.94	73.54	204.07	251.48	127.0	150.17	583.07	189.02	117.6	103.69	314.17	371.22	0.0	0.41	358.54	117.6
CTC-786C10.1	27.05	7.46	0.97	21.94	75.11	24.63	64.34	68.55	42.41	73.03	32.13	51.71	40.64	53.57	45.53	87.65	77.79	84.04	90.77	96.68	61.68	68.55	45.85	39.22	62.56	100.13	112.77	47.84	126.12	35.25	25.17	52.45	105.89	83.45	66.65	23.93	104.42	41.22	7.94	31.0	5.5	10.88	0.84	3.96	35.5	9.48	10.55	5.32	12.83	20.56	26.67	45.21	26.86	16.88	23.59	64.8	23.42	0.0	0.22	3.79	0.0
DAAM1	165.57	83.45	202.66	521.76	743.43	796.86	769.69	1044.52	1322.37	954.43	1044.52	1304.15	493.56	819.3	490.14	934.76	642.59	651.58	743.43	1001.93	791.35	981.29	934.76	1044.52	559.28	1135.2	334.46	1066.48	718.08	343.89	616.37	400.71	595.34	921.88	2468.49	395.18	525.39	559.28	373.81	1208.34	480.04	175.07	218.79	567.1	363.56	967.76	305.55	624.99	518.15	303.44	463.65	1781.89	791.35	483.38	441.64	796.86	323.03	158.79	902.89	299.25	111.99
DDR2	35.25	15.45	15.56	1447.15	2796.65	1651.0	2255.7	3146.52	5831.91	5329.3	2915.45	2997.45	2104.58	4298.64	1378.57	4903.87	3124.78	2018.8	2976.74	5041.77	2018.8	3395.89	2664.15	4268.94	2537.92	3349.13	674.59	3257.52	2351.53	1233.75	599.49	813.63	2047.0	4769.75	3955.48	2451.44	1572.76	1628.26	854.13	1467.37	7.94	47.17	38.95	7.22	295.11	36.79	31.0	20.26	69.03	52.45	18.03	110.43	58.71	31.22	35.5	60.39	323.03	62.56	41.81	170.25	64.34
DNAJB4	503.95	120.94	206.94	878.17	1250.98	1001.93	1572.76	2485.67	1540.37	1551.09	872.1	1477.58	981.29	1594.73	703.28	1191.69	684.02	995.0	1037.29	1001.93	1081.39	1044.52	961.07	1427.22	848.22	1583.71	518.15	1519.15	995.0	316.37	563.18	1088.92	1447.15	769.69	2502.97	447.82	698.41	718.08	981.29	995.0	414.87	162.14	1313.23	1096.5	1073.91	131.51	206.94	291.04	232.94	157.68	139.07	197.09	153.34	186.4	151.22	660.68	253.23	0.0	0.21	277.2	426.57
EBF1	11.82	5.82	8.92	1001.93	1216.75	1233.75	1151.06	2018.8	1923.14	1397.83	1794.29	1037.29	1313.23	1572.76	866.07	1561.89	1540.37	1651.0	1498.22	1583.71	2319.15	1081.39	1519.15	1159.07	1572.76	1572.76	981.29	1757.34	1008.9	703.28	323.03	1088.92	753.83	1359.57	2133.97	373.81	830.75	947.83	320.8	718.08	1.75	22.92	14.89	2.68	460.44	26.67	25.91	13.52	30.12	26.1	16.03	30.12	20.26	13.72	8.71	29.27	493.56	0.0	0.29	19.25	31.67
ECM2	46.18	12.18	31.45	3190.46	2997.45	2720.15	2835.7	4704.07	8421.31	6079.61	3349.13	4512.4	2816.11	4328.55	2178.83	4836.35	3443.31	2537.92	3589.58	6887.62	4038.61	4123.49	4066.71	5255.91	4010.71	5672.41	1008.9	4671.57	2319.15	587.13	775.05	521.76	1529.73	1159.07	7081.29	1417.35	1628.26	1023.0	409.15	1417.35	11.91	35.5	43.63	8.06	406.31	39.22	20.56	61.68	55.89	64.8	12.83	212.78	41.81	26.47	12.0	43.02	536.45	0.0	0.0	521.76	46.5
EEPD1	87.65	41.22	30.34	974.5	860.08	450.94	954.43	1151.06	555.41	473.41	1151.06	764.36	1340.84	1111.82	954.43	1151.06	1081.39	941.27	769.69	1167.14	1023.0	854.13	967.76	420.68	748.61	1135.2	656.11	1044.52	457.25	1051.79	376.41	1135.2	1322.37	1216.75	1605.83	289.02	466.88	642.59	470.14	466.88	417.77	236.21	525.39	206.94	309.83	48.52	101.54	59.55	212.78	148.09	30.12	256.78	63.45	153.34	246.28	61.68	205.5	0.0	0.52	281.09	52.08
EHBP1	587.13	358.54	303.44	819.3	1159.07	1268.46	1331.57	1594.73	1870.53	1781.89	2502.97	1457.23	1191.69	1721.16	928.3	1721.16	1388.16	1135.2	1508.65	2537.92	1044.52	1322.37	1378.57	1733.13	1277.29	1697.45	551.56	2502.97	842.36	785.88	703.28	791.35	1088.92	995.0	1844.76	583.07	974.5	1340.84	571.05	775.05	563.18	295.11	500.46	559.28	387.02	497.0	205.5	547.75	660.68	571.05	392.44	454.09	303.44	551.56	759.08	1208.34	599.49	0.0	0.51	201.25	329.84
EHD2	2133.97	890.44	1081.39	4671.57	6079.61	4671.57	6652.97	6887.62	6652.97	6887.62	8191.0	5791.62	5831.91	7331.05	5403.7	8598.28	6792.79	5112.16	7280.4	7966.99	5329.3	6079.61	3018.3	5672.41	7280.4	9740.98	5441.3	10659.59	5479.15	5183.54	3690.52	7433.4	6079.61	5831.91	9279.58	4450.27	10512.82	5292.48	3794.3	3564.78	915.51	1151.06	1167.14	674.59	3928.15	2133.97	2287.2	2915.45	3081.75	1605.83	2915.45	3589.58	2303.12	1745.2	2335.28	1909.85	3847.29	521.76	647.07	358.54	909.17
EIF2B3	497.0	656.11	753.83	974.5	909.17	947.83	1001.93	1322.37	1096.5	1286.18	1427.22	1104.13	1008.9	1135.2	775.05	1030.12	1001.93	1088.92	1015.93	1388.16	1111.82	1081.39	836.53	967.76	1059.11	1183.45	909.17	981.29	909.17	896.64	743.43	796.86	941.27	902.89	866.07	1225.22	1104.13	928.3	884.29	723.08	389.72	785.88	688.78	412.0	323.03	529.06	703.28	521.76	497.0	507.46	638.15	325.29	318.57	540.19	366.09	470.14	412.0	0.0	0.09	470.14	665.29
EIF4G3	209.84	267.73	384.34	457.25	616.37	624.99	669.92	723.08	738.29	753.83	665.29	688.78	775.05	698.41	620.67	872.1	607.87	718.08	836.53	802.41	571.05	688.78	703.28	808.0	669.92	698.41	363.56	954.43	1073.91	651.58	603.67	665.29	587.13	684.02	1225.22	559.28	647.07	1127.35	813.63	728.11	336.79	312.0	529.06	688.78	507.46	406.31	293.07	409.15	493.56	551.56	368.65	660.68	228.13	412.0	346.29	743.43	769.69	0.0	0.83	249.73	454.09
EPB41L1	283.05	98.73	73.54	1044.52	1350.18	1819.35	1295.13	1832.01	2178.83	1561.89	2682.69	1870.53	1175.27	2645.74	1286.18	2178.83	1540.37	1583.71	1519.15	2224.63	1023.0	1832.01	1001.93	1709.26	1119.56	3257.52	426.57	3280.18	909.17	703.28	1437.15	466.88	723.08	518.15	3665.02	599.49	1369.04	2573.36	450.94	718.08	624.99	120.94	320.8	848.22	698.41	314.17	183.82	633.73	1572.76	441.64	48.18	1832.01	1378.57	361.04	323.03	236.21	2090.03	356.05	802.41	603.67	444.72
EPM2A	26.1	37.05	25.54	173.85	195.72	185.11	191.67	265.87	341.51	253.23	258.57	183.82	164.42	223.41	152.28	237.86	231.32	159.9	182.55	269.6	173.85	212.78	183.82	273.37	191.67	249.73	143.01	193.01	217.27	211.31	173.85	99.43	42.41	167.9	363.56	165.57	209.84	143.01	117.6	165.57	17.9	53.95	43.94	24.81	77.25	20.56	24.99	25.91	23.93	30.34	31.0	45.21	18.84	19.53	20.71	35.76	120.1	0.0	0.26	99.43	24.46
ERC1	135.24	193.01	144.01	194.36	400.71	255.0	409.15	441.64	435.55	454.09	277.2	346.29	426.57	366.09	358.54	457.25	400.71	327.56	476.71	426.57	332.14	366.09	543.96	454.09	358.54	376.41	264.03	497.0	283.05	309.83	329.84	341.51	295.11	518.15	624.99	444.72	351.14	511.0	463.65	414.87	120.1	170.25	132.44	149.12	244.57	221.86	170.25	305.55	384.34	116.78	244.57	703.28	281.09	180.02	195.72	226.54	291.04	0.0	0.56	159.9	97.36
EXOC5	173.85	215.77	260.38	660.68	698.41	660.68	674.59	928.3	1322.37	1119.56	775.05	928.3	848.22	1037.29	616.37	921.88	780.44	753.83	988.12	878.17	813.63	915.51	974.5	1088.92	802.41	1037.29	493.56	1457.23	669.92	301.33	669.92	954.43	830.75	616.37	1225.22	848.22	599.49	813.63	941.27	642.59	438.59	205.5	332.14	420.68	343.89	255.0	191.67	392.44	414.87	336.79	348.71	902.89	497.0	208.38	320.8	728.11	299.25	0.0	0.38	493.56	291.04
FABP4	119776.72	785.88	16.27	313910.86	228208.61	217400.14	174152.51	253213.41	322736.12	386469.83	394590.4	215898.44	201440.3	258533.99	225066.78	253213.41	348306.01	279017.26	327241.36	358098.26	370726.6	263966.36	205673.01	212926.09	489177.0	292889.12	273275.14	716197.51	602247.76	360589.03	324980.94	345900.08	569761.05	327241.36	129266.49	558035.51	906531.99	1078054.48	1838374.44	394590.4	163620.18	114.36	263966.36	107203.06	636586.81	129266.49	13.52	148488.36	150561.19	135693.24	336.79	194578.47	143430.26	161.02	119776.72	107948.72	318292.9	0.0	0.15	408505.64	51.71
FAM20B	275.28	241.19	262.2	483.38	591.22	775.05	718.08	665.29	1096.5	743.43	748.61	693.58	511.0	665.29	532.74	684.02	624.99	713.11	733.19	785.88	603.67	842.36	723.08	825.0	674.59	651.58	371.22	1350.18	633.73	511.0	629.35	733.19	314.17	607.87	1225.22	624.99	612.11	961.07	836.53	698.41	620.67	205.5	450.94	555.41	412.0	201.25	149.12	242.88	358.54	748.61	237.86	285.03	187.71	242.88	163.28	289.02	343.89	363.56	297.17	429.54	237.86
