	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.2F.A9KP.01A.11R.A38B.07	TCGA.ZF.A9R2.01A.11R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.AA.A01P.01A.21R.A083.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.13VXT.2426.SM.5LU46	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.WHPG.0426.SM.4M1XW	GTEX.Y114.1226.SM.4TT88	GTEX.XV7Q.1326.SM.4BRWM	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.S7SF.0626.SM.4AD4V
DIXDC1	12.27	12.36	13.83	12.36	39.5	353.59	39.22	52.45	183.82	476.71	483.38	518.15	204.07	41.52	37.59	40.07	83.45	0.0	0.16	40.07	138.1	28.04	25.54	152.28	48.52	633.73	87.03	166.73	1605.83	31.22	348.71	414.87	376.41	134.3	1857.6	236.21	190.34	171.45	1369.04
DNAJB5	58.3	34.51	87.65	147.06	212.78	149.12	12.18	46.5	191.67	612.11	854.13	890.44	224.97	100.13	115.16	74.06	130.6	0.0	0.46	130.6	187.71	78.89	53.95	163.28	103.69	802.41	51.35	420.68	2555.58	79.45	854.13	708.18	878.17	339.14	6745.86	242.88	237.86	226.54	1909.85
DUSP26	0.0	0.62	0.31	0.23	1.58	13.93	0.0	1.69	16.27	37.59	89.51	69.52	13.22	1.46	0.0	5.45	2.1	0.0	0.18	8.19	35.5	5.28	4.66	3.0	3.82	115.16	1.79	50.27	106.63	2.56	57.89	120.1	23.08	31.22	143.01	59.97	19.82	23.76	124.37
FERMT2	16.88	83.45	61.25	11.73	107.38	305.55	47.5	91.41	521.76	1674.06	1498.22	1529.73	503.95	376.41	119.26	201.25	486.75	0.0	0.74	241.19	202.66	180.02	114.36	1259.69	291.04	4512.4	180.02	981.29	7180.15	176.29	1191.69	1350.18	1529.73	503.95	6652.97	759.08	450.94	457.25	5076.84
GNAO1	3.66	1.25	1.81	6.57	26.1	28.86	4.86	4.39	105.89	854.13	607.87	713.11	43.02	10.31	1.25	9.56	24.28	0.0	0.32	28.45	11.91	10.39	6.26	36.53	11.3	1225.22	13.22	167.9	703.28	18.03	323.03	463.65	476.71	155.5	2485.67	215.77	103.69	45.85	1674.06
GPBAR1	9.7	9.2	0.0	7.82	13.93	11.21	2.78	6.21	39.5	121.79	503.95	121.79	32.59	18.43	5.28	6.26	36.53	0.0	0.0	5.73	26.86	64.8	17.13	82.29	13.22	567.1	44.89	244.57	532.74	25.72	303.44	346.29	246.28	878.17	928.3	195.72	587.13	164.42	249.73
JAM3	29.91	57.08	18.97	2.63	23.42	316.37	37.05	63.89	279.14	587.13	547.75	723.08	376.41	127.0	67.59	108.9	305.55	0.0	0.62	62.12	101.54	85.22	49.21	514.56	60.39	1259.69	90.77	351.14	1447.15	86.43	414.87	490.14	514.56	291.04	1794.29	438.59	221.86	236.21	1447.15
KCNMB1	5.82	5.87	2.14	2.81	19.11	52.08	16.03	8.58	218.79	947.83	934.76	866.07	511.0	44.89	53.57	33.06	96.01	0.0	0.42	16.75	38.12	42.41	15.56	47.5	24.28	1331.57	40.93	334.46	2178.83	23.08	444.72	540.19	607.87	223.41	2875.3	275.28	108.14	124.37	1844.76
KIAA0408	0.95	1.87	0.93	3.99	28.45	51.71	2.76	4.62	9.78	87.65	113.56	214.27	56.28	0.0	6.41	4.62	14.35	0.0	0.07	5.73	21.16	2.92	3.29	16.15	75.64	332.14	3.82	37.05	301.33	1.79	122.64	132.44	129.69	88.88	808.0	90.77	50.98	19.82	1242.34
LCN2	28923.41	123.5	120.1	565825.41	1179708.33	706337.4	316094.29	95286.54	542775.98	9151.82	48307.85	8963.45	223512.12	606436.73	654483.73	1238359.56	513497.31	0.0	0.43	425853.18	284880.02	1034138.94	565825.41	1472666.19	593956.43	86474.27	466008.55	251464.33	988.12	350728.68	95286.54	79022.82	197294.7	290865.98	1819.35	248002.34	301123.38	320506.81	126606.21
LMOD1	8.99	32.36	4.62	12.36	236.21	1313.23	32.82	43.94	830.75	6561.36	4268.94	4903.87	2133.97	232.94	78.89	118.43	275.28	0.0	0.49	76.71	165.57	68.07	55.49	312.0	59.13	5711.87	42.11	1417.35	7433.4	38.4	2664.15	3395.89	3467.27	575.03	17804.06	1250.98	579.04	656.11	15934.98
MAP1A	3.99	8.58	4.21	4.82	35.0	122.64	14.78	16.51	78.34	231.32	232.94	201.25	60.39	30.12	28.65	25.17	90.14	0.0	0.24	28.24	34.02	20.11	8.58	152.28	24.28	285.03	38.95	112.77	356.05	28.86	95.34	175.07	123.5	49.21	400.71	75.11	70.51	32.59	514.56
METTL24	0.0	4.28	0.0	0.0	0.0	5.32	0.0	0.0	12.0	126.12	148.09	157.68	10.88	4.7	3.11	5.77	16.27	0.0	0.29	6.89	11.13	5.28	3.44	33.3	20.26	183.82	5.06	46.5	246.28	0.39	115.16	180.02	135.24	40.07	507.46	106.63	51.35	12.55	620.67
MRVI1	13.83	26.67	5.19	9.13	76.71	435.55	33.54	26.28	356.05	902.89	733.19	995.0	780.44	144.01	87.65	103.69	406.31	0.0	0.59	45.21	62.56	124.37	59.13	293.07	43.94	2417.67	115.97	559.28	3018.3	84.63	656.11	1111.82	842.36	426.57	2915.45	497.0	323.03	293.07	2178.83
MSRB3	15.91	35.25	7.28	12.18	58.71	206.94	31.9	38.12	373.81	1477.58	1617.0	1709.26	497.0	100.83	78.89	95.34	226.54	0.0	0.55	60.82	152.28	52.08	32.59	447.82	59.13	1923.14	46.84	483.38	3395.89	63.45	642.59	660.68	753.83	312.0	3955.48	397.93	224.97	208.38	2645.74
NACAD	1.25	4.03	1.83	0.0	2.1	25.72	1.66	5.06	28.45	100.83	87.03	108.14	43.94	15.68	6.21	1.68	15.34	0.0	0.38	16.88	20.56	10.88	4.03	63.0	13.93	204.07	5.5	55.49	183.82	13.32	83.45	116.78	91.41	33.78	220.32	54.72	30.78	19.82	256.78
NEGR1	1.87	7.06	0.33	2.14	31.67	90.14	3.38	6.36	41.22	457.25	291.04	454.09	103.69	29.7	0.35	40.93	75.64	0.0	0.27	8.25	35.76	14.24	10.63	65.72	4.46	429.54	24.99	63.89	665.29	9.34	251.48	283.05	353.59	69.03	1605.83	140.04	81.71	102.97	1359.57
PCDH20	0.0	0.0	0.0	7.75	9.34	28.45	6.67	0.0	0.49	198.47	154.42	75.64	1.08	3.35	0.91	0.0	0.0	0.0	0.0	10.96	5.82	2.1	3.41	0.0	12.09	22.26	0.84	5.96	50.98	0.47	35.76	52.45	117.6	68.07	392.44	70.51	26.86	11.91	1051.79
PGM5	1.89	15.11	2.16	0.04	6.31	124.37	5.02	6.52	346.29	3280.18	2133.97	2915.45	616.37	55.1	144.01	50.63	136.19	0.0	0.33	58.3	108.9	21.01	20.71	60.82	43.63	1977.24	39.5	371.22	3103.19	13.83	1487.87	1963.57	1477.58	450.94	11504.21	624.99	460.44	215.77	16496.96
PLN	2.18	2.51	0.95	0.83	7.75	132.44	21.16	26.28	341.51	1781.89	2682.69	3257.52	483.38	52.82	32.36	24.99	59.97	0.0	0.39	34.75	57.89	14.45	12.45	285.03	20.41	1832.01	8.65	293.07	4937.99	4.94	1175.27	854.13	1350.18	180.02	7032.37	236.21	202.66	113.56	5292.48
REEP2	15.22	6.78	22.92	7.88	5.28	49.91	9.13	10.88	116.78	279.14	316.37	211.31	90.14	6.84	158.79	22.1	18.7	0.0	0.37	8.19	72.01	193.01	5.32	40.36	64.34	693.58	117.6	163.28	909.17	7.22	167.9	258.57	318.57	97.36	954.43	205.5	77.25	19.25	780.44
RP11-122A3.2	4.94	4.98	2.14	1.57	13.22	57.49	4.06	6.78	46.5	525.39	299.25	379.04	48.52	32.82	29.48	12.45	29.06	0.0	0.46	28.65	29.91	13.93	6.52	71.0	12.45	629.35	4.43	68.55	928.3	3.06	199.85	202.66	320.8	38.95	2004.85	108.14	32.82	71.0	1191.69
STON1	11.38	17.9	26.67	35.25	83.45	118.43	9.93	20.71	109.66	381.68	237.86	381.68	195.72	87.65	23.59	47.17	126.12	0.0	0.57	37.32	96.68	24.63	13.72	224.97	28.65	785.88	19.39	112.77	866.07	12.27	241.19	295.11	438.59	73.54	1806.78	170.25	78.89	105.89	1674.06
TCEAL2	0.0	3.08	0.0	0.0	1.51	17.51	0.0	9.78	112.77	381.68	221.86	511.0	58.71	3.08	2.86	3.2	0.0	0.0	0.27	17.51	71.5	5.15	2.23	22.75	9.7	836.53	3.53	199.85	753.83	0.0	361.04	373.81	346.29	63.45	4419.52	18.43	93.35	11.38	2875.3
TCEAL7	3.08	12.55	2.14	0.36	21.16	297.17	6.16	15.0	44.89	191.67	189.02	414.87	66.18	12.83	25.72	22.59	42.71	0.0	0.26	26.86	31.67	7.69	8.38	125.24	17.13	392.44	13.32	55.49	395.18	3.41	114.36	105.89	109.66	90.77	603.67	149.12	52.08	51.71	323.03
TGFB1I1	130.6	123.5	129.69	56.68	318.57	902.89	161.02	239.52	1369.04	3716.2	3081.75	3515.68	1991.0	651.58	503.95	583.07	1340.84	0.0	0.89	197.09	529.06	518.15	175.07	2434.5	169.07	7130.55	281.09	2319.15	10808.41	389.72	2502.97	2855.44	2502.97	1183.45	10296.45	1304.15	1008.9	1135.2	7589.61
TMEM220	6.73	14.67	8.71	15.0	237.86	295.11	108.14	4.74	72.01	470.14	665.29	262.2	76.71	55.49	13.32	32.36	50.27	0.0	0.37	121.79	119.26	145.02	239.52	123.5	181.28	211.31	19.68	161.02	157.68	14.89	273.37	532.74	759.08	180.02	518.15	137.14	454.09	150.17	392.44
TNS1	10.79	70.51	27.44	139.07	194.36	848.22	35.0	96.68	796.86	4298.64	4481.23	4358.66	1183.45	295.11	150.17	133.36	620.67	0.0	0.64	995.0	1216.75	1008.9	169.07	884.29	334.46	7230.1	426.57	1498.22	8022.41	412.0	1685.71	3395.89	1950.0	587.13	13399.51	1331.57	813.63	769.69	9474.59
