	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.N7MT.0126.SM.2D7VT	TCGA.BJ.A0ZC.01A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.117YW.0126.SM.5EGGN	GTEX.139YR.1226.SM.5IFEU	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD
CBLL1	172.65	123.5	109.66	151.22	134.3	119.26	201.25	142.01	150.17	579.04	507.46	503.95	273.37	131.51	229.72	170.25	166.73	135.24	215.77	197.09	271.48	258.57	224.97	293.07	316.37	190.34	138.1	93.35	229.72	267.73	157.68	262.2	346.29	305.55	323.03	271.48	299.25	339.14	267.73	314.17	291.04	232.94	293.07	269.6	327.56	267.73	293.07	289.02	297.17	281.09	242.88	291.04	303.44	231.32	223.41	277.2	312.0	128.79	193.01	291.04	126.12	161.02	237.86	277.2	186.4	145.02	242.88	277.2	209.84	214.27	226.54	228.13	183.82	239.52	293.07	217.27	303.44	242.88	253.23	100.13	104.42	182.55	75.11	88.88	151.22	82.87	135.24	85.22	138.1	46.5	373.81	312.0	291.04	454.09	314.17	435.55	325.29	417.77	279.14	307.69	312.0	769.69	297.17	323.03	392.44	412.0	476.71	336.79
CDON	32.82	4.82	18.29	9.78	19.11	87.65	30.56	13.42	4.17	429.54	258.57	587.13	39.22	15.56	37.05	34.26	48.52	9.27	38.95	13.42	28.04	31.0	60.82	52.08	39.5	56.68	11.13	3.5	82.87	59.55	29.06	29.06	58.3	112.77	100.13	63.45	58.3	41.22	35.25	28.24	34.26	38.4	41.22	23.25	51.71	39.22	39.79	58.3	65.26	61.25	26.28	46.18	43.32	43.02	86.43	64.34	66.65	19.53	15.45	19.68	10.63	12.09	13.52	74.06	8.99	15.11	18.97	76.17	53.57	35.5	31.67	37.59	32.36	49.21	30.56	35.76	91.41	61.25	38.12	8.78	12.74	13.32	20.41	13.93	27.05	11.21	5.87	9.06	4.54	10.79	229.72	551.56	860.08	2573.36	536.45	660.68	1369.04	1457.23	460.44	1073.91	1487.87	1008.9	1233.75	525.39	733.19	1051.79	2451.44	320.8
CEP120	83.45	81.14	102.25	73.54	103.69	67.12	49.91	105.15	62.12	435.55	397.93	368.65	201.25	108.9	165.57	155.5	156.59	87.65	126.12	91.41	132.44	154.42	117.6	293.07	116.78	129.69	108.14	35.76	195.72	157.68	115.97	137.14	206.94	214.27	198.47	211.31	229.72	224.97	166.73	234.57	206.94	178.77	223.41	164.42	226.54	194.36	166.73	229.72	211.31	183.82	165.57	217.27	191.67	191.67	202.66	220.32	214.27	87.03	118.43	109.66	16.15	143.01	73.03	109.66	99.43	159.9	155.5	204.07	162.14	145.02	172.65	150.17	138.1	159.9	141.02	156.59	201.25	128.79	147.06	48.87	45.21	64.34	31.45	49.56	64.8	25.72	44.25	28.45	68.07	78.89	363.56	189.02	162.14	473.41	273.37	234.57	248.0	267.73	271.48	212.78	277.2	289.02	234.57	224.97	392.44	249.73	189.02	269.6
CEP68	178.77	92.05	183.82	169.07	215.77	187.71	156.59	173.85	139.07	860.08	647.07	624.99	289.02	131.51	205.5	163.28	152.28	123.5	205.5	101.54	146.03	165.57	137.14	178.77	194.36	135.24	172.65	49.21	180.02	128.79	156.59	166.73	221.86	258.57	209.84	218.79	267.73	190.34	169.07	289.02	204.07	199.85	253.23	130.6	217.27	223.41	202.66	221.86	244.57	194.36	201.25	237.86	190.34	209.84	255.0	229.72	242.88	77.79	137.14	127.0	212.78	145.02	165.57	110.43	162.14	214.27	195.72	279.14	173.85	217.27	264.03	226.54	193.01	137.14	206.94	231.32	228.13	236.21	211.31	84.04	120.94	110.43	115.97	120.1	128.79	101.54	142.01	52.82	96.68	116.78	490.14	185.11	178.77	400.71	457.25	329.84	255.0	287.01	329.84	339.14	283.05	293.07	323.03	285.03	279.14	297.17	256.78	253.23
CSNK1G1	72.52	77.25	75.64	102.25	58.3	81.71	60.82	59.13	101.54	209.84	189.02	185.11	143.01	62.12	127.89	63.45	111.99	127.0	197.09	178.77	154.42	151.22	147.06	143.01	110.43	99.43	71.5	18.16	127.89	74.06	88.26	120.94	177.53	166.73	135.24	148.09	157.68	165.57	123.5	186.4	144.01	113.56	154.42	111.99	190.34	157.68	163.28	150.17	173.85	139.07	116.78	159.9	148.09	138.1	111.99	152.28	166.73	104.42	111.21	108.9	40.07	88.26	87.65	194.36	120.94	65.26	104.42	144.01	110.43	109.66	127.89	131.51	117.6	120.94	138.1	113.56	182.55	119.26	125.24	40.64	32.36	60.39	24.28	22.92	40.36	40.93	42.41	17.38	46.84	38.12	236.21	143.01	165.57	218.79	111.99	130.6	126.12	204.07	149.12	163.28	198.47	223.41	131.51	130.6	108.14	161.02	135.24	186.4
CTDSPL2	224.97	100.13	139.07	169.07	137.14	88.88	98.04	211.31	82.29	595.34	490.14	454.09	291.04	248.0	269.6	249.73	195.72	133.36	142.01	131.51	181.28	204.07	221.86	281.09	201.25	140.04	132.44	56.68	260.38	165.57	162.14	226.54	234.57	339.14	271.48	256.78	279.14	316.37	220.32	289.02	237.86	208.38	289.02	283.05	251.48	297.17	267.73	275.28	273.37	281.09	271.48	256.78	395.18	297.17	244.57	320.8	279.14	76.17	170.25	172.65	24.46	164.42	59.13	117.6	125.24	149.12	195.72	273.37	185.11	157.68	191.67	217.27	183.82	173.85	218.79	202.66	260.38	185.11	202.66	54.72	45.21	75.11	46.5	50.98	64.8	49.21	47.5	37.59	42.41	65.72	507.46	186.4	162.14	450.94	470.14	269.6	305.55	346.29	297.17	332.14	323.03	642.59	237.86	320.8	307.69	348.71	275.28	256.78
DET1	97.36	76.17	72.01	62.56	112.77	62.12	66.65	72.52	61.25	185.11	173.85	169.07	112.77	92.7	97.36	105.15	130.6	75.11	64.8	74.06	90.14	88.88	112.77	84.63	76.71	69.03	104.42	50.27	90.77	95.34	37.32	81.14	112.77	113.56	104.42	108.14	110.43	102.97	94.01	109.66	96.01	100.13	100.13	105.89	96.01	130.6	118.43	105.15	94.01	114.36	101.54	105.89	105.15	88.26	109.66	96.01	101.54	63.45	92.7	62.12	43.63	67.12	49.56	60.39	90.14	90.14	104.42	112.77	92.7	116.78	118.43	113.56	84.04	109.66	108.9	98.04	98.04	96.68	94.67	63.0	49.91	52.45	47.17	58.3	53.57	29.91	66.65	50.63	46.18	47.84	119.26	105.15	158.79	195.72	150.17	161.02	124.37	197.09	173.85	170.25	153.34	221.86	140.04	162.14	121.79	154.42	133.36	122.64
DNAJB14	223.41	127.0	123.5	217.27	128.79	167.9	187.71	228.13	119.26	543.96	486.75	384.34	334.46	283.05	283.05	285.03	251.48	191.67	237.86	175.07	293.07	267.73	241.19	454.09	400.71	190.34	195.72	329.84	420.68	204.07	158.79	361.04	414.87	438.59	325.29	406.31	366.09	409.15	316.37	356.05	309.83	285.03	435.55	361.04	435.55	366.09	356.05	358.54	363.56	343.89	412.0	316.37	429.54	363.56	307.69	381.68	341.51	164.42	224.97	206.94	27.84	229.72	70.51	223.41	161.02	237.86	293.07	241.19	255.0	239.52	253.23	271.48	239.52	242.88	283.05	275.28	303.44	242.88	289.02	108.14	64.34	111.21	102.25	67.12	103.69	28.24	74.58	26.47	102.25	88.88	400.71	351.14	285.03	591.22	503.95	305.55	447.82	368.65	348.71	381.68	343.89	414.87	426.57	379.04	406.31	423.61	376.41	490.14
DPP8	320.8	105.15	218.79	194.36	199.85	164.42	92.7	191.67	144.01	559.28	457.25	389.72	403.5	204.07	305.55	277.2	285.03	231.32	232.94	327.56	309.83	281.09	231.32	571.05	403.5	132.44	204.07	101.54	309.83	127.0	155.5	291.04	373.81	397.93	314.17	417.77	363.56	358.54	343.89	368.65	325.29	249.73	376.41	264.03	441.64	358.54	356.05	392.44	361.04	353.59	291.04	346.29	371.22	318.57	441.64	379.04	417.77	191.67	226.54	145.02	48.52	234.57	129.69	224.97	181.28	198.47	283.05	363.56	301.33	264.03	341.51	289.02	334.46	320.8	395.18	285.03	343.89	303.44	336.79	49.21	59.97	92.7	59.55	40.64	82.87	43.63	53.95	29.7	85.22	66.18	587.13	301.33	249.73	327.56	423.61	341.51	341.51	229.72	249.73	384.34	314.17	412.0	341.51	291.04	260.38	329.84	299.25	305.55
ELF2	423.61	287.01	251.48	351.14	289.02	258.57	193.01	343.89	409.15	1088.92	878.17	928.3	423.61	269.6	327.56	320.8	234.57	246.28	514.56	297.17	281.09	381.68	246.28	368.65	287.01	295.11	220.32	119.26	353.59	212.78	265.87	327.56	454.09	514.56	387.02	441.64	460.44	503.95	323.03	429.54	432.53	334.46	493.56	316.37	480.04	392.44	438.59	460.44	473.41	429.54	361.04	392.44	379.04	403.5	423.61	483.38	435.55	125.24	237.86	273.37	73.54	193.01	183.82	170.25	211.31	248.0	325.29	366.09	271.48	281.09	281.09	361.04	256.78	260.38	295.11	318.57	327.56	316.37	312.0	211.31	141.02	191.67	142.01	220.32	195.72	134.3	150.17	125.24	141.02	187.71	941.27	563.18	500.46	947.83	842.36	679.29	674.59	775.05	616.37	497.0	684.02	703.28	511.0	595.34	620.67	738.29	490.14	684.02
