	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.P4QT.0626.SM.3NMCP	TCGA.BA.4074.01A.01R.1436.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5428.01A.01R.1628.07	TCGA.50.5066.01A.01R.1628.07	TCGA.18.3406.01A.01R.0980.07	TCGA.18.3412.01A.01R.0980.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.11GSP.2126.SM.5HL5E
PGC	8046889.67	1634025.56	2039804.27	22.59	7.0	0.0	348.71	269.6	46.5	70.51	2310861.52	2310861.52	1212874.47	2310861.52	3200796.55	1393227.06	1.011504819E7	383800.28	5128124.01	2068278.89	5690009.96	1634025.56	4885245.74	2654482.97	282912.21	341137.96
PHRF1	497.0	511.0	473.41	57.89	84.04	0.0	73.03	63.0	63.0	147.06	320.8	476.71	460.44	497.0	264.03	211.31	379.04	579.04	603.67	476.71	423.61	88.26	258.57	255.0	204.07	220.32
PIGQ	866.07	808.0	647.07	205.5	444.72	0.0	178.77	231.32	186.4	454.09	536.45	748.61	928.3	511.0	466.88	336.79	660.68	1051.79	599.49	1175.27	780.44	332.14	543.96	559.28	447.82	244.57
PPP2R1A	5441.3	4769.75	4152.18	3303.0	3614.55	0.0	2119.22	2682.69	2835.7	2627.46	3395.89	5006.93	6250.56	5183.54	3901.01	2935.74	4210.15	6121.9	3325.99	4869.99	3742.05	2875.3	4671.57	3540.14	3168.41	3589.58
PRR12	339.14	346.29	242.88	25.72	34.02	0.0	61.68	38.4	78.89	83.45	312.0	412.0	698.41	429.54	297.17	202.66	339.14	748.61	426.57	423.61	361.04	48.87	297.17	221.86	181.28	119.26
SCAF1	981.29	1030.12	796.86	123.5	165.57	438.59	150.17	158.79	163.28	376.41	713.11	848.22	1304.15	961.07	567.1	389.72	785.88	1417.35	796.86	921.88	684.02	133.36	629.35	536.45	423.61	466.88
TBC1D2B	819.3	708.18	457.25	100.13	231.32	0.0	123.5	169.07	172.65	134.3	660.68	612.11	642.59	368.65	293.07	555.41	320.8	693.58	444.72	493.56	551.56	105.15	279.14	346.29	256.78	148.09
TNIP2	866.07	708.18	723.08	417.77	543.96	0.0	616.37	579.04	379.04	540.19	603.67	902.89	947.83	780.44	698.41	507.46	733.19	775.05	769.69	872.1	780.44	587.13	595.34	775.05	551.56	514.56
TXLNA	656.11	819.3	591.22	346.29	164.42	480.04	267.73	226.54	265.87	339.14	480.04	679.29	612.11	785.88	248.0	363.56	612.11	728.11	642.59	620.67	587.13	167.9	387.02	329.84	212.78	246.28
WIZ	819.3	915.51	480.04	142.01	105.15	323.03	100.83	97.36	166.73	420.68	521.76	878.17	1191.69	718.08	473.41	381.68	713.11	934.76	954.43	743.43	559.28	147.06	454.09	435.55	363.56	318.57
ZBTB45	327.56	309.83	229.72	59.55	77.25	0.0	88.26	89.51	116.78	62.56	229.72	325.29	507.46	361.04	258.57	133.36	241.19	575.03	273.37	387.02	291.04	164.42	271.48	295.11	145.02	100.83
ZNF213	262.2	220.32	198.47	52.08	87.03	0.0	43.32	52.08	86.43	185.11	226.54	366.09	397.93	409.15	193.01	181.28	312.0	503.95	351.14	412.0	332.14	75.11	215.77	195.72	166.73	167.9
ZNF343	253.23	249.73	146.03	50.63	68.55	0.0	69.03	64.34	143.01	61.25	172.65	180.02	128.79	152.28	94.01	108.14	123.5	309.83	241.19	132.44	102.97	57.89	67.59	85.82	69.03	62.12
ZNF446	351.14	265.87	226.54	56.68	64.34	0.0	67.59	98.04	166.73	91.41	217.27	205.5	283.05	180.02	132.44	115.97	293.07	384.34	251.48	279.14	220.32	130.6	163.28	223.41	84.04	74.58
ZNF574	346.29	346.29	295.11	58.71	82.87	0.0	88.26	93.35	78.34	117.6	267.73	426.57	426.57	371.22	251.48	176.29	353.59	529.06	361.04	454.09	343.89	90.14	226.54	246.28	100.83	87.03
ZNF628	205.5	164.42	127.89	32.36	18.56	0.0	21.94	27.05	40.64	47.84	108.14	265.87	291.04	169.07	60.39	49.21	202.66	441.64	198.47	211.31	178.77	36.53	118.43	149.12	118.43	144.01
ZNF865	329.84	371.22	171.45	20.11	24.28	0.0	53.19	49.21	115.97	53.57	264.03	316.37	457.25	329.84	169.07	71.5	258.57	423.61	329.84	420.68	307.69	63.89	262.2	205.5	150.17	127.89
