	TCGA.CJ.5672.01A.11R.1541.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ
CACFD1	438.59	866.07	688.78	688.78	802.41	651.58	0.0	0.32	256.78	275.28	129.69	241.19	460.44	287.01	95.34	299.25	191.67
CAMSAP3	212.78	363.56	435.55	295.11	493.56	339.14	0.0	0.03	144.01	314.17	81.14	94.67	325.29	148.09	122.64	366.09	104.42
CASP6	395.18	567.1	351.14	733.19	493.56	429.54	0.0	0.18	185.11	169.07	77.25	127.0	291.04	277.2	178.77	332.14	221.86
CCDC148	61.25	181.28	204.07	242.88	253.23	114.36	0.0	0.0	18.16	59.97	20.71	16.39	28.04	10.39	16.51	2.84	16.39
CD74	378516.38	50709.61	62865.33	49666.0	68793.23	16843.62	0.0	1.08	1196176.45	1019901.63	932018.1	1503610.06	1229805.58	741454.2	375901.76	1877002.62	1196176.45
CDHR1	679.29	82.29	769.69	785.88	316.37	173.85	0.0	0.41	7.34	9.93	34.02	3.08	2.41	14.89	1.89	1.97	4.1
CDK20	246.28	297.17	305.55	339.14	312.0	312.0	0.0	0.31	115.97	115.16	41.52	33.54	118.43	47.5	42.41	28.04	29.91
CDS1	130.6	688.78	409.15	660.68	376.41	819.3	0.0	0.0	201.25	454.09	85.82	191.67	212.78	167.9	73.03	503.95	112.77
CHDH	403.5	323.03	591.22	651.58	529.06	305.55	54.72	166.73	299.25	127.0	34.02	73.54	137.14	269.6	7.57	95.34	215.77
CLDN3	723.08	21919.61	40341.14	4095.0	5403.7	8718.32	91.41	529.06	68.55	2400.97	45.53	287.01	156.59	33.06	3.63	100.83	18.43
CLDN4	1397.83	11267.44	14361.31	13492.72	7433.4	11267.44	0.0	0.03	1991.0	5633.22	3146.52	1051.79	2701.35	633.73	1066.48	3982.99	947.83
COX18	220.32	232.94	215.77	309.83	258.57	320.8	0.0	0.41	232.94	92.7	80.01	183.82	293.07	414.87	45.53	256.78	197.09
CRIP3	101.54	67.59	178.77	141.02	674.59	40.07	0.0	0.44	0.57	10.47	10.47	1.46	4.9	5.92	0.41	7.51	5.28
CTB-54O9.9	0.0	11.91	0.0	5.59	11.3	6.84	0.0	0.0	0.0	0.0	0.0	0.0	5.82	0.0	0.0	7.28	0.0
CUX1	2573.36	3303.0	5479.15	3212.66	3955.48	2520.38	791.35	878.17	1819.35	1159.07	1259.69	1331.57	1159.07	1030.12	1023.0	1104.13	1583.71
CYB561D1	151.22	193.01	120.1	289.02	197.09	246.28	0.0	0.01	81.71	92.7	32.36	43.02	108.14	62.56	23.93	60.39	54.72
CYS1	2434.5	4671.57	2417.67	3955.48	2915.45	4210.15	0.0	0.0	182.55	102.97	346.29	177.53	718.08	146.03	197.09	140.04	297.17
DALRD3	525.39	2209.26	1896.65	1457.23	1963.57	1540.37	0.0	0.15	493.56	567.1	441.64	392.44	638.15	473.41	307.69	447.82	314.17
DDR1	2104.58	3982.99	7382.04	4736.79	4869.99	6121.9	0.0	0.42	1477.58	2537.92	1447.15	1437.15	3820.7	813.63	854.13	1745.2	1216.75
DHX57	366.09	329.84	454.09	309.83	366.09	371.22	0.0	0.13	127.0	150.17	38.95	113.56	255.0	212.78	62.12	246.28	148.09
DLGAP1	8.45	204.07	221.86	713.11	19.11	80.57	0.0	0.25	6.67	61.25	2.68	56.28	61.68	67.59	57.89	46.18	33.54
DYNC2LI1	928.3	3325.99	4010.71	3280.18	3467.27	4328.55	291.04	2104.58	329.84	420.68	218.79	353.59	571.05	480.04	256.78	423.61	312.0
DYX1C1	88.26	191.67	211.31	205.5	92.05	172.65	0.0	0.0	158.79	100.83	11.73	102.25	169.07	109.66	19.11	69.03	66.18
E2F5	92.05	163.28	127.89	267.73	166.73	206.94	0.0	0.57	255.0	303.44	113.56	47.84	103.69	116.78	151.22	56.68	87.03
EFNA2	2.34	32.36	127.0	63.89	18.56	15.34	0.0	0.0	0.0	0.0	1.1	0.0	1.27	0.0	0.0	0.0	0.0
ENTPD8	18.7	33.06	90.14	37.85	153.34	39.79	0.0	0.25	0.31	6.16	0.0	2.03	3.29	12.93	0.0	0.01	0.0
EPB41L1	1417.35	2573.36	2468.49	4419.52	2224.63	4937.99	356.05	802.41	603.67	842.36	612.11	813.63	1487.87	961.07	616.37	616.37	1250.98
EPS8L1	563.18	3491.39	2591.27	941.27	3168.41	1909.85	0.0	0.93	2434.5	954.43	158.79	119.26	733.19	376.41	218.79	135.24	171.45
ERBB2	961.07	3874.05	3081.75	3742.05	3690.52	3742.05	0.0	0.77	575.03	2303.12	297.17	312.0	1397.83	277.2	244.57	603.67	571.05
ERP29	3540.14	5219.6	4450.27	4869.99	5366.37	4450.27	0.0	0.28	2434.5	2335.28	2090.03	2537.92	4543.8	3060.45	1651.0	4704.07	3690.52
ESRRA	974.5	1088.92	1498.22	1073.91	2351.53	1322.37	0.0	0.79	884.29	567.1	514.56	305.55	684.02	723.08	457.25	684.02	384.34
FAM206A	253.23	363.56	339.14	371.22	262.2	316.37	0.0	0.21	221.86	187.71	112.77	151.22	214.27	170.25	81.71	178.77	129.69
FAM222B	417.77	688.78	511.0	802.41	547.75	563.18	0.0	0.58	202.66	144.01	172.65	172.65	193.01	127.0	249.73	126.12	208.38
FAM227A	11.21	61.68	60.82	81.71	55.49	61.68	0.0	0.18	5.87	57.89	7.63	23.76	24.46	4.94	3.26	2.32	5.68
FASTKD1	507.46	624.99	780.44	748.61	674.59	376.41	0.0	0.16	447.82	223.41	85.22	108.14	195.72	303.44	127.89	251.48	143.01
FBXL2	121.79	265.87	275.28	470.14	353.59	412.0	0.0	0.3	87.65	265.87	77.25	120.1	285.03	148.09	82.87	52.08	194.36
FHL1	11267.44	10808.41	39237.98	28132.47	30572.63	44761.41	0.0	0.56	3665.02	13872.08	8718.32	14065.74	13033.07	12502.12	9088.59	4704.07	12676.65
FHOD3	325.29	981.29	423.61	1151.06	543.96	651.58	0.0	0.35	9.13	143.01	44.57	75.64	108.14	21.63	44.57	7.75	21.32
FLOT2	3280.18	4481.23	3349.13	4328.55	6207.38	4671.57	1963.57	177.53	1977.24	1508.65	1313.23	1651.0	2335.28	1540.37	909.17	1242.34	1605.83
FNDC4	444.72	429.54	848.22	480.04	1313.23	265.87	0.0	0.53	128.79	146.03	111.99	265.87	68.55	218.79	72.52	119.26	171.45
GAS8	603.67	872.1	928.3	1111.82	1044.52	1216.75	0.0	0.54	212.78	473.41	103.69	242.88	656.11	146.03	156.59	249.73	176.29
GCKR	17.13	8.78	31.22	21.47	67.12	16.27	0.0	0.39	0.04	5.23	14.24	0.0	2.71	3.35	8.85	3.23	0.52
GDPGP1	74.58	106.63	79.45	170.25	144.01	191.67	0.0	0.0	78.34	34.51	36.53	47.5	108.14	73.03	19.25	70.51	24.46
GSS	1540.37	4066.71	3742.05	2384.37	3124.78	4639.29	0.0	0.77	780.44	429.54	540.19	591.22	1008.9	1030.12	256.78	713.11	591.22
GSTO2	267.73	432.53	473.41	438.59	271.48	480.04	0.0	0.26	197.09	86.43	20.71	65.26	336.79	38.95	38.4	159.9	41.81
HIP1R	555.41	2018.8	1936.53	1709.26	2875.3	1378.57	0.0	0.88	76.71	591.22	368.65	307.69	348.71	204.07	289.02	575.03	379.04
HLA-DRA	127486.83	12853.63	12589.08	26614.89	17558.94	4972.34	25530.66	400.71	606436.73	341137.96	341137.96	466008.55	668235.84	417089.23	211455.3	1085552.95	645473.24
IL17RB	1936.53	248.0	1781.89	2061.24	1233.75	312.0	0.0	0.41	170.25	47.5	175.07	318.57	123.5	97.36	36.27	136.19	80.01
ILDR1	256.78	403.5	273.37	575.03	242.88	397.93	0.0	0.0	96.68	69.52	27.05	49.56	63.89	24.81	19.97	100.83	33.06
IRAK1BP1	29.48	50.63	189.02	102.25	74.58	74.58	0.0	0.0	31.0	37.32	5.59	32.82	84.04	41.81	10.79	27.84	11.91
IRX5	341.51	466.88	463.65	780.44	1008.9	872.1	0.0	0.0	27.25	62.56	7.17	28.24	183.82	11.82	25.54	77.79	25.72
KCNJ16	1617.0	4836.35	5633.22	6983.79	4972.34	4181.07	0.0	0.0	8.92	55.89	2.27	22.26	55.1	0.01	2.27	1.51	35.76
KCTD4	10.16	28.04	98.73	138.1	27.44	13.42	0.0	0.0	0.0	0.0	1.35	0.0	0.62	0.57	0.0	0.0	0.0
KIAA0408	73.54	299.25	460.44	599.49	400.71	379.04	0.0	0.07	64.34	395.18	218.79	53.19	258.57	52.82	329.84	31.9	271.48
KLHDC9	299.25	1051.79	780.44	486.75	748.61	583.07	0.0	0.22	88.26	291.04	39.79	64.34	256.78	67.12	13.83	73.54	38.12
LLGL2	934.76	4769.75	4450.27	2591.27	4358.66	2287.2	0.0	0.91	1540.37	3060.45	884.29	698.41	1313.23	884.29	1037.29	447.82	753.83
LRIT2	3.41	0.66	19.25	11.64	7.75	2.27	0.0	0.0	0.0	0.43	2.51	1.17	0.0	0.0	0.0	0.0	0.0
LRRC20	195.72	265.87	199.85	336.79	454.09	518.15	0.0	0.11	64.34	110.43	29.48	30.56	147.06	61.25	14.56	87.03	66.65
LRRC27	301.33	470.14	341.51	379.04	376.41	381.68	0.0	0.31	122.64	224.97	47.5	85.82	447.82	214.27	19.11	221.86	54.72
LRRC34	62.12	145.02	120.1	55.89	112.77	98.73	0.0	0.26	64.34	87.65	6.26	46.84	73.03	60.82	14.67	38.95	38.67
LRRC43	81.14	193.01	137.14	273.37	231.32	162.14	0.0	0.0	17.38	159.9	44.57	54.72	76.71	15.11	29.91	27.64	8.25
MCRS1	813.63	1304.15	1991.0	1745.2	2255.7	1286.18	0.0	0.34	665.29	376.41	503.95	684.02	1216.75	802.41	320.8	802.41	493.56
MED22	262.2	473.41	447.82	514.56	669.92	612.11	212.78	497.0	305.55	366.09	186.4	183.82	529.06	371.22	171.45	283.05	232.94
MET	1883.54	3168.41	3794.3	4298.64	3325.99	4268.94	0.0	0.07	555.41	507.46	131.51	122.64	435.55	48.52	145.02	346.29	241.19
METTL2A	199.85	289.02	239.52	432.53	325.29	403.5	0.0	0.41	371.22	141.02	102.25	139.07	120.94	89.51	180.02	74.58	96.68
MGAT4B	3955.48	4066.71	5183.54	7081.29	6426.31	6840.04	0.0	1.0	2104.58	1806.78	3168.41	1073.91	2451.44	1832.01	1794.29	1583.71	1498.22
MIEF2	397.93	775.05	603.67	616.37	854.13	995.0	159.9	283.05	159.9	175.07	102.97	157.68	361.04	132.44	55.89	204.07	145.02
MRPL30	244.57	285.03	237.86	121.79	118.43	96.68	0.0	0.0	108.14	70.51	73.03	35.5	104.42	150.17	80.01	95.34	111.99
MRPS5	1233.75	1909.85	2591.27	1662.49	1662.49	1378.57	0.0	0.75	1286.18	1369.04	473.41	532.74	748.61	1001.93	633.73	665.29	620.67
MRS2	395.18	473.41	629.35	688.78	525.39	693.58	0.0	0.39	406.31	180.02	86.43	185.11	353.59	301.33	131.51	262.2	260.38
MYO5B	563.18	1135.2	1059.11	1605.83	647.07	890.44	0.0	0.22	728.11	660.68	764.36	88.88	463.65	120.94	748.61	190.34	320.8
MYOM3	575.03	1857.6	2148.82	1277.29	1159.07	1096.5	0.0	0.23	0.82	0.55	5.59	0.37	0.61	2.39	0.24	3.79	0.96
NDUFAF7	346.29	262.2	366.09	368.65	285.03	246.28	0.0	0.52	175.07	129.69	80.57	83.45	171.45	143.01	165.57	125.24	115.97
NECAB3	361.04	624.99	551.56	368.65	460.44	507.46	0.0	0.31	616.37	460.44	397.93	356.05	1487.87	379.04	234.57	1037.29	486.75
NFS1	825.0	1331.57	1127.35	1417.35	1268.46	1628.26	0.0	0.11	318.57	169.07	92.7	198.47	343.89	295.11	71.5	327.56	183.82
NINL	108.9	567.1	543.96	575.03	500.46	500.46	0.0	0.57	85.82	289.02	33.54	70.01	194.36	131.51	39.22	291.04	77.25
NPAS2	432.53	521.76	723.08	1059.11	836.53	842.36	0.0	0.73	384.34	127.0	23.25	44.57	32.82	132.44	29.06	75.64	21.94
OSCP1	336.79	909.17	529.06	836.53	575.03	728.11	0.0	0.0	226.54	728.11	125.24	255.0	381.68	105.15	104.42	211.31	81.14
PAIP2B	126.12	275.28	279.14	361.04	152.28	201.25	0.0	0.12	28.24	55.1	15.68	18.56	84.63	33.3	14.67	68.55	15.56
PAOX	329.84	178.77	234.57	177.53	154.42	139.07	0.0	0.16	149.12	55.49	75.64	67.59	71.5	73.03	24.11	115.16	48.18
PARS2	104.42	178.77	146.03	242.88	208.38	236.21	0.0	0.0	42.71	17.0	13.03	28.24	40.36	19.68	19.11	28.65	24.28
PAX8	2209.26	10512.82	21617.82	11827.67	7331.05	6079.61	0.0	0.21	72.52	96.01	69.03	62.12	406.31	40.07	31.67	251.48	285.03
PCLO	120.94	87.03	228.13	343.89	239.52	237.86	0.0	0.09	28.65	15.56	2.16	15.11	26.1	8.13	1.45	25.17	21.78
PCSK1N	9.2	5006.93	6561.36	848.22	4903.87	2739.08	0.0	0.39	269.6	127.0	45.85	56.28	53.57	76.71	34.51	25.54	113.56
PDDC1	575.03	748.61	583.07	947.83	1001.93	954.43	703.28	104.42	497.0	348.71	103.69	199.85	480.04	295.11	166.73	176.29	295.11
PDF	299.25	397.93	490.14	607.87	575.03	854.13	0.0	0.05	29.91	32.59	38.12	28.65	28.65	50.98	14.24	53.19	48.18
PDHA1	4575.41	7382.04	9151.82	6250.56	10154.69	6792.79	0.0	1.25	1733.13	1963.57	1745.2	1844.76	3039.3	2591.27	1950.0	2400.97	4038.61
PKP4	1286.18	3982.99	3955.48	4671.57	2777.33	1508.65	325.29	426.57	688.78	1127.35	1733.13	521.76	1331.57	1001.93	1331.57	493.56	836.53
PLEKHJ1	1059.11	1498.22	1757.34	1242.34	2384.37	1467.37	0.0	0.68	1639.59	1159.07	688.78	387.02	961.07	579.04	476.71	559.28	591.22
PLEKHN1	59.55	217.27	348.71	120.94	223.41	167.9	0.0	0.67	12.74	18.03	2.94	9.13	18.43	25.91	8.45	5.23	7.28
PTCHD3	0.37	0.0	0.97	5.73	0.66	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	1.31	0.0	0.0
PTH2R	563.18	708.18	1870.53	1088.92	1250.98	1096.5	0.0	0.0	7.34	9.41	0.0	0.0	15.45	8.99	0.0	2.43	0.52
PXMP4	132.44	175.07	170.25	361.04	194.36	356.05	0.0	0.0	271.48	114.36	110.43	135.24	473.41	190.34	79.45	353.59	253.23
RABL5	2004.85	2935.74	3212.66	2047.0	2468.49	2367.9	0.0	0.06	318.57	559.28	206.94	447.82	438.59	297.17	244.57	242.88	251.48
RALGPS1	83.45	205.5	327.56	379.04	251.48	279.14	0.0	0.57	134.3	466.88	157.68	231.32	379.04	133.36	71.0	163.28	197.09
RNF123	503.95	647.07	830.75	679.29	764.36	555.41	0.0	0.62	334.46	366.09	320.8	262.2	693.58	507.46	211.31	457.25	381.68
RP11-1102P16.1	0.0	1.6	8.92	8.65	1.68	1.58	0.0	0.0	0.0	3.59	0.0	0.0	7.57	0.0	0.0	0.0	0.0
RP11-41O4.1	26.1	22.43	22.26	23.59	26.47	0.0	0.0	0.0	5.63	16.63	0.0	0.0	12.27	19.97	0.0	8.19	6.01
RPS6KA6	1.89	17.64	26.86	149.12	64.34	58.71	0.0	0.17	12.45	36.53	4.28	6.11	9.85	0.0	16.03	6.46	2.86
RPUSD3	417.77	988.12	896.64	669.92	791.35	759.08	0.0	0.27	366.09	301.33	150.17	193.01	507.46	351.14	164.42	379.04	262.2
RSPH4A	9.13	57.49	59.97	49.21	38.95	58.3	0.0	0.0	32.13	190.34	18.7	122.64	116.78	23.08	5.77	24.28	7.0
RTKN	1870.53	2104.58	2895.31	1498.22	2133.97	1857.6	0.0	0.66	343.89	348.71	150.17	78.89	392.44	53.19	151.22	127.0	136.19
SAMD15	40.07	66.65	41.52	91.41	44.57	83.45	0.0	0.0	6.36	26.28	0.0	9.48	13.83	3.56	2.41	1.89	3.76
SATB2	159.9	543.96	684.02	775.05	555.41	543.96	0.0	0.39	40.93	13.83	1.27	3.26	11.13	22.92	10.24	11.73	7.46
SCCPDH	447.82	1104.13	460.44	1794.29	525.39	1540.37	0.0	0.52	2682.69	457.25	187.71	470.14	1127.35	769.69	248.0	1191.69	759.08
SCNN1A	241.19	1733.13	4802.93	3955.48	5913.33	2209.26	0.0	0.73	1175.27	3768.09	521.76	988.12	4328.55	684.02	791.35	5995.9	1909.85
SEMA4F	130.6	135.24	133.36	172.65	120.1	178.77	0.0	0.11	91.41	59.97	37.05	67.12	115.16	53.95	20.11	53.95	60.82
SH2D7	1.14	0.66	2.34	9.13	7.82	3.23	0.0	0.0	1.33	4.28	1.3	0.0	1.38	0.0	2.97	1.45	2.01
SLC25A12	316.37	460.44	629.35	414.87	579.04	547.75	0.0	0.31	104.42	123.5	55.1	155.5	258.57	156.59	57.89	181.28	124.37
SLC4A11	8.06	217.27	423.61	351.14	35.25	220.32	0.0	0.62	161.02	159.9	9.34	120.1	89.51	155.5	26.47	26.47	39.22
SMARCD1	1208.34	1457.23	1781.89	1832.01	2351.53	1304.15	0.0	0.88	607.87	486.75	571.05	587.13	1104.13	363.56	409.15	848.22	587.13
SMPDL3B	389.72	780.44	921.88	423.61	514.56	647.07	0.0	0.09	221.86	52.08	58.3	45.85	75.11	60.39	34.02	1286.18	132.44
SNX14	1037.29	2104.58	2520.38	1883.54	1651.0	1498.22	1417.35	130.6	1467.37	802.41	480.04	723.08	1477.58	1268.46	432.53	1477.58	1059.11
SOGA3	17.13	32.82	69.03	127.89	98.04	102.97	0.0	0.0	19.25	22.75	22.59	10.47	23.08	10.08	46.84	7.06	27.25
SPDYE3	143.01	137.14	154.42	125.24	171.45	153.34	0.0	0.0	28.86	12.45	16.39	28.04	48.87	36.79	18.29	34.75	30.56
STPG1	246.28	293.07	226.54	277.2	264.03	248.0	0.0	0.0	183.82	194.36	57.49	94.01	141.02	115.97	49.56	105.89	98.73
TAF6	1066.48	2119.22	3515.68	1733.13	3018.3	2119.22	0.0	0.71	312.0	579.04	579.04	447.82	486.75	444.72	392.44	351.14	412.0
TCTN1	1909.85	2271.4	4358.66	2682.69	3665.02	2468.49	0.0	0.39	571.05	587.13	251.48	500.46	587.13	409.15	166.73	466.88	368.65
TDRD9	8.78	120.1	7.11	255.0	99.43	69.03	0.0	0.39	94.01	12.27	6.06	35.5	18.03	70.01	8.45	43.02	9.7
TEFM	180.02	334.46	229.72	497.0	295.11	353.59	0.0	0.0	108.9	62.56	45.53	91.41	173.85	113.56	55.1	102.97	87.03
TM7SF2	500.46	2090.03	2367.9	1059.11	1963.57	1605.83	0.0	0.0	327.56	229.72	80.01	178.77	283.05	241.19	105.15	480.04	211.31
TMEM163	193.01	620.67	75.64	595.34	616.37	728.11	0.0	0.0	483.38	232.94	100.13	339.14	669.92	140.04	111.99	1519.15	194.36
TMEM169	73.54	112.77	161.02	234.57	78.34	208.38	0.0	0.0	3.38	1.36	6.36	1.43	5.73	7.46	5.87	16.03	6.94
TMEM178B	80.01	81.14	118.43	438.59	71.0	293.07	0.0	0.15	5.02	3.66	0.8	16.15	8.38	4.17	1.23	11.55	25.54
TMEM246	248.0	361.04	329.84	638.15	406.31	571.05	0.0	0.46	47.17	64.8	1.69	11.55	212.78	12.18	14.89	49.21	54.33
TMEM69	521.76	616.37	540.19	660.68	567.1	514.56	0.0	0.12	318.57	197.09	187.71	164.42	248.0	255.0	122.64	197.09	190.34
TNFSF13	2664.15	7642.41	7230.1	4937.99	6887.62	7803.01	0.0	0.37	3982.99	1662.49	1388.16	2061.24	6561.36	3639.7	583.07	2875.3	5479.15
TSSC1	890.44	470.14	656.11	409.15	480.04	444.72	0.0	0.22	279.14	220.32	132.44	148.09	336.79	339.14	88.88	262.2	197.09
TTC5	150.17	244.57	170.25	312.0	231.32	221.86	0.0	0.0	92.7	90.77	53.95	62.56	115.97	69.03	48.52	80.57	80.01
TTLL1	183.82	381.68	264.03	239.52	232.94	361.04	0.0	0.0	76.17	90.14	34.51	99.43	140.04	117.6	40.64	61.68	88.26
USP40	674.59	1051.79	1721.16	921.88	1127.35	981.29	0.0	0.67	447.82	373.81	67.12	293.07	995.0	444.72	36.53	796.86	351.14
VARS2	848.22	848.22	915.51	884.29	2061.24	1001.93	0.0	0.64	249.73	255.0	115.97	244.57	429.54	309.83	275.28	312.0	194.36
VWA7	138.1	341.51	486.75	665.29	363.56	480.04	0.0	0.0	299.25	267.73	35.0	119.26	507.46	435.55	21.94	106.63	93.35
WDR63	45.85	51.71	31.9	36.27	50.63	52.45	0.0	0.0	14.35	125.24	9.48	46.5	45.53	15.34	8.92	22.75	7.69
WDR78	149.12	218.79	195.72	201.25	149.12	169.07	0.0	0.0	47.5	209.84	12.83	116.78	104.42	33.54	23.76	23.76	94.01
ZDHHC16	529.06	1073.91	981.29	1030.12	1066.48	947.83	0.0	0.3	525.39	529.06	403.5	303.44	669.92	341.51	409.15	571.05	429.54
ZFHX2	10.31	80.01	53.57	49.21	108.9	67.59	0.0	0.0	14.35	63.89	3.29	12.74	32.59	6.62	4.7	3.17	3.59
ZNF132	48.18	108.14	95.34	157.68	112.77	108.9	0.0	0.13	26.86	28.45	14.14	15.56	33.06	13.12	11.82	17.0	21.01
ZNF396	83.45	146.03	143.01	202.66	127.89	175.07	0.0	0.06	34.51	29.91	9.56	66.18	115.97	44.89	12.36	107.38	23.42
ZNF625	56.28	212.78	151.22	121.79	102.97	95.34	0.0	0.26	6.89	23.59	31.45	17.25	63.0	15.91	11.64	32.82	5.82
