	GTEX.1399R.2226.SM.5P9JB	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.132AR.2726.SM.5PNVN	GTEX.117YW.1826.SM.5PNY5	GTEX.UJHI.1126.SM.4IHLN	GTEX.146FH.2426.SM.5Q5EW	GTEX.139YR.2126.SM.5KM11	GTEX.11DXZ.1726.SM.5H12M	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.11NUK.2426.SM.5BC4U	GTEX.Q2AI.0826.SM.48TZO	GTEX.T2IS.2226.SM.4DM65
COMMD6	4802.93	5366.37	3540.14	3419.52	4869.99	6840.04	4152.18	3395.89	3419.52	9945.68	3690.52	2976.74	5041.77	3081.75	3190.46	4972.34	10084.54
COMMD7	1340.84	1378.57	1081.39	896.64	1088.92	1059.11	1081.39	503.95	400.71	2417.67	629.35	995.0	1313.23	543.96	656.11	1183.45	2032.85
COPS6	2209.26	2163.77	1350.18	1397.83	2061.24	2555.58	1685.71	1561.89	1685.71	2935.74	1870.53	1397.83	2777.33	1594.73	1331.57	2573.36	4639.29
CPSF3L	1709.26	1896.65	1277.29	1769.57	1806.78	1977.24	1583.71	1407.55	1769.57	2485.67	1674.06	1709.26	1662.49	1498.22	775.05	2032.85	2417.67
CPSF7	567.1	1059.11	825.0	575.03	1015.93	1015.93	967.76	358.54	813.63	1135.2	1030.12	961.07	813.63	693.58	500.46	1286.18	1008.9
CREB3	1015.93	1015.93	616.37	642.59	947.83	1340.84	713.11	703.28	974.5	1467.37	878.17	669.92	1088.92	748.61	575.03	1119.56	1963.57
DDRGK1	1857.6	1896.65	1023.0	1388.16	1388.16	2271.4	1769.57	961.07	2240.11	2485.67	1745.2	1250.98	1191.69	1477.58	511.0	2434.5	934.76
DEXI	583.07	748.61	356.05	346.29	607.87	947.83	389.72	343.89	575.03	1216.75	591.22	454.09	748.61	392.44	189.02	981.29	1529.73
DPF2	571.05	854.13	395.18	253.23	703.28	708.18	529.06	368.65	551.56	1088.92	543.96	511.0	638.15	426.57	373.81	679.29	1769.57
DPH7	376.41	500.46	299.25	470.14	486.75	503.95	346.29	297.17	432.53	571.05	409.15	473.41	381.68	351.14	112.77	460.44	616.37
DPY30	1674.06	1540.37	1250.98	860.08	1529.73	1709.26	1331.57	1183.45	1242.34	1870.53	1447.15	1250.98	1487.87	1208.34	1104.13	1447.15	2720.15
ECSIT	1832.01	1832.01	848.22	1044.52	1651.0	2367.9	1111.82	1088.92	1183.45	1991.0	1467.37	921.88	1561.89	1059.11	656.11	1721.16	2319.15
EGLN2	2104.58	1594.73	1135.2	1529.73	1467.37	2018.8	1191.69	830.75	1277.29	2520.38	1359.57	1216.75	1508.65	1551.09	343.89	1143.1	2119.22
EID2	158.79	149.12	116.78	120.94	181.28	185.11	130.6	41.52	166.73	198.47	169.07	108.9	201.25	140.04	55.89	170.25	420.68
EIF2B1	536.45	679.29	669.92	529.06	759.08	693.58	759.08	379.04	633.73	981.29	693.58	698.41	684.02	497.0	264.03	775.05	791.35
EIF2B4	909.17	866.07	633.73	612.11	836.53	1001.93	642.59	483.38	775.05	1199.98	738.29	708.18	967.76	796.86	212.78	1037.29	866.07
EIF4ENIF1	244.57	346.29	281.09	212.78	392.44	384.34	307.69	152.28	251.48	521.76	341.51	366.09	379.04	262.2	148.09	400.71	470.14
ERVFRD-1	2.34	4.35	4.62	1.48	6.31	9.13	5.63	1.53	0.45	9.2	1.95	1.55	3.72	3.44	1.16	3.86	10.47
EXOC7	934.76	1191.69	878.17	665.29	1059.11	1096.5	836.53	518.15	915.51	1709.26	842.36	967.76	909.17	629.35	796.86	1037.29	2895.31
F8A1	1304.15	738.29	921.88	346.29	813.63	878.17	941.27	289.02	206.94	748.61	1135.2	674.59	1081.39	974.5	229.72	1295.13	769.69
FABP1	2011721.67	925580.18	1412675.8	1070607.81	851707.37	919186.72	951601.81	711250.37	1034138.94	52863.07	1019901.63	1093103.58	687022.54	1273174.62	759.08	1393227.06	0.84
FAM120C	33.78	41.52	12.18	18.43	55.1	45.21	31.67	26.1	17.38	84.04	36.53	17.9	43.94	14.89	10.39	44.57	132.44
FAM189B	341.51	447.82	134.3	190.34	368.65	599.49	293.07	186.4	275.28	808.0	295.11	202.66	403.5	157.68	176.29	591.22	791.35
FAM71E1	86.43	92.05	27.05	48.18	61.25	108.14	57.49	44.25	89.51	54.33	57.89	35.5	47.5	24.99	23.59	95.34	85.22
FBXO22	500.46	490.14	384.34	218.79	612.11	599.49	420.68	287.01	275.28	669.92	575.03	351.14	339.14	234.57	173.85	624.99	551.56
FBXO42	228.13	341.51	144.01	182.55	265.87	316.37	232.94	147.06	202.66	336.79	228.13	208.38	271.48	159.9	104.42	262.2	348.71
FDX1L	591.22	514.56	226.54	256.78	480.04	780.44	414.87	157.68	320.8	796.86	426.57	264.03	599.49	289.02	86.43	587.13	1233.75
FEM1A	189.02	218.79	205.5	138.1	142.01	283.05	155.5	21.78	193.01	307.69	131.51	75.11	316.37	201.25	118.43	336.79	409.15
FIZ1	202.66	262.2	152.28	161.02	199.85	258.57	206.94	64.34	193.01	244.57	234.57	212.78	260.38	159.9	26.67	387.02	555.41
FKBPL	169.07	149.12	80.57	154.42	150.17	253.23	123.5	70.01	205.5	195.72	157.68	115.16	199.85	157.68	42.41	237.86	175.07
FNTA	591.22	813.63	688.78	854.13	848.22	909.17	1030.12	348.71	559.28	1519.15	890.44	703.28	909.17	607.87	698.41	1023.0	1487.87
GEMIN4	176.29	234.57	159.9	72.52	417.77	325.29	153.34	60.39	204.07	371.22	327.56	155.5	387.02	109.66	113.56	432.53	248.0
GIT1	514.56	679.29	336.79	371.22	665.29	764.36	409.15	371.22	579.04	738.29	660.68	486.75	432.53	387.02	432.53	708.18	921.88
GKAP1	66.18	138.1	49.91	58.71	132.44	185.11	87.65	77.79	63.0	281.09	81.14	61.25	98.73	61.68	55.49	158.79	295.11
GNPAT	514.56	651.58	642.59	616.37	674.59	785.88	616.37	379.04	412.0	1127.35	733.19	559.28	616.37	603.67	267.73	967.76	988.12
HCFC1	624.99	656.11	441.64	242.88	780.44	743.43	518.15	264.03	511.0	860.08	536.45	454.09	660.68	454.09	133.36	780.44	836.53
HERC2	536.45	753.83	361.04	406.31	629.35	947.83	511.0	267.73	620.67	909.17	551.56	571.05	647.07	493.56	269.6	543.96	651.58
HIRIP3	267.73	295.11	175.07	173.85	312.0	379.04	221.86	126.12	246.28	559.28	275.28	253.23	303.44	176.29	51.35	231.32	480.04
HTRA2	808.0	878.17	358.54	497.0	791.35	878.17	567.1	497.0	688.78	1066.48	780.44	454.09	743.43	497.0	205.5	587.13	947.83
KCTD21	101.54	165.57	59.55	95.34	132.44	164.42	136.19	19.68	99.43	229.72	140.04	94.01	114.36	94.67	21.01	111.99	140.04
KEAP1	1216.75	1081.39	866.07	1259.69	1216.75	1529.73	854.13	466.88	1030.12	1757.34	1208.34	1037.29	1242.34	1313.23	264.03	1340.84	1896.65
KLHDC3	1331.57	1561.89	808.0	915.51	1225.22	1757.34	1143.1	674.59	1135.2	2224.63	1225.22	1088.92	1388.16	1008.9	473.41	1674.06	1870.53
L3MBTL2	334.46	343.89	229.72	299.25	441.64	379.04	285.03	134.3	287.01	521.76	285.03	244.57	412.0	185.11	130.6	483.38	642.59
LAMB2	1407.55	3124.78	587.13	1286.18	2018.8	3235.01	1175.27	890.44	1427.22	4736.79	2609.3	1167.14	2796.65	1073.91	2075.59	3443.31	12676.65
LIPT1	98.73	147.06	143.01	137.14	139.07	146.03	189.02	54.33	124.37	185.11	161.02	176.29	161.02	93.35	102.25	208.38	258.57
LRRC47	743.43	796.86	698.41	460.44	872.1	974.5	733.19	299.25	660.68	1151.06	656.11	674.59	928.3	507.46	194.36	988.12	1044.52
LSM14B	486.75	563.18	384.34	205.5	583.07	612.11	432.53	289.02	381.68	909.17	543.96	587.13	454.09	314.17	85.82	665.29	1268.46
LYSMD1	98.73	131.51	82.87	94.67	131.51	126.12	127.89	53.19	78.89	195.72	124.37	104.42	108.9	61.25	28.86	163.28	142.01
MAF1	2090.03	2367.9	1322.37	1594.73	1870.53	3372.43	1662.49	1340.84	1781.89	4736.79	1757.34	1605.83	2682.69	1572.76	1322.37	2287.2	3928.15
MALSU1	1037.29	848.22	753.83	493.56	884.29	1143.1	698.41	603.67	629.35	1096.5	808.0	507.46	1259.69	656.11	476.71	1250.98	1397.83
MAN1C1	81.14	277.2	79.45	31.67	198.47	256.78	125.24	102.97	74.06	559.28	187.71	126.12	307.69	43.94	85.82	223.41	764.36
MANBAL	995.0	1216.75	842.36	967.76	981.29	1304.15	995.0	848.22	1008.9	1963.57	896.64	947.83	1350.18	1088.92	1008.9	1529.73	3280.18
MAP3K10	140.04	212.78	45.85	100.83	241.19	267.73	158.79	129.69	109.66	273.37	152.28	83.45	139.07	81.71	70.01	228.13	264.03
MEPCE	665.29	842.36	463.65	507.46	748.61	1081.39	612.11	206.94	802.41	1015.93	698.41	642.59	759.08	607.87	186.4	633.73	1304.15
METTL16	205.5	249.73	202.66	148.09	256.78	281.09	208.38	120.1	165.57	423.61	191.67	199.85	279.14	182.55	189.02	269.6	612.11
MIER2	183.82	208.38	117.6	115.16	199.85	262.2	181.28	119.26	161.02	295.11	186.4	154.42	249.73	143.01	147.06	232.94	703.28
MRPL36	1437.15	1096.5	693.58	651.58	1143.1	1561.89	909.17	444.72	1277.29	1540.37	1030.12	579.04	1427.22	884.29	295.11	1870.53	1977.24
MRPL45	954.43	890.44	748.61	368.65	934.76	995.0	728.11	532.74	466.88	961.07	1096.5	688.78	909.17	595.34	336.79	1008.9	967.76
MRPL50	159.9	305.55	220.32	92.05	384.34	320.8	251.48	77.79	152.28	241.19	297.17	166.73	309.83	176.29	113.56	384.34	341.51
MYPOP	177.53	256.78	85.22	166.73	153.34	318.57	226.54	49.56	193.01	217.27	171.45	143.01	127.89	125.24	47.17	271.48	218.79
NDUFA8	3235.01	2682.69	2240.11	2090.03	2224.63	3372.43	1844.76	1378.57	2193.99	3168.41	2271.4	1781.89	2777.33	2468.49	902.89	2451.44	3419.52
NPRL2	503.95	665.29	327.56	420.68	708.18	665.29	432.53	441.64	575.03	684.02	607.87	514.56	368.65	412.0	293.07	684.02	540.19
NR1I3	19.82	31.0	12.18	8.85	42.71	47.84	21.16	6.94	10.71	33.06	25.35	16.39	21.63	8.58	7.69	23.93	28.86
NUDCD3	718.08	1119.56	665.29	435.55	1073.91	1096.5	769.69	406.31	718.08	1498.22	988.12	842.36	1037.29	476.71	406.31	988.12	1819.35
NUDT17	28.65	74.58	25.35	23.42	46.5	61.68	32.59	21.32	18.29	63.0	35.25	27.84	45.85	15.11	34.75	59.97	55.89
PCBD1	3395.89	4038.61	1819.35	1519.15	3212.66	4543.8	4152.18	2240.11	2061.24	4181.07	2682.69	1781.89	2997.45	1721.16	1417.35	3190.46	4066.71
PCDHGA8	3.76	3.47	0.92	0.0	2.34	4.43	0.0	0.42	0.37	6.36	2.25	4.06	1.35	0.0	0.0	3.53	10.79
PEF1	1662.49	1407.55	1111.82	995.0	1508.65	1639.59	1208.34	836.53	1286.18	2075.59	1096.5	860.08	1697.45	1183.45	1008.9	1498.22	2796.65
PIP4K2B	185.11	397.93	166.73	134.3	341.51	351.14	267.73	144.01	199.85	555.41	314.17	209.84	281.09	134.3	91.41	346.29	1081.39
PMVK	1242.34	1175.27	603.67	934.76	1023.0	1216.75	769.69	624.99	813.63	1733.13	819.3	738.29	1407.55	813.63	486.75	1508.65	2255.7
POLR2F	2271.4	2271.4	1096.5	1378.57	1697.45	2319.15	1883.54	1487.87	1781.89	2875.3	1883.54	1437.15	2255.7	1359.57	679.29	2351.53	3515.68
POLR3H	267.73	269.6	167.9	146.03	269.6	348.71	215.77	116.78	202.66	599.49	237.86	193.01	387.02	172.65	62.56	426.57	1111.82
PPM1F	92.05	239.52	120.94	53.95	215.77	231.32	138.1	61.25	152.28	409.15	171.45	117.6	204.07	98.04	165.57	221.86	624.99
PPM1M	166.73	356.05	132.44	110.43	295.11	305.55	170.25	167.9	215.77	748.61	253.23	237.86	320.8	119.26	150.17	314.17	1378.57
PPP2R4	1936.53	2573.36	1268.46	1359.57	1781.89	2209.26	1806.78	1277.29	1936.53	3257.52	1498.22	1540.37	2384.37	1447.15	1081.39	2777.33	6792.79
PQBP1	2018.8	2224.63	1066.48	1572.76	1733.13	3103.19	947.83	1216.75	2240.11	2573.36	2287.2	1857.6	2485.67	2209.26	536.45	2956.17	3190.46
PRR14	934.76	947.83	403.5	878.17	921.88	1088.92	830.75	563.18	915.51	974.5	928.3	603.67	733.19	753.83	346.29	1023.0	1540.37
PRRC2B	543.96	890.44	587.13	336.79	1051.79	1151.06	642.59	521.76	642.59	1216.75	769.69	684.02	1081.39	511.0	490.14	909.17	2148.82
PTCD1	105.89	118.43	90.14	49.91	137.14	136.19	85.82	43.63	115.16	191.67	102.97	97.36	156.59	91.41	28.65	149.12	156.59
PTDSS2	490.14	551.56	180.02	346.29	397.93	587.13	463.65	204.07	444.72	579.04	376.41	332.14	353.59	273.37	92.05	483.38	629.35
PYURF	1457.23	1044.52	1651.0	1295.13	1477.58	1781.89	1135.2	571.05	1073.91	2047.0	1159.07	1208.34	1733.13	1059.11	743.43	1397.83	4095.0
RBM4	3081.75	3419.52	1794.29	1639.59	2997.45	3443.31	2935.74	1883.54	1794.29	2855.44	2645.74	2075.59	2400.97	2004.85	1359.57	2609.3	4358.66
RHPN1	149.12	175.07	24.81	89.51	189.02	142.01	88.88	43.02	98.04	91.41	130.6	49.21	80.57	53.57	37.85	109.66	105.89
RING1	723.08	808.0	500.46	511.0	796.86	878.17	575.03	543.96	669.92	1059.11	679.29	587.13	785.88	638.15	318.57	607.87	1819.35
RNF214	215.77	406.31	176.29	165.57	343.89	353.59	320.8	132.44	205.5	525.39	320.8	297.17	285.03	193.01	97.36	397.93	361.04
RNMTL1	417.77	368.65	175.07	151.22	392.44	420.68	269.6	99.43	275.28	466.88	325.29	232.94	450.94	267.73	88.88	406.31	406.31
RPUSD3	764.36	854.13	500.46	438.59	802.41	842.36	656.11	420.68	738.29	961.07	738.29	567.1	830.75	543.96	309.83	866.07	656.11
RPUSD4	273.37	334.46	283.05	122.64	536.45	381.68	279.14	154.42	265.87	473.41	376.41	285.03	497.0	239.52	104.42	529.06	423.61
RRP8	466.88	514.56	256.78	307.69	507.46	507.46	414.87	236.21	314.17	842.36	348.71	373.81	444.72	265.87	204.07	361.04	842.36
RSG1	91.41	98.04	44.89	18.03	108.14	92.05	70.01	47.84	47.17	162.14	102.25	83.45	86.43	44.89	20.86	131.51	128.79
SCAF1	532.74	603.67	361.04	318.57	571.05	733.19	543.96	303.44	612.11	780.44	529.06	403.5	723.08	406.31	262.2	638.15	1233.75
SETMAR	214.27	202.66	186.4	181.28	277.2	285.03	180.02	69.03	187.71	547.75	265.87	237.86	285.03	166.73	116.78	251.48	698.41
SIPA1	1001.93	1175.27	420.68	363.56	1397.83	1066.48	579.04	547.75	961.07	1313.23	575.03	595.34	547.75	563.18	409.15	1233.75	1909.85
SIRT4	26.47	63.45	17.38	25.91	38.12	105.15	32.13	4.46	51.71	144.01	42.11	26.1	23.42	13.93	6.06	71.5	127.0
SLC25A28	698.41	902.89	599.49	785.88	679.29	1088.92	612.11	486.75	764.36	1508.65	698.41	693.58	1037.29	860.08	759.08	1015.93	934.76
SLFNL1	5.82	15.68	2.18	4.46	11.21	12.64	10.0	2.51	2.53	15.22	6.31	4.9	8.38	3.32	1.28	9.7	11.38
SMCO2	3.32	6.26	0.0	10.39	4.66	2.92	0.75	0.0	2.48	16.27	0.56	0.0	0.53	0.44	3.08	3.23	1.13
SNAPC5	432.53	500.46	447.82	309.83	511.0	579.04	432.53	249.73	438.59	872.1	521.76	389.72	693.58	454.09	273.37	543.96	995.0
SNUPN	476.71	497.0	346.29	231.32	551.56	612.11	414.87	242.88	320.8	802.41	414.87	343.89	435.55	246.28	117.6	486.75	1059.11
STK19	397.93	532.74	320.8	403.5	379.04	567.1	353.59	242.88	351.14	753.83	420.68	387.02	521.76	444.72	271.48	532.74	688.78
TAB1	269.6	318.57	194.36	163.28	343.89	314.17	221.86	152.28	297.17	511.0	275.28	293.07	323.03	237.86	96.68	291.04	638.15
TADA3	1388.16	1540.37	1023.0	1143.1	1331.57	1662.49	1250.98	647.07	1350.18	2047.0	1268.46	1259.69	1561.89	1159.07	698.41	1143.1	2664.15
TBC1D20	265.87	497.0	312.0	265.87	426.57	587.13	432.53	244.57	426.57	629.35	454.09	435.55	429.54	249.73	295.11	507.46	656.11
TERF2	420.68	327.56	392.44	301.33	503.95	381.68	435.55	255.0	260.38	432.53	438.59	318.57	403.5	336.79	299.25	480.04	529.06
THAP11	583.07	733.19	351.14	389.72	723.08	981.29	555.41	232.94	559.28	884.29	595.34	397.93	651.58	403.5	120.1	660.68	1143.1
THAP8	94.67	140.04	76.17	88.88	116.78	157.68	82.29	54.33	92.05	387.02	116.78	86.43	131.51	71.0	33.54	142.01	314.17
TICAM2	35.25	100.83	38.4	19.25	77.25	81.14	73.54	13.93	20.71	107.38	41.81	34.26	42.11	13.03	28.04	70.01	154.42
TIMM22	202.66	186.4	102.97	114.36	224.97	289.02	159.9	58.3	149.12	283.05	175.07	119.26	255.0	159.9	64.34	251.48	397.93
TMEM221	5.11	9.78	0.34	10.24	6.11	7.88	5.54	1.95	3.89	25.17	5.96	3.82	7.4	5.54	3.14	4.94	42.41
TMEM39B	273.37	325.29	162.14	94.01	291.04	371.22	162.14	123.5	226.54	395.18	293.07	195.72	267.73	205.5	136.19	341.51	738.29
TPRA1	638.15	764.36	381.68	420.68	629.35	825.0	595.34	351.14	536.45	1066.48	647.07	503.95	547.75	420.68	191.67	753.83	1208.34
TRAPPC3	1487.87	1540.37	1199.98	1250.98	1359.57	1832.01	1277.29	638.15	1259.69	2224.63	1225.22	1015.93	1685.71	1216.75	647.07	1844.76	1651.0
TSPAN17	884.29	825.0	934.76	674.59	1044.52	1030.12	579.04	480.04	796.86	842.36	693.58	759.08	733.19	791.35	373.81	688.78	607.87
TUBD1	84.04	134.3	48.18	100.83	123.5	156.59	104.42	39.22	78.34	234.57	136.19	80.57	132.44	75.11	45.21	165.57	110.43
TVP23A	11.38	23.76	20.41	6.73	28.24	23.76	9.63	10.24	13.03	18.7	15.0	19.11	14.03	16.03	9.41	23.08	65.26
UBAP1L	14.56	39.5	7.94	5.73	27.44	41.22	24.46	4.58	19.53	35.5	19.97	25.91	24.63	17.38	2.25	35.76	77.79
UBE2M	1651.0	1529.73	1023.0	902.89	1437.15	2104.58	1437.15	1135.2	1331.57	1909.85	1277.29	954.43	1896.65	1216.75	1111.82	1936.53	2537.92
UBL4A	733.19	607.87	500.46	688.78	748.61	934.76	507.46	392.44	684.02	1111.82	638.15	473.41	764.36	536.45	190.34	884.29	836.53
UCK1	420.68	579.04	334.46	414.87	559.28	698.41	387.02	194.36	426.57	825.0	480.04	432.53	543.96	423.61	115.97	759.08	921.88
USE1	674.59	848.22	473.41	426.57	708.18	813.63	511.0	307.69	665.29	1350.18	624.99	616.37	872.1	642.59	253.23	1081.39	884.29
USP11	289.02	595.34	348.71	145.02	543.96	551.56	384.34	309.83	312.0	723.08	476.71	426.57	532.74	379.04	759.08	511.0	2047.0
USP21	376.41	785.88	346.29	262.2	656.11	902.89	571.05	255.0	480.04	785.88	540.19	529.06	457.25	397.93	209.84	607.87	866.07
USP27X	14.78	35.0	20.71	4.21	37.59	43.63	16.63	12.55	22.26	96.68	26.28	27.44	40.07	18.29	6.36	39.22	102.97
VPS72	698.41	848.22	559.28	470.14	753.83	872.1	555.41	366.09	616.37	1066.48	684.02	603.67	878.17	521.76	289.02	995.0	2209.26
ZBTB17	466.88	466.88	353.59	591.22	447.82	536.45	420.68	403.5	444.72	525.39	511.0	486.75	432.53	476.71	211.31	551.56	656.11
ZC3H10	72.52	127.0	52.08	53.19	130.6	114.36	106.63	30.34	88.26	229.72	102.97	94.01	127.89	58.3	22.75	101.54	253.23
ZC3H7B	392.44	579.04	417.77	389.72	703.28	633.73	423.61	195.72	420.68	830.75	521.76	435.55	603.67	301.33	258.57	743.43	1199.98
ZNF133	128.79	211.31	92.05	183.82	164.42	158.79	101.54	56.28	125.24	271.48	141.02	143.01	138.1	111.21	57.89	155.5	493.56
ZNF16	68.55	111.21	95.34	82.87	123.5	95.34	91.41	29.91	76.71	191.67	98.73	113.56	95.34	79.45	51.71	169.07	301.33
ZNF174	118.43	158.79	110.43	115.97	162.14	208.38	135.24	47.84	118.43	260.38	157.68	125.24	167.9	100.13	40.93	208.38	368.65
ZNF2	31.9	47.84	38.4	24.46	49.91	52.08	44.57	5.54	33.78	65.26	38.95	40.07	43.32	21.63	10.31	69.52	106.63
ZNF205	212.78	264.03	112.77	209.84	215.77	303.44	157.68	83.45	144.01	291.04	246.28	198.47	206.94	176.29	42.11	339.14	674.59
ZNF230	20.56	44.25	39.79	14.24	40.07	37.05	46.18	8.58	28.24	53.95	43.63	34.51	47.5	38.67	8.99	44.57	50.98
ZNF282	316.37	384.34	205.5	264.03	343.89	371.22	289.02	108.14	279.14	426.57	329.84	351.14	339.14	218.79	87.65	438.59	616.37
ZNF30	40.36	58.3	27.44	27.25	58.71	53.19	39.22	16.15	30.34	78.89	39.79	45.21	63.0	28.86	12.0	42.41	92.05
ZNF329	31.45	93.35	69.52	46.5	81.14	99.43	64.8	20.26	25.72	151.22	46.5	56.68	74.58	34.02	42.71	93.35	241.19
ZNF35	53.95	72.01	70.51	59.13	84.04	81.14	61.68	23.25	52.45	107.38	64.34	33.06	101.54	46.84	65.26	92.05	127.0
ZNF416	25.17	40.64	35.0	19.97	49.21	47.84	29.48	14.24	29.27	75.11	34.26	32.13	51.71	33.54	15.22	44.89	100.83
ZNF420	54.72	111.99	40.64	36.27	153.34	191.67	97.36	29.7	44.25	142.01	68.55	79.45	85.22	47.5	9.06	102.25	226.54
ZNF425	23.59	18.16	18.7	23.76	25.17	30.56	6.94	3.89	8.58	54.33	14.67	21.16	31.22	13.93	0.74	37.59	189.02
ZNF470	18.43	35.25	16.63	38.67	30.34	39.79	15.45	6.78	30.78	145.02	22.59	15.56	33.78	9.13	4.58	20.86	392.44
ZNF547	19.11	55.49	28.24	38.4	34.75	66.18	22.75	1.64	15.34	55.89	24.11	28.86	19.39	39.22	4.94	41.81	100.83
ZNF574	242.88	271.48	193.01	127.0	303.44	361.04	212.78	115.97	271.48	301.33	248.0	201.25	287.01	181.28	86.43	285.03	403.5
ZNF577	84.04	157.68	75.11	253.23	124.37	135.24	78.89	32.13	57.49	329.84	115.97	150.17	122.64	129.69	31.9	152.28	490.14
ZNF689	74.58	98.04	92.05	67.59	112.77	129.69	95.34	22.75	102.25	137.14	96.01	105.15	128.79	76.17	30.78	126.12	191.67
ZNF74	49.21	124.37	44.25	30.78	111.99	158.79	81.71	34.26	71.0	215.77	82.87	61.25	101.54	41.22	19.39	124.37	525.39
ZNF777	150.17	175.07	122.64	64.8	191.67	202.66	136.19	73.03	139.07	255.0	152.28	126.12	201.25	101.54	45.85	211.31	483.38
ZNF79	36.79	61.68	46.18	47.17	74.58	81.14	62.12	14.45	50.63	87.65	63.45	49.21	58.71	37.32	17.25	83.45	89.51
