	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A902.01A.11R.A37O.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A50L.01A.11R.A260.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.T3.A92M.01A.31R.A39I.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.QK.A64Z.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CN.A49A.01A.11R.A24H.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CR.6488.01A.12R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.2426.SM.4BRV8
ARID4A	234.57	120.1	113.56	201.25	123.5	138.1	283.05	183.82	229.72	159.9	226.54	110.43	191.67	229.72	293.07	318.57	165.57	135.24	256.78	106.63	40.36	47.84	103.69	74.58	127.0	54.33	80.57	80.57	50.27	102.97	81.71	76.71	83.45	75.64	102.97	82.29	69.03	68.07	53.19	94.01	73.54	92.7	112.77	66.65	106.63	83.45	69.52	59.55	155.5	157.68	102.97	139.07	73.54	125.24	79.45	104.42	111.21	69.52	41.52	73.54	99.43	198.47	76.71	85.22	63.89	63.0	312.0	226.54	0.0	0.35	63.0
ARL16	961.07	1008.9	802.41	563.18	733.19	693.58	995.0	612.11	638.15	497.0	688.78	521.76	733.19	457.25	836.53	780.44	651.58	713.11	665.29	743.43	356.05	232.94	813.63	346.29	351.14	454.09	351.14	647.07	379.04	1191.69	480.04	486.75	366.09	748.61	543.96	387.02	417.77	486.75	397.93	293.07	480.04	642.59	819.3	341.51	470.14	486.75	356.05	525.39	273.37	397.93	571.05	397.93	400.71	381.68	346.29	591.22	376.41	583.07	454.09	285.03	353.59	387.02	493.56	563.18	642.59	435.55	941.27	981.29	0.0	0.71	457.25
ATG14	144.01	190.34	209.84	229.72	226.54	299.25	318.57	229.72	397.93	194.36	255.0	187.71	271.48	253.23	366.09	384.34	285.03	151.22	193.01	175.07	88.88	111.99	186.4	108.9	132.44	130.6	149.12	138.1	110.43	190.34	106.63	100.83	137.14	173.85	166.73	118.43	104.42	126.12	90.14	178.77	120.94	172.65	201.25	163.28	162.14	141.02	127.0	124.37	134.3	159.9	156.59	271.48	119.26	170.25	111.99	175.07	104.42	131.51	121.79	97.36	131.51	334.46	130.6	152.28	113.56	107.38	316.37	220.32	0.0	0.18	49.91
AVIL	96.01	13.22	70.01	115.16	93.35	46.5	180.02	121.79	78.34	120.1	136.19	39.22	84.63	53.57	152.28	201.25	68.07	84.63	130.6	78.34	8.45	7.75	75.11	19.97	13.03	14.78	8.19	70.01	8.25	35.25	12.0	21.63	52.08	70.51	63.45	13.62	14.35	39.79	22.1	37.05	25.72	82.29	135.24	35.0	14.45	40.64	12.27	14.89	44.25	8.45	25.17	16.03	39.5	24.63	21.01	12.09	23.08	17.64	37.32	13.22	62.12	103.69	18.03	101.54	28.04	10.16	138.1	281.09	0.0	0.36	11.47
BGLAP	15.45	151.22	129.69	85.82	30.12	22.43	63.45	63.45	45.85	18.84	33.06	3.56	124.37	15.22	20.26	145.02	24.11	36.01	40.36	36.53	14.78	45.85	24.99	46.18	4.62	11.47	46.5	8.13	10.55	76.71	3.99	26.67	34.02	13.93	77.79	8.92	39.79	43.02	20.71	5.73	112.77	35.0	31.22	12.18	19.25	38.95	60.82	7.88	34.75	8.06	2.94	1.28	7.51	43.02	41.22	14.03	35.76	20.56	4.62	16.03	19.82	55.49	11.13	28.86	71.5	8.45	135.24	90.77	0.0	0.39	0.0
C10orf137	136.19	438.59	438.59	368.65	234.57	275.28	414.87	198.47	275.28	198.47	264.03	271.48	412.0	229.72	426.57	392.44	334.46	371.22	341.51	376.41	170.25	103.69	212.78	103.69	89.51	183.82	69.03	244.57	129.69	206.94	157.68	88.88	175.07	158.79	115.97	151.22	106.63	136.19	178.77	105.89	189.02	212.78	157.68	119.26	164.42	204.07	167.9	152.28	154.42	334.46	144.01	129.69	123.5	198.47	189.02	194.36	191.67	112.77	148.09	75.11	220.32	176.29	153.34	159.9	142.01	115.16	514.56	384.34	0.0	0.57	66.65
C10orf68	3.2	14.78	14.67	23.25	2.58	3.2	19.97	7.69	12.0	5.45	11.13	3.79	23.93	7.51	21.01	12.09	12.45	4.31	12.36	3.59	0.62	1.22	1.57	1.93	1.55	0.59	0.0	3.53	1.66	0.61	0.96	5.73	1.51	1.43	1.71	7.63	0.62	0.71	1.03	0.61	0.0	6.57	8.78	2.71	6.78	5.45	1.89	0.57	4.24	0.56	0.6	2.94	0.0	1.39	0.64	0.0	3.41	1.41	0.0	1.81	4.5	7.82	1.39	2.39	1.62	1.25	40.07	28.24	0.0	0.29	1.2
C17orf47	0.27	0.0	0.75	4.06	0.75	1.51	1.99	1.08	2.25	0.0	0.58	0.75	0.52	0.0	2.71	5.06	0.47	0.47	1.33	1.23	0.97	0.0	0.0	0.0	0.54	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.6	0.0	0.0	0.0	1.23	1.77	0.44	0.0	0.0	0.95	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.53	0.0	0.0	11.3	3.47	0.0	0.25	0.0
C17orf50	12.83	1.57	5.92	1.75	0.92	2.66	9.13	0.95	3.69	2.71	2.53	8.58	2.01	3.47	2.84	40.36	11.38	1.89	6.73	3.66	0.0	0.0	0.83	2.68	0.83	2.56	1.28	10.08	0.0	0.0	0.72	0.92	0.0	0.75	0.0	0.75	1.19	0.95	6.67	0.0	0.82	0.0	0.0	9.13	0.0	0.0	0.78	0.71	0.0	2.63	0.0	0.0	0.0	3.2	0.0	0.0	0.84	0.0	0.64	0.0	0.0	2.51	0.0	0.0	0.0	0.0	1.68	2.12	0.0	0.0	3.66
C1orf123	521.76	1963.57	974.5	1268.46	543.96	1322.37	1991.0	813.63	1350.18	679.29	830.75	633.73	1081.39	1313.23	1331.57	2163.77	1175.27	764.36	1662.49	1104.13	518.15	647.07	693.58	819.3	921.88	1088.92	470.14	1023.0	571.05	1277.29	629.35	728.11	571.05	830.75	603.67	830.75	743.43	981.29	1008.9	579.04	921.88	941.27	1191.69	684.02	532.74	633.73	713.11	620.67	620.67	384.34	688.78	679.29	647.07	651.58	743.43	463.65	836.53	836.53	607.87	579.04	718.08	665.29	934.76	638.15	842.36	748.61	1733.13	2178.83	0.0	0.47	665.29
C1orf134	0.0	5.77	8.06	14.56	6.36	20.11	21.94	24.11	10.63	0.0	6.31	9.27	149.12	22.26	3.69	127.89	4.58	32.82	39.5	31.67	0.0	11.47	15.56	23.25	0.0	9.63	0.0	46.5	0.0	7.34	8.06	28.45	16.63	0.0	18.16	0.0	0.0	0.0	14.35	8.45	8.45	28.86	7.75	9.63	12.27	0.0	0.0	8.25	0.0	11.04	0.0	9.93	0.0	19.82	0.0	0.0	11.55	37.85	8.0	10.71	0.0	8.38	0.0	0.0	18.29	0.0	20.86	50.27	0.0	0.0	0.0
C1orf220	3.59	16.51	12.93	22.1	2.61	6.16	16.27	13.32	12.36	5.11	49.21	3.11	82.29	9.56	27.05	28.45	9.34	24.46	24.99	7.4	0.75	0.0	3.2	0.0	0.77	1.16	0.0	5.36	1.45	3.0	0.0	0.0	2.63	2.03	0.0	0.0	0.0	1.38	0.0	0.74	0.0	3.86	3.76	0.0	1.3	4.94	1.64	0.69	2.43	3.06	0.0	0.0	0.0	4.94	0.0	0.0	1.27	1.6	3.17	0.0	0.0	4.98	0.0	1.22	0.0	0.0	135.24	32.59	0.0	0.21	0.0
C1orf50	228.13	473.41	320.8	242.88	215.77	358.54	287.01	258.57	265.87	258.57	361.04	289.02	341.51	295.11	327.56	764.36	314.17	303.44	305.55	346.29	269.6	88.26	217.27	224.97	194.36	295.11	193.01	265.87	237.86	373.81	232.94	171.45	166.73	218.79	223.41	218.79	273.37	285.03	220.32	111.21	206.94	412.0	381.68	206.94	318.57	224.97	277.2	299.25	169.07	206.94	183.82	206.94	199.85	293.07	244.57	220.32	228.13	249.73	202.66	212.78	246.28	206.94	229.72	183.82	242.88	197.09	379.04	343.89	0.0	0.15	197.09
C1orf52	327.56	409.15	525.39	503.95	457.25	563.18	595.34	638.15	483.38	429.54	703.28	540.19	629.35	463.65	511.0	915.51	426.57	480.04	571.05	450.94	351.14	201.25	373.81	384.34	297.17	406.31	209.84	559.28	297.17	579.04	358.54	255.0	368.65	603.67	287.01	327.56	265.87	295.11	366.09	293.07	483.38	819.3	387.02	500.46	339.14	325.29	361.04	409.15	339.14	409.15	371.22	329.84	255.0	329.84	366.09	536.45	417.77	511.0	279.14	232.94	329.84	348.71	283.05	559.28	384.34	358.54	607.87	463.65	0.0	0.74	466.88
C3orf35	9.27	3.29	16.63	22.59	6.73	7.28	30.12	8.06	17.0	13.32	11.3	7.51	32.59	10.16	30.56	28.24	9.63	11.91	11.73	15.45	2.68	1.99	14.67	2.2	3.76	3.0	1.85	4.35	1.5	11.04	2.86	0.0	12.74	4.35	16.88	11.55	4.13	3.69	3.53	1.23	4.7	11.73	15.91	3.44	5.45	9.41	3.08	1.97	2.53	2.34	3.47	3.82	2.07	5.11	2.73	1.13	2.32	6.57	2.53	3.26	4.06	4.28	5.11	8.45	6.52	2.61	45.85	38.95	0.0	0.49	0.0
C3orf62	262.2	62.12	132.44	221.86	115.16	100.83	221.86	150.17	253.23	244.57	176.29	130.6	205.5	170.25	111.99	351.14	104.42	197.09	194.36	205.5	18.43	70.51	117.6	151.22	63.0	108.9	32.59	177.53	21.32	102.97	53.95	115.97	106.63	60.82	323.03	112.77	114.36	101.54	84.04	55.89	105.15	121.79	111.99	49.21	97.36	140.04	129.69	17.51	97.36	54.72	80.57	73.03	86.43	36.79	44.57	27.05	131.51	105.89	44.25	127.89	163.28	66.18	131.51	142.01	134.3	42.11	281.09	297.17	0.0	0.44	79.45
C6orf163	2.89	11.91	20.56	23.76	13.12	7.28	31.67	13.42	13.83	24.81	17.38	9.34	25.17	8.25	21.63	57.49	8.45	9.7	21.47	12.83	14.35	1.83	22.59	10.31	1.66	6.16	0.0	10.47	1.75	18.7	7.0	4.9	9.7	10.24	7.0	11.55	7.82	21.01	17.64	5.5	5.77	24.99	24.99	8.99	5.11	12.27	5.06	6.46	1.3	10.39	10.39	4.98	3.56	0.66	2.1	6.78	9.13	3.2	10.63	2.48	2.48	5.19	4.35	10.96	3.17	6.67	65.26	36.27	0.0	0.27	6.57
C6orf48	1175.27	2468.49	2148.82	2935.74	2701.35	3467.27	3081.75	2645.74	3168.41	2739.08	3081.75	1457.23	1572.76	2935.74	3212.66	2816.11	4388.98	2835.7	4181.07	2895.31	1073.91	759.08	1857.6	928.3	1277.29	6164.49	1073.91	1088.92	1088.92	4972.34	1583.71	954.43	1427.22	1088.92	651.58	1639.59	941.27	1896.65	974.5	1304.15	1498.22	6121.9	4328.55	2915.45	1369.04	1242.34	1697.45	2335.28	1340.84	1378.57	1159.07	2018.8	1233.75	1487.87	1277.29	1991.0	1540.37	1674.06	1508.65	967.76	1963.57	860.08	2485.67	1242.34	1857.6	1322.37	4210.15	4388.98	0.0	1.13	1030.12
C8orf44	59.55	92.05	124.37	961.07	103.69	135.24	162.14	87.65	158.79	111.21	57.08	57.89	271.48	90.77	175.07	241.19	120.1	107.38	157.68	112.77	38.12	32.36	88.88	41.81	24.28	38.12	46.84	93.35	36.79	136.19	26.86	22.43	45.21	81.71	15.0	32.59	29.91	41.81	65.72	37.05	44.89	99.43	52.08	98.04	14.89	40.93	36.01	43.94	39.22	45.21	43.02	38.95	31.9	98.73	35.5	77.25	26.1	78.34	98.73	27.84	30.12	54.72	39.79	37.85	28.86	8.92	217.27	255.0	0.0	0.34	8.71
C8orf46	0.0	10.16	1.0	836.53	15.0	8.78	3.63	16.39	45.21	6.73	4.82	2.36	12.09	8.51	11.47	34.75	12.36	11.47	14.45	6.62	0.73	0.82	0.75	1.19	0.74	1.58	0.0	3.03	0.65	3.0	0.68	0.0	0.0	34.02	1.35	0.71	0.0	1.36	0.72	3.0	3.11	5.45	7.22	3.32	0.0	35.0	0.0	1.89	3.5	0.0	0.0	0.0	0.0	1.11	24.99	2.68	6.11	0.69	2.07	0.84	0.73	2.41	2.39	1.68	0.78	1.41	92.7	56.28	0.0	0.48	0.49
CASP16	0.06	1.36	2.81	14.24	3.56	4.17	3.82	3.89	4.82	1.55	5.36	0.8	21.63	5.82	5.5	16.15	2.86	13.22	1.3	11.3	0.0	0.59	3.14	0.0	0.0	0.49	0.55	0.45	0.44	2.97	1.58	0.58	0.53	0.0	0.0	0.49	0.0	2.07	2.12	0.0	4.82	7.28	3.23	0.78	0.55	0.0	0.51	0.0	0.58	0.45	0.89	0.0	0.0	0.0	0.0	0.46	0.54	2.84	2.39	0.0	0.0	3.17	0.0	0.0	0.55	2.12	7.46	10.71	0.0	0.08	2.66
CCAR1	703.28	995.0	1216.75	1447.15	872.1	1143.1	1143.1	1286.18	1111.82	1225.22	1242.34	1233.75	1268.46	708.18	1119.56	1225.22	947.83	1023.0	1508.65	1119.56	305.55	642.59	1066.48	872.1	825.0	1008.9	497.0	1096.5	723.08	954.43	830.75	559.28	860.08	961.07	688.78	961.07	854.13	518.15	743.43	599.49	1066.48	928.3	884.29	860.08	934.76	825.0	896.64	743.43	764.36	728.11	813.63	842.36	540.19	848.22	753.83	563.18	1268.46	1340.84	1127.35	624.99	878.17	836.53	748.61	796.86	728.11	679.29	1662.49	1369.04	830.75	368.65	441.64
CCDC23	279.14	1151.06	660.68	616.37	529.06	1096.5	764.36	848.22	651.58	470.14	961.07	669.92	708.18	896.64	802.41	1369.04	1044.52	909.17	1277.29	988.12	1191.69	447.82	497.0	432.53	547.75	785.88	400.71	660.68	525.39	1119.56	753.83	368.65	420.68	698.41	373.81	343.89	698.41	638.15	591.22	426.57	612.11	802.41	842.36	647.07	624.99	514.56	536.45	669.92	567.1	497.0	507.46	633.73	595.34	595.34	547.75	547.75	665.29	454.09	521.76	454.09	583.07	836.53	703.28	511.0	571.05	450.94	713.11	954.43	0.0	0.36	358.54
CDHR5	1.07	2.66	1.03	3.5	1.11	2.03	19.97	2.18	2.05	11.04	2.25	1.0	71.0	2.39	10.24	5.92	1.03	2.12	1.28	3.41	2.66	0.0	4.54	0.55	0.57	0.53	0.59	0.0	0.48	0.96	0.0	3.08	0.0	3.72	0.62	0.53	0.0	1.13	0.0	1.79	4.46	8.51	1.33	0.0	0.0	0.99	1.79	0.49	1.11	1.2	0.0	0.57	0.52	0.0	0.0	0.0	0.57	0.92	0.45	0.0	0.55	2.48	2.07	2.68	2.89	0.0	507.46	1572.76	0.0	0.24	2.36
CDK3	100.83	271.48	379.04	180.02	101.54	117.6	279.14	100.83	182.55	176.29	162.14	43.94	182.55	176.29	173.85	190.34	291.04	277.2	148.09	232.94	9.63	19.97	141.02	18.97	31.67	75.64	16.51	120.94	16.51	265.87	22.1	20.26	55.89	69.52	69.52	42.11	24.11	22.92	71.0	23.59	59.97	232.94	226.54	48.87	26.1	65.72	20.41	17.51	33.3	34.02	54.33	34.51	24.11	81.71	24.63	67.59	33.54	87.03	34.51	25.72	41.22	88.26	19.68	84.04	24.81	19.68	780.44	525.39	0.0	0.97	22.92
CEP290	29.27	61.68	121.79	152.28	115.16	94.01	68.07	224.97	208.38	37.85	136.19	118.43	91.41	127.89	206.94	202.66	109.66	108.9	104.42	125.24	12.36	19.82	44.57	26.47	46.84	48.52	27.05	80.01	43.32	43.02	52.82	44.57	16.75	69.03	22.59	44.89	40.07	29.91	76.17	33.06	46.84	153.34	147.06	77.79	31.0	31.45	29.7	43.94	49.21	119.26	65.72	44.57	34.26	57.08	52.08	102.25	64.8	58.71	93.35	20.41	48.87	81.14	29.48	84.63	29.27	10.55	248.0	190.34	0.0	0.37	23.59
