	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.11ZTT.2326.SM.5EQLG	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.YB5K.1626.SM.5IFIN	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.TML8.1226.SM.32QON	GTEX.13OVG.1426.SM.5K7VP	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1
C5orf28	447.82	187.71	264.03	507.46	281.09	341.51	111.99	156.59	283.05	248.0	154.42	314.17	348.71	363.56	255.0	669.92	414.87	246.28	454.09	189.02	470.14	204.07	285.03	412.0	231.32	249.73	220.32	267.73	275.28	164.42	155.5	199.85	172.65	180.02	551.56	426.57	547.75	231.32	271.48	241.19	189.02	251.48	339.14	346.29	229.72	171.45	239.52	486.75	258.57	58.71	134.3
C8orf37	81.71	29.06	38.95	80.01	38.12	63.89	16.51	37.32	38.67	20.86	26.28	37.05	44.57	67.59	64.8	92.7	64.34	31.0	57.49	40.36	67.59	50.27	72.52	92.7	38.12	44.89	62.12	48.18	45.21	43.02	29.06	46.18	30.56	14.24	52.82	84.63	117.6	42.11	38.67	32.59	22.1	43.94	63.89	39.22	6.41	37.32	28.04	111.99	24.46	12.27	13.42
CABLES2	89.51	39.79	41.81	117.6	54.72	97.36	29.27	37.05	35.5	42.11	33.54	39.79	74.06	90.77	76.71	114.36	89.51	64.34	90.14	33.06	75.11	41.22	69.03	110.43	36.79	27.25	54.72	51.35	41.52	41.52	41.22	73.54	18.97	86.43	57.08	71.0	104.42	18.16	80.01	39.79	40.36	73.54	43.32	44.25	29.91	12.36	54.33	105.15	47.17	42.71	16.88
CBWD5	1617.0	525.39	466.88	723.08	688.78	1233.75	450.94	285.03	579.04	518.15	387.02	490.14	909.17	1277.29	497.0	1073.91	819.3	384.34	872.1	426.57	961.07	674.59	651.58	1151.06	356.05	432.53	497.0	480.04	603.67	567.1	318.57	490.14	329.84	723.08	842.36	748.61	1008.9	249.73	718.08	473.41	228.13	1111.82	733.19	307.69	271.48	289.02	249.73	995.0	343.89	253.23	283.05
CBX5	780.44	281.09	341.51	785.88	417.77	633.73	158.79	303.44	414.87	444.72	285.03	318.57	435.55	629.35	441.64	764.36	629.35	291.04	651.58	325.29	620.67	435.55	450.94	693.58	320.8	346.29	373.81	387.02	529.06	327.56	332.14	295.11	151.22	376.41	603.67	327.56	854.13	260.38	540.19	262.2	209.84	307.69	312.0	332.14	381.68	248.0	199.85	866.07	173.85	85.22	265.87
CCDC132	366.09	248.0	262.2	466.88	309.83	559.28	161.02	285.03	303.44	356.05	211.31	320.8	417.77	656.11	293.07	555.41	429.54	323.03	447.82	277.2	400.71	289.02	314.17	444.72	271.48	244.57	285.03	371.22	343.89	307.69	226.54	536.45	249.73	159.9	470.14	429.54	738.29	177.53	381.68	269.6	193.01	470.14	332.14	187.71	108.14	144.01	351.14	583.07	221.86	47.84	95.34
CCDC176	301.33	140.04	156.59	283.05	220.32	363.56	86.43	129.69	204.07	119.26	161.02	208.38	267.73	332.14	248.0	301.33	256.78	133.36	258.57	171.45	303.44	177.53	262.2	438.59	119.26	173.85	167.9	229.72	271.48	146.03	130.6	132.44	108.14	111.21	486.75	285.03	961.07	66.18	220.32	113.56	93.35	373.81	241.19	273.37	37.59	69.52	62.12	229.72	84.04	23.08	50.27
CCSAP	182.55	57.08	52.45	156.59	85.22	142.01	33.54	44.57	65.26	61.68	36.27	90.14	99.43	142.01	102.97	283.05	130.6	67.12	193.01	52.45	165.57	83.45	95.34	173.85	68.55	42.41	110.43	78.89	120.1	52.82	55.1	71.5	43.63	70.51	167.9	199.85	165.57	53.19	165.57	36.79	69.52	113.56	55.89	52.08	28.04	37.59	40.07	214.27	45.53	11.82	23.76
CD36	17804.06	47974.16	53230.77	18178.19	91404.92	13681.08	52135.28	98646.85	118127.7	80683.28	68793.23	68793.23	61999.83	29943.43	50011.46	13492.72	13968.57	53601.03	40621.74	52135.28	54727.32	75280.1	82951.62	12943.04	71714.63	92040.7	98646.85	79572.48	76861.91	127486.83	92040.7	163620.18	87075.75	29327.18	62431.08	63742.91	6935.54	77934.88	64632.75	76861.91	57051.4	105727.15	124863.17	81809.59	57448.23	162489.97	97288.74	29327.18	147462.67	563.18	547.75
CDC23	567.1	363.56	412.0	591.22	447.82	551.56	277.2	438.59	457.25	500.46	412.0	435.55	486.75	563.18	444.72	813.63	532.74	412.0	599.49	392.44	583.07	400.71	497.0	559.28	379.04	412.0	500.46	476.71	447.82	447.82	406.31	476.71	343.89	287.01	693.58	438.59	854.13	323.03	587.13	420.68	291.04	540.19	432.53	356.05	353.59	318.57	361.04	842.36	323.03	208.38	198.47
CDC40	483.38	253.23	289.02	540.19	301.33	420.68	191.67	309.83	312.0	334.46	209.84	325.29	336.79	463.65	361.04	571.05	397.93	285.03	435.55	275.28	412.0	299.25	356.05	406.31	289.02	283.05	423.61	323.03	384.34	312.0	269.6	329.84	246.28	147.06	571.05	409.15	1437.15	223.41	339.14	224.97	281.09	387.02	346.29	246.28	205.5	186.4	281.09	525.39	246.28	106.63	157.68
CEP135	123.5	43.32	56.28	144.01	47.17	88.88	17.25	39.79	44.89	59.13	30.56	73.54	71.0	130.6	85.82	172.65	127.0	35.76	109.66	57.89	104.42	49.56	58.71	134.3	58.3	41.52	67.12	68.55	59.55	61.68	41.81	75.64	46.5	38.4	140.04	103.69	104.42	37.85	105.15	67.12	43.94	100.83	95.34	34.26	33.78	44.57	44.89	156.59	56.28	1.58	16.27
CEP290	181.28	46.84	112.77	244.57	134.3	195.72	38.95	111.99	111.99	126.12	136.19	134.3	127.89	212.78	150.17	279.14	178.77	96.01	199.85	140.04	165.57	107.38	151.22	217.27	127.89	108.14	151.22	146.03	155.5	142.01	102.25	140.04	75.11	62.12	223.41	191.67	406.31	63.0	193.01	120.94	94.67	177.53	187.71	97.36	82.87	81.71	104.42	305.55	71.5	2.86	26.1
CHORDC1	713.11	371.22	249.73	490.14	334.46	417.77	215.77	511.0	297.17	470.14	289.02	493.56	379.04	603.67	346.29	947.83	587.13	303.44	547.75	373.81	507.46	297.17	329.84	559.28	346.29	204.07	307.69	366.09	476.71	234.57	281.09	728.11	392.44	273.37	543.96	633.73	1104.13	211.31	466.88	361.04	224.97	848.22	412.0	242.88	246.28	151.22	325.29	896.64	368.65	84.63	154.42
COMMD2	748.61	503.95	473.41	884.29	473.41	775.05	301.33	384.34	483.38	540.19	279.14	521.76	532.74	620.67	518.15	1096.5	703.28	400.71	723.08	432.53	764.36	406.31	507.46	830.75	503.95	400.71	457.25	480.04	493.56	406.31	400.71	483.38	215.77	285.03	723.08	595.34	981.29	241.19	532.74	381.68	303.44	521.76	555.41	438.59	339.14	260.38	366.09	785.88	503.95	137.14	249.73
CSNK1G1	183.82	112.77	114.36	226.54	147.06	172.65	63.45	146.03	115.97	140.04	88.26	123.5	161.02	209.84	155.5	217.27	204.07	108.14	189.02	115.97	177.53	110.43	146.03	195.72	113.56	115.97	128.79	128.79	134.3	118.43	119.26	197.09	85.82	55.89	218.79	182.55	265.87	79.45	172.65	124.37	98.73	175.07	123.5	111.99	111.99	70.01	108.14	209.84	77.79	17.38	46.84
CTC-236F12.4	66.18	2.78	5.23	45.53	36.53	37.05	0.0	2.46	2.29	4.9	3.79	8.58	29.06	61.25	36.79	51.71	60.82	10.24	32.36	1.5	24.11	9.93	19.25	46.18	2.81	3.47	9.27	13.72	3.86	1.22	2.71	16.51	3.96	19.97	34.51	28.65	31.67	0.0	30.78	4.86	9.63	43.32	4.31	4.66	0.0	3.99	4.66	57.08	3.41	0.0	0.0
DCAF16	647.07	167.9	283.05	563.18	269.6	555.41	98.73	211.31	251.48	253.23	169.07	287.01	316.37	595.34	444.72	848.22	559.28	214.27	529.06	229.72	447.82	264.03	409.15	647.07	289.02	221.86	339.14	281.09	343.89	307.69	209.84	212.78	145.02	173.85	723.08	438.59	579.04	136.19	511.0	236.21	181.28	441.64	277.2	239.52	141.02	158.79	277.2	688.78	171.45	32.82	38.95
DHX29	532.74	297.17	381.68	536.45	426.57	476.71	214.27	470.14	480.04	460.44	441.64	432.53	426.57	511.0	423.61	656.11	463.65	395.18	483.38	376.41	559.28	435.55	470.14	521.76	363.56	417.77	406.31	454.09	511.0	400.71	384.34	376.41	318.57	220.32	633.73	368.65	1397.83	457.25	420.68	323.03	389.72	579.04	371.22	265.87	351.14	214.27	368.65	563.18	255.0	89.51	177.53
DNAJC16	303.44	127.0	190.34	312.0	187.71	305.55	90.77	181.28	206.94	262.2	153.34	206.94	291.04	341.51	258.57	320.8	267.73	165.57	285.03	164.42	297.17	206.94	231.32	273.37	195.72	148.09	228.13	211.31	255.0	175.07	209.84	307.69	141.02	221.86	403.5	234.57	336.79	140.04	265.87	198.47	147.06	190.34	201.25	138.1	163.28	132.44	132.44	297.17	113.56	109.66	105.15
DZIP3	208.38	90.77	154.42	246.28	169.07	161.02	76.17	187.71	202.66	214.27	121.79	171.45	149.12	183.82	182.55	293.07	180.02	173.85	228.13	142.01	241.19	173.85	248.0	256.78	136.19	176.29	237.86	170.25	199.85	202.66	171.45	175.07	89.51	37.05	242.88	211.31	532.74	106.63	251.48	110.43	53.57	194.36	221.86	115.16	41.81	76.17	151.22	320.8	67.59	12.64	29.27
ELMOD2	473.41	312.0	320.8	567.1	441.64	463.65	264.03	332.14	514.56	444.72	353.59	323.03	417.77	463.65	361.04	518.15	389.72	426.57	518.15	356.05	529.06	363.56	432.53	423.61	316.37	348.71	363.56	334.46	447.82	373.81	368.65	373.81	256.78	197.09	647.07	376.41	813.63	299.25	460.44	269.6	208.38	463.65	343.89	236.21	293.07	229.72	329.84	684.02	177.53	99.43	281.09
ERLIN2	974.5	412.0	669.92	1023.0	808.0	1225.22	438.59	642.59	830.75	656.11	503.95	703.28	860.08	1008.9	890.44	909.17	1151.06	718.08	896.64	698.41	785.88	825.0	1023.0	1104.13	669.92	860.08	928.3	748.61	780.44	825.0	738.29	1605.83	406.31	128.79	1572.76	1175.27	1883.54	660.68	896.64	273.37	329.84	1023.0	698.41	759.08	271.48	708.18	651.58	1721.16	423.61	387.02	473.41
FAM133B	669.92	381.68	327.56	679.29	348.71	599.49	239.52	376.41	348.71	363.56	353.59	426.57	361.04	660.68	466.88	961.07	529.06	287.01	540.19	281.09	638.15	389.72	547.75	647.07	291.04	291.04	518.15	373.81	403.5	420.68	336.79	521.76	356.05	307.69	525.39	470.14	796.86	231.32	514.56	332.14	323.03	571.05	409.15	387.02	297.17	309.83	392.44	733.19	312.0	43.63	124.37
FAM13B	813.63	265.87	312.0	791.35	429.54	603.67	110.43	289.02	358.54	400.71	255.0	387.02	473.41	679.29	454.09	902.89	698.41	314.17	764.36	346.29	688.78	381.68	432.53	759.08	351.14	339.14	351.14	444.72	575.03	267.73	283.05	629.35	208.38	295.11	753.83	785.88	1388.16	232.94	476.71	271.48	277.2	483.38	603.67	295.11	181.28	181.28	258.57	896.64	258.57	21.01	55.49
FAM168A	813.63	307.69	518.15	651.58	540.19	688.78	267.73	371.22	599.49	470.14	287.01	432.53	500.46	703.28	656.11	679.29	708.18	429.54	713.11	529.06	703.28	493.56	587.13	693.58	518.15	429.54	583.07	518.15	603.67	511.0	435.55	547.75	438.59	457.25	693.58	748.61	693.58	429.54	559.28	620.67	587.13	466.88	693.58	591.22	395.18	325.29	503.95	860.08	387.02	135.24	166.73
FAM208A	1008.9	583.07	819.3	1175.27	753.83	981.29	403.5	759.08	808.0	842.36	525.39	902.89	808.0	1175.27	974.5	1487.87	1037.29	638.15	1111.82	753.83	1119.56	743.43	1037.29	1081.39	866.07	698.41	961.07	769.69	981.29	866.07	703.28	896.64	703.28	470.14	1369.04	890.44	2178.83	620.67	1066.48	764.36	748.61	1023.0	866.07	543.96	525.39	480.04	612.11	1540.37	743.43	75.11	327.56
FAM208B	728.11	241.19	341.51	713.11	371.22	555.41	186.4	299.25	387.02	429.54	208.38	403.5	438.59	733.19	441.64	854.13	679.29	283.05	583.07	395.18	669.92	348.71	426.57	684.02	441.64	291.04	409.15	348.71	500.46	341.51	316.37	297.17	387.02	312.0	547.75	551.56	866.07	127.89	490.14	183.82	305.55	684.02	476.71	291.04	260.38	102.97	497.0	435.55	218.79	37.05	187.71
FBXW7	547.75	283.05	447.82	543.96	447.82	490.14	194.36	457.25	343.89	384.34	444.72	373.81	397.93	547.75	486.75	708.18	532.74	674.59	728.11	412.0	563.18	511.0	470.14	529.06	271.48	353.59	490.14	460.44	490.14	318.57	361.04	309.83	228.13	291.04	764.36	591.22	791.35	253.23	647.07	287.01	258.57	480.04	395.18	251.48	289.02	236.21	281.09	819.3	265.87	56.68	138.1
GLTSCR1L	441.64	132.44	271.48	417.77	255.0	384.34	111.21	218.79	251.48	295.11	131.51	289.02	275.28	473.41	341.51	624.99	414.87	221.86	438.59	246.28	361.04	249.73	305.55	486.75	275.28	204.07	334.46	260.38	366.09	255.0	232.94	356.05	212.78	170.25	490.14	591.22	665.29	121.79	307.69	175.07	232.94	400.71	353.59	170.25	106.63	133.36	169.07	371.22	215.77	38.67	32.59
GMEB1	208.38	140.04	120.1	202.66	138.1	218.79	98.04	112.77	105.15	114.36	120.1	139.07	177.53	212.78	187.71	285.03	237.86	115.16	169.07	121.79	151.22	107.38	155.5	249.73	131.51	108.14	131.51	126.12	132.44	115.16	115.97	195.72	137.14	108.14	187.71	206.94	234.57	81.14	167.9	142.01	141.02	177.53	143.01	126.12	117.6	98.04	113.56	190.34	139.07	46.84	83.45
GOPC	688.78	325.29	406.31	679.29	368.65	536.45	195.72	406.31	423.61	444.72	283.05	454.09	409.15	665.29	483.38	884.29	595.34	327.56	674.59	379.04	587.13	432.53	476.71	616.37	381.68	363.56	525.39	460.44	497.0	441.64	336.79	547.75	379.04	237.86	780.44	665.29	1199.98	229.72	490.14	323.03	341.51	503.95	555.41	332.14	229.72	320.8	320.8	902.89	329.84	120.1	107.38
GTF3C3	503.95	271.48	400.71	651.58	389.72	525.39	236.21	532.74	409.15	476.71	293.07	351.14	366.09	603.67	466.88	738.29	470.14	334.46	603.67	373.81	587.13	409.15	529.06	551.56	450.94	376.41	607.87	414.87	435.55	540.19	384.34	384.34	320.8	175.07	624.99	450.94	802.41	343.89	503.95	327.56	387.02	470.14	414.87	262.2	231.32	251.48	368.65	647.07	239.52	81.14	91.41
GUF1	371.22	193.01	234.57	361.04	381.68	381.68	175.07	358.54	291.04	323.03	287.01	329.84	269.6	334.46	285.03	559.28	329.84	244.57	389.72	265.87	368.65	301.33	400.71	358.54	223.41	283.05	346.29	307.69	320.8	361.04	293.07	267.73	269.6	111.99	381.68	316.37	665.29	244.57	420.68	444.72	305.55	346.29	248.0	334.46	197.09	215.77	293.07	703.28	175.07	153.34	221.86
HAUS6	228.13	123.5	181.28	299.25	147.06	212.78	66.65	195.72	186.4	165.57	121.79	159.9	161.02	228.13	175.07	307.69	231.32	164.42	229.72	126.12	209.84	152.28	199.85	209.84	119.26	158.79	186.4	180.02	177.53	191.67	117.6	151.22	123.5	105.15	242.88	157.68	406.31	122.64	229.72	141.02	109.66	161.02	117.6	140.04	125.24	97.36	110.43	223.41	111.21	15.91	39.5
HKR1	934.76	301.33	420.68	616.37	555.41	1199.98	258.57	376.41	373.81	387.02	356.05	473.41	665.29	909.17	647.07	860.08	988.12	363.56	718.08	387.02	624.99	447.82	583.07	1096.5	392.44	392.44	463.65	514.56	500.46	450.94	432.53	633.73	339.14	486.75	842.36	651.58	954.43	256.78	723.08	476.71	400.71	620.67	466.88	438.59	231.32	318.57	450.94	961.07	297.17	105.15	195.72
HMGXB4	429.54	173.85	291.04	444.72	277.2	420.68	120.1	332.14	237.86	255.0	193.01	287.01	339.14	423.61	373.81	426.57	435.55	218.79	381.68	242.88	346.29	271.48	447.82	420.68	264.03	325.29	429.54	285.03	307.69	376.41	249.73	249.73	161.02	194.36	262.2	363.56	555.41	153.34	387.02	204.07	198.47	426.57	255.0	224.97	167.9	159.9	239.52	271.48	258.57	40.93	93.35
HSDL1	521.76	341.51	273.37	470.14	376.41	651.58	307.69	366.09	361.04	346.29	281.09	314.17	470.14	607.87	406.31	616.37	587.13	318.57	507.46	339.14	395.18	316.37	389.72	490.14	323.03	289.02	356.05	336.79	361.04	320.8	309.83	525.39	234.57	351.14	406.31	497.0	921.88	205.5	403.5	366.09	307.69	435.55	260.38	327.56	307.69	194.36	256.78	476.71	198.47	111.99	101.54
IFT80	426.57	190.34	275.28	571.05	291.04	435.55	112.77	258.57	262.2	295.11	182.55	275.28	246.28	429.54	291.04	688.78	412.0	185.11	466.88	191.67	447.82	253.23	237.86	441.64	228.13	215.77	293.07	281.09	318.57	269.6	122.64	371.22	209.84	215.77	426.57	283.05	688.78	150.17	325.29	255.0	253.23	242.88	220.32	172.65	98.73	137.14	231.32	536.45	167.9	9.78	61.68
KIAA1468	493.56	167.9	264.03	447.82	218.79	490.14	101.54	228.13	260.38	312.0	187.71	248.0	287.01	426.57	327.56	698.41	486.75	267.73	409.15	241.19	466.88	232.94	358.54	480.04	255.0	218.79	287.01	336.79	343.89	269.6	214.27	215.77	194.36	164.42	406.31	454.09	629.35	164.42	356.05	208.38	293.07	395.18	320.8	171.45	126.12	180.02	264.03	521.76	309.83	84.63	144.01
KIAA1731	239.52	85.82	117.6	275.28	133.36	226.54	39.22	137.14	107.38	113.56	132.44	134.3	164.42	258.57	190.34	343.89	215.77	122.64	237.86	114.36	212.78	127.89	221.86	279.14	117.6	98.04	153.34	178.77	150.17	138.1	82.29	126.12	103.69	108.14	249.73	149.12	486.75	131.51	161.02	125.24	129.69	224.97	154.42	87.03	87.03	80.57	73.54	392.44	104.42	5.02	35.25
KLHDC9	191.67	87.65	117.6	264.03	154.42	218.79	131.51	60.39	85.22	93.35	60.39	116.78	194.36	156.59	85.82	177.53	167.9	61.25	169.07	95.34	156.59	122.64	177.53	242.88	63.89	74.58	171.45	130.6	74.58	86.43	60.82	71.5	70.51	19.97	260.38	195.72	162.14	11.55	221.86	16.15	29.27	185.11	85.82	57.08	2.16	13.32	36.01	199.85	60.82	123.5	101.54
KLHL42	406.31	139.07	178.77	392.44	209.84	291.04	73.54	136.19	157.68	180.02	129.69	239.52	239.52	371.22	248.0	540.19	406.31	119.26	368.65	159.9	423.61	186.4	223.41	379.04	204.07	154.42	189.02	202.66	291.04	150.17	157.68	237.86	166.73	187.71	358.54	289.02	441.64	108.9	295.11	185.11	211.31	373.81	211.31	132.44	133.36	86.43	183.82	384.34	234.57	36.79	131.51
KLHL9	785.88	366.09	454.09	753.83	551.56	723.08	277.2	334.46	483.38	555.41	323.03	547.75	579.04	764.36	476.71	1023.0	713.11	366.09	775.05	384.34	753.83	454.09	514.56	703.28	420.68	381.68	543.96	490.14	595.34	447.82	463.65	813.63	371.22	159.9	1023.0	974.5	1806.78	283.05	353.59	397.93	237.86	928.3	525.39	327.56	206.94	397.93	353.59	1066.48	246.28	86.43	139.07
