	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.C5.A7CJ.01A.11R.A32P.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
CRAT	4450.27	1044.52	2193.99	23.93	57.49	137.14	118.43	47.5	381.68	490.14	144.01	0.0	0.79	327.56	693.58	896.64	1051.79	403.5	1628.26	974.5	848.22	866.07	842.36	775.05
CYP3A7	48.52	0.55	1.83	0.0	0.0	1.38	0.0	0.0	0.88	0.0	0.88	0.0	0.0	2.51	34.75	7.34	2.18	15.91	7.11	8.13	1.5	3.86	0.0	1.45
DIDO1	708.18	414.87	555.41	251.48	242.88	361.04	285.03	285.03	403.5	273.37	265.87	0.0	0.78	157.68	521.76	1286.18	571.05	934.76	842.36	703.28	620.67	571.05	540.19	480.04
DIO2	1151.06	441.64	656.11	70.51	43.32	35.5	55.89	146.03	30.12	14.78	181.28	0.0	0.24	19.97	638.15	642.59	651.58	376.41	29.27	159.9	13.62	92.05	68.55	54.72
DOCK3	111.21	4.5	38.67	1.57	0.84	2.18	2.05	2.23	0.89	0.51	4.17	0.0	0.46	0.88	1.6	10.24	11.64	8.58	55.1	3.35	5.59	2.16	3.79	10.96
DOPEY2	395.18	327.56	450.94	61.68	21.01	198.47	68.07	149.12	55.89	48.87	75.64	0.0	0.37	24.81	146.03	450.94	463.65	381.68	387.02	693.58	139.07	358.54	412.0	169.07
EFCAB4A	1233.75	104.42	9409.14	38.4	94.01	45.85	33.54	20.56	77.79	98.04	26.47	0.0	0.85	12.36	1617.0	1037.29	2384.37	1923.14	1977.24	3665.02	3395.89	5594.3	3124.78	2537.92
EFCC1	47.84	11.47	70.51	1.57	0.0	4.21	3.56	4.31	1.99	2.23	5.28	0.0	0.17	1.85	49.21	72.01	40.36	28.24	423.61	81.71	108.9	99.43	82.29	155.5
EHD3	1781.89	74.58	1001.93	78.89	72.01	76.17	50.27	37.32	39.79	27.44	44.57	0.0	0.44	71.5	102.97	76.17	74.58	63.0	120.94	73.03	100.13	92.05	51.35	81.14
ELMO2	703.28	426.57	796.86	356.05	265.87	444.72	209.84	256.78	339.14	309.83	307.69	0.0	0.79	239.52	551.56	723.08	466.88	819.3	633.73	543.96	575.03	514.56	441.64	521.76
ELMOD3	591.22	403.5	403.5	116.78	115.97	161.02	143.01	99.43	52.08	81.14	215.77	0.0	0.65	96.68	301.33	547.75	285.03	426.57	551.56	346.29	543.96	341.51	248.0	432.53
ENOX1	52.45	18.43	2.92	3.69	2.97	5.02	7.51	2.81	20.41	15.56	4.9	0.0	0.25	5.32	54.33	54.72	50.98	22.26	128.79	24.81	54.72	21.47	70.51	75.11
EPHX4	104.42	10.31	0.44	1.07	2.01	4.66	5.77	2.43	1.11	3.66	1.46	0.0	0.16	10.79	13.42	12.55	120.94	95.34	13.72	2.16	18.03	8.25	2.46	13.42
ESR1	525.39	131.51	10.96	18.97	9.34	9.56	18.84	15.0	39.5	1.1	14.89	0.0	0.39	5.77	12.27	27.25	11.82	19.39	60.82	20.71	28.04	16.39	26.28	30.78
FAM198A	56.28	15.22	45.85	17.77	1.51	4.94	2.03	1.39	0.52	0.0	0.89	0.0	0.42	4.82	98.04	109.66	91.41	29.27	167.9	19.39	47.84	25.17	29.06	57.08
FAM211A	31.0	17.13	42.11	3.44	3.69	8.85	3.38	2.89	24.99	4.98	4.28	0.0	0.16	3.86	42.41	155.5	234.57	63.45	154.42	87.03	84.04	56.28	72.01	50.98
FGF2	92.05	27.64	30.12	3.86	28.86	11.82	9.13	3.29	2.89	1.33	1.39	0.0	0.32	4.78	56.68	68.07	60.39	31.67	316.37	19.11	52.82	19.53	17.0	88.26
FTCDNL1	57.49	7.94	12.83	2.25	1.58	5.11	7.11	4.13	9.7	1.91	2.03	0.0	0.0	5.19	25.72	13.72	13.12	39.22	21.16	28.24	17.9	13.22	13.42	16.75
GAL3ST2	128.79	11.55	22.26	0.68	0.0	0.41	0.74	0.82	0.0	0.0	0.0	0.0	0.14	0.0	0.0	6.84	189.02	2.81	0.95	0.82	0.33	1.25	0.0	1.68
GDF7	12.83	2.12	12.55	1.16	0.0	0.31	0.61	0.68	0.0	0.0	0.27	0.0	0.0	0.0	5.82	2.46	3.96	2.86	15.11	4.9	8.51	6.89	8.51	11.04
GOLGA8H	24.46	5.5	10.08	0.55	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	2.97	10.71	7.82	8.58	21.63	5.92	8.25	4.62	0.0	5.54
GOLGA8T	8.71	2.94	10.39	0.0	0.0	0.99	0.0	2.34	0.0	0.0	0.0	0.0	0.21	0.0	3.0	4.54	8.78	3.47	8.85	2.94	0.0	2.14	8.06	0.0
HUNK	47.5	29.06	44.57	1.35	3.79	10.16	3.5	1.2	1.73	3.5	1.75	0.0	0.0	0.28	35.76	59.97	40.93	54.33	32.82	10.0	26.86	18.97	27.25	10.24
IFT172	2451.44	656.11	624.99	99.43	108.9	146.03	186.4	88.88	127.89	133.36	86.43	0.0	0.37	85.82	1583.71	1477.58	1111.82	1073.91	665.29	1242.34	813.63	1487.87	1529.73	896.64
IGFBPL1	73.03	9.63	6.26	0.0	0.65	0.39	4.03	0.4	0.0	0.65	0.0	0.0	0.0	0.48	8.25	5.68	12.36	6.21	40.07	26.86	23.76	26.47	19.25	43.94
IL17RB	316.37	92.7	264.03	9.27	6.57	12.0	3.59	7.46	8.51	5.87	8.58	0.0	0.41	4.58	665.29	320.8	312.0	157.68	76.17	164.42	161.02	92.05	120.1	139.07
IRX5	567.1	197.09	208.38	23.25	110.43	57.49	35.25	25.35	19.25	49.91	76.71	0.0	0.0	17.64	92.05	32.59	30.56	193.01	99.43	234.57	80.57	135.24	124.37	108.14
KCNAB1	51.71	13.93	44.25	3.96	3.53	8.13	3.89	1.81	9.41	2.53	3.06	0.0	0.0	10.55	29.06	53.95	32.13	38.4	47.84	58.3	24.46	10.31	29.7	25.72
KCNH2	253.23	20.41	56.28	0.92	0.55	3.5	0.97	1.06	1.31	0.91	0.95	0.0	0.55	1.43	176.29	171.45	189.02	58.3	1594.73	148.09	256.78	141.02	92.05	289.02
KCNH7	0.31	0.0	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	15.0	0.0	2.32	1.93	10.88	2.16	5.82	5.68	2.07
KCNK15	358.54	10.08	49.56	0.0	0.0	5.96	6.31	0.0	12.09	5.06	0.0	0.0	0.58	1.48	185.11	460.44	85.22	80.01	195.72	88.88	61.25	103.69	130.6	75.11
KIF5A	42.71	3.56	15.22	0.0	0.54	1.03	1.36	2.73	0.0	0.54	2.07	0.0	0.46	0.0	5.06	8.25	7.94	6.26	73.03	7.46	5.96	8.32	3.76	13.42
LIPF	19.25	0.0	1432396.03	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1229805.58	912837.43	1131651.83	4136558.78	731246.37	3268052.11	1645391.11	1299926.74	3806410.22	2884719.27
LMO3	147.06	19.68	88.88	4.62	0.0	1.08	5.77	0.0	10.71	0.0	1.0	0.0	0.43	3.47	49.21	112.77	68.55	38.67	297.17	18.56	26.86	27.64	39.5	111.99
LRRC56	229.72	47.84	86.43	7.94	18.84	21.16	18.43	11.73	17.0	8.13	43.63	0.0	0.11	1.45	41.52	24.81	23.93	45.85	44.25	81.14	90.14	76.17	34.02	61.68
M1AP	191.67	95.34	12.83	1.3	0.0	2.32	1.39	0.65	0.0	154.42	2.1	0.0	0.15	3.96	81.71	23.93	72.52	17.13	10.55	44.89	28.45	12.45	8.0	28.65
MAN2A2	1037.29	753.83	860.08	63.89	72.52	115.16	88.26	72.52	63.45	117.6	100.13	0.0	1.13	26.67	743.43	1378.57	813.63	860.08	1313.23	607.87	769.69	540.19	511.0	500.46
MEGF11	93.35	17.77	14.14	2.14	0.0	0.48	4.5	0.0	0.0	3.11	5.41	0.0	0.0	0.0	45.21	3.72	6.52	11.38	10.88	19.25	7.75	16.75	6.36	2.07
MYCN	460.44	22.59	34.02	4.94	0.91	4.86	6.89	3.23	2.1	4.13	2.12	0.0	0.21	1.25	138.1	202.66	47.84	29.06	26.1	92.05	40.07	132.44	80.01	39.22
MYO1A	28.24	5.59	624.99	0.0	1.99	4.21	0.0	0.0	0.4	0.39	1.79	0.0	0.0	5.15	414.87	356.05	738.29	131.51	902.89	759.08	152.28	525.39	400.71	170.25
NEK4	264.03	158.79	161.02	84.04	87.03	159.9	98.04	114.36	75.11	95.34	111.21	0.0	0.12	12.0	171.45	299.25	356.05	221.86	249.73	256.78	226.54	182.55	170.25	181.28
NHLRC3	397.93	231.32	293.07	75.64	59.13	166.73	120.1	74.06	97.36	45.85	154.42	248.0	480.04	79.45	309.83	733.19	417.77	1674.06	267.73	339.14	325.29	249.73	256.78	258.57
NLRP6	19.68	2.56	8.45	0.43	0.0	2.1	0.46	0.51	0.0	0.43	0.82	0.0	0.33	0.75	14.67	29.27	145.02	0.24	166.73	11.3	36.01	7.11	7.75	11.64
NPPC	202.66	4.82	81.71	0.0	0.0	2.25	0.87	0.0	0.82	0.0	0.0	0.0	0.1	2.16	27.44	2.56	13.52	0.78	137.14	5.11	52.08	8.06	0.0	121.79
NR1I2	4.43	0.95	1.55	0.0	0.0	0.47	0.0	0.0	0.0	0.4	0.0	0.0	0.13	2.89	246.28	108.14	187.71	56.28	76.71	52.45	12.36	46.18	16.75	9.2
NR2C2	232.94	148.09	199.85	71.0	51.71	153.34	36.53	94.67	85.22	58.71	68.55	0.0	0.48	23.93	173.85	327.56	226.54	187.71	297.17	186.4	151.22	189.02	208.38	141.02
NYNRIN	579.04	81.14	356.05	22.26	18.7	78.34	53.57	12.74	10.16	12.45	14.67	0.0	0.39	3.44	107.38	205.5	155.5	92.05	325.29	267.73	107.38	244.57	137.14	85.22
PARD6A	287.01	60.39	94.67	16.88	4.82	21.01	12.09	7.0	39.22	8.06	23.76	0.0	0.32	29.06	358.54	87.03	74.58	59.97	275.28	98.04	262.2	189.02	143.01	343.89
PAXIP1-AS2	91.41	59.97	57.08	30.56	23.59	24.11	27.25	13.42	32.59	12.83	29.48	0.0	0.27	9.13	111.21	189.02	108.14	105.89	193.01	185.11	169.07	111.21	94.01	131.51
PHC1	417.77	323.03	503.95	76.71	76.71	64.8	44.25	29.06	49.21	88.26	81.71	0.0	0.8	45.21	387.02	392.44	571.05	303.44	1331.57	269.6	665.29	237.86	325.29	587.13
PLCL1	45.21	13.62	12.45	3.2	5.11	9.85	9.56	10.08	9.85	1.16	4.43	0.0	0.06	3.29	25.35	69.52	42.71	51.71	323.03	35.5	38.95	30.78	37.05	65.26
PLEKHB1	293.07	49.21	175.07	7.75	1.1	27.64	28.86	4.06	12.36	3.82	23.08	0.0	0.27	11.82	256.78	1457.23	928.3	232.94	775.05	1225.22	1159.07	1151.06	708.18	872.1
PLEKHH2	85.82	33.78	178.77	3.59	17.9	2.71	15.68	6.52	2.89	22.1	2.05	0.0	0.47	6.52	73.54	181.28	94.67	205.5	163.28	40.07	106.63	34.26	66.18	57.89
PMEL	336.79	55.49	34.51	14.45	11.91	18.7	18.56	5.54	25.91	35.25	21.94	0.0	0.19	28.04	103.69	187.71	30.78	80.01	39.5	70.51	33.06	33.3	40.07	32.36
POMT1	547.75	299.25	507.46	171.45	194.36	97.36	220.32	183.82	244.57	205.5	135.24	0.0	0.58	164.42	341.51	521.76	353.59	339.14	536.45	327.56	389.72	279.14	316.37	287.01
PPP1R1B	583.07	146.03	1023.0	1.2	0.0	0.0	3.89	0.87	1.23	0.0	1.68	0.0	0.13	0.0	316.37	1745.2	3190.46	314.17	854.13	738.29	429.54	567.1	620.67	253.23
PPP1R36	45.21	8.45	87.65	8.25	11.13	4.7	10.08	3.96	2.41	4.35	3.89	0.0	0.01	12.45	101.54	142.01	57.49	142.01	101.54	293.07	85.22	178.77	148.09	99.43
PRKCD	1721.16	591.22	1477.58	555.41	291.04	633.73	334.46	575.03	371.22	258.57	679.29	0.0	0.56	237.86	1001.93	1322.37	620.67	988.12	878.17	2758.13	1199.98	1896.65	1819.35	1030.12
RAB19	51.35	5.11	3.66	0.0	2.58	11.04	1.83	1.99	3.72	0.0	2.76	0.0	0.0	2.07	66.18	55.1	60.82	27.44	29.7	62.12	18.03	42.41	33.3	40.36
RBM20	49.56	8.78	186.4	0.37	0.67	1.95	0.74	1.2	0.0	0.0	1.41	0.0	0.17	0.54	3.89	4.58	2.81	3.23	33.3	4.03	12.45	3.29	9.48	7.28
REEP1	189.02	35.5	80.01	8.38	2.76	7.82	3.76	16.75	8.65	26.28	1.55	0.0	0.26	5.5	34.26	309.83	107.38	48.87	490.14	102.25	151.22	97.36	97.36	275.28
RMND5B	1639.59	860.08	1757.34	142.01	249.73	514.56	244.57	373.81	361.04	256.78	420.68	0.0	0.47	209.84	579.04	403.5	511.0	476.71	836.53	620.67	656.11	748.61	723.08	642.59
RP11-123K3.4	20.86	2.36	14.03	0.0	0.0	2.2	0.0	3.03	0.66	0.0	0.0	0.0	0.01	0.0	4.86	3.47	3.41	3.63	9.56	11.38	4.39	0.0	0.0	0.0
RP11-57H12.6	16.75	7.11	0.0	0.0	0.0	0.89	5.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	4.86	0.0	5.06	10.55	21.16	8.51	15.45	13.52	5.63
SLC35A3	420.68	301.33	435.55	165.57	164.42	214.27	163.28	299.25	253.23	158.79	144.01	214.27	387.02	253.23	316.37	660.68	583.07	447.82	376.41	791.35	325.29	368.65	363.56	339.14
SLC46A1	265.87	73.54	202.66	24.28	28.24	61.25	48.87	12.45	107.38	38.12	53.19	0.0	0.14	5.73	153.34	318.57	143.01	190.34	325.29	341.51	211.31	206.94	283.05	138.1
SNED1	111.21	56.28	249.73	4.31	1.91	20.11	7.22	6.46	5.68	1.93	7.82	0.0	0.72	11.55	223.41	122.64	140.04	105.89	275.28	95.34	127.0	114.36	72.01	106.63
SPATA18	305.55	155.5	151.22	8.71	4.54	45.21	23.42	24.81	14.56	10.88	60.82	0.0	0.0	1.39	49.91	114.36	123.5	82.29	107.38	100.13	88.88	66.18	70.51	71.5
SSC5D	414.87	191.67	96.68	9.78	23.08	22.92	57.89	6.16	6.52	6.89	9.85	0.0	0.27	2.1	186.4	182.55	289.02	64.8	1088.92	73.03	53.19	127.0	59.13	143.01
SYDE1	536.45	163.28	158.79	71.5	100.13	81.71	145.02	17.25	37.59	78.89	34.75	0.0	0.72	43.63	406.31	165.57	255.0	156.59	1001.93	141.02	191.67	159.9	129.69	277.2
TBC1D5	414.87	239.52	271.48	129.69	85.82	191.67	63.0	128.79	143.01	112.77	82.87	0.0	0.39	43.32	339.14	669.92	346.29	371.22	444.72	389.72	327.56	260.38	325.29	318.57
TCTA	595.34	269.6	403.5	180.02	193.01	287.01	167.9	229.72	113.56	96.68	307.69	0.0	0.3	371.22	1001.93	620.67	476.71	521.76	743.43	988.12	866.07	836.53	665.29	819.3
TFR2	281.09	88.26	59.97	4.06	1.73	9.13	7.51	2.1	46.18	14.35	5.28	0.0	0.52	40.93	616.37	249.73	114.36	92.05	29.27	954.43	493.56	397.93	848.22	267.73
TLE2	1015.93	111.99	679.29	14.56	11.73	34.51	51.35	10.96	16.27	28.86	19.97	0.0	0.97	8.92	511.0	493.56	713.11	172.65	1508.65	381.68	450.94	463.65	329.84	497.0
TMEM56	116.78	35.5	13.93	2.01	0.56	1.89	1.0	1.93	0.58	23.25	0.0	0.0	0.09	6.57	138.1	105.89	45.85	58.71	173.85	138.1	111.99	92.05	166.73	115.16
TMEM63A	947.83	607.87	1605.83	124.37	183.82	215.77	150.17	143.01	229.72	109.66	395.18	473.41	579.04	69.03	1159.07	2997.45	2915.45	2240.11	1143.1	1397.83	1208.34	995.0	866.07	638.15
TNFRSF10C	199.85	47.17	19.97	3.82	25.72	36.01	8.85	6.52	12.18	12.83	12.27	0.0	0.39	8.0	50.63	127.0	63.45	108.14	99.43	64.34	157.68	52.08	42.41	85.22
TRPV6	265.87	100.83	164.42	0.97	0.96	0.67	3.03	3.29	1.39	0.6	0.62	0.0	0.17	0.0	201.25	43.02	24.28	38.95	30.78	83.45	77.25	90.77	86.43	39.22
TSHR	49.21	2.41	11.47	1.27	0.0	4.31	0.58	0.0	0.0	0.0	0.0	0.0	0.16	3.96	1.93	3.2	1.93	1.08	5.92	13.32	39.79	20.56	24.99	15.8
TTC31	825.0	361.04	426.57	180.02	193.01	212.78	215.77	177.53	122.64	232.94	251.48	0.0	0.57	142.01	379.04	693.58	368.65	307.69	454.09	426.57	412.0	327.56	251.48	381.68
UQCC1	961.07	579.04	497.0	348.71	423.61	480.04	435.55	316.37	397.93	473.41	379.04	0.0	0.87	703.28	651.58	796.86	559.28	1096.5	607.87	674.59	718.08	540.19	813.63	665.29
USP25	587.13	295.11	395.18	236.21	63.0	325.29	244.57	277.2	253.23	220.32	221.86	0.0	0.6	49.91	281.09	543.96	384.34	511.0	438.59	316.37	320.8	197.09	209.84	336.79
USP51	19.82	12.55	10.39	0.42	1.71	6.16	1.89	2.43	1.81	3.96	1.83	0.0	0.0	2.36	15.45	35.5	18.97	19.53	27.84	15.34	28.24	16.15	20.71	18.29
ZFHX2	32.59	11.73	6.01	1.41	8.25	3.89	0.44	1.27	0.43	0.0	1.48	0.0	0.0	0.26	48.87	15.91	20.11	12.93	39.79	31.67	25.35	37.32	30.12	9.93
ZFYVE27	532.74	343.89	444.72	191.67	209.84	220.32	327.56	133.36	273.37	147.06	289.02	0.0	0.75	159.9	387.02	612.11	476.71	341.51	483.38	417.77	480.04	366.09	334.46	400.71
ZMYM3	316.37	178.77	303.44	105.89	120.94	234.57	102.25	73.54	173.85	138.1	161.02	0.0	0.34	68.07	246.28	297.17	237.86	232.94	460.44	305.55	251.48	283.05	223.41	239.52
ZNF14	120.1	84.04	75.11	1.64	2.97	35.25	18.29	14.78	37.85	40.64	14.89	0.0	0.0	7.28	56.28	109.66	59.97	116.78	77.79	96.68	124.37	84.04	54.33	117.6
ZNF445	127.89	52.82	65.72	14.35	40.36	60.39	15.56	36.01	28.45	27.64	32.13	0.0	0.49	4.9	67.59	114.36	118.43	82.29	129.69	108.9	63.0	78.34	54.33	60.39
ZNF620	115.97	15.22	24.11	3.63	4.54	7.28	4.66	1.83	9.7	6.89	2.36	0.0	0.17	1.83	35.5	54.72	67.12	30.56	63.0	79.45	66.18	46.18	69.03	53.57
ZNF852	74.58	28.24	30.12	15.34	7.51	21.01	14.45	6.57	9.06	14.14	12.45	0.0	0.33	4.98	47.84	81.71	98.73	68.55	85.22	90.77	80.01	55.49	55.89	55.89
