	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.05.5715.01A.01R.1628.07	TCGA.05.5429.01A.01R.1628.07	TCGA.55.6984.01A.11R.1949.07	TCGA.78.7540.01A.11R.2066.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07
GIMAP7	543.96	371.22	152.28	48.18	47.17	38.67	69.03	15.45	52.45	56.68	96.01	303.44	119.26	85.82	111.99	525.39	167.9	112.77	35.76	80.01	197.09	120.94	114.36	214.27	87.65	301.33	187.71	80.57	134.3	19.68	195.72	153.34	273.37	293.07	1295.13	2609.3	483.38	228.13	884.29	303.44	457.25	1806.78	2271.4	1208.34	3018.3	1151.06	1639.59	1250.98	3467.27	327.56	281.09	429.54	363.56
GIMAP8	199.85	120.1	61.25	18.84	26.28	13.03	25.17	5.28	20.86	22.26	17.64	101.54	67.59	22.26	32.13	149.12	53.57	46.84	14.89	23.59	72.01	34.02	59.55	58.71	33.3	63.45	82.29	28.65	51.71	9.85	92.7	23.25	77.79	94.01	1135.2	1508.65	239.52	128.79	214.27	1104.13	463.65	629.35	2502.97	1883.54	1277.29	447.82	2367.9	2018.8	3212.66	123.5	71.0	108.9	201.25
GNG11	928.3	323.03	157.68	63.0	49.56	57.89	108.9	33.78	75.64	75.64	29.27	269.6	89.51	65.26	152.28	559.28	287.01	113.56	38.12	79.45	189.02	162.14	273.37	133.36	47.17	205.5	323.03	80.01	113.56	21.32	341.51	182.55	171.45	212.78	3540.14	3235.01	2004.85	1119.56	665.29	708.18	693.58	1662.49	3847.29	13215.02	1037.29	961.07	2148.82	3639.7	3103.19	297.17	285.03	314.17	379.04
GRASP	1242.34	153.34	80.01	67.12	29.27	58.3	139.07	36.53	48.52	58.71	27.25	185.11	74.58	55.1	217.27	71.0	139.07	90.14	8.99	98.73	130.6	117.6	231.32	147.06	24.46	111.99	156.59	86.43	68.55	33.78	163.28	100.13	156.59	119.26	1119.56	753.83	733.19	616.37	384.34	2090.03	2796.65	2796.65	1487.87	3467.27	961.07	387.02	1639.59	1437.15	1447.15	346.29	368.65	206.94	299.25
GRK5	223.41	98.73	68.55	80.57	72.52	22.75	98.04	27.44	59.13	73.03	332.14	136.19	66.65	44.89	146.03	103.69	110.43	212.78	19.82	90.14	124.37	88.88	115.16	149.12	34.75	71.5	218.79	60.82	89.51	11.47	172.65	105.89	366.09	212.78	1096.5	3168.41	1617.0	748.61	316.37	1883.54	3081.75	2104.58	3847.29	4481.23	1457.23	3794.3	3235.01	3280.18	3395.89	189.02	204.07	185.11	244.57
GZMH	90.14	37.59	38.12	5.28	5.15	43.02	30.34	8.06	3.03	16.75	497.0	36.53	8.19	14.78	37.59	80.57	543.96	151.22	2.29	45.85	125.24	21.78	1.04	246.28	74.06	34.02	12.09	68.07	22.92	2.76	38.67	42.41	37.05	51.35	1923.14	1313.23	242.88	301.33	928.3	1143.1	169.07	540.19	1896.65	785.88	169.07	902.89	1331.57	872.1	1498.22	55.89	77.79	102.25	47.17
HECW2	14.78	56.68	22.59	16.03	12.55	11.91	7.0	8.06	9.27	8.06	4.86	56.68	21.32	11.04	35.76	10.08	14.14	19.97	16.63	11.64	17.25	20.11	35.0	28.24	8.32	12.09	22.26	10.88	8.0	1.58	88.88	15.11	38.4	29.7	169.07	414.87	92.7	98.73	166.73	127.0	241.19	400.71	248.0	759.08	220.32	94.67	373.81	336.79	314.17	52.08	30.34	34.75	55.1
HSPA12B	105.15	28.24	33.3	8.65	17.77	14.03	22.75	5.59	22.59	20.11	10.96	54.33	14.35	18.56	41.81	36.79	78.89	34.26	5.77	34.51	74.06	38.67	59.97	37.85	17.0	44.57	161.02	19.82	23.08	7.88	86.43	25.72	54.72	48.87	389.72	409.15	336.79	58.3	432.53	99.43	172.65	543.96	134.3	954.43	460.44	356.05	293.07	351.14	400.71	145.02	128.79	91.41	117.6
ICAM5	24.81	6.46	1.95	22.1	9.78	6.57	24.81	8.51	0.95	0.34	3.41	2.68	3.99	2.2	5.92	9.06	1.53	20.86	0.6	4.9	7.51	2.73	3.11	3.92	5.19	1.53	111.99	5.82	3.56	0.83	32.59	7.82	24.99	17.25	55.89	363.56	738.29	129.69	265.87	669.92	212.78	120.1	138.1	878.17	158.79	339.14	599.49	438.59	536.45	356.05	312.0	334.46	277.2
IL3RA	236.21	154.42	49.91	31.22	17.51	34.75	34.02	15.22	28.45	42.11	26.28	120.94	41.22	58.3	55.89	52.08	107.38	57.08	25.17	52.82	85.82	67.59	69.52	46.18	21.16	98.04	59.13	34.51	55.1	8.25	121.79	21.32	72.52	120.1	1037.29	490.14	480.04	368.65	301.33	1111.82	447.82	642.59	2032.85	332.14	1745.2	309.83	599.49	836.53	536.45	119.26	136.19	194.36	115.16
