	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A0JM.01A.21R.A056.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10X.11A.11R.A131.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
IQCC	73.03	118.43	116.78	88.88	80.57	186.4	153.34	69.52	109.66	44.89	120.94	53.19	113.56	46.84	139.07	106.63	53.57	12.36	6.01	15.8	12.36	11.04	13.62	13.03	5.19	5.02	6.01	0.0	0.19
ISCA2	612.11	698.41	764.36	890.44	733.19	775.05	679.29	1059.11	698.41	802.41	941.27	392.44	518.15	473.41	884.29	470.14	595.34	316.37	293.07	409.15	314.17	363.56	348.71	463.65	307.69	432.53	176.29	0.0	0.4
KNTC1	329.84	426.57	220.32	172.65	218.79	115.16	239.52	212.78	303.44	172.65	387.02	312.0	224.97	114.36	314.17	275.28	181.28	57.08	46.5	52.45	27.64	33.54	44.89	47.84	27.44	12.83	41.52	0.0	0.83
MAD2L1BP	547.75	703.28	551.56	669.92	738.29	928.3	860.08	616.37	728.11	775.05	738.29	656.11	536.45	514.56	1023.0	830.75	356.05	480.04	438.59	493.56	638.15	327.56	466.88	368.65	500.46	228.13	567.1	0.0	0.02
MAGEF1	679.29	1340.84	1023.0	1216.75	866.07	1001.93	1199.98	536.45	1127.35	836.53	3018.3	591.22	1617.0	780.44	1529.73	1111.82	486.75	361.04	323.03	497.0	381.68	432.53	441.64	483.38	368.65	220.32	199.85	0.0	0.84
MEA1	1757.34	4181.07	1359.57	1781.89	2351.53	2758.13	2032.85	1594.73	2434.5	1662.49	2119.22	1685.71	1769.57	1388.16	4298.64	1950.0	1628.26	954.43	954.43	1304.15	902.89	1044.52	981.29	1175.27	830.75	1242.34	769.69	0.0	0.54
MIF4GD	616.37	954.43	981.29	713.11	1233.75	813.63	703.28	228.13	759.08	460.44	3491.39	412.0	738.29	753.83	1167.14	693.58	414.87	327.56	253.23	395.18	215.77	285.03	341.51	351.14	305.55	211.31	264.03	0.0	0.62
NRARP	142.01	102.97	158.79	122.64	466.88	84.63	153.34	146.03	143.01	163.28	242.88	120.1	90.14	75.11	198.47	63.89	214.27	39.5	28.86	49.21	15.56	53.57	50.27	65.72	24.99	60.82	14.56	0.0	0.61
NRSN2	748.61	500.46	591.22	890.44	1191.69	934.76	813.63	503.95	547.75	995.0	1685.71	334.46	738.29	521.76	854.13	896.64	265.87	63.89	38.4	97.36	39.22	52.82	82.29	65.26	52.45	19.11	123.5	0.0	0.73
NUP85	674.59	764.36	819.3	660.68	961.07	915.51	791.35	417.77	660.68	656.11	3564.78	612.11	813.63	521.76	743.43	713.11	555.41	547.75	607.87	743.43	518.15	547.75	551.56	551.56	361.04	583.07	466.88	0.0	1.0
