	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A0AU.11A.11R.A12P.07	GTEX.T6MO.0326.SM.32QOK	GTEX.ZXES.0826.SM.5E43C	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.B0.4712.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07
HIC2	26.67	27.05	42.41	35.5	40.64	43.32	33.54	44.89	45.85	39.22	17.25	10.79	12.74	0.0	0.48	2.86
HPS5	208.38	120.94	759.08	432.53	336.79	435.55	607.87	500.46	842.36	587.13	103.69	159.9	343.89	0.0	0.14	172.65
HS3ST4	0.66	0.31	122.64	39.5	13.93	76.17	109.66	128.79	90.77	81.14	84.63	358.54	0.0	0.0	0.0	0.38
IL17RC	521.76	743.43	1250.98	1023.0	934.76	902.89	1073.91	1457.23	2255.7	1561.89	830.75	1183.45	733.19	0.0	0.55	466.88
INSR	231.32	353.59	633.73	435.55	480.04	532.74	679.29	698.41	791.35	902.89	58.71	68.07	346.29	191.67	483.38	19.11
IRS1	193.01	131.51	1001.93	454.09	325.29	403.5	743.43	532.74	647.07	571.05	155.5	332.14	159.9	281.09	85.22	92.05
ITPR2	115.97	124.37	759.08	285.03	275.28	616.37	791.35	967.76	928.3	854.13	595.34	246.28	94.67	0.0	0.41	18.29
KCNV2	0.41	0.4	4.21	0.43	0.44	0.82	1.11	1.5	1.45	1.58	3.17	0.04	0.0	0.0	0.0	0.55
KDM3B	400.71	368.65	1119.56	878.17	775.05	974.5	1104.13	1225.22	1151.06	1806.78	371.22	507.46	320.8	0.0	0.54	92.05
KIAA1737	201.25	212.78	669.92	381.68	341.51	400.71	591.22	536.45	884.29	660.68	629.35	1015.93	80.57	0.0	0.47	83.45
KLHL29	63.0	48.52	242.88	212.78	154.42	178.77	232.94	224.97	379.04	583.07	24.63	63.89	50.63	0.0	0.54	1.79
KLHL36	346.29	432.53	629.35	540.19	616.37	669.92	493.56	674.59	915.51	974.5	220.32	251.48	532.74	0.0	0.73	198.47
LINGO4	0.0	0.37	12.74	7.94	3.86	10.96	6.52	13.72	20.56	9.2	1.97	5.41	2.23	0.0	0.0	0.0
MAVS	163.28	138.1	414.87	224.97	376.41	400.71	381.68	476.71	595.34	497.0	134.3	81.14	134.3	0.0	0.51	48.87
MFN1	371.22	167.9	718.08	389.72	497.0	684.02	660.68	713.11	915.51	753.83	327.56	358.54	295.11	348.71	348.71	551.56
MPV17L	33.06	47.84	320.8	143.01	138.1	158.79	234.57	112.77	444.72	753.83	33.54	81.71	23.25	0.0	0.14	0.79
MYCBP2	791.35	638.15	941.27	928.3	1757.34	1350.18	890.44	872.1	2104.58	866.07	1015.93	1250.98	169.07	0.0	0.82	63.0
NSUN4	246.28	122.64	361.04	287.01	336.79	353.59	384.34	463.65	423.61	334.46	177.53	376.41	202.66	0.0	0.39	217.27
OGFRL1	426.57	255.0	1963.57	713.11	591.22	1066.48	1583.71	947.83	1733.13	1781.89	199.85	713.11	256.78	0.0	0.52	101.54
OTUD7B	198.47	208.38	420.68	318.57	291.04	339.14	343.89	423.61	612.11	607.87	128.79	104.42	105.89	115.16	82.87	16.39
PABPC3	6.16	3.41	9.56	8.0	8.78	9.13	12.74	12.18	26.67	27.84	11.55	10.96	4.03	0.0	0.06	2.25
PEX6	108.9	403.5	490.14	358.54	403.5	532.74	579.04	447.82	642.59	571.05	303.44	198.47	255.0	0.0	0.41	57.89
PGBD4	18.03	19.53	44.89	26.67	35.25	28.04	42.11	47.17	54.72	57.49	19.82	23.08	7.75	0.0	0.0	17.13
PHF17	417.77	525.39	934.76	629.35	607.87	559.28	599.49	698.41	1259.69	718.08	109.66	356.05	384.34	165.57	72.01	30.56
PHF8	144.01	132.44	406.31	269.6	281.09	358.54	450.94	473.41	336.79	463.65	99.43	170.25	142.01	255.0	169.07	52.45
PIGL	120.94	161.02	493.56	212.78	273.37	457.25	540.19	595.34	444.72	638.15	177.53	256.78	157.68	0.0	0.53	397.93
PKP1	144.01	223.41	769.69	688.78	555.41	470.14	674.59	698.41	5751.61	5751.61	3.003205688E7	2.49061716E7	199.85	0.0	0.99	1551.09
PLA2R1	197.09	173.85	435.55	444.72	267.73	447.82	511.0	429.54	555.41	371.22	100.13	141.02	87.03	0.0	0.42	107.38
PLK5	0.45	1.23	16.39	1.75	0.48	0.88	9.2	14.14	4.54	15.45	11.04	113.56	0.0	0.0	0.13	0.0
PLXNB3	30.12	96.01	293.07	128.79	164.42	242.88	242.88	229.72	470.14	303.44	8.71	25.72	55.1	0.0	0.93	27.25
PNPLA7	90.14	265.87	376.41	178.77	246.28	191.67	269.6	521.76	647.07	813.63	36.79	58.3	9.27	0.0	0.42	2.46
PRR14L	126.12	92.05	312.0	205.5	206.94	283.05	299.25	320.8	287.01	409.15	392.44	307.69	92.05	182.55	148.09	67.59
PUM2	660.68	543.96	1685.71	1051.79	1081.39	1359.57	1685.71	1561.89	1781.89	1407.55	1199.98	1216.75	543.96	0.0	0.65	273.37
PYGB	988.12	1870.53	2935.74	2627.46	1870.53	2119.22	3349.13	4038.61	4704.07	4450.27	2004.85	1819.35	2018.8	0.0	0.79	1844.76
QARS	4123.49	4481.23	5219.6	4903.87	4512.4	5041.77	5872.48	7081.29	6887.62	7642.41	5255.91	9215.48	4607.24	0.0	0.74	3372.43
RSPO1	2.01	6.46	127.0	62.56	59.97	46.5	353.59	320.8	66.18	70.01	16.88	195.72	0.38	0.0	0.06	0.0
SLC25A38	376.41	567.1	703.28	575.03	571.05	587.13	684.02	688.78	819.3	753.83	124.37	454.09	356.05	0.0	0.06	244.57
SLC5A6	327.56	575.03	1498.22	1073.91	1175.27	1781.89	2520.38	1909.85	3168.41	4704.07	80.01	94.01	241.19	0.0	0.57	190.34
SMARCD2	1104.13	1313.23	2163.77	1857.6	1757.34	1757.34	2367.9	2573.36	2956.17	3124.78	1331.57	2573.36	543.96	1794.29	248.0	974.5
SMYD4	150.17	178.77	273.37	187.71	205.5	234.57	211.31	275.28	295.11	165.57	98.04	76.71	86.43	61.25	132.44	51.35
SOCS7	29.27	18.56	232.94	87.03	122.64	217.27	223.41	267.73	215.77	351.14	58.3	38.4	26.67	0.0	0.16	16.75
SRSF11	1322.37	842.36	3928.15	1427.22	2417.67	3820.7	3955.48	3820.7	3103.19	4181.07	941.27	1769.57	780.44	1936.53	2720.15	642.59
STX19	0.71	0.0	133.36	42.11	26.86	46.84	104.42	131.51	136.19	100.13	1674.06	2434.5	1.81	0.0	0.04	4.78
SYT2	0.0	0.4	3.35	1.2	1.22	3.41	2.84	2.86	5.59	0.74	0.0	0.0	0.38	0.0	0.29	0.0
TAS2R5	2.05	6.21	39.22	10.79	17.51	40.07	41.81	78.34	41.81	31.9	9.34	16.51	6.52	0.0	0.64	2.46
TBC1D14	480.04	429.54	1001.93	947.83	764.36	967.76	1030.12	1104.13	1259.69	1508.65	1331.57	848.22	312.0	0.0	0.46	400.71
TRNT1	303.44	258.57	316.37	279.14	301.33	392.44	379.04	332.14	514.56	348.71	111.99	189.02	194.36	0.0	0.59	256.78
ZBTB39	45.85	46.84	92.7	92.7	92.7	102.25	94.01	118.43	111.99	182.55	53.95	55.1	29.27	0.0	0.31	9.34
ZKSCAN2	20.11	26.47	58.71	50.98	43.94	48.87	56.68	61.68	64.8	126.12	13.83	23.93	20.56	0.0	0.06	5.15
ZNF253	98.04	73.54	232.94	157.68	158.79	248.0	303.44	293.07	348.71	353.59	48.52	164.42	87.03	0.0	0.24	7.06
ZNF592	249.73	251.48	400.71	346.29	368.65	395.18	339.14	450.94	497.0	395.18	82.87	107.38	109.66	0.0	0.71	21.78
ZNF629	70.51	54.33	217.27	170.25	183.82	190.34	242.88	229.72	251.48	406.31	91.41	128.79	19.25	0.0	0.26	8.38
ZNF740	283.05	299.25	684.02	500.46	460.44	612.11	660.68	819.3	703.28	1073.91	195.72	291.04	244.57	215.77	100.83	103.69
ZNF99	0.34	0.34	3.44	1.1	0.74	5.28	5.59	1.35	7.11	5.96	0.0	0.0	0.0	0.0	0.01	0.0
ZRANB1	318.57	287.01	514.56	444.72	429.54	450.94	486.75	493.56	656.11	583.07	603.67	483.38	123.5	0.0	0.28	95.34
