	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.C5.A3HE.01A.21R.A22U.07	TCGA.DG.A2KH.01A.21R.A22U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.EX.A8YF.01A.11R.A37O.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZXG5.0826.SM.5GID6	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
ATXN1L	85.82	107.38	111.99	178.77	94.67	123.5	182.55	131.51	143.01	152.28	226.54	110.43	165.57	165.57	141.02	136.19	90.14	146.03	265.87	267.73	343.89	0.0	0.4	323.03	327.56	325.29	384.34	269.6	409.15	444.72	426.57	466.88	232.94	503.95	429.54	221.86	406.31	191.67	454.09	426.57	493.56	642.59	423.61	368.65	249.73	373.81	281.09	353.59	633.73	500.46	343.89	301.33	429.54	291.04	329.84	403.5
B3GALT2	0.0	2.61	0.65	0.64	0.0	1.57	0.52	0.57	0.0	0.22	0.84	0.85	0.49	0.0	1.11	1.73	1.27	1.43	1.31	7.51	12.45	0.0	0.0	127.0	9.85	2.86	143.01	18.16	144.01	150.17	231.32	45.21	46.5	92.7	220.32	8.19	98.73	4.78	26.28	5.28	269.6	20.71	21.47	37.59	6.62	151.22	14.67	155.5	58.71	133.36	58.3	50.98	12.18	20.11	4.17	8.19
B4GALNT2	1.73	22.92	0.0	0.0	0.96	0.39	0.0	5.02	0.0	0.0	0.0	16.39	0.38	1.85	0.0	2.01	0.0	0.39	1.93	0.3	26.1	0.0	0.0	1.68	33.06	2.86	98.73	0.0	4.46	2.58	0.0	12.74	6.36	34.26	21.01	0.0	1.71	0.0	2.84	1.83	15.34	44.57	8.65	8.85	69.52	12.64	0.0	4.17	108.9	0.0	0.67	28.04	5.02	4.1	4.82	8.99
BVES	44.57	8.51	6.73	2.23	42.11	7.75	6.16	22.59	2.61	1.19	16.39	4.28	25.54	13.42	2.41	3.59	2.36	8.38	5.59	4.7	31.45	0.0	0.4	14.78	12.55	4.66	61.68	27.25	181.28	54.33	61.25	63.89	25.91	16.39	74.58	19.97	74.06	21.63	78.89	97.36	156.59	49.91	34.02	40.36	15.22	25.91	15.45	44.57	59.55	25.35	17.51	31.9	1.91	11.64	25.17	24.46
C10orf107	0.0	4.21	0.33	0.33	0.0	3.32	1.87	2.34	0.13	0.13	9.13	2.58	4.1	0.16	5.73	1.01	5.73	0.0	31.0	2.89	31.0	0.0	0.0	54.72	532.74	73.03	170.25	116.78	21.78	253.23	127.0	54.72	269.6	543.96	518.15	301.33	334.46	25.72	25.54	96.68	41.52	293.07	78.34	61.68	2163.77	102.97	27.25	540.19	33.06	171.45	98.04	28.04	8.58	34.75	14.78	651.58
CCDC110	0.59	4.9	0.97	0.0	0.34	26.28	3.59	1.41	2.16	2.23	1.68	11.73	20.86	1.89	1.68	6.78	1.03	2.1	19.82	92.7	50.63	0.0	0.06	12.83	18.7	3.92	18.7	11.47	108.9	10.08	30.56	8.13	16.39	22.1	21.01	15.91	33.06	1.06	18.29	9.34	9.56	4.62	4.62	38.4	17.25	18.97	2.2	36.79	4.13	6.46	3.96	1.45	5.92	4.13	6.21	18.97
CCM2L	3.23	29.06	11.21	8.85	8.92	82.87	30.56	28.65	11.64	5.45	12.83	40.36	6.67	12.18	25.72	24.28	7.11	12.83	131.51	44.57	125.24	0.0	0.04	718.08	127.89	46.84	412.0	152.28	547.75	463.65	813.63	432.53	633.73	291.04	684.02	129.69	466.88	31.45	246.28	82.29	483.38	158.79	185.11	463.65	38.4	400.71	134.3	656.11	480.04	381.68	295.11	130.6	90.14	208.38	94.01	121.79
CCND3	1857.6	1594.73	1378.57	1104.13	1037.29	1331.57	1467.37	1159.07	866.07	791.35	2701.35	1378.57	688.78	1806.78	1407.55	974.5	543.96	698.41	1199.98	1359.57	1709.26	0.0	0.97	3716.2	3039.3	2255.7	3564.78	2502.97	2645.74	1923.14	2075.59	12676.65	4802.93	8479.89	2645.74	2319.15	3325.99	2591.27	4671.57	3190.46	2758.13	13399.51	3303.0	2075.59	3124.78	1819.35	2133.97	3146.52	7857.29	5112.16	6792.79	3955.48	5255.91	4419.52	5791.62	3349.13
CD34	28.65	470.14	170.25	161.02	193.01	287.01	289.02	289.02	156.59	57.08	164.42	500.46	75.11	167.9	241.19	191.67	127.89	389.72	1617.0	860.08	2090.03	0.0	0.0	1977.24	2701.35	967.76	836.53	825.0	8078.22	3742.05	6294.04	1051.79	3982.99	1857.6	3639.7	2520.38	5076.84	708.18	1819.35	1844.76	1950.0	5183.54	3874.05	2816.11	743.43	1896.65	2133.97	7966.99	1745.2	3443.31	1259.69	1572.76	351.14	1498.22	1896.65	2573.36
CD74	131071.0	397335.0	89523.81	165904.25	108699.57	146444.06	265802.39	118949.35	96616.71	110983.6	180294.02	149521.18	160252.91	147462.67	163620.18	273275.14	43236.64	128373.58	443937.41	437825.58	466008.55	0.0	1.08	527933.71	726195.27	1196176.45	502929.67	682276.92	147462.67	585779.24	338781.54	619179.28	520665.48	757033.75	313910.86	1019901.63	482442.34	932018.1	475800.4	1503610.06	305326.92	422911.59	1229805.58	397335.0	649962.87	437825.58	741454.2	513497.31	554180.87	610654.84	550352.86	593956.43	1877002.62	636586.81	1196176.45	531605.79
CLEC11A	107.38	170.25	279.14	94.01	117.6	77.79	115.16	190.34	105.89	97.36	99.43	111.99	112.77	159.9	108.14	75.64	143.01	144.01	84.63	64.8	244.57	0.0	0.39	381.68	287.01	211.31	146.03	1135.2	323.03	312.0	212.78	129.69	507.46	493.56	199.85	102.25	457.25	223.41	269.6	334.46	255.0	182.55	301.33	384.34	130.6	217.27	497.0	249.73	151.22	82.29	287.01	151.22	336.79	187.71	358.54	253.23
CLEC14A	9.13	182.55	95.34	49.91	44.57	101.54	185.11	126.12	63.45	21.63	55.89	143.01	29.7	49.56	98.04	114.36	49.56	134.3	723.08	363.56	878.17	0.0	0.25	2271.4	2796.65	249.73	1896.65	802.41	2485.67	2875.3	4152.18	2224.63	1991.0	1322.37	3901.01	438.59	2739.08	397.93	1883.54	902.89	2796.65	3018.3	2701.35	1350.18	540.19	1304.15	921.88	3303.0	2319.15	3614.55	1529.73	599.49	1832.01	2090.03	1208.34	1359.57
CNTN4	0.0	6.89	4.17	2.84	1.3	9.13	9.63	6.73	3.66	0.64	3.5	4.86	30.12	3.06	14.45	10.96	5.15	3.92	23.76	15.22	87.03	0.0	0.28	27.64	87.03	24.99	162.14	96.68	334.46	236.21	170.25	24.11	31.9	68.55	435.55	59.13	356.05	44.89	136.19	348.71	159.9	156.59	33.3	55.1	27.05	96.68	63.89	45.21	39.79	37.59	36.01	166.73	40.64	24.63	104.42	244.57
COL14A1	2.97	94.67	22.43	11.04	17.51	67.12	45.21	48.87	16.39	4.17	15.34	81.71	18.29	17.77	93.35	87.03	23.08	92.05	25.91	4.74	371.22	0.0	0.33	693.58	532.74	353.59	248.0	2502.97	1143.1	703.28	909.17	105.89	1015.93	1519.15	1216.75	708.18	1322.37	125.24	1674.06	1551.09	497.0	651.58	830.75	1457.23	251.48	995.0	476.71	403.5	860.08	563.18	426.57	633.73	633.73	232.94	1896.65	1242.34
COL8A1	43.94	176.29	30.78	13.32	23.25	49.91	72.01	77.79	20.56	10.47	11.91	46.18	3.82	316.37	39.5	49.56	19.39	42.71	149.12	51.71	1313.23	141.02	76.17	454.09	638.15	688.78	3168.41	11189.6	3443.31	890.44	808.0	647.07	40.36	1417.35	1963.57	361.04	961.07	269.6	2133.97	1639.59	1066.48	3303.0	808.0	555.41	872.1	1529.73	591.22	947.83	2502.97	830.75	802.41	2816.11	224.97	3018.3	988.12	753.83
CRHBP	0.0	0.67	0.0	2.81	0.33	5.02	3.06	5.23	0.23	1.51	0.28	1.83	0.0	2.25	2.97	3.41	2.32	0.0	25.35	21.63	42.11	0.0	0.09	18.29	14.67	3.66	36.01	4.03	27.25	12.09	12.93	9.63	26.28	42.11	15.91	7.34	26.67	4.58	21.78	9.63	23.93	6.52	50.98	42.71	0.03	31.45	53.95	17.77	15.8	19.68	10.55	22.59	50.27	21.32	30.12	5.54
CYP2U1	8.45	22.26	10.88	13.83	37.59	24.99	35.76	32.82	17.9	9.13	24.11	14.14	19.39	8.58	36.79	15.0	9.13	14.56	73.03	71.5	154.42	0.0	0.12	162.14	65.26	37.32	171.45	115.97	454.09	241.19	373.81	121.79	128.79	279.14	373.81	51.71	301.33	25.35	171.45	80.57	267.73	148.09	85.82	186.4	77.79	267.73	46.18	256.78	164.42	237.86	157.68	78.89	73.54	39.22	71.0	58.3
CYYR1	2.66	77.25	31.9	34.51	31.22	38.95	68.55	61.25	291.04	8.51	25.91	63.45	11.38	26.28	46.5	55.1	35.0	70.01	351.14	139.07	400.71	0.0	0.17	915.51	591.22	420.68	1208.34	287.01	2701.35	1096.5	1498.22	318.57	753.83	629.35	1806.78	591.22	1857.6	255.0	665.29	409.15	1529.73	854.13	665.29	629.35	295.11	651.58	587.13	848.22	470.14	1322.37	423.61	397.93	224.97	1477.58	563.18	551.56
DAAM2	2.1	28.04	5.82	2.25	8.32	12.83	16.03	15.45	6.31	6.52	9.7	19.53	45.53	9.27	6.84	13.72	17.38	22.43	52.82	59.55	358.54	0.0	0.57	136.19	161.02	9.63	234.57	684.02	642.59	540.19	395.18	693.58	172.65	708.18	571.05	69.52	1757.34	50.27	351.14	204.07	500.46	665.29	255.0	142.01	31.22	262.2	62.56	587.13	967.76	159.9	974.5	215.77	255.0	75.64	371.22	497.0
DHH	0.0	5.82	2.53	2.18	0.0	3.89	2.53	1.55	0.99	0.26	0.91	3.66	0.0	1.43	2.68	4.31	0.72	2.23	3.26	1.57	13.42	0.0	0.0	21.32	2.71	0.95	20.11	6.36	35.5	0.0	18.16	25.35	18.16	16.39	30.78	15.45	10.55	15.34	9.93	10.39	28.65	4.9	5.23	15.91	3.41	17.64	6.21	7.63	24.11	11.55	10.71	7.46	2.56	14.24	9.7	6.36
DMD	128.79	38.95	64.34	23.76	84.63	11.91	104.42	57.89	2.97	3.06	4.94	5.77	38.12	20.26	8.99	8.65	8.85	69.52	59.97	92.7	223.41	0.0	0.42	76.17	215.77	124.37	387.02	384.34	698.41	435.55	275.28	139.07	100.83	201.25	1388.16	314.17	293.07	152.28	191.67	429.54	540.19	215.77	320.8	170.25	336.79	329.84	135.24	444.72	124.37	198.47	101.54	191.67	96.68	109.66	208.38	511.0
EBF1	2.94	21.78	12.09	5.68	8.92	10.31	17.64	15.34	6.89	1.83	8.99	14.56	8.45	7.57	28.24	21.01	4.94	25.54	49.56	35.25	166.73	0.0	0.29	65.26	108.14	19.25	102.25	129.69	435.55	100.13	151.22	74.06	51.71	142.01	175.07	62.56	351.14	37.85	101.54	104.42	153.34	126.12	108.14	63.45	25.72	42.41	90.77	74.06	206.94	46.84	74.58	77.79	183.82	41.52	119.26	193.01
EFNB3	0.89	8.19	9.85	0.96	28.04	6.31	4.94	2.66	0.6	7.46	1.64	3.56	0.65	0.97	1.64	2.34	2.89	2.27	2.68	3.5	10.79	0.0	0.0	41.52	105.15	170.25	15.68	96.01	108.9	54.33	32.82	33.78	73.54	155.5	34.51	75.64	75.11	12.18	27.25	18.29	15.11	111.99	48.52	50.27	206.94	34.75	18.03	105.89	16.51	22.43	48.87	4.21	14.45	34.75	29.48	102.25
EPB41L4A-AS2	1.75	52.45	0.66	23.59	1.3	22.43	25.72	14.03	9.78	5.23	16.15	5.36	24.63	17.13	7.22	63.0	0.83	0.78	50.98	37.85	47.17	0.0	0.06	49.56	34.51	42.71	42.11	23.93	35.25	34.75	44.89	70.01	17.0	49.21	25.72	21.16	58.3	26.47	64.34	28.45	82.29	9.2	26.67	19.68	22.43	17.77	8.19	23.93	55.49	17.9	26.1	4.03	32.59	19.53	19.25	23.42
EPM2A	32.82	35.25	18.43	32.59	25.54	34.02	54.33	28.45	17.0	21.63	47.17	34.51	31.22	39.22	33.78	17.13	29.91	15.56	47.17	36.01	74.06	0.0	0.26	60.39	111.21	99.43	73.03	29.91	113.56	140.04	122.64	134.3	61.68	60.39	180.02	49.21	157.68	42.41	92.7	84.63	102.97	165.57	113.56	38.4	64.8	87.65	63.0	156.59	92.7	58.3	119.26	77.79	115.97	93.35	70.51	49.21
ERMAP	165.57	127.0	115.97	107.38	32.59	193.01	205.5	73.03	90.77	88.88	90.77	29.06	87.65	98.04	116.78	91.41	114.36	71.5	126.12	251.48	289.02	0.0	0.06	412.0	228.13	157.68	215.77	214.27	293.07	312.0	392.44	205.5	400.71	389.72	336.79	81.71	376.41	68.55	251.48	146.03	307.69	197.09	232.94	348.71	90.77	555.41	204.07	351.14	273.37	341.51	361.04	81.71	142.01	111.21	140.04	167.9
EXOC3L2	4.98	64.8	43.94	33.54	24.63	38.95	56.68	58.3	37.32	9.27	21.94	79.45	6.78	27.44	43.63	39.22	12.74	33.3	503.95	73.54	525.39	0.0	0.0	176.29	81.71	120.1	115.16	105.15	157.68	92.7	173.85	153.34	111.99	88.26	80.57	36.01	136.19	143.01	59.13	73.54	156.59	10.88	76.17	129.69	87.03	63.0	82.29	140.04	73.54	90.77	139.07	81.14	15.45	93.35	57.49	53.57
F2R	13.42	201.25	176.29	116.78	246.28	81.71	1199.98	281.09	62.12	78.89	117.6	138.1	30.56	65.26	120.1	143.01	186.4	420.68	536.45	587.13	1340.84	0.0	0.26	466.88	595.34	403.5	928.3	260.38	1143.1	620.67	1066.48	1119.56	358.54	1191.69	954.43	412.0	1498.22	435.55	961.07	1143.1	981.29	1331.57	514.56	432.53	287.01	571.05	785.88	1051.79	1119.56	287.01	397.93	842.36	1208.34	688.78	921.88	896.64
FAM124B	0.0	9.78	4.46	11.47	2.86	5.02	5.28	3.96	4.13	0.91	1.99	3.59	0.96	2.46	4.98	2.39	4.06	10.31	22.92	16.03	21.94	0.0	0.0	133.36	31.67	14.89	63.0	50.63	166.73	34.51	363.56	69.03	172.65	86.43	170.25	16.75	95.34	18.43	86.43	48.52	205.5	118.43	69.52	156.59	27.64	93.35	21.94	92.05	148.09	147.06	69.03	4.7	70.51	24.28	63.0	29.27
FAM13C	2.36	9.2	8.0	6.62	8.25	7.94	13.62	4.21	4.7	1.3	4.39	10.24	1.97	1.73	8.13	9.06	9.7	16.88	50.63	35.0	107.38	0.0	0.0	202.66	148.09	61.68	435.55	156.59	872.1	417.77	595.34	136.19	166.73	309.83	748.61	151.22	371.22	45.85	162.14	136.19	397.93	353.59	281.09	309.83	69.52	248.0	148.09	387.02	206.94	163.28	104.42	108.14	293.07	109.66	189.02	181.28
FAM155A	1.17	4.9	0.97	1.89	1.28	1.69	1.48	1.39	0.88	0.07	1.35	0.62	0.31	0.57	2.76	1.89	1.08	1.83	1.33	1.58	15.22	3.53	77.79	126.12	63.89	98.73	31.67	63.45	154.42	18.29	36.01	6.67	20.11	30.12	69.03	38.4	48.87	5.02	13.22	36.79	45.85	51.35	44.57	4.82	41.52	13.42	23.93	24.63	28.24	6.73	19.53	10.63	35.5	35.0	41.81	29.27
FAM171A1	1.51	117.6	16.75	6.06	5.5	27.25	36.01	25.54	8.19	3.92	104.42	186.4	141.02	93.35	30.34	132.44	152.28	18.43	473.41	133.36	212.78	0.0	0.53	500.46	178.77	28.86	242.88	100.13	1104.13	1183.45	1066.48	120.94	389.72	723.08	1250.98	180.02	571.05	29.48	320.8	79.45	854.13	320.8	373.81	665.29	60.39	209.84	93.35	426.57	305.55	353.59	187.71	178.77	27.84	133.36	343.89	208.38
FAM171B	20.56	13.83	9.63	0.99	25.91	4.06	6.46	6.11	1.36	0.82	3.96	6.73	2.41	1.87	3.63	8.45	2.84	9.85	12.18	6.01	30.34	37.05	60.39	32.36	36.79	30.78	13.22	39.22	204.07	67.59	100.13	6.84	13.22	52.08	88.26	28.04	50.98	75.11	32.59	18.7	30.78	69.03	36.79	64.34	25.72	60.82	68.55	58.3	11.38	24.46	18.7	79.45	13.62	31.67	94.01	47.84
FAM43B	0.0	6.46	3.17	0.64	0.64	1.04	1.04	0.85	0.2	0.45	0.25	2.58	0.0	0.78	1.39	3.2	1.08	0.79	2.34	1.6	2.89	0.0	0.01	2.32	4.66	24.99	0.87	10.31	20.56	7.69	3.29	2.56	8.51	10.16	3.56	3.35	18.84	4.03	20.56	22.1	11.04	5.06	13.22	5.96	2.32	4.1	2.51	3.76	4.82	5.92	3.11	3.56	3.92	11.04	12.27	5.45
FBLN2	66.65	223.41	202.66	58.71	91.41	194.36	599.49	420.68	78.34	62.56	58.71	187.71	40.64	669.92	189.02	260.38	49.91	265.87	70.51	57.89	392.44	229.72	108.9	825.0	808.0	351.14	228.13	2664.15	4607.24	961.07	764.36	208.38	616.37	1819.35	547.75	954.43	4937.99	121.79	1199.98	1487.87	1015.93	684.02	1259.69	1135.2	248.0	406.31	713.11	514.56	1378.57	500.46	1304.15	647.07	500.46	595.34	1697.45	1233.75
FBXL7	5.28	29.48	12.45	6.36	8.32	12.36	16.39	22.59	6.89	2.63	9.63	15.34	2.78	8.78	14.89	14.78	8.25	35.25	142.01	90.14	139.07	0.0	0.52	94.01	265.87	113.56	209.84	167.9	1073.91	429.54	532.74	93.35	80.01	226.54	540.19	256.78	532.74	277.2	116.78	336.79	226.54	532.74	423.61	97.36	68.55	95.34	218.79	264.03	177.53	120.1	98.73	423.61	65.72	309.83	460.44	255.0
FBXO30	31.0	45.53	30.12	46.5	60.39	38.12	58.71	48.52	33.06	50.98	53.95	41.52	38.67	53.57	59.13	65.26	37.32	60.39	57.08	64.8	89.51	0.0	0.39	74.58	73.03	109.66	120.1	64.34	146.03	122.64	136.19	43.63	58.71	65.72	142.01	43.02	82.87	43.32	94.67	54.72	142.01	77.79	95.34	98.04	79.45	149.12	61.68	90.14	53.95	55.89	45.85	61.25	68.07	41.52	60.82	36.27
FCN2	0.0	0.66	0.0	0.0	0.0	0.45	0.78	0.0	0.0	0.0	0.0	0.0	0.43	0.79	0.0	0.85	0.0	0.0	43.32	0.0	1.89	0.0	0.04	3.5	1.31	3.96	2.03	7.82	3.5	2.2	2.07	2.68	3.82	2.73	1.57	5.02	5.68	1.01	0.74	5.36	2.66	1.95	0.0	20.71	0.77	0.0	1.01	1.0	1.38	0.0	1.33	1.01	1.45	0.99	3.69	0.0
