	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6603.11A.02R.1839.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6601.11A.01R.1774.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.146FQ.1926.SM.5NQBY	GTEX.QDVN.1326.SM.48TZ3	GTEX.QMRM.1226.SM.447C6	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11NUK.1726.SM.5A5L2	GTEX.113JC.1026.SM.5H117	GTEX.13FLV.1326.SM.5L3EJ	GTEX.13G51.1026.SM.5K7YQ	GTEX.RTLS.1226.SM.46MUP	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.14BMV.1426.SM.5S2WA	GTEX.117YW.2026.SM.5N9BH	GTEX.QLQW.1626.SM.4R1K1	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.7703.01A.11R.2055.13	TCGA.BR.7717.01A.11R.2055.13	GTEX.13N1W.2026.SM.5K7YU
BSPRY	82.29	82.87	144.01	137.14	381.68	94.01	5.59	629.35	842.36	620.67	45.21	8.32	0.0	0.0	202.66	29.06	10.0	10.71	15.56	29.27	5.96	12.09	24.63	15.22	3.96	55.1	211.31	125.24	63.45	1477.58	363.56	22.1
C11orf48	1923.14	1870.53	2434.5	1936.53	1991.0	2004.85	1304.15	3955.48	4388.98	3419.52	1572.76	1561.89	954.43	878.17	1216.75	688.78	785.88	995.0	1277.29	612.11	1037.29	1088.92	802.41	1088.92	748.61	1340.84	2701.35	1963.57	1529.73	2875.3	3820.7	791.35
C16orf91	457.25	366.09	371.22	417.77	351.14	384.34	323.03	674.59	457.25	642.59	228.13	368.65	267.73	279.14	269.6	170.25	166.73	215.77	214.27	146.03	197.09	215.77	186.4	239.52	197.09	258.57	507.46	389.72	429.54	607.87	381.68	92.7
C1QBP	3794.3	2664.15	2835.7	3372.43	3018.3	3419.52	2163.77	8718.32	7485.11	7130.55	3742.05	3235.01	1685.71	1806.78	1857.6	1322.37	1073.91	1397.83	1216.75	1487.87	1088.92	1233.75	915.51	1529.73	1572.76	1378.57	5555.65	2835.7	3280.18	5255.91	3874.05	988.12
C2ORF15	27.05	17.38	21.63	16.03	33.78	15.56	1.19	69.03	52.08	55.1	14.78	3.14	2.01	3.03	8.25	21.94	7.94	2.94	4.94	7.17	42.11	8.85	7.17	13.22	11.73	9.93	149.12	23.25	15.56	96.68	87.03	7.28
C2orf47	281.09	353.59	299.25	460.44	351.14	460.44	237.86	842.36	595.34	674.59	255.0	215.77	176.29	191.67	239.52	205.5	127.89	141.02	125.24	167.9	161.02	194.36	144.01	186.4	186.4	142.01	836.53	361.04	281.09	503.95	540.19	88.26
CCDC43	403.5	256.78	305.55	253.23	283.05	262.2	239.52	392.44	412.0	348.71	316.37	229.72	211.31	212.78	202.66	115.16	110.43	172.65	118.43	137.14	204.07	166.73	122.64	226.54	137.14	166.73	460.44	248.0	258.57	379.04	323.03	69.52
CCDC47	1073.91	1340.84	1119.56	1242.34	1628.26	1378.57	759.08	1617.0	2032.85	1883.54	665.29	981.29	819.3	830.75	878.17	1066.48	679.29	432.53	819.3	947.83	420.68	620.67	591.22	493.56	511.0	532.74	2777.33	1322.37	1674.06	1594.73	1651.0	1183.45
CDK4	3665.02	2047.0	2777.33	2997.45	2255.7	2434.5	3103.19	2976.74	3325.99	3564.78	3665.02	3190.46	1923.14	1662.49	1745.2	1697.45	1208.34	1745.2	1277.29	1388.16	1427.22	1417.35	1277.29	1359.57	1143.1	1745.2	4181.07	2627.46	2720.15	3742.05	4607.24	1457.23
CECR5	941.27	718.08	679.29	764.36	759.08	848.22	638.15	1175.27	1143.1	1286.18	665.29	575.03	493.56	493.56	536.45	132.44	400.71	483.38	289.02	283.05	514.56	633.73	490.14	575.03	295.11	460.44	808.0	575.03	679.29	1242.34	624.99	152.28
CHMP4C	15.68	100.83	49.56	96.01	112.77	189.02	0.0	603.67	490.14	571.05	80.01	0.6	14.89	0.0	27.84	13.32	7.28	17.77	12.36	14.45	12.93	26.47	17.51	26.86	5.45	16.75	299.25	45.85	105.15	1216.75	414.87	14.24
CLN6	728.11	521.76	612.11	470.14	620.67	525.39	329.84	1225.22	981.29	1096.5	483.38	341.51	309.83	249.73	256.78	111.21	343.89	555.41	159.9	181.28	567.1	403.5	403.5	381.68	309.83	339.14	1023.0	713.11	624.99	1639.59	2417.67	149.12
CLNS1A	2090.03	1388.16	1685.71	2193.99	1540.37	1923.14	1697.45	2739.08	2609.3	2061.24	1617.0	1508.65	1340.84	1135.2	1417.35	1073.91	928.3	1183.45	866.07	1313.23	1135.2	1127.35	1059.11	1001.93	928.3	1313.23	2209.26	1794.29	1896.65	2609.3	3564.78	866.07
CLPP	1561.89	1286.18	1709.26	1498.22	1529.73	1628.26	1417.35	2520.38	2875.3	2004.85	1250.98	1286.18	1030.12	1081.39	1081.39	915.51	780.44	1081.39	854.13	1143.1	808.0	1073.91	713.11	1250.98	842.36	1277.29	2335.28	1397.83	1331.57	2701.35	2255.7	854.13
CNOT11	660.68	660.68	674.59	728.11	819.3	830.75	595.34	1135.2	1127.35	1023.0	693.58	511.0	406.31	435.55	529.06	346.29	336.79	403.5	363.56	273.37	441.64	423.61	293.07	480.04	368.65	373.81	878.17	718.08	743.43	1216.75	947.83	271.48
COA4	1304.15	1295.13	1498.22	1359.57	1397.83	1340.84	995.0	2720.15	2287.2	2434.5	995.0	1167.14	947.83	921.88	1030.12	633.73	547.75	603.67	848.22	603.67	571.05	866.07	460.44	780.44	532.74	651.58	1769.57	1407.55	1216.75	1769.57	2739.08	599.49
DCTPP1	575.03	1023.0	1096.5	1151.06	1721.16	1519.15	429.54	3794.3	3372.43	3665.02	567.1	693.58	384.34	406.31	420.68	214.27	327.56	551.56	307.69	287.01	387.02	384.34	400.71	397.93	256.78	579.04	2777.33	1407.55	1037.29	2367.9	1529.73	209.84
DDA1	1066.48	1088.92	1066.48	995.0	1143.1	1104.13	954.43	1639.59	1519.15	1540.37	1127.35	1051.79	842.36	954.43	759.08	571.05	540.19	769.69	748.61	941.27	638.15	759.08	540.19	785.88	753.83	688.78	1143.1	1167.14	1242.34	1733.13	1059.11	947.83
DPP3	457.25	607.87	759.08	633.73	1001.93	902.89	198.47	1733.13	1628.26	1477.58	780.44	400.71	239.52	164.42	269.6	208.38	185.11	242.88	244.57	249.73	309.83	285.03	289.02	236.21	348.71	285.03	1023.0	1037.29	669.92	1498.22	1651.0	332.14
DSG2	299.25	836.53	161.02	406.31	813.63	351.14	4.5	2739.08	2400.97	2895.31	249.73	71.5	7.63	1.33	82.87	260.38	42.71	21.47	23.76	62.12	20.56	74.06	33.3	35.0	35.76	31.9	1977.24	423.61	607.87	2255.7	599.49	62.56
DTYMK	624.99	361.04	551.56	540.19	518.15	486.75	348.71	1378.57	1397.83	1135.2	848.22	303.44	217.27	226.54	232.94	107.38	343.89	299.25	181.28	236.21	397.93	283.05	323.03	426.57	285.03	389.72	1359.57	603.67	417.77	954.43	1651.0	116.78
EEF1E1	642.59	343.89	348.71	392.44	384.34	329.84	332.14	551.56	679.29	651.58	503.95	397.93	320.8	293.07	412.0	208.38	279.14	283.05	258.57	212.78	204.07	339.14	253.23	289.02	297.17	356.05	1369.04	379.04	346.29	860.08	1378.57	185.11
EIF4E2	1551.09	1594.73	1583.71	1313.23	1617.0	1388.16	1008.9	2555.58	2240.11	1844.76	1242.34	1111.82	1023.0	961.07	902.89	698.41	723.08	1015.93	607.87	974.5	1044.52	825.0	780.44	1044.52	842.36	947.83	2255.7	1662.49	1447.15	1963.57	2104.58	813.63
EIF6	3443.31	4038.61	2915.45	3349.13	3395.89	3212.66	2209.26	7433.4	5403.7	6471.02	2976.74	2319.15	1397.83	1639.59	1832.01	1359.57	1508.65	1896.65	1883.54	1651.0	1896.65	1572.76	1651.0	1781.89	1651.0	1745.2	6337.83	3395.89	3124.78	5292.48	7642.41	2004.85
EMC8	521.76	444.72	518.15	423.61	521.76	483.38	417.77	934.76	743.43	902.89	698.41	575.03	438.59	409.15	376.41	320.8	400.71	409.15	447.82	316.37	441.64	438.59	389.72	518.15	363.56	486.75	688.78	511.0	466.88	995.0	708.18	312.0
ERP29	2758.13	2468.49	3955.48	3039.3	2609.3	3060.45	2485.67	4575.41	5076.84	3540.14	1561.89	1233.75	1143.1	819.3	1662.49	1199.98	967.76	1350.18	961.07	1529.73	1242.34	1397.83	1044.52	1159.07	947.83	1417.35	6079.61	3443.31	2777.33	3540.14	6699.25	1183.45
EXOSC1	830.75	638.15	915.51	854.13	693.58	688.78	748.61	819.3	995.0	819.3	612.11	551.56	603.67	529.06	674.59	638.15	559.28	532.74	500.46	529.06	612.11	743.43	511.0	733.19	629.35	718.08	595.34	759.08	647.07	1044.52	1457.23	551.56
EXOSC4	842.36	587.13	599.49	555.41	688.78	571.05	555.41	1199.98	1044.52	1216.75	579.04	647.07	379.04	358.54	435.55	293.07	237.86	406.31	412.0	305.55	368.65	384.34	299.25	346.29	353.59	476.71	1151.06	638.15	536.45	1088.92	1832.01	249.73
EXOSC5	490.14	420.68	400.71	507.46	450.94	473.41	320.8	540.19	599.49	624.99	633.73	303.44	223.41	251.48	246.28	157.68	223.41	218.79	137.14	220.32	241.19	215.77	231.32	211.31	327.56	371.22	679.29	426.57	438.59	1331.57	1159.07	120.1
FAM103A1	384.34	400.71	376.41	460.44	420.68	423.61	406.31	514.56	521.76	575.03	389.72	248.0	255.0	269.6	329.84	211.31	150.17	269.6	275.28	206.94	194.36	195.72	161.02	217.27	211.31	242.88	454.09	497.0	381.68	536.45	780.44	93.35
FAM86A	271.48	264.03	242.88	211.31	273.37	279.14	215.77	325.29	339.14	320.8	167.9	208.38	167.9	155.5	180.02	59.97	88.26	124.37	75.64	116.78	185.11	134.3	116.78	127.89	116.78	135.24	423.61	234.57	234.57	376.41	426.57	59.55
FAM86C1	126.12	114.36	118.43	108.9	126.12	119.26	114.36	144.01	96.68	169.07	368.65	110.43	94.67	71.5	66.18	18.56	39.22	53.95	14.56	45.53	80.01	80.01	38.12	67.59	74.06	62.12	253.23	88.88	74.06	84.63	285.03	45.85
FANCF	87.65	100.13	127.0	126.12	154.42	113.56	49.91	189.02	163.28	176.29	81.71	44.89	57.89	31.9	68.07	7.57	26.1	38.95	15.34	17.38	48.18	47.84	30.12	64.34	30.78	49.91	190.34	81.71	53.57	124.37	177.53	8.0
FARSA	1151.06	1096.5	1073.91	808.0	1225.22	1135.2	780.44	2047.0	1733.13	1832.01	995.0	532.74	595.34	460.44	551.56	521.76	429.54	547.75	406.31	353.59	559.28	480.04	500.46	514.56	497.0	595.34	1397.83	1037.29	954.43	1733.13	1233.75	361.04
FDXACB1	49.21	24.81	33.3	32.59	33.3	38.12	18.03	53.19	44.25	46.5	26.86	32.82	20.71	13.52	18.56	2.97	21.32	16.88	9.41	10.24	30.78	21.01	15.91	21.01	8.65	25.35	65.72	34.02	40.93	43.94	61.68	6.11
FLNA	358098.26	368165.8	155870.75	260332.24	135693.24	208544.12	1634025.56	24832.5	18304.63	33922.56	419990.32	513497.31	811368.76	1393227.06	649962.87	209994.66	233003.78	336441.4	228208.61	215898.44	313910.86	275175.93	251464.33	299043.36	334117.42	296977.71	9945.68	191899.64	249727.34	6164.49	18431.96	180294.02
FXN	429.54	283.05	348.71	339.14	334.46	366.09	277.2	497.0	532.74	429.54	329.84	255.0	167.9	283.05	256.78	275.28	295.11	228.13	144.01	206.94	361.04	223.41	221.86	166.73	295.11	212.78	684.02	262.2	267.73	947.83	713.11	120.94
GAR1	579.04	490.14	532.74	460.44	532.74	441.64	376.41	866.07	708.18	1001.93	503.95	493.56	277.2	309.83	316.37	167.9	253.23	297.17	180.02	185.11	320.8	273.37	343.89	269.6	275.28	307.69	651.58	529.06	571.05	981.29	1119.56	58.71
GINS2	49.21	27.84	89.51	56.68	69.52	83.45	5.92	591.22	450.94	327.56	181.28	82.87	8.85	3.86	8.45	2.32	13.42	25.91	11.73	11.82	14.03	15.91	24.46	8.32	22.59	17.77	187.71	128.79	95.34	327.56	208.38	7.4
GINS4	46.18	25.91	58.3	27.84	47.84	36.01	9.93	146.03	199.85	85.82	79.45	15.91	12.36	9.27	18.29	23.42	13.83	10.0	5.87	21.16	14.89	12.93	14.67	7.46	31.0	12.27	242.88	40.36	53.95	90.77	115.97	61.25
GLYCTK	248.0	98.73	283.05	314.17	255.0	353.59	35.0	1437.15	743.43	1023.0	53.95	58.3	78.34	36.79	100.13	38.12	111.99	51.35	29.48	41.22	71.0	144.01	123.5	127.89	49.91	100.13	511.0	164.42	135.24	389.72	346.29	45.21
GNPDA1	698.41	511.0	796.86	743.43	454.09	674.59	769.69	473.41	543.96	555.41	669.92	579.04	607.87	543.96	403.5	287.01	314.17	389.72	228.13	392.44	387.02	316.37	363.56	260.38	361.04	432.53	1769.57	486.75	507.46	753.83	902.89	376.41
GRPEL1	890.44	665.29	684.02	703.28	802.41	813.63	543.96	1417.35	1208.34	1199.98	493.56	473.41	571.05	629.35	583.07	412.0	297.17	299.25	547.75	373.81	223.41	389.72	269.6	329.84	327.56	277.2	1561.89	723.08	860.08	1388.16	1044.52	351.14
GSTO2	165.57	96.01	148.09	159.9	221.86	130.6	26.86	1175.27	718.08	480.04	115.97	19.25	5.54	3.26	120.1	50.98	58.71	21.63	15.8	58.3	92.05	47.17	29.27	26.28	52.82	32.13	915.51	122.64	105.15	2075.59	1583.71	62.12
HDHD1	221.86	256.78	376.41	454.09	283.05	267.73	144.01	633.73	500.46	454.09	115.97	115.97	111.21	141.02	164.42	41.52	159.9	145.02	78.34	67.59	193.01	208.38	79.45	154.42	139.07	130.6	466.88	379.04	285.03	248.0	149.12	24.63
HMOX2	1417.35	1397.83	1143.1	1044.52	1388.16	1268.46	941.27	1991.0	2104.58	1870.53	454.09	753.83	438.59	511.0	1295.13	629.35	842.36	1001.93	1167.14	738.29	967.76	941.27	764.36	909.17	825.0	1088.92	2287.2	1407.55	1175.27	2935.74	2417.67	583.07
HSBP1L1	356.05	275.28	376.41	480.04	896.64	718.08	194.36	1001.93	842.36	988.12	435.55	171.45	201.25	154.42	255.0	293.07	265.87	356.05	301.33	323.03	353.59	420.68	218.79	426.57	228.13	387.02	320.8	567.1	325.29	825.0	1127.35	123.5
IL1RL2	42.71	17.25	25.17	8.65	23.59	17.38	4.9	32.59	17.25	28.24	69.52	20.26	9.48	1.99	3.96	5.92	5.82	5.87	5.41	1.75	7.57	8.99	8.13	6.89	6.06	6.78	81.14	9.78	15.34	34.26	90.77	3.26
KCNK1	318.57	323.03	138.1	155.5	253.23	149.12	19.25	866.07	679.29	753.83	84.63	115.97	9.56	0.1	50.98	125.24	54.72	37.59	38.12	60.39	38.67	73.54	73.03	40.36	13.72	93.35	620.67	332.14	358.54	1081.39	1111.82	105.15
KRTCAP3	63.0	363.56	651.58	518.15	642.59	1008.9	4.43	4639.29	4639.29	3716.2	133.36	409.15	3.08	0.0	194.36	52.82	78.34	48.18	59.13	49.91	92.05	119.26	98.04	71.5	82.29	100.13	476.71	366.09	500.46	3589.58	6079.61	43.94
LLPH	713.11	660.68	759.08	713.11	660.68	629.35	555.41	1119.56	1073.91	954.43	703.28	669.92	587.13	547.75	543.96	316.37	232.94	309.83	363.56	358.54	295.11	325.29	269.6	381.68	325.29	438.59	896.64	669.92	629.35	1023.0	759.08	218.79
LMAN2	2502.97	2335.28	2835.7	2777.33	3257.52	3168.41	1519.15	4671.57	6079.61	4543.8	1936.53	1340.84	1286.18	802.41	1457.23	1167.14	1259.69	1331.57	1008.9	1561.89	1208.34	1617.0	1447.15	1216.75	1304.15	1651.0	5711.87	3372.43	2777.33	4328.55	2976.74	1242.34
MARS2	54.72	86.43	73.54	91.41	189.02	122.64	25.35	287.01	228.13	291.04	43.63	47.5	63.89	31.45	75.11	21.32	30.78	17.77	45.21	25.54	31.22	33.54	22.43	35.76	15.56	29.48	211.31	70.01	181.28	226.54	136.19	14.35
MCUR1	361.04	248.0	285.03	285.03	275.28	229.72	241.19	371.22	400.71	371.22	351.14	376.41	228.13	220.32	191.67	117.6	164.42	212.78	214.27	224.97	228.13	181.28	226.54	221.86	178.77	279.14	438.59	379.04	303.44	316.37	587.13	239.52
MDH2	4095.0	4450.27	4388.98	5329.3	5441.3	5672.41	4671.57	9344.14	9740.98	8598.28	3235.01	3716.2	2777.33	4010.71	3060.45	2573.36	1909.85	3081.75	3146.52	3060.45	2417.67	2835.7	1844.76	2895.31	3303.0	2645.74	6792.79	4869.99	4704.07	9673.69	4769.75	3419.52
MIOS	232.94	242.88	237.86	239.52	281.09	256.78	187.71	275.28	283.05	309.83	406.31	183.82	170.25	99.43	363.56	187.71	166.73	197.09	170.25	164.42	212.78	224.97	150.17	246.28	137.14	175.07	902.89	291.04	224.97	301.33	273.37	145.02
MMAA	177.53	119.26	180.02	158.79	110.43	108.9	54.72	373.81	341.51	275.28	124.37	124.37	83.45	49.21	69.52	102.25	68.55	63.89	68.55	75.11	52.82	67.12	76.17	86.43	28.45	88.26	241.19	111.21	134.3	289.02	193.01	37.32
MRPL13	974.5	674.59	802.41	1151.06	808.0	1001.93	620.67	1923.14	1923.14	1844.76	791.35	764.36	518.15	525.39	612.11	435.55	366.09	476.71	426.57	403.5	463.65	529.06	400.71	470.14	403.5	414.87	1250.98	934.76	884.29	988.12	1268.46	281.09
MRPL37	1651.0	1277.29	1561.89	1447.15	1561.89	1617.0	1191.69	3060.45	3372.43	2468.49	1529.73	1030.12	947.83	947.83	921.88	791.35	708.18	1073.91	703.28	915.51	825.0	974.5	785.88	967.76	890.44	1023.0	2351.53	1551.09	1407.55	2701.35	2240.11	698.41
MRPL4	1417.35	1369.04	1417.35	1447.15	1594.73	1572.76	1417.35	3280.18	2555.58	2777.33	1870.53	1519.15	988.12	1277.29	1127.35	723.08	878.17	1340.84	1008.9	934.76	1295.13	1111.82	896.64	1233.75	1023.0	1242.34	2224.63	1407.55	1359.57	3372.43	1832.01	647.07
MRPL44	493.56	412.0	473.41	638.15	480.04	571.05	358.54	967.76	954.43	890.44	397.93	295.11	277.2	256.78	265.87	226.54	128.79	232.94	220.32	173.85	206.94	251.48	183.82	267.73	221.86	289.02	1199.98	571.05	406.31	684.02	629.35	226.54
MRPL50	291.04	164.42	220.32	258.57	191.67	182.55	242.88	329.84	295.11	309.83	155.5	183.82	212.78	206.94	193.01	126.12	206.94	182.55	226.54	125.24	148.09	147.06	212.78	182.55	139.07	169.07	500.46	209.84	231.32	490.14	426.57	72.52
MRPL9	1467.37	1167.14	1259.69	1369.04	1135.2	1242.34	1242.34	1721.16	1304.15	1378.57	1457.23	1540.37	981.29	1088.92	1023.0	518.15	620.67	791.35	438.59	836.53	902.89	928.3	624.99	988.12	909.17	1044.52	1183.45	1250.98	1135.2	1359.57	2777.33	571.05
MRPS10	587.13	575.03	559.28	642.59	503.95	575.03	674.59	733.19	748.61	718.08	1023.0	536.45	567.1	780.44	583.07	435.55	336.79	480.04	316.37	376.41	299.25	387.02	325.29	376.41	397.93	403.5	1088.92	555.41	521.76	1088.92	1135.2	447.82
MRPS12	785.88	830.75	878.17	915.51	995.0	1023.0	587.13	1950.0	2193.99	2018.8	703.28	743.43	444.72	348.71	563.18	406.31	389.72	595.34	620.67	343.89	466.88	555.41	395.18	616.37	423.61	693.58	1870.53	915.51	738.29	1896.65	1477.58	197.09
MRPS18B	1208.34	934.76	1295.13	1583.71	1191.69	1369.04	1088.92	1769.57	1745.2	1733.13	934.76	791.35	759.08	698.41	909.17	559.28	567.1	769.69	503.95	480.04	684.02	651.58	612.11	802.41	629.35	698.41	2835.7	1216.75	1059.11	1286.18	1721.16	384.34
MRPS2	1378.57	1015.93	1167.14	1059.11	1143.1	1127.35	1001.93	2133.97	1806.78	2032.85	1001.93	902.89	703.28	764.36	728.11	497.0	486.75	769.69	748.61	595.34	629.35	819.3	536.45	764.36	563.18	808.0	2047.0	967.76	1008.9	2148.82	1883.54	297.17
MRPS5	1427.22	1135.2	1378.57	1277.29	1529.73	1487.87	1277.29	1733.13	1639.59	1572.76	1073.91	1096.5	819.3	775.05	796.86	961.07	1066.48	1225.22	1111.82	1037.29	1268.46	1295.13	1225.22	1540.37	1208.34	995.0	1477.58	1191.69	967.76	2224.63	2032.85	860.08
MVK	392.44	555.41	563.18	305.55	339.14	253.23	323.03	363.56	1295.13	629.35	473.41	228.13	170.25	195.72	181.28	115.16	234.57	351.14	170.25	155.5	281.09	249.73	283.05	332.14	277.2	314.17	656.11	318.57	269.6	314.17	529.06	101.54
MYO10	110.43	332.14	267.73	166.73	450.94	269.6	37.32	493.56	490.14	400.71	392.44	98.04	82.87	15.91	199.85	84.63	182.55	91.41	64.8	92.7	134.3	142.01	154.42	126.12	66.65	208.38	295.11	279.14	287.01	483.38	579.04	211.31
NABP2	896.64	693.58	872.1	830.75	791.35	759.08	748.61	1225.22	1304.15	1023.0	848.22	647.07	595.34	595.34	591.22	414.87	490.14	426.57	389.72	521.76	583.07	525.39	470.14	511.0	595.34	607.87	995.0	759.08	775.05	915.51	954.43	463.65
NARS2	214.27	198.47	206.94	275.28	246.28	251.48	152.28	348.71	305.55	264.03	194.36	132.44	100.83	144.01	162.14	61.68	173.85	178.77	84.04	140.04	172.65	202.66	249.73	217.27	183.82	157.68	500.46	215.77	248.0	371.22	387.02	31.67
NDC1	209.84	176.29	232.94	169.07	223.41	172.65	97.36	444.72	567.1	463.65	329.84	167.9	100.13	68.55	88.26	50.27	77.79	81.71	50.98	63.45	72.52	75.64	78.89	75.11	65.72	93.35	490.14	224.97	255.0	346.29	275.28	38.12
NDFIP2	287.01	438.59	231.32	660.68	571.05	441.64	87.65	1199.98	1175.27	1175.27	187.71	69.03	82.29	38.4	208.38	191.67	202.66	146.03	150.17	191.67	115.16	195.72	128.79	139.07	136.19	170.25	1781.89	629.35	480.04	915.51	759.08	256.78
NIP7	318.57	285.03	297.17	312.0	406.31	368.65	163.28	567.1	460.44	629.35	303.44	343.89	283.05	197.09	395.18	123.5	150.17	115.16	206.94	138.1	111.21	127.89	83.45	158.79	87.65	125.24	679.29	314.17	423.61	647.07	536.45	67.59
NR2C2AP	466.88	423.61	400.71	454.09	454.09	429.54	351.14	473.41	341.51	543.96	607.87	616.37	327.56	348.71	363.56	152.28	269.6	267.73	186.4	172.65	271.48	332.14	269.6	320.8	275.28	409.15	599.49	454.09	447.82	764.36	575.03	90.14
NSFL1C	1594.73	1819.35	1745.2	1733.13	1519.15	1662.49	1733.13	2032.85	1508.65	1909.85	2255.7	1540.37	1457.23	1572.76	1437.15	934.76	1127.35	1304.15	1088.92	1350.18	1304.15	1127.35	1111.82	1135.2	1277.29	1066.48	2104.58	1769.57	1674.06	1896.65	2573.36	1059.11
NUDT15	255.0	289.02	309.83	323.03	332.14	341.51	142.01	733.19	764.36	693.58	183.82	228.13	141.02	134.3	173.85	124.37	126.12	101.54	96.68	131.51	108.14	108.9	118.43	132.44	126.12	152.28	497.0	392.44	314.17	457.25	559.28	71.5
