	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.139TT.0726.SM.5K7XW	GTEX.OHPK.0526.SM.2HMJB	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.OOBJ.0526.SM.48TDK	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.13O61.0726.SM.5J2MD	GTEX.P4PQ.0526.SM.2HMKR	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.144GO.0226.SM.5LUB1
CAB39	567.1	486.75	493.56	417.77	285.03	309.83	303.44	253.23	327.56	2209.26	379.04	2224.63	854.13	1397.83	1175.27	909.17	872.1	1709.26	1359.57	796.86	1407.55	1540.37	813.63	738.29	3212.66	1883.54	1081.39	928.3	1572.76	607.87	974.5	1096.5	1950.0	1081.39	1769.57	1540.37	1191.69	1733.13	764.36	1769.57	1066.48	543.96	1769.57	1950.0	2367.9	1572.76	2573.36
CAMK2D	241.19	239.52	234.57	67.12	164.42	102.25	78.89	236.21	197.09	563.18	190.34	591.22	400.71	591.22	392.44	251.48	244.57	1639.59	1529.73	231.32	860.08	591.22	316.37	275.28	808.0	575.03	555.41	842.36	591.22	444.72	206.94	483.38	607.87	384.34	575.03	679.29	363.56	1183.45	314.17	599.49	460.44	267.73	301.33	674.59	1175.27	808.0	1059.11
CAMSAP2	108.9	165.57	74.58	57.89	39.22	87.03	28.65	21.94	39.22	921.88	165.57	624.99	403.5	387.02	426.57	204.07	151.22	599.49	583.07	194.36	536.45	293.07	234.57	158.79	480.04	532.74	371.22	389.72	312.0	206.94	181.28	325.29	466.88	258.57	366.09	651.58	277.2	915.51	218.79	285.03	318.57	258.57	215.77	708.18	733.19	470.14	447.82
CDC27	248.0	115.16	202.66	358.54	187.71	146.03	239.52	167.9	334.46	836.53	389.72	947.83	435.55	432.53	438.59	447.82	366.09	620.67	1259.69	409.15	796.86	483.38	423.61	381.68	1059.11	607.87	503.95	607.87	320.8	392.44	429.54	514.56	748.61	500.46	866.07	780.44	511.0	1225.22	265.87	684.02	684.02	384.34	547.75	1088.92	1697.45	830.75	1208.34
DENND5A	718.08	460.44	708.18	551.56	423.61	665.29	397.93	183.82	361.04	2417.67	967.76	1991.0	1111.82	1322.37	2104.58	954.43	848.22	2855.44	3124.78	1175.27	2209.26	1437.15	1066.48	896.64	1745.2	1268.46	1268.46	1617.0	1167.14	1030.12	1066.48	1561.89	1757.34	1023.0	1745.2	1883.54	1151.06	2875.3	1088.92	1313.23	1936.53	981.29	1104.13	2555.58	3395.89	2119.22	3540.14
DR1	212.78	209.84	255.0	323.03	170.25	198.47	242.88	209.84	195.72	1119.56	229.72	872.1	603.67	836.53	490.14	583.07	417.77	463.65	1081.39	400.71	693.58	1073.91	599.49	406.31	769.69	743.43	769.69	902.89	361.04	444.72	454.09	684.02	954.43	665.29	866.07	599.49	791.35	854.13	309.83	1023.0	587.13	305.55	356.05	1008.9	1487.87	909.17	1044.52
EIF4E	379.04	343.89	318.57	206.94	157.68	217.27	118.43	289.02	232.94	1066.48	293.07	642.59	819.3	1051.79	532.74	743.43	620.67	1059.11	1427.22	642.59	842.36	848.22	713.11	521.76	1119.56	785.88	825.0	884.29	540.19	660.68	583.07	759.08	934.76	1015.93	1674.06	825.0	1030.12	1104.13	551.56	1073.91	723.08	591.22	543.96	1540.37	2627.46	1037.29	1225.22
FEM1B	165.57	194.36	176.29	120.1	265.87	153.34	178.77	101.54	155.5	532.74	197.09	571.05	420.68	368.65	307.69	264.03	269.6	381.68	414.87	289.02	738.29	271.48	389.72	320.8	555.41	432.53	435.55	387.02	403.5	314.17	255.0	309.83	802.41	312.0	543.96	575.03	379.04	1167.14	262.2	395.18	295.11	297.17	432.53	395.18	684.02	466.88	748.61
GNA13	318.57	312.0	285.03	341.51	162.14	178.77	136.19	131.51	182.55	1857.6	267.73	954.43	551.56	941.27	872.1	483.38	348.71	785.88	1697.45	466.88	928.3	665.29	444.72	356.05	1015.93	785.88	693.58	1015.93	848.22	275.28	368.65	647.07	1191.69	444.72	890.44	981.29	493.56	2061.24	426.57	961.07	780.44	392.44	571.05	1685.71	2609.3	909.17	1628.26
GPATCH2L	92.7	108.14	75.64	39.5	66.18	81.14	78.34	50.63	56.68	351.14	156.59	224.97	195.72	262.2	373.81	111.21	132.44	239.52	457.25	165.57	297.17	275.28	172.65	94.67	518.15	244.57	248.0	195.72	246.28	159.9	93.35	199.85	343.89	159.9	376.41	353.59	242.88	373.81	151.22	277.2	267.73	155.5	162.14	490.14	371.22	241.19	346.29
HGF	35.25	1.68	94.67	21.32	10.16	53.19	8.78	115.16	341.51	2193.99	80.57	612.11	107.38	217.27	234.57	54.33	41.52	1268.46	1457.23	73.54	866.07	460.44	68.07	58.71	497.0	373.81	297.17	934.76	144.01	91.41	38.4	454.09	277.2	94.67	480.04	1437.15	193.01	915.51	53.19	165.57	486.75	70.51	98.04	1151.06	3325.99	902.89	1044.52
IPMK	42.41	40.36	33.06	31.22	17.13	29.48	25.17	16.51	24.99	239.52	24.99	129.69	60.82	139.07	80.57	50.27	52.08	97.36	211.31	34.02	110.43	82.29	65.26	46.5	52.08	88.26	96.01	80.57	46.5	43.94	47.5	57.89	105.89	49.91	110.43	127.89	73.03	208.38	58.71	88.26	74.06	45.21	85.22	208.38	279.14	105.89	226.54
IPO7	356.05	429.54	289.02	267.73	275.28	236.21	211.31	180.02	194.36	1477.58	312.0	684.02	808.0	743.43	842.36	392.44	551.56	1551.09	1709.26	656.11	947.83	733.19	733.19	684.02	934.76	656.11	583.07	728.11	563.18	764.36	463.65	728.11	1051.79	748.61	1781.89	954.43	567.1	1051.79	616.37	878.17	423.61	780.44	511.0	1427.22	2319.15	791.35	1674.06
ITGAV	224.97	183.82	202.66	221.86	59.55	113.56	132.44	49.21	105.89	1781.89	199.85	934.76	423.61	503.95	688.78	253.23	358.54	1417.35	2367.9	269.6	1277.29	583.07	291.04	236.21	1295.13	791.35	529.06	934.76	563.18	309.83	224.97	759.08	1242.34	426.57	1378.57	830.75	429.54	1781.89	281.09	848.22	796.86	307.69	470.14	1277.29	1662.49	981.29	1199.98
KCMF1	454.09	507.46	507.46	579.04	514.56	441.64	518.15	409.15	314.17	1397.83	392.44	981.29	1096.5	1151.06	674.59	563.18	587.13	1167.14	1233.75	872.1	848.22	633.73	954.43	466.88	1561.89	713.11	583.07	1030.12	466.88	603.67	708.18	796.86	1242.34	1001.93	2004.85	1151.06	660.68	1519.15	543.96	941.27	629.35	480.04	1233.75	1015.93	2591.27	961.07	2319.15
KCTD20	214.27	157.68	334.46	320.8	226.54	414.87	301.33	256.78	295.11	1277.29	371.22	507.46	500.46	679.29	866.07	356.05	305.55	693.58	1268.46	587.13	791.35	457.25	497.0	420.68	688.78	612.11	567.1	497.0	400.71	336.79	511.0	466.88	872.1	532.74	1044.52	688.78	525.39	723.08	318.57	854.13	473.41	363.56	555.41	1378.57	1781.89	642.59	785.88
KPNA4	166.73	170.25	185.11	182.55	121.79	151.22	167.9	88.26	142.01	842.36	140.04	543.96	323.03	836.53	518.15	387.02	301.33	860.08	743.43	277.2	406.31	454.09	291.04	204.07	872.1	579.04	423.61	301.33	363.56	249.73	343.89	412.0	420.68	417.77	1104.13	529.06	490.14	559.28	299.25	480.04	406.31	255.0	343.89	884.29	1340.84	339.14	1001.93
MCTP1	33.3	31.0	41.81	98.04	22.92	13.72	23.59	16.51	21.16	1467.37	39.5	536.45	71.0	269.6	153.34	131.51	63.45	769.69	1447.15	94.67	941.27	246.28	89.51	60.82	384.34	172.65	241.19	444.72	206.94	130.6	85.22	148.09	234.57	159.9	713.11	674.59	143.01	1397.83	146.03	466.88	262.2	59.55	72.52	1350.18	1721.16	698.41	759.08
MTPN	825.0	497.0	669.92	173.85	127.0	159.9	152.28	239.52	147.06	2133.97	514.56	2178.83	1697.45	2255.7	1208.34	1096.5	866.07	1909.85	1991.0	1331.57	967.76	2796.65	854.13	1350.18	2119.22	2224.63	1721.16	1519.15	1104.13	1030.12	1066.48	1216.75	2451.44	1617.0	2178.83	1991.0	1467.37	2004.85	674.59	2400.97	902.89	825.0	896.64	2555.58	4010.71	1529.73	2384.37
NAA15	84.04	117.6	56.68	77.25	96.68	89.51	75.64	31.22	67.59	384.34	109.66	212.78	176.29	217.27	220.32	186.4	121.79	309.83	265.87	147.06	256.78	211.31	159.9	147.06	336.79	307.69	209.84	162.14	152.28	158.79	94.67	199.85	208.38	167.9	441.64	201.25	209.84	299.25	144.01	212.78	193.01	135.24	112.77	356.05	432.53	255.0	400.71
NAA50	281.09	303.44	283.05	497.0	242.88	363.56	412.0	423.61	336.79	2047.0	289.02	1044.52	1111.82	1313.23	819.3	314.17	412.0	1923.14	1757.34	624.99	1066.48	1066.48	684.02	503.95	1199.98	836.53	928.3	693.58	713.11	555.41	486.75	647.07	1286.18	1088.92	3257.52	1191.69	988.12	1662.49	497.0	1059.11	656.11	764.36	480.04	2384.37	4210.15	1331.57	2032.85
OTUD4	126.12	198.47	130.6	63.89	61.68	105.15	66.18	102.97	129.69	1051.79	237.86	591.22	389.72	543.96	351.14	293.07	253.23	591.22	954.43	291.04	703.28	414.87	307.69	285.03	708.18	463.65	633.73	603.67	376.41	299.25	212.78	299.25	684.02	417.77	909.17	575.03	389.72	1304.15	262.2	457.25	575.03	309.83	316.37	780.44	1250.98	651.58	802.41
OXSR1	366.09	309.83	228.13	151.22	197.09	189.02	116.78	145.02	201.25	616.37	318.57	514.56	507.46	483.38	493.56	392.44	273.37	466.88	703.28	376.41	656.11	486.75	412.0	279.14	387.02	387.02	543.96	291.04	379.04	351.14	366.09	463.65	389.72	441.64	441.64	587.13	460.44	511.0	361.04	567.1	514.56	316.37	231.32	674.59	733.19	420.68	555.41
PAK2	358.54	366.09	387.02	253.23	226.54	234.57	400.71	264.03	255.0	1073.91	201.25	802.41	703.28	921.88	629.35	457.25	318.57	1175.27	633.73	536.45	575.03	1073.91	483.38	327.56	1397.83	1119.56	738.29	674.59	563.18	447.82	463.65	624.99	954.43	713.11	967.76	669.92	723.08	1498.22	406.31	947.83	616.37	429.54	361.04	1159.07	1498.22	743.43	1233.75
PCNX	96.68	137.14	137.14	92.7	167.9	139.07	118.43	125.24	133.36	423.61	163.28	384.34	169.07	212.78	253.23	121.79	141.02	403.5	890.44	190.34	265.87	351.14	205.5	146.03	463.65	191.67	242.88	262.2	256.78	135.24	181.28	199.85	301.33	195.72	412.0	353.59	206.94	361.04	150.17	258.57	262.2	208.38	181.28	285.03	493.56	371.22	1096.5
PIP4K2A	224.97	170.25	301.33	100.83	123.5	90.77	130.6	144.01	214.27	947.83	275.28	1044.52	426.57	669.92	547.75	536.45	327.56	1259.69	665.29	603.67	547.75	693.58	262.2	392.44	693.58	463.65	536.45	651.58	463.65	395.18	486.75	1151.06	728.11	507.46	371.22	934.76	624.99	988.12	285.03	1044.52	733.19	384.34	536.45	518.15	723.08	1225.22	854.13
PPP4R2	202.66	220.32	136.19	291.04	275.28	381.68	293.07	214.27	287.01	954.43	244.57	612.11	476.71	497.0	603.67	395.18	358.54	547.75	1286.18	420.68	728.11	490.14	341.51	341.51	693.58	540.19	529.06	441.64	379.04	316.37	309.83	476.71	518.15	384.34	775.05	555.41	435.55	967.76	318.57	575.03	559.28	373.81	323.03	738.29	1183.45	571.05	1295.13
PTBP3	346.29	265.87	264.03	116.78	65.72	127.0	85.82	57.49	106.63	819.3	208.38	748.61	406.31	503.95	616.37	356.05	351.14	656.11	1030.12	299.25	684.02	525.39	329.84	244.57	836.53	698.41	426.57	444.72	500.46	305.55	305.55	381.68	738.29	363.56	791.35	842.36	571.05	1008.9	432.53	698.41	457.25	287.01	435.55	688.78	575.03	583.07	842.36
PTPN12	457.25	460.44	309.83	309.83	146.03	221.86	198.47	105.15	368.65	2701.35	1199.98	2835.7	1508.65	1674.06	2520.38	1529.73	1369.04	1733.13	4066.71	1233.75	2209.26	1977.24	1073.91	1044.52	2777.33	2061.24	1685.71	1519.15	1674.06	1350.18	1340.84	1963.57	2133.97	1540.37	2255.7	2303.12	1457.23	2645.74	1268.46	2148.82	2178.83	915.51	1286.18	2367.9	5329.3	1950.0	3794.3
RAB5A	497.0	444.72	414.87	486.75	275.28	493.56	291.04	395.18	476.71	2032.85	423.61	1388.16	819.3	1015.93	915.51	866.07	775.05	981.29	2664.15	693.58	1208.34	890.44	848.22	612.11	1304.15	1159.07	1037.29	1191.69	791.35	713.11	813.63	988.12	1322.37	890.44	1388.16	1277.29	848.22	1709.26	651.58	890.44	753.83	819.3	748.61	1721.16	2400.97	1066.48	1844.76
RNF11	733.19	624.99	651.58	587.13	476.71	551.56	555.41	728.11	532.74	3768.09	753.83	2720.15	2351.53	3168.41	2193.99	1487.87	1508.65	2047.0	5041.77	1605.83	2935.74	3103.19	1427.22	1183.45	3794.3	3325.99	2645.74	2664.15	1819.35	1286.18	1407.55	2537.92	3212.66	1977.24	3491.39	3103.19	2537.92	3349.13	1697.45	2104.58	2148.82	1159.07	1794.29	4769.75	5672.41	2816.11	2645.74
RNF169	27.64	37.32	31.0	18.7	17.38	15.11	15.56	21.63	35.5	217.27	47.17	102.25	106.63	127.89	103.69	77.25	57.49	202.66	198.47	134.3	181.28	100.13	98.73	60.82	183.82	141.02	175.07	205.5	105.15	78.34	66.65	90.14	356.05	83.45	397.93	129.69	71.0	356.05	94.67	221.86	69.52	119.26	157.68	108.14	373.81	186.4	295.11
RP2	101.54	84.63	92.05	64.8	27.64	42.11	53.19	58.71	49.91	665.29	117.6	363.56	242.88	432.53	176.29	190.34	212.78	161.02	264.03	199.85	193.01	291.04	244.57	201.25	265.87	376.41	457.25	224.97	209.84	166.73	241.19	299.25	327.56	305.55	417.77	241.19	358.54	376.41	139.07	389.72	155.5	154.42	297.17	371.22	642.59	327.56	500.46
RPS6KA3	154.42	128.79	144.01	285.03	165.57	156.59	153.34	221.86	204.07	2240.11	237.86	1008.9	836.53	785.88	620.67	327.56	215.77	1242.34	2271.4	426.57	1096.5	974.5	441.64	389.72	1199.98	1081.39	775.05	728.11	301.33	473.41	414.87	595.34	1208.34	629.35	1923.14	878.17	674.59	1870.53	297.17	595.34	651.58	500.46	460.44	1819.35	2701.35	1119.56	1167.14
SAV1	273.37	316.37	269.6	202.66	135.24	376.41	112.77	186.4	115.16	2061.24	285.03	1001.93	511.0	536.45	571.05	514.56	497.0	866.07	1259.69	368.65	909.17	928.3	476.71	429.54	872.1	825.0	503.95	764.36	616.37	473.41	403.5	723.08	775.05	480.04	688.78	1540.37	669.92	928.3	450.94	769.69	674.59	373.81	438.59	967.76	1685.71	866.07	1233.75
SCYL2	239.52	175.07	122.64	152.28	129.69	163.28	127.0	111.21	152.28	1167.14	281.09	651.58	368.65	543.96	629.35	265.87	363.56	490.14	974.5	312.0	547.75	387.02	336.79	351.14	543.96	503.95	409.15	366.09	435.55	379.04	249.73	358.54	575.03	412.0	555.41	612.11	346.29	860.08	334.46	529.06	417.77	312.0	409.15	728.11	1030.12	420.68	954.43
SERTAD2	182.55	212.78	171.45	117.6	212.78	102.25	167.9	156.59	229.72	642.59	186.4	457.25	248.0	457.25	121.79	265.87	199.85	358.54	463.65	150.17	409.15	532.74	232.94	162.14	409.15	406.31	409.15	314.17	555.41	215.77	158.79	248.0	486.75	226.54	287.01	909.17	281.09	698.41	341.51	327.56	547.75	195.72	466.88	521.76	525.39	371.22	728.11
SMARCC1	275.28	256.78	285.03	156.59	129.69	186.4	115.97	145.02	130.6	780.44	242.88	603.67	497.0	429.54	718.08	291.04	206.94	688.78	884.29	277.2	753.83	473.41	291.04	244.57	1208.34	693.58	480.04	540.19	346.29	242.88	242.88	339.14	836.53	371.22	693.58	733.19	366.09	1277.29	332.14	651.58	521.76	307.69	575.03	525.39	1044.52	540.19	872.1
SMNDC1	228.13	256.78	211.31	236.21	138.1	206.94	119.26	137.14	173.85	764.36	260.38	536.45	423.61	543.96	460.44	414.87	397.93	579.04	1059.11	327.56	493.56	470.14	397.93	356.05	961.07	392.44	543.96	559.28	457.25	376.41	435.55	409.15	470.14	384.34	733.19	583.07	500.46	1023.0	271.48	567.1	414.87	358.54	279.14	934.76	1073.91	532.74	825.0
SPRED1	73.54	78.34	93.35	20.86	12.18	15.8	22.59	20.86	35.76	1407.55	185.11	1081.39	429.54	376.41	320.8	303.44	361.04	728.11	2303.12	224.97	684.02	674.59	285.03	176.29	698.41	974.5	651.58	633.73	262.2	221.86	251.48	373.81	563.18	441.64	1378.57	974.5	591.22	1037.29	197.09	384.34	376.41	316.37	312.0	759.08	1127.35	848.22	896.64
STK3	187.71	194.36	100.13	149.12	197.09	155.5	94.01	141.02	234.57	728.11	185.11	473.41	251.48	348.71	309.83	283.05	246.28	540.19	733.19	169.07	571.05	432.53	334.46	228.13	490.14	551.56	305.55	420.68	291.04	336.79	255.0	373.81	299.25	275.28	432.53	470.14	384.34	669.92	277.2	555.41	435.55	309.83	267.73	656.11	753.83	397.93	629.35
TAB2	291.04	142.01	332.14	189.02	136.19	175.07	303.44	334.46	435.55	1583.71	392.44	1437.15	1015.93	1208.34	1242.34	934.76	603.67	1340.84	1883.54	1008.9	1286.18	1322.37	669.92	638.15	1015.93	1286.18	934.76	1044.52	743.43	684.02	819.3	981.29	1594.73	896.64	1233.75	1628.26	988.12	1991.0	616.37	1340.84	1159.07	775.05	974.5	1437.15	2400.97	1066.48	1594.73
TANK	414.87	384.34	224.97	638.15	341.51	397.93	529.06	170.25	476.71	1923.14	624.99	1397.83	743.43	1088.92	848.22	808.0	954.43	1259.69	2400.97	656.11	1277.29	947.83	872.1	813.63	1378.57	1081.39	1023.0	1037.29	934.76	842.36	764.36	947.83	896.64	884.29	1159.07	1617.0	921.88	1857.6	723.08	1135.2	954.43	547.75	743.43	1417.35	2061.24	1191.69	1745.2
TROVE2	62.12	86.43	39.79	128.79	84.04	95.34	59.13	44.25	60.39	563.18	120.1	348.71	237.86	275.28	260.38	191.67	137.14	253.23	423.61	224.97	325.29	279.14	177.53	175.07	279.14	358.54	414.87	297.17	201.25	193.01	139.07	215.77	500.46	232.94	320.8	323.03	234.57	713.11	155.5	314.17	361.04	199.85	214.27	318.57	660.68	291.04	450.94
TRPS1	54.72	45.21	35.0	11.47	12.0	10.71	21.63	3.56	24.63	191.67	23.76	139.07	22.1	41.22	71.0	38.12	18.29	126.12	148.09	33.3	90.14	84.63	24.99	11.82	102.97	117.6	98.73	53.57	53.19	16.27	22.1	38.95	120.94	21.78	39.5	91.41	54.33	115.16	22.59	102.25	60.39	24.81	40.36	150.17	327.56	130.6	171.45
UBA6	95.34	120.1	43.63	36.79	34.51	52.82	35.25	63.0	73.54	543.96	156.59	529.06	202.66	307.69	246.28	115.16	145.02	358.54	567.1	126.12	780.44	214.27	141.02	108.14	339.14	253.23	281.09	325.29	148.09	146.03	111.99	171.45	543.96	155.5	307.69	543.96	191.67	1023.0	115.16	262.2	334.46	111.21	96.68	665.29	728.11	470.14	575.03
UHRF1BP1L	111.99	76.17	46.84	142.01	173.85	129.69	145.02	83.45	99.43	303.44	111.99	228.13	214.27	187.71	175.07	125.24	99.43	217.27	329.84	108.9	249.73	320.8	124.37	105.89	332.14	253.23	180.02	193.01	229.72	118.43	110.43	198.47	297.17	164.42	320.8	320.8	164.42	256.78	144.01	228.13	217.27	117.6	209.84	275.28	454.09	258.57	409.15
WAC	563.18	638.15	529.06	444.72	323.03	457.25	395.18	343.89	329.84	2664.15	764.36	2018.8	1322.37	1769.57	1697.45	1277.29	890.44	2047.0	2816.11	1216.75	2148.82	1540.37	1119.56	890.44	1857.6	1685.71	1540.37	1844.76	1151.06	1151.06	1159.07	1519.15	2319.15	1388.16	1745.2	1936.53	1331.57	3372.43	1268.46	1806.78	1662.49	995.0	1540.37	2255.7	3190.46	1870.53	3146.52
