	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.XUZC.0326.SM.4BOO8	GTEX.U3ZM.0626.SM.4DXTV	GTEX.1122O.1626.SM.5N9CX	GTEX.13OVG.0926.SM.5J2OJ	GTEX.13X6H.1426.SM.5SI91	GTEX.ZZPU.1826.SM.5E43L	GTEX.PLZ6.0626.SM.3P61B	GTEX.11P7K.1226.SM.5HL4X	GTEX.133LE.0726.SM.5P9IZ	GTEX.1399R.0726.SM.5KM2A	GTEX.YJ8A.1226.SM.5IFHH	GTEX.Y5V6.1126.SM.4VDTD	GTEX.X3Y1.1226.SM.4PQZ8	TCGA.BR.8297.01A.12R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.BR.8365.01A.21R.2343.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8380.01A.11R.2343.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8364.01A.11R.2343.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.TKQ2.0926.SM.4DXU5	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
BCL7A	78.89	125.24	162.14	138.1	157.68	78.34	30.34	132.44	72.01	72.52	74.58	88.26	90.14	81.14	126.12	131.51	124.37	136.19	212.78	39.22	46.18	217.27	133.36	111.21	183.82	217.27	224.97	163.28	231.32	206.94	256.78	147.06	244.57	186.4	131.51	142.01	176.29	191.67	104.42	94.01	70.51	91.41	85.82	102.25	47.84	228.13	81.71	190.34	70.01
BRCA1	45.21	93.35	72.01	66.18	96.68	96.01	28.24	40.93	30.12	45.21	35.25	61.68	50.98	36.01	57.49	65.26	85.22	68.07	111.21	23.08	92.7	121.79	197.09	101.54	125.24	129.69	115.16	128.79	156.59	155.5	119.26	82.29	102.97	112.77	81.71	68.55	71.0	84.04	109.66	131.51	76.71	91.41	66.65	125.24	73.03	94.01	111.99	127.89	99.43
CBX5	220.32	102.97	189.02	236.21	277.2	384.34	341.51	339.14	281.09	412.0	332.14	323.03	368.65	232.94	406.31	323.03	389.72	397.93	400.71	563.18	470.14	316.37	463.65	507.46	591.22	607.87	514.56	532.74	575.03	532.74	612.11	571.05	579.04	540.19	567.1	438.59	483.38	463.65	223.41	679.29	571.05	532.74	301.33	624.99	351.14	316.37	325.29	346.29	351.14
CCDC97	384.34	316.37	379.04	361.04	450.94	341.51	212.78	312.0	273.37	339.14	334.46	318.57	323.03	277.2	381.68	320.8	297.17	307.69	379.04	316.37	277.2	297.17	358.54	289.02	463.65	616.37	460.44	432.53	500.46	466.88	563.18	346.29	483.38	503.95	381.68	297.17	361.04	351.14	447.82	466.88	314.17	432.53	343.89	403.5	301.33	395.18	423.61	435.55	241.19
CEP120	186.4	95.34	206.94	169.07	232.94	162.14	98.73	137.14	107.38	112.77	133.36	155.5	145.02	183.82	201.25	178.77	202.66	135.24	212.78	147.06	175.07	176.29	265.87	279.14	301.33	255.0	395.18	242.88	307.69	339.14	423.61	253.23	371.22	384.34	271.48	221.86	234.57	318.57	255.0	260.38	260.38	157.68	136.19	281.09	163.28	215.77	208.38	293.07	186.4
CHD8	860.08	540.19	656.11	698.41	796.86	660.68	316.37	808.0	665.29	836.53	819.3	647.07	703.28	521.76	723.08	723.08	674.59	785.88	728.11	647.07	656.11	665.29	854.13	941.27	791.35	1250.98	1015.93	967.76	1023.0	909.17	1104.13	785.88	890.44	1001.93	866.07	866.07	941.27	1044.52	808.0	738.29	1001.93	808.0	1030.12	738.29	511.0	775.05	748.61	738.29	934.76
CNOT6L	171.45	96.68	231.32	204.07	181.28	152.28	66.65	138.1	115.16	96.01	178.77	198.47	170.25	155.5	205.5	163.28	154.42	155.5	246.28	147.06	171.45	217.27	273.37	281.09	363.56	395.18	387.02	387.02	336.79	363.56	674.59	253.23	460.44	320.8	215.77	255.0	260.38	277.2	258.57	353.59	295.11	206.94	113.56	251.48	155.5	195.72	172.65	339.14	182.55
CTDSPL2	208.38	96.68	251.48	269.6	226.54	211.31	69.03	149.12	102.25	83.45	133.36	218.79	158.79	146.03	186.4	220.32	158.79	127.0	239.52	246.28	140.04	197.09	466.88	503.95	363.56	551.56	587.13	379.04	497.0	466.88	518.15	426.57	500.46	674.59	389.72	368.65	361.04	493.56	271.48	387.02	497.0	329.84	217.27	336.79	169.07	295.11	371.22	376.41	275.28
CXorf38	68.55	40.36	60.82	31.45	84.04	62.12	43.02	55.1	44.57	58.71	71.0	75.11	56.28	66.18	91.41	67.12	61.25	78.34	67.59	62.56	40.36	78.89	146.03	126.12	246.28	241.19	202.66	104.42	195.72	191.67	267.73	108.9	189.02	260.38	108.9	98.04	118.43	98.04	125.24	113.56	102.25	91.41	63.89	167.9	49.56	107.38	72.52	157.68	98.73
DCAF16	269.6	116.78	237.86	220.32	358.54	297.17	117.6	260.38	176.29	201.25	323.03	358.54	237.86	265.87	444.72	414.87	267.73	289.02	305.55	379.04	198.47	273.37	500.46	503.95	417.77	723.08	547.75	603.67	660.68	543.96	698.41	497.0	497.0	514.56	543.96	612.11	500.46	567.1	327.56	392.44	500.46	275.28	303.44	379.04	195.72	412.0	665.29	397.93	368.65
DCK	223.41	156.59	220.32	214.27	201.25	167.9	151.22	165.57	137.14	119.26	145.02	171.45	147.06	249.73	201.25	189.02	256.78	183.82	197.09	111.99	220.32	197.09	293.07	262.2	521.76	379.04	400.71	265.87	279.14	343.89	490.14	361.04	309.83	339.14	198.47	251.48	267.73	217.27	275.28	303.44	423.61	309.83	275.28	305.55	271.48	271.48	279.14	303.44	253.23
DCP2	120.1	65.26	115.16	81.71	104.42	111.21	103.69	153.34	105.89	72.52	92.05	125.24	111.99	166.73	150.17	96.01	84.04	113.56	97.36	109.66	103.69	114.36	237.86	162.14	275.28	312.0	412.0	224.97	260.38	206.94	343.89	201.25	295.11	450.94	148.09	221.86	149.12	144.01	152.28	128.79	172.65	81.14	59.97	112.77	109.66	129.69	138.1	211.31	113.56
DYX1C1	42.41	23.08	38.67	57.08	55.89	25.54	25.35	14.78	10.63	1.91	24.99	15.11	17.77	21.01	46.84	36.01	21.32	12.83	13.83	5.28	18.97	5.54	45.53	89.51	59.55	39.79	48.87	82.29	75.64	63.0	38.67	60.82	59.13	46.18	57.89	86.43	67.12	74.06	31.9	98.73	36.79	30.78	29.7	78.34	51.71	51.71	111.21	38.95	44.57
EIF2AK2	275.28	165.57	305.55	265.87	228.13	279.14	124.37	151.22	149.12	191.67	186.4	197.09	162.14	182.55	301.33	221.86	206.94	220.32	384.34	275.28	220.32	199.85	669.92	540.19	591.22	559.28	647.07	884.29	525.39	490.14	665.29	473.41	830.75	733.19	514.56	420.68	511.0	480.04	291.04	447.82	514.56	403.5	291.04	620.67	366.09	356.05	287.01	563.18	332.14
EYA3	125.24	77.25	114.36	86.43	115.16	106.63	75.11	118.43	108.9	112.77	118.43	134.3	126.12	113.56	175.07	136.19	114.36	125.24	152.28	148.09	120.1	131.51	231.32	156.59	256.78	285.03	244.57	158.79	205.5	232.94	220.32	163.28	262.2	191.67	147.06	172.65	127.89	141.02	149.12	157.68	139.07	110.43	92.05	137.14	79.45	113.56	164.42	202.66	105.89
FAM135A	226.54	82.29	165.57	132.44	93.35	80.57	127.0	171.45	152.28	133.36	117.6	178.77	167.9	115.97	155.5	162.14	157.68	158.79	204.07	218.79	246.28	170.25	325.29	201.25	275.28	309.83	334.46	221.86	244.57	403.5	267.73	371.22	373.81	312.0	262.2	215.77	256.78	273.37	242.88	563.18	239.52	163.28	204.07	234.57	183.82	151.22	271.48	371.22	199.85
FAM151B	6.46	9.34	12.09	18.29	15.22	21.01	24.99	10.96	12.64	11.21	18.03	14.35	13.32	12.27	23.93	16.39	17.77	21.01	14.14	15.22	14.56	19.11	23.42	49.21	33.78	40.64	42.41	29.27	36.79	31.0	33.06	44.25	31.22	59.55	29.06	32.36	34.75	29.27	4.54	30.78	24.28	16.75	34.51	22.75	16.03	24.81	15.22	39.22	21.63
FAM171A1	387.02	248.0	287.01	305.55	287.01	206.94	97.36	151.22	182.55	241.19	260.38	109.66	151.22	97.36	135.24	134.3	226.54	325.29	309.83	297.17	146.03	182.55	329.84	237.86	420.68	536.45	395.18	214.27	651.58	507.46	429.54	387.02	764.36	381.68	329.84	358.54	339.14	329.84	447.82	348.71	473.41	412.0	381.68	1208.34	384.34	303.44	371.22	463.65	414.87
FBXW8	112.77	90.14	149.12	178.77	169.07	137.14	36.79	75.11	75.11	86.43	153.34	161.02	122.64	102.25	159.9	146.03	149.12	106.63	176.29	80.01	105.89	170.25	185.11	228.13	212.78	281.09	221.86	199.85	287.01	191.67	241.19	217.27	277.2	316.37	180.02	194.36	195.72	193.01	108.14	172.65	159.9	156.59	101.54	165.57	100.13	208.38	204.07	149.12	119.26
FLRT2	214.27	12.93	123.5	132.44	128.79	69.52	24.81	31.22	27.84	37.85	58.3	32.13	16.88	29.27	46.18	20.86	41.81	84.04	129.69	50.63	21.32	30.56	107.38	157.68	353.59	395.18	231.32	40.07	165.57	406.31	295.11	118.43	412.0	583.07	224.97	105.89	126.12	81.71	224.97	529.06	31.0	74.06	24.46	218.79	15.22	166.73	81.71	83.45	43.63
FSBP	13.32	11.82	29.91	37.32	30.78	12.18	0.89	0.99	10.96	0.0	17.64	12.74	9.93	0.0	10.39	13.22	10.0	7.34	20.71	10.08	2.07	21.01	29.91	29.48	27.64	37.05	41.81	16.75	35.25	43.63	25.17	27.84	32.59	43.02	37.05	36.53	31.22	45.53	9.48	9.06	14.35	4.86	21.01	42.11	2.66	10.79	4.46	31.9	5.19
FZD2	5.02	32.13	37.59	32.13	260.38	27.84	36.01	12.09	26.28	29.06	33.78	22.26	49.21	33.3	35.25	6.94	20.11	53.57	80.57	12.18	23.42	39.79	95.34	55.49	74.06	148.09	206.94	98.04	156.59	208.38	92.05	66.65	118.43	224.97	58.71	27.25	120.94	90.77	56.68	120.1	24.81	53.57	57.49	327.56	77.79	89.51	66.18	114.36	62.12
GALC	119.26	120.94	258.57	189.02	193.01	159.9	151.22	176.29	152.28	176.29	209.84	239.52	163.28	228.13	232.94	332.14	287.01	208.38	334.46	209.84	281.09	256.78	285.03	265.87	591.22	514.56	363.56	234.57	297.17	559.28	269.6	255.0	353.59	575.03	279.14	255.0	232.94	241.19	145.02	281.09	153.34	152.28	88.26	291.04	112.77	91.41	226.54	260.38	87.65
GGA2	420.68	583.07	555.41	514.56	860.08	651.58	379.04	703.28	629.35	612.11	813.63	813.63	629.35	571.05	718.08	825.0	536.45	915.51	941.27	830.75	612.11	651.58	1081.39	1143.1	1295.13	1883.54	1304.15	1233.75	1111.82	1295.13	2400.97	961.07	1617.0	1427.22	981.29	780.44	961.07	974.5	476.71	748.61	432.53	679.29	624.99	1023.0	397.93	1037.29	791.35	896.64	493.56
GLCCI1	40.36	31.9	85.82	37.85	126.12	76.17	17.13	49.21	37.59	34.51	78.34	92.05	77.79	62.56	93.35	88.88	90.77	108.14	146.03	60.39	63.0	82.87	246.28	356.05	277.2	301.33	271.48	429.54	277.2	353.59	389.72	256.78	371.22	187.71	420.68	497.0	551.56	563.18	130.6	665.29	490.14	583.07	780.44	599.49	395.18	698.41	674.59	1096.5	532.74
GLG1	1242.34	713.11	1572.76	1331.57	1540.37	1259.69	708.18	1233.75	961.07	1008.9	1407.55	961.07	1295.13	1159.07	1286.18	1447.15	1225.22	1183.45	1407.55	1216.75	902.89	1216.75	1397.83	1963.57	1819.35	2090.03	1583.71	1685.71	2004.85	1757.34	2178.83	1551.09	2163.77	2075.59	1540.37	1457.23	1487.87	1407.55	902.89	1407.55	1295.13	1295.13	1286.18	1721.16	1096.5	1208.34	1378.57	1519.15	1242.34
GLIPR1	129.69	232.94	483.38	587.13	567.1	698.41	529.06	271.48	363.56	353.59	187.71	476.71	163.28	228.13	420.68	271.48	363.56	348.71	603.67	291.04	457.25	283.05	1059.11	3146.52	1191.69	1806.78	1015.93	1037.29	1088.92	884.29	1781.89	1427.22	954.43	1529.73	780.44	1111.82	633.73	713.11	473.41	995.0	1883.54	1832.01	1295.13	1369.04	1709.26	1508.65	1628.26	1059.11	1081.39
GNL3L	44.25	70.01	103.69	130.6	73.54	123.5	28.65	63.89	72.01	73.03	89.51	99.43	78.89	96.68	161.02	149.12	88.26	84.04	132.44	126.12	48.52	112.77	435.55	297.17	587.13	595.34	366.09	273.37	540.19	454.09	387.02	363.56	563.18	470.14	320.8	209.84	255.0	199.85	127.0	185.11	223.41	212.78	253.23	193.01	121.79	351.14	351.14	303.44	211.31
GUCY1A3	122.64	8.19	59.13	54.33	3039.3	1127.35	260.38	363.56	165.57	277.2	599.49	540.19	612.11	403.5	348.71	802.41	323.03	518.15	647.07	1088.92	316.37	217.27	1111.82	2451.44	1617.0	1991.0	1594.73	1250.98	1529.73	1757.34	2468.49	1498.22	2434.5	2104.58	2178.83	1447.15	1819.35	2090.03	116.78	1529.73	1096.5	1175.27	1242.34	1936.53	718.08	988.12	1216.75	1199.98	896.64
GUCY1B3	143.01	39.5	62.56	77.25	2384.37	2104.58	587.13	684.02	241.19	353.59	802.41	660.68	819.3	688.78	493.56	1008.9	684.02	616.37	669.92	1119.56	567.1	231.32	1023.0	1605.83	988.12	988.12	1111.82	1259.69	1051.79	1508.65	1583.71	1313.23	1369.04	1143.1	2451.44	1721.16	1844.76	2075.59	162.14	1143.1	647.07	1350.18	974.5	974.5	703.28	941.27	808.0	954.43	612.11
HOXA3	65.72	31.67	96.01	135.24	293.07	603.67	201.25	384.34	295.11	307.69	536.45	429.54	406.31	291.04	483.38	525.39	299.25	432.53	417.77	162.14	267.73	400.71	896.64	1001.93	563.18	723.08	981.29	813.63	638.15	547.75	967.76	684.02	503.95	656.11	1183.45	1073.91	866.07	1143.1	450.94	1167.14	1127.35	825.0	1008.9	1030.12	599.49	1594.73	808.0	981.29	1216.75
HSF5	0.69	0.0	0.87	1.75	0.0	1.0	0.0	0.96	0.45	0.0	1.41	0.88	0.42	0.0	0.0	0.45	0.42	1.38	0.96	0.91	0.39	0.95	1.46	1.89	2.94	5.5	1.5	0.91	1.87	3.06	6.46	2.29	2.94	2.12	0.47	1.35	1.33	0.47	0.35	3.08	1.66	0.31	0.33	2.25	0.89	1.62	0.31	3.92	0.31
IDS	1447.15	1467.37	1745.2	1639.59	1950.0	2061.24	753.83	1322.37	1030.12	1208.34	1407.55	1844.76	1806.78	1662.49	1388.16	2018.8	1857.6	1322.37	1832.01	1540.37	1225.22	1832.01	2956.17	2796.65	2018.8	2777.33	3467.27	2104.58	2591.27	2645.74	4010.71	2287.2	3395.89	3443.31	2664.15	2335.28	2303.12	2796.65	2163.77	3124.78	3639.7	2777.33	2758.13	3419.52	2303.12	2701.35	3928.15	2627.46	3190.46
IPMK	33.3	20.26	54.33	26.86	21.32	36.27	17.38	31.45	22.1	19.82	23.76	36.53	31.45	31.67	31.0	27.44	35.25	33.54	42.71	38.67	27.44	28.86	87.03	36.79	75.11	77.25	58.71	48.87	62.56	112.77	65.26	52.82	60.39	72.01	54.33	56.28	39.22	33.54	69.52	104.42	59.97	45.53	28.24	34.02	57.08	24.99	50.63	40.64	47.17
ISPD	13.52	9.78	26.67	24.46	17.77	17.25	16.63	5.19	11.73	19.68	14.89	24.81	15.22	28.04	15.91	27.44	17.13	11.55	37.05	10.0	18.16	48.52	32.36	46.5	37.85	43.32	48.18	33.54	34.26	37.05	24.99	32.59	37.05	46.5	47.84	44.89	52.45	40.36	20.41	14.78	27.84	27.25	37.59	24.63	37.05	8.06	23.25	35.76	17.25
JARID2	132.44	67.59	100.13	85.82	126.12	123.5	48.18	88.88	103.69	88.88	103.69	100.83	90.77	68.55	92.7	115.97	105.89	93.35	123.5	65.72	74.58	97.36	127.0	121.79	156.59	221.86	166.73	145.02	175.07	191.67	234.57	144.01	178.77	167.9	132.44	141.02	112.77	127.0	138.1	176.29	239.52	125.24	135.24	167.9	88.26	139.07	180.02	126.12	183.82
KIAA1024	1.04	0.89	0.44	2.2	4.39	2.32	1.81	0.49	3.08	3.99	2.46	1.87	3.96	2.46	0.97	0.99	0.93	3.41	5.92	1.43	1.33	3.63	15.22	5.41	10.71	15.11	20.26	6.67	15.45	23.76	16.88	4.78	11.64	53.57	9.27	3.69	13.42	9.85	0.37	3.79	5.45	13.72	0.6	4.7	3.76	1.43	0.56	6.84	0.56
KIAA1217	198.47	92.7	137.14	81.71	189.02	78.34	69.52	185.11	148.09	124.37	186.4	221.86	201.25	93.35	221.86	209.84	212.78	201.25	314.17	237.86	120.1	205.5	497.0	336.79	384.34	624.99	403.5	318.57	400.71	376.41	555.41	343.89	441.64	780.44	246.28	185.11	190.34	287.01	329.84	318.57	206.94	153.34	120.94	205.5	84.63	144.01	209.84	228.13	142.01
LDHAL6B	1.66	0.0	0.0	0.89	2.01	2.53	0.0	2.71	1.13	2.56	1.58	2.97	1.07	3.11	1.11	0.0	1.07	0.0	2.16	1.08	1.01	1.13	4.17	5.45	7.51	16.15	5.54	3.03	8.65	7.82	11.3	5.41	8.85	7.4	9.34	2.05	0.55	4.5	2.23	4.62	4.1	0.0	0.31	1.0	1.0	0.0	1.01	0.65	2.84
LRIG2	70.51	56.68	95.34	60.39	112.77	83.45	41.81	81.71	80.01	100.83	90.14	96.68	83.45	65.26	124.37	107.38	84.63	92.05	96.01	103.69	70.51	93.35	171.45	169.07	204.07	220.32	193.01	156.59	131.51	197.09	197.09	149.12	212.78	199.85	137.14	139.07	130.6	162.14	158.79	183.82	130.6	82.29	73.54	92.7	41.52	114.36	98.73	148.09	109.66
LRP11	289.02	291.04	397.93	327.56	291.04	246.28	182.55	246.28	139.07	163.28	248.0	149.12	253.23	199.85	229.72	255.0	206.94	265.87	371.22	187.71	325.29	234.57	743.43	547.75	629.35	555.41	665.29	473.41	759.08	688.78	571.05	616.37	769.69	825.0	507.46	466.88	500.46	400.71	260.38	723.08	248.0	279.14	339.14	500.46	258.57	476.71	559.28	718.08	293.07
MANEA	89.51	43.94	140.04	81.71	76.71	76.71	51.35	64.34	56.68	55.89	66.18	111.21	81.14	76.17	102.97	59.13	115.16	73.54	94.67	76.71	115.97	100.13	147.06	159.9	149.12	176.29	197.09	199.85	130.6	136.19	195.72	190.34	195.72	275.28	120.94	100.83	133.36	108.14	121.79	152.28	87.03	148.09	81.71	142.01	85.82	73.54	85.22	186.4	84.04
MED14	521.76	301.33	587.13	441.64	343.89	320.8	117.6	318.57	241.19	264.03	454.09	441.64	301.33	353.59	358.54	307.69	246.28	248.0	351.14	511.0	293.07	291.04	723.08	579.04	884.29	738.29	583.07	511.0	624.99	633.73	638.15	497.0	607.87	947.83	447.82	438.59	379.04	454.09	563.18	414.87	460.44	224.97	275.28	341.51	239.52	366.09	336.79	351.14	366.09
MSL2	215.77	133.36	312.0	187.71	271.48	226.54	107.38	167.9	165.57	181.28	180.02	258.57	212.78	214.27	279.14	175.07	223.41	208.38	358.54	248.0	180.02	232.94	403.5	507.46	441.64	616.37	497.0	371.22	368.65	450.94	540.19	368.65	381.68	483.38	332.14	409.15	384.34	332.14	246.28	368.65	226.54	187.71	201.25	348.71	197.09	283.05	279.14	429.54	228.13
MTBP	25.54	14.35	20.71	17.13	32.59	22.75	7.46	14.03	19.11	10.79	16.27	32.13	21.78	16.03	19.82	19.53	24.81	21.32	32.59	18.7	9.63	34.26	90.77	32.59	55.1	52.08	46.5	48.52	51.35	48.18	44.57	41.52	73.03	47.5	28.04	19.68	38.95	24.11	26.47	63.0	20.41	11.64	9.34	36.53	19.25	7.82	25.35	25.35	18.7
MYH11	267651.2	479109.86	492579.5	453265.5	925580.18	839981.65	93974.69	220434.95	184082.4	181548.07	241220.67	249727.34	280957.98	253213.41	286861.53	299043.36	226632.25	200048.85	322736.12	345900.08	193234.41	282912.21	129266.49	425853.18	108699.57	34635.37	108699.57	228208.61	182810.84	155870.75	147462.67	209994.66	211455.3	58250.19	301123.38	411347.03	336441.4	417089.23	517068.97	527933.71	721179.07	606436.73	857631.47	561916.97	682276.92	577714.63	527933.71	381149.17	696613.03
