	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.B6.A0X7.01A.11R.A10J.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.YFC4.1426.SM.5IFJG	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.44.6774.01A.21R.1858.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	GTEX.12WSB.0726.SM.5N9GD
LRIT3	1.95	0.87	4.35	3.56	23.59	0.97	6.67	1.28	3.44	4.7	17.9	14.89	8.99	6.62	1.07	0.54	0.0	0.58	0.0	0.0	0.0	0.0	0.0	1.11	0.54	0.75	0.0	0.27	0.75	1.79	5.28
MOAP1	234.57	283.05	802.41	559.28	665.29	314.17	417.77	486.75	447.82	373.81	1037.29	305.55	540.19	633.73	265.87	124.37	173.85	218.79	201.25	232.94	197.09	183.82	221.86	248.0	191.67	351.14	0.0	0.41	287.01	295.11	480.04
MTFR1L	728.11	1015.93	1088.92	1001.93	1191.69	860.08	974.5	759.08	713.11	759.08	2061.24	2090.03	1757.34	1242.34	748.61	336.79	334.46	559.28	1143.1	612.11	486.75	379.04	463.65	543.96	339.14	825.0	0.0	0.69	738.29	866.07	1407.55
NUMA1	1721.16	3665.02	5076.84	5479.15	6745.86	3614.55	4802.93	3515.68	3955.48	3768.09	7966.99	7966.99	3540.14	5403.7	3395.89	1651.0	1313.23	2855.44	1551.09	3124.78	2855.44	2032.85	1950.0	2384.37	1487.87	3491.39	0.0	0.95	2976.74	3212.66	4512.4
NUTM2D	24.11	48.52	170.25	120.94	177.53	48.87	105.89	66.18	163.28	98.73	195.72	117.6	41.81	77.25	126.12	17.77	17.51	41.52	92.7	131.51	19.53	34.51	53.95	37.59	40.93	55.89	0.0	0.13	86.43	77.79	85.22
POLI	142.01	224.97	567.1	629.35	607.87	260.38	435.55	260.38	426.57	483.38	1250.98	1685.71	447.82	271.48	126.12	73.54	80.01	215.77	85.82	127.0	140.04	69.52	72.01	114.36	84.04	253.23	0.0	0.53	255.0	384.34	733.19
RAPGEF4	85.82	36.79	145.02	256.78	134.3	102.25	125.24	77.25	198.47	124.37	511.0	198.47	96.01	131.51	61.25	27.05	46.84	70.01	25.54	53.19	36.53	76.71	55.49	63.89	54.72	74.06	0.0	0.31	84.63	101.54	59.97
RP11-1212A22.4	1242.34	1295.13	1295.13	1529.73	2047.0	1233.75	1477.58	713.11	1081.39	1498.22	2178.83	3395.89	3124.78	1104.13	260.38	152.28	125.24	563.18	802.41	511.0	392.44	220.32	180.02	244.57	223.41	748.61	0.0	1.0	1008.9	426.57	2209.26
SALL2	51.71	143.01	555.41	358.54	607.87	125.24	256.78	262.2	316.37	236.21	1233.75	674.59	466.88	591.22	111.21	49.21	23.59	70.51	38.4	128.79	67.12	17.25	40.64	136.19	39.79	122.64	0.0	0.31	170.25	269.6	215.77
SLC22A5	59.13	64.8	426.57	297.17	525.39	89.51	251.48	305.55	299.25	291.04	607.87	470.14	339.14	285.03	125.24	50.63	66.18	138.1	83.45	86.43	106.63	57.08	195.72	75.64	63.89	123.5	0.0	0.4	145.02	120.1	165.57
SLC25A21-AS1	10.16	22.26	94.01	67.59	117.6	18.97	41.81	25.91	40.07	38.67	157.68	109.66	55.89	102.25	12.64	3.79	0.0	4.66	15.11	12.18	6.41	2.94	4.98	20.86	8.51	46.18	0.0	0.16	16.27	18.56	115.16
SMARCA2	1233.75	1175.27	2163.77	2209.26	1529.73	1757.34	1685.71	1313.23	1745.2	2018.8	6037.61	3742.05	2895.31	3847.29	1008.9	414.87	521.76	1477.58	1369.04	780.44	1277.29	536.45	1191.69	1001.93	669.92	1111.82	595.34	231.32	954.43	1561.89	1709.26
SOX13	190.34	358.54	651.58	703.28	1378.57	269.6	733.19	738.29	660.68	656.11	397.93	497.0	366.09	249.73	199.85	242.88	142.01	180.02	102.97	183.82	206.94	110.43	143.01	204.07	199.85	255.0	0.0	0.89	211.31	547.75	432.53
SPATA7	140.04	165.57	178.77	191.67	220.32	204.07	206.94	177.53	163.28	180.02	400.71	414.87	145.02	182.55	113.56	46.18	55.89	98.73	97.36	118.43	71.5	33.78	102.97	94.67	89.51	145.02	0.0	0.29	166.73	228.13	334.46
SPECC1L	197.09	366.09	603.67	656.11	480.04	493.56	466.88	414.87	647.07	660.68	947.83	684.02	339.14	299.25	323.03	180.02	297.17	514.56	376.41	571.05	336.79	164.42	325.29	490.14	249.73	423.61	0.0	0.55	612.11	450.94	575.03
SUOX	186.4	417.77	656.11	543.96	830.75	320.8	463.65	384.34	651.58	532.74	967.76	480.04	842.36	595.34	318.57	139.07	65.72	289.02	171.45	231.32	336.79	68.07	130.6	246.28	212.78	363.56	0.0	0.16	351.14	392.44	389.72
TECTA	2.32	7.22	8.78	7.63	9.63	5.32	9.2	4.43	5.82	12.0	14.45	17.13	13.03	17.38	8.06	2.76	1.03	4.7	1.95	5.02	3.72	2.16	4.17	3.44	4.66	3.99	0.0	0.18	9.13	12.18	13.22
TIGD4	0.4	3.41	16.75	14.89	10.96	4.66	10.24	7.22	13.42	9.56	10.47	14.67	5.87	5.41	2.25	0.45	0.0	3.72	0.97	1.81	0.53	0.58	3.14	3.72	0.83	3.89	0.0	0.0	6.06	7.57	9.13
TRIM3	194.36	316.37	688.78	525.39	612.11	532.74	848.22	312.0	551.56	457.25	802.41	902.89	343.89	258.57	279.14	109.66	108.14	187.71	361.04	214.27	138.1	94.01	137.14	157.68	119.26	208.38	0.0	0.96	253.23	318.57	438.59
TRIM52	98.73	132.44	241.19	246.28	303.44	107.38	297.17	106.63	181.28	199.85	432.53	620.67	346.29	264.03	92.05	30.34	35.0	82.29	102.25	94.01	106.63	22.1	59.55	94.01	63.45	157.68	0.0	0.78	182.55	153.34	420.68
TRMT10B	85.22	117.6	249.73	183.82	269.6	94.01	255.0	117.6	149.12	148.09	305.55	379.04	158.79	171.45	92.05	55.1	50.63	105.89	102.25	62.12	75.11	45.85	73.03	70.51	53.57	112.77	0.0	0.48	113.56	155.5	279.14
TTLL1	137.14	172.65	232.94	327.56	429.54	182.55	229.72	251.48	271.48	248.0	438.59	351.14	312.0	297.17	234.57	38.4	54.33	111.21	214.27	156.59	129.69	100.83	86.43	143.01	111.21	137.14	0.0	0.0	175.07	177.53	248.0
WDR5B	26.86	82.87	125.24	115.16	134.3	74.58	107.38	77.25	105.89	106.63	220.32	279.14	90.77	83.45	50.27	33.06	27.44	56.28	49.21	52.45	43.02	15.11	55.1	59.13	39.22	52.45	0.0	0.0	63.45	126.12	124.37
XPC	343.89	463.65	775.05	684.02	642.59	336.79	808.0	511.0	511.0	651.58	954.43	1008.9	397.93	620.67	293.07	148.09	189.02	447.82	251.48	356.05	373.81	143.01	244.57	334.46	246.28	323.03	0.0	0.65	511.0	493.56	759.08
ZFP2	16.63	23.42	43.02	69.52	88.88	18.03	47.5	28.24	28.24	44.57	90.77	181.28	91.41	42.11	9.34	3.89	1.51	10.79	12.93	18.29	4.66	2.71	6.84	7.63	5.06	13.32	0.0	0.12	17.77	39.79	71.5
ZFP62	165.57	256.78	525.39	638.15	738.29	339.14	397.93	392.44	368.65	389.72	825.0	796.86	414.87	483.38	186.4	127.89	105.89	244.57	154.42	211.31	202.66	139.07	173.85	275.28	224.97	221.86	0.0	0.49	376.41	389.72	688.78
ZFYVE16	212.78	212.78	503.95	463.65	435.55	329.84	409.15	265.87	325.29	409.15	665.29	551.56	273.37	647.07	157.68	99.43	209.84	267.73	172.65	198.47	187.71	147.06	236.21	211.31	143.01	343.89	185.11	147.06	379.04	414.87	406.31
ZMYND11	409.15	836.53	1844.76	1769.57	1844.76	928.3	878.17	1059.11	1259.69	1159.07	2434.5	1857.6	928.3	1051.79	633.73	525.39	334.46	830.75	563.18	612.11	567.1	320.8	379.04	620.67	486.75	684.02	0.0	0.55	819.3	981.29	1051.79
ZNF135	51.35	96.68	218.79	177.53	169.07	84.04	116.78	116.78	137.14	119.26	587.13	1175.27	273.37	283.05	24.46	8.78	4.7	39.79	14.89	43.32	14.45	5.36	21.78	21.94	16.63	56.28	0.0	0.38	57.08	98.73	163.28
ZNF181	84.63	130.6	336.79	329.84	384.34	187.71	159.9	149.12	212.78	283.05	612.11	403.5	199.85	356.05	105.15	38.95	34.75	110.43	72.01	97.36	88.88	30.12	66.65	102.97	65.26	104.42	0.0	0.0	137.14	251.48	248.0
ZNF182	31.45	72.01	115.97	112.77	198.47	92.05	126.12	64.8	70.51	78.89	181.28	199.85	118.43	105.15	48.52	12.55	21.16	49.56	65.26	63.45	47.17	16.27	24.46	46.84	48.87	69.52	0.0	0.39	81.14	73.54	189.02
ZNF396	14.45	41.81	176.29	128.79	197.09	52.45	94.67	66.65	115.97	56.68	236.21	117.6	85.22	49.56	15.56	10.55	3.96	29.06	12.74	16.51	22.92	7.57	8.13	18.29	12.27	46.18	0.0	0.06	20.26	37.05	82.87
ZNF397	98.04	194.36	417.77	470.14	435.55	255.0	320.8	197.09	251.48	314.17	753.83	1135.2	267.73	279.14	101.54	70.51	64.34	171.45	67.12	116.78	157.68	76.17	55.1	144.01	85.22	197.09	0.0	0.52	224.97	303.44	400.71
ZNF425	18.16	40.07	69.03	61.25	93.35	30.78	60.39	32.82	57.89	61.25	155.5	61.25	51.35	59.55	29.48	9.2	10.47	25.91	14.35	26.1	22.43	12.45	17.0	48.52	12.09	28.45	0.0	0.0	48.18	49.56	51.35
ZNF429	37.05	91.41	336.79	351.14	255.0	156.59	175.07	141.02	155.5	218.79	476.71	466.88	197.09	140.04	62.56	9.2	16.03	63.0	80.57	58.71	48.52	5.41	25.17	57.08	35.25	46.18	0.0	0.28	109.66	194.36	176.29
ZNF512	211.31	493.56	733.19	825.0	629.35	497.0	591.22	476.71	595.34	529.06	1111.82	1073.91	708.18	981.29	228.13	165.57	151.22	303.44	305.55	309.83	229.72	74.58	186.4	209.84	162.14	432.53	0.0	0.72	473.41	543.96	860.08
ZNF599	82.87	158.79	190.34	118.43	204.07	82.87	154.42	164.42	112.77	113.56	223.41	343.89	198.47	198.47	64.34	89.51	31.67	59.97	151.22	98.73	73.03	31.0	48.52	53.95	53.95	88.26	0.0	0.35	84.04	156.59	264.03
ZNF709	7.82	19.25	49.56	62.12	64.8	39.5	32.82	24.11	40.93	34.75	105.89	90.14	46.84	47.5	12.0	7.63	3.79	16.03	14.35	13.72	13.42	7.28	9.93	12.18	9.56	20.26	0.0	0.17	17.38	37.59	65.26
ZNF862	51.35	139.07	287.01	267.73	414.87	85.22	373.81	199.85	197.09	206.94	547.75	753.83	175.07	176.29	68.07	36.01	45.85	118.43	127.0	64.34	75.11	27.44	43.32	73.03	35.76	105.15	0.0	0.61	163.28	169.07	423.61
ZSCAN30	76.71	137.14	289.02	297.17	351.14	170.25	277.2	136.19	209.84	251.48	547.75	718.08	293.07	299.25	120.94	43.94	45.53	107.38	78.34	92.05	92.7	36.79	51.71	71.0	43.63	155.5	0.0	0.59	153.34	190.34	441.64
