	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.AZ.4323.01A.21R.1839.07	TCGA.G4.6293.01A.11R.1723.07	TCGA.NH.A8F7.01A.11R.A41B.07	TCGA.D5.6922.01A.11R.1928.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.H7.7774.01A.21R.2081.07	TCGA.58.8388.01A.11R.2326.07	TCGA.AF.A56K.01A.32R.A39D.07	TCGA.AH.6547.01A.11R.1830.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.AA6K.01A.11R.A414.31	TCGA.CG.5717.01A.11R.1602.13
DENND4B	226.54	241.19	1388.16	638.15	1051.79	1437.15	1073.91	2075.59	780.44	633.73	796.86	420.68	915.51	603.67	121.79	1540.37	1216.75	733.19	122.64	273.37	392.44	220.32	150.17	171.45	120.1	1467.37	848.22	497.0
DKFZP434H0512	0.0	0.0	2.39	1.07	3.2	1.62	0.44	8.71	2.63	0.48	0.45	0.56	1.03	2.89	0.0	0.3	4.28	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	2.14	0.0
DNMT3A	55.89	59.97	647.07	435.55	384.34	665.29	215.77	480.04	212.78	136.19	312.0	194.36	159.9	172.65	96.01	1208.34	376.41	255.0	76.71	75.64	73.03	105.89	103.69	170.25	55.89	802.41	381.68	199.85
FAM111A	299.25	265.87	563.18	599.49	693.58	571.05	599.49	1044.52	303.44	392.44	323.03	273.37	295.11	190.34	224.97	728.11	447.82	500.46	69.52	131.51	57.49	164.42	125.24	146.03	72.01	1277.29	642.59	253.23
FAM188B	24.46	40.36	232.94	135.24	314.17	176.29	204.07	417.77	72.52	165.57	197.09	24.81	183.82	41.52	30.78	237.86	155.5	77.79	57.89	58.3	41.52	50.27	24.99	28.86	55.1	217.27	212.78	66.65
FKBP9	674.59	1225.22	1143.1	2090.03	1909.85	2148.82	1417.35	3901.01	860.08	1127.35	1909.85	567.1	866.07	571.05	967.76	2271.4	2209.26	1519.15	563.18	1151.06	262.2	753.83	441.64	551.56	400.71	1923.14	1757.34	802.41
GALNT8	0.0	11.91	128.79	67.59	57.08	62.56	28.45	108.9	10.71	5.06	41.52	2.32	35.76	0.0	0.71	15.45	58.3	279.14	0.28	21.94	7.0	1.04	4.39	6.78	3.0	15.91	33.06	9.27
GGT7	34.02	77.79	551.56	180.02	693.58	669.92	182.55	718.08	181.28	146.03	255.0	97.36	104.42	126.12	14.24	620.67	665.29	363.56	23.42	14.56	118.43	115.97	32.36	54.33	13.42	813.63	226.54	197.09
GOLGA8B	62.12	177.53	2075.59	518.15	2163.77	693.58	1819.35	2915.45	348.71	1096.5	529.06	379.04	463.65	409.15	31.9	1313.23	2434.5	791.35	2.58	21.47	27.25	59.55	5.19	9.27	13.22	1143.1	1073.91	329.84
GON4L	221.86	348.71	825.0	503.95	713.11	708.18	718.08	1030.12	493.56	536.45	587.13	406.31	368.65	406.31	195.72	902.89	780.44	543.96	86.43	199.85	161.02	180.02	228.13	186.4	110.43	738.29	693.58	384.34
GRAMD1A	96.01	130.6	3039.3	1963.57	2319.15	1936.53	1857.6	3614.55	540.19	583.07	1781.89	181.28	412.0	249.73	163.28	2976.74	3419.52	1331.57	206.94	74.06	285.03	339.14	178.77	277.2	134.3	2367.9	2935.74	902.89
GTF2H2C	178.77	329.84	486.75	356.05	426.57	351.14	260.38	743.43	166.73	224.97	260.38	134.3	194.36	147.06	136.19	279.14	283.05	283.05	172.65	153.34	176.29	221.86	62.56	157.68	110.43	423.61	420.68	178.77
ING5	202.66	248.0	988.12	285.03	579.04	559.28	368.65	808.0	312.0	329.84	420.68	232.94	305.55	248.0	98.04	660.68	450.94	316.37	76.71	127.0	175.07	140.04	109.66	125.24	92.05	674.59	329.84	232.94
INPPL1	265.87	320.8	2319.15	2255.7	3491.39	3874.05	1870.53	9409.14	1457.23	1191.69	1175.27	1030.12	1561.89	1417.35	366.09	2502.97	3564.78	2119.22	115.16	239.52	307.69	511.0	289.02	346.29	151.22	2935.74	1832.01	1051.79
INTS3	483.38	358.54	2090.03	981.29	1277.29	1583.71	1519.15	2573.36	1096.5	974.5	1233.75	1096.5	1225.22	896.64	454.09	2090.03	1477.58	764.36	267.73	447.82	595.34	567.1	329.84	414.87	267.73	1397.83	1277.29	733.19
KIAA0907	503.95	540.19	2018.8	890.44	1697.45	1407.55	1519.15	2335.28	764.36	866.07	934.76	733.19	616.37	775.05	103.69	2400.97	1081.39	1044.52	41.22	133.36	116.78	209.84	150.17	121.79	81.71	1721.16	1225.22	647.07
KLHL23	16.15	33.3	713.11	155.5	633.73	603.67	237.86	703.28	105.89	54.33	256.78	29.7	134.3	37.05	15.45	353.59	503.95	138.1	47.5	15.34	15.0	72.52	17.9	25.91	12.0	507.46	231.32	76.71
LRRC49	33.3	34.75	224.97	166.73	267.73	98.73	63.0	258.57	47.84	46.18	111.99	27.05	40.36	21.16	38.4	175.07	127.89	87.03	40.93	19.68	27.05	33.78	24.81	23.59	41.52	93.35	47.84	44.25
LUC7L2	96.68	206.94	684.02	379.04	551.56	728.11	500.46	884.29	229.72	295.11	460.44	373.81	244.57	320.8	223.41	603.67	420.68	435.55	176.29	381.68	96.01	295.11	246.28	301.33	287.01	353.59	486.75	255.0
MDC1	108.9	182.55	1037.29	346.29	753.83	836.53	567.1	1073.91	406.31	339.14	620.67	258.57	242.88	246.28	127.89	1151.06	575.03	490.14	47.84	271.48	102.97	171.45	105.15	93.35	71.0	1030.12	532.74	275.28
METAP1D	45.21	68.07	195.72	117.6	285.03	199.85	157.68	251.48	86.43	92.7	81.14	72.52	111.21	80.57	46.84	154.42	336.79	121.79	47.17	54.72	39.79	61.68	35.76	71.5	29.27	251.48	112.77	78.34
MUC21	1019901.63	311742.51	0.0	0.0	0.0	0.0	1.2	24490.61	645473.24	275175.93	112532.89	964885.69	193234.41	906531.99	7803.01	12.83	0.0	0.0	280957.98	405683.88	165904.25	443937.41	741454.2	762299.34	834179.46	0.67	1.06	17317.18
NFXL1	58.71	155.5	236.21	204.07	341.51	273.37	312.0	403.5	125.24	183.82	209.84	133.36	151.22	114.36	99.43	171.45	273.37	167.9	70.51	77.79	98.04	70.51	60.82	78.89	86.43	293.07	361.04	141.02
NRXN2	1.33	9.2	647.07	444.72	241.19	78.34	84.63	256.78	26.1	9.78	69.52	4.13	9.41	16.75	4.66	57.49	85.22	102.25	7.46	23.59	9.27	3.06	11.55	15.68	5.92	579.04	19.39	55.1
PABPC1L	113.56	141.02	2915.45	764.36	2976.74	2739.08	679.29	3443.31	587.13	656.11	688.78	454.09	392.44	329.84	16.27	2384.37	4210.15	842.36	3.56	15.34	74.06	109.66	26.67	25.17	15.34	3212.66	921.88	279.14
PAN2	343.89	327.56	1733.13	1191.69	3303.0	1388.16	1233.75	3325.99	808.0	967.76	688.78	743.43	624.99	836.53	186.4	1551.09	2739.08	1216.75	67.59	182.55	172.65	226.54	98.73	144.01	64.8	1359.57	1081.39	503.95
PASK	206.94	140.04	1977.24	234.57	575.03	389.72	260.38	703.28	87.65	126.12	295.11	115.97	177.53	183.82	57.49	521.76	529.06	115.16	8.65	72.52	43.02	60.39	28.24	30.34	24.46	698.41	341.51	169.07
PCMTD2	511.0	607.87	1883.54	1066.48	1857.6	1781.89	1111.82	1617.0	603.67	591.22	620.67	583.07	400.71	463.65	209.84	1051.79	2720.15	785.88	195.72	228.13	214.27	450.94	189.02	241.19	171.45	2434.5	1183.45	450.94
PDPR	39.5	57.89	420.68	209.84	325.29	323.03	171.45	493.56	107.38	197.09	208.38	148.09	111.99	164.42	90.77	193.01	273.37	229.72	108.14	105.15	109.66	193.01	108.9	120.94	30.56	221.86	497.0	164.42
PIKFYVE	63.89	102.97	236.21	130.6	152.28	148.09	157.68	231.32	121.79	123.5	147.06	120.1	113.56	118.43	76.17	239.52	163.28	154.42	48.18	68.55	57.08	66.18	55.89	50.27	50.27	262.2	152.28	134.3
PLCG1	463.65	447.82	2018.8	1674.06	4869.99	3124.78	1745.2	4836.35	1127.35	1159.07	1883.54	909.17	808.0	1119.56	595.34	3325.99	4181.07	1369.04	130.6	325.29	395.18	332.14	314.17	251.48	177.53	3589.58	1437.15	629.35
POGZ	414.87	318.57	1551.09	497.0	866.07	1081.39	1806.78	3081.75	813.63	802.41	1191.69	819.3	723.08	656.11	212.78	1819.35	802.41	708.18	80.01	209.84	164.42	267.73	191.67	214.27	85.82	1304.15	1104.13	708.18
PRSS53	1.27	2.58	199.85	21.16	50.63	57.08	93.35	162.14	40.07	36.79	37.85	39.5	27.84	27.44	0.96	98.04	90.77	47.84	0.0	3.44	10.47	6.31	3.35	0.0	0.41	30.34	67.59	4.9
PSIP1	287.01	463.65	2502.97	470.14	1037.29	1143.1	825.0	1407.55	432.53	587.13	638.15	312.0	389.72	264.03	412.0	1295.13	909.17	796.86	312.0	693.58	271.48	332.14	457.25	156.59	199.85	688.78	769.69	444.72
RABL2B	161.02	281.09	796.86	559.28	819.3	928.3	660.68	947.83	500.46	587.13	665.29	463.65	463.65	384.34	199.85	1268.46	703.28	536.45	133.36	161.02	244.57	293.07	149.12	204.07	108.14	974.5	775.05	395.18
RBM12B	50.63	71.5	281.09	125.24	215.77	262.2	312.0	343.89	117.6	119.26	190.34	96.01	119.26	98.04	58.71	368.65	220.32	155.5	51.71	32.82	58.71	72.01	26.1	43.32	19.25	361.04	218.79	112.77
SCLY	75.64	55.1	780.44	403.5	733.19	483.38	312.0	954.43	191.67	176.29	571.05	169.07	229.72	185.11	105.15	397.93	503.95	258.57	198.47	149.12	187.71	236.21	128.79	119.26	123.5	417.77	195.72	204.07
SLC39A10	49.56	153.34	497.0	269.6	743.43	503.95	351.14	836.53	164.42	264.03	316.37	80.01	75.11	72.52	53.95	525.39	540.19	206.94	46.5	26.67	63.45	91.41	29.06	29.91	26.1	974.5	414.87	144.01
SLC9A5	1.33	2.51	57.89	19.97	22.92	42.11	31.67	74.06	10.96	11.73	12.45	10.24	14.78	5.54	0.85	34.26	33.54	19.25	0.34	0.52	0.72	2.27	0.97	1.25	0.0	21.47	34.51	5.28
SRSF6	1225.22	2224.63	3820.7	3168.41	3614.55	3349.13	2875.3	7331.05	1437.15	2178.83	2573.36	1378.57	1427.22	1233.75	1051.79	3982.99	5183.54	2224.63	1143.1	1001.93	1081.39	1651.0	1111.82	1151.06	928.3	4095.0	2855.44	1617.0
SS18L1	171.45	165.57	460.44	320.8	497.0	514.56	316.37	633.73	206.94	253.23	332.14	173.85	273.37	183.82	103.69	444.72	669.92	281.09	50.98	129.69	211.31	81.71	82.87	76.71	130.6	532.74	351.14	193.01
STK36	135.24	119.26	1745.2	1023.0	1487.87	1242.34	860.08	2193.99	525.39	587.13	490.14	669.92	587.13	579.04	87.65	1268.46	1923.14	575.03	39.79	66.65	146.03	165.57	74.06	94.01	60.82	1870.53	753.83	490.14
TCTE3	3.56	3.41	25.91	5.87	14.45	16.03	12.27	40.36	8.13	5.15	5.68	5.77	3.35	0.0	0.0	16.51	16.27	14.67	0.05	0.89	0.61	5.63	0.0	0.03	0.0	6.94	12.09	1.5
TIA1	295.11	457.25	1819.35	1529.73	1745.2	2193.99	1883.54	3847.29	738.29	1277.29	1605.83	934.76	921.88	738.29	178.77	2537.92	2303.12	1397.83	156.59	162.14	217.27	432.53	193.01	281.09	154.42	2319.15	1832.01	909.17
TIGD4	0.96	2.63	17.0	5.73	27.25	20.41	3.59	37.32	1.93	2.18	3.63	0.79	1.43	1.43	1.01	11.91	29.48	9.85	1.62	0.22	3.17	1.62	1.3	3.32	0.19	15.56	6.52	3.79
TRIM52	102.97	138.1	423.61	212.78	441.64	242.88	373.81	435.55	146.03	157.68	161.02	152.28	119.26	119.26	36.79	256.78	267.73	334.46	18.03	33.78	28.86	57.49	33.3	35.5	23.42	363.56	429.54	167.9
TSPYL2	77.25	466.88	2609.3	555.41	1037.29	884.29	1628.26	3614.55	669.92	368.65	500.46	267.73	507.46	273.37	82.29	723.08	1457.23	921.88	21.32	68.55	73.03	85.82	61.25	60.82	94.67	567.1	718.08	305.55
ZDHHC17	68.55	186.4	599.49	221.86	297.17	303.44	563.18	738.29	171.45	339.14	303.44	161.02	161.02	139.07	77.25	536.45	460.44	285.03	37.59	68.55	54.72	85.82	74.06	59.97	53.19	303.44	249.73	177.53
ZKSCAN8	28.45	92.05	376.41	165.57	271.48	309.83	255.0	463.65	102.25	172.65	214.27	83.45	56.68	70.01	53.19	444.72	271.48	206.94	25.17	33.06	26.86	71.0	38.95	35.76	29.91	559.28	211.31	143.01
ZNF141	67.12	78.34	193.01	116.78	264.03	226.54	195.72	285.03	74.06	91.41	131.51	77.25	85.82	102.97	34.75	231.32	193.01	156.59	11.38	27.84	20.41	28.65	24.99	17.13	29.06	209.84	194.36	72.01
ZNF354B	91.41	159.9	275.28	218.79	426.57	262.2	366.09	595.34	167.9	154.42	224.97	151.22	114.36	170.25	34.02	343.89	307.69	191.67	15.45	15.8	59.13	48.52	34.26	29.48	20.86	307.69	297.17	140.04
ZNF594	16.27	27.44	155.5	34.75	78.34	79.45	139.07	242.88	34.26	34.51	80.57	41.52	39.5	35.25	11.55	141.02	81.14	75.11	7.11	4.7	12.74	29.06	6.41	13.22	1.35	145.02	63.45	31.9
ZNF660	0.0	8.99	68.07	8.32	41.81	10.96	27.44	63.0	7.06	7.11	10.31	5.68	3.59	4.28	2.63	18.84	15.56	26.67	2.16	8.71	1.85	8.0	2.51	1.79	0.29	63.0	21.78	10.63
ZNF713	9.27	26.67	31.67	28.45	33.3	36.01	44.25	87.03	25.35	19.25	44.89	11.73	10.24	20.26	27.05	142.01	48.18	28.24	12.09	8.38	9.7	17.25	17.51	18.7	9.13	117.6	56.28	25.91
