	TCGA.ET.A3DQ.01A.11R.A19O.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.FY.A3NM.01A.11R.A21D.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A2PP.01A.11R.A19O.07	TCGA.EM.A3O8.01A.11R.A220.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3T1.11A.11R.A22L.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.DO.A1JZ.11A.11R.A13Y.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EM.A1CT.11A.11R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.ZV6S.0226.SM.59HJT	GTEX.WRHU.0926.SM.4E3IG	GTEX.WH7G.0526.SM.3NMBI	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.QV44.0826.SM.2S1RG	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11EQ9.0626.SM.5A5K1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.RU72.0126.SM.2TF6Z	GTEX.11I78.0526.SM.5986A	GTEX.13N2G.0726.SM.5MR38	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.13G51.1226.SM.5K7Z3	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.PX3G.2626.SM.2I3EG	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.12WSN.0726.SM.5GCMS	GTEX.Y5V5.0326.SM.5RQJG	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZT9X.0226.SM.51MT2	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.X8HC.0726.SM.46MWG	GTEX.11NUK.1026.SM.5HL5J	GTEX.1211K.0726.SM.5FQUW	GTEX.131XG.0226.SM.5IFG1	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.12696.0326.SM.5EGL4	GTEX.13FTW.0626.SM.5IFEX
PYHIN1	83.45	2.07	6.73	7.94	66.65	11.47	7.94	8.19	163.28	12.18	9.13	49.56	90.14	171.45	8.13	32.82	34.26	4.82	46.5	4.06	94.01	5.06	49.21	7.75	6.89	5.11	3.66	2.01	3.47	253.23	156.59	7.0	104.42	339.14	7.63	166.73	102.97	113.56	5.73	3.66	209.84	5.36	43.63	14.14	58.3	255.0	17.51	111.99	12.64	97.36	3.11	17.64	38.4	46.84	15.8	21.01	73.03	8.06	5.28	42.11	3.96	97.36	43.02	8.65	56.68	10.79	9.34	20.86	26.86	13.12	7.06	9.2	7.11	13.22	37.32	4.28	2.89	16.15	314.17	4.06	63.45	7.94	10.55	50.27	66.65	236.21	59.97	59.55	18.16	55.1	18.84	22.43	7.06	19.97	81.71	10.63	11.64	47.5	18.29	1.5	21.16	81.71	5.28	31.0	5.23	80.01	46.84	16.63	13.52	7.11	17.64	39.5	262.2	5.5	52.45	22.43	46.5	15.91	8.45	22.1	30.56	30.78	27.05	0.77	5.54	3.86	7.22	185.11	16.27	6.89	41.22	53.57	4.21	14.56	5.63	1.77	34.75	95.34	9.2	28.04	52.08	35.25	10.31	9.56	9.2	9.78
RASGRP1	52.82	3.92	4.46	9.06	35.25	10.24	5.02	3.32	115.97	12.09	7.34	27.84	64.34	62.56	4.28	12.93	13.22	11.21	27.84	4.21	35.25	6.94	35.76	2.56	9.06	1.87	2.27	9.41	2.03	145.02	86.43	5.19	55.1	118.43	6.31	73.03	68.55	58.3	4.43	3.76	64.8	4.82	34.26	10.0	31.0	144.01	10.24	91.41	9.27	40.64	4.54	8.25	53.57	30.78	12.64	10.39	94.67	6.67	1.99	24.46	4.03	16.39	27.05	6.52	36.27	14.24	8.58	1.57	7.34	2.12	3.32	6.06	5.82	10.55	29.27	3.96	10.24	12.55	170.25	4.78	31.67	2.61	10.55	22.26	28.65	102.25	35.5	28.04	8.85	53.95	13.62	29.48	4.74	31.45	18.7	11.73	4.03	30.34	2.29	2.23	8.51	44.89	4.39	12.64	1.83	31.9	21.94	47.5	10.96	7.28	9.48	24.11	142.01	4.24	31.22	17.38	25.91	13.42	13.12	11.91	12.93	10.71	18.29	3.79	4.54	3.2	3.03	164.42	10.39	5.02	45.53	55.49	1.53	5.92	20.11	3.66	21.78	26.1	3.89	5.59	11.21	23.42	10.88	5.54	7.69	8.51
RBP5	281.09	72.01	66.18	67.59	92.05	114.36	63.0	49.56	656.11	339.14	52.45	143.01	476.71	283.05	115.97	283.05	220.32	46.84	343.89	133.36	376.41	112.77	132.44	52.82	75.11	47.17	49.56	59.55	102.97	703.28	525.39	68.07	514.56	796.86	162.14	591.22	246.28	420.68	85.22	53.19	466.88	73.03	218.79	140.04	214.27	1529.73	142.01	559.28	59.13	194.36	96.68	108.14	346.29	271.48	151.22	120.1	147.06	104.42	88.88	214.27	71.5	291.04	154.42	91.41	279.14	58.3	107.38	154.42	197.09	51.35	74.06	141.02	66.18	162.14	444.72	163.28	69.52	140.04	723.08	74.58	633.73	303.44	107.38	115.16	358.54	1331.57	81.71	429.54	183.82	229.72	94.67	420.68	159.9	102.25	262.2	173.85	111.21	162.14	105.89	84.04	426.57	125.24	204.07	164.42	88.26	325.29	56.28	1794.29	37.32	118.43	63.0	279.14	277.2	97.36	283.05	316.37	281.09	229.72	28.24	105.15	260.38	113.56	126.12	51.35	120.1	135.24	85.22	1594.73	88.26	84.04	189.02	193.01	74.58	316.37	72.52	146.03	195.72	209.84	81.71	90.77	718.08	507.46	146.03	47.17	151.22	175.07
RUFY4	7.22	2.07	0.0	0.35	16.88	8.25	0.29	4.78	51.71	0.93	1.57	8.58	10.55	22.1	0.68	4.98	5.92	0.0	9.13	0.0	6.26	1.17	32.13	3.14	0.0	3.26	1.2	0.32	0.31	47.5	17.13	0.0	14.35	16.75	1.03	37.85	8.19	23.76	1.79	0.31	17.9	1.33	25.91	1.08	7.22	94.67	5.45	17.25	0.72	4.74	2.05	2.1	5.77	6.41	2.2	10.08	34.02	2.81	0.0	0.0	5.36	1.66	6.89	1.46	4.39	1.75	2.86	3.5	2.07	0.37	0.73	0.0	0.65	3.03	10.88	1.07	1.71	0.0	29.06	0.38	1.66	0.38	5.23	5.92	5.92	47.5	4.28	4.7	3.59	2.71	3.2	5.63	2.68	0.0	2.29	0.71	0.38	8.51	4.31	0.8	1.66	15.68	0.39	2.61	3.79	44.25	0.0	4.43	1.03	0.73	0.0	3.76	41.81	0.37	3.82	1.38	2.29	5.96	0.0	2.71	2.1	3.53	6.52	0.69	2.92	0.0	0.0	95.34	2.07	0.37	6.11	33.54	1.06	2.12	5.23	2.14	11.47	3.2	2.27	0.0	3.26	4.94	1.69	0.73	1.6	2.07
SAMD3	48.52	6.78	4.24	3.44	66.65	8.06	13.03	6.84	172.65	12.0	33.3	43.94	69.03	115.16	17.9	31.67	33.06	6.31	55.89	14.67	71.5	6.78	33.78	2.29	10.0	3.11	2.63	8.78	4.66	193.01	126.12	20.11	73.54	190.34	5.5	97.36	65.26	70.51	9.13	2.86	113.56	6.62	68.07	16.27	97.36	197.09	13.22	96.68	23.08	75.11	7.34	5.68	26.67	22.92	9.48	26.67	22.92	3.63	8.58	27.05	4.78	73.03	17.77	11.3	28.65	16.15	7.69	3.96	21.01	10.96	9.56	22.59	6.06	19.11	35.5	14.78	7.0	36.01	143.01	4.35	48.87	6.94	8.58	45.53	96.68	144.01	20.41	42.41	15.56	78.89	6.16	25.72	7.11	40.07	43.63	12.93	3.35	41.22	8.92	8.13	17.13	108.9	11.04	36.79	13.32	47.5	40.93	31.67	17.64	19.11	5.63	11.73	77.25	7.46	43.02	7.4	23.76	4.31	7.22	11.55	18.7	9.13	31.0	1.89	9.27	4.24	7.06	197.09	27.05	7.11	61.25	58.71	4.28	9.06	8.0	8.38	9.78	28.24	3.0	26.47	92.05	23.42	11.13	6.16	8.78	7.34
SCML4	40.07	2.46	4.28	3.32	11.55	10.39	2.56	1.16	73.03	9.85	4.46	27.25	54.33	37.59	2.05	12.09	12.27	1.87	16.63	9.63	39.79	10.96	23.42	4.03	3.59	2.53	1.83	0.79	1.53	107.38	68.07	11.73	41.22	90.14	4.78	141.02	27.64	59.13	1.41	4.1	60.82	7.28	23.93	38.12	26.47	170.25	15.0	38.67	24.81	19.68	13.93	32.36	10.0	25.72	26.86	14.03	16.15	7.88	2.05	15.22	0.0	8.13	10.79	10.16	21.16	9.41	10.96	9.78	29.48	10.39	24.11	19.25	2.56	14.78	14.56	1.71	3.66	21.94	110.43	14.35	28.86	4.17	17.25	25.91	34.02	94.67	14.35	26.47	11.38	29.27	14.14	25.17	19.68	18.16	28.45	33.54	19.11	23.08	8.78	0.96	28.45	28.45	12.93	13.22	2.92	52.08	23.93	12.27	32.13	9.34	11.82	18.56	65.26	4.28	10.88	12.09	31.45	6.94	4.66	17.51	11.38	40.36	29.91	2.86	7.94	13.03	6.31	119.26	12.83	19.25	31.0	29.91	12.27	10.16	6.31	9.63	18.84	18.97	5.19	4.35	20.41	27.64	4.06	3.82	11.55	12.09
SH2D1A	50.63	0.53	3.41	2.27	40.64	7.22	2.18	3.23	105.89	4.78	5.15	31.9	81.14	104.42	1.38	19.97	18.29	0.2	31.9	1.89	69.52	1.55	38.4	1.66	6.52	2.56	3.32	1.31	1.51	209.84	121.79	6.78	94.67	287.01	4.06	143.01	105.89	94.67	1.25	1.95	140.04	4.43	76.71	5.82	54.72	215.77	7.69	74.58	8.51	39.5	5.5	13.72	41.81	29.06	10.71	14.89	108.14	7.88	1.25	15.45	6.46	30.34	32.82	5.32	62.56	9.56	10.39	11.38	19.82	3.0	9.2	9.34	4.58	15.11	37.05	0.0	7.17	16.27	392.44	8.0	28.45	4.74	7.28	16.88	30.12	198.47	53.19	18.03	18.7	52.82	14.78	33.54	11.91	20.41	42.41	22.43	14.03	21.78	11.13	4.66	20.11	26.1	2.32	22.26	5.59	79.45	13.22	18.29	12.09	16.03	5.59	12.93	194.36	2.1	8.38	11.13	51.71	15.8	3.11	24.63	27.64	6.84	34.75	3.0	6.16	4.7	1.71	193.01	21.16	1.64	51.35	25.91	10.63	13.32	8.32	6.31	21.16	31.9	5.23	8.78	7.75	16.39	4.39	4.17	4.13	13.52
SKAP1	162.14	55.49	11.47	21.16	86.43	201.25	14.35	15.34	223.41	32.36	29.06	87.65	147.06	123.5	20.56	48.18	309.83	12.09	81.71	59.97	157.68	114.36	151.22	14.45	371.22	13.22	11.91	18.16	13.93	384.34	262.2	31.0	190.34	420.68	23.93	262.2	134.3	170.25	11.3	10.39	329.84	19.82	158.79	30.56	120.94	423.61	9.78	154.42	48.87	70.51	42.11	23.42	66.18	92.05	38.4	33.3	201.25	19.97	5.82	47.5	7.75	108.9	42.41	13.32	98.73	18.97	36.01	114.36	37.05	40.07	19.97	85.22	5.92	22.43	62.56	27.44	21.47	67.59	373.81	14.67	96.01	14.78	43.94	49.56	150.17	258.57	51.35	59.97	241.19	130.6	12.36	63.89	20.86	158.79	59.13	39.5	44.57	96.01	12.45	17.25	47.17	54.33	27.84	52.45	236.21	291.04	58.3	57.89	34.26	17.0	56.28	36.27	392.44	9.56	312.0	39.79	83.45	36.53	7.28	27.44	58.71	38.4	97.36	3.79	27.05	12.55	2.05	412.0	29.7	75.64	84.63	162.14	35.76	60.39	124.37	24.99	43.32	55.1	13.72	172.65	15.22	71.0	46.5	7.34	7.51	28.86
SLFN12L	24.81	5.73	8.38	5.92	39.22	10.55	2.86	2.94	84.63	13.83	15.0	22.92	23.08	47.17	3.63	11.04	11.55	1.3	20.11	5.23	19.53	11.82	23.42	4.46	7.34	4.17	0.88	2.23	4.94	63.45	46.18	9.56	22.1	98.73	5.15	47.84	45.53	67.12	4.35	5.63	46.84	7.46	40.93	6.67	21.16	99.43	7.06	50.63	18.84	11.91	9.06	12.27	29.91	28.65	9.34	13.42	29.27	14.67	5.45	18.29	2.03	23.42	11.21	13.22	18.43	9.34	18.03	6.26	11.64	5.54	21.63	12.36	3.92	9.78	13.03	1.51	11.3	16.51	105.15	8.45	75.64	7.17	13.83	38.67	36.53	127.0	29.7	34.26	9.93	25.72	10.63	16.27	0.23	12.36	28.24	12.74	14.14	48.87	11.73	1.55	10.0	19.82	4.98	13.52	4.43	43.02	11.3	25.72	8.19	7.69	14.14	19.82	67.59	2.58	20.11	24.99	28.45	6.52	10.63	6.46	20.26	16.03	19.11	0.83	4.5	7.06	3.2	129.69	3.0	10.39	28.65	32.59	13.42	15.11	18.7	10.71	15.11	46.18	11.04	6.41	8.78	19.11	7.63	8.19	5.28	11.04
SP140	134.3	5.96	11.21	10.71	81.14	13.62	6.46	10.31	264.03	19.82	16.75	73.54	256.78	169.07	10.39	66.18	38.95	5.77	63.89	13.22	157.68	17.38	72.01	14.24	12.64	11.91	6.41	4.13	4.39	444.72	201.25	12.45	157.68	381.68	12.83	273.37	177.53	212.78	12.74	5.87	229.72	8.85	90.14	12.45	66.65	802.41	12.27	111.99	15.8	44.89	5.36	17.13	68.07	68.55	24.11	29.06	102.25	37.32	13.62	34.75	22.92	62.56	53.95	27.64	106.63	7.06	21.78	22.43	31.22	20.56	13.03	23.25	26.86	25.17	71.5	12.18	29.27	39.5	224.97	18.97	108.14	7.06	24.63	57.08	106.63	529.06	105.15	90.14	51.35	157.68	22.59	99.43	34.26	32.13	104.42	44.25	13.32	73.03	7.11	37.32	17.9	99.43	17.51	53.19	15.8	75.11	27.84	61.68	20.71	23.59	12.74	29.91	289.02	8.06	43.94	20.71	52.45	20.71	24.81	12.36	64.34	39.5	58.71	9.78	2.27	10.0	8.85	279.14	30.56	21.78	152.28	125.24	5.5	22.26	12.09	21.47	72.01	38.67	24.28	7.69	47.84	55.1	20.71	29.06	29.7	19.68
SP140L	178.77	98.04	103.69	102.97	318.57	124.37	90.77	71.0	371.22	82.29	94.01	205.5	223.41	269.6	98.73	130.6	131.51	62.56	253.23	93.35	258.57	90.14	262.2	163.28	61.68	132.44	79.45	121.79	82.29	444.72	303.44	108.14	208.38	429.54	107.38	368.65	239.52	400.71	218.79	88.26	299.25	111.99	197.09	98.73	146.03	575.03	107.38	409.15	95.34	147.06	104.42	151.22	138.1	316.37	185.11	122.64	329.84	115.16	119.26	87.03	82.29	151.22	152.28	176.29	232.94	182.55	144.01	157.68	201.25	91.41	149.12	86.43	110.43	154.42	149.12	120.94	136.19	187.71	493.56	130.6	218.79	171.45	156.59	144.01	251.48	511.0	229.72	164.42	178.77	264.03	99.43	152.28	63.89	195.72	228.13	133.36	87.65	231.32	169.07	89.51	124.37	194.36	123.5	181.28	135.24	140.04	105.15	204.07	182.55	157.68	150.17	158.79	273.37	59.55	147.06	78.34	251.48	165.57	172.65	85.22	177.53	258.57	176.29	64.8	104.42	63.45	79.45	656.11	82.87	205.5	301.33	253.23	120.94	106.63	248.0	113.56	162.14	113.56	172.65	105.15	148.09	191.67	92.7	108.14	111.21	148.09
STAMBPL1	73.03	19.11	60.82	17.25	46.18	23.93	34.26	14.24	143.01	7.17	43.94	74.06	98.73	96.68	8.78	24.63	40.07	27.25	105.89	29.06	55.49	15.68	44.57	19.11	17.9	19.39	3.44	22.92	16.15	146.03	95.34	22.75	74.58	199.85	15.56	113.56	78.89	90.77	12.0	11.21	113.56	17.25	96.68	27.05	87.65	215.77	22.43	92.05	19.97	77.25	17.13	28.04	47.17	74.58	25.54	32.13	50.98	11.73	11.3	43.63	4.98	52.08	61.68	22.59	85.82	13.93	16.75	37.85	27.44	25.17	17.64	18.29	16.15	18.03	93.35	40.93	13.32	22.59	181.28	19.25	69.52	20.41	23.59	84.04	106.63	147.06	91.41	86.43	32.82	93.35	25.91	53.57	15.91	55.1	44.57	23.42	12.18	83.45	24.11	10.39	43.32	103.69	20.11	57.49	22.92	80.57	38.12	70.51	18.43	19.82	18.97	54.72	60.82	14.67	77.25	73.54	73.54	15.11	11.82	12.64	43.63	29.06	37.85	12.74	20.71	12.0	11.82	180.02	32.59	22.1	116.78	60.82	6.36	14.67	27.05	16.51	34.02	21.94	12.36	19.11	34.75	41.22	46.18	21.63	29.91	15.91
TAGAP	173.85	11.73	17.64	12.64	57.08	26.86	11.3	7.06	314.17	15.0	17.64	104.42	166.73	127.0	5.5	43.02	37.85	8.32	60.82	15.34	131.51	17.51	72.52	11.21	11.64	15.68	6.01	3.92	4.28	244.57	146.03	11.38	102.25	381.68	10.96	295.11	190.34	279.14	12.36	7.4	275.28	9.7	273.37	27.64	137.14	332.14	25.72	85.22	20.86	159.9	15.45	55.49	85.82	63.89	25.35	36.27	80.01	14.89	13.83	89.51	9.48	36.53	36.53	15.91	165.57	5.19	20.11	5.23	30.56	9.85	29.91	15.56	9.06	28.24	111.21	24.28	19.82	20.56	813.63	29.7	132.44	14.67	24.63	73.03	105.15	194.36	70.01	38.95	48.52	140.04	17.9	61.68	22.43	49.56	28.24	23.76	21.16	63.0	28.45	10.96	32.36	100.83	6.73	30.78	19.39	97.36	38.67	84.63	28.86	27.05	18.84	57.49	224.97	11.55	62.12	37.32	55.89	40.64	16.63	36.01	37.59	56.68	94.01	3.26	30.56	6.52	12.74	444.72	50.63	13.72	138.1	54.72	8.51	22.75	24.46	12.93	51.71	64.34	24.81	19.53	25.91	36.79	14.14	25.72	3.86	23.59
TBX21	26.86	1.89	7.57	2.32	27.84	3.92	3.96	7.22	83.45	17.25	3.35	18.16	20.11	47.17	4.06	10.0	13.42	2.39	20.11	4.7	29.27	6.46	32.36	6.16	5.45	2.34	0.67	3.26	2.78	114.36	58.71	7.0	58.3	85.82	3.2	64.8	48.18	38.95	2.89	4.43	59.97	3.44	32.59	19.68	24.11	66.18	13.03	54.72	8.65	43.94	7.22	7.0	19.68	21.32	18.29	5.02	47.17	6.01	3.17	13.03	4.58	19.68	14.24	4.13	35.25	13.72	8.78	3.96	20.86	3.2	9.56	12.64	5.23	5.06	22.26	11.82	5.5	6.57	92.7	6.11	46.5	13.32	7.82	19.25	36.53	55.1	25.54	25.91	15.91	33.78	10.08	7.88	3.11	23.59	11.13	10.31	10.79	23.25	9.7	1.85	7.94	28.24	5.92	22.59	4.86	20.71	14.78	12.18	8.58	2.78	6.94	25.54	38.67	2.07	10.79	17.25	21.01	4.66	6.46	6.41	24.63	21.78	13.22	2.61	7.4	3.82	6.31	153.34	23.25	15.45	46.5	16.51	4.9	9.41	5.15	6.52	15.0	35.0	7.46	6.57	21.47	25.54	4.06	4.7	4.35	8.32
TESPA1	56.68	2.66	9.78	12.83	31.22	20.56	3.72	8.0	165.57	7.34	5.96	45.53	127.89	82.29	10.88	22.43	28.65	11.91	27.44	6.62	90.14	3.99	50.63	3.89	16.88	8.13	26.67	3.44	2.18	299.25	101.54	10.47	115.16	218.79	9.63	175.07	72.01	141.02	24.81	12.27	136.19	10.71	84.04	37.05	59.13	438.59	7.4	70.01	35.76	48.52	48.87	19.39	42.41	64.8	20.56	33.54	55.49	15.34	1.6	23.59	20.41	65.26	31.22	7.0	29.48	11.3	11.64	3.0	14.03	16.88	13.12	18.97	8.78	6.46	52.08	18.03	9.2	16.63	234.57	25.91	92.05	12.64	7.57	65.72	76.71	228.13	44.89	40.93	7.06	81.71	21.47	53.19	10.24	62.12	70.51	11.64	11.55	29.06	9.78	7.22	21.16	85.22	15.22	23.93	9.78	289.02	8.99	49.56	23.93	40.07	45.53	115.16	105.89	13.12	43.02	43.02	22.1	28.45	15.56	26.1	33.06	49.21	30.34	16.88	20.11	4.54	7.51	305.55	40.93	24.81	104.42	110.43	50.27	14.45	12.64	9.63	18.03	12.36	13.52	10.08	25.91	60.39	23.25	11.04	21.78	10.16
TG	202841.44	938500.81	654483.73	945028.61	400098.69	1085552.95	542775.98	900270.11	290865.98	783730.52	794671.01	286861.53	400098.69	565825.41	811368.76	736332.6	794671.01	721179.07	307450.64	992012.34	614902.29	857631.47	160252.91	772940.66	1147449.11	978355.0	828417.36	654483.73	701458.36	711250.37	636586.81	881742.8	857631.47	475800.4	1131651.83	645473.24	496005.67	794671.01	1005860.33	828417.36	731246.37	805764.22	1282030.25	1364554.84	2068278.89	828417.36	1026995.62	414208.18	1452391.55	509950.32	2247670.86	2126426.15	1212874.47	762299.34	1327240.99	1751305.3	1273174.62	1273174.62	1503610.06	2375828.71	2111737.85	496005.67	1611529.43	1611529.43	757033.75	1308968.45	1070607.81	1493223.86	1739208.14	1634025.56	1131651.83	1838374.44	857631.47	1997825.68	1535204.12	1984025.69	1336472.68	1273174.62	174152.51	1093103.58	610654.84	1997825.68	1290947.48	1139523.1	1984025.69	1355129.16	397335.0	1196176.45	2986448.72	1567462.05	1472666.19	2025714.3	1318073.06	2425749.94	459592.86	1402917.72	1929772.37	1299926.74	1299926.74	762299.34	971597.0	1034138.94	1943195.01	1622738.51	1727194.55	1589343.01	1100706.72	1123834.93	1012856.65	1085552.95	1336472.68	711250.37	881742.8	2636147.11	716197.51	2263304.65	1229805.58	1775752.63	2111737.85	1108362.75	1691649.38	1238359.56	1668359.93	1800541.22	985160.01	3178687.03	3886391.01	789181.81	1645391.11	1622738.51	237899.7	659036.03	1123834.93	863596.77	1085552.95	2263304.65	1535204.12	2672946.37	906531.99	1514068.5	1567462.05	1864037.21	1634025.56	1402917.72	881742.8	1026995.62
THEMIS	27.05	1.16	2.73	3.2	7.51	3.23	1.77	0.25	37.59	8.71	2.89	18.97	30.78	39.79	1.16	2.56	10.79	0.0	11.55	4.86	22.43	0.97	5.23	2.29	4.39	1.2	0.23	1.11	1.33	50.98	46.84	8.92	27.64	70.01	3.41	42.11	25.91	23.93	2.29	3.47	40.36	4.66	35.0	11.47	19.39	63.89	19.82	42.41	9.48	14.89	4.03	6.67	18.43	14.14	13.62	8.99	19.25	2.73	2.36	11.13	0.16	17.13	6.73	5.36	11.91	3.66	7.4	1.39	8.19	4.54	6.31	0.56	1.23	3.99	25.35	3.23	5.02	10.88	111.21	4.74	41.52	3.76	8.32	21.32	17.13	58.3	30.34	15.91	8.78	17.77	6.06	21.16	4.39	9.78	24.28	12.74	6.84	27.64	6.94	2.1	9.34	16.88	0.65	7.69	1.79	24.11	26.47	21.01	10.16	4.28	11.55	18.03	87.65	0.97	24.11	6.06	28.24	7.82	3.23	9.63	8.32	16.27	24.11	1.35	10.71	3.35	1.46	69.52	5.59	5.63	27.05	31.22	1.81	2.76	7.17	4.74	21.32	12.74	3.38	9.63	6.67	31.0	9.56	6.84	0.51	6.57
