	TCGA.A2.A25F.01A.11R.A169.07	TCGA.B6.A0RT.01A.21R.A084.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	GTEX.11DXX.1226.SM.5GICD	GTEX.PWOO.1026.SM.48TCN	GTEX.12WSL.1326.SM.5LZVW	GTEX.ZZ64.0326.SM.5E45S	GTEX.Z9EW.0626.SM.5HL95	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.6145.11A.01R.1858.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.39.5040.01A.21R.2125.07	TCGA.43.6771.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07	TCGA.HU.8602.01A.11R.2402.13
ASPDH	1.53	8.65	0.0	4543.8	4210.15	3589.58	1.27	1.27	5.54	3.06	11.3	8.65	10.55	202.66	32.82	25.72	2627.46	202.66	3515.68	3955.48	5076.84	3901.01	2367.9	2796.65	3847.29	3716.2	5633.22	11424.74	17317.18	15075.35	13681.08	19214.73	18950.18	17927.91	14461.21	26248.46	14971.21	12329.98	17317.18	12943.04	28132.47	20030.74	23656.34	17317.18	22850.48	12943.04	18689.27	31870.96	4268.94	18689.27	8538.88	18689.27	21468.49	14663.09	13492.72	13399.51	14065.74	20310.37	3280.18	0.0	0.24	14.45	19.53	4.94	3.79	2.89	1.03
BLVRB	1508.65	1883.54	1977.24	6337.83	7695.57	4512.4	1977.24	1977.24	2816.11	2875.3	2835.7	2047.0	3847.29	1923.14	5594.3	2255.7	12589.08	1322.37	9088.59	5872.48	8718.32	6561.36	5672.41	5791.62	7911.95	6164.49	11112.3	10225.32	15824.9	6037.61	5831.91	5517.27	20737.16	5517.27	7589.61	9474.59	15607.02	6294.04	11189.6	16611.71	10883.59	5076.84	21320.18	11112.3	9474.59	7081.29	5076.84	10733.74	7803.01	12943.04	4671.57	11745.96	10368.08	6079.61	11664.82	8305.36	7382.04	6561.36	7433.4	0.0	0.6	3372.43	3212.66	1605.83	3124.78	3847.29	2485.67
BNIP3	830.75	591.22	1030.12	5006.93	3372.43	3467.27	848.22	848.22	674.59	1159.07	988.12	753.83	836.53	3018.3	1806.78	2816.11	4181.07	1487.87	4038.61	3874.05	4358.66	3665.02	3235.01	3235.01	5112.16	3955.48	3564.78	10883.59	5954.47	1819.35	4512.4	3395.89	6983.79	2855.44	4358.66	2915.45	5329.3	7589.61	2645.74	7911.95	3742.05	4869.99	4607.24	4239.45	3540.14	7433.4	5183.54	3372.43	5292.48	3742.05	3874.05	3303.0	2956.17	5872.48	3614.55	1561.89	3794.3	6607.01	4239.45	0.0	0.77	802.41	890.44	728.11	728.11	796.86	327.56
BPHL	237.86	264.03	301.33	2645.74	4123.49	1896.65	152.28	152.28	215.77	105.15	108.14	105.89	128.79	616.37	733.19	1111.82	2032.85	3168.41	1697.45	3325.99	1721.16	2271.4	1883.54	2591.27	4419.52	1806.78	1883.54	3212.66	3901.01	3690.52	4972.34	5633.22	5041.77	4010.71	4481.23	5479.15	5329.3	2915.45	3168.41	2739.08	5633.22	4937.99	3820.7	4066.71	4358.66	4869.99	5183.54	5954.47	1991.0	3491.39	3395.89	3982.99	3039.3	4543.8	4095.0	2163.77	3982.99	4358.66	1467.37	0.0	0.28	228.13	217.27	454.09	190.34	172.65	150.17
C16orf58	607.87	813.63	599.49	2335.28	2018.8	1594.73	1001.93	1001.93	1119.56	1407.55	1159.07	902.89	1096.5	2075.59	1073.91	607.87	1167.14	934.76	1832.01	1923.14	2209.26	2104.58	1572.76	1508.65	1487.87	1388.16	1806.78	1936.53	1819.35	2209.26	1721.16	2895.31	2384.37	1745.2	1923.14	2163.77	2271.4	1977.24	2573.36	2502.97	2451.44	2895.31	2209.26	2193.99	1950.0	3103.19	2163.77	3372.43	1519.15	1832.01	2367.9	2133.97	1991.0	1896.65	1757.34	2004.85	2104.58	2032.85	2032.85	0.0	0.77	1081.39	1268.46	915.51	1066.48	941.27	669.92
C16orf70	414.87	327.56	190.34	995.0	825.0	543.96	497.0	497.0	299.25	356.05	301.33	237.86	244.57	518.15	579.04	316.37	629.35	457.25	309.83	941.27	743.43	860.08	723.08	599.49	616.37	551.56	836.53	961.07	616.37	603.67	1233.75	1359.57	802.41	1427.22	567.1	1540.37	934.76	947.83	1477.58	1008.9	1388.16	1030.12	738.29	669.92	679.29	1191.69	1457.23	1199.98	684.02	842.36	825.0	1023.0	633.73	947.83	842.36	283.05	902.89	708.18	1457.23	0.0	0.22	246.28	253.23	299.25	239.52	217.27	387.02
C16orf86	35.76	53.95	12.64	129.69	141.02	80.57	26.86	26.86	63.89	107.38	96.68	109.66	140.04	24.81	41.22	39.79	95.34	20.71	132.44	88.88	161.02	131.51	138.1	77.25	93.35	62.12	122.64	199.85	124.37	194.36	169.07	305.55	131.51	134.3	142.01	193.01	267.73	122.64	221.86	105.15	341.51	341.51	189.02	145.02	145.02	218.79	120.94	234.57	71.0	77.25	108.9	201.25	136.19	126.12	185.11	57.08	199.85	214.27	68.07	0.0	0.31	89.51	119.26	32.36	68.55	62.56	17.0
CBR1	1259.69	1313.23	954.43	5329.3	3901.01	3639.7	3955.48	3955.48	2178.83	1685.71	1572.76	1001.93	1594.73	141.02	3742.05	1794.29	5517.27	2351.53	3901.01	4836.35	5147.73	3716.2	4836.35	3955.48	5913.33	4152.18	4802.93	4836.35	8778.97	4543.8	6207.38	5403.7	14765.09	3820.7	7331.05	7485.11	14765.09	5633.22	4038.61	10733.74	11664.82	7911.95	10959.3	9673.69	7280.4	11504.21	12943.04	4543.8	3372.43	23330.64	3491.39	10808.41	9088.59	7966.99	11189.6	2935.74	6792.79	7966.99	4607.24	0.0	0.87	1369.04	1427.22	954.43	1001.93	1427.22	2224.63
CUX2	11.04	9.48	0.62	99.43	231.32	57.49	0.0	0.0	2.53	6.52	1.41	1.53	1.5	11.73	18.16	14.67	236.21	11.04	262.2	120.94	279.14	94.67	299.25	42.11	195.72	303.44	490.14	521.76	848.22	1199.98	178.77	275.28	1216.75	825.0	205.5	2555.58	915.51	1322.37	1721.16	172.65	1498.22	137.14	400.71	454.09	1662.49	69.52	86.43	2591.27	688.78	20.56	100.13	403.5	1191.69	420.68	1378.57	703.28	587.13	1066.48	73.54	0.0	0.0	0.0	2.07	0.31	1.06	1.04	1.35
D2HGDH	136.19	457.25	450.94	591.22	866.07	723.08	395.18	395.18	409.15	480.04	420.68	320.8	447.82	624.99	414.87	521.76	403.5	325.29	224.97	563.18	638.15	684.02	426.57	587.13	454.09	236.21	368.65	669.92	738.29	1044.52	660.68	2018.8	878.17	1088.92	684.02	1250.98	878.17	928.3	878.17	547.75	1119.56	1551.09	866.07	1540.37	947.83	1066.48	1208.34	1733.13	463.65	624.99	718.08	988.12	878.17	1159.07	988.12	928.3	954.43	878.17	511.0	0.0	1.06	376.41	591.22	417.77	289.02	239.52	320.8
EBPL	974.5	947.83	1277.29	4268.94	2739.08	2720.15	2351.53	2351.53	791.35	764.36	486.75	536.45	555.41	1617.0	1561.89	995.0	3081.75	1721.16	4066.71	3639.7	4066.71	3372.43	3060.45	3372.43	3982.99	4123.49	4268.94	2627.46	3614.55	3280.18	3443.31	4575.41	7331.05	6745.86	3982.99	3395.89	3928.15	2915.45	4419.52	4123.49	4450.27	5441.3	5872.48	4210.15	5183.54	4095.0	2816.11	3820.7	3874.05	3515.68	2976.74	5479.15	4210.15	4268.94	4210.15	4152.18	4736.79	6037.61	2609.3	0.0	0.51	1044.52	1008.9	595.34	708.18	836.53	1225.22
ECI1	642.59	1159.07	1551.09	4704.07	5954.47	3874.05	947.83	947.83	1322.37	1388.16	1175.27	1487.87	1628.26	7331.05	2271.4	2004.85	4038.61	2319.15	5403.7	3982.99	6426.31	4181.07	2468.49	3982.99	5751.61	3820.7	5594.3	7230.1	8479.89	6250.56	6426.31	5594.3	7857.29	5995.9	6652.97	6792.79	8247.98	6426.31	8078.22	5479.15	7180.15	6887.62	12676.65	6607.01	7537.18	5594.3	6381.92	6983.79	4671.57	16383.0	5366.37	11504.21	7857.29	5255.91	7695.57	6516.03	7081.29	5751.61	5594.3	0.0	0.83	1191.69	1001.93	1208.34	1023.0	1111.82	974.5
ECI2	616.37	547.75	463.65	5112.16	5041.77	5041.77	309.83	309.83	1467.37	1135.2	961.07	1208.34	1870.53	2855.44	1427.22	2287.2	6294.04	5517.27	5112.16	5219.6	4671.57	6426.31	4010.71	3955.48	5831.91	4639.29	6652.97	7032.37	9606.86	6294.04	7966.99	4769.75	14065.74	5791.62	8718.32	6840.04	12502.12	4543.8	5711.87	7382.04	9215.48	8718.32	10014.87	9606.86	10440.2	11909.94	8658.09	7180.15	5995.9	12676.65	5913.33	7180.15	6207.38	10154.69	8305.36	5633.22	8778.97	8598.28	3146.52	0.0	0.67	808.0	665.29	518.15	656.11	713.11	83.45
EPHX1	1508.65	1551.09	595.34	34158.52	26067.14	27363.16	4210.15	4210.15	4575.41	1417.35	2537.92	1674.06	2835.7	10733.74	7537.18	12415.75	37639.55	71219.26	21768.19	23492.92	22850.48	32767.0	18178.19	23169.48	31650.8	31870.96	38164.99	59063.35	89523.81	42937.97	55107.99	54349.29	74760.09	51417.5	72715.74	46662.28	169390.27	27938.14	65535.0	236256.4	67846.12	47642.77	119776.72	66449.85	52135.28	50709.61	47974.16	63742.91	14361.31	147462.67	46339.95	87681.42	66912.05	52497.92	79022.82	53973.86	55491.3	63742.91	50709.61	0.0	0.65	5872.48	1250.98	571.05	5751.61	6121.9	1572.76
FAM173A	258.57	995.0	262.2	480.04	884.29	698.41	246.28	246.28	417.77	540.19	320.8	223.41	460.44	836.53	400.71	559.28	514.56	348.71	435.55	656.11	921.88	555.41	669.92	679.29	684.02	460.44	884.29	624.99	743.43	684.02	796.86	780.44	559.28	961.07	896.64	928.3	1233.75	713.11	819.3	808.0	1340.84	780.44	902.89	540.19	1030.12	579.04	1322.37	575.03	607.87	890.44	669.92	1023.0	1001.93	693.58	748.61	738.29	743.43	674.59	1208.34	0.0	0.55	525.39	642.59	236.21	336.79	395.18	708.18
FUOM	674.59	547.75	291.04	8305.36	8963.45	5633.22	162.14	162.14	343.89	320.8	267.73	255.0	181.28	941.27	624.99	2701.35	7966.99	3395.89	7749.1	9945.68	8538.88	11035.54	6207.38	6164.49	9740.98	6207.38	11827.67	13968.57	10659.59	16045.82	14867.79	14361.31	20030.74	15285.81	23492.92	23169.48	19348.38	9808.75	17927.91	9279.58	26067.14	15824.9	39237.98	16157.44	17558.94	18560.17	18178.19	16611.71	7749.1	18178.19	8363.13	25179.16	16496.96	12764.83	10014.87	11504.21	13492.72	18819.27	8363.13	0.0	0.45	808.0	928.3	206.94	651.58	854.13	540.19
GCAT	96.01	269.6	100.83	1467.37	1397.83	988.12	159.9	159.9	412.0	260.38	194.36	221.86	228.13	1030.12	490.14	503.95	1950.0	432.53	1628.26	1519.15	1709.26	1709.26	954.43	947.83	1605.83	1159.07	2004.85	1417.35	2816.11	2451.44	2163.77	3982.99	8840.04	2627.46	2875.3	3257.52	3280.18	674.59	1733.13	2895.31	3325.99	4123.49	3395.89	3716.2	2609.3	4481.23	2758.13	1651.0	1651.0	6561.36	2664.15	3103.19	1508.65	928.3	3039.3	2351.53	1936.53	1639.59	607.87	0.0	0.21	121.79	209.84	229.72	166.73	163.28	376.41
GNPTG	1008.9	1467.37	1151.06	2240.11	2627.46	2032.85	813.63	813.63	1277.29	1540.37	1250.98	1143.1	1487.87	1447.15	1605.83	1313.23	1467.37	1447.15	2287.2	2502.97	2502.97	2209.26	2209.26	2119.22	2090.03	2193.99	2335.28	2520.38	3257.52	2997.45	2119.22	2351.53	3060.45	2271.4	3103.19	2047.0	2816.11	2240.11	2384.37	2895.31	3303.0	2104.58	2240.11	2148.82	2956.17	3589.58	3235.01	2537.92	2163.77	4736.79	1757.34	3168.41	3235.01	2835.7	2720.15	1794.29	2520.38	2061.24	3639.7	0.0	0.88	1733.13	1617.0	836.53	1870.53	1662.49	651.58
GRHPR	2384.37	1437.15	2119.22	20310.37	17197.56	16496.96	974.5	974.5	2384.37	1733.13	1757.34	1369.04	2004.85	5255.91	3235.01	2367.9	12160.22	4123.49	19618.49	18304.63	17804.06	21320.18	13306.94	12076.21	20451.65	14461.21	22850.48	23986.58	30572.63	27553.49	21026.65	26800.01	46662.28	19348.38	21320.18	37901.36	30151.71	20881.4	35118.87	16611.71	29327.18	36610.26	43840.21	40341.14	27363.16	33224.42	25530.66	28328.16	10225.32	29124.6	16727.26	30572.63	23169.48	22692.63	32994.92	21919.61	28132.47	27363.16	9876.98	1769.57	98.73	1572.76	1674.06	2367.9	1487.87	1467.37	1628.26
HAGH	454.09	703.28	813.63	6745.86	6250.56	7331.05	305.55	305.55	1540.37	1467.37	1697.45	2032.85	2796.65	4419.52	1407.55	1407.55	2720.15	1322.37	5517.27	7589.61	5594.3	7642.41	5711.87	3467.27	5995.9	4419.52	6745.86	5147.73	13399.51	10084.54	7433.4	8658.09	11827.67	8901.53	12415.75	11827.67	15607.02	6887.62	18560.17	9215.48	11827.67	11664.82	21026.65	10883.59	10084.54	14765.09	9088.59	10084.54	2520.38	15392.14	4802.93	15934.98	12076.21	11745.96	12329.98	7537.18	9215.48	12853.63	3146.52	1286.18	381.68	1572.76	988.12	603.67	1350.18	1407.55	1081.39
HEPACAM	14.03	3.03	0.0	162.14	107.38	199.85	0.0	0.0	10.96	13.32	3.89	12.45	5.5	1.57	0.0	1.97	91.41	0.0	19.68	48.52	163.28	56.68	62.56	90.14	108.9	175.07	244.57	540.19	119.26	500.46	295.11	521.76	211.31	316.37	460.44	2104.58	429.54	1340.84	293.07	211.31	470.14	366.09	49.21	3325.99	591.22	236.21	115.16	612.11	63.89	191.67	307.69	791.35	249.73	473.41	1733.13	108.14	182.55	258.57	237.86	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.0
HEPN1	18.97	6.84	0.0	571.05	373.81	414.87	0.0	0.0	7.69	11.38	7.46	4.58	14.78	1.06	1.06	0.0	426.57	0.0	38.4	253.23	555.41	201.25	208.38	450.94	209.84	486.75	547.75	1769.57	470.14	2591.27	2061.24	2502.97	791.35	1936.53	1477.58	6607.01	1073.91	5913.33	1183.45	941.27	2855.44	1508.65	92.7	6079.61	3794.3	444.72	332.14	2384.37	435.55	638.15	1322.37	1447.15	866.07	1721.16	6561.36	447.82	1628.26	1519.15	1073.91	0.0	0.12	1.01	2.81	0.51	0.55	3.2	0.0
HINT2	836.53	1359.57	928.3	5913.33	4903.87	3491.39	591.22	591.22	842.36	629.35	575.03	540.19	1127.35	2976.74	1844.76	1583.71	4066.71	1322.37	5147.73	5183.54	6699.25	5147.73	4358.66	5255.91	5403.7	5366.37	5711.87	9025.81	9025.81	4388.98	5954.47	7130.55	10296.45	4512.4	6471.02	6164.49	10014.87	5555.65	7130.55	8778.97	6792.79	7032.37	12244.81	6652.97	6745.86	6250.56	6079.61	5791.62	7081.29	8305.36	3325.99	8191.0	6426.31	6294.04	7695.57	4769.75	6250.56	5831.91	6381.92	0.0	0.29	1259.69	1242.34	665.29	941.27	995.0	507.46
HNF4A	0.0	0.0	0.0	2816.11	2209.26	1322.37	0.0	0.0	0.0	3.69	3.5	7.63	7.22	1977.24	1561.89	915.51	3467.27	2915.45	1529.73	2400.97	2701.35	3081.75	1551.09	988.12	2148.82	1350.18	2701.35	3639.7	1605.83	4123.49	995.0	3280.18	4802.93	3124.78	1896.65	14065.74	2335.28	2018.8	7382.04	2645.74	4095.0	1498.22	3372.43	7230.1	2224.63	4543.8	3039.3	3419.52	1870.53	1359.57	1331.57	3901.01	1844.76	2133.97	4358.66	836.53	3540.14	2287.2	2555.58	0.0	0.0	6.21	10.88	0.27	1.3	2.78	1135.2
