	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.11EM3.1326.SM.5N9C6	GTEX.ZF2S.2026.SM.5E461	GTEX.ZXES.0826.SM.5E43C	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.P4QT.0626.SM.3NMCP	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4369.01A.01R.1157.13	TCGA.BR.4294.01A.01R.1131.13	TCGA.RD.A8N6.01A.11R.A36D.31
EPB41L5	595.34	551.56	521.76	583.07	463.65	620.67	629.35	708.18	830.75	403.5	248.0	232.94	269.6	220.32	279.14	435.55	273.37	229.72	339.14	397.93	312.0	228.13	195.72	138.1	226.54	173.85	223.41	236.21	1023.0	493.56	483.38
EPC2	688.78	612.11	718.08	660.68	624.99	896.64	660.68	656.11	432.53	78.34	532.74	215.77	264.03	169.07	153.34	373.81	256.78	178.77	212.78	163.28	104.42	242.88	187.71	88.26	262.2	164.42	195.72	177.53	457.25	353.59	511.0
FAF2	748.61	665.29	620.67	780.44	669.92	842.36	1015.93	723.08	915.51	460.44	764.36	435.55	460.44	400.71	438.59	551.56	511.0	348.71	483.38	454.09	567.1	543.96	540.19	371.22	587.13	616.37	688.78	612.11	954.43	753.83	743.43
FAM228B	371.22	432.53	384.34	332.14	289.02	327.56	420.68	329.84	223.41	135.24	289.02	199.85	260.38	87.65	81.71	251.48	164.42	120.94	166.73	23.42	39.79	28.04	29.48	29.48	66.18	53.95	23.59	29.48	277.2	395.18	183.82
FASTKD3	277.2	323.03	343.89	277.2	251.48	214.27	353.59	366.09	277.2	114.36	454.09	157.68	262.2	159.9	176.29	236.21	181.28	127.89	208.38	137.14	93.35	256.78	114.36	80.57	150.17	114.36	122.64	215.77	432.53	303.44	511.0
FBXO38	507.46	480.04	629.35	532.74	624.99	693.58	733.19	791.35	647.07	525.39	423.61	336.79	379.04	312.0	307.69	341.51	571.05	384.34	371.22	316.37	314.17	237.86	231.32	176.29	417.77	264.03	305.55	251.48	599.49	500.46	432.53
GPBP1	1950.0	1819.35	1794.29	1709.26	1583.71	2537.92	1551.09	1991.0	1605.83	1135.2	1651.0	753.83	1015.93	915.51	738.29	1477.58	1127.35	791.35	988.12	733.19	713.11	759.08	902.89	860.08	775.05	909.17	842.36	1088.92	1331.57	1268.46	995.0
GTF3C4	316.37	332.14	316.37	336.79	312.0	366.09	543.96	395.18	543.96	146.03	251.48	147.06	201.25	120.94	108.9	194.36	144.01	115.16	181.28	72.52	120.1	248.0	199.85	236.21	205.5	159.9	190.34	163.28	318.57	269.6	148.09
GXYLT1	232.94	131.51	161.02	116.78	186.4	236.21	186.4	237.86	143.01	102.25	128.79	78.89	98.04	94.01	62.12	108.9	77.79	62.56	75.64	73.54	51.71	39.5	44.25	17.25	45.85	32.59	44.25	41.81	277.2	182.55	193.01
HFM1	14.45	18.56	10.55	13.03	16.03	14.78	25.35	13.62	6.31	0.0	51.35	4.43	7.22	14.14	1.28	49.91	11.64	1.33	5.92	0.0	0.0	1.38	3.26	3.56	1.99	0.07	0.0	0.68	29.06	19.25	24.28
KRT4	22.1	0.0	0.95	7.28	0.93	5.96	5.36	10.71	21.32	3.697379928E7	606436.73	1.810644424E7	6140819.49	2.276004283E7	3359929.59	21468.49	84109.6	3.109113511E7	282912.21	111.21	63.45	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	0.0	0.0	4.66
LCA5L	56.28	72.52	96.68	78.89	59.97	105.89	86.43	180.02	88.26	19.11	87.65	17.0	35.25	25.17	22.92	42.11	26.28	9.78	29.48	4.5	5.77	16.63	8.06	5.23	21.94	2.03	5.68	10.0	49.56	63.89	55.89
LRIG3	728.11	830.75	713.11	647.07	642.59	854.13	775.05	909.17	543.96	412.0	759.08	426.57	575.03	444.72	241.19	669.92	454.09	473.41	363.56	120.1	246.28	232.94	376.41	126.12	305.55	353.59	258.57	236.21	928.3	878.17	688.78
LRRC57	417.77	358.54	387.02	450.94	450.94	392.44	438.59	417.77	473.41	204.07	351.14	231.32	256.78	211.31	231.32	255.0	246.28	215.77	267.73	224.97	187.71	248.0	181.28	231.32	363.56	264.03	228.13	148.09	361.04	275.28	540.19
MDH1B	60.39	39.79	73.03	36.27	44.25	79.45	43.02	91.41	52.82	12.93	237.86	10.31	22.92	10.88	13.32	25.54	20.26	11.91	15.34	2.48	2.14	2.94	3.23	8.19	4.62	7.75	3.29	3.23	32.82	144.01	22.59
MSI2	775.05	708.18	769.69	854.13	743.43	967.76	909.17	1059.11	1437.15	271.48	780.44	351.14	332.14	277.2	301.33	444.72	361.04	231.32	265.87	67.12	193.01	131.51	113.56	151.22	256.78	187.71	246.28	117.6	693.58	507.46	674.59
MTR	450.94	332.14	361.04	253.23	406.31	587.13	379.04	358.54	414.87	57.08	318.57	112.77	120.1	45.53	63.45	209.84	158.79	52.45	158.79	31.45	37.32	49.56	44.89	45.21	70.01	52.45	53.57	46.18	400.71	559.28	285.03
NCSTN	2720.15	2075.59	1977.24	2485.67	1909.85	2645.74	4769.75	2520.38	4268.94	1697.45	2935.74	1685.71	2271.4	1651.0	1674.06	2627.46	1617.0	1340.84	1674.06	1583.71	1529.73	1001.93	1030.12	836.53	1427.22	1159.07	1295.13	872.1	4298.64	4066.71	3794.3
NFX1	656.11	698.41	764.36	665.29	738.29	836.53	1008.9	688.78	842.36	476.71	483.38	536.45	603.67	480.04	420.68	358.54	587.13	555.41	620.67	301.33	297.17	358.54	414.87	159.9	575.03	341.51	490.14	503.95	457.25	679.29	507.46
OSBPL9	2133.97	1991.0	2090.03	2075.59	1794.29	2193.99	2609.3	1977.24	2555.58	872.1	1037.29	532.74	733.19	579.04	406.31	1023.0	941.27	450.94	1242.34	575.03	819.3	406.31	226.54	229.72	525.39	412.0	423.61	395.18	1605.83	934.76	1674.06
OSGEPL1	267.73	234.57	253.23	221.86	224.97	336.79	285.03	273.37	185.11	85.82	271.48	81.14	119.26	90.14	74.58	130.6	127.0	77.79	81.14	29.27	26.67	75.11	46.18	38.95	63.89	50.98	52.82	40.93	248.0	358.54	154.42
OTOGL	6.52	5.32	34.26	119.26	18.84	31.22	3.0	9.2	11.47	1.11	40.64	16.39	4.86	3.26	3.63	11.82	8.92	3.82	3.53	0.0	1.13	0.0	0.04	0.0	1.39	0.35	1.53	0.67	18.56	37.32	21.01
PMPCB	1844.76	1832.01	1923.14	1594.73	1359.57	2119.22	2400.97	1709.26	2367.9	775.05	1733.13	1242.34	1447.15	1037.29	967.76	1519.15	1388.16	1088.92	1304.15	723.08	633.73	967.76	532.74	514.56	1001.93	872.1	728.11	753.83	2255.7	3018.3	1286.18
POLR3F	293.07	269.6	231.32	241.19	223.41	277.2	320.8	287.01	381.68	96.01	409.15	144.01	208.38	126.12	136.19	273.37	150.17	100.83	142.01	116.78	94.01	171.45	107.38	108.14	107.38	126.12	113.56	120.94	353.59	466.88	312.0
RAD17	599.49	563.18	521.76	547.75	511.0	684.02	575.03	743.43	435.55	255.0	514.56	206.94	281.09	226.54	177.53	320.8	316.37	215.77	325.29	194.36	178.77	251.48	134.3	139.07	275.28	241.19	181.28	224.97	346.29	563.18	366.09
RBM43	248.0	249.73	271.48	205.5	209.84	293.07	277.2	379.04	309.83	55.89	120.94	40.36	61.68	54.72	28.86	112.77	45.21	35.76	40.93	36.53	37.32	81.71	39.5	17.9	52.45	57.89	41.22	33.54	101.54	127.89	130.6
RNF24	356.05	318.57	312.0	432.53	323.03	444.72	269.6	395.18	466.88	229.72	612.11	316.37	249.73	366.09	275.28	289.02	318.57	376.41	189.02	108.9	146.03	117.6	94.67	138.1	138.1	239.52	143.01	156.59	642.59	748.61	323.03
SCAND3	31.67	56.68	64.8	30.56	42.71	137.14	83.45	89.51	50.98	14.78	13.03	2.78	5.19	5.87	1.97	11.3	6.36	3.92	8.71	13.32	0.0	0.8	0.0	0.0	5.63	0.71	6.67	0.0	22.75	8.51	44.89
SEC63	2485.67	1639.59	1437.15	1407.55	1304.15	1977.24	909.17	2758.13	2400.97	642.59	1277.29	591.22	896.64	476.71	536.45	1088.92	1059.11	480.04	813.63	547.75	583.07	305.55	346.29	231.32	318.57	414.87	447.82	392.44	1628.26	1259.69	2090.03
SLC11A2	1359.57	1350.18	1127.35	1143.1	1127.35	1037.29	1397.83	1135.2	1651.0	1551.09	825.0	890.44	813.63	775.05	1015.93	941.27	703.28	679.29	860.08	813.63	463.65	406.31	414.87	332.14	624.99	603.67	521.76	432.53	1551.09	1151.06	1037.29
SLC35F1	5.73	3.79	4.39	8.32	7.82	6.26	5.15	4.03	3.38	0.0	224.97	8.0	5.19	1.22	2.84	12.74	14.24	1.66	3.08	0.65	0.68	1.23	1.68	1.06	2.92	0.09	0.54	0.55	5.45	71.5	28.04
SLU7	1143.1	1104.13	1111.82	836.53	1066.48	1268.46	1551.09	1096.5	1540.37	780.44	674.59	669.92	890.44	679.29	693.58	878.17	656.11	518.15	514.56	540.19	540.19	748.61	426.57	241.19	555.41	392.44	629.35	947.83	981.29	915.51	785.88
SMARCA1	1088.92	791.35	974.5	616.37	507.46	3212.66	353.59	5292.48	1277.29	36.53	521.76	172.65	159.9	124.37	89.51	395.18	314.17	119.26	269.6	16.88	105.89	83.45	25.17	79.45	119.26	82.87	53.19	32.82	353.59	723.08	376.41
SMARCAD1	587.13	473.41	514.56	473.41	466.88	915.51	543.96	620.67	483.38	224.97	493.56	204.07	381.68	239.52	228.13	262.2	318.57	178.77	232.94	148.09	163.28	361.04	239.52	156.59	256.78	206.94	199.85	314.17	543.96	253.23	283.05
SMN2	884.29	759.08	8.06	743.43	830.75	1322.37	909.17	156.59	981.29	607.87	1605.83	420.68	511.0	51.35	316.37	2303.12	351.14	281.09	264.03	157.68	277.2	71.0	454.09	583.07	511.0	30.12	2.53	642.59	1457.23	2796.65	836.53
SNAP91	9.63	1.53	3.59	31.0	2.14	6.01	9.13	8.13	8.92	0.21	38.67	1.19	10.88	0.0	0.0	35.76	6.31	3.26	14.14	0.0	1.0	2.51	3.59	0.27	8.71	1.85	0.65	6.01	11.91	45.85	20.41
SNX5	2609.3	1977.24	1806.78	2303.12	1991.0	1936.53	1963.57	2537.92	2351.53	1794.29	4123.49	1697.45	2319.15	1529.73	1457.23	3847.29	1617.0	1322.37	1467.37	1159.07	1540.37	1950.0	947.83	1111.82	1233.75	909.17	796.86	1208.34	6983.79	5913.33	4481.23
STMN3	400.71	629.35	591.22	713.11	796.86	1015.93	825.0	1628.26	808.0	115.16	2240.11	389.72	457.25	159.9	181.28	1037.29	307.69	204.07	163.28	63.0	115.97	329.84	281.09	420.68	121.79	56.28	81.14	62.56	551.56	1769.57	769.69
TCTN2	447.82	447.82	417.77	366.09	373.81	587.13	432.53	486.75	444.72	92.05	432.53	96.01	148.09	95.34	69.03	246.28	159.9	76.17	96.68	59.13	55.89	42.71	59.55	20.86	92.7	31.9	52.82	25.72	251.48	397.93	195.72
TIGD6	127.0	191.67	236.21	198.47	153.34	208.38	183.82	221.86	211.31	89.51	138.1	71.0	63.89	90.77	54.33	72.52	74.58	52.82	94.67	27.25	69.03	65.72	29.06	34.02	67.59	45.21	59.97	33.78	135.24	156.59	197.09
TLK1	878.17	743.43	813.63	819.3	674.59	890.44	796.86	967.76	785.88	493.56	486.75	299.25	329.84	279.14	249.73	497.0	387.02	358.54	336.79	301.33	297.17	251.48	149.12	96.01	205.5	182.55	218.79	198.47	563.18	470.14	555.41
TMEM121	16.51	77.79	76.71	45.21	69.52	69.03	62.12	82.87	87.65	31.45	236.21	41.81	44.57	18.56	36.27	76.71	33.3	18.56	29.27	6.67	26.28	4.21	3.35	61.25	20.56	4.62	3.82	3.23	48.18	185.11	159.9
TMEM64	348.71	318.57	316.37	244.57	316.37	371.22	218.79	438.59	234.57	189.02	334.46	116.78	202.66	105.15	98.04	258.57	176.29	97.36	108.14	62.12	113.56	307.69	102.25	111.21	223.41	65.26	234.57	136.19	208.38	241.19	120.1
TMX4	921.88	860.08	775.05	825.0	738.29	928.3	1008.9	1135.2	748.61	62.56	2193.99	217.27	218.79	158.79	112.77	231.32	239.52	173.85	237.86	59.97	94.67	191.67	83.45	89.51	164.42	112.77	125.24	90.77	189.02	1286.18	384.34
TTC21B	267.73	258.57	273.37	229.72	346.29	480.04	316.37	376.41	277.2	81.14	289.02	84.04	114.36	72.01	73.03	190.34	163.28	73.03	102.97	18.16	21.94	33.54	40.64	43.02	73.54	48.18	25.54	31.45	262.2	215.77	249.73
TVP23C	223.41	143.01	251.48	189.02	246.28	293.07	142.01	262.2	193.01	191.67	135.24	164.42	185.11	131.51	119.26	253.23	113.56	67.59	105.89	124.37	125.24	50.98	111.99	96.68	62.12	122.64	100.13	54.33	206.94	297.17	163.28
VEZF1	1551.09	1529.73	1359.57	1508.65	1407.55	1832.01	2090.03	1721.16	1617.0	371.22	759.08	518.15	599.49	363.56	356.05	656.11	808.0	387.02	583.07	71.5	182.55	420.68	136.19	214.27	587.13	224.97	271.48	251.48	842.36	759.08	941.27
VSX1	1.57	4.9	3.29	0.0	4.98	12.45	12.36	3.66	3.69	0.0	92.05	0.77	6.57	0.83	0.0	16.39	0.62	0.0	1.22	0.0	0.0	0.43	0.0	1.28	0.0	0.0	1.16	0.18	7.94	33.06	10.55
VWA9	769.69	830.75	819.3	854.13	733.19	1037.29	1225.22	915.51	928.3	567.1	830.75	583.07	559.28	473.41	500.46	733.19	551.56	457.25	543.96	332.14	320.8	563.18	366.09	253.23	493.56	423.61	483.38	384.34	642.59	603.67	599.49
WBP1	1685.71	2032.85	2018.8	2018.8	1950.0	2537.92	2895.31	3325.99	2895.31	1001.93	3303.0	1088.92	723.08	1051.79	902.89	769.69	1457.23	928.3	1806.78	688.78	896.64	457.25	480.04	693.58	813.63	854.13	525.39	511.0	2193.99	3280.18	1963.57
XRN2	1685.71	1331.57	1359.57	1583.71	1286.18	1216.75	1594.73	1594.73	1697.45	476.71	1745.2	708.18	995.0	438.59	607.87	1250.98	647.07	435.55	698.41	339.14	500.46	1127.35	540.19	808.0	819.3	629.35	698.41	665.29	2997.45	2319.15	1721.16
ZBTB24	169.07	162.14	169.07	146.03	145.02	129.69	197.09	199.85	189.02	57.08	191.67	61.68	92.05	58.71	55.1	121.79	70.01	63.0	82.87	51.35	55.89	111.21	71.5	41.52	73.54	67.12	56.68	70.51	155.5	88.88	149.12
ZBTB6	220.32	212.78	193.01	132.44	169.07	256.78	251.48	231.32	223.41	94.01	115.97	78.89	114.36	82.87	67.12	90.77	94.01	68.55	92.05	65.72	89.51	180.02	62.12	66.18	106.63	84.04	77.79	74.58	218.79	206.94	112.77
ZBTB8A	153.34	78.34	133.36	167.9	112.77	109.66	176.29	114.36	199.85	66.18	122.64	41.52	68.55	35.5	39.79	74.06	78.34	35.25	55.49	14.56	24.28	45.85	29.7	30.12	48.87	23.25	23.76	35.25	100.13	92.05	115.16
ZNF84	536.45	518.15	669.92	438.59	507.46	830.75	633.73	718.08	529.06	152.28	463.65	204.07	228.13	172.65	159.9	334.46	356.05	164.42	297.17	68.07	79.45	71.5	46.18	42.41	180.02	82.87	111.99	53.19	547.75	457.25	343.89
