	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.FD.A3SR.01A.11R.A22U.07	TCGA.FD.A3B6.01A.21R.A20F.07	TCGA.JY.A6FE.01A.11R.A336.31	TCGA.UF.A7JV.01A.11R.A34R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.69.A59K.01A.11R.A262.07	TCGA.35.4122.01A.01R.1107.07	GTEX.U3ZH.0526.SM.3DB75	TCGA.33.4589.01A.01R.1443.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.12WSB.0726.SM.5N9GD
C1QTNF9	0.0	0.3	1.81	0.28	1.13	0.0	0.0	2.34	2.97	5.63	0.0	0.56	2.86	8.32
C1orf101	3.2	7.88	15.91	2.78	7.88	7.17	0.0	16.88	8.06	27.05	7.94	11.64	12.64	21.94
C2CD2L	87.03	218.79	429.54	275.28	314.17	212.78	0.0	403.5	102.25	438.59	33.78	275.28	281.09	291.04
C2orf27B	0.0	0.0	0.91	0.0	0.66	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.85
C5orf20	0.29	0.0	3.56	1.64	0.73	3.53	0.0	3.56	0.0	34.02	0.0	13.12	13.72	12.45
C9orf153	0.0	0.0	3.0	0.28	1.57	2.12	0.0	2.12	0.0	7.75	4.13	0.59	5.68	3.63
CABLES2	58.3	110.43	236.21	136.19	146.03	169.07	0.0	260.38	115.97	127.89	15.56	137.14	95.34	83.45
CASP12	0.0	1.77	3.03	0.0	2.48	3.53	0.0	4.06	7.63	115.16	0.77	15.11	4.86	44.89
CBR4	80.57	105.15	224.97	129.69	80.01	136.19	214.27	209.84	121.79	299.25	164.42	318.57	309.83	341.51
CCDC39	0.0	1.5	14.14	1.43	11.64	5.02	0.0	21.63	2.36	273.37	2.51	15.68	13.93	39.5
CCDC54	0.0	0.0	1.81	0.0	2.39	0.39	0.0	2.51	0.99	3.44	0.0	1.62	0.44	3.44
CCDC66	61.25	84.63	201.25	82.87	162.14	108.14	201.25	356.05	43.63	529.06	24.81	273.37	223.41	368.65
CCNK	529.06	555.41	934.76	595.34	808.0	802.41	0.0	995.0	329.84	642.59	460.44	738.29	693.58	708.18
CEP120	76.71	48.18	114.36	107.38	78.89	127.0	0.0	132.44	64.8	339.14	22.92	209.84	224.97	258.57
CEP135	23.76	23.76	97.36	62.12	57.89	74.06	0.0	85.82	27.25	167.9	18.16	75.64	105.15	104.42
CEP68	78.34	110.43	260.38	73.54	180.02	102.25	116.78	283.05	72.52	361.04	102.25	199.85	228.13	318.57
CHD2	128.79	358.54	595.34	301.33	379.04	429.54	0.0	733.19	73.54	470.14	115.16	743.43	567.1	819.3
CNST	82.87	93.35	295.11	92.05	69.52	105.15	0.0	309.83	102.25	283.05	73.54	178.77	209.84	249.73
COL24A1	1.79	8.58	21.47	2.27	7.22	10.88	0.0	29.27	14.35	5.28	1.57	15.45	27.44	8.13
CR1	0.0	6.16	33.3	5.82	16.39	10.0	0.0	27.25	35.5	73.03	3.38	66.18	85.22	53.95
CREBRF	22.92	67.59	157.68	41.22	47.17	105.15	0.0	195.72	71.5	389.72	41.52	234.57	220.32	400.71
CTD-2583A14.10	14.45	9.2	69.03	24.46	40.93	44.89	0.0	42.11	12.18	47.84	9.56	59.55	61.68	120.1
DCTD	981.29	1104.13	1745.2	1183.45	1397.83	1651.0	0.0	1674.06	2104.58	1407.55	1135.2	1583.71	1508.65	2367.9
DDX17	1417.35	2758.13	3874.05	2119.22	3820.7	3039.3	2287.2	6037.61	1437.15	9540.5	1088.92	6840.04	4736.79	8479.89
DGKQ	57.89	170.25	221.86	49.56	154.42	201.25	0.0	269.6	89.51	241.19	32.82	251.48	212.78	221.86
DHX29	124.37	149.12	281.09	142.01	244.57	281.09	0.0	275.28	97.36	432.53	94.67	289.02	376.41	332.14
DHX30	620.67	665.29	974.5	647.07	1081.39	759.08	848.22	1447.15	414.87	842.36	191.67	1059.11	848.22	796.86
DNAJC14	285.03	309.83	507.46	351.14	339.14	363.56	420.68	620.67	214.27	353.59	169.07	457.25	473.41	426.57
DNASE1L3	7.51	9.93	23.08	15.45	20.11	27.64	0.0	34.75	32.82	438.59	100.83	198.47	211.31	532.74
DYNC1H1	3794.3	2573.36	5403.7	2485.67	4512.4	4481.23	0.0	4639.29	1030.12	2997.45	2417.67	4869.99	4972.34	3564.78
DZANK1	30.78	38.95	49.91	35.0	41.52	46.18	0.0	46.5	22.1	122.64	11.3	63.0	71.5	64.34
EBLN2	0.91	4.17	20.86	5.06	18.16	11.13	0.0	55.89	2.73	46.18	0.0	22.75	15.22	24.11
EFCAB12	0.0	4.39	7.51	4.43	6.16	1.3	0.0	12.55	3.47	105.89	0.95	23.08	13.72	21.32
ERVW-1	0.0	0.89	4.54	0.29	1.62	0.0	0.0	7.0	0.0	5.73	0.82	3.35	1.97	3.41
FAM124B	0.0	10.24	14.67	5.28	11.64	5.73	0.0	18.97	16.88	111.21	1.91	41.52	24.81	41.52
FAM19A1	0.0	0.0	1.5	0.28	1.03	0.72	0.0	1.01	0.0	3.44	0.0	1.08	1.11	6.67
FBRSL1	305.55	460.44	934.76	417.77	1216.75	486.75	830.75	1572.76	579.04	909.17	202.66	1044.52	616.37	819.3
FCHSD2	186.4	145.02	470.14	199.85	269.6	395.18	0.0	497.0	236.21	525.39	58.71	563.18	599.49	473.41
FN1	34396.12	30785.28	32315.87	14065.74	466008.55	489177.0	114897.47	419990.32	18689.27	54349.29	4239.45	237899.7	338781.54	5650706.18
GDF9	4.06	2.36	9.93	2.81	7.51	3.35	0.0	14.78	4.86	5.32	0.77	8.38	6.94	18.97
GGA3	287.01	444.72	791.35	414.87	713.11	348.71	0.0	1015.93	232.94	813.63	67.12	878.17	679.29	884.29
GPATCH8	123.5	103.69	368.65	170.25	277.2	214.27	0.0	392.44	74.06	571.05	30.56	417.77	384.34	287.01
GPR52	0.0	0.0	0.6	0.0	0.45	0.0	0.0	0.92	0.0	5.87	0.0	4.21	0.96	0.24
ITPKB	56.28	147.06	265.87	109.66	158.79	167.9	0.0	275.28	51.71	414.87	45.53	309.83	323.03	267.73
KANSL1	181.28	295.11	703.28	341.51	444.72	395.18	0.0	1111.82	163.28	1023.0	69.03	813.63	738.29	728.11
KCTD7	41.81	99.43	248.0	171.45	177.53	167.9	0.0	303.44	65.72	514.56	44.25	182.55	191.67	320.8
KIAA0226	186.4	229.72	457.25	246.28	329.84	152.28	185.11	511.0	105.89	297.17	67.12	275.28	277.2	253.23
KIAA1033	171.45	178.77	312.0	218.79	262.2	295.11	0.0	438.59	256.78	995.0	224.97	457.25	571.05	444.72
KIAA1407	38.67	40.93	101.54	67.12	75.11	28.04	0.0	137.14	12.18	329.84	13.42	142.01	129.69	244.57
KLHDC1	4.39	9.7	21.16	6.73	8.45	13.03	0.0	26.47	11.3	237.86	4.7	65.72	51.71	137.14
KMT2A	46.84	62.12	265.87	106.63	291.04	133.36	0.0	373.81	33.78	314.17	21.32	334.46	264.03	236.21
LENEP	0.0	2.34	8.99	1.11	2.76	0.0	0.0	12.0	6.01	11.91	0.0	1.91	2.51	2.76
LIMD1	52.08	62.56	258.57	75.64	159.9	99.43	115.97	336.79	62.56	612.11	13.72	234.57	194.36	432.53
LMO7	518.15	1313.23	3039.3	1096.5	1447.15	507.46	0.0	3955.48	406.31	4972.34	162.14	2573.36	1519.15	1745.2
LRRC37A2	44.57	121.79	237.86	173.85	195.72	212.78	0.0	255.0	22.92	780.44	20.26	503.95	376.41	567.1
MAGI2	0.91	14.67	27.05	6.94	17.9	7.75	0.0	33.54	15.56	120.1	5.19	54.72	38.4	78.34
MDM1	57.08	90.77	215.77	71.5	186.4	88.26	0.0	299.25	73.54	381.68	29.91	215.77	158.79	221.86
MED13L	145.02	87.65	414.87	145.02	307.69	209.84	0.0	603.67	80.57	521.76	35.0	366.09	441.64	480.04
MEF2B	20.56	21.16	119.26	38.67	70.51	58.71	0.0	131.51	74.06	77.25	93.35	297.17	285.03	114.36
MEOX2	0.0	5.59	31.9	6.94	16.88	3.89	31.0	29.7	46.5	896.64	1.68	68.55	92.7	269.6
MGRN1	291.04	438.59	693.58	381.68	607.87	476.71	507.46	872.1	283.05	507.46	70.01	1340.84	780.44	713.11
MORC3	152.28	226.54	412.0	221.86	224.97	339.14	0.0	373.81	193.01	743.43	162.14	379.04	563.18	483.38
MRE11A	148.09	121.79	353.59	217.27	285.03	224.97	0.0	356.05	102.25	214.27	86.43	171.45	220.32	185.11
N4BP2L2	248.0	551.56	954.43	441.64	660.68	529.06	0.0	1295.13	379.04	3419.52	299.25	1397.83	1051.79	1498.22
NAA40	133.36	206.94	571.05	341.51	473.41	389.72	0.0	718.08	137.14	199.85	114.36	387.02	444.72	316.37
NADK	928.3	1008.9	1857.6	1359.57	1313.23	1143.1	802.41	2119.22	866.07	974.5	358.54	1437.15	1286.18	1199.98
NAPB	65.72	71.0	126.12	72.01	96.68	121.79	0.0	172.65	37.32	182.55	22.26	137.14	131.51	212.78
NEMF	159.9	271.48	518.15	320.8	395.18	353.59	0.0	473.41	121.79	1143.1	226.54	769.69	575.03	633.73
NPIPA5	60.82	119.26	285.03	25.72	73.54	135.24	0.0	157.68	47.17	403.5	2.12	303.44	143.01	490.14
OSGEP	417.77	587.13	1111.82	571.05	884.29	698.41	0.0	896.64	656.11	1617.0	612.11	1135.2	967.76	1096.5
PACS2	633.73	728.11	1350.18	638.15	1030.12	819.3	0.0	995.0	325.29	1529.73	389.72	1304.15	866.07	1208.34
PARP10	974.5	878.17	1991.0	1369.04	1457.23	1639.59	0.0	1757.34	297.17	1832.01	299.25	1437.15	890.44	1437.15
PCDHA2	0.0	0.3	3.89	0.0	0.0	1.87	0.0	4.43	1.95	20.86	0.0	1.75	11.21	9.13
PCDHB14	17.51	64.8	141.02	38.12	21.47	122.64	0.0	155.5	16.27	187.71	100.13	53.19	96.01	208.38
PIP5K1A	217.27	351.14	1151.06	314.17	878.17	532.74	743.43	1733.13	595.34	743.43	387.02	620.67	674.59	651.58
PJA2	291.04	291.04	583.07	343.89	500.46	529.06	0.0	748.61	536.45	1870.53	409.15	1111.82	1304.15	1044.52
PKD2L2	0.0	0.3	1.51	0.56	1.45	2.25	0.0	2.29	1.41	3.72	0.53	2.05	2.53	1.2
PLCD4	8.13	15.0	50.27	18.03	44.57	22.59	0.0	84.04	4.13	78.89	44.57	32.59	35.25	86.43
PREX2	3.2	10.55	20.11	6.11	7.4	13.03	0.0	20.11	3.41	147.06	1.71	62.56	67.59	155.5
PRIMPOL	159.9	237.86	575.03	173.85	329.84	218.79	0.0	473.41	426.57	500.46	265.87	253.23	204.07	423.61
PRPF39	140.04	161.02	316.37	193.01	323.03	293.07	281.09	575.03	173.85	642.59	158.79	414.87	358.54	555.41
PTK2	995.0	656.11	2047.0	813.63	1322.37	1508.65	0.0	1950.0	651.58	1427.22	988.12	1191.69	1457.23	1286.18
PTPN23	358.54	444.72	633.73	320.8	563.18	441.64	460.44	759.08	146.03	629.35	73.54	723.08	500.46	490.14
QRICH1	432.53	775.05	1059.11	583.07	1015.93	679.29	909.17	1857.6	406.31	1322.37	167.9	1199.98	1127.35	890.44
RAB6C	0.0	0.3	2.12	0.28	0.0	1.03	0.0	2.68	1.33	2.07	0.3	1.77	1.35	5.82
RAB9B	0.89	5.87	43.02	7.22	17.13	5.96	0.0	31.0	5.28	100.83	1.55	14.45	20.71	31.22
RANBP10	87.65	153.34	351.14	161.02	318.57	136.19	0.0	480.04	37.85	753.83	48.18	178.77	185.11	444.72
RBM25	353.59	318.57	878.17	674.59	738.29	723.08	0.0	1081.39	246.28	1605.83	194.36	1159.07	896.64	1143.1
RBM43	21.47	57.08	82.29	49.91	52.45	73.03	0.0	76.17	49.56	264.03	21.78	116.78	138.1	182.55
RGPD8	5.82	4.74	36.27	25.91	31.22	36.79	0.0	33.3	6.06	69.52	2.41	63.0	47.84	77.79
RNF31	764.36	921.88	1662.49	1151.06	1167.14	802.41	0.0	1605.83	551.56	1437.15	842.36	1359.57	1199.98	1104.13
RNF38	65.26	197.09	403.5	134.3	201.25	85.22	0.0	376.41	105.15	884.29	70.01	351.14	343.89	447.82
RP11-3B7.1	0.0	1.48	6.01	0.84	3.0	1.48	0.0	6.89	0.91	15.91	0.0	3.26	5.06	35.76
RP11-481A20.11	0.0	2.07	8.13	0.0	10.79	11.04	0.0	13.42	0.0	3.44	0.0	5.15	18.97	3.86
RPS6KC1	124.37	139.07	198.47	147.06	194.36	146.03	0.0	253.23	115.16	189.02	101.54	124.37	189.02	177.53
RSF1	116.78	199.85	432.53	273.37	177.53	376.41	0.0	529.06	76.71	269.6	73.03	336.79	346.29	441.64
SEL1L	158.79	223.41	587.13	267.73	218.79	297.17	0.0	836.53	420.68	612.11	334.46	579.04	679.29	426.57
SLC12A9	234.57	500.46	909.17	551.56	624.99	532.74	0.0	1225.22	307.69	802.41	332.14	493.56	532.74	532.74
SLC46A3	41.52	127.0	167.9	43.63	119.26	171.45	0.0	205.5	105.89	1066.48	54.33	171.45	267.73	1073.91
SLFN11	11.73	88.26	872.1	234.57	376.41	348.71	0.0	902.89	307.69	4152.18	183.82	438.59	480.04	698.41
SMG1	75.11	166.73	334.46	185.11	221.86	220.32	0.0	341.51	47.17	343.89	36.53	353.59	384.34	343.89
SORL1	1.22	59.97	368.65	49.56	7.22	285.03	48.87	366.09	51.71	336.79	76.17	228.13	283.05	490.14
SOX5	0.31	2.07	12.0	1.69	5.54	6.67	0.0	8.99	3.99	71.5	0.61	23.59	15.45	40.07
SPACA5	0.0	0.0	3.59	0.0	0.99	1.55	0.0	2.51	0.0	0.0	1.53	1.45	0.84	11.55
SPATA4	0.0	0.59	6.31	0.0	4.06	1.03	0.0	8.58	1.91	16.03	0.72	3.44	3.99	12.18
SSBP3-AS1	0.0	1.2	11.38	0.0	2.92	5.06	0.0	10.39	0.0	5.87	0.0	5.06	2.29	9.63
SYPL2	0.6	5.87	14.14	2.25	10.08	6.52	0.0	15.91	4.24	60.39	0.67	49.91	44.89	116.78
TAS2R5	1.48	1.22	21.16	3.66	10.63	4.46	0.0	119.26	1.68	62.12	2.46	14.56	12.93	43.63
TENC1	62.56	271.48	438.59	169.07	457.25	279.14	0.0	733.19	178.77	4181.07	37.85	1896.65	995.0	3467.27
TMEM194A	121.79	146.03	258.57	190.34	283.05	157.68	0.0	387.02	158.79	260.38	55.49	163.28	166.73	172.65
TP53BP1	358.54	320.8	563.18	361.04	450.94	327.56	0.0	713.11	117.6	587.13	117.6	674.59	633.73	563.18
TRAPPC11	159.9	212.78	500.46	181.28	289.02	251.48	309.83	536.45	162.14	579.04	128.79	376.41	420.68	381.68
TRIM52	39.79	87.03	208.38	106.63	206.94	64.8	0.0	325.29	21.94	603.67	16.63	332.14	153.34	420.68
TRIM66	11.91	17.13	46.18	33.06	65.72	44.89	0.0	83.45	5.19	88.88	5.54	77.79	68.55	175.07
TXLNB	0.3	7.82	15.8	1.95	8.92	3.5	0.0	15.8	5.06	135.24	1.28	18.97	14.78	38.4
UBE4A	129.69	151.22	320.8	209.84	249.73	162.14	205.5	551.56	89.51	599.49	54.72	295.11	318.57	305.55
USP19	312.0	438.59	878.17	346.29	638.15	316.37	0.0	974.5	236.21	785.88	104.42	830.75	579.04	860.08
WDR82	466.88	620.67	981.29	669.92	808.0	825.0	647.07	967.76	591.22	909.17	371.22	1119.56	1242.34	961.07
WLS	547.75	796.86	2271.4	698.41	954.43	860.08	0.0	2018.8	511.0	1733.13	493.56	796.86	981.29	753.83
ZBTB1	123.5	187.71	389.72	209.84	371.22	275.28	0.0	603.67	269.6	842.36	351.14	532.74	563.18	733.19
ZBTB34	27.44	90.14	117.6	30.34	80.57	54.33	0.0	87.65	25.54	143.01	15.56	86.43	83.45	131.51
ZMAT3	17.64	61.68	105.15	45.53	81.14	60.82	81.14	124.37	80.57	140.04	34.51	438.59	387.02	228.13
ZNF10	30.12	44.57	125.24	51.35	87.03	65.72	0.0	201.25	48.52	275.28	15.68	249.73	189.02	262.2
ZNF217	106.63	332.14	836.53	197.09	264.03	400.71	591.22	1096.5	258.57	353.59	135.24	607.87	629.35	373.81
ZNF23	81.14	129.69	214.27	127.0	197.09	108.9	0.0	329.84	49.91	221.86	39.22	166.73	165.57	215.77
ZNF26	44.57	98.04	231.32	92.7	183.82	133.36	0.0	320.8	170.25	336.79	46.18	159.9	172.65	186.4
ZNF273	28.24	123.5	483.38	36.01	152.28	58.3	0.0	529.06	221.86	153.34	102.25	125.24	125.24	293.07
ZNF30	4.98	40.93	89.51	24.99	33.06	21.32	0.0	142.01	29.48	136.19	9.63	42.11	53.95	77.79
ZNF334	0.34	10.39	87.03	2.86	51.35	61.68	0.0	176.29	16.63	358.54	1.25	177.53	87.03	258.57
ZNF354B	50.63	60.39	132.44	68.07	149.12	113.56	0.0	217.27	32.13	366.09	23.08	218.79	151.22	242.88
ZNF441	9.06	24.46	48.52	9.56	38.67	29.48	0.0	53.57	23.59	102.97	12.27	115.16	60.39	105.15
ZNF512B	51.35	106.63	289.02	170.25	341.51	97.36	0.0	403.5	72.01	275.28	18.16	307.69	275.28	229.72
ZNF578	3.5	8.51	58.3	0.88	23.25	2.76	0.0	77.25	8.92	40.36	0.0	27.64	34.02	59.55
ZNF605	29.27	29.91	124.37	26.67	78.34	37.59	0.0	157.68	21.63	244.57	3.29	126.12	120.1	176.29
ZNF621	22.43	48.87	123.5	50.63	78.89	73.54	0.0	159.9	51.35	153.34	18.43	129.69	115.16	220.32
ZNF701	65.26	37.05	119.26	25.72	31.67	69.52	0.0	84.04	91.41	334.46	5.32	98.04	119.26	129.69
ZNF707	165.57	166.73	339.14	181.28	249.73	307.69	0.0	395.18	56.28	285.03	62.12	239.52	214.27	267.73
ZNF84	106.63	165.57	483.38	145.02	236.21	176.29	0.0	759.08	147.06	555.41	80.57	406.31	361.04	518.15
ZSCAN32	83.45	116.78	232.94	128.79	182.55	115.97	0.0	307.69	127.0	356.05	83.45	218.79	232.94	256.78
