	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	GTEX.117YW.2026.SM.5N9BH	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5697.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.1269C.0626.SM.5FQSS	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.11DXY.0526.SM.5EGGQ	GTEX.RN64.1826.SM.48FDV	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.111VG.0526.SM.5N9BW
ARPP19	529.06	371.22	1037.29	624.99	802.41	1844.76	1183.45	1001.93	1143.1	1250.98	1991.0	1963.57	2319.15	1477.58	1304.15	1208.34	1733.13	1909.85	1794.29	1963.57	1639.59	1832.01	1819.35	1757.34	1757.34	1605.83	2193.99	1896.65	1191.69	1066.48	1001.93	1477.58	329.84	267.73	518.15	323.03	525.39	603.67	420.68	341.51	392.44	307.69	432.53	309.83	260.38	486.75	264.03	486.75	420.68	301.33	457.25	366.09	450.94	1127.35	866.07	769.69
ASB7	90.14	81.71	144.01	169.07	71.0	82.87	114.36	141.02	126.12	135.24	202.66	131.51	211.31	98.73	121.79	141.02	205.5	151.22	158.79	178.77	155.5	153.34	187.71	173.85	170.25	171.45	201.25	182.55	137.14	97.36	76.17	143.01	78.89	46.5	87.03	63.89	87.03	75.11	96.01	77.25	101.54	84.04	136.19	118.43	104.42	115.16	76.71	108.9	64.34	105.15	29.7	102.97	99.43	114.36	94.67	163.28
ASB8	361.04	414.87	497.0	503.95	412.0	642.59	555.41	921.88	785.88	684.02	595.34	679.29	743.43	753.83	406.31	620.67	872.1	693.58	802.41	713.11	764.36	769.69	896.64	842.36	723.08	780.44	698.41	718.08	638.15	417.77	514.56	665.29	346.29	242.88	438.59	341.51	432.53	221.86	426.57	348.71	429.54	339.14	323.03	353.59	426.57	334.46	320.8	358.54	395.18	460.44	209.84	420.68	438.59	406.31	503.95	387.02
ATF1	361.04	327.56	591.22	339.14	323.03	432.53	291.04	447.82	429.54	460.44	559.28	684.02	698.41	460.44	476.71	514.56	629.35	633.73	521.76	575.03	616.37	567.1	669.92	620.67	688.78	583.07	796.86	616.37	460.44	231.32	361.04	591.22	202.66	155.5	255.0	205.5	253.23	223.41	269.6	159.9	318.57	234.57	264.03	164.42	178.77	395.18	214.27	379.04	277.2	124.37	215.77	318.57	353.59	470.14	429.54	563.18
ATP2B1	176.29	144.01	532.74	336.79	309.83	234.57	221.86	320.8	305.55	329.84	251.48	392.44	271.48	208.38	293.07	305.55	332.14	373.81	400.71	376.41	309.83	279.14	366.09	351.14	262.2	351.14	432.53	460.44	220.32	236.21	277.2	201.25	87.65	50.27	130.6	80.57	140.04	277.2	115.97	55.49	231.32	116.78	165.57	121.79	86.43	253.23	75.11	189.02	74.06	78.34	136.19	159.9	129.69	279.14	205.5	343.89
ATP6V1C1	327.56	392.44	660.68	255.0	395.18	808.0	688.78	954.43	1225.22	476.71	1037.29	981.29	878.17	1175.27	660.68	575.03	1639.59	1088.92	1135.2	1250.98	1340.84	1088.92	1359.57	1583.71	1259.69	1151.06	1487.87	1529.73	860.08	1104.13	791.35	915.51	215.77	279.14	384.34	173.85	353.59	273.37	176.29	140.04	256.78	291.04	299.25	237.86	305.55	373.81	166.73	265.87	166.73	201.25	187.71	256.78	320.8	343.89	314.17	819.3
AVL9	228.13	148.09	363.56	409.15	281.09	384.34	187.71	281.09	242.88	305.55	147.06	316.37	255.0	234.57	185.11	332.14	432.53	281.09	334.46	314.17	293.07	275.28	395.18	299.25	255.0	301.33	356.05	329.84	191.67	198.47	339.14	249.73	120.94	145.02	132.44	102.97	236.21	339.14	163.28	92.05	162.14	164.42	163.28	180.02	111.99	165.57	144.01	269.6	131.51	103.69	244.57	149.12	170.25	177.53	118.43	460.44
AZIN1	796.86	612.11	1350.18	651.58	688.78	688.78	620.67	1015.93	1167.14	457.25	769.69	1313.23	1167.14	947.83	1697.45	669.92	1151.06	1199.98	988.12	1191.69	884.29	896.64	1059.11	1127.35	1242.34	860.08	1457.23	1059.11	708.18	660.68	503.95	813.63	616.37	514.56	708.18	389.72	791.35	547.75	454.09	387.02	651.58	460.44	703.28	397.93	429.54	1001.93	303.44	551.56	540.19	356.05	961.07	507.46	497.0	890.44	836.53	830.75
C11orf57	198.47	223.41	381.68	237.86	153.34	267.73	209.84	178.77	329.84	289.02	457.25	348.71	599.49	497.0	351.14	400.71	497.0	441.64	379.04	480.04	450.94	403.5	438.59	543.96	511.0	432.53	571.05	518.15	441.64	255.0	229.72	379.04	204.07	72.01	172.65	206.94	151.22	107.38	166.73	177.53	212.78	265.87	111.21	108.9	128.79	256.78	134.3	172.65	169.07	151.22	134.3	217.27	202.66	301.33	368.65	297.17
C3orf38	153.34	131.51	269.6	173.85	136.19	234.57	312.0	215.77	239.52	167.9	178.77	269.6	264.03	209.84	283.05	244.57	260.38	220.32	209.84	246.28	255.0	201.25	264.03	249.73	327.56	237.86	376.41	309.83	204.07	150.17	190.34	197.09	123.5	82.29	119.26	85.22	175.07	140.04	87.03	105.89	187.71	108.9	88.26	81.71	80.57	237.86	117.6	204.07	133.36	120.94	82.87	127.89	143.01	170.25	209.84	182.55
CACNA2D1	13.83	15.45	91.41	64.8	191.67	13.83	145.02	19.25	11.38	6.67	111.21	218.79	161.02	29.06	151.22	242.88	218.79	132.44	147.06	149.12	119.26	104.42	181.28	161.02	162.14	193.01	237.86	197.09	75.64	68.07	20.56	105.15	7.94	6.16	26.67	4.7	8.85	55.89	2.29	4.21	23.59	27.25	19.82	12.18	4.7	29.91	17.77	5.32	3.56	4.1	3.03	17.25	3.82	159.9	94.01	221.86
CAND1	447.82	309.83	934.76	476.71	587.13	796.86	376.41	559.28	674.59	567.1	759.08	1119.56	915.51	620.67	780.44	796.86	1208.34	1143.1	961.07	1250.98	1259.69	928.3	1250.98	1208.34	909.17	1191.69	1313.23	1331.57	733.19	400.71	595.34	961.07	301.33	265.87	518.15	242.88	409.15	629.35	277.2	351.14	395.18	348.71	318.57	353.59	273.37	466.88	356.05	323.03	327.56	356.05	197.09	395.18	414.87	603.67	486.75	830.75
CAPRIN1	1059.11	780.44	2319.15	1359.57	1191.69	1437.15	902.89	947.83	1551.09	1359.57	2271.4	2451.44	2816.11	2303.12	2104.58	1447.15	2148.82	2555.58	2240.11	2520.38	2796.65	2271.4	2645.74	2303.12	2061.24	2335.28	2485.67	2468.49	2224.63	1709.26	1757.34	2384.37	669.92	656.11	928.3	500.46	684.02	1127.35	575.03	733.19	1008.9	703.28	638.15	728.11	547.75	1216.75	769.69	854.13	599.49	555.41	500.46	738.29	947.83	1540.37	1508.65	1437.15
CDC42	2209.26	2032.85	4937.99	3467.27	2303.12	4268.94	3103.19	2468.49	2816.11	2240.11	3690.52	6426.31	3820.7	5006.93	3443.31	4419.52	4152.18	4607.24	4769.75	5366.37	4575.41	4512.4	4481.23	4358.66	5913.33	4268.94	7032.37	6207.38	4575.41	3716.2	3768.09	3716.2	1519.15	1745.2	2319.15	1277.29	2224.63	1519.15	1250.98	1487.87	2240.11	1427.22	1350.18	1322.37	1487.87	2335.28	1350.18	2104.58	1685.71	1044.52	1697.45	1745.2	1936.53	3928.15	2777.33	2976.74
CLOCK	81.71	47.84	148.09	73.54	102.25	151.22	116.78	110.43	80.57	96.68	163.28	293.07	195.72	100.83	177.53	161.02	299.25	224.97	237.86	242.88	223.41	201.25	305.55	269.6	162.14	271.48	264.03	228.13	129.69	117.6	106.63	186.4	66.18	14.67	70.51	62.56	56.28	105.89	85.22	36.79	88.26	86.43	54.72	27.05	41.22	92.05	60.82	85.22	26.67	42.71	25.17	75.11	59.13	256.78	182.55	195.72
CMTR2	241.19	145.02	265.87	269.6	180.02	100.13	165.57	281.09	178.77	156.59	231.32	371.22	260.38	206.94	346.29	217.27	329.84	277.2	318.57	307.69	305.55	283.05	309.83	289.02	371.22	309.83	540.19	392.44	205.5	138.1	191.67	211.31	153.34	90.14	172.65	67.59	171.45	152.28	186.4	193.01	307.69	285.03	164.42	229.72	145.02	381.68	175.07	193.01	134.3	305.55	74.06	224.97	223.41	208.38	131.51	329.84
CNOT6	74.58	70.51	325.29	165.57	165.57	129.69	100.13	108.9	150.17	108.14	260.38	358.54	297.17	220.32	285.03	234.57	314.17	275.28	309.83	309.83	285.03	283.05	299.25	353.59	208.38	281.09	283.05	309.83	204.07	127.0	131.51	234.57	53.57	25.17	54.72	26.47	112.77	151.22	55.1	36.27	98.73	44.89	77.79	52.45	37.05	115.16	48.18	71.0	40.36	24.81	38.95	64.8	51.71	215.77	176.29	197.09
CNOT7	638.15	579.04	1250.98	660.68	497.0	902.89	642.59	896.64	1225.22	559.28	1378.57	1304.15	1477.58	1225.22	981.29	1242.34	1304.15	1378.57	1286.18	1359.57	1233.75	1250.98	1208.34	1225.22	1250.98	1143.1	1605.83	1417.35	1096.5	981.29	915.51	954.43	587.13	457.25	587.13	283.05	476.71	603.67	351.14	285.03	612.11	341.51	476.71	389.72	444.72	490.14	368.65	470.14	325.29	373.81	314.17	547.75	620.67	825.0	753.83	995.0
COPS2	547.75	555.41	1119.56	497.0	603.67	872.1	638.15	599.49	1073.91	813.63	1417.35	1051.79	1286.18	1073.91	1225.22	764.36	1447.15	1191.69	988.12	1331.57	1096.5	1051.79	1378.57	1295.13	1572.76	1135.2	2193.99	1605.83	1015.93	796.86	412.0	854.13	463.65	173.85	429.54	343.89	379.04	409.15	387.02	435.55	518.15	376.41	381.68	395.18	358.54	796.86	406.31	540.19	400.71	312.0	470.14	500.46	551.56	1135.2	954.43	842.36
CREBL2	612.11	733.19	967.76	406.31	420.68	974.5	684.02	995.0	1378.57	1037.29	1697.45	1304.15	1977.24	1685.71	967.76	1359.57	1477.58	1208.34	1359.57	1427.22	1199.98	1397.83	1397.83	1457.23	1250.98	1242.34	1781.89	1467.37	1111.82	1030.12	967.76	1233.75	493.56	476.71	660.68	327.56	521.76	384.34	305.55	336.79	567.1	532.74	438.59	466.88	521.76	688.78	351.14	426.57	525.39	432.53	232.94	518.15	813.63	633.73	660.68	915.51
CREBRF	115.97	114.36	307.69	111.99	301.33	389.72	149.12	201.25	312.0	262.2	339.14	426.57	341.51	309.83	395.18	212.78	483.38	255.0	343.89	417.77	297.17	289.02	483.38	414.87	258.57	387.02	397.93	409.15	224.97	122.64	99.43	264.03	86.43	28.04	98.73	44.25	175.07	177.53	87.03	99.43	167.9	147.06	217.27	208.38	143.01	112.77	117.6	97.36	81.71	120.94	43.02	152.28	91.41	318.57	204.07	470.14
CTNNB1	1923.14	1605.83	2682.69	2895.31	2739.08	1628.26	1388.16	2119.22	2209.26	1883.54	2240.11	4210.15	2520.38	1447.15	2855.44	2645.74	3257.52	3820.7	2895.31	3982.99	3690.52	2935.74	3794.3	3614.55	2915.45	3639.7	3794.3	3716.2	2935.74	1733.13	2224.63	3614.55	1199.98	1151.06	2133.97	1081.39	2148.82	1015.93	1378.57	1259.69	1594.73	1651.0	1233.75	1639.59	1250.98	1508.65	1066.48	884.29	1709.26	1216.75	830.75	1697.45	1757.34	2777.33	1781.89	3018.3
CUL4B	325.29	314.17	579.04	358.54	457.25	884.29	389.72	379.04	486.75	429.54	555.41	438.59	629.35	435.55	343.89	540.19	595.34	603.67	563.18	595.34	518.15	493.56	603.67	567.1	503.95	547.75	688.78	599.49	397.93	265.87	234.57	423.61	224.97	104.42	251.48	137.14	241.19	376.41	177.53	190.34	395.18	351.14	241.19	246.28	251.48	543.96	181.28	182.55	146.03	220.32	170.25	301.33	285.03	507.46	429.54	409.15
DYNC1I2	647.07	493.56	1697.45	1286.18	1304.15	2303.12	1407.55	748.61	1001.93	890.44	1617.0	2384.37	1685.71	1561.89	1359.57	1540.37	1991.0	1721.16	1781.89	2047.0	2004.85	1769.57	2075.59	2271.4	1806.78	1991.0	2319.15	2434.5	1977.24	1628.26	1286.18	1477.58	514.56	387.02	507.46	208.38	543.96	450.94	283.05	293.07	379.04	403.5	420.68	301.33	511.0	591.22	400.71	575.03	400.71	198.47	426.57	521.76	642.59	1806.78	1721.16	1331.57
E2F5	73.54	36.01	128.79	148.09	77.25	75.64	45.21	181.28	167.9	59.13	134.3	199.85	258.57	173.85	130.6	121.79	224.97	218.79	215.77	190.34	223.41	197.09	221.86	234.57	220.32	251.48	223.41	277.2	186.4	186.4	141.02	159.9	38.4	25.91	37.59	32.13	31.67	98.73	71.0	17.13	68.55	41.52	55.89	35.0	22.26	60.82	52.45	51.35	34.75	19.97	21.01	86.43	58.3	148.09	79.45	181.28
EFR3A	463.65	363.56	532.74	295.11	629.35	1127.35	708.18	500.46	583.07	253.23	688.78	743.43	583.07	426.57	738.29	684.02	753.83	629.35	713.11	679.29	688.78	665.29	878.17	791.35	808.0	733.19	988.12	842.36	497.0	638.15	366.09	591.22	343.89	220.32	483.38	454.09	595.34	356.05	507.46	379.04	1001.93	297.17	483.38	275.28	384.34	571.05	287.01	647.07	373.81	297.17	336.79	497.0	656.11	651.58	423.61	698.41
ERCC8	76.17	49.56	198.47	125.24	86.43	166.73	128.79	81.14	165.57	96.68	163.28	185.11	224.97	189.02	187.71	114.36	147.06	185.11	176.29	147.06	158.79	163.28	164.42	202.66	204.07	155.5	232.94	185.11	110.43	79.45	72.01	114.36	55.89	45.85	62.56	33.3	54.72	65.26	48.52	80.57	37.05	64.8	66.18	72.01	48.52	125.24	53.95	73.54	60.39	37.05	96.01	82.29	74.06	84.63	99.43	151.22
EXOC5	176.29	173.85	438.59	154.42	271.48	497.0	239.52	256.78	281.09	301.33	473.41	620.67	438.59	279.14	591.22	224.97	607.87	500.46	529.06	551.56	551.56	466.88	555.41	507.46	409.15	476.71	647.07	525.39	264.03	277.2	236.21	353.59	100.83	51.35	205.5	92.7	177.53	198.47	121.79	139.07	159.9	90.77	156.59	145.02	104.42	229.72	73.54	130.6	143.01	106.63	90.14	124.37	199.85	379.04	228.13	318.57
F8	307.69	249.73	253.23	72.52	684.02	55.89	105.89	44.57	120.94	68.55	642.59	775.05	463.65	351.14	224.97	414.87	361.04	281.09	497.0	642.59	417.77	325.29	543.96	470.14	409.15	297.17	473.41	409.15	423.61	287.01	312.0	387.02	114.36	156.59	297.17	79.45	102.25	441.64	106.63	185.11	234.57	325.29	169.07	132.44	139.07	191.67	152.28	191.67	96.68	101.54	36.27	120.94	202.66	273.37	279.14	147.06
FAM172A	81.71	104.42	228.13	115.16	197.09	138.1	84.04	93.35	87.65	105.15	334.46	381.68	703.28	361.04	269.6	366.09	368.65	376.41	348.71	371.22	366.09	348.71	480.04	387.02	348.71	368.65	414.87	353.59	297.17	111.99	78.34	314.17	54.33	39.79	108.14	57.49	116.78	77.25	45.53	67.59	90.14	57.49	82.87	62.12	40.64	151.22	64.8	74.06	37.85	64.8	17.77	84.04	277.2	406.31	226.54	299.25
FAM206A	182.55	175.07	334.46	348.71	244.57	197.09	82.29	234.57	285.03	178.77	361.04	275.28	356.05	279.14	191.67	197.09	255.0	279.14	275.28	271.48	281.09	291.04	273.37	277.2	332.14	260.38	269.6	323.03	237.86	223.41	194.36	197.09	131.51	85.82	185.11	121.79	125.24	209.84	157.68	173.85	166.73	132.44	190.34	113.56	135.24	239.52	175.07	161.02	104.42	202.66	101.54	171.45	182.55	291.04	329.84	438.59
FEM1B	232.94	183.82	334.46	255.0	417.77	232.94	301.33	366.09	289.02	307.69	260.38	379.04	356.05	255.0	400.71	314.17	447.82	392.44	423.61	438.59	325.29	351.14	438.59	412.0	361.04	381.68	579.04	470.14	269.6	218.79	232.94	305.55	173.85	101.54	201.25	194.36	412.0	187.71	244.57	217.27	332.14	231.32	260.38	147.06	189.02	303.44	155.5	603.67	275.28	164.42	127.0	198.47	291.04	536.45	275.28	351.14
FYTTD1	444.72	406.31	836.53	503.95	497.0	854.13	470.14	688.78	571.05	543.96	947.83	1487.87	1088.92	620.67	1806.78	764.36	941.27	1008.9	961.07	1081.39	860.08	995.0	1023.0	1059.11	1001.93	872.1	1594.73	1111.82	713.11	490.14	579.04	825.0	239.52	223.41	444.72	262.2	303.44	403.5	327.56	258.57	358.54	265.87	334.46	248.0	224.97	591.22	320.8	395.18	273.37	258.57	500.46	348.71	503.95	902.89	607.87	753.83
GMFB	255.0	204.07	902.89	647.07	356.05	688.78	441.64	387.02	423.61	346.29	836.53	866.07	866.07	624.99	587.13	325.29	802.41	759.08	796.86	836.53	713.11	693.58	860.08	830.75	954.43	708.18	1457.23	1001.93	525.39	536.45	607.87	579.04	162.14	139.07	244.57	169.07	189.02	206.94	140.04	145.02	186.4	141.02	141.02	159.9	131.51	289.02	138.1	176.29	202.66	153.34	343.89	157.68	211.31	299.25	186.4	389.72
GOLT1B	312.0	269.6	591.22	246.28	429.54	414.87	490.14	460.44	616.37	507.46	373.81	460.44	381.68	265.87	603.67	684.02	395.18	536.45	361.04	420.68	409.15	348.71	412.0	463.65	563.18	366.09	647.07	583.07	346.29	299.25	551.56	299.25	212.78	129.69	323.03	132.44	209.84	309.83	166.73	170.25	237.86	156.59	158.79	163.28	189.02	341.51	255.0	269.6	149.12	135.24	248.0	164.42	185.11	361.04	366.09	447.82
HBP1	764.36	759.08	1208.34	642.59	1044.52	1447.15	595.34	1044.52	1096.5	988.12	928.3	1208.34	1662.49	1008.9	1119.56	1183.45	1819.35	928.3	1199.98	1331.57	1199.98	1096.5	1628.26	1617.0	1617.0	1286.18	1844.76	1794.29	1023.0	612.11	728.11	1059.11	638.15	579.04	785.88	406.31	995.0	567.1	633.73	400.71	791.35	612.11	684.02	854.13	813.63	769.69	470.14	567.1	312.0	547.75	366.09	703.28	583.07	1304.15	1175.27	1199.98
HIPK1	265.87	201.25	567.1	287.01	497.0	379.04	285.03	299.25	236.21	297.17	403.5	854.13	571.05	346.29	507.46	476.71	802.41	708.18	743.43	769.69	718.08	656.11	808.0	718.08	429.54	651.58	616.37	624.99	395.18	329.84	305.55	587.13	108.9	161.02	249.73	148.09	223.41	180.02	234.57	113.56	320.8	120.1	176.29	105.89	108.14	371.22	125.24	194.36	151.22	143.01	138.1	269.6	214.27	435.55	376.41	426.57
HIPK3	368.65	309.83	612.11	303.44	780.44	723.08	198.47	236.21	379.04	483.38	1096.5	842.36	693.58	571.05	1233.75	587.13	1295.13	866.07	1001.93	1286.18	733.19	896.64	1066.48	1015.93	961.07	909.17	1127.35	1008.9	583.07	351.14	387.02	688.78	265.87	133.36	279.14	131.51	339.14	237.86	152.28	151.22	353.59	237.86	279.14	159.9	181.28	543.96	185.11	242.88	215.77	186.4	480.04	202.66	275.28	713.11	603.67	587.13
