	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.4905.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.B0.5710.01A.11R.1672.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.DD.A3A8.11A.11R.A22L.07
HOOK3	366.09	134.3	129.69	146.03	88.26	187.71	201.25	100.13	214.27	343.89	80.57	343.89	51.35	182.55	406.31	265.87	297.17	52.82	285.03	241.19	102.25	127.0	108.14	126.12	361.04	119.26	146.03	305.55	108.14	111.99	80.01	157.68	127.89	58.3	77.25	41.22	312.0	11.73
HTT	253.23	217.27	182.55	299.25	248.0	269.6	285.03	229.72	320.8	348.71	138.1	412.0	183.82	384.34	297.17	341.51	336.79	172.65	450.94	368.65	199.85	293.07	234.57	162.14	414.87	206.94	236.21	291.04	244.57	150.17	234.57	318.57	220.32	73.03	202.66	191.67	303.44	198.47
INPP4B	69.52	204.07	215.77	126.12	76.17	125.24	289.02	82.29	366.09	379.04	22.43	329.84	38.4	164.42	397.93	287.01	269.6	61.25	525.39	127.89	44.89	47.84	180.02	115.16	293.07	195.72	87.65	444.72	146.03	198.47	221.86	86.43	100.13	115.97	126.12	169.07	255.0	4.1
IREB2	258.57	293.07	309.83	397.93	181.28	356.05	323.03	195.72	529.06	450.94	182.55	579.04	167.9	323.03	358.54	387.02	591.22	133.36	567.1	507.46	232.94	277.2	206.94	149.12	718.08	169.07	281.09	327.56	178.77	176.29	320.8	392.44	226.54	201.25	167.9	166.73	423.61	115.16
KAT6A	134.3	215.77	214.27	275.28	139.07	228.13	275.28	169.07	371.22	426.57	136.19	409.15	111.21	251.48	356.05	376.41	389.72	83.45	497.0	283.05	108.9	161.02	169.07	82.87	540.19	141.02	186.4	265.87	177.53	170.25	246.28	260.38	194.36	87.03	130.6	93.35	332.14	61.25
KAT6B	140.04	155.5	176.29	202.66	124.37	167.9	206.94	63.0	273.37	283.05	86.43	236.21	67.59	209.84	183.82	199.85	241.19	85.22	271.48	269.6	125.24	132.44	131.51	81.71	358.54	117.6	156.59	201.25	117.6	112.77	136.19	236.21	144.01	76.17	124.37	95.34	226.54	32.13
KCTD20	595.34	507.46	460.44	753.83	366.09	591.22	547.75	258.57	713.11	947.83	299.25	967.76	483.38	536.45	928.3	819.3	802.41	297.17	981.29	503.95	348.71	441.64	373.81	420.68	693.58	379.04	480.04	813.63	351.14	414.87	698.41	463.65	493.56	291.04	343.89	309.83	660.68	256.78
KIAA0355	181.28	287.01	307.69	376.41	162.14	371.22	287.01	137.14	327.56	583.07	114.36	616.37	191.67	314.17	860.08	802.41	521.76	139.07	775.05	341.51	101.54	244.57	205.5	127.0	429.54	239.52	249.73	460.44	218.79	206.94	289.02	273.37	242.88	201.25	260.38	169.07	447.82	66.18
KIDINS220	379.04	438.59	587.13	543.96	343.89	503.95	507.46	318.57	536.45	718.08	346.29	813.63	267.73	612.11	642.59	551.56	698.41	260.38	769.69	532.74	346.29	373.81	312.0	167.9	813.63	395.18	435.55	543.96	343.89	275.28	409.15	587.13	293.07	242.88	307.69	241.19	688.78	76.17
KLF12	9.78	128.79	161.02	173.85	67.12	111.21	189.02	76.17	260.38	297.17	43.02	217.27	53.95	139.07	171.45	248.0	228.13	43.02	307.69	130.6	36.01	72.01	90.77	45.21	287.01	111.99	100.83	191.67	85.22	69.03	164.42	138.1	115.97	127.89	70.01	63.0	182.55	54.33
KLF3	4298.64	470.14	387.02	395.18	325.29	466.88	426.57	161.02	583.07	603.67	176.29	753.83	204.07	540.19	651.58	688.78	575.03	255.0	813.63	379.04	351.14	303.44	293.07	214.27	708.18	339.14	320.8	426.57	287.01	303.44	423.61	444.72	327.56	221.86	289.02	129.69	450.94	269.6
KLHL20	125.24	269.6	269.6	336.79	150.17	293.07	262.2	170.25	334.46	384.34	262.2	460.44	137.14	303.44	438.59	400.71	361.04	158.79	480.04	438.59	218.79	204.07	181.28	166.73	325.29	170.25	202.66	356.05	205.5	199.85	332.14	275.28	236.21	175.07	199.85	130.6	334.46	101.54
KLHL24	186.4	368.65	297.17	476.71	226.54	373.81	470.14	211.31	698.41	497.0	166.73	813.63	111.99	389.72	567.1	490.14	607.87	231.32	651.58	583.07	232.94	305.55	226.54	165.57	748.61	303.44	264.03	384.34	314.17	242.88	403.5	406.31	295.11	346.29	281.09	218.79	532.74	141.02
KMT2A	122.64	229.72	269.6	217.27	118.43	275.28	295.11	164.42	392.44	420.68	120.1	450.94	99.43	353.59	351.14	299.25	406.31	134.3	529.06	358.54	119.26	231.32	194.36	111.21	559.28	172.65	180.02	303.44	155.5	147.06	193.01	312.0	211.31	145.02	277.2	171.45	395.18	38.67
