	TCGA.AN.A0AT.01A.11R.A034.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.A1.A0SP.01A.11R.A084.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.D5.5541.01A.01R.1653.07	TCGA.5M.AAT6.01A.11R.A41B.07	TCGA.CA.6718.01A.11R.1839.07	TCGA.2H.A9GN.01A.11R.A37I.31	TCGA.KL.8330.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.1497J.0826.SM.5NQAJ	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.55.8616.01A.11R.2403.07	TCGA.49.AAQV.01A.11R.A39D.07	TCGA.95.7944.01A.11R.2187.07	TCGA.97.8176.01A.11R.2403.07	TCGA.MP.A4T8.01A.11R.A24X.07	TCGA.63.5128.01A.01R.1443.07	TCGA.63.7023.01A.11R.1949.07	TCGA.DC.6682.01A.11R.1830.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.R5.A7ZF.01A.11R.A354.31	TCGA.BR.7715.01A.11R.2055.13	TCGA.F1.6875.01A.11R.2055.13	TCGA.KB.A6F7.01A.12R.A32D.31	TCGA.CG.5726.01A.11R.1602.13	TCGA.CD.5800.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.D7.6528.01A.11R.1802.13	GTEX.1399T.0126.SM.5KM15	TCGA.FI.A3PX.01A.11R.A22K.07	TCGA.EY.A549.01A.11R.A27V.07	TCGA.EY.A2ON.01A.21R.A18M.07
C8orf59	3768.09	9088.59	3690.52	3665.02	2032.85	1605.83	3716.2	3018.3	7803.01	6792.79	3280.18	4152.18	2319.15	1477.58	974.5	2018.8	4010.71	1769.57	954.43	1023.0	3847.29	1167.14	2520.38	2240.11	1896.65	2956.17	1467.37	2061.24	2367.9	1427.22	967.76	1135.2	2520.38	6983.79	1936.53	1950.0	1617.0	1467.37	1674.06	2645.74	2032.85	1529.73	967.76	954.43	2739.08	902.89	3103.19	2148.82	1923.14	947.83	2351.53	2335.28	2520.38	2609.3	1697.45	1594.73	2816.11	1015.93	1073.91	2434.5	785.88	1832.01	2739.08	1295.13	4010.71	2178.83	1572.76	5219.6	6164.49	2178.83	2163.77	4123.49	3235.01	5076.84	6561.36	2664.15	1991.0	1628.26	5594.3	3820.7	10512.82	6561.36	3303.0	4512.4	5872.48	4802.93	6652.97	5292.48	6699.25	2609.3	2976.74	5594.3	2193.99
CARS	1286.18	559.28	1104.13	532.74	693.58	866.07	780.44	1030.12	988.12	1127.35	1159.07	703.28	665.29	447.82	409.15	651.58	764.36	603.67	503.95	432.53	532.74	420.68	543.96	583.07	563.18	476.71	785.88	642.59	733.19	336.79	500.46	441.64	343.89	603.67	583.07	591.22	483.38	460.44	981.29	571.05	660.68	497.0	432.53	463.65	579.04	460.44	791.35	563.18	665.29	387.02	518.15	753.83	575.03	521.76	540.19	473.41	620.67	483.38	426.57	476.71	525.39	403.5	493.56	447.82	403.5	514.56	466.88	733.19	708.18	819.3	995.0	1159.07	620.67	1950.0	1191.69	693.58	473.41	563.18	511.0	1331.57	866.07	764.36	842.36	607.87	679.29	587.13	660.68	376.41	928.3	884.29	1277.29	647.07	1191.69
CCDC85B	223.41	283.05	1088.92	204.07	480.04	1096.5	318.57	178.77	1498.22	1304.15	884.29	1583.71	253.23	118.43	108.14	81.14	193.01	156.59	186.4	123.5	414.87	169.07	193.01	205.5	387.02	102.97	218.79	127.89	246.28	183.82	209.84	239.52	242.88	122.64	118.43	78.89	66.18	115.97	444.72	190.34	236.21	246.28	170.25	131.51	164.42	139.07	316.37	264.03	281.09	684.02	208.38	271.48	303.44	441.64	384.34	121.79	318.57	172.65	178.77	183.82	162.14	176.29	595.34	267.73	759.08	242.88	248.0	967.76	836.53	463.65	476.71	967.76	334.46	457.25	571.05	813.63	995.0	1216.75	1008.9	638.15	2417.67	1378.57	1277.29	759.08	698.41	1051.79	1467.37	603.67	1051.79	1127.35	616.37	403.5	470.14
CCDC86	1030.12	1208.34	866.07	353.59	616.37	842.36	480.04	738.29	830.75	1111.82	1551.09	1081.39	412.0	353.59	361.04	551.56	334.46	490.14	529.06	457.25	454.09	518.15	323.03	414.87	348.71	457.25	423.61	624.99	718.08	559.28	457.25	563.18	444.72	559.28	463.65	470.14	423.61	583.07	587.13	454.09	423.61	733.19	583.07	493.56	633.73	571.05	660.68	620.67	591.22	543.96	503.95	656.11	525.39	587.13	540.19	500.46	753.83	384.34	497.0	336.79	466.88	351.14	612.11	490.14	718.08	312.0	373.81	785.88	1295.13	599.49	633.73	500.46	642.59	1508.65	941.27	890.44	825.0	633.73	915.51	1096.5	2163.77	1277.29	1832.01	915.51	1378.57	1286.18	854.13	854.13	1359.57	246.28	775.05	420.68	796.86
CCNE2	356.05	88.26	189.02	29.91	32.13	9.06	72.01	68.07	236.21	134.3	136.19	65.72	6.62	12.55	7.57	13.32	14.03	4.43	3.47	9.13	18.29	5.68	11.13	10.0	4.7	72.52	3.53	16.75	66.18	12.36	10.31	2.78	13.42	65.26	24.99	11.55	22.75	39.22	15.45	10.39	26.67	12.36	9.34	12.64	15.91	7.34	20.41	35.0	13.12	3.41	20.86	35.0	7.34	14.67	5.32	11.21	5.19	21.01	7.28	6.73	5.77	23.76	9.27	12.27	1.17	19.97	3.92	99.43	153.34	36.79	105.89	143.01	147.06	244.57	98.73	32.82	47.5	15.0	92.05	191.67	420.68	228.13	161.02	199.85	409.15	153.34	84.04	85.82	158.79	9.06	33.78	60.82	89.51
CCT4	4802.93	5479.15	5555.65	3395.89	7032.37	3124.78	3419.52	3742.05	4419.52	4152.18	6294.04	5076.84	1242.34	1909.85	2047.0	1936.53	3820.7	3303.0	2627.46	2090.03	1870.53	1572.76	1639.59	1950.0	1685.71	1733.13	2520.38	1561.89	3874.05	1605.83	2319.15	1844.76	2018.8	3614.55	2451.44	2240.11	1639.59	2163.77	1794.29	1806.78	2664.15	2468.49	2224.63	1794.29	3212.66	2777.33	2627.46	2287.2	2796.65	1685.71	2997.45	3419.52	2193.99	1745.2	1857.6	2018.8	2287.2	1832.01	1923.14	2319.15	1639.59	1844.76	3018.3	1651.0	4481.23	1350.18	2090.03	2485.67	2319.15	3491.39	3039.3	3146.52	4010.71	7433.4	6337.83	2485.67	3419.52	2451.44	3081.75	1844.76	7331.05	3794.3	1331.57	4328.55	2537.92	3419.52	3874.05	3982.99	2627.46	3257.52	2915.45	2720.15	2997.45
CCT7	7331.05	10014.87	6887.62	3325.99	6250.56	4769.75	4802.93	3794.3	7081.29	5791.62	9409.14	7331.05	2133.97	4210.15	3190.46	2682.69	3665.02	5594.3	4903.87	3716.2	3742.05	2758.13	2335.28	3081.75	3280.18	2627.46	2645.74	3614.55	6079.61	2591.27	4388.98	3212.66	3419.52	4671.57	4123.49	3257.52	2682.69	4210.15	3589.58	2895.31	4010.71	4481.23	3443.31	2915.45	5329.3	4802.93	4769.75	2271.4	4388.98	3982.99	3614.55	5112.16	3768.09	4543.8	4268.94	3690.52	3874.05	3419.52	3349.13	3235.01	2664.15	2573.36	4607.24	2835.7	4869.99	2090.03	3589.58	4481.23	4239.45	5147.73	5112.16	5403.7	4358.66	12502.12	7331.05	6164.49	6381.92	6079.61	4358.66	3018.3	6079.61	6121.9	3716.2	5633.22	5711.87	4512.4	6745.86	3395.89	5183.54	2351.53	2855.44	3589.58	4607.24
CCT8	11112.3	4769.75	5076.84	2758.13	4481.23	2255.7	4239.45	1769.57	3614.55	3955.48	4543.8	3235.01	1540.37	2384.37	1936.53	3395.89	3372.43	2739.08	1350.18	2209.26	2520.38	2148.82	2255.7	2075.59	2032.85	1977.24	2178.83	2627.46	3742.05	2104.58	1745.2	2682.69	2537.92	4066.71	2739.08	3168.41	2209.26	2976.74	1561.89	1111.82	2573.36	2855.44	2351.53	2209.26	3395.89	2104.58	3060.45	2555.58	2367.9	2271.4	3060.45	4937.99	2758.13	2335.28	2018.8	2816.11	2777.33	1936.53	1388.16	2367.9	2351.53	2609.3	3820.7	1963.57	3955.48	1733.13	2468.49	2956.17	4512.4	4328.55	3928.15	4543.8	2701.35	3124.78	6381.92	2796.65	2701.35	3639.7	3349.13	3124.78	4066.71	2303.12	2434.5	4038.61	2976.74	2502.97	2835.7	2855.44	4388.98	1923.14	4066.71	3443.31	5366.37
CDC123	4607.24	2537.92	1369.04	1199.98	1628.26	1457.23	1437.15	1088.92	1721.16	1977.24	1950.0	2520.38	507.46	1044.52	1088.92	1498.22	1159.07	1088.92	866.07	896.64	785.88	775.05	808.0	748.61	764.36	693.58	733.19	872.1	1844.76	813.63	708.18	743.43	872.1	1721.16	1233.75	1143.1	878.17	974.5	1119.56	780.44	1023.0	961.07	808.0	842.36	1159.07	802.41	1427.22	954.43	1199.98	733.19	1073.91	2351.53	909.17	915.51	808.0	967.76	1030.12	890.44	785.88	915.51	1127.35	1030.12	1135.2	854.13	1015.93	713.11	1191.69	1295.13	1250.98	1832.01	1896.65	2287.2	802.41	1896.65	1883.54	1304.15	1407.55	1388.16	954.43	1191.69	1359.57	2018.8	1388.16	1844.76	1519.15	1605.83	1277.29	1977.24	836.53	759.08	1936.53	1477.58	2319.15
CDKN3	1313.23	1498.22	599.49	49.91	239.52	438.59	251.48	251.48	518.15	571.05	1167.14	2090.03	58.71	18.16	29.7	361.04	65.72	56.68	40.64	42.41	76.17	22.92	21.47	47.84	45.21	46.5	28.24	113.56	87.03	30.12	47.17	24.99	91.41	536.45	63.0	55.49	31.9	166.73	65.72	49.91	239.52	32.82	26.67	42.71	144.01	44.25	84.04	46.5	45.53	34.75	57.49	392.44	69.03	94.67	38.4	53.19	99.43	27.84	41.52	38.12	30.34	70.51	72.52	41.52	119.26	43.32	14.45	181.28	438.59	392.44	476.71	361.04	441.64	3280.18	947.83	164.42	366.09	336.79	915.51	429.54	2645.74	1617.0	470.14	356.05	587.13	764.36	679.29	1216.75	1697.45	15.68	612.11	248.0	371.22
CENPE	303.44	162.14	120.1	23.59	19.25	3.17	53.95	48.87	70.51	86.43	141.02	220.32	5.77	3.72	3.76	7.75	10.39	4.94	6.73	1.64	6.89	4.17	3.96	3.69	3.26	19.82	4.74	7.0	7.88	2.25	5.23	0.77	7.22	82.87	5.73	17.64	3.72	14.45	7.46	3.5	24.46	0.0	8.85	3.47	17.25	1.64	8.99	8.58	3.86	0.37	2.92	45.21	2.78	6.26	1.85	8.0	5.77	5.82	3.56	7.57	14.56	6.52	2.92	4.5	3.35	4.1	5.59	17.13	59.13	49.56	55.1	78.89	57.89	144.01	202.66	29.27	27.84	33.78	37.32	46.18	98.73	144.01	62.12	88.26	49.91	60.39	49.21	72.52	55.89	6.52	176.29	44.89	62.56
CENPN	1806.78	507.46	595.34	112.77	146.03	57.49	303.44	341.51	363.56	444.72	896.64	620.67	206.94	109.66	105.15	287.01	121.79	78.89	77.79	143.01	62.12	64.8	71.5	79.45	67.12	56.28	110.43	71.5	191.67	139.07	57.49	89.51	143.01	178.77	301.33	146.03	65.26	314.17	98.73	54.33	279.14	147.06	124.37	99.43	169.07	89.51	150.17	271.48	69.03	133.36	129.69	356.05	73.54	153.34	105.89	67.12	152.28	154.42	96.01	73.03	189.02	172.65	145.02	120.94	105.89	49.56	69.52	145.02	295.11	493.56	679.29	540.19	713.11	780.44	521.76	156.59	157.68	152.28	457.25	316.37	1143.1	575.03	381.68	599.49	454.09	381.68	323.03	547.75	830.75	78.89	669.92	201.25	351.14
CEP78	497.0	178.77	379.04	209.84	166.73	158.79	98.04	119.26	218.79	346.29	343.89	332.14	228.13	71.0	104.42	93.35	128.79	74.06	102.97	79.45	116.78	95.34	76.17	96.68	68.07	122.64	67.12	59.97	60.39	70.51	86.43	28.24	94.67	237.86	72.52	82.29	94.67	116.78	98.04	80.01	102.25	61.25	105.89	111.21	166.73	65.26	73.03	109.66	81.14	18.43	85.22	85.82	75.64	84.63	80.01	133.36	77.25	115.16	99.43	107.38	142.01	101.54	48.52	74.58	71.5	129.69	99.43	151.22	119.26	182.55	170.25	149.12	175.07	438.59	384.34	88.88	84.04	104.42	147.06	217.27	264.03	323.03	146.03	239.52	334.46	152.28	178.77	111.99	373.81	155.5	309.83	312.0	90.77
CKAP2	616.37	336.79	521.76	94.67	190.34	153.34	327.56	167.9	511.0	500.46	551.56	483.38	125.24	84.04	132.44	299.25	155.5	88.26	113.56	94.67	97.36	98.04	94.67	90.14	84.63	100.13	93.35	42.41	307.69	60.39	128.79	47.17	106.63	503.95	113.56	185.11	186.4	145.02	93.35	48.18	273.37	52.08	120.94	111.99	111.99	112.77	229.72	189.02	114.36	14.67	77.79	169.07	69.52	104.42	88.26	193.01	136.19	134.3	130.6	108.14	241.19	77.25	98.73	78.89	65.72	109.66	115.97	234.57	131.51	232.94	299.25	171.45	438.59	1233.75	866.07	152.28	255.0	176.29	253.23	249.73	447.82	808.0	450.94	356.05	341.51	414.87	281.09	320.8	532.74	177.53	366.09	244.57	265.87
