	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.E2.A15M.11A.22R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.R3RS.0626.SM.48FE1	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.WFG7.1626.SM.4LVMF	TCGA.IG.A7DP.01A.31R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132NY.2026.SM.5L3FM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	TCGA.BR.A453.01A.11R.A24K.31	GTEX.ZE7O.3026.SM.51MS4	GTEX.13O61.1126.SM.5L3FI	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J	GTEX.UPK5.2126.SM.4JBJK	TCGA.AX.A0IZ.11A.11R.A27V.07	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BG.A2AD.11A.11R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.S4UY.1226.SM.4AD51	GTEX.1117F.2426.SM.5EGGH	GTEX.PWOO.1526.SM.48TCK
ANO1	71.0	198.47	25.17	27.25	86.43	97.36	264.03	51.35	63.0	145.02	44.57	62.12	149.12	2271.4	209.84	1331.57	269.6	4671.57	2875.3	2119.22	547.75	1183.45	2004.85	1104.13	2997.45	3349.13	2645.74	1350.18	4123.49	2178.83	2018.8	277.2	3372.43	1709.26	1044.52	3303.0	830.75	679.29	1216.75	1175.27	229.72	1697.45	909.17	579.04	420.68	1437.15	1044.52	486.75	2434.5	4543.8	4704.07	866.07	674.59	316.37	3395.89	1662.49	5076.84	423.61	1883.54	2018.8	2075.59	1508.65	884.29	1651.0	723.08	4210.15	258.57	2739.08	4038.61	1781.89	6337.83	7180.15	2701.35	2319.15	185.11	5076.84	3540.14	3874.05	3372.43	3280.18	1487.87	2351.53	7966.99	3081.75	4388.98	5329.3	5711.87	5831.91	4095.0	7280.4	2485.67	3874.05	2816.11	6079.61	5403.7	4181.07	3614.55	5403.7	4836.35	2591.27	3874.05	5006.93	3982.99	5076.84	5366.37	3847.29	3564.78	3820.7	5479.15	2303.12	3257.52	2061.24	5112.16	5555.65	7130.55	4607.24	2255.7	3928.15	5329.3	2468.49	2255.7	5292.48	2240.11	4869.99	2032.85	7081.29	6699.25	2816.11	5403.7	2133.97	4450.27	3039.3	1819.35	3564.78	7081.29	3443.31	1883.54	7695.57	4450.27	4704.07	2796.65	2018.8	1551.09	5329.3	8078.22	5219.6	3280.18	5006.93	3146.52	4419.52	176.29	69.03	890.44	607.87	780.44	0.0	0.33	110.43	1397.83	1757.34	368.65	1896.65	961.07	981.29	1096.5	928.3	473.41	848.22	769.69	796.86	53.95	571.05	175.07	1936.53	248.0
ARHGAP19	97.36	67.12	41.81	108.14	47.17	36.79	145.02	102.97	71.5	141.02	97.36	74.58	54.72	285.03	82.87	212.78	127.0	153.34	124.37	158.79	117.6	157.68	129.69	185.11	256.78	100.83	318.57	226.54	221.86	181.28	170.25	116.78	329.84	212.78	133.36	748.61	193.01	52.82	220.32	91.41	94.67	140.04	187.71	122.64	137.14	258.57	116.78	88.26	133.36	54.72	579.04	63.0	88.26	80.57	486.75	204.07	633.73	110.43	125.24	251.48	121.79	97.36	129.69	108.14	115.97	607.87	93.35	316.37	336.79	414.87	543.96	660.68	384.34	376.41	99.43	890.44	368.65	511.0	450.94	426.57	158.79	356.05	698.41	463.65	808.0	595.34	785.88	928.3	753.83	780.44	426.57	612.11	444.72	981.29	603.67	603.67	346.29	967.76	860.08	444.72	348.71	497.0	647.07	693.58	723.08	693.58	633.73	426.57	733.19	463.65	358.54	281.09	660.68	934.76	486.75	607.87	312.0	872.1	503.95	307.69	329.84	384.34	400.71	620.67	323.03	688.78	454.09	543.96	460.44	366.09	547.75	483.38	493.56	486.75	473.41	429.54	145.02	450.94	713.11	232.94	514.56	336.79	248.0	684.02	860.08	301.33	384.34	595.34	563.18	616.37	120.1	55.89	155.5	45.21	95.34	0.0	0.45	178.77	148.09	163.28	65.72	224.97	74.58	37.85	62.12	124.37	193.01	87.65	129.69	156.59	105.89	62.12	90.77	135.24	120.1
ARHGAP40	4.1	10.55	2.89	7.34	1.2	0.0	0.0	2.27	0.0	10.71	0.0	0.0	0.0	6079.61	81.14	217.27	44.25	45.53	7.28	0.0	0.8	532.74	6.26	6.11	1540.37	127.0	2209.26	674.59	16.88	60.39	0.0	3.69	178.77	0.38	5.73	246.28	49.91	13.32	339.14	2.2	57.08	46.84	0.0	248.0	0.74	157.68	1.1	0.0	0.77	25.17	540.19	6.89	31.9	0.0	688.78	457.25	909.17	19.97	129.69	395.18	146.03	5.92	12.45	0.38	2.76	457.25	0.0	260.38	162.14	728.11	262.2	444.72	381.68	208.38	0.0	483.38	305.55	493.56	108.9	164.42	98.73	312.0	915.51	221.86	507.46	197.09	198.47	555.41	84.04	267.73	536.45	65.26	140.04	934.76	507.46	343.89	432.53	860.08	503.95	759.08	223.41	896.64	454.09	438.59	921.88	217.27	358.54	215.77	486.75	199.85	665.29	56.28	343.89	1745.2	483.38	131.51	146.03	791.35	638.15	146.03	221.86	85.82	395.18	239.52	480.04	1277.29	1388.16	1909.85	348.71	142.01	651.58	130.6	473.41	825.0	591.22	1233.75	232.94	780.44	802.41	124.37	447.82	113.56	301.33	2720.15	392.44	775.05	205.5	1350.18	120.1	102.25	0.95	0.0	0.0	11.55	0.0	0.0	0.27	202.66	1.04	1.66	1.04	1.03	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.66	16.63	3.72	10.31	0.0	10.31
ARHGEF38	0.39	0.39	0.39	0.42	0.0	0.0	7.4	0.44	0.0	3.23	0.0	3.06	0.44	248.0	17.25	173.85	46.5	420.68	62.12	30.12	103.69	68.07	10.31	20.26	61.68	31.9	251.48	258.57	183.82	143.01	36.01	91.41	312.0	18.16	215.77	281.09	10.55	7.0	127.89	182.55	32.59	136.19	1.58	327.56	66.65	166.73	232.94	253.23	96.01	56.28	185.11	23.93	24.46	84.63	224.97	90.77	312.0	17.13	136.19	242.88	98.04	14.45	297.17	6.21	141.02	329.84	1.45	88.26	76.17	136.19	232.94	199.85	111.21	116.78	0.35	417.77	81.71	201.25	51.35	126.12	33.54	281.09	241.19	154.42	289.02	185.11	178.77	265.87	159.9	113.56	166.73	127.0	115.97	305.55	305.55	169.07	37.32	271.48	267.73	166.73	75.64	379.04	267.73	190.34	215.77	208.38	92.05	78.34	295.11	176.29	144.01	116.78	267.73	314.17	305.55	121.79	193.01	361.04	217.27	97.36	26.28	144.01	76.71	191.67	159.9	206.94	199.85	295.11	97.36	155.5	249.73	125.24	108.9	214.27	209.84	303.44	149.12	211.31	223.41	35.25	307.69	182.55	100.13	450.94	162.14	98.73	70.01	156.59	132.44	176.29	0.28	0.0	5.28	2.97	0.84	0.0	0.11	94.67	0.25	2.97	14.56	0.0	0.0	2.84	3.08	0.0	0.58	0.28	5.5	0.65	12.36	17.13	2.03	0.0	1.14
ARHGEF5	90.14	92.7	42.71	52.82	35.76	80.01	31.9	18.84	17.64	82.29	17.25	30.56	10.96	525.39	309.83	409.15	371.22	293.07	389.72	457.25	199.85	490.14	351.14	358.54	708.18	638.15	493.56	327.56	224.97	327.56	255.0	518.15	647.07	674.59	332.14	1104.13	262.2	447.82	547.75	264.03	414.87	647.07	412.0	497.0	332.14	423.61	486.75	412.0	212.78	616.37	441.64	389.72	511.0	376.41	995.0	387.02	395.18	217.27	334.46	595.34	441.64	403.5	447.82	228.13	325.29	848.22	65.26	536.45	497.0	264.03	536.45	417.77	371.22	460.44	84.63	688.78	503.95	728.11	540.19	432.53	366.09	540.19	796.86	348.71	890.44	698.41	1015.93	518.15	629.35	693.58	389.72	511.0	346.29	669.92	656.11	791.35	529.06	651.58	780.44	444.72	759.08	563.18	486.75	567.1	679.29	669.92	389.72	348.71	961.07	318.57	607.87	463.65	603.67	525.39	928.3	543.96	371.22	620.67	896.64	316.37	426.57	603.67	525.39	708.18	351.14	563.18	500.46	395.18	457.25	511.0	753.83	571.05	363.56	432.53	500.46	808.0	381.68	397.93	934.76	426.57	417.77	348.71	473.41	579.04	463.65	674.59	325.29	563.18	356.05	514.56	70.01	244.57	121.79	63.0	104.42	0.0	0.41	267.73	153.34	121.79	119.26	132.44	102.97	70.51	94.01	101.54	74.58	74.06	102.97	87.03	76.71	167.9	178.77	42.11	90.77
ASTN2	36.79	52.08	24.63	49.21	9.13	68.55	57.08	70.01	62.56	100.83	48.52	58.71	37.59	121.79	73.03	187.71	115.97	214.27	102.97	76.17	99.43	108.9	77.79	102.25	143.01	146.03	221.86	93.35	376.41	60.39	239.52	112.77	157.68	334.46	591.22	432.53	29.27	35.5	170.25	400.71	18.97	75.11	447.82	119.26	139.07	108.14	91.41	127.89	82.29	32.59	307.69	36.53	39.79	53.57	244.57	154.42	262.2	116.78	49.91	121.79	208.38	64.8	223.41	532.74	81.14	102.97	82.87	273.37	201.25	102.97	167.9	183.82	120.94	134.3	54.72	251.48	119.26	224.97	138.1	185.11	155.5	109.66	256.78	121.79	251.48	260.38	293.07	253.23	108.9	180.02	172.65	159.9	155.5	316.37	204.07	137.14	141.02	309.83	287.01	150.17	100.83	258.57	176.29	228.13	246.28	363.56	139.07	84.04	228.13	79.45	224.97	122.64	403.5	376.41	178.77	173.85	457.25	764.36	82.87	82.29	157.68	95.34	95.34	303.44	167.9	1467.37	414.87	423.61	103.69	55.89	173.85	309.83	211.31	796.86	94.01	279.14	159.9	127.89	473.41	190.34	176.29	191.67	100.83	599.49	633.73	114.36	70.01	208.38	137.14	220.32	105.15	54.72	37.59	74.58	199.85	0.0	0.17	81.71	43.02	52.45	161.02	314.17	57.49	25.35	46.84	180.02	99.43	113.56	90.14	115.97	61.68	59.13	104.42	169.07	41.22
ATP13A4	1.39	13.62	0.0	9.27	22.59	1.95	0.0	4.39	1.35	21.32	3.06	3.53	4.86	35.25	1.81	124.37	3.35	476.71	20.41	10.96	73.54	6.73	4.78	117.6	49.21	1.89	82.87	22.26	358.54	53.19	1.0	143.01	212.78	13.03	237.86	796.86	24.99	47.84	21.63	202.66	8.51	9.06	7.51	248.0	204.07	30.56	473.41	35.76	48.52	26.86	105.15	102.97	64.8	1008.9	480.04	267.73	78.34	7.0	31.9	139.07	94.67	36.01	275.28	24.28	21.01	146.03	1.83	299.25	234.57	31.9	679.29	366.09	31.67	74.58	0.0	253.23	68.55	291.04	73.03	68.55	53.57	111.99	275.28	141.02	221.86	791.35	379.04	131.51	169.07	115.97	503.95	190.34	87.65	395.18	246.28	161.02	31.22	150.17	483.38	194.36	70.01	231.32	281.09	124.37	289.02	1529.73	37.05	202.66	305.55	46.84	80.57	22.26	253.23	503.95	130.6	85.22	212.78	237.86	441.64	22.75	61.68	76.17	53.57	128.79	154.42	182.55	334.46	325.29	193.01	67.12	134.3	66.65	40.36	339.14	220.32	303.44	31.9	143.01	371.22	181.28	112.77	96.68	84.04	211.31	119.26	165.57	63.89	126.12	36.27	128.79	2.46	8.92	43.63	5.68	8.58	0.0	0.45	67.59	26.28	4.58	12.0	3.76	6.06	4.06	0.11	5.02	1.64	2.51	0.0	2.97	2.58	1.31	6.16	49.91	4.1
ATP13A5	0.99	0.0	1.0	0.0	1.03	0.39	0.0	0.0	0.0	0.0	0.0	0.43	0.0	8.51	1.45	29.91	3.89	1936.53	6.73	63.45	51.71	2.01	45.53	52.08	29.27	1.22	49.56	7.75	231.32	16.15	1.58	0.92	130.6	1.22	29.27	116.78	271.48	70.01	92.05	23.25	92.05	11.04	19.25	118.43	58.3	7.4	16.15	0.92	7.34	13.72	50.27	12.09	237.86	406.31	79.45	137.14	44.89	28.04	1.87	49.91	36.01	11.21	3.29	0.29	2.84	175.07	0.0	201.25	107.38	58.3	406.31	764.36	29.7	32.59	1.06	186.4	50.27	44.57	31.22	133.36	64.34	95.34	186.4	62.56	191.67	583.07	114.36	127.89	165.57	105.89	165.57	171.45	129.69	215.77	244.57	88.88	58.3	107.38	108.14	48.18	35.5	206.94	285.03	70.51	283.05	532.74	55.89	146.03	229.72	33.06	102.25	8.58	90.14	197.09	193.01	13.93	61.25	105.89	157.68	18.7	12.36	10.39	28.86	146.03	84.04	67.12	728.11	55.1	12.64	133.36	93.35	214.27	27.05	79.45	173.85	70.51	40.93	172.65	460.44	171.45	346.29	85.82	19.68	76.17	177.53	89.51	118.43	242.88	61.25	125.24	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.66	0.0	1.57	0.92	0.0	0.0	0.37	0.68	0.0	0.73	2.84	0.69	0.0	0.0	0.0	30.34
AUTS2	769.69	84.63	217.27	154.42	55.1	277.2	543.96	246.28	339.14	241.19	237.86	305.55	212.78	1059.11	529.06	785.88	320.8	2835.7	403.5	454.09	728.11	723.08	563.18	551.56	2271.4	358.54	1081.39	435.55	1225.22	1059.11	603.67	3742.05	1127.35	775.05	872.1	1073.91	325.29	796.86	591.22	775.05	301.33	1008.9	1191.69	1233.75	872.1	409.15	1096.5	3589.58	295.11	351.14	947.83	368.65	738.29	1183.45	819.3	536.45	1104.13	406.31	287.01	1304.15	514.56	201.25	813.63	221.86	1001.93	1286.18	156.59	429.54	1023.0	629.35	1233.75	1268.46	647.07	842.36	91.41	1427.22	1008.9	1135.2	836.53	934.76	318.57	674.59	1832.01	1037.29	1175.27	1437.15	1250.98	1487.87	947.83	848.22	872.1	921.88	1199.98	1806.78	1313.23	1313.23	743.43	2351.53	1216.75	1208.34	1119.56	1151.06	967.76	1015.93	1127.35	780.44	665.29	616.37	1001.93	785.88	872.1	791.35	1277.29	1457.23	1259.69	1519.15	713.11	1498.22	1388.16	500.46	819.3	1594.73	591.22	1059.11	400.71	1651.0	1561.89	1857.6	1127.35	381.68	1733.13	1151.06	921.88	1447.15	796.86	1508.65	1313.23	921.88	1844.76	273.37	836.53	785.88	532.74	1769.57	830.75	1127.35	684.02	1331.57	688.78	825.0	191.67	299.25	299.25	64.8	325.29	155.5	332.14	638.15	183.82	612.11	412.0	267.73	547.75	466.88	1259.69	361.04	140.04	105.89	191.67	164.42	224.97	389.72	571.05	114.36	90.77
BTBD11	14.78	15.56	4.74	7.82	9.2	22.92	2.53	1.81	8.45	22.92	1.79	4.43	1.81	48.18	6.16	44.57	4.58	34.26	47.17	19.25	11.91	17.0	51.71	94.67	72.52	11.04	76.71	49.56	26.86	49.91	11.55	2.48	167.9	24.63	154.42	202.66	17.38	5.77	50.63	14.45	26.47	23.93	46.84	41.52	48.87	36.53	39.22	21.47	17.38	74.06	193.01	30.78	17.9	8.92	96.68	80.57	135.24	27.84	12.83	47.5	40.93	5.23	6.62	23.42	55.89	146.03	34.75	90.77	98.04	63.0	195.72	172.65	82.87	63.89	18.7	155.5	82.87	105.89	128.79	105.15	75.64	72.01	172.65	92.05	147.06	92.7	172.65	115.97	138.1	181.28	116.78	121.79	108.14	127.0	94.67	94.01	155.5	116.78	139.07	64.34	108.9	164.42	114.36	142.01	150.17	68.55	115.16	72.52	147.06	102.97	108.9	67.59	111.99	150.17	167.9	126.12	111.21	123.5	134.3	85.22	88.88	113.56	98.73	191.67	92.05	111.99	127.89	155.5	122.64	108.9	154.42	120.1	66.65	148.09	141.02	127.89	100.83	133.36	239.52	112.77	96.68	80.01	76.17	131.51	193.01	155.5	93.35	155.5	156.59	138.1	6.94	8.58	59.55	5.77	2.78	0.0	0.37	44.57	4.58	125.24	10.96	16.88	5.63	8.45	4.9	22.43	5.82	10.88	9.13	3.69	14.45	39.79	3.76	13.03	23.76
C16orf46	66.65	19.68	11.13	37.32	20.56	21.16	37.85	23.25	24.63	29.27	26.28	24.46	16.75	62.12	31.0	49.91	53.19	68.07	48.87	51.35	26.1	31.22	54.72	58.71	75.64	63.89	142.01	46.18	56.28	42.11	40.93	146.03	122.64	70.01	143.01	67.59	25.17	16.39	39.5	100.13	9.56	43.63	40.93	171.45	61.68	11.82	64.8	48.18	26.47	115.16	105.15	94.01	20.86	16.88	90.77	41.81	87.03	12.0	66.65	67.12	25.72	21.01	48.52	63.0	81.71	76.17	23.76	54.72	73.03	33.78	57.08	67.59	53.95	85.82	14.78	90.77	79.45	106.63	41.81	49.56	17.0	80.57	71.0	59.13	107.38	93.35	50.63	112.77	47.5	81.71	85.82	42.11	53.95	131.51	94.67	70.51	28.24	63.0	98.04	80.01	53.95	81.14	84.63	104.42	82.29	74.58	98.04	77.79	87.65	61.68	80.01	44.57	94.01	151.22	64.34	32.36	73.03	173.85	52.45	24.63	19.82	65.72	50.27	49.91	31.9	253.23	50.63	96.01	46.18	45.21	28.04	32.36	54.72	63.89	70.51	115.16	55.89	61.25	72.01	65.72	55.49	103.69	32.82	218.79	113.56	61.25	59.55	111.21	42.41	126.12	22.59	12.93	18.84	29.91	18.7	0.0	0.0	29.7	29.06	35.5	28.86	21.47	29.91	28.86	32.13	28.04	17.77	16.03	26.28	29.91	11.3	20.41	18.29	14.24	60.39
C1orf226	234.57	26.47	176.29	81.71	7.82	29.06	130.6	69.52	56.68	61.25	139.07	112.77	47.84	555.41	209.84	813.63	293.07	460.44	224.97	141.02	339.14	47.5	55.1	466.88	1313.23	275.28	748.61	195.72	497.0	249.73	511.0	84.63	406.31	599.49	348.71	961.07	96.01	145.02	209.84	176.29	130.6	183.82	166.73	1151.06	909.17	147.06	571.05	291.04	24.11	148.09	603.67	95.34	87.03	148.09	551.56	165.57	764.36	389.72	51.35	890.44	172.65	91.41	157.68	205.5	299.25	373.81	70.51	559.28	441.64	353.59	723.08	616.37	327.56	329.84	153.34	934.76	215.77	607.87	305.55	417.77	171.45	314.17	688.78	329.84	595.34	909.17	718.08	674.59	412.0	490.14	444.72	234.57	256.78	769.69	802.41	423.61	356.05	819.3	967.76	397.93	412.0	748.61	629.35	684.02	1030.12	651.58	397.93	397.93	473.41	180.02	555.41	218.79	878.17	1388.16	490.14	392.44	587.13	1350.18	651.58	169.07	164.42	473.41	441.64	785.88	217.27	1896.65	808.0	825.0	813.63	341.51	728.11	260.38	217.27	1519.15	651.58	620.67	159.9	860.08	1487.87	563.18	307.69	301.33	258.57	1286.18	1001.93	441.64	473.41	1023.0	543.96	764.36	36.27	177.53	82.87	161.02	83.45	0.0	0.25	112.77	15.91	38.67	118.43	12.45	202.66	260.38	121.79	23.25	75.64	62.56	104.42	50.27	66.18	34.51	53.95	64.34	37.05
C1orf61	16.39	0.0	9.27	10.31	0.0	0.41	0.0	3.5	1.79	9.7	6.46	2.63	0.91	12.18	8.92	42.11	0.0	8.65	0.0	23.42	3.2	10.0	6.84	3.44	7.82	13.42	32.36	81.14	3.38	9.34	2.61	7.88	23.93	0.95	13.62	37.85	27.64	15.34	16.27	2.41	1.85	10.08	26.28	9.06	3.29	14.45	4.35	12.0	17.0	39.5	25.17	111.99	29.48	3.89	4.39	83.45	15.0	11.21	0.39	13.83	5.54	11.21	1.53	0.0	6.11	33.3	0.0	209.84	24.99	25.54	55.1	40.93	67.12	37.32	2.84	127.89	27.44	63.0	41.81	31.0	35.25	7.4	102.25	63.0	68.07	74.06	98.73	68.07	33.3	78.34	53.19	32.13	15.68	138.1	40.07	35.76	92.05	24.46	19.11	22.92	19.97	46.18	42.71	95.34	30.56	26.28	14.35	14.78	72.52	23.59	54.33	17.25	83.45	59.13	44.89	13.42	50.98	163.28	133.36	43.63	88.88	33.06	21.94	51.71	14.78	236.21	104.42	7.82	100.13	27.44	28.24	0.99	24.11	151.22	33.78	27.44	18.97	15.45	78.89	173.85	7.0	26.1	43.63	68.55	99.43	22.1	8.06	102.25	55.1	57.89	4.35	2.18	57.49	17.13	14.89	0.0	0.47	32.36	1.31	0.0	2.27	171.45	20.71	18.43	37.85	2.89	12.36	8.19	9.13	5.36	3.44	15.0	0.48	37.32	0.73
