	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.6651.01A.21R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.YJ8A.1726.SM.5P9IQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZY6K.1326.SM.5GZWP	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	GTEX.11DXX.1226.SM.5GICD	GTEX.144GM.1626.SM.5O9AG	GTEX.QLQ7.1026.SM.447BB
C20orf194	12.45	253.23	189.02	44.25	38.4	76.17	65.72	36.79	11.47	31.22	57.49	57.89	63.45	87.65	93.35	64.34	49.56	25.54	26.47	38.67	31.0	45.53	60.82	74.58	45.21	127.89	10.63	27.05	77.25	165.57	148.09	27.64	155.5	18.29	102.97	75.11	26.28	151.22	24.81	45.53	17.13	34.02	34.51	103.69	30.34	42.71	198.47	70.01	60.39	34.51	89.51	183.82	26.1	19.82	21.94	13.62	27.64	68.07	27.05	42.11	158.79	19.11	33.3	55.89	75.64	151.22	23.76	87.65	22.75	28.04	94.01	24.63	20.86	141.02	135.24	27.64	85.22	35.5	51.71	130.6	155.5	99.43	85.22	156.59	40.36	19.39	397.93	595.34	400.71	463.65	363.56
C9orf3	525.39	2502.97	1551.09	743.43	559.28	884.29	884.29	518.15	529.06	555.41	842.36	698.41	769.69	1001.93	934.76	698.41	674.59	497.0	412.0	559.28	559.28	525.39	738.29	1605.83	629.35	1135.2	381.68	438.59	1143.1	1295.13	1073.91	500.46	1159.07	583.07	1127.35	866.07	503.95	1447.15	473.41	703.28	395.18	607.87	563.18	1023.0	497.0	473.41	1617.0	961.07	511.0	660.68	651.58	2193.99	473.41	376.41	514.56	426.57	669.92	703.28	423.61	547.75	1674.06	336.79	536.45	511.0	802.41	988.12	567.1	921.88	466.88	447.82	723.08	371.22	559.28	1175.27	1044.52	493.56	890.44	441.64	813.63	1159.07	1936.53	1175.27	974.5	1119.56	647.07	400.71	3665.02	3081.75	1477.58	5555.65	2061.24
CACNA1G	1.03	4.58	29.27	0.93	0.67	2.39	0.67	0.65	1.2	0.41	1.81	1.83	1.01	2.12	1.93	2.71	1.85	0.65	0.91	0.52	1.17	0.83	3.17	10.08	0.59	5.54	0.01	0.45	4.06	2.97	1.93	1.03	10.63	0.39	4.43	2.05	0.41	13.72	0.62	1.97	0.96	1.33	2.73	2.63	1.5	0.67	5.87	0.59	1.93	1.33	1.58	6.73	1.07	0.61	0.4	0.0	1.71	2.14	0.21	1.04	3.53	0.52	0.39	0.59	2.73	2.73	1.25	4.06	0.79	0.46	3.53	1.69	1.28	3.41	3.82	1.69	3.89	0.97	1.28	5.77	11.13	2.23	1.33	1.06	1.23	0.71	2.86	17.77	6.41	12.74	8.45
CD109	19.53	493.56	176.29	18.29	11.3	26.28	47.84	15.0	3.92	7.51	28.65	15.0	21.94	25.54	59.13	31.67	28.04	8.13	12.55	19.39	17.0	14.03	20.41	185.11	14.35	56.28	4.17	12.93	20.86	60.82	68.07	7.82	108.14	8.32	100.13	25.54	12.64	94.67	10.39	24.28	9.63	19.53	12.27	36.27	10.47	20.71	96.68	23.42	17.77	25.35	70.01	55.49	18.84	9.41	15.45	6.11	11.64	20.71	6.57	13.22	71.0	9.78	7.06	15.8	52.82	47.84	20.11	31.22	6.89	13.52	32.82	10.16	8.99	82.87	66.18	9.93	23.25	10.71	23.76	119.26	141.02	22.26	45.85	60.82	12.93	4.39	563.18	312.0	84.63	77.25	190.34
CDH6	3.69	118.43	111.99	9.78	13.72	9.93	10.55	7.22	6.94	5.87	9.78	12.36	16.27	10.16	11.13	8.92	8.51	3.47	14.67	11.3	6.67	5.02	16.88	41.52	7.46	14.14	3.53	8.06	12.83	19.39	20.26	8.85	16.39	5.5	12.55	10.47	3.08	37.85	15.91	9.78	6.46	9.48	8.45	9.2	2.76	9.2	27.84	12.83	7.57	12.93	10.63	31.0	7.06	7.69	8.71	3.32	6.16	13.42	8.06	7.22	24.63	4.74	11.13	2.97	8.99	21.32	3.82	13.83	7.51	4.74	13.62	4.1	4.43	23.42	23.25	3.06	8.78	7.28	11.38	14.56	37.32	7.88	15.22	17.0	8.25	3.38	89.51	198.47	65.26	36.01	37.32
CSDC2	3.44	1059.11	316.37	17.77	7.88	20.86	37.32	8.13	9.93	11.38	12.45	22.75	17.64	25.91	26.28	18.84	29.06	4.46	2.41	10.79	5.82	10.39	14.45	241.19	9.93	88.26	6.94	7.51	53.19	74.06	32.82	11.91	48.52	10.96	67.12	19.25	2.81	187.71	6.36	36.53	4.94	11.38	10.24	32.13	7.51	14.14	75.64	23.93	9.48	22.43	21.16	68.55	17.38	7.34	5.92	8.0	12.27	21.47	9.56	2.48	78.34	3.47	11.55	13.52	25.72	52.82	21.94	27.84	6.89	10.08	14.03	10.31	8.06	102.97	35.25	2.66	28.04	9.93	9.48	23.08	78.34	31.0	68.55	38.4	10.39	8.32	69.52	176.29	130.6	92.05	379.04
DCHS1	21.78	660.68	470.14	53.19	70.51	104.42	84.63	43.32	23.59	46.18	84.63	115.16	112.77	121.79	135.24	131.51	85.22	28.24	33.54	44.25	72.01	60.39	90.77	124.37	57.08	205.5	14.35	37.59	134.3	256.78	269.6	29.48	205.5	40.07	181.28	108.14	27.84	303.44	38.95	64.8	35.25	43.32	50.27	157.68	45.53	45.21	279.14	105.89	94.01	49.91	123.5	228.13	30.34	41.22	36.53	15.11	57.89	92.7	32.13	48.87	145.02	26.47	49.91	65.72	102.97	198.47	59.55	132.44	40.64	48.52	156.59	34.26	33.3	158.79	204.07	33.78	129.69	36.01	48.18	229.72	264.03	139.07	114.36	182.55	46.5	26.47	406.31	1104.13	454.09	503.95	579.04
DCLK2	5.73	366.09	169.07	56.68	66.65	56.68	45.53	21.63	37.59	22.59	68.07	47.17	53.57	87.03	83.45	66.65	63.89	28.24	21.63	35.5	30.56	34.26	52.45	262.2	33.78	81.14	22.26	16.63	110.43	114.36	111.99	19.39	121.79	27.05	75.11	49.91	20.71	146.03	40.07	55.89	25.54	26.86	30.56	73.54	25.91	23.93	124.37	61.25	46.5	32.82	60.82	171.45	21.32	39.5	23.59	28.65	32.59	47.5	16.63	30.78	111.21	12.09	35.5	31.22	65.72	87.03	26.67	114.36	34.02	43.02	59.13	31.45	33.54	116.78	82.87	24.81	67.12	22.75	47.5	116.78	148.09	137.14	65.72	121.79	22.59	14.89	412.0	698.41	217.27	346.29	201.25
DDR2	35.25	1407.55	915.51	162.14	127.0	318.57	248.0	78.89	33.06	86.43	191.67	183.82	175.07	412.0	351.14	269.6	161.02	55.89	66.18	100.13	108.9	123.5	162.14	547.75	143.01	470.14	32.13	92.7	211.31	665.29	1159.07	73.54	698.41	65.72	651.58	255.0	42.41	1199.98	84.04	134.3	66.65	176.29	84.04	457.25	54.33	88.88	559.28	273.37	134.3	121.79	307.69	1605.83	94.67	53.95	74.58	32.36	102.25	275.28	58.71	91.41	543.96	53.57	73.54	172.65	244.57	884.29	85.82	463.65	66.65	79.45	325.29	63.89	47.17	511.0	743.43	60.39	323.03	68.07	141.02	493.56	688.78	466.88	267.73	555.41	105.15	35.25	1605.83	2573.36	2004.85	1378.57	2240.11
DENND5A	68.07	1540.37	1639.59	229.72	191.67	289.02	283.05	177.53	112.77	172.65	307.69	206.94	275.28	314.17	444.72	363.56	262.2	147.06	138.1	212.78	198.47	215.77	258.57	583.07	229.72	529.06	95.34	153.34	368.65	674.59	808.0	181.28	551.56	167.9	599.49	301.33	144.01	848.22	141.02	336.79	115.16	191.67	197.09	473.41	180.02	171.45	674.59	457.25	214.27	249.73	339.14	872.1	189.02	142.01	120.94	81.71	171.45	371.22	164.42	187.71	571.05	144.01	181.28	279.14	353.59	713.11	164.42	438.59	127.0	224.97	325.29	178.77	159.9	603.67	665.29	161.02	483.38	189.02	236.21	497.0	591.22	463.65	332.14	603.67	215.77	115.97	2502.97	2255.7	1407.55	2090.03	1407.55
DHX33	81.71	175.07	305.55	88.26	106.63	105.89	96.01	73.03	52.08	122.64	103.69	120.94	132.44	106.63	111.99	150.17	84.63	97.36	102.25	136.19	129.69	137.14	152.28	183.82	100.83	148.09	71.0	100.83	147.06	134.3	149.12	79.45	120.94	111.99	147.06	102.25	101.54	223.41	83.45	82.29	123.5	87.65	104.42	120.1	123.5	91.41	120.1	128.79	185.11	100.83	139.07	215.77	103.69	76.71	81.14	87.65	99.43	167.9	87.03	96.01	119.26	104.42	108.14	135.24	105.15	155.5	107.38	175.07	95.34	147.06	127.0	85.22	95.34	134.3	145.02	102.25	170.25	93.35	78.89	176.29	154.42	140.04	111.99	163.28	127.89	70.01	226.54	183.82	155.5	198.47	205.5
DUSP14	91.41	480.04	376.41	38.95	55.49	85.82	63.89	36.53	34.02	39.22	84.04	56.68	57.08	92.7	97.36	97.36	68.07	41.52	44.89	66.65	42.41	56.68	70.01	277.2	63.45	134.3	31.9	41.22	130.6	155.5	105.15	47.5	143.01	31.67	185.11	61.68	53.19	177.53	61.25	96.01	72.01	37.85	68.07	144.01	37.85	46.84	248.0	81.71	59.97	53.19	75.11	269.6	42.71	59.97	31.0	31.0	49.91	80.57	32.36	47.17	187.71	27.84	46.5	72.01	73.54	171.45	48.87	131.51	38.4	59.97	63.0	41.52	68.55	153.34	145.02	27.05	153.34	35.5	114.36	149.12	172.65	175.07	74.06	130.6	36.01	33.54	769.69	293.07	291.04	234.57	224.97
DZIP1L	6.67	137.14	112.77	32.36	18.56	21.32	8.45	11.73	3.23	12.27	21.94	25.54	26.86	42.41	30.34	24.46	23.59	12.93	12.18	17.38	12.0	17.9	25.54	75.64	12.45	31.67	4.13	12.74	40.93	54.72	55.89	10.79	43.32	9.27	42.71	22.59	16.39	82.87	10.88	9.93	8.32	15.34	12.0	29.7	14.14	15.45	45.21	42.11	21.47	11.38	31.22	74.58	10.0	9.13	10.31	7.4	15.0	18.97	14.03	16.15	50.63	7.22	25.91	18.16	28.65	40.93	11.3	31.22	9.63	16.51	33.06	6.84	5.96	39.5	35.25	8.65	43.02	17.51	13.52	49.91	86.43	47.84	36.79	47.5	17.0	12.0	169.07	186.4	152.28	251.48	327.56
EVC	10.96	267.73	204.07	35.0	25.72	62.56	42.41	15.45	6.31	16.15	42.71	40.93	41.81	45.53	78.89	48.87	29.91	10.08	20.86	17.13	16.63	26.47	35.5	43.63	26.86	83.45	5.87	19.25	43.63	120.94	161.02	13.12	111.99	8.51	70.51	50.27	17.77	123.5	16.88	28.45	12.93	19.39	17.64	78.34	15.68	15.56	141.02	49.21	55.89	15.68	73.54	130.6	13.83	18.16	11.82	8.71	19.68	40.64	9.85	21.63	115.97	11.82	25.72	34.02	50.63	133.36	18.03	76.71	11.04	21.32	74.58	12.27	10.55	90.77	116.78	12.64	64.34	17.13	29.91	129.69	167.9	55.49	79.45	119.26	20.86	5.15	251.48	353.59	234.57	361.04	260.38
FAM189A2	77.79	159.9	92.05	64.34	57.89	72.01	44.89	64.8	30.56	21.47	90.77	64.34	98.73	84.04	86.43	94.01	59.97	36.79	43.32	63.45	28.04	48.52	113.56	214.27	40.64	70.51	56.28	38.67	126.12	189.02	68.55	22.1	120.1	31.22	69.03	63.45	51.71	139.07	61.25	53.19	25.54	21.78	35.5	84.63	31.67	28.86	157.68	68.07	91.41	41.52	92.05	361.04	35.25	33.78	61.68	101.54	32.13	59.55	21.32	62.56	156.59	19.53	186.4	33.54	71.0	59.97	21.78	105.15	20.11	28.04	89.51	44.57	28.86	131.51	95.34	128.79	108.9	43.94	77.25	146.03	239.52	279.14	85.22	99.43	55.89	39.22	163.28	341.51	329.84	10659.59	157.68
FAM83D	21.47	47642.77	1674.06	61.68	186.4	221.86	236.21	111.99	206.94	128.79	271.48	158.79	154.42	738.29	273.37	232.94	336.79	115.97	74.58	118.43	195.72	154.42	384.34	1769.57	108.9	423.61	59.13	78.89	387.02	490.14	417.77	82.29	620.67	173.85	1340.84	119.26	131.51	647.07	190.34	177.53	241.19	142.01	318.57	486.75	94.01	106.63	890.44	138.1	220.32	164.42	218.79	1295.13	73.03	157.68	137.14	169.07	166.73	332.14	83.45	153.34	559.28	155.5	104.42	201.25	1037.29	708.18	444.72	511.0	139.07	112.77	151.22	109.66	159.9	878.17	454.09	77.79	480.04	82.29	703.28	642.59	1167.14	473.41	186.4	255.0	71.5	90.14	16157.44	7749.1	583.07	10225.32	384.34
