	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6744.11A.01R.1858.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.POYW.1226.SM.2XCEP	GTEX.X5EB.0426.SM.46MVY	GTEX.WWYW.0926.SM.3NB2Z	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.145MF.0726.SM.5Q5BT	GTEX.X261.1026.SM.3NMDL	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FHO.1026.SM.5KM1Q	TCGA.33.6737.11A.01R.1820.07
FAM27D1	0.0	0.0	0.1	0.0	1.33	2.97	0.0	1.77	4.82	0.0	0.79	3.44	0.52	0.0	1.07	0.75	4.24	0.58	4.5	1.2	0.49	0.53	2.81	1.28	0.88
FAM83E	0.0	0.0	0.47	314.17	1159.07	941.27	51.35	2255.7	3639.7	785.88	435.55	185.11	1277.29	785.88	120.1	2178.83	1350.18	743.43	3146.52	32.36	830.75	1697.45	1295.13	242.88	244.57
FBXW9	76.71	0.0	0.0	81.71	316.37	791.35	68.07	447.82	616.37	289.02	128.79	205.5	309.83	318.57	175.07	583.07	624.99	397.93	507.46	136.19	470.14	275.28	373.81	147.06	137.14
FOXI1	0.0	0.0	0.01	0.0	1.41	147.06	0.0	1.3	191.67	15.56	0.0	1.5	0.0	14.24	1.43	54.33	1.22	48.52	47.5	0.0	159.9	15.45	12.83	0.0	0.33
FOXN4	3.66	0.0	0.0	1.6	7.11	43.02	0.0	9.06	120.1	12.55	0.0	1.73	13.83	3.38	0.46	177.53	13.32	2.81	1.68	0.41	161.02	11.91	26.1	0.15	1.57
FRMPD3	0.82	0.0	0.15	2.36	11.55	7.69	2.94	12.74	36.53	15.11	2.14	6.06	4.06	7.17	0.92	1.6	15.34	8.51	5.77	1.1	6.67	3.63	4.21	2.43	5.41
GALNT6	7.57	341.51	303.44	153.34	1407.55	616.37	20.71	1322.37	1104.13	397.93	85.22	256.78	371.22	281.09	127.0	164.42	551.56	1051.79	3419.52	59.13	1617.0	99.43	780.44	50.63	143.01
GCGR	0.48	0.0	0.31	0.0	0.25	18.29	3.59	1.36	38.95	10.71	0.48	1.6	7.22	0.0	5.41	10.39	6.89	7.63	6.11	1.79	6.57	0.75	6.67	1.41	0.0
GOLM1	371.22	0.0	0.71	423.61	1183.45	3540.14	256.78	1883.54	5329.3	1844.76	470.14	486.75	884.29	878.17	371.22	2319.15	1896.65	2319.15	3325.99	198.47	2090.03	457.25	3103.19	181.28	486.75
GPR37L1	0.0	0.0	0.09	0.41	1.55	5.92	1.3	2.61	18.56	1.01	0.99	1.04	2.16	0.44	1.57	10.08	3.69	3.17	1.57	1.36	5.68	2.2	2.23	0.44	1.1
GPR87	0.0	0.0	0.27	4.46	281.09	1350.18	2.56	181.28	3419.52	1111.82	3.03	10.88	84.63	41.81	4.24	603.67	161.02	1037.29	1427.22	2.68	1572.76	16.63	356.05	13.42	9.78
IQCC	44.57	0.0	0.19	40.64	74.06	195.72	57.49	106.63	220.32	111.21	39.5	100.83	102.97	108.9	38.4	171.45	150.17	59.13	95.34	42.71	163.28	92.7	81.71	54.33	63.45
KATNAL2	162.14	0.0	0.35	52.82	133.36	633.73	223.41	248.0	723.08	291.04	58.3	320.8	226.54	117.6	97.36	392.44	525.39	473.41	514.56	37.32	384.34	69.03	281.09	74.06	78.89
KCNH3	0.85	0.0	0.13	8.99	67.59	563.18	4.86	130.6	293.07	98.04	14.03	108.14	84.04	85.82	27.25	205.5	329.84	176.29	224.97	17.38	194.36	61.68	130.6	23.76	30.12
KCNK1	11.55	493.56	529.06	211.31	536.45	267.73	21.47	363.56	579.04	305.55	100.83	119.26	406.31	221.86	34.02	303.44	466.88	466.88	1066.48	37.32	460.44	764.36	616.37	25.91	143.01
KIAA1522	98.04	0.0	0.25	642.59	1457.23	1378.57	417.77	1369.04	2502.97	1191.69	620.67	954.43	1529.73	934.76	669.92	1709.26	1250.98	988.12	1977.24	212.78	1561.89	1059.11	1397.83	432.53	490.14
KIAA1875	1.07	0.0	0.92	3.66	5.32	95.34	7.06	78.34	120.94	43.94	1.36	14.24	18.29	3.08	6.26	102.97	33.78	4.31	16.63	0.35	61.25	12.0	10.08	8.65	2.51
KLK10	0.93	0.0	0.28	571.05	928.3	1183.45	208.38	486.75	7695.57	346.29	149.12	563.18	2555.58	3212.66	860.08	8421.31	5633.22	3146.52	15715.58	2.05	1350.18	2417.67	4802.93	603.67	320.8
KREMEN2	0.0	0.0	0.47	0.95	8.13	15.8	0.0	8.51	33.06	45.85	3.44	0.0	3.44	3.17	2.61	6.31	0.8	8.13	1.16	0.0	6.46	10.08	12.0	20.41	0.92
KRT23	5.87	0.0	0.39	9.85	633.73	1806.78	25.17	86.43	3168.41	9.85	6.11	6.57	161.02	29.7	61.25	429.54	336.79	780.44	4239.45	84.04	438.59	17.38	114.36	1.62	37.32
LDHC	6.11	0.0	0.0	2.1	52.45	127.89	0.0	68.07	255.0	2.29	0.0	28.04	2.25	1.17	1.23	9.27	6.16	0.0	0.0	2.03	4.39	2.27	2.29	26.47	0.72
LRRC10B	19.68	0.0	0.0	44.57	1151.06	3372.43	31.9	1487.87	2573.36	733.19	159.9	660.68	713.11	802.41	206.94	1561.89	2468.49	1250.98	2537.92	63.45	1519.15	432.53	1127.35	80.01	201.25
LRRC73	0.44	0.0	0.0	8.06	120.94	277.2	4.54	141.02	320.8	69.03	21.32	67.12	86.43	83.45	25.54	155.5	149.12	140.04	231.32	14.35	148.09	72.52	98.04	13.83	34.26
MCIDAS	0.0	0.0	0.0	2.46	13.52	28.65	0.0	22.26	70.01	37.32	1.93	11.47	31.22	28.65	8.71	134.3	25.35	20.11	18.29	5.68	109.66	22.43	79.45	0.0	8.65
MFSD10	476.71	0.0	1.23	1225.22	1397.83	2384.37	743.43	4038.61	6381.92	2720.15	1268.46	2520.38	2609.3	1467.37	2997.45	4328.55	5329.3	1883.54	1457.23	1844.76	2209.26	4543.8	890.44	2271.4	1277.29
MUC12	28.65	0.0	0.0	16.27	124.37	718.08	91.41	226.54	1175.27	190.34	12.18	62.12	132.44	59.97	41.52	209.84	314.17	353.59	334.46	44.57	490.14	92.7	71.5	47.5	54.72
MUC4	11.04	0.0	0.25	59.97	1617.0	3874.05	5.87	2047.0	9876.98	1111.82	420.68	111.99	447.82	1175.27	173.85	540.19	3190.46	1044.52	2193.99	69.52	1781.89	536.45	1175.27	51.71	100.13
PAX9	3.82	0.0	0.09	18.43	126.12	587.13	3.66	339.14	679.29	111.99	33.06	101.54	102.25	118.43	45.21	204.07	444.72	733.19	620.67	4.39	414.87	24.99	275.28	7.22	34.51
PDLIM4	105.15	0.0	0.38	104.42	1304.15	1519.15	81.14	525.39	1844.76	660.68	450.94	1081.39	249.73	332.14	325.29	1397.83	1199.98	2956.17	1721.16	89.51	764.36	373.81	493.56	92.7	253.23
PSENEN	1757.34	0.0	0.53	1457.23	5183.54	11584.24	1977.24	11745.96	13306.94	4010.71	1583.71	3018.3	3349.13	5913.33	2047.0	12502.12	8658.09	4736.79	11424.74	1674.06	8421.31	3589.58	5006.93	2537.92	2645.74
RAD51AP2	0.0	0.0	0.0	0.0	0.92	8.32	0.0	0.84	9.85	2.14	0.0	0.0	0.92	0.0	0.93	6.36	4.28	3.08	0.42	0.0	2.63	0.95	0.44	0.0	0.0
RAD54L	3.23	0.0	0.34	10.88	34.75	24.63	12.18	37.32	74.06	33.78	18.84	31.67	12.27	14.67	15.45	48.87	12.45	25.17	14.14	10.47	15.34	24.99	38.4	42.11	17.13
REM2	1.77	0.0	0.48	5.32	30.78	31.45	4.5	33.06	65.26	15.22	21.01	16.39	22.92	10.71	20.56	44.25	32.36	29.27	32.36	1.89	14.67	19.97	22.75	8.32	5.23
ROPN1L	7.0	0.0	0.0	92.7	1709.26	5183.54	125.24	2119.22	3874.05	1605.83	260.38	1037.29	1407.55	1457.23	497.0	4298.64	3060.45	2240.11	5517.27	231.32	2956.17	674.59	2271.4	169.07	389.72
RP11-368I7.4	4.39	0.0	0.0	9.34	80.57	234.57	13.03	155.5	237.86	121.79	24.99	39.79	128.79	76.71	49.91	169.07	198.47	142.01	198.47	30.34	178.77	54.72	119.26	20.86	21.01
RSPH9	8.06	0.0	0.0	36.53	299.25	638.15	14.35	323.03	521.76	275.28	74.06	195.72	256.78	242.88	134.3	551.56	389.72	381.68	579.04	46.18	397.93	176.29	392.44	43.32	109.66
SAMD15	3.79	0.0	0.0	8.92	29.48	113.56	18.84	90.14	190.34	53.95	10.0	36.27	46.5	50.63	25.35	102.25	78.34	55.49	121.79	27.44	59.55	31.22	71.0	12.18	28.45
SBK1	0.34	0.0	0.33	28.86	60.82	139.07	1.62	44.25	217.27	138.1	22.43	48.52	14.03	131.51	24.99	46.5	46.84	21.78	116.78	11.13	21.32	68.55	77.79	14.67	35.0
SCGB1A1	0.0	0.0	0.0	45386.27	3336720.86	845824.19	4671.57	2141216.62	1093103.58	3156730.23	845824.19	2691538.19	3178687.03	3091765.64	828417.36	3968052.37	3134925.09	2392353.91	2825352.59	87681.42	2691538.19	1943195.01	3070409.25	30151.71	152662.96
SGSM3	521.76	0.0	1.1	872.1	1397.83	2287.2	819.3	2163.77	4769.75	2032.85	1119.56	1583.71	1963.57	934.76	1199.98	1757.34	3146.52	1697.45	1467.37	813.63	1651.0	1277.29	1015.93	1250.98	819.3
SLC44A4	4.17	0.0	0.21	629.35	11112.3	29327.18	35.76	21919.61	29531.18	10225.32	1350.18	5329.3	7032.37	7331.05	1662.49	17558.94	18819.27	12076.21	44145.15	182.55	25179.16	5555.65	17317.18	281.09	954.43
SLC4A11	6.06	0.0	0.62	27.05	764.36	503.95	20.71	733.19	2104.58	147.06	28.24	44.25	314.17	56.28	52.82	1008.9	1051.79	473.41	2434.5	10.79	1127.35	103.69	466.88	21.01	29.48
SMIM6	1.6	0.0	0.03	85.22	376.41	1572.76	7.34	1844.76	69271.73	2720.15	46.18	387.02	262.2	802.41	43.32	624.99	5872.48	271.48	3372.43	8.32	2148.82	409.15	1119.56	64.8	65.26
SPINK5	39.79	0.0	0.16	73.03	42.41	96.01	10.96	66.18	135.24	54.33	29.27	31.0	42.71	176.29	4.86	66.65	123.5	130.6	115.97	8.0	164.42	61.68	120.94	6.26	44.57
SSTR5	0.0	0.0	0.1	0.36	0.0	4.43	0.6	4.78	36.53	0.0	0.0	0.0	0.0	2.41	0.0	2.41	11.73	10.71	2.58	0.0	5.06	9.48	0.78	0.0	0.0
STIL	9.85	0.0	0.2	15.91	17.0	36.27	30.12	46.18	87.03	33.78	8.51	7.17	29.91	19.25	5.02	54.33	17.38	43.32	20.11	17.77	60.39	30.78	62.56	16.15	16.27
TJP3	3.82	0.0	0.44	258.57	1572.76	5555.65	65.72	4095.0	7642.41	1963.57	223.41	1008.9	2537.92	1242.34	511.0	4358.66	4358.66	1923.14	3515.68	35.25	3212.66	1467.37	3303.0	71.0	373.81
TOX3	0.85	0.0	0.09	36.79	150.17	332.14	4.58	88.88	775.05	57.49	19.97	54.72	83.45	127.0	7.46	420.68	518.15	514.56	543.96	37.32	703.28	68.07	921.88	3.47	39.79
TRAF4	58.3	0.0	0.31	543.96	1519.15	1208.34	316.37	1088.92	2255.7	974.5	1467.37	1127.35	854.13	1135.2	460.44	1651.0	1216.75	2319.15	2451.44	241.19	848.22	1073.91	860.08	384.34	457.25
TSACC	24.28	0.0	0.15	0.0	6.57	6.78	0.0	1.48	15.8	4.9	1.6	0.0	9.34	5.5	0.0	12.0	10.0	7.82	9.7	7.11	1.27	3.08	6.73	1.53	3.23
TUBB4B	4769.75	3982.99	1477.58	2555.58	8305.36	10296.45	2915.45	16843.62	14163.58	11424.74	3491.39	4769.75	8963.45	11504.21	3982.99	18560.17	6471.02	5954.47	14262.1	2997.45	16611.71	12502.12	12244.81	2032.85	4543.8
UCP2	3443.31	1572.76	441.64	1651.0	5441.3	13306.94	1806.78	12943.04	21320.18	5555.65	4937.99	5711.87	4388.98	8191.0	1781.89	2627.46	6983.79	5255.91	21320.18	1991.0	7433.4	3257.52	5751.61	4152.18	3874.05
UGT2A1	1.57	0.0	0.0	0.0	0.56	237.86	0.0	7.69	842.36	0.0	0.0	0.0	3.69	0.54	42.41	23.76	8.78	82.29	2.48	0.0	3018.3	2.53	25.91	0.0	1.27
WDR54	76.71	0.0	0.23	289.02	1467.37	4210.15	429.54	2451.44	3146.52	1806.78	733.19	1508.65	1437.15	1378.57	808.0	3303.0	2555.58	1605.83	2816.11	483.38	2682.69	988.12	2485.67	660.68	748.61
WNK2	9.27	0.0	0.53	30.34	264.03	656.11	12.27	232.94	921.88	412.0	18.03	147.06	536.45	87.65	76.17	1023.0	470.14	412.0	397.93	43.63	480.04	53.95	836.53	9.48	40.36
YBX2	318.57	0.0	0.54	3.23	18.56	82.29	5.63	13.03	96.68	13.72	2.92	21.47	10.79	5.32	2.97	129.69	52.82	19.82	1.66	3.06	9.78	37.85	95.34	2.71	2.76
ZNF296	0.89	0.0	0.29	19.39	46.5	90.77	4.54	101.54	214.27	108.14	31.45	26.28	92.05	35.25	30.78	99.43	155.5	83.45	127.89	11.91	118.43	147.06	40.93	36.27	15.45
ZNF396	47.17	0.0	0.06	86.43	215.77	229.72	2.01	183.82	305.55	152.28	86.43	93.35	162.14	148.09	66.65	202.66	264.03	112.77	220.32	22.75	209.84	101.54	198.47	79.45	74.58
