	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	TCGA.ET.A2MX.01A.11R.A23N.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A416.01A.11R.A23N.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.KS.A41L.11A.11R.A23N.07	TCGA.ET.A2MX.11C.11R.A23N.07	TCGA.H2.A3RI.11A.11R.A220.07
C2orf47	934.76	961.07	1832.01	1151.06	1519.15	1540.37	1191.69	1313.23	1159.07	1322.37	1487.87	1378.57	1111.82	1286.18	1008.9	1781.89	366.09	224.97	217.27	255.0	336.79	229.72	217.27	256.78	251.48	277.2	299.25	325.29	339.14
C6orf120	265.87	279.14	934.76	305.55	660.68	432.53	307.69	684.02	470.14	376.41	373.81	532.74	309.83	521.76	291.04	802.41	153.34	169.07	157.68	173.85	236.21	144.01	182.55	163.28	147.06	169.07	256.78	234.57	218.79
CFL2	2520.38	2047.0	9409.14	3018.3	3168.41	3955.48	2777.33	4066.71	3982.99	4607.24	6426.31	3768.09	3081.75	3874.05	2148.82	3874.05	571.05	285.03	376.41	896.64	808.0	507.46	836.53	583.07	624.99	813.63	808.0	854.13	743.43
CMPK1	1857.6	2682.69	5791.62	1977.24	2451.44	2739.08	3349.13	2835.7	2417.67	2485.67	2796.65	2645.74	2061.24	3614.55	2075.59	2758.13	1304.15	1225.22	941.27	1508.65	1757.34	1529.73	1498.22	1407.55	1127.35	1331.57	1819.35	1697.45	1950.0
DARS2	189.02	237.86	356.05	189.02	373.81	246.28	228.13	325.29	269.6	190.34	226.54	363.56	224.97	189.02	111.21	409.15	132.44	120.1	108.14	113.56	156.59	96.01	96.68	109.66	80.57	115.97	151.22	117.6	136.19
DLD	1508.65	947.83	3018.3	995.0	2468.49	2163.77	1909.85	2303.12	2193.99	2133.97	1909.85	2434.5	1662.49	2133.97	1023.0	2178.83	775.05	511.0	579.04	775.05	1111.82	429.54	647.07	616.37	514.56	791.35	1073.91	848.22	1001.93
DMGDH	3419.52	3794.3	3103.19	8363.13	6337.83	7280.4	12943.04	15499.21	7911.95	4298.64	5872.48	12764.83	10440.2	3742.05	3768.09	5913.33	29.06	30.12	45.21	132.44	97.36	76.71	101.54	55.49	38.4	52.08	93.35	84.04	137.14
EGLN1	323.03	287.01	591.22	303.44	420.68	559.28	285.03	466.88	529.06	529.06	460.44	368.65	525.39	791.35	211.31	575.03	165.57	158.79	151.22	209.84	224.97	159.9	190.34	187.71	146.03	171.45	279.14	208.38	273.37
EPT1	170.25	305.55	551.56	170.25	273.37	198.47	165.57	224.97	312.0	197.09	314.17	253.23	172.65	363.56	220.32	232.94	55.1	79.45	73.54	101.54	80.57	80.01	71.5	72.01	69.52	99.43	100.83	80.01	114.36
FECH	497.0	305.55	1111.82	373.81	703.28	698.41	540.19	988.12	660.68	872.1	780.44	836.53	633.73	1066.48	353.59	1044.52	195.72	145.02	161.02	204.07	371.22	113.56	187.71	170.25	135.24	186.4	450.94	239.52	412.0
GFM1	473.41	518.15	1359.57	476.71	921.88	647.07	599.49	607.87	603.67	896.64	587.13	656.11	571.05	915.51	518.15	909.17	395.18	318.57	255.0	480.04	483.38	265.87	450.94	309.83	297.17	376.41	518.15	417.77	514.56
GFM2	353.59	406.31	679.29	591.22	780.44	480.04	579.04	454.09	563.18	466.88	571.05	642.59	454.09	633.73	412.0	896.64	318.57	244.57	255.0	299.25	384.34	232.94	281.09	269.6	249.73	309.83	351.14	366.09	327.56
GHITM	3901.01	4268.94	8363.13	4736.79	7589.61	6079.61	6792.79	6250.56	5791.62	5329.3	6164.49	6516.03	4937.99	5913.33	3372.43	9876.98	2777.33	1594.73	1639.59	2193.99	2720.15	1832.01	2148.82	2047.0	1870.53	2271.4	2502.97	2400.97	2855.44
HIBCH	1369.04	2163.77	3212.66	3018.3	2855.44	2627.46	2502.97	2303.12	3060.45	1437.15	1883.54	3690.52	934.76	902.89	1963.57	2178.83	1233.75	483.38	743.43	575.03	759.08	607.87	603.67	607.87	563.18	860.08	764.36	575.03	902.89
HSPA9	4038.61	3467.27	7589.61	3665.02	4639.29	5517.27	5041.77	4836.35	5329.3	5441.3	5329.3	5751.61	4239.45	6935.54	4038.61	7433.4	2997.45	1857.6	2018.8	2451.44	2664.15	2148.82	2384.37	1950.0	2163.77	2502.97	2976.74	2682.69	2664.15
HUS1	309.83	281.09	387.02	275.28	379.04	368.65	325.29	267.73	358.54	371.22	297.17	291.04	497.0	287.01	239.52	343.89	180.02	212.78	151.22	248.0	295.11	166.73	197.09	215.77	170.25	191.67	301.33	253.23	273.37
IARS2	1259.69	1001.93	2193.99	1151.06	1896.65	1844.76	1397.83	1806.78	1950.0	1322.37	1662.49	1594.73	1628.26	1277.29	713.11	2645.74	902.89	500.46	454.09	599.49	769.69	607.87	525.39	579.04	642.59	521.76	785.88	587.13	764.36
IDH1	5441.3	9151.82	10014.87	10733.74	9344.14	9151.82	8840.04	13123.73	9606.86	6471.02	7230.1	14163.58	8078.22	5366.37	5517.27	16383.0	669.92	866.07	497.0	674.59	854.13	909.17	555.41	909.17	738.29	507.46	860.08	769.69	848.22
KIF21A	221.86	197.09	854.13	229.72	351.14	373.81	198.47	457.25	450.94	334.46	249.73	336.79	305.55	414.87	239.52	466.88	144.01	98.04	112.77	102.97	150.17	138.1	98.73	102.25	117.6	105.15	197.09	128.79	199.85
LACTB	688.78	915.51	1378.57	583.07	1397.83	954.43	486.75	1066.48	842.36	785.88	785.88	872.1	947.83	825.0	503.95	967.76	260.38	220.32	151.22	131.51	228.13	166.73	164.42	130.6	209.84	139.07	195.72	195.72	185.11
LARS2	248.0	258.57	305.55	204.07	255.0	226.54	246.28	307.69	318.57	206.94	224.97	325.29	198.47	186.4	148.09	332.14	176.29	114.36	144.01	156.59	186.4	113.56	129.69	136.19	117.6	149.12	198.47	148.09	205.5
LYPLA1	684.02	567.1	1857.6	974.5	1322.37	1059.11	1369.04	1208.34	1111.82	1066.48	1322.37	769.69	941.27	1167.14	688.78	1242.34	412.0	403.5	253.23	403.5	497.0	329.84	363.56	323.03	239.52	346.29	547.75	438.59	514.56
LZIC	429.54	420.68	848.22	473.41	629.35	543.96	426.57	567.1	463.65	341.51	339.14	473.41	406.31	529.06	267.73	497.0	318.57	236.21	273.37	368.65	368.65	231.32	271.48	285.03	275.28	320.8	423.61	295.11	412.0
MMACHC	358.54	279.14	490.14	351.14	397.93	343.89	236.21	316.37	336.79	703.28	287.01	476.71	392.44	563.18	229.72	387.02	32.82	32.59	35.0	32.82	61.25	22.92	34.75	40.93	34.02	59.97	73.03	47.84	51.71
MRPL44	665.29	748.61	1159.07	679.29	954.43	915.51	703.28	928.3	808.0	679.29	748.61	802.41	647.07	848.22	579.04	981.29	381.68	336.79	309.83	339.14	490.14	305.55	320.8	356.05	334.46	320.8	447.82	412.0	432.53
NCOA4	2271.4	2835.7	5954.47	3515.68	5006.93	7180.15	2627.46	6983.79	6840.04	2816.11	2855.44	5112.16	4298.64	2935.74	2835.7	5219.6	1081.39	967.76	854.13	1081.39	1295.13	1023.0	988.12	1191.69	1044.52	947.83	1407.55	1104.13	1487.87
NDUFS1	1259.69	1081.39	2875.3	1191.69	2018.8	1769.57	1733.13	1909.85	1806.78	2224.63	1991.0	1977.24	1674.06	2119.22	1051.79	2520.38	684.02	309.83	314.17	529.06	540.19	454.09	371.22	358.54	473.41	457.25	536.45	400.71	536.45
NNT	2133.97	1322.37	3874.05	2163.77	4268.94	3146.52	4481.23	3690.52	4210.15	5672.41	2271.4	3467.27	2537.92	3146.52	1044.52	5751.61	551.56	366.09	264.03	698.41	802.41	403.5	647.07	595.34	435.55	638.15	769.69	679.29	915.51
PGRMC2	1427.22	2303.12	6079.61	2502.97	2485.67	3190.46	2485.67	2573.36	2417.67	1857.6	1745.2	3168.41	1991.0	1857.6	1639.59	3742.05	1457.23	884.29	1781.89	1250.98	1417.35	1295.13	1059.11	1277.29	1175.27	1208.34	1617.0	1447.15	1529.73
PHAX	473.41	540.19	915.51	521.76	684.02	909.17	376.41	616.37	591.22	426.57	435.55	567.1	656.11	521.76	406.31	796.86	293.07	336.79	287.01	273.37	529.06	229.72	291.04	381.68	366.09	237.86	429.54	376.41	447.82
PLS1	273.37	265.87	1051.79	176.29	438.59	389.72	493.56	836.53	583.07	234.57	529.06	476.71	301.33	612.11	201.25	738.29	80.01	53.95	94.01	56.28	96.01	66.65	52.45	51.71	73.54	54.33	118.43	81.14	100.83
PNPO	1498.22	1417.35	2627.46	1923.14	2119.22	2351.53	1857.6	3768.09	2835.7	2956.17	2645.74	4328.55	1819.35	2976.74	1745.2	3467.27	351.14	224.97	323.03	414.87	381.68	241.19	273.37	269.6	271.48	470.14	511.0	395.18	521.76
POLR3B	136.19	115.16	334.46	134.3	176.29	161.02	143.01	236.21	195.72	187.71	172.65	170.25	205.5	209.84	97.36	166.73	46.5	42.11	44.57	87.03	90.77	32.13	69.52	66.18	50.98	76.71	95.34	71.0	90.77
PPM1A	684.02	780.44	1143.1	813.63	1127.35	1008.9	693.58	1066.48	848.22	759.08	1044.52	808.0	1151.06	785.88	909.17	1151.06	441.64	480.04	389.72	536.45	551.56	476.71	435.55	403.5	438.59	486.75	555.41	521.76	521.76
PTPLAD1	1268.46	1304.15	2591.27	1427.22	1757.34	2739.08	1963.57	2434.5	2119.22	2047.0	2104.58	2417.67	1832.01	1923.14	1225.22	3665.02	1175.27	830.75	1304.15	1277.29	1066.48	909.17	896.64	1088.92	988.12	1331.57	1127.35	974.5	1286.18
SDHC	4607.24	5292.48	6935.54	7803.01	6250.56	6337.83	7032.37	6207.38	5594.3	5219.6	5954.47	8078.22	5183.54	4639.29	4639.29	5995.9	2271.4	1605.83	1733.13	2255.7	2451.44	1685.71	1870.53	1487.87	1617.0	2417.67	2701.35	2400.97	2777.33
SERPINC1	443937.41	964885.69	894051.48	636586.81	711250.37	985160.01	550352.86	3478417.29	539026.74	1070607.81	964885.69	2053992.24	2171106.91	762299.34	569761.05	2111737.85	1.83	4.43	3.0	0.0	2.48	7.51	8.65	1.83	0.45	6.94	2.84	3.47	1.93
SLC31A1	1208.34	1277.29	3874.05	1769.57	2104.58	2148.82	1721.16	2835.7	2400.97	2240.11	1685.71	3124.78	1757.34	2451.44	1023.0	2502.97	119.26	134.3	90.77	166.73	162.14	115.97	164.42	115.97	127.89	190.34	199.85	143.01	198.47
SLC35D1	791.35	1191.69	1733.13	1015.93	1583.71	1662.49	802.41	1757.34	1427.22	1685.71	1733.13	1685.71	1066.48	1477.58	764.36	1685.71	50.63	78.89	62.56	111.99	152.28	68.55	88.26	88.88	57.49	100.83	162.14	117.6	133.36
SLC35E3	110.43	128.79	94.67	133.36	164.42	95.34	82.87	115.16	130.6	87.65	167.9	111.21	157.68	102.25	69.03	103.69	46.18	57.89	33.06	55.89	93.35	63.45	46.84	61.25	47.5	52.45	68.07	72.01	76.71
SLC41A2	1096.5	1143.1	3212.66	642.59	1457.23	1340.84	1199.98	3690.52	1519.15	3349.13	1857.6	2451.44	2104.58	2645.74	1183.45	1561.89	23.25	100.83	57.08	146.03	167.9	109.66	116.78	88.26	83.45	125.24	180.02	134.3	204.07
TFB2M	325.29	343.89	1477.58	287.01	669.92	764.36	486.75	514.56	642.59	884.29	480.04	665.29	412.0	738.29	420.68	612.11	264.03	176.29	198.47	197.09	275.28	145.02	214.27	202.66	169.07	206.94	285.03	323.03	277.2
TMCO1	2796.65	2591.27	5555.65	2520.38	4123.49	3589.58	3039.3	3168.41	3081.75	3928.15	2976.74	3742.05	2777.33	3235.01	2148.82	3665.02	1709.26	1286.18	1498.22	2061.24	2855.44	1023.0	1733.13	1437.15	1277.29	2047.0	2434.5	2555.58	2816.11
TMEM19	264.03	567.1	305.55	162.14	373.81	392.44	323.03	493.56	403.5	336.79	211.31	629.35	403.5	414.87	228.13	395.18	87.65	150.17	94.67	212.78	209.84	148.09	128.79	133.36	118.43	242.88	289.02	223.41	223.41
TMEM192	486.75	460.44	1407.55	674.59	928.3	1127.35	733.19	1259.69	1044.52	848.22	1044.52	854.13	860.08	1199.98	356.05	1322.37	239.52	120.94	241.19	220.32	356.05	162.14	181.28	152.28	194.36	236.21	336.79	277.2	329.84
TMEM33	460.44	271.48	1183.45	381.68	698.41	583.07	540.19	819.3	813.63	830.75	698.41	703.28	473.41	1023.0	454.09	974.5	277.2	320.8	205.5	361.04	325.29	295.11	297.17	343.89	287.01	356.05	353.59	299.25	376.41
TMLHE	327.56	314.17	457.25	253.23	525.39	384.34	327.56	409.15	529.06	409.15	420.68	417.77	348.71	341.51	239.52	514.56	223.41	166.73	145.02	224.97	231.32	191.67	178.77	149.12	163.28	214.27	236.21	194.36	242.88
TOMM70A	603.67	567.1	1617.0	802.41	759.08	808.0	836.53	941.27	769.69	642.59	587.13	836.53	764.36	1183.45	579.04	825.0	417.77	409.15	368.65	497.0	551.56	470.14	493.56	514.56	420.68	457.25	583.07	490.14	540.19
UGP2	7966.99	14065.74	20030.74	10084.54	10733.74	16157.44	10808.41	19754.96	11035.54	3847.29	8718.32	13399.51	13776.25	4972.34	11745.96	26800.01	1242.34	1216.75	1030.12	1322.37	1583.71	1167.14	1529.73	1225.22	1295.13	1457.23	1794.29	1167.14	1819.35
UGT2B4	14663.09	9740.98	336441.4	29531.18	82951.62	79022.82	58655.36	132900.7	56657.31	28328.16	17437.64	123144.13	29531.18	36357.37	17317.18	456418.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VWA8	191.67	267.73	540.19	379.04	429.54	480.04	269.6	607.87	571.05	285.03	397.93	525.39	301.33	339.14	224.97	813.63	94.67	89.51	66.18	94.67	123.5	71.5	115.97	80.01	70.51	92.05	111.21	109.66	125.24
YIPF4	595.34	669.92	1119.56	748.61	733.19	780.44	769.69	753.83	796.86	529.06	780.44	583.07	579.04	587.13	688.78	785.88	551.56	454.09	406.31	525.39	603.67	417.77	432.53	483.38	397.93	414.87	417.77	454.09	555.41
ZFP1	309.83	295.11	226.54	353.59	346.29	397.93	285.03	318.57	194.36	204.07	297.17	312.0	277.2	165.57	307.69	256.78	84.04	138.1	105.89	147.06	232.94	118.43	138.1	145.02	115.16	95.34	185.11	156.59	185.11
