	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.ZF2S.2026.SM.5E461	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3T9.01A.21R.A22L.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.R55C.0626.SM.2TF4Q
C16orf52	244.57	264.03	231.32	183.82	153.34	224.97	154.42	171.45	165.57	119.26	151.22	147.06	177.53	150.17	105.15	193.01	67.59	181.28	131.51	111.99	167.9	148.09	158.79	170.25	164.42	120.94	212.78	162.14	197.09	169.07	106.63	218.79	148.09	149.12	154.42	134.3	106.63	150.17	164.42	127.89	152.28	132.44	154.42	145.02	158.79	127.89	281.09	165.57	185.11	163.28	134.3	112.77	128.79	124.37	171.45	166.73	161.02	130.6	138.1	148.09	172.65	185.11	176.29	262.2	166.73	128.79	147.06	145.02	228.13	214.27
C22orf23	145.02	119.26	205.5	32.82	56.68	70.01	40.07	78.34	43.63	55.1	50.27	47.17	77.79	45.53	41.81	80.57	34.02	43.32	52.45	39.22	55.1	44.57	72.01	68.07	56.28	53.57	47.5	65.26	49.91	93.35	53.95	59.97	82.29	57.08	61.25	55.1	35.76	64.8	58.3	44.89	54.72	26.1	38.67	49.91	50.98	55.89	72.01	57.08	46.18	68.07	55.89	36.01	38.4	37.59	52.82	44.57	26.67	39.79	88.88	35.5	74.06	91.41	75.64	62.12	48.18	49.21	31.22	48.52	72.01	92.05
CBLL1	514.56	490.14	414.87	283.05	163.28	267.73	218.79	229.72	181.28	114.36	251.48	199.85	242.88	175.07	98.73	249.73	104.42	397.93	197.09	119.26	256.78	202.66	171.45	194.36	224.97	172.65	221.86	198.47	279.14	269.6	117.6	223.41	237.86	193.01	217.27	167.9	138.1	253.23	190.34	171.45	153.34	115.16	154.42	212.78	215.77	163.28	293.07	208.38	209.84	312.0	204.07	128.79	177.53	145.02	136.19	157.68	189.02	145.02	287.01	189.02	220.32	224.97	218.79	307.69	130.6	170.25	164.42	165.57	361.04	318.57
CCAR2	2701.35	3124.78	3039.3	2047.0	1745.2	1037.29	1857.6	1991.0	1628.26	1628.26	1583.71	1651.0	1896.65	1259.69	1508.65	2047.0	1697.45	1594.73	2090.03	1096.5	1819.35	1388.16	1977.24	1508.65	2287.2	1757.34	1242.34	1883.54	2777.33	1397.83	1369.04	1487.87	2351.53	1757.34	2163.77	1617.0	1388.16	2018.8	1322.37	1096.5	1277.29	1159.07	1369.04	1977.24	1651.0	1769.57	1628.26	1781.89	1540.37	2163.77	1923.14	967.76	1467.37	1844.76	1322.37	1781.89	1662.49	1487.87	2434.5	1923.14	1806.78	1950.0	2004.85	3039.3	1674.06	1651.0	1529.73	1794.29	1857.6	2148.82
CCDC125	325.29	271.48	802.41	111.21	113.56	102.25	122.64	123.5	105.89	98.73	169.07	119.26	143.01	50.63	88.26	145.02	74.58	100.83	107.38	74.58	129.69	97.36	99.43	83.45	136.19	115.16	96.68	78.89	133.36	55.49	77.25	133.36	127.89	152.28	103.69	109.66	82.87	173.85	124.37	86.43	98.04	85.22	122.64	92.7	130.6	85.82	85.82	161.02	130.6	161.02	124.37	105.89	81.71	131.51	115.16	109.66	127.89	88.26	141.02	96.01	140.04	159.9	116.78	173.85	87.03	109.66	58.3	121.79	136.19	156.59
CNTF	10.31	18.56	10.0	6.52	3.79	8.13	4.74	6.94	4.06	3.29	7.22	6.52	13.52	8.38	6.01	8.25	3.72	7.75	5.11	6.94	7.69	5.02	11.3	2.81	6.21	6.21	7.46	3.72	9.2	7.75	1.57	3.03	10.88	2.97	8.71	6.31	1.95	9.48	5.02	1.36	3.35	4.06	7.28	6.41	3.44	4.43	6.94	9.34	9.2	10.55	3.14	3.14	7.69	1.25	4.17	3.08	5.54	4.03	4.46	2.84	23.25	15.11	4.66	10.63	4.39	3.2	3.38	1.25	10.63	26.86
CRAMP1L	473.41	454.09	480.04	223.41	202.66	180.02	171.45	271.48	208.38	133.36	177.53	165.57	260.38	170.25	129.69	332.14	100.13	182.55	220.32	137.14	189.02	177.53	226.54	205.5	226.54	195.72	152.28	194.36	316.37	183.82	158.79	239.52	221.86	187.71	229.72	171.45	129.69	239.52	173.85	120.1	138.1	84.63	164.42	231.32	226.54	118.43	153.34	181.28	244.57	258.57	187.71	145.02	122.64	147.06	133.36	170.25	185.11	173.85	229.72	205.5	215.77	283.05	177.53	258.57	128.79	163.28	136.19	177.53	414.87	307.69
CSNK2A3	31.0	27.44	26.47	23.59	6.94	8.85	2.2	8.58	13.62	9.06	8.25	5.68	27.25	4.43	4.54	19.39	4.66	10.0	13.93	4.21	10.63	11.04	10.31	5.06	19.39	6.36	2.01	15.22	15.34	8.51	4.28	5.02	15.45	14.56	7.63	6.62	3.44	17.13	10.63	6.62	3.89	3.47	1.48	7.4	15.11	14.35	8.51	13.12	6.62	17.77	8.06	10.39	4.46	10.96	5.96	7.0	10.31	6.78	10.39	6.31	27.05	22.43	9.48	22.43	7.11	7.94	8.32	9.7	19.25	17.51
CTSB	10084.54	8022.41	10733.74	378516.38	148488.36	365622.68	172949.54	159145.95	301123.38	158046.64	267651.2	253213.41	145432.49	175363.84	221968.2	150561.19	215898.44	307450.64	177811.84	198667.0	197294.7	290865.98	189257.69	311742.51	174152.51	214407.12	389157.95	182810.84	107948.72	282912.21	98646.85	220434.95	119776.72	170568.48	155870.75	242898.5	147462.67	204252.32	327241.36	391864.76	198667.0	200048.85	130165.62	179048.63	299043.36	149521.18	428815.23	208544.12	190574.09	162489.97	167058.21	158046.64	175363.84	226632.25	212926.09	241220.67	209994.66	208544.12	288856.81	181548.07	214407.12	131071.0	163620.18	42937.97	131982.68	236256.4	194578.47	180294.02	129266.49	120609.84
DCTN5	693.58	633.73	591.22	450.94	397.93	748.61	327.56	514.56	579.04	532.74	403.5	346.29	595.34	348.71	341.51	595.34	435.55	429.54	435.55	265.87	595.34	500.46	470.14	376.41	591.22	497.0	563.18	529.06	450.94	540.19	269.6	435.55	518.15	567.1	463.65	358.54	325.29	532.74	493.56	457.25	334.46	336.79	343.89	457.25	381.68	511.0	518.15	450.94	351.14	483.38	444.72	264.03	379.04	417.77	429.54	389.72	466.88	295.11	629.35	441.64	480.04	417.77	647.07	738.29	450.94	403.5	400.71	486.75	503.95	775.05
DDX42	2224.63	2271.4	2895.31	1388.16	1304.15	1304.15	1199.98	1388.16	1216.75	1081.39	1191.69	1216.75	1388.16	1242.34	1111.82	1540.37	1183.45	1407.55	1350.18	1066.48	1225.22	1059.11	1331.57	1286.18	1417.35	1199.98	915.51	1340.84	2032.85	988.12	1313.23	1030.12	1519.15	1304.15	1447.15	1286.18	1191.69	1628.26	1073.91	947.83	1295.13	1096.5	1127.35	1628.26	1477.58	1233.75	1143.1	1295.13	1259.69	2075.59	1487.87	1088.92	1159.07	878.17	1674.06	1159.07	1250.98	1286.18	2075.59	1350.18	1350.18	1508.65	1519.15	1757.34	1183.45	1268.46	981.29	1216.75	1721.16	1794.29
DHX33	236.21	239.52	246.28	145.02	106.63	173.85	96.01	102.25	126.12	71.5	121.79	87.03	114.36	96.01	81.71	131.51	57.08	209.84	96.01	46.84	110.43	108.9	114.36	96.68	103.69	96.68	110.43	107.38	170.25	133.36	71.0	109.66	141.02	104.42	120.1	84.04	77.25	128.79	109.66	91.41	88.26	59.97	90.14	107.38	107.38	85.22	154.42	100.83	105.15	147.06	98.04	67.59	87.03	93.35	69.03	88.26	121.79	75.64	202.66	115.97	118.43	133.36	127.89	161.02	74.06	95.34	92.7	107.38	144.01	211.31
DNAJC14	723.08	738.29	934.76	457.25	339.14	454.09	392.44	409.15	417.77	291.04	417.77	363.56	507.46	346.29	249.73	497.0	231.32	490.14	444.72	214.27	414.87	371.22	470.14	316.37	412.0	353.59	476.71	400.71	563.18	441.64	249.73	371.22	473.41	387.02	450.94	323.03	281.09	551.56	389.72	356.05	303.44	229.72	293.07	412.0	420.68	387.02	525.39	406.31	389.72	607.87	368.65	275.28	318.57	318.57	277.2	277.2	358.54	279.14	483.38	400.71	432.53	426.57	463.65	547.75	260.38	353.59	329.84	329.84	595.34	656.11
DYNLL2	866.07	780.44	1143.1	902.89	679.29	1781.89	769.69	830.75	674.59	559.28	941.27	647.07	830.75	703.28	486.75	909.17	656.11	1674.06	629.35	679.29	813.63	909.17	769.69	961.07	764.36	713.11	1096.5	884.29	988.12	1242.34	571.05	616.37	860.08	830.75	842.36	866.07	669.92	909.17	1008.9	1119.56	728.11	591.22	616.37	848.22	688.78	830.75	1233.75	961.07	684.02	1015.93	780.44	543.96	753.83	500.46	819.3	587.13	603.67	607.87	1135.2	656.11	813.63	928.3	988.12	733.19	718.08	684.02	647.07	688.78	1167.14	1313.23
ELK4	305.55	265.87	293.07	143.01	173.85	131.51	144.01	144.01	155.5	104.42	163.28	121.79	178.77	125.24	92.05	212.78	59.55	108.9	129.69	81.71	169.07	87.03	149.12	127.0	209.84	120.94	128.79	165.57	180.02	133.36	88.26	116.78	186.4	158.79	144.01	96.01	112.77	169.07	127.89	80.01	130.6	114.36	99.43	136.19	178.77	117.6	94.67	151.22	151.22	171.45	148.09	107.38	119.26	117.6	153.34	175.07	141.02	107.38	118.43	141.02	193.01	212.78	166.73	191.67	102.97	172.65	97.36	143.01	178.77	211.31
ETV3	518.15	532.74	603.67	172.65	135.24	119.26	134.3	127.89	177.53	108.9	155.5	120.1	194.36	119.26	88.88	197.09	72.01	114.36	125.24	77.79	149.12	100.83	186.4	125.24	178.77	123.5	140.04	162.14	202.66	158.79	85.22	111.99	205.5	156.59	139.07	90.14	116.78	170.25	127.0	103.69	100.13	93.35	93.35	147.06	162.14	111.21	116.78	151.22	122.64	205.5	147.06	95.34	107.38	95.34	105.15	149.12	127.0	100.83	175.07	159.9	195.72	205.5	177.53	239.52	90.14	150.17	105.89	116.78	242.88	303.44
EXTL3	379.04	379.04	363.56	279.14	162.14	246.28	139.07	175.07	214.27	201.25	170.25	151.22	251.48	138.1	147.06	221.86	137.14	224.97	205.5	98.04	180.02	220.32	229.72	205.5	215.77	194.36	249.73	171.45	283.05	262.2	142.01	189.02	231.32	161.02	220.32	180.02	144.01	202.66	336.79	208.38	131.51	90.14	118.43	218.79	149.12	143.01	351.14	195.72	159.9	265.87	206.94	133.36	125.24	140.04	117.6	133.36	143.01	162.14	260.38	206.94	224.97	221.86	194.36	281.09	135.24	137.14	92.7	159.9	231.32	287.01
FBXL18	82.29	78.89	52.82	35.25	24.11	55.89	25.54	28.24	27.05	17.25	27.64	20.41	44.89	16.51	18.43	38.4	22.1	34.26	30.56	12.18	23.76	24.46	31.22	27.64	44.57	37.59	23.25	28.86	49.56	39.5	12.36	27.84	52.45	29.06	31.67	25.17	17.0	38.12	37.59	20.41	16.27	16.51	15.56	30.34	25.72	21.01	39.79	31.0	26.1	44.89	33.3	14.35	15.45	21.47	15.0	22.92	18.84	16.03	45.21	27.84	37.85	46.5	29.48	77.79	20.41	25.91	21.16	22.75	47.5	39.22
FBXL20	169.07	172.65	241.19	96.01	98.04	84.63	81.14	100.13	108.9	62.56	108.9	65.72	127.89	84.04	51.71	123.5	43.63	65.26	63.0	62.12	82.87	45.85	101.54	59.13	102.97	70.51	77.79	87.03	112.77	81.71	47.5	82.29	129.69	105.89	76.17	58.3	60.82	102.25	102.25	56.28	59.97	73.03	80.57	60.82	98.73	77.79	61.68	98.73	76.17	83.45	92.7	53.95	59.97	59.55	96.68	60.39	73.03	75.11	108.9	68.55	87.65	115.16	120.94	88.88	74.06	96.01	76.17	74.58	131.51	117.6
G2E3	258.57	305.55	267.73	60.39	57.08	76.71	59.55	59.55	71.0	40.07	77.25	72.52	116.78	59.13	35.25	101.54	26.28	95.34	70.01	31.0	67.59	79.45	85.22	61.68	76.17	59.13	73.54	70.01	116.78	74.06	25.91	99.43	94.67	70.51	73.54	47.5	37.32	90.77	58.3	37.32	49.56	37.59	41.81	59.97	68.55	51.35	76.71	73.54	84.04	104.42	77.79	35.5	45.21	50.98	52.08	49.56	73.03	47.5	76.17	66.65	86.43	120.1	91.41	87.65	42.41	54.33	51.35	56.28	144.01	264.03
GEMIN5	265.87	291.04	323.03	110.43	108.14	143.01	111.21	119.26	130.6	105.89	124.37	102.25	152.28	95.34	93.35	146.03	76.71	161.02	136.19	74.06	118.43	88.88	152.28	77.79	133.36	131.51	137.14	110.43	173.85	109.66	98.04	120.94	163.28	124.37	148.09	105.15	87.65	164.42	98.04	78.89	79.45	76.17	92.7	148.09	111.21	124.37	116.78	124.37	113.56	177.53	133.36	80.57	72.52	115.97	91.41	94.67	123.5	90.77	128.79	152.28	141.02	166.73	158.79	175.07	97.36	101.54	88.88	120.94	172.65	159.9
GNRHR	3.2	4.98	3.53	1.06	1.01	1.13	2.36	3.44	1.08	0.54	1.53	2.16	6.01	0.95	0.97	2.89	0.0	0.67	2.39	0.0	2.18	1.66	2.34	5.41	2.58	1.55	1.51	1.1	4.17	4.39	0.54	1.46	1.5	2.34	3.29	1.41	0.0	1.62	2.34	0.0	0.0	1.0	0.52	1.45	0.56	1.08	1.11	1.89	2.68	0.57	1.99	0.57	0.0	0.55	1.62	5.45	0.53	0.99	0.52	0.0	2.36	3.44	1.53	5.92	0.92	2.03	0.0	1.93	1.93	4.31
GPATCH2L	329.84	444.72	341.51	177.53	176.29	178.77	124.37	197.09	159.9	130.6	155.5	129.69	289.02	141.02	94.67	224.97	94.67	211.31	183.82	101.54	173.85	152.28	211.31	141.02	226.54	158.79	132.44	205.5	301.33	142.01	81.14	206.94	208.38	171.45	206.94	103.69	90.14	228.13	157.68	82.87	111.21	103.69	132.44	208.38	177.53	171.45	125.24	180.02	190.34	208.38	149.12	100.83	111.21	145.02	164.42	183.82	185.11	115.97	176.29	172.65	198.47	236.21	206.94	279.14	133.36	145.02	127.0	158.79	267.73	291.04
GRHL2	647.07	753.83	353.59	234.57	178.77	114.36	208.38	244.57	185.11	144.01	249.73	202.66	295.11	181.28	155.5	234.57	152.28	158.79	198.47	145.02	212.78	155.5	262.2	154.42	190.34	180.02	198.47	215.77	312.0	169.07	157.68	224.97	279.14	239.52	293.07	187.71	112.77	253.23	205.5	137.14	144.01	132.44	193.01	224.97	241.19	180.02	139.07	241.19	231.32	339.14	198.47	154.42	128.79	206.94	165.57	205.5	197.09	154.42	206.94	267.73	249.73	281.09	221.86	198.47	162.14	217.27	185.11	189.02	387.02	351.14
GTF2E1	220.32	193.01	239.52	87.03	73.54	95.34	69.03	81.14	72.52	81.14	77.25	61.25	108.9	55.49	47.5	107.38	40.07	94.67	63.45	31.22	86.43	66.65	84.63	80.01	100.13	69.03	69.52	88.26	88.88	87.65	47.17	99.43	86.43	76.17	56.68	66.18	58.3	105.89	60.82	43.94	78.34	48.18	56.68	63.89	82.87	74.58	82.87	95.34	63.0	80.57	68.55	48.52	50.63	61.25	59.55	47.84	76.17	60.39	87.03	55.49	70.01	117.6	95.34	98.73	64.8	60.39	48.18	67.59	147.06	172.65
