	GTEX.111VG.2226.SM.5N9DU	GTEX.11DXY.2026.SM.5N9CZ	GTEX.145MO.2426.SM.5NQ9W	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11ONC.1426.SM.5N9F4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.AK.3447.01A.01R.1766.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.DW.7963.01B.11R.A28H.07	GTEX.Q2AG.1126.SM.48U1P	GTEX.145LU.1326.SM.5LU9N	GTEX.13QJC.0726.SM.5RQJK	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.13QJ3.2726.SM.5SI6L	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.11EI6.2426.SM.5PNVS	GTEX.111VG.0526.SM.5N9BW
BAI3	96.68	102.25	71.5	44.57	147.06	22.43	122.64	4.82	209.84	85.22	84.04	126.12	111.99	2.66	2.23	0.96	0.0	0.0	1.89	0.0	2.94	1.16	3.08	0.48	28.04	19.53	0.0	348.71	5.06	173.85	16.03	12.64	267.73	40.36
BEND5	114.36	206.94	199.85	255.0	166.73	98.04	218.79	28.45	329.84	205.5	215.77	376.41	217.27	87.65	157.68	82.29	191.67	129.69	108.14	134.3	271.48	151.22	82.87	165.57	48.87	37.59	1.08	743.43	47.17	384.34	265.87	50.98	830.75	169.07
C10orf82	373.81	312.0	38.4	105.15	271.48	334.46	102.97	0.82	363.56	165.57	47.17	229.72	87.65	0.89	0.89	95.34	6.67	23.08	3.72	0.95	54.72	4.21	3.92	0.0	2.68	0.79	0.64	748.61	13.52	277.2	6.67	6.16	674.59	12.18
C12orf76	414.87	470.14	363.56	332.14	406.31	273.37	441.64	197.09	423.61	295.11	314.17	454.09	248.0	264.03	131.51	142.01	285.03	277.2	239.52	226.54	209.84	239.52	291.04	267.73	361.04	215.77	285.03	688.78	166.73	412.0	229.72	187.71	409.15	429.54
C1QTNF7	309.83	185.11	273.37	159.9	287.01	56.28	363.56	18.03	947.83	348.71	371.22	521.76	314.17	2.61	4.78	2.81	0.78	2.86	6.89	3.26	13.03	1.89	46.18	3.76	63.45	19.68	2.94	1242.34	28.45	1175.27	320.8	132.44	642.59	148.09
C1orf198	1088.92	796.86	547.75	624.99	941.27	303.44	928.3	182.55	1119.56	928.3	866.07	995.0	872.1	201.25	384.34	228.13	244.57	226.54	239.52	175.07	575.03	77.25	381.68	303.44	265.87	171.45	267.73	1417.35	289.02	1066.48	629.35	353.59	1225.22	902.89
C1orf54	1096.5	633.73	638.15	718.08	1242.34	373.81	1015.93	138.1	981.29	708.18	748.61	703.28	591.22	599.49	293.07	291.04	115.16	201.25	698.41	358.54	559.28	1259.69	389.72	348.71	279.14	406.31	163.28	1457.23	201.25	1143.1	624.99	470.14	995.0	718.08
C5orf56	525.39	483.38	493.56	444.72	384.34	212.78	599.49	149.12	733.19	651.58	514.56	567.1	547.75	84.63	97.36	103.69	78.89	123.5	150.17	157.68	201.25	122.64	157.68	81.71	323.03	143.01	170.25	1388.16	195.72	830.75	412.0	157.68	1104.13	780.44
CADM3	2627.46	1896.65	1350.18	444.72	4181.07	275.28	3742.05	55.1	1628.26	1369.04	684.02	1540.37	1806.78	0.0	5.02	0.53	0.0	2.18	3.41	0.52	6.67	3.17	16.15	102.97	105.15	3.23	2.34	6250.56	66.65	6652.97	303.44	204.07	7081.29	872.1
CAMK2A	16.63	29.48	10.88	63.0	32.82	12.64	25.72	4.06	63.45	63.45	41.81	106.63	25.91	0.0	0.0	0.0	0.0	0.0	0.0	0.48	45.21	0.0	4.43	0.0	3.26	8.58	0.0	65.26	3.86	59.13	27.25	4.7	82.29	2.12
CAMLG	1081.39	1183.45	1250.98	1066.48	1639.59	567.1	1167.14	503.95	1008.9	1175.27	1216.75	1111.82	1096.5	420.68	507.46	638.15	242.88	305.55	1159.07	830.75	444.72	1350.18	624.99	599.49	688.78	679.29	500.46	1806.78	743.43	1437.15	1066.48	1088.92	1498.22	1135.2
CD302	647.07	226.54	426.57	215.77	733.19	152.28	759.08	176.29	738.29	363.56	209.84	432.53	599.49	40.36	33.78	7.69	7.22	6.73	68.07	28.45	91.41	23.42	106.63	52.82	1806.78	878.17	1151.06	2303.12	220.32	1857.6	1225.22	432.53	698.41	379.04
CDH19	409.15	406.31	327.56	190.34	366.09	79.45	447.82	12.18	444.72	490.14	191.67	603.67	733.19	0.0	67.59	42.71	3.59	0.0	281.09	4.28	6.46	0.0	0.45	0.0	152.28	40.07	7.06	1295.13	29.06	1051.79	145.02	23.59	1096.5	1.81
CELF2	403.5	299.25	395.18	253.23	450.94	209.84	603.67	176.29	438.59	412.0	432.53	514.56	665.29	101.54	42.11	51.71	66.65	147.06	147.06	217.27	43.32	26.1	223.41	157.68	129.69	59.55	32.82	808.0	95.34	764.36	507.46	198.47	629.35	389.72
CFD	17927.91	6207.38	10659.59	866.07	38697.77	7911.95	41188.81	2240.11	14361.31	37639.55	12160.22	15824.9	26614.89	31.0	74.58	45.85	9.78	16.27	201.25	228.13	85.82	25.17	51.35	194.36	303.44	119.26	603.67	61999.83	2319.15	46986.85	15075.35	7537.18	33455.53	4802.93
CLIC4	2855.44	1923.14	2224.63	1794.29	2855.44	988.12	2875.3	447.82	2224.63	2915.45	1870.53	2720.15	3614.55	612.11	297.17	202.66	191.67	111.21	463.65	258.57	3443.31	249.73	954.43	4328.55	1183.45	1216.75	656.11	4769.75	753.83	4152.18	3847.29	1709.26	3690.52	656.11
CNRIP1	947.83	435.55	660.68	373.81	1015.93	262.2	915.51	103.69	813.63	587.13	616.37	748.61	802.41	115.97	59.13	40.07	30.34	31.9	149.12	66.65	366.09	59.55	147.06	57.08	161.02	115.97	34.26	1721.16	139.07	1216.75	665.29	351.14	1081.39	358.54
COL21A1	166.73	231.32	120.1	234.57	229.72	62.12	202.66	18.16	642.59	507.46	244.57	698.41	417.77	29.48	9.06	9.27	6.89	25.72	41.52	52.08	6.11	8.58	68.55	24.63	78.89	50.27	3.63	842.36	25.91	493.56	88.88	43.63	669.92	89.51
CORO2B	363.56	262.2	189.02	116.78	447.82	53.57	444.72	18.03	563.18	353.59	248.0	470.14	432.53	10.79	10.39	195.72	353.59	61.68	395.18	88.26	1583.71	6.26	56.28	140.04	64.34	30.34	10.0	571.05	24.46	420.68	90.77	29.06	392.44	158.79
CTNNA3	23.93	30.12	30.56	65.26	42.41	3.29	45.85	2.27	34.75	93.35	68.07	91.41	22.26	0.88	2.2	0.47	3.53	1.23	1.87	1.87	4.24	0.0	17.77	0.0	20.11	115.16	10.71	127.89	0.0	73.03	56.28	10.31	157.68	6.16
CXCL12	15180.22	7749.1	3190.46	3901.01	17804.06	1216.75	15180.22	291.04	22225.61	8901.53	7130.55	11267.44	2573.36	64.34	101.54	106.63	114.36	12.27	297.17	133.36	2537.92	78.89	743.43	703.28	6607.01	13872.08	551.56	32315.87	529.06	18052.61	1697.45	1259.69	20881.4	10659.59
DCN	42641.37	26800.01	21320.18	8078.22	65535.0	9409.14	110216.97	1870.53	73221.53	48982.22	64186.29	79572.48	102125.66	15.91	241.19	6.89	19.53	1.33	35.25	82.87	2875.3	172.65	2434.5	293.07	14663.09	18431.96	205.5	167058.21	5076.84	90146.51	33688.23	12853.63	81809.59	20881.4
DDR2	842.36	563.18	830.75	507.46	1073.91	273.37	1467.37	60.39	1628.26	1044.52	1023.0	1437.15	1594.73	29.06	33.06	12.55	17.13	18.84	21.78	23.25	31.22	10.79	75.11	13.93	64.34	99.43	8.06	1794.29	99.43	2163.77	934.76	285.03	1447.15	312.0
DENND5B	120.1	133.36	150.17	161.02	141.02	38.4	138.1	48.87	149.12	117.6	125.24	134.3	135.24	115.16	90.77	99.43	47.17	84.04	96.68	80.57	130.6	33.3	121.79	86.43	187.71	177.53	153.34	258.57	75.11	256.78	111.99	132.44	242.88	106.63
DGKB	23.93	29.91	19.97	12.0	30.12	4.94	31.67	0.38	45.53	53.19	40.07	48.87	49.91	2.63	1.31	0.47	1.17	0.41	0.46	0.0	3.66	0.75	3.03	0.47	4.35	8.85	1.08	39.5	1.95	131.51	17.51	12.0	32.82	2.92
DLC1	603.67	303.44	325.29	299.25	665.29	136.19	493.56	34.26	872.1	1208.34	1119.56	708.18	555.41	260.38	102.25	124.37	147.06	170.25	205.5	101.54	1295.13	33.3	232.94	79.45	279.14	334.46	127.0	1268.46	211.31	1322.37	412.0	248.0	1304.15	884.29
DOCK5	289.02	351.14	169.07	195.72	260.38	376.41	251.48	389.72	567.1	466.88	162.14	555.41	457.25	72.52	96.01	58.71	107.38	93.35	104.42	53.95	242.88	13.32	199.85	52.45	99.43	82.29	155.5	836.53	183.82	547.75	116.78	101.54	674.59	116.78
DPT	19618.49	13586.57	14461.21	7280.4	16843.62	1498.22	23009.42	127.0	32315.87	14163.58	15392.14	17437.64	10368.08	5.28	5.73	0.47	0.39	0.83	6.52	4.21	748.61	52.45	15.68	1.43	6607.01	674.59	10.08	69271.73	329.84	46019.85	7803.01	1721.16	33455.53	17437.64
DSEL	87.03	50.98	41.52	34.02	88.88	22.26	87.03	4.35	100.83	71.0	69.03	102.25	65.26	5.36	8.92	111.21	18.29	7.11	25.35	10.39	12.74	1.17	41.81	43.94	23.08	24.81	194.36	239.52	18.7	173.85	45.53	26.67	153.34	24.46
DST	4328.55	5791.62	3716.2	4671.57	3443.31	1551.09	4181.07	1127.35	6699.25	7642.41	5479.15	6745.86	6164.49	397.93	3212.66	2351.53	1259.69	2018.8	1733.13	1651.0	1359.57	229.72	2855.44	1369.04	2777.33	3146.52	688.78	11504.21	2502.97	8538.88	2682.69	2163.77	8191.0	2701.35
DZIP1	289.02	389.72	287.01	287.01	323.03	84.04	307.69	21.94	713.11	420.68	392.44	571.05	493.56	18.7	22.75	5.96	7.82	9.06	12.55	12.64	59.13	0.84	91.41	120.94	115.97	75.11	17.51	825.0	36.01	607.87	287.01	70.51	703.28	283.05
ECM2	532.74	297.17	159.9	177.53	511.0	30.78	688.78	12.83	616.37	334.46	656.11	514.56	195.72	31.9	55.89	9.2	22.26	5.06	41.22	44.57	71.5	6.57	176.29	73.03	532.74	848.22	133.36	1369.04	48.52	974.5	215.77	291.04	624.99	674.59
EGFL8	651.58	1015.93	688.78	665.29	507.46	693.58	743.43	287.01	1950.0	1498.22	1096.5	1909.85	1277.29	59.97	57.89	50.98	42.11	73.03	175.07	105.15	214.27	26.47	124.37	197.09	325.29	329.84	96.68	1709.26	237.86	759.08	373.81	387.02	2148.82	693.58
EPB41L2	4152.18	3847.29	2645.74	2104.58	4152.18	1037.29	4388.98	638.15	3395.89	2855.44	2133.97	3419.52	2303.12	217.27	155.5	77.79	56.68	46.84	271.48	85.82	395.18	25.54	559.28	775.05	748.61	201.25	84.04	6561.36	363.56	4481.23	1295.13	476.71	4239.45	1709.26
FAM175A	143.01	143.01	182.55	186.4	183.82	103.69	264.03	114.36	140.04	128.79	104.42	122.64	140.04	133.36	293.07	43.32	43.94	59.55	113.56	120.1	93.35	126.12	138.1	51.71	18.97	42.71	9.48	397.93	80.57	438.59	87.65	120.94	197.09	239.52
FEZ1	995.0	748.61	748.61	738.29	1199.98	314.17	1015.93	50.98	1073.91	928.3	878.17	1304.15	866.07	59.13	28.86	29.7	22.75	14.56	64.34	38.95	43.94	39.79	153.34	107.38	303.44	170.25	73.03	1498.22	90.77	1119.56	579.04	248.0	1447.15	376.41
FGF2	159.9	156.59	165.57	163.28	154.42	50.63	162.14	12.09	389.72	236.21	194.36	289.02	260.38	10.63	9.7	7.17	15.8	5.82	19.97	47.5	162.14	11.82	35.25	69.52	47.84	242.88	4.9	441.64	17.64	325.29	185.11	58.71	368.65	118.43
FGFR1OP2	738.29	738.29	656.11	718.08	915.51	414.87	728.11	358.54	1111.82	854.13	733.19	1044.52	785.88	441.64	301.33	379.04	343.89	406.31	571.05	406.31	733.19	327.56	802.41	470.14	525.39	409.15	473.41	1340.84	358.54	1295.13	748.61	532.74	1135.2	934.76
FGL2	3665.02	1896.65	1073.91	2555.58	2255.7	356.05	2956.17	124.37	3665.02	1883.54	3124.78	3039.3	1769.57	166.73	158.79	41.81	17.38	27.05	253.23	90.14	559.28	78.34	236.21	208.38	587.13	217.27	102.25	8134.41	185.11	5672.41	1674.06	387.02	5041.77	728.11
FLRT1	121.79	136.19	57.49	73.03	151.22	43.02	105.15	18.84	127.0	98.04	56.28	158.79	67.12	4.82	0.87	0.93	14.78	1.23	6.94	2.78	91.41	0.37	4.31	0.0	4.82	3.32	4.03	256.78	10.31	91.41	24.28	21.47	336.79	64.8
FRMD6	633.73	543.96	262.2	353.59	728.11	89.51	674.59	25.91	1268.46	563.18	884.29	954.43	265.87	23.93	28.86	52.45	11.55	17.13	69.52	24.11	96.01	5.02	423.61	36.27	116.78	64.34	58.71	2148.82	78.89	995.0	312.0	128.79	981.29	218.79
GABRA2	120.1	129.69	121.79	146.03	206.94	36.01	198.47	158.79	37.05	47.17	16.27	38.67	9.48	1.27	0.0	0.0	0.0	0.0	0.0	0.0	348.71	0.0	22.75	0.0	10.39	0.24	0.0	389.72	0.91	231.32	58.3	9.78	486.75	4.58
GAS7	1487.87	1286.18	941.27	521.76	1594.73	255.0	1529.73	62.56	1605.83	1350.18	1030.12	1794.29	1199.98	6.31	9.48	37.85	23.59	5.96	42.41	11.91	79.45	0.8	36.53	34.02	136.19	16.75	4.5	3491.39	92.7	2209.26	466.88	134.3	3103.19	97.36
GFRA1	454.09	429.54	301.33	182.55	511.0	85.82	624.99	16.39	1159.07	769.69	334.46	1111.82	890.44	3.17	2.73	0.51	0.42	0.87	2.41	4.78	48.52	1.19	59.13	154.42	426.57	371.22	373.81	3564.78	29.91	2520.38	651.58	182.55	2255.7	199.85
GIT2	599.49	547.75	540.19	616.37	642.59	366.09	587.13	373.81	764.36	612.11	624.99	785.88	567.1	318.57	265.87	165.57	237.86	299.25	293.07	242.88	181.28	44.89	366.09	336.79	309.83	180.02	138.1	796.86	279.14	902.89	397.93	262.2	769.69	909.17
GLT8D2	836.53	607.87	665.29	684.02	780.44	148.09	941.27	59.55	1508.65	753.83	743.43	896.64	555.41	53.19	18.84	24.63	29.48	20.26	40.64	29.48	37.85	12.45	77.25	21.16	136.19	87.03	7.06	1909.85	127.0	1388.16	642.59	220.32	1369.04	988.12
GPC6	435.55	157.68	147.06	98.73	426.57	105.89	497.0	19.53	551.56	244.57	215.77	441.64	309.83	59.97	13.03	25.91	88.88	62.56	148.09	91.41	166.73	441.64	432.53	406.31	497.0	323.03	173.85	1242.34	67.59	915.51	307.69	202.66	493.56	67.12
GPM6B	947.83	825.0	679.29	547.75	1277.29	154.42	1175.27	49.56	1242.34	1008.9	525.39	1781.89	848.22	6.21	7.57	6.21	5.96	7.11	17.38	3.32	118.43	2.29	43.32	59.13	63.0	12.0	2.01	5594.3	85.22	1437.15	273.37	127.89	2855.44	117.6
GSN	35118.87	26800.01	27363.16	18560.17	56657.31	13033.07	57448.23	5711.87	55491.3	41763.8	59474.18	53601.03	60723.88	8191.0	6037.61	6935.54	2895.31	6935.54	7911.95	7803.01	4066.71	2367.9	6652.97	4066.71	2119.22	1001.93	2855.44	92040.7	14663.09	90146.51	25530.66	18689.27	63742.91	22850.48
HHIPL1	58.71	56.28	36.27	31.45	77.79	14.78	50.98	4.58	107.38	48.52	53.57	74.58	44.57	9.41	4.94	4.35	4.03	1.28	5.68	3.82	1.25	1.17	8.0	2.92	12.45	26.47	6.62	118.43	14.78	85.22	28.86	15.22	104.42	34.02
HSPA12A	231.32	336.79	157.68	141.02	295.11	83.45	248.0	18.43	703.28	438.59	312.0	775.05	346.29	81.71	96.01	31.22	224.97	13.32	85.82	30.78	249.73	101.54	80.01	47.17	66.65	19.97	3.63	718.08	32.13	503.95	100.83	23.08	571.05	157.68
HTR2A	5.82	12.18	7.57	5.96	17.77	1.45	24.99	0.54	45.85	5.59	15.0	14.24	2.63	0.89	0.0	0.0	0.0	0.0	0.0	0.47	5.77	0.39	2.18	0.0	1.2	1.87	1.33	40.93	3.0	51.35	9.48	13.12	43.94	1.1
INSC	283.05	269.6	264.03	71.0	414.87	77.79	265.87	26.1	212.78	161.02	70.51	180.02	91.41	0.0	1.35	14.78	0.0	0.43	1.43	9.48	7.94	6.52	1.77	7.63	11.21	15.22	1.14	802.41	18.7	159.9	110.43	6.11	503.95	12.18
JAM2	2367.9	934.76	1119.56	688.78	2047.0	215.77	1561.89	127.89	1794.29	1407.55	2075.59	1304.15	872.1	146.03	54.33	57.89	25.72	32.59	150.17	104.42	189.02	55.1	105.89	87.65	142.01	83.45	32.36	5872.48	432.53	2976.74	967.76	389.72	2796.65	909.17
KCNMB4	258.57	361.04	217.27	104.42	616.37	46.18	285.03	19.53	248.0	299.25	157.68	406.31	256.78	189.02	9.06	236.21	133.36	99.43	204.07	100.83	28.86	78.89	110.43	265.87	58.3	7.17	10.55	587.13	13.22	348.71	56.28	41.22	473.41	20.56
KIAA1045	27.64	18.29	8.06	29.91	22.59	2.68	18.43	0.72	46.18	23.59	29.7	15.11	19.68	2.71	0.46	0.97	3.63	2.97	0.96	1.45	5.41	0.0	3.11	0.97	3.56	0.17	0.11	42.11	1.31	23.25	6.84	1.64	34.75	15.8
LDB2	941.27	229.72	532.74	178.77	785.88	226.54	693.58	84.04	780.44	684.02	928.3	743.43	1088.92	591.22	194.36	195.72	122.64	150.17	463.65	291.04	743.43	211.31	563.18	142.01	423.61	256.78	116.78	1794.29	320.8	1397.83	753.83	366.09	1225.22	1216.75
LINC00632	21.32	18.16	15.11	18.7	17.77	2.32	18.7	1.62	36.01	13.52	15.56	33.54	23.59	0.0	0.0	0.0	0.0	4.24	5.23	0.0	0.0	0.0	0.0	24.63	1.11	0.0	0.96	45.21	0.0	41.22	0.0	0.0	75.11	15.22
LPAR1	2701.35	1572.76	1397.83	612.11	3081.75	450.94	2720.15	194.36	1572.76	1605.83	954.43	2163.77	1819.35	0.47	305.55	269.6	2.86	14.35	22.26	7.69	166.73	84.04	117.6	68.55	136.19	57.08	20.86	5441.3	215.77	3540.14	808.0	197.09	4038.61	275.28
LRRC4C	70.51	76.17	40.07	24.63	67.12	8.58	78.89	1.68	70.51	45.85	39.79	54.33	38.95	0.89	0.89	0.0	0.4	0.0	0.95	0.48	27.05	0.0	2.2	0.0	30.12	37.32	2.14	173.85	1.66	80.57	14.78	4.7	126.12	144.01
LRRN4CL	543.96	392.44	283.05	124.37	555.41	102.25	723.08	48.52	1135.2	595.34	624.99	500.46	854.13	1.38	1.83	2.92	0.83	3.41	7.11	2.89	1.64	0.8	29.06	2.43	6.84	0.71	0.49	1295.13	45.53	866.07	241.19	62.56	708.18	118.43
LRRTM4	21.78	25.54	13.03	20.86	35.25	1.6	24.63	2.01	33.06	15.11	24.99	54.33	3.76	0.0	0.0	0.48	0.8	0.0	9.78	0.0	3.35	0.0	7.4	1.91	2.66	3.82	0.0	48.87	0.59	18.16	2.18	2.51	35.76	0.52
LSMEM2	14.35	13.03	8.13	8.78	17.0	2.84	16.63	2.89	19.25	22.75	16.15	22.92	13.12	0.92	0.0	2.92	4.86	2.14	3.35	2.41	41.81	0.79	3.14	2.43	7.4	4.86	2.29	59.97	7.11	17.64	8.38	4.46	41.22	9.63
LTBP4	14163.58	12415.75	10225.32	3665.02	22072.07	6652.97	20737.16	3665.02	52863.07	20310.37	20030.74	30151.71	26986.43	450.94	780.44	1066.48	674.59	198.47	587.13	241.19	2047.0	269.6	884.29	343.89	4704.07	2384.37	363.56	51062.33	3146.52	42346.82	12502.12	6250.56	26614.89	6607.01
MAB21L1	50.27	53.57	57.08	31.0	77.79	14.03	61.68	5.87	63.89	55.49	47.84	85.82	59.13	0.45	0.0	6.67	0.4	0.0	2.36	1.43	0.0	0.0	3.96	0.0	3.14	0.0	0.93	139.07	5.5	72.52	22.75	4.9	127.0	36.01
MEF2C	890.44	336.79	353.59	441.64	595.34	134.3	435.55	122.64	507.46	547.75	466.88	387.02	299.25	273.37	166.73	121.79	77.25	43.63	285.03	118.43	265.87	31.9	198.47	89.51	126.12	164.42	40.64	1250.98	98.04	1088.92	432.53	239.52	854.13	866.07
MEOX2	473.41	325.29	150.17	169.07	514.56	25.72	497.0	3.99	392.44	271.48	423.61	397.93	199.85	5.73	3.99	4.78	1.99	4.17	0.95	4.7	21.01	10.24	59.13	0.96	35.25	21.16	3.5	1322.37	5.63	571.05	46.5	46.18	540.19	423.61
MIER1	713.11	392.44	414.87	447.82	595.34	507.46	521.76	660.68	525.39	406.31	435.55	480.04	412.0	172.65	223.41	251.48	94.01	148.09	215.77	136.19	819.3	147.06	297.17	249.73	493.56	373.81	358.54	1001.93	346.29	808.0	647.07	409.15	656.11	514.56
MMP16	32.36	29.7	11.3	22.43	49.91	4.31	32.13	0.55	93.35	53.95	72.01	84.04	30.34	5.73	3.53	2.86	4.35	0.84	3.72	0.95	4.03	0.0	16.88	0.48	3.96	2.23	0.42	82.29	1.89	63.0	14.24	2.27	68.55	12.18
MMP17	525.39	595.34	356.05	318.57	543.96	96.01	450.94	23.25	1233.75	684.02	249.73	728.11	356.05	9.2	9.2	8.38	2.51	9.06	21.63	6.36	3.72	1.62	30.12	102.25	32.59	13.72	4.54	1111.82	20.26	607.87	175.07	20.71	995.0	154.42
MPZ	1111.82	854.13	743.43	567.1	1159.07	327.56	1135.2	61.25	1051.79	1183.45	441.64	2047.0	403.5	24.11	15.56	8.92	29.7	13.32	23.59	15.11	57.49	15.0	42.71	17.64	100.83	13.12	21.32	2739.08	84.63	1388.16	189.02	76.17	2956.17	50.27
MRC2	2193.99	1896.65	830.75	688.78	3540.14	289.02	2434.5	88.26	4903.87	1991.0	2018.8	2835.7	1551.09	70.01	82.29	90.14	43.02	16.75	170.25	65.72	444.72	9.93	195.72	332.14	854.13	198.47	23.08	3716.2	145.02	3589.58	1250.98	253.23	3419.52	1135.2
MT-ND3	1462493.73	1634025.56	1355129.16	1739208.14	2171106.91	3626130.97	1187913.85	2082664.91	1611529.43	1739208.14	2111737.85	1645391.11	1668359.93	1668359.93	2986448.72	1890058.21	1567462.05	2310861.52	2294899.22	4464291.11	3502611.6	2156109.97	1763486.6	2201414.44	1970321.01	2581895.97	2375828.71	1383603.33	1775752.63	641014.63	2691538.19	2767207.65	1668359.93	2011721.67
MYOT	934.76	860.08	743.43	334.46	1135.2	127.0	988.12	27.44	476.71	642.59	269.6	743.43	684.02	33.78	14.89	5.87	5.68	5.15	8.19	31.22	37.05	10.96	10.79	6.36	29.7	16.75	1.14	2855.44	56.68	1806.78	273.37	72.52	2758.13	17.0
