	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.U3ZN.0626.SM.3DB7U	GTEX.ZDXO.1326.SM.57WBS	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13QJC.0526.SM.5RQKB	GTEX.13N2G.0826.SM.5IJE6	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11LCK.0426.SM.5A5M8	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.QMRM.0826.SM.3NB33	GTEX.13OVG.0326.SM.5KM57	GTEX.131XH.0426.SM.5DUWU
CHAMP1	397.93	397.93	211.31	277.2	332.14	140.04	353.59	316.37	242.88	309.83	141.02	403.5	211.31	426.57	118.43	265.87	368.65	80.01	307.69	341.51	525.39	95.34	389.72	470.14	53.19	150.17	361.04	379.04	180.02	346.29	169.07	226.54	366.09	353.59	120.94	95.34	470.14	381.68	177.53	120.94	193.01	275.28	358.54	376.41	403.5	320.8	117.6	316.37	144.01	157.68	231.32	387.02	264.03	403.5	217.27	348.71	170.25	423.61	111.21	169.07	389.72	212.78	106.63
CHMP7	525.39	688.78	688.78	426.57	743.43	348.71	902.89	708.18	460.44	988.12	825.0	638.15	507.46	595.34	193.01	426.57	642.59	525.39	392.44	693.58	698.41	366.09	642.59	1096.5	384.34	323.03	723.08	753.83	463.65	476.71	473.41	269.6	819.3	616.37	232.94	423.61	1119.56	928.3	384.34	454.09	341.51	536.45	647.07	620.67	836.53	624.99	412.0	414.87	587.13	450.94	392.44	1268.46	665.29	902.89	1015.93	698.41	435.55	547.75	470.14	429.54	791.35	249.73	224.97
CPSF2	438.59	348.71	483.38	289.02	309.83	532.74	497.0	395.18	334.46	454.09	281.09	454.09	281.09	423.61	356.05	351.14	373.81	239.52	323.03	518.15	480.04	124.37	507.46	612.11	131.51	287.01	392.44	392.44	228.13	447.82	228.13	332.14	571.05	361.04	161.02	285.03	395.18	567.1	314.17	214.27	249.73	381.68	389.72	373.81	366.09	384.34	454.09	339.14	669.92	177.53	320.8	395.18	341.51	703.28	420.68	366.09	289.02	624.99	231.32	301.33	769.69	220.32	318.57
CPSF7	1073.91	1081.39	1111.82	1151.06	1008.9	463.65	1617.0	947.83	785.88	1030.12	575.03	1407.55	723.08	1594.73	373.81	974.5	1199.98	473.41	1104.13	1183.45	1378.57	500.46	1340.84	1651.0	258.57	656.11	1350.18	941.27	921.88	1259.69	629.35	890.44	1359.57	1191.69	518.15	743.43	1572.76	1487.87	967.76	395.18	769.69	1127.35	981.29	1467.37	1519.15	1199.98	450.94	733.19	764.36	708.18	738.29	1651.0	1008.9	1857.6	1322.37	1135.2	392.44	1127.35	536.45	583.07	1304.15	738.29	514.56
CSTF2	237.86	209.84	201.25	169.07	211.31	66.18	269.6	166.73	195.72	215.77	76.17	191.67	167.9	271.48	80.57	208.38	211.31	52.82	152.28	241.19	281.09	102.97	220.32	255.0	44.89	98.04	244.57	281.09	163.28	205.5	185.11	140.04	265.87	256.78	177.53	137.14	314.17	236.21	204.07	121.79	173.85	237.86	229.72	209.84	220.32	205.5	144.01	195.72	77.25	139.07	134.3	229.72	191.67	289.02	236.21	205.5	79.45	221.86	142.01	80.01	221.86	162.14	90.14
CSTF2T	356.05	392.44	248.0	267.73	297.17	166.73	334.46	361.04	332.14	320.8	158.79	305.55	312.0	450.94	154.42	244.57	351.14	172.65	285.03	291.04	409.15	169.07	460.44	429.54	260.38	132.44	318.57	389.72	199.85	361.04	198.47	155.5	460.44	371.22	139.07	187.71	587.13	507.46	197.09	142.01	202.66	295.11	299.25	299.25	470.14	334.46	157.68	339.14	154.42	118.43	185.11	547.75	251.48	543.96	332.14	285.03	135.24	412.0	158.79	260.38	450.94	165.57	217.27
CTR9	743.43	529.06	518.15	514.56	412.0	176.29	674.59	559.28	460.44	543.96	246.28	642.59	463.65	579.04	185.11	373.81	518.15	147.06	426.57	563.18	819.3	157.68	551.56	819.3	187.71	202.66	624.99	583.07	373.81	460.44	199.85	361.04	728.11	612.11	241.19	271.48	848.22	583.07	366.09	169.07	417.77	547.75	599.49	529.06	579.04	599.49	209.84	441.64	234.57	231.32	361.04	896.64	497.0	708.18	665.29	579.04	176.29	607.87	189.02	224.97	656.11	334.46	187.71
CWC22	361.04	309.83	303.44	351.14	312.0	170.25	395.18	312.0	348.71	228.13	202.66	379.04	232.94	320.8	189.02	226.54	423.61	153.34	346.29	323.03	559.28	209.84	412.0	503.95	133.36	204.07	503.95	289.02	262.2	336.79	251.48	236.21	483.38	363.56	157.68	191.67	480.04	305.55	271.48	132.44	264.03	348.71	329.84	303.44	325.29	329.84	178.77	267.73	264.03	197.09	220.32	497.0	281.09	466.88	291.04	371.22	206.94	366.09	185.11	212.78	497.0	199.85	228.13
DCAF10	264.03	218.79	291.04	228.13	351.14	208.38	297.17	249.73	151.22	334.46	267.73	212.78	183.82	260.38	78.89	323.03	323.03	204.07	190.34	255.0	368.65	88.26	220.32	575.03	122.64	209.84	303.44	251.48	212.78	234.57	246.28	303.44	285.03	237.86	144.01	346.29	373.81	316.37	163.28	120.1	197.09	277.2	226.54	215.77	231.32	260.38	164.42	202.66	297.17	136.19	232.94	325.29	159.9	291.04	358.54	381.68	181.28	358.54	148.09	189.02	273.37	136.19	208.38
DFFA	412.0	470.14	454.09	336.79	366.09	232.94	511.0	500.46	303.44	423.61	224.97	336.79	395.18	447.82	193.01	395.18	441.64	223.41	264.03	483.38	476.71	229.72	412.0	563.18	212.78	299.25	384.34	642.59	358.54	356.05	177.53	269.6	473.41	483.38	334.46	297.17	733.19	551.56	318.57	371.22	334.46	507.46	426.57	351.14	438.59	403.5	241.19	417.77	183.82	323.03	348.71	473.41	341.51	470.14	540.19	371.22	239.52	476.71	239.52	316.37	480.04	301.33	242.88
DHX8	733.19	703.28	785.88	540.19	819.3	356.05	688.78	559.28	718.08	961.07	316.37	753.83	785.88	708.18	329.84	718.08	703.28	249.73	693.58	679.29	651.58	412.0	718.08	890.44	426.57	327.56	808.0	1015.93	595.34	599.49	429.54	351.14	1233.75	808.0	616.37	480.04	1388.16	915.51	587.13	486.75	629.35	638.15	620.67	651.58	785.88	1104.13	397.93	547.75	314.17	438.59	620.67	902.89	684.02	769.69	753.83	688.78	387.02	563.18	503.95	607.87	836.53	571.05	406.31
DLAT	429.54	551.56	480.04	429.54	486.75	146.03	423.61	379.04	358.54	438.59	237.86	490.14	303.44	420.68	114.36	387.02	518.15	177.53	351.14	435.55	748.61	154.42	466.88	543.96	77.79	194.36	629.35	460.44	334.46	473.41	178.77	255.0	540.19	563.18	309.83	368.65	532.74	555.41	251.48	248.0	341.51	429.54	384.34	379.04	412.0	473.41	167.9	417.77	191.67	348.71	384.34	493.56	379.04	547.75	414.87	373.81	191.67	571.05	221.86	206.94	470.14	269.6	165.57
DNAJC11	633.73	497.0	476.71	497.0	490.14	356.05	595.34	444.72	583.07	555.41	312.0	540.19	483.38	612.11	187.71	432.53	466.88	187.71	551.56	543.96	591.22	295.11	591.22	563.18	112.77	223.41	647.07	647.07	441.64	571.05	403.5	417.77	607.87	679.29	447.82	403.5	981.29	684.02	476.71	450.94	514.56	521.76	575.03	679.29	620.67	612.11	289.02	397.93	299.25	426.57	476.71	521.76	693.58	607.87	693.58	703.28	246.28	599.49	318.57	277.2	571.05	358.54	231.32
DNAJC14	642.59	567.1	842.36	759.08	629.35	303.44	693.58	620.67	563.18	791.35	273.37	698.41	493.56	708.18	356.05	660.68	802.41	232.94	563.18	612.11	603.67	343.89	651.58	638.15	234.57	414.87	629.35	603.67	511.0	567.1	314.17	351.14	587.13	674.59	368.65	429.54	819.3	780.44	363.56	339.14	555.41	543.96	559.28	587.13	688.78	748.61	293.07	518.15	246.28	476.71	547.75	728.11	651.58	780.44	647.07	723.08	221.86	633.73	389.72	397.93	723.08	486.75	293.07
EIF3A	3372.43	1242.34	2133.97	1883.54	1127.35	1359.57	1883.54	1806.78	1322.37	1519.15	1208.34	1733.13	928.3	1628.26	1286.18	1583.71	2032.85	1096.5	1540.37	1794.29	2720.15	995.0	2061.24	1909.85	896.64	1709.26	1819.35	1369.04	1023.0	1340.84	1175.27	1697.45	1605.83	1794.29	1397.83	1819.35	2701.35	1870.53	1216.75	1037.29	1044.52	1295.13	974.5	1407.55	2004.85	2224.63	1143.1	1081.39	1216.75	995.0	1216.75	2720.15	1378.57	1605.83	1397.83	1651.0	866.07	2758.13	1159.07	1561.89	1628.26	1259.69	1508.65
ERCC4	76.17	105.15	112.77	64.34	75.64	22.43	95.34	89.51	63.45	88.26	52.45	88.88	44.57	142.01	56.28	88.88	92.7	23.59	83.45	73.03	105.15	38.67	120.1	97.36	16.27	31.67	86.43	90.14	55.89	79.45	85.22	60.39	120.1	81.71	34.26	57.08	111.21	85.82	83.45	39.79	74.06	63.45	105.15	125.24	94.01	90.77	65.26	65.26	35.5	59.13	59.55	92.05	102.25	136.19	65.72	78.89	28.65	106.63	69.03	33.54	88.26	37.59	29.27
ERLIN1	490.14	429.54	473.41	406.31	293.07	140.04	551.56	571.05	264.03	423.61	214.27	575.03	303.44	429.54	186.4	454.09	567.1	237.86	447.82	435.55	1066.48	152.28	575.03	866.07	122.64	318.57	688.78	466.88	373.81	450.94	260.38	397.93	460.44	579.04	211.31	275.28	463.65	497.0	194.36	173.85	325.29	438.59	412.0	423.61	514.56	543.96	214.27	318.57	262.2	244.57	351.14	575.03	532.74	733.19	361.04	371.22	149.12	684.02	414.87	256.78	624.99	194.36	170.25
ESF1	218.79	218.79	146.03	158.79	215.77	71.0	258.57	231.32	249.73	121.79	62.56	211.31	151.22	172.65	68.55	154.42	242.88	32.82	234.57	205.5	435.55	84.63	251.48	260.38	29.7	78.34	285.03	161.02	152.28	214.27	61.68	96.01	251.48	202.66	86.43	75.11	371.22	189.02	88.88	44.89	137.14	244.57	194.36	157.68	182.55	226.54	69.03	135.24	74.06	94.01	163.28	229.72	166.73	271.48	171.45	198.47	56.28	299.25	66.18	80.57	221.86	93.35	69.03
EXOSC3	348.71	497.0	283.05	305.55	409.15	206.94	708.18	532.74	414.87	224.97	283.05	457.25	316.37	406.31	122.64	400.71	409.15	162.14	373.81	381.68	587.13	123.5	480.04	878.17	152.28	163.28	547.75	679.29	260.38	603.67	242.88	267.73	733.19	493.56	287.01	224.97	660.68	457.25	215.77	155.5	176.29	514.56	400.71	395.18	540.19	417.77	132.44	483.38	299.25	217.27	180.02	703.28	237.86	518.15	500.46	281.09	236.21	563.18	223.41	237.86	587.13	198.47	178.77
FAM114A2	476.71	285.03	339.14	339.14	152.28	129.69	312.0	277.2	253.23	283.05	158.79	384.34	289.02	283.05	142.01	279.14	291.04	113.56	262.2	221.86	490.14	325.29	309.83	579.04	92.05	123.5	490.14	403.5	312.0	287.01	107.38	108.14	473.41	309.83	356.05	166.73	395.18	316.37	358.54	176.29	285.03	262.2	403.5	346.29	255.0	289.02	154.42	226.54	177.53	156.59	258.57	490.14	236.21	483.38	289.02	285.03	183.82	387.02	172.65	195.72	559.28	156.59	157.68
FAM118B	476.71	728.11	575.03	575.03	616.37	389.72	842.36	769.69	551.56	559.28	447.82	753.83	607.87	583.07	182.55	638.15	941.27	255.0	500.46	921.88	836.53	223.41	723.08	1286.18	171.45	543.96	830.75	733.19	229.72	688.78	307.69	713.11	753.83	669.92	457.25	457.25	651.58	723.08	384.34	583.07	323.03	703.28	500.46	503.95	543.96	684.02	229.72	743.43	612.11	343.89	684.02	638.15	718.08	780.44	825.0	656.11	223.41	708.18	371.22	403.5	961.07	432.53	255.0
FAM120A	1397.83	1447.15	1143.1	1104.13	1313.23	915.51	1561.89	1313.23	1233.75	1159.07	878.17	1397.83	995.0	1322.37	688.78	1159.07	1487.87	928.3	1088.92	1340.84	2573.36	529.06	1508.65	1605.83	420.68	1151.06	1487.87	1111.82	909.17	1259.69	759.08	1216.75	1088.92	1540.37	995.0	1369.04	1331.57	1745.2	808.0	878.17	1008.9	1175.27	1191.69	1104.13	1233.75	1407.55	890.44	1757.34	1242.34	813.63	1427.22	1540.37	1225.22	1769.57	1225.22	1111.82	567.1	1896.65	860.08	808.0	1233.75	884.29	753.83
FAM193A	529.06	246.28	616.37	441.64	397.93	147.06	503.95	325.29	262.2	341.51	161.02	299.25	226.54	343.89	180.02	358.54	497.0	170.25	303.44	500.46	432.53	195.72	417.77	483.38	130.6	248.0	305.55	297.17	314.17	507.46	293.07	228.13	412.0	511.0	130.6	182.55	403.5	563.18	312.0	138.1	332.14	260.38	400.71	395.18	559.28	384.34	123.5	264.03	162.14	312.0	287.01	620.67	379.04	389.72	473.41	392.44	138.1	480.04	320.8	217.27	599.49	320.8	299.25
FAM98A	825.0	470.14	547.75	318.57	409.15	400.71	713.11	444.72	361.04	460.44	432.53	647.07	356.05	525.39	221.86	269.6	454.09	318.57	295.11	529.06	1015.93	329.84	713.11	1001.93	228.13	232.94	579.04	497.0	202.66	543.96	239.52	265.87	483.38	559.28	258.57	271.48	884.29	733.19	211.31	403.5	177.53	540.19	414.87	358.54	583.07	441.64	217.27	412.0	412.0	214.27	316.37	796.86	312.0	723.08	665.29	318.57	406.31	738.29	269.6	303.44	651.58	169.07	293.07
FASTKD2	536.45	395.18	287.01	323.03	295.11	267.73	358.54	346.29	406.31	299.25	228.13	420.68	307.69	409.15	269.6	325.29	412.0	141.02	412.0	387.02	651.58	285.03	389.72	339.14	125.24	251.48	607.87	341.51	348.71	389.72	265.87	318.57	454.09	400.71	291.04	234.57	579.04	323.03	303.44	198.47	371.22	432.53	373.81	392.44	384.34	417.77	197.09	351.14	251.48	206.94	348.71	371.22	329.84	438.59	291.04	389.72	223.41	470.14	255.0	269.6	466.88	309.83	246.28
FBXL18	59.13	46.18	100.83	53.95	36.27	29.7	87.65	87.65	31.9	102.25	33.06	68.55	37.32	63.0	23.76	91.41	59.13	17.13	54.72	73.03	59.13	12.55	87.03	60.82	5.87	34.51	45.85	70.01	39.79	55.49	41.22	37.59	50.63	62.12	33.78	52.08	98.73	93.35	35.76	50.27	38.4	82.29	61.25	71.0	105.89	56.28	20.11	19.97	21.47	41.81	25.72	77.79	56.68	94.01	80.01	76.17	14.14	76.17	29.91	23.08	85.22	50.63	18.56
FKRP	356.05	323.03	269.6	532.74	297.17	197.09	387.02	316.37	208.38	567.1	199.85	214.27	178.77	318.57	170.25	256.78	368.65	138.1	258.57	316.37	412.0	173.85	514.56	521.76	41.81	98.73	312.0	366.09	368.65	323.03	186.4	265.87	371.22	358.54	297.17	181.28	567.1	457.25	182.55	132.44	371.22	262.2	329.84	579.04	579.04	279.14	106.63	218.79	65.72	314.17	303.44	387.02	289.02	339.14	432.53	493.56	53.95	316.37	194.36	208.38	518.15	264.03	148.09
FTSJ3	629.35	417.77	366.09	679.29	423.61	279.14	497.0	591.22	665.29	587.13	486.75	540.19	525.39	638.15	209.84	373.81	409.15	414.87	507.46	587.13	521.76	198.47	802.41	728.11	353.59	171.45	490.14	780.44	371.22	500.46	346.29	334.46	759.08	633.73	307.69	346.29	896.64	775.05	447.82	318.57	346.29	476.71	748.61	583.07	890.44	599.49	295.11	366.09	182.55	409.15	325.29	733.19	529.06	684.02	660.68	665.29	323.03	620.67	327.56	356.05	599.49	379.04	275.28
GATC	327.56	205.5	297.17	226.54	154.42	193.01	244.57	275.28	181.28	279.14	157.68	327.56	166.73	253.23	112.77	256.78	307.69	109.66	221.86	241.19	432.53	106.63	267.73	361.04	99.43	146.03	249.73	217.27	265.87	234.57	186.4	164.42	237.86	320.8	224.97	262.2	463.65	339.14	189.02	172.65	256.78	189.02	246.28	283.05	264.03	256.78	108.14	169.07	150.17	145.02	164.42	351.14	215.77	366.09	242.88	271.48	113.56	262.2	150.17	118.43	384.34	214.27	116.78
GCC1	381.68	264.03	299.25	293.07	301.33	116.78	368.65	275.28	256.78	314.17	140.04	336.79	283.05	343.89	115.97	195.72	307.69	107.38	289.02	279.14	316.37	145.02	273.37	450.94	133.36	153.34	303.44	312.0	202.66	267.73	157.68	201.25	373.81	307.69	183.82	234.57	387.02	332.14	189.02	121.79	186.4	197.09	339.14	265.87	373.81	287.01	120.94	218.79	158.79	146.03	195.72	591.22	275.28	346.29	384.34	297.17	123.5	291.04	201.25	197.09	403.5	180.02	142.01
GEMIN5	197.09	150.17	224.97	106.63	175.07	96.68	171.45	151.22	186.4	190.34	90.14	232.94	173.85	239.52	65.26	143.01	241.19	55.49	176.29	166.73	224.97	108.14	197.09	215.77	47.17	119.26	218.79	208.38	138.1	237.86	96.01	116.78	214.27	253.23	67.59	73.54	275.28	204.07	92.7	94.67	141.02	146.03	175.07	146.03	178.77	232.94	67.12	142.01	91.41	104.42	105.15	256.78	169.07	267.73	153.34	242.88	83.45	182.55	112.77	96.01	239.52	85.82	65.26
GIMAP6	1191.69	1096.5	2701.35	599.49	1561.89	146.03	1685.71	934.76	1044.52	2520.38	297.17	1674.06	1397.83	1651.0	1498.22	934.76	2956.17	171.45	915.51	2061.24	780.44	872.1	1051.79	1044.52	1605.83	536.45	1745.2	769.69	642.59	902.89	218.79	642.59	3395.89	1250.98	624.99	830.75	2645.74	2367.9	466.88	190.34	638.15	466.88	2287.2	1477.58	1322.37	2645.74	356.05	1023.0	316.37	329.84	830.75	1331.57	813.63	3419.52	612.11	1963.57	397.93	665.29	224.97	1073.91	3820.7	1427.22	514.56
