	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.B0.5096.01A.01R.1420.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.55.1592.01A.01R.0946.07	TCGA.05.4410.01A.21R.1858.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.66.2742.01A.01R.0980.07	TCGA.66.2773.01A.01R.1201.07	TCGA.21.1071.01A.01R.0692.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.WHPG.0226.SM.3NMB9	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.139YR.1226.SM.5IFEU	GTEX.R55C.0626.SM.2TF4Q	GTEX.V955.0426.SM.3GAEL	GTEX.QLQ7.0726.SM.2I5G2
C5orf51	397.93	327.56	104.42	136.19	532.74	320.8	825.0	387.02	406.31	320.8	249.73	297.17	193.01	226.54	223.41	221.86	139.07	206.94	232.94	146.03	232.94	194.36	193.01	191.67	133.36	107.38	287.01	157.68	157.68	191.67	205.5	183.82	198.47	209.84	163.28	277.2	197.09	123.5	218.79	180.02	204.07	171.45	138.1	170.25	215.77	231.32	244.57	176.29	182.55	209.84	211.31	221.86	190.34	159.9	127.0	141.02	246.28	161.02	293.07	287.01	195.72	130.6	177.53	186.4	229.72	189.02	343.89	209.84	226.54	142.01	178.77	169.07	232.94	307.69	183.82	176.29	193.01	215.77	197.09	166.73	214.27	185.11	234.57	198.47	190.34	162.14	190.34	264.03	309.83	180.02	363.56	309.83	373.81	281.09
CCDC47	1183.45	2319.15	647.07	693.58	2018.8	2609.3	2816.11	2271.4	1628.26	1923.14	1427.22	2384.37	1096.5	1508.65	1015.93	1151.06	1199.98	1135.2	1529.73	693.58	1259.69	1242.34	902.89	1088.92	796.86	819.3	1605.83	995.0	796.86	1001.93	1259.69	1015.93	1183.45	842.36	842.36	1268.46	1199.98	819.3	1096.5	915.51	1044.52	967.76	995.0	974.5	1104.13	1088.92	1304.15	1268.46	780.44	723.08	848.22	1143.1	872.1	1322.37	1037.29	723.08	1268.46	981.29	1119.56	1540.37	1127.35	1073.91	995.0	1151.06	1322.37	1104.13	1388.16	866.07	921.88	780.44	915.51	1051.79	1225.22	1369.04	921.88	1030.12	902.89	1044.52	1167.14	647.07	1781.89	1191.69	1447.15	934.76	698.41	1159.07	967.76	1242.34	1369.04	1651.0	1963.57	1467.37	1519.15	1745.2
CEP350	406.31	265.87	23.59	28.04	264.03	336.79	759.08	356.05	368.65	406.31	215.77	299.25	175.07	180.02	150.17	122.64	109.66	181.28	220.32	108.9	170.25	134.3	113.56	135.24	121.79	84.63	120.1	100.13	114.36	126.12	217.27	108.14	107.38	255.0	162.14	156.59	170.25	69.03	193.01	102.97	157.68	142.01	108.14	146.03	185.11	241.19	133.36	88.88	105.15	129.69	155.5	241.19	159.9	178.77	106.63	80.01	186.4	144.01	108.9	279.14	156.59	97.36	123.5	159.9	199.85	170.25	191.67	122.64	138.1	87.65	81.71	165.57	157.68	301.33	224.97	145.02	137.14	167.9	199.85	130.6	150.17	175.07	221.86	215.77	123.5	133.36	153.34	124.37	183.82	287.01	325.29	226.54	244.57	251.48
CLOCK	260.38	285.03	30.78	47.17	271.48	232.94	435.55	195.72	208.38	150.17	134.3	113.56	191.67	231.32	166.73	173.85	132.44	177.53	239.52	100.13	173.85	112.77	137.14	190.34	100.83	88.88	166.73	164.42	98.04	150.17	145.02	197.09	119.26	143.01	120.1	334.46	128.79	80.01	142.01	128.79	206.94	116.78	109.66	117.6	229.72	209.84	147.06	169.07	91.41	108.14	115.16	176.29	144.01	133.36	124.37	80.01	156.59	124.37	158.79	287.01	157.68	91.41	106.63	152.28	149.12	152.28	334.46	98.73	143.01	127.0	131.51	155.5	191.67	271.48	154.42	132.44	137.14	206.94	217.27	106.63	119.26	177.53	223.41	163.28	98.04	105.89	127.0	132.44	242.88	173.85	232.94	281.09	237.86	237.86
CNST	343.89	253.23	50.98	67.12	297.17	297.17	343.89	327.56	279.14	258.57	353.59	373.81	206.94	239.52	165.57	206.94	197.09	182.55	262.2	103.69	152.28	152.28	152.28	183.82	119.26	98.73	195.72	199.85	116.78	223.41	190.34	161.02	134.3	182.55	155.5	224.97	155.5	116.78	136.19	154.42	244.57	204.07	144.01	154.42	150.17	191.67	177.53	127.89	126.12	93.35	129.69	189.02	152.28	186.4	149.12	137.14	170.25	150.17	209.84	229.72	206.94	115.97	123.5	169.07	169.07	182.55	251.48	129.69	159.9	111.99	135.24	145.02	136.19	248.0	197.09	152.28	249.73	157.68	202.66	127.0	212.78	199.85	205.5	178.77	124.37	126.12	157.68	279.14	218.79	473.41	301.33	307.69	336.79	403.5
COPB1	1540.37	2485.67	441.64	480.04	2224.63	1561.89	2271.4	1806.78	1832.01	1605.83	1407.55	1583.71	1127.35	1151.06	1378.57	1175.27	1104.13	1529.73	2018.8	1277.29	1583.71	1572.76	1216.75	1175.27	1225.22	1037.29	1233.75	1242.34	1159.07	1721.16	1605.83	1119.56	1096.5	1427.22	1508.65	1447.15	1191.69	1030.12	1225.22	1066.48	1350.18	1651.0	1250.98	1304.15	1936.53	1857.6	1313.23	1225.22	1081.39	988.12	1143.1	1388.16	1242.34	1437.15	1096.5	1008.9	1359.57	1208.34	961.07	1923.14	1651.0	1233.75	1143.1	1313.23	1594.73	1617.0	941.27	1159.07	1295.13	967.76	1023.0	1757.34	1519.15	1794.29	1407.55	1268.46	1066.48	1594.73	1268.46	1044.52	1417.35	1508.65	1617.0	1322.37	1127.35	1286.18	1617.0	1769.57	2104.58	1498.22	1896.65	2303.12	2004.85	2555.58
CPNE3	902.89	1388.16	281.09	297.17	1378.57	796.86	1216.75	1487.87	988.12	1111.82	1066.48	802.41	500.46	559.28	642.59	511.0	791.35	599.49	612.11	412.0	693.58	540.19	500.46	420.68	403.5	336.79	921.88	540.19	397.93	769.69	620.67	435.55	414.87	525.39	599.49	591.22	547.75	295.11	651.58	463.65	1023.0	808.0	460.44	483.38	665.29	748.61	536.45	493.56	426.57	389.72	441.64	603.67	503.95	503.95	379.04	348.71	599.49	525.39	825.0	896.64	759.08	476.71	432.53	571.05	629.35	633.73	743.43	511.0	493.56	454.09	417.77	624.99	633.73	718.08	551.56	463.65	454.09	599.49	571.05	392.44	454.09	713.11	743.43	476.71	473.41	412.0	525.39	954.43	1167.14	669.92	1167.14	1175.27	1313.23	1467.37
CREB1	511.0	460.44	67.12	94.01	511.0	540.19	612.11	511.0	616.37	457.25	511.0	480.04	285.03	283.05	214.27	226.54	189.02	314.17	371.22	178.77	293.07	239.52	239.52	267.73	175.07	186.4	182.55	255.0	144.01	229.72	343.89	212.78	234.57	392.44	271.48	260.38	307.69	141.02	211.31	214.27	277.2	293.07	197.09	242.88	346.29	341.51	277.2	172.65	165.57	149.12	231.32	371.22	228.13	273.37	218.79	164.42	242.88	206.94	147.06	376.41	299.25	224.97	215.77	291.04	341.51	283.05	214.27	176.29	241.19	141.02	193.01	237.86	249.73	441.64	262.2	258.57	269.6	303.44	392.44	183.82	316.37	271.48	444.72	229.72	126.12	231.32	251.48	376.41	358.54	260.38	718.08	500.46	518.15	457.25
CTDSPL2	353.59	397.93	24.46	71.5	246.28	236.21	314.17	307.69	414.87	389.72	429.54	358.54	191.67	195.72	161.02	170.25	131.51	214.27	228.13	104.42	226.54	155.5	155.5	158.79	104.42	78.34	132.44	137.14	96.01	169.07	218.79	130.6	180.02	163.28	148.09	164.42	214.27	105.15	169.07	166.73	157.68	255.0	117.6	133.36	197.09	279.14	185.11	130.6	126.12	105.15	150.17	209.84	159.9	186.4	136.19	123.5	221.86	173.85	121.79	336.79	215.77	105.15	120.94	189.02	236.21	202.66	162.14	147.06	176.29	115.97	121.79	166.73	167.9	373.81	178.77	153.34	191.67	165.57	211.31	102.97	185.11	236.21	251.48	142.01	87.65	157.68	152.28	248.0	267.73	279.14	323.03	476.71	336.79	283.05
CTSB	122293.5	27174.14	105727.15	50011.46	31650.8	18178.19	15285.81	27745.15	51062.33	131982.68	162489.97	138544.47	378516.38	365622.68	172949.54	193234.41	228208.61	301123.38	184082.4	158046.64	267651.2	253213.41	175363.84	177811.84	221968.2	215898.44	307450.64	193234.41	198667.0	290865.98	189257.69	311742.51	177811.84	174152.51	214407.12	389157.95	175363.84	144427.91	171754.88	148488.36	282912.21	220434.95	242898.5	191899.64	201440.3	204252.32	327241.36	391864.76	198667.0	200048.85	200048.85	201440.3	176583.6	179048.63	185362.8	162489.97	299043.36	175363.84	428815.23	127486.83	207103.59	193234.41	168220.2	197294.7	208544.12	190574.09	260332.24	218912.29	167058.21	158046.64	175363.84	226632.25	212926.09	104271.56	241220.67	175363.84	164758.26	209994.66	184082.4	208544.12	288856.81	181548.07	214407.12	236256.4	160252.91	194578.47	180294.02	111755.56	116501.39	258533.99	93325.55	120609.84	118949.35	97965.44
CYP51A1	559.28	1350.18	239.52	239.52	1159.07	1096.5	1175.27	1388.16	802.41	1457.23	379.04	1096.5	460.44	591.22	486.75	536.45	669.92	490.14	872.1	371.22	583.07	674.59	470.14	748.61	420.68	389.72	808.0	480.04	563.18	547.75	579.04	403.5	612.11	409.15	417.77	693.58	603.67	409.15	540.19	486.75	543.96	417.77	642.59	684.02	412.0	738.29	583.07	612.11	334.46	368.65	466.88	748.61	514.56	813.63	529.06	363.56	540.19	547.75	447.82	753.83	587.13	559.28	470.14	764.36	728.11	796.86	587.13	493.56	493.56	503.95	733.19	587.13	536.45	366.09	579.04	638.15	363.56	551.56	688.78	426.57	595.34	674.59	703.28	728.11	381.68	463.65	543.96	642.59	1104.13	507.46	543.96	764.36	723.08	836.53
DCUN1D1	371.22	551.56	72.01	79.45	486.75	525.39	476.71	860.08	503.95	1477.58	1023.0	1896.65	273.37	307.69	201.25	191.67	189.02	226.54	332.14	164.42	228.13	212.78	154.42	181.28	116.78	119.26	171.45	147.06	156.59	197.09	237.86	177.53	178.77	201.25	190.34	260.38	183.82	144.01	237.86	167.9	253.23	287.01	153.34	178.77	206.94	281.09	199.85	173.85	193.01	126.12	152.28	209.84	186.4	191.67	178.77	149.12	214.27	178.77	193.01	356.05	305.55	205.5	175.07	253.23	237.86	232.94	320.8	165.57	248.0	114.36	165.57	228.13	217.27	409.15	181.28	177.53	224.97	171.45	262.2	134.3	262.2	202.66	312.0	171.45	202.66	201.25	204.07	301.33	429.54	265.87	555.41	368.65	547.75	348.71
DDX18	1674.06	1001.93	139.07	291.04	1015.93	1457.23	1407.55	1286.18	981.29	1151.06	1175.27	1437.15	547.75	379.04	518.15	551.56	409.15	713.11	764.36	435.55	633.73	543.96	525.39	563.18	450.94	329.84	343.89	470.14	423.61	525.39	738.29	400.71	490.14	603.67	587.13	441.64	651.58	563.18	559.28	507.46	490.14	629.35	438.59	507.46	587.13	872.1	423.61	336.79	426.57	400.71	511.0	633.73	460.44	684.02	490.14	417.77	603.67	587.13	256.78	941.27	620.67	470.14	507.46	507.46	612.11	669.92	325.29	392.44	518.15	361.04	429.54	571.05	547.75	961.07	567.1	603.67	447.82	567.1	612.11	417.77	688.78	633.73	791.35	473.41	253.23	567.1	638.15	769.69	743.43	854.13	1015.93	1030.12	802.41	1167.14
