	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	GTEX.OOBK.2025.SM.3LK5S	GTEX.S3XE.1326.SM.4AD4H	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AJ.A3NC.11A.11R.A22K.07	TCGA.FL.A1YG.11A.12R.A16F.07	GTEX.YFC4.2826.SM.5P9FR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.T2IS.2226.SM.4DM65	GTEX.11ZTS.2326.SM.5EQMY	GTEX.P78B.2526.SM.3P5ZY
CBLN3	93.35	146.03	57.49	16.88	135.24	0.0	57.49	25.35	14.67	56.68	147.06	55.89	384.34	325.29	122.64	251.48	115.16
CCDC153	38.12	35.0	42.71	12.93	19.11	0.0	33.06	19.11	14.45	50.63	62.12	71.0	470.14	417.77	412.0	114.36	214.27
CCDC17	22.1	25.91	15.8	6.52	24.46	0.0	4.31	3.69	1.51	14.24	43.32	35.25	93.35	129.69	30.12	181.28	47.84
CCDC174	429.54	376.41	279.14	228.13	356.05	0.0	269.6	205.5	318.57	351.14	579.04	457.25	769.69	669.92	457.25	728.11	532.74
CCDC180	39.79	120.1	56.28	5.73	74.58	0.0	13.32	8.19	21.63	42.41	108.9	85.22	392.44	400.71	175.07	381.68	232.94
CCDC65	15.34	10.0	10.96	9.63	15.45	0.0	11.55	13.83	3.23	17.51	26.47	43.94	127.89	173.85	38.4	175.07	59.97
CCDC78	5.92	13.52	16.51	1.0	11.64	0.0	7.88	0.0	8.25	20.71	37.59	35.0	392.44	555.41	80.57	94.67	267.73
CCDC80	2400.97	3665.02	1397.83	753.83	3395.89	775.05	1096.5	780.44	1111.82	1923.14	15180.22	12244.81	38430.46	36864.92	56265.94	16269.83	17197.56
CCL15-CCL14	1498.22	343.89	1015.93	137.14	83.45	0.0	59.97	133.36	409.15	1388.16	4210.15	1044.52	9808.75	6792.79	3168.41	2303.12	4066.71
CCM2L	100.13	127.0	47.84	24.46	80.01	0.0	28.86	31.67	29.7	70.51	514.56	343.89	493.56	723.08	457.25	379.04	426.57
CCND2	698.41	1104.13	346.29	669.92	1427.22	0.0	1119.56	373.81	1242.34	525.39	660.68	1208.34	3280.18	2997.45	10733.74	2075.59	2816.11
CDH24	80.57	43.94	74.58	23.93	97.36	0.0	40.64	14.78	22.26	55.49	303.44	231.32	412.0	381.68	353.59	397.93	262.2
CDRT4	217.27	53.95	43.32	9.2	127.0	0.0	47.5	16.39	10.24	45.21	173.85	158.79	647.07	525.39	152.28	493.56	353.59
CLCN5	41.81	26.1	26.1	30.34	21.16	0.0	17.0	18.43	15.68	32.59	63.45	57.08	318.57	351.14	92.7	273.37	121.79
CLEC11A	251.48	332.14	139.07	65.26	234.57	0.0	141.02	84.63	182.55	152.28	753.83	1233.75	5672.41	4769.75	6745.86	1388.16	1331.57
CLEC2L	4.74	32.36	16.63	3.63	10.88	0.0	1.46	1.04	0.0	8.71	43.94	50.63	291.04	497.0	361.04	81.14	63.89
CLEC4F	13.22	1.71	6.21	1.87	8.58	0.0	5.68	3.99	4.62	18.29	60.39	15.8	131.51	96.01	25.72	110.43	24.11
CLHC1	89.51	128.79	71.5	88.26	91.41	0.0	44.89	59.55	72.01	130.6	156.59	143.01	420.68	607.87	161.02	320.8	133.36
COL21A1	521.76	1322.37	122.64	28.45	536.45	0.0	125.24	44.57	157.68	529.06	802.41	660.68	4239.45	3372.43	808.0	1639.59	698.41
COLQ	59.13	132.44	27.05	15.22	97.36	0.0	55.1	28.24	68.55	22.92	64.8	186.4	318.57	236.21	511.0	96.68	63.0
CPXM1	111.21	91.41	11.21	59.55	0.99	0.0	16.75	45.21	51.71	17.13	358.54	3820.7	7081.29	10733.74	8963.45	1096.5	2627.46
CUBN	8.71	9.34	4.43	1.79	7.69	0.0	1.39	1.93	2.2	5.11	12.55	10.31	36.79	48.52	9.27	47.84	13.32
DISC1	35.76	28.65	29.48	9.78	37.32	0.0	10.39	14.89	12.27	29.91	42.11	28.04	211.31	147.06	32.59	98.73	25.72
DKFZP434E1119	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.84	0.85	0.73	0.78	0.0	1.73	1.0
DLG4	595.34	785.88	336.79	221.86	718.08	0.0	239.52	172.65	134.3	363.56	665.29	819.3	2537.92	2664.15	1250.98	1313.23	1242.34
DNAAF1	8.32	10.79	4.82	1.41	4.94	0.0	1.81	7.34	2.84	11.64	17.77	22.59	129.69	75.11	10.79	54.72	45.53
DNAH7	15.34	18.29	29.27	2.14	4.17	0.0	14.03	18.7	10.63	13.32	21.47	37.85	110.43	108.9	26.86	20.56	80.57
DNAI1	0.0	0.59	2.94	0.0	0.0	0.0	0.0	0.0	0.83	7.28	12.83	12.64	30.12	43.32	35.25	24.11	15.8
DPY19L2	104.42	248.0	51.71	61.25	224.97	0.0	69.52	46.18	60.39	79.45	287.01	176.29	738.29	728.11	212.78	567.1	854.13
DYDC2	0.0	0.61	2.1	8.71	1.01	0.0	6.73	1.53	0.0	2.16	17.9	16.03	579.04	325.29	54.72	392.44	66.65
ENDOV	423.61	379.04	348.71	165.57	318.57	0.0	309.83	255.0	473.41	400.71	470.14	447.82	878.17	791.35	444.72	896.64	684.02
ENKD1	514.56	1127.35	358.54	316.37	1008.9	0.0	651.58	269.6	483.38	454.09	775.05	896.64	2119.22	1745.2	1457.23	1295.13	1977.24
FAM110B	234.57	591.22	159.9	73.54	201.25	12.74	151.22	103.69	339.14	197.09	314.17	327.56	1936.53	1487.87	1572.76	3303.0	511.0
FAM156B	336.79	447.82	295.11	126.12	265.87	0.0	156.59	182.55	234.57	356.05	466.88	454.09	1628.26	854.13	490.14	796.86	587.13
FAM171A2	36.79	55.89	14.14	1.31	50.63	0.0	9.41	21.32	2.86	9.93	75.11	164.42	193.01	99.43	323.03	198.47	241.19
FAM43B	17.51	26.28	6.84	15.91	72.01	0.0	9.13	4.86	2.2	4.06	19.82	27.05	229.72	82.29	303.44	62.12	60.39
FBXO17	406.31	848.22	279.14	271.48	591.22	275.28	187.71	376.41	316.37	371.22	890.44	1051.79	2224.63	1447.15	2148.82	2090.03	728.11
FGD1	102.97	187.71	81.14	132.44	177.53	0.0	154.42	81.14	161.02	88.88	152.28	301.33	316.37	258.57	967.76	193.01	341.51
FIGLA	0.0	0.0	0.0	0.99	0.96	0.0	0.0	0.0	0.66	0.0	6.11	0.0	12.55	9.27	2.36	5.06	0.89
FKBP10	1037.29	1628.26	599.49	500.46	934.76	5219.6	728.11	708.18	395.18	842.36	2645.74	2956.17	9088.59	5147.73	7081.29	5329.3	2061.24
FKBP6	1.04	0.0	0.0	1.53	0.0	0.0	0.0	0.44	0.0	0.0	3.2	1.13	12.0	3.86	3.76	21.63	5.23
FLRT2	84.63	128.79	37.85	13.22	69.52	0.0	100.83	76.71	71.0	80.57	191.67	111.99	2855.44	1447.15	299.25	1745.2	2664.15
FLT4	153.34	182.55	43.32	60.39	183.82	0.0	29.48	72.01	39.79	96.68	480.04	363.56	1167.14	967.76	500.46	503.95	463.65
FMNL3	202.66	293.07	140.04	123.5	205.5	195.72	49.56	87.65	41.81	150.17	426.57	432.53	842.36	836.53	753.83	656.11	819.3
FOXS1	26.86	80.57	14.89	8.06	24.46	0.0	4.39	9.34	4.9	28.24	43.94	395.18	486.75	441.64	1044.52	90.77	555.41
FREM1	145.02	624.99	124.37	13.03	55.1	0.0	18.29	12.27	13.93	71.5	1037.29	540.19	6121.9	3564.78	3794.3	4607.24	785.88
FSCN1	305.55	346.29	287.01	138.1	348.71	0.0	279.14	171.45	81.71	242.88	583.07	866.07	4239.45	2417.67	5112.16	1199.98	2193.99
GJC2	147.06	361.04	38.67	72.01	251.48	0.0	50.98	19.68	25.35	85.82	190.34	191.67	651.58	454.09	896.64	466.88	299.25
GLRA3	0.39	0.53	0.37	0.0	0.87	0.0	0.0	0.0	0.0	0.38	11.91	6.31	16.15	13.52	1.27	1.66	0.79
GPSM1	162.14	316.37	108.9	165.57	291.04	0.0	211.31	209.84	120.94	142.01	334.46	473.41	796.86	595.34	536.45	723.08	764.36
HECW2	11.04	13.22	7.22	4.43	14.89	0.0	1.19	9.85	2.41	5.19	80.01	27.05	131.51	84.63	64.8	29.48	16.63
HKR1	420.68	591.22	438.59	246.28	518.15	0.0	536.45	463.65	514.56	503.95	738.29	612.11	2335.28	1617.0	961.07	1268.46	1023.0
HNRNPA1L2	145.02	187.71	152.28	89.51	148.09	0.0	106.63	109.66	139.07	141.02	341.51	291.04	559.28	414.87	432.53	603.67	299.25
HOXC9	10.55	6.73	3.89	5.28	0.0	0.0	7.22	10.47	8.58	5.92	18.97	14.67	262.2	134.3	177.53	575.03	13.42
ICAM4	20.41	2.63	7.63	6.52	6.57	0.0	17.64	11.47	4.35	9.27	14.14	10.55	159.9	201.25	332.14	13.62	54.72
IGFN1	3.79	5.92	2.1	0.0	1.0	0.0	1.93	0.0	0.43	5.19	53.19	95.34	90.14	71.5	1135.2	67.12	164.42
INHA	0.0	12.0	5.28	0.3	16.27	0.0	7.88	1.57	9.93	6.26	34.26	20.56	80.01	96.01	11.91	44.25	18.03
KCND2	18.43	11.91	7.34	4.62	16.39	0.0	6.21	1.95	2.61	9.27	39.79	77.79	72.01	57.08	130.6	249.73	23.59
KCNMB2	54.72	86.43	102.25	1.89	2.14	0.0	8.65	0.0	11.73	155.5	145.02	21.32	571.05	529.06	187.71	684.02	126.12
KCTD19	0.82	0.96	3.76	0.0	0.89	0.0	3.72	1.62	0.0	0.0	4.39	9.2	27.44	28.45	15.34	6.26	24.28
KLHL14	5.32	3.38	3.72	0.78	3.08	0.0	20.26	7.22	19.82	3.53	61.68	33.54	212.78	202.66	84.04	728.11	64.34
KLRF1	11.3	6.01	20.26	0.0	2.78	26.67	11.91	9.78	4.5	19.68	38.4	11.21	115.97	143.01	14.14	277.2	47.84
KRBOX4	291.04	406.31	273.37	122.64	283.05	318.57	149.12	155.5	181.28	368.65	480.04	325.29	1199.98	872.1	348.71	587.13	842.36
LAMB2	6840.04	14971.21	2384.37	3467.27	20030.74	0.0	7749.1	4358.66	6792.79	3467.27	11745.96	11345.82	35856.82	27174.14	12676.65	19754.96	25354.3
LRRC46	6.06	11.47	7.94	1.33	5.28	0.0	19.97	15.91	6.89	5.87	24.99	49.56	163.28	158.79	64.8	66.65	115.16
MAGEL2	9.93	21.01	0.0	0.0	5.96	0.0	0.0	0.0	9.7	2.18	74.06	145.02	307.69	167.9	457.25	74.58	102.97
MAMSTR	87.03	323.03	37.32	9.27	103.69	0.0	25.54	17.9	73.54	73.03	406.31	297.17	441.64	351.14	785.88	884.29	241.19
MAP3K7CL	74.06	89.51	90.14	23.93	51.35	0.0	55.1	50.98	27.05	90.14	214.27	214.27	460.44	323.03	400.71	379.04	327.56
MATK	33.78	8.99	27.64	36.53	17.77	0.0	20.11	4.66	14.03	22.75	28.86	14.14	363.56	244.57	140.04	155.5	70.01
MDH1B	24.99	72.01	42.71	7.4	14.03	0.0	13.83	5.19	21.32	45.85	46.18	29.48	194.36	267.73	84.04	171.45	110.43
MROH6	115.16	118.43	99.43	37.85	66.18	0.0	59.13	36.27	27.44	105.89	164.42	94.01	332.14	258.57	65.72	120.1	212.78
NAALAD2	30.34	43.63	53.57	8.85	61.25	0.0	11.04	9.78	10.63	60.39	136.19	69.03	309.83	172.65	60.39	400.71	236.21
NCKAP5L	166.73	503.95	129.69	144.01	384.34	0.0	151.22	110.43	93.35	114.36	163.28	291.04	1191.69	791.35	490.14	483.38	579.04
NELFA	536.45	583.07	432.53	409.15	423.61	0.0	493.56	457.25	503.95	395.18	633.73	808.0	981.29	848.22	759.08	1225.22	825.0
NME5	63.89	62.12	68.07	14.35	47.17	0.0	156.59	52.45	75.11	125.24	113.56	172.65	1923.14	2451.44	934.76	303.44	638.15
NTN5	3.82	15.45	2.89	0.32	15.34	0.0	10.08	1.28	2.58	5.28	24.28	21.63	72.52	37.32	32.13	40.64	37.59
OAZ2	2664.15	3589.58	2224.63	1508.65	2915.45	1350.18	1870.53	2133.97	1896.65	2434.5	3303.0	3639.7	4066.71	3742.05	6699.25	2133.97	3467.27
PEAR1	153.34	190.34	73.54	40.36	198.47	0.0	19.68	39.79	33.78	83.45	403.5	183.82	483.38	432.53	214.27	307.69	204.07
PELP1	647.07	780.44	438.59	555.41	791.35	612.11	559.28	651.58	587.13	441.64	854.13	954.43	1457.23	1127.35	921.88	1199.98	1268.46
PGR	73.54	206.94	45.85	27.05	343.89	0.0	50.27	37.05	80.57	82.29	967.76	3540.14	6792.79	6381.92	12589.08	1001.93	7589.61
PRR3	201.25	246.28	166.73	98.04	136.19	368.65	167.9	173.85	194.36	171.45	387.02	403.5	780.44	480.04	813.63	363.56	587.13
PTK7	215.77	169.07	135.24	74.58	74.58	1322.37	432.53	567.1	256.78	189.02	2915.45	3018.3	6426.31	5329.3	4937.99	3589.58	5555.65
RBP5	220.32	82.87	246.28	127.89	31.22	0.0	209.84	118.43	115.16	178.77	1242.34	329.84	1697.45	1151.06	642.59	718.08	896.64
RCN3	718.08	961.07	466.88	447.82	358.54	0.0	343.89	329.84	211.31	320.8	1159.07	1467.37	4388.98	2956.17	1674.06	2133.97	1498.22
RP11-795F19.5	27.05	78.89	18.97	16.39	21.01	0.0	26.86	12.45	9.13	6.06	42.11	26.86	139.07	108.14	90.77	105.89	77.25
SHANK1	10.88	10.71	10.24	10.31	12.18	0.0	2.89	8.71	6.36	5.28	14.78	39.5	150.17	117.6	236.21	44.89	32.82
SHROOM4	42.41	59.97	23.25	11.3	76.17	0.0	17.13	34.51	15.11	23.08	187.71	96.68	212.78	214.27	201.25	198.47	46.84
SLC16A9	93.35	22.75	19.11	11.38	5.02	0.0	48.52	95.34	128.79	40.93	381.68	371.22	1407.55	1857.6	3419.52	796.86	309.83
SPEF2	52.08	62.12	73.03	8.85	40.07	0.0	64.8	65.72	44.89	83.45	387.02	166.73	743.43	373.81	161.02	1143.1	802.41
SPIN4	66.65	45.85	72.01	80.01	53.19	0.0	39.5	69.52	123.5	94.01	94.67	81.14	483.38	454.09	80.57	199.85	90.14
STX18	791.35	466.88	785.88	454.09	420.68	0.0	412.0	503.95	500.46	909.17	842.36	1457.23	4419.52	6426.31	4123.49	3614.55	2895.31
SYTL4	490.14	454.09	358.54	277.2	253.23	0.0	267.73	460.44	361.04	343.89	2255.7	2537.92	2758.13	1936.53	2664.15	1487.87	2240.11
TAGLN	869603.57	3113270.58	397335.0	184082.4	1703415.74	0.0	565825.41	239554.43	632189.57	475800.4	197294.7	509950.32	185362.8	225066.78	286861.53	61999.83	211455.3
TAL1	47.17	42.11	13.83	33.78	52.45	0.0	17.38	20.71	9.7	35.0	384.34	75.64	229.72	173.85	88.26	130.6	85.82
TBC1D26	9.41	2.01	0.0	0.58	8.32	0.0	0.78	0.89	3.59	0.0	6.11	4.82	16.15	10.71	0.0	2.27	3.99
TBC1D3C	25.91	0.0	37.59	42.11	69.52	0.0	2.23	25.35	6.11	40.64	61.68	47.5	381.68	301.33	81.71	19.39	71.0
TCL1B	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	5.23	8.85	49.91	63.0	3.41	0.0	11.3
TET1	6.62	26.67	5.15	1.1	12.09	0.0	3.29	4.1	3.38	7.51	7.94	22.92	67.12	52.08	25.35	48.52	12.83
TIGD1	47.17	50.98	37.32	11.38	28.24	0.0	29.27	21.78	43.32	53.19	91.41	73.54	191.67	158.79	189.02	77.25	52.45
TJAP1	507.46	890.44	450.94	397.93	775.05	0.0	514.56	389.72	607.87	473.41	830.75	802.41	1268.46	1104.13	830.75	1096.5	1096.5
TMEM190	5.06	1.69	0.0	0.0	0.0	0.0	0.19	0.0	6.84	0.0	23.93	23.93	236.21	403.5	159.9	0.0	0.0
TRIM68	279.14	303.44	262.2	187.71	175.07	0.0	239.52	121.79	209.84	212.78	201.25	182.55	753.83	607.87	287.01	575.03	224.97
TSNAXIP1	24.11	59.97	29.27	25.17	39.22	0.0	29.91	15.68	17.0	38.4	81.71	62.12	295.11	301.33	137.14	157.68	109.66
TXNRD3	138.1	151.22	140.04	80.57	131.51	0.0	134.3	93.35	149.12	105.89	201.25	211.31	525.39	323.03	234.57	351.14	172.65
TYRO3	144.01	173.85	113.56	39.79	97.36	0.0	65.26	73.54	27.64	72.52	258.57	178.77	571.05	514.56	518.15	1183.45	281.09
UNC5A	4.13	3.86	2.05	2.1	0.37	0.0	2.2	6.89	1.5	1.77	12.93	21.01	167.9	204.07	21.32	5.77	15.45
VPS45	854.13	1044.52	743.43	555.41	1008.9	0.0	836.53	620.67	813.63	854.13	878.17	981.29	1674.06	1313.23	1051.79	1437.15	791.35
VWA3A	22.43	16.88	4.39	0.53	5.41	0.0	0.61	0.59	2.23	1.69	4.7	43.02	56.28	42.71	105.15	50.63	5.77
ZCCHC7	258.57	239.52	273.37	167.9	214.27	371.22	208.38	237.86	299.25	323.03	403.5	358.54	457.25	466.88	358.54	460.44	297.17
ZFHX2	23.93	64.34	4.98	13.42	55.1	0.0	42.41	15.56	8.51	20.41	35.0	30.34	182.55	139.07	94.01	77.79	199.85
ZNF211	204.07	236.21	148.09	87.03	211.31	0.0	123.5	100.83	129.69	228.13	239.52	135.24	1044.52	884.29	444.72	429.54	253.23
ZNF214	37.32	53.95	40.36	16.39	18.97	0.0	50.63	30.12	78.34	53.19	88.88	65.26	264.03	299.25	56.28	63.89	152.28
ZNF251	249.73	392.44	177.53	148.09	228.13	0.0	154.42	133.36	256.78	293.07	387.02	293.07	733.19	599.49	460.44	679.29	339.14
ZNF254	115.16	77.25	98.73	43.02	84.63	0.0	74.06	153.34	134.3	148.09	173.85	169.07	703.28	363.56	214.27	555.41	199.85
ZNF284	25.72	29.27	22.92	9.78	19.25	10.88	17.38	21.32	12.74	26.86	30.56	27.84	133.36	92.05	39.22	49.56	57.89
ZNF285	49.21	59.97	38.67	27.05	46.18	0.0	47.84	31.22	55.49	51.35	49.91	65.72	339.14	271.48	129.69	169.07	169.07
ZNF30	59.97	70.51	47.5	36.53	41.81	0.0	23.42	18.16	38.4	73.54	53.19	65.72	239.52	156.59	92.05	153.34	42.41
ZNF317	450.94	429.54	327.56	379.04	384.34	0.0	361.04	493.56	389.72	379.04	525.39	571.05	1066.48	759.08	909.17	514.56	836.53
ZNF418	111.99	136.19	67.59	27.25	96.01	0.0	81.14	46.5	88.88	80.01	169.07	81.71	1477.58	1561.89	234.57	974.5	147.06
ZNF419	127.89	128.79	100.83	82.29	111.99	97.36	86.43	68.07	145.02	130.6	156.59	94.01	791.35	384.34	303.44	178.77	164.42
ZNF493	103.69	115.97	90.14	44.89	117.6	43.63	105.15	67.12	91.41	149.12	138.1	100.83	507.46	314.17	105.89	808.0	389.72
ZNF506	205.5	176.29	144.01	131.51	197.09	0.0	186.4	155.5	127.89	217.27	191.67	214.27	1662.49	1059.11	559.28	1008.9	295.11
ZNF529	143.01	181.28	122.64	76.17	187.71	0.0	97.36	100.83	122.64	167.9	244.57	181.28	457.25	309.83	234.57	563.18	202.66
ZNF548	260.38	307.69	153.34	90.14	295.11	0.0	220.32	180.02	229.72	267.73	299.25	171.45	813.63	753.83	273.37	244.57	389.72
ZNF549	72.01	96.01	56.68	60.39	72.01	0.0	76.17	55.1	66.18	61.25	91.41	48.52	438.59	226.54	69.03	175.07	38.67
ZNF566	127.89	144.01	121.79	86.43	120.94	0.0	70.01	65.26	121.79	125.24	157.68	141.02	339.14	249.73	152.28	170.25	137.14
ZNF607	70.51	84.04	50.27	75.64	78.34	0.0	76.17	36.27	67.12	67.12	97.36	72.01	423.61	232.94	75.64	325.29	332.14
ZNF610	48.87	59.55	38.4	5.63	22.43	0.0	66.18	52.45	73.54	51.35	105.15	81.71	384.34	363.56	198.47	187.71	221.86
ZNF814	325.29	258.57	204.07	180.02	204.07	0.0	234.57	260.38	151.22	182.55	204.07	180.02	1583.71	1259.69	483.38	995.0	172.65
ZNF84	275.28	409.15	248.0	164.42	285.03	0.0	186.4	253.23	201.25	299.25	511.0	363.56	890.44	543.96	307.69	595.34	450.94
ZNF91	229.72	141.02	181.28	141.02	218.79	0.0	224.97	193.01	194.36	291.04	353.59	305.55	2119.22	1175.27	185.11	2224.63	718.08
ZRSR2	450.94	486.75	332.14	312.0	567.1	0.0	316.37	237.86	301.33	514.56	748.61	514.56	743.43	665.29	466.88	1119.56	703.28
