	GTEX.WFON.1426.SM.4LVMT	GTEX.147F3.1926.SM.5SIB9	GTEX.X15G.1326.SM.4PQZJ	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.13D11.0826.SM.5KLZJ	GTEX.R55D.1826.SM.48FEF	GTEX.13PL7.2526.SM.5IFGR	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XMK1.1726.SM.4B64Z	GTEX.WOFM.2026.SM.4OOSQ	GTEX.Y3IK.1826.SM.4WWDS	GTEX.Q2AH.1226.SM.48TZL	GTEX.12C56.0626.SM.5EGGC	GTEX.132NY.1226.SM.5PNVF	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.P78B.0926.SM.2I5FA	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	GTEX.QCQG.0526.SM.48U2A	GTEX.WHPG.0426.SM.4M1XW	GTEX.13U4I.2526.SM.5SI8Z	GTEX.POMQ.0826.SM.3P61H
APEH	3564.78	2664.15	3349.13	3103.19	3349.13	2875.3	3212.66	3395.89	3190.46	3081.75	2645.74	3665.02	3564.78	3190.46	1268.46	1909.85	1259.69	1388.16	1487.87	1467.37	1088.92	1417.35	2287.2	836.53	1242.34	1977.24	2209.26	674.59	575.03	1199.98	1963.57	780.44	665.29	2148.82	1508.65	733.19	947.83	1674.06	2178.83	1572.76	1225.22	796.86	1628.26	2502.97	2573.36	2319.15	830.75	1191.69	438.59	1662.49	1044.52	974.5	486.75	3103.19	2485.67	2502.97	2485.67
ASL	4358.66	4152.18	4769.75	3955.48	4010.71	2720.15	5517.27	4038.61	4543.8	4937.99	5041.77	4010.71	3874.05	4358.66	693.58	1030.12	1936.53	866.07	1111.82	1051.79	1159.07	660.68	1498.22	1059.11	713.11	1331.57	1662.49	521.76	387.02	651.58	1159.07	603.67	356.05	1909.85	665.29	651.58	629.35	1151.06	2319.15	1437.15	1208.34	684.02	629.35	1844.76	1322.37	3280.18	454.09	361.04	146.03	2209.26	638.15	708.18	638.15	2384.37	2061.24	1628.26	2018.8
ATOH1	2720.15	2119.22	1001.93	1639.59	4095.0	1733.13	1870.53	2119.22	2163.77	2090.03	2335.28	2956.17	1369.04	2004.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.35
BCKDHB	728.11	813.63	567.1	483.38	769.69	624.99	629.35	748.61	759.08	718.08	693.58	642.59	567.1	674.59	172.65	224.97	226.54	147.06	218.79	182.55	201.25	271.48	202.66	149.12	119.26	175.07	237.86	100.83	119.26	127.0	256.78	150.17	60.39	228.13	178.77	147.06	130.6	191.67	332.14	172.65	182.55	195.72	226.54	269.6	251.48	267.73	140.04	161.02	96.01	157.68	131.51	178.77	143.01	450.94	194.36	339.14	198.47
BCL2L15	3039.3	3467.27	4066.71	2573.36	3467.27	2555.58	4607.24	2855.44	3768.09	5006.93	3742.05	4328.55	3303.0	2537.92	4.86	15.0	271.48	22.59	37.85	16.39	217.27	44.57	65.72	13.93	55.49	334.46	189.02	2.1	8.85	49.56	6.78	88.26	37.85	29.48	44.57	14.67	1.2	24.63	351.14	49.21	1208.34	6.84	40.07	6.67	0.0	40.36	17.25	20.11	6.36	20.11	10.0	2.32	66.65	1397.83	1594.73	684.02	1001.93
BIK	738.29	764.36	961.07	543.96	1191.69	780.44	947.83	791.35	902.89	974.5	819.3	1250.98	802.41	780.44	20.71	85.22	309.83	35.0	34.75	94.67	63.45	44.25	127.89	15.22	21.16	82.29	299.25	97.36	87.65	57.08	75.11	16.75	32.13	111.21	26.47	85.82	13.12	100.83	185.11	29.06	543.96	27.05	70.51	65.26	37.85	110.43	43.63	13.83	38.12	62.56	19.97	24.63	214.27	271.48	587.13	397.93	395.18
C1orf210	3564.78	2520.38	2739.08	3081.75	3257.52	3081.75	3190.46	3018.3	3212.66	2739.08	3372.43	3325.99	3146.52	2537.92	201.25	438.59	339.14	190.34	579.04	124.37	368.65	217.27	1081.39	708.18	141.02	197.09	363.56	119.26	246.28	32.13	126.12	55.1	82.87	529.06	63.89	57.08	80.01	392.44	1167.14	299.25	521.76	82.87	358.54	1104.13	620.67	791.35	197.09	251.48	153.34	470.14	305.55	148.09	157.68	1030.12	934.76	728.11	830.75
C3orf83	285.03	241.19	153.34	253.23	249.73	237.86	253.23	287.01	269.6	221.86	316.37	255.0	217.27	169.07	2.53	63.89	57.08	8.78	8.38	31.0	13.83	28.04	56.68	5.87	4.9	28.04	88.26	0.0	5.36	3.82	23.93	3.66	0.0	18.56	17.25	4.66	4.46	21.94	70.01	19.97	108.9	13.03	75.64	14.78	23.08	62.56	4.66	7.51	1.75	10.63	1.69	7.06	19.82	412.0	293.07	123.5	211.31
C4BPB	476.71	193.01	518.15	258.57	438.59	299.25	432.53	299.25	242.88	507.46	295.11	96.01	293.07	251.48	39.79	450.94	113.56	48.87	45.53	384.34	88.26	149.12	251.48	8.32	88.88	103.69	571.05	9.78	9.13	8.32	81.71	16.51	13.93	98.04	7.94	115.16	18.16	54.72	1870.53	85.82	60.82	127.0	155.5	72.52	28.65	426.57	44.57	194.36	24.63	199.85	26.86	9.7	5.96	159.9	113.56	228.13	98.73
C4orf19	1457.23	1199.98	1304.15	1199.98	1561.89	1583.71	1572.76	1378.57	1594.73	1437.15	1529.73	1259.69	1397.83	1183.45	140.04	532.74	902.89	802.41	72.01	153.34	153.34	22.43	301.33	457.25	61.68	72.52	202.66	237.86	473.41	55.1	34.26	170.25	98.73	87.65	84.04	283.05	24.99	145.02	287.01	121.79	813.63	84.63	36.53	123.5	376.41	136.19	164.42	144.01	97.36	248.0	159.9	106.63	543.96	476.71	884.29	384.34	616.37
C6orf136	2303.12	1936.53	1769.57	1883.54	2209.26	2018.8	2178.83	2090.03	1936.53	1977.24	2255.7	2061.24	1870.53	2004.85	208.38	389.72	358.54	246.28	307.69	409.15	277.2	332.14	395.18	231.32	309.83	332.14	497.0	187.71	98.73	146.03	454.09	232.94	171.45	236.21	262.2	181.28	271.48	579.04	444.72	343.89	271.48	185.11	500.46	412.0	473.41	327.56	92.05	138.1	156.59	242.88	305.55	105.15	202.66	629.35	503.95	647.07	595.34
C9orf152	2335.28	2061.24	1551.09	1572.76	2384.37	1721.16	1870.53	1605.83	2104.58	1794.29	1950.0	2271.4	1781.89	1685.71	44.57	242.88	153.34	32.36	201.25	38.67	103.69	84.04	1015.93	49.21	22.75	211.31	412.0	20.11	31.9	13.42	90.77	8.32	3.14	848.22	21.47	29.27	6.36	679.29	3081.75	31.45	229.72	8.38	111.99	1397.83	1059.11	1350.18	34.26	22.1	54.72	165.57	49.21	20.56	53.19	483.38	341.51	713.11	518.15
CALML4	4972.34	5112.16	5147.73	5219.6	5995.9	5954.47	5954.47	5006.93	5711.87	5672.41	5479.15	5112.16	5366.37	4575.41	186.4	693.58	775.05	417.77	262.2	563.18	234.57	791.35	241.19	131.51	316.37	669.92	1119.56	82.29	303.44	142.01	540.19	187.71	56.68	346.29	314.17	119.26	224.97	521.76	327.56	279.14	1008.9	209.84	753.83	237.86	444.72	426.57	146.03	147.06	82.87	291.04	154.42	162.14	253.23	2178.83	7589.61	1183.45	3060.45
CAMSAP3	1183.45	1008.9	1073.91	1044.52	1199.98	1051.79	1437.15	1135.2	1304.15	1066.48	1233.75	928.3	1037.29	1111.82	121.79	327.56	253.23	144.01	329.84	157.68	218.79	119.26	454.09	332.14	197.09	194.36	316.37	106.63	314.17	77.79	93.35	59.13	81.14	198.47	78.89	94.67	151.22	543.96	500.46	325.29	269.6	148.09	106.63	447.82	299.25	612.11	150.17	119.26	122.64	366.09	166.73	104.42	153.34	693.58	567.1	620.67	769.69
CASP6	1977.24	2004.85	1583.71	1794.29	2434.5	1936.53	2193.99	1883.54	2384.37	2451.44	2384.37	2573.36	1923.14	2018.8	120.1	361.04	403.5	185.11	493.56	293.07	381.68	660.68	435.55	305.55	246.28	403.5	429.54	161.02	169.07	180.02	412.0	260.38	77.25	660.68	253.23	127.0	373.81	529.06	373.81	291.04	314.17	277.2	490.14	476.71	728.11	503.95	239.52	141.02	178.77	332.14	211.31	221.86	159.9	974.5	775.05	733.19	620.67
CCL28	1844.76	2319.15	3257.52	2384.37	2664.15	2664.15	3847.29	3768.09	4575.41	2303.12	3349.13	2163.77	2400.97	1909.85	17.51	151.22	104.42	11.47	129.69	103.69	120.1	293.07	175.07	8.0	8.58	190.34	260.38	11.21	44.57	11.47	173.85	43.94	7.17	115.16	119.26	58.3	13.22	140.04	368.65	84.63	339.14	36.53	153.34	283.05	269.6	314.17	26.86	25.91	5.59	80.01	4.7	5.87	43.63	381.68	2351.53	1199.98	2061.24
CD74	64186.29	69753.56	34158.52	50709.61	27938.14	67377.47	33455.53	83528.61	54349.29	84109.6	62865.33	25530.66	177811.84	110983.6	402881.61	527933.71	726195.27	1196176.45	502929.67	485798.0	682276.92	585779.24	619179.28	419990.32	391864.76	520665.48	757033.75	358098.26	1019901.63	475800.4	482442.34	414208.18	932018.1	475800.4	459592.86	1503610.06	450134.56	453265.5	358098.26	1229805.58	649962.87	741454.2	513497.31	554180.87	610654.84	550352.86	363097.14	593956.43	375901.76	1877002.62	636586.81	1196176.45	531605.79	221968.2	394590.4	286861.53	294926.33
CDH17	17317.18	14561.8	14262.1	16045.82	18950.18	16496.96	16843.62	15715.58	19482.97	15180.22	16045.82	17197.56	15715.58	13586.57	4.24	13.42	22.59	4.7	0.18	13.42	18.16	9.27	0.0	10.55	0.87	56.68	16.75	1.06	4.78	1.01	11.21	28.45	0.0	29.06	3.99	7.28	0.16	2.14	2.34	11.55	55.1	6.26	124.37	0.24	0.0	6.57	0.0	0.97	10.24	0.27	0.18	48.87	55.1	409.15	34.75	733.19	12.0
CDHR2	3540.14	1685.71	3874.05	4123.49	2367.9	3443.31	2997.45	4450.27	2271.4	2400.97	2935.74	1378.57	3955.48	2061.24	0.0	1.57	1.19	0.0	0.17	4.78	7.17	0.72	4.5	0.21	8.78	10.16	39.5	0.0	2.32	13.52	7.22	3.47	0.0	0.0	6.06	3.96	0.0	0.91	31.22	2.07	18.29	4.86	4.31	0.92	0.0	0.21	0.8	0.2	4.82	0.29	1.1	0.27	5.5	457.25	693.58	69.03	890.44
CDHR5	18304.63	11035.54	12943.04	15934.98	16960.78	19082.0	19482.97	16269.83	19754.96	11584.24	18178.19	10959.3	11909.94	10883.59	0.42	4.13	1.11	4.9	2.63	12.36	0.0	0.39	5517.27	2.43	3.2	4.28	6.16	256.78	1.11	11.47	4.7	10.24	4.31	1.07	5.41	4.54	0.42	0.58	15.11	8.51	0.0	3.14	1.66	1.91	3.92	0.0	6.57	0.49	5.63	2.48	3.76	5.02	5.06	1001.93	2075.59	463.65	612.11
CEBPA	221.86	151.22	172.65	189.02	327.56	251.48	271.48	209.84	341.51	409.15	231.32	150.17	244.57	143.01	28.86	65.26	61.68	127.0	18.29	16.88	63.89	17.64	94.01	27.25	17.25	117.6	31.45	66.65	16.39	36.01	25.17	31.0	17.0	30.34	15.11	29.48	13.03	41.52	123.5	59.13	127.89	84.04	40.07	96.01	18.97	55.89	63.0	5.11	36.27	77.25	37.59	53.19	56.28	144.01	48.87	205.5	172.65
CES3	5329.3	4736.79	4607.24	5633.22	5076.84	6250.56	6079.61	5441.3	6381.92	4543.8	6607.01	4575.41	3847.29	5219.6	6.21	503.95	63.45	15.34	22.59	51.35	36.79	34.75	46.18	19.53	14.67	78.34	148.09	19.53	34.51	3.23	63.89	7.82	23.25	121.79	8.25	7.4	6.21	56.68	152.28	19.11	153.34	14.35	31.22	201.25	19.97	152.28	8.45	3.66	22.43	175.07	4.62	8.06	64.34	60.82	2537.92	2018.8	529.06
CHDH	563.18	470.14	409.15	371.22	392.44	406.31	665.29	473.41	559.28	379.04	529.06	483.38	262.2	343.89	35.25	133.36	121.79	299.25	67.59	164.42	69.52	40.07	149.12	103.69	60.39	114.36	37.32	35.0	127.0	65.26	111.21	89.51	34.02	35.5	4.13	73.54	73.03	123.5	239.52	137.14	167.9	269.6	68.07	57.89	111.21	116.78	104.42	6.84	7.57	95.34	12.83	215.77	24.99	137.14	97.36	191.67	180.02
CKMT1A	7382.04	5594.3	7081.29	6337.83	7280.4	6887.62	8191.0	6471.02	8134.41	8778.97	5954.47	9945.68	10296.45	5872.48	7.06	43.63	52.82	237.86	14.24	91.41	90.77	53.95	55.1	11.82	3.41	57.08	165.57	52.08	29.7	2.23	61.68	9.13	0.0	40.36	3.79	6.36	42.11	39.5	457.25	45.53	93.35	6.89	19.68	26.67	52.45	67.12	0.0	4.7	3.11	2.43	41.81	14.14	55.49	4123.49	3540.14	1508.65	2209.26
CKMT1B	8901.53	7642.41	7695.57	6516.03	9409.14	7695.57	9540.5	6607.01	9025.81	9540.5	6887.62	6426.31	8479.89	6516.03	5.41	49.56	167.9	314.17	7.28	107.38	63.89	33.54	61.25	0.84	8.25	58.3	273.37	15.8	32.36	6.06	80.01	36.27	3.76	33.06	2.05	18.03	13.32	18.56	660.68	27.64	387.02	9.48	100.83	16.75	38.4	20.86	3.38	3.82	4.13	8.99	31.67	7.57	29.48	4210.15	4239.45	1745.2	2915.45
CLDN23	1963.57	967.76	1685.71	2303.12	2319.15	2367.9	1832.01	2032.85	2796.65	1119.56	2573.36	974.5	2193.99	1119.56	27.25	273.37	234.57	135.24	314.17	105.15	133.36	91.41	223.41	107.38	37.85	106.63	217.27	43.94	20.71	47.5	101.54	52.82	39.5	269.6	55.1	37.59	71.0	155.5	603.67	45.21	275.28	38.4	181.28	209.84	120.94	575.03	84.04	15.56	10.16	24.46	102.25	26.1	49.21	642.59	629.35	309.83	438.59
COX10	507.46	476.71	480.04	406.31	559.28	384.34	414.87	358.54	423.61	476.71	376.41	540.19	454.09	395.18	156.59	155.5	142.01	150.17	149.12	206.94	175.07	231.32	167.9	89.51	175.07	190.34	198.47	64.8	58.71	159.9	209.84	68.55	72.01	209.84	158.79	84.04	121.79	195.72	218.79	90.77	102.25	67.59	195.72	195.72	237.86	190.34	98.04	99.43	112.77	81.14	87.65	80.57	90.14	438.59	299.25	234.57	253.23
CPT2	1487.87	1259.69	1175.27	1225.22	1583.71	1350.18	1417.35	1477.58	1605.83	1350.18	1529.73	1617.0	1331.57	1250.98	191.67	450.94	381.68	277.2	241.19	244.57	293.07	265.87	511.0	142.01	297.17	435.55	423.61	199.85	78.89	143.01	379.04	161.02	81.71	397.93	224.97	236.21	175.07	363.56	616.37	381.68	334.46	201.25	325.29	486.75	555.41	507.46	165.57	129.69	72.52	412.0	198.47	221.86	209.84	764.36	656.11	599.49	587.13
CREB3L1	4268.94	3280.18	2682.69	2591.27	4704.07	2287.2	2335.28	2758.13	3540.14	3820.7	4903.87	2796.65	3190.46	3212.66	1519.15	836.53	1819.35	2434.5	384.34	511.0	1216.75	368.65	1870.53	728.11	665.29	232.94	371.22	616.37	435.55	226.54	395.18	543.96	191.67	1733.13	106.63	343.89	503.95	551.56	3491.39	1286.18	3794.3	656.11	110.43	3146.52	3039.3	1487.87	305.55	1250.98	309.83	669.92	1397.83	395.18	890.44	2351.53	2997.45	1857.6	2047.0
CYB561D2	1359.57	1151.06	1268.46	1135.2	1268.46	1151.06	1313.23	1066.48	1225.22	1359.57	1369.04	1001.93	1135.2	1104.13	460.44	902.89	551.56	403.5	483.38	624.99	525.39	764.36	713.11	169.07	500.46	848.22	934.76	297.17	163.28	381.68	674.59	267.73	155.5	759.08	647.07	420.68	351.14	718.08	967.76	483.38	532.74	395.18	647.07	769.69	1023.0	988.12	343.89	208.38	173.85	518.15	295.11	297.17	291.04	941.27	896.64	753.83	884.29
CYP3A5	3794.3	2796.65	2209.26	2956.17	3349.13	2997.45	2627.46	3614.55	3235.01	2224.63	3820.7	2240.11	2835.7	3039.3	59.13	50.63	743.43	18.16	137.14	25.35	0.0	77.25	381.68	358.54	88.26	65.72	19.53	836.53	21.94	75.11	237.86	140.04	400.71	104.42	457.25	167.9	107.38	96.01	743.43	460.44	87.03	575.03	209.84	476.71	384.34	169.07	218.79	559.28	1572.76	134.3	368.65	583.07	132.44	3212.66	2976.74	1250.98	3257.52
DDC	3768.09	3955.48	2796.65	2855.44	5112.16	3257.52	3467.27	3146.52	4481.23	4095.0	3742.05	4671.57	2835.7	3443.31	55.1	435.55	78.89	26.1	44.89	68.07	19.11	10.47	123.5	11.55	0.0	38.12	314.17	22.59	0.0	40.07	56.68	11.21	82.87	191.67	15.11	29.06	0.0	99.43	55.49	239.52	126.12	33.06	148.09	136.19	414.87	90.77	122.64	0.0	27.64	15.34	31.67	21.32	4.46	343.89	1923.14	165.57	351.14
DEPTOR	209.84	185.11	262.2	277.2	185.11	190.34	241.19	151.22	165.57	224.97	175.07	228.13	165.57	197.09	71.5	118.43	47.17	27.64	127.89	60.82	273.37	143.01	75.11	47.5	50.27	110.43	432.53	44.57	19.53	15.22	555.41	57.08	1.62	320.8	112.77	20.41	32.82	120.1	555.41	103.69	71.5	13.72	77.79	363.56	194.36	183.82	18.43	22.43	9.56	180.02	20.26	42.41	74.58	1242.34	406.31	366.09	567.1
DHDDS	1685.71	1561.89	1697.45	1540.37	1397.83	1551.09	1709.26	2163.77	1572.76	1617.0	1583.71	1487.87	1883.54	1407.55	493.56	738.29	507.46	432.53	460.44	612.11	536.45	583.07	684.02	289.02	651.58	684.02	624.99	444.72	246.28	486.75	718.08	301.33	204.07	764.36	587.13	423.61	400.71	591.22	708.18	579.04	476.71	497.0	543.96	728.11	830.75	665.29	346.29	351.14	232.94	543.96	327.56	409.15	376.41	796.86	866.07	698.41	748.61
DHRS11	7485.11	5791.62	5751.61	6840.04	8134.41	7130.55	8078.22	8363.13	7911.95	6471.02	6745.86	8078.22	6337.83	5872.48	94.67	186.4	155.5	75.11	125.24	129.69	88.26	318.57	145.02	110.43	132.44	181.28	244.57	97.36	72.52	56.28	180.02	121.79	78.89	97.36	62.12	50.63	128.79	223.41	232.94	187.71	171.45	48.52	273.37	265.87	291.04	100.13	77.25	96.68	10.79	109.66	118.43	111.99	88.88	928.3	620.67	1135.2	819.3
