	GTEX.P4PP.0526.SM.2HMKE	GTEX.O5YW.0526.SM.2YUMX	GTEX.U3ZM.0426.SM.3DB73	GTEX.QDVJ.0926.SM.2I5FU	GTEX.14E7W.1326.SM.5RQIV	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.POMQ.0526.SM.3GADD	GTEX.Y9LG.0526.SM.4VBRY	GTEX.145LS.1226.SM.5Q5D9	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11ZTS.1226.SM.5EQMQ
C11orf73	454.09	420.68	934.76	656.11	271.48	896.64	500.46	463.65	460.44	796.86	633.73	988.12	915.51	312.0	825.0	387.02
C19orf25	376.41	583.07	785.88	633.73	194.36	819.3	450.94	303.44	325.29	718.08	486.75	775.05	743.43	145.02	764.36	226.54
C1orf43	4419.52	4704.07	7695.57	6792.79	2287.2	5183.54	5147.73	3467.27	3690.52	4869.99	3768.09	5672.41	7280.4	3303.0	8421.31	2451.44
C5orf51	165.57	197.09	339.14	241.19	70.01	312.0	199.85	137.14	237.86	251.48	176.29	255.0	265.87	195.72	291.04	115.16
CCDC132	181.28	236.21	279.14	202.66	124.37	293.07	193.01	97.36	206.94	281.09	231.32	336.79	241.19	178.77	229.72	104.42
CCDC90B	460.44	483.38	872.1	633.73	295.11	915.51	444.72	309.83	258.57	753.83	540.19	1119.56	791.35	287.01	669.92	412.0
CHCHD4	327.56	244.57	356.05	312.0	71.0	323.03	208.38	202.66	190.34	271.48	423.61	389.72	332.14	163.28	371.22	145.02
CHMP4A	1378.57	1447.15	2591.27	2075.59	981.29	1991.0	1662.49	1359.57	1583.71	2119.22	1819.35	2537.92	2451.44	698.41	2178.83	1135.2
COG6	195.72	194.36	269.6	218.79	104.42	316.37	201.25	93.35	166.73	212.78	144.01	234.57	397.93	223.41	205.5	110.43
COPS3	1457.23	785.88	1977.24	1685.71	473.41	1745.2	796.86	651.58	450.94	1467.37	1127.35	1870.53	1651.0	934.76	1350.18	336.79
COPS5	884.29	791.35	1936.53	1286.18	412.0	1651.0	753.83	629.35	660.68	1369.04	1023.0	1427.22	1457.23	583.07	1191.69	587.13
COX7A2	5366.37	2875.3	15499.21	10154.69	4607.24	9808.75	4419.52	5292.48	4769.75	6652.97	4704.07	8134.41	13033.07	2739.08	8022.41	3716.2
DAD1	4450.27	4268.94	10014.87	7180.15	4937.99	10440.2	4388.98	5517.27	4769.75	7642.41	4512.4	10512.82	8363.13	3419.52	8718.32	3716.2
DDX1	1639.59	1037.29	1844.76	1662.49	536.45	1594.73	1008.9	651.58	651.58	1662.49	1008.9	2119.22	1870.53	1175.27	1369.04	579.04
DDX49	629.35	441.64	1216.75	909.17	208.38	1073.91	529.06	297.17	368.65	878.17	698.41	1015.93	1159.07	303.44	934.76	336.79
DDX50	599.49	473.41	629.35	587.13	255.0	595.34	414.87	336.79	260.38	693.58	633.73	698.41	497.0	348.71	587.13	348.71
DDX55	256.78	153.34	358.54	218.79	96.68	221.86	190.34	137.14	165.57	318.57	226.54	320.8	348.71	138.1	309.83	124.37
DERL2	988.12	928.3	2032.85	1617.0	728.11	1832.01	1159.07	764.36	791.35	1923.14	1159.07	2240.11	1519.15	1088.92	1794.29	738.29
DGCR14	199.85	363.56	301.33	271.48	142.01	318.57	332.14	231.32	165.57	269.6	450.94	341.51	341.51	115.97	329.84	155.5
DNAJC15	620.67	212.78	842.36	406.31	150.17	575.03	571.05	348.71	120.1	780.44	172.65	769.69	1119.56	197.09	575.03	154.42
DNLZ	218.79	497.0	423.61	271.48	154.42	307.69	193.01	186.4	181.28	348.71	896.64	460.44	392.44	100.13	351.14	106.63
DOLPP1	177.53	231.32	363.56	303.44	85.82	323.03	173.85	114.36	167.9	334.46	165.57	400.71	314.17	180.02	297.17	122.64
EMG1	836.53	651.58	1457.23	1540.37	660.68	896.64	961.07	733.19	669.92	1104.13	753.83	1685.71	1397.83	753.83	1397.83	483.38
ESF1	218.79	146.03	291.04	232.94	68.55	208.38	154.42	78.34	96.01	242.88	161.02	297.17	258.57	110.43	228.13	75.64
FAM103A1	503.95	403.5	612.11	559.28	209.84	579.04	371.22	244.57	246.28	473.41	392.44	620.67	603.67	275.28	395.18	176.29
FAM122A	231.32	239.52	307.69	256.78	103.69	281.09	176.29	123.5	149.12	285.03	211.31	327.56	289.02	136.19	242.88	147.06
FAM35A	432.53	297.17	583.07	460.44	190.34	435.55	275.28	146.03	217.27	450.94	325.29	547.75	387.02	329.84	334.46	228.13
FBXO45	177.53	80.01	256.78	193.01	32.13	195.72	60.39	39.5	34.75	182.55	91.41	236.21	217.27	86.43	186.4	18.03
FICD	178.77	126.12	226.54	205.5	77.79	194.36	90.14	90.14	86.43	205.5	87.65	231.32	204.07	105.15	177.53	33.54
GTF2H4	309.83	262.2	358.54	329.84	212.78	381.68	348.71	221.86	316.37	406.31	476.71	616.37	511.0	223.41	503.95	239.52
HAX1	1963.57	1819.35	2451.44	2701.35	1073.91	2163.77	2133.97	1259.69	1551.09	2485.67	2287.2	2224.63	3349.13	1175.27	2609.3	1008.9
HNRNPA1L2	100.83	80.01	193.01	178.77	63.0	137.14	99.43	69.03	76.71	164.42	190.34	190.34	170.25	99.43	143.01	71.0
HNRNPUL2	656.11	802.41	842.36	836.53	368.65	764.36	638.15	217.27	693.58	703.28	819.3	1088.92	902.89	503.95	974.5	571.05
JRKL	73.54	96.68	175.07	131.51	28.45	136.19	111.21	28.04	92.05	115.16	84.63	197.09	185.11	75.11	152.28	64.34
KIAA1586	87.03	53.95	135.24	88.88	45.21	83.45	44.25	45.85	52.45	115.97	26.1	148.09	120.1	55.49	92.7	78.34
LAMTOR3	830.75	759.08	1950.0	1350.18	490.14	1175.27	1081.39	674.59	890.44	1135.2	674.59	1529.73	1447.15	1208.34	1340.84	536.45
LAMTOR5	3060.45	1769.57	7803.01	6164.49	2075.59	5995.9	3665.02	4152.18	3614.55	4038.61	3589.58	5831.91	6935.54	4010.71	6121.9	1883.54
LEPREL4	50.98	123.5	169.07	260.38	62.56	234.57	181.28	56.68	86.43	176.29	97.36	255.0	457.25	96.68	403.5	97.36
LSM7	1437.15	780.44	1963.57	2758.13	921.88	2468.49	1628.26	1662.49	1498.22	2451.44	2209.26	2573.36	3081.75	1059.11	2956.17	1322.37
LYAR	507.46	217.27	587.13	480.04	167.9	575.03	336.79	336.79	285.03	521.76	493.56	547.75	490.14	273.37	466.88	400.71
MECR	395.18	341.51	480.04	432.53	281.09	414.87	343.89	212.78	320.8	490.14	406.31	674.59	698.41	307.69	392.44	255.0
MED17	281.09	297.17	660.68	518.15	136.19	651.58	341.51	132.44	323.03	567.1	305.55	638.15	575.03	194.36	473.41	241.19
METTL2A	297.17	212.78	358.54	351.14	111.99	312.0	239.52	175.07	127.89	303.44	183.82	409.15	490.14	205.5	314.17	96.68
MFAP1	674.59	575.03	708.18	656.11	273.37	780.44	483.38	316.37	412.0	575.03	529.06	753.83	684.02	389.72	642.59	269.6
MLEC	1447.15	1081.39	1936.53	1721.16	511.0	1936.53	988.12	1081.39	1242.34	2004.85	1051.79	2163.77	1628.26	1030.12	1583.71	728.11
MRPL50	400.71	221.86	332.14	258.57	112.77	287.01	215.77	190.34	153.34	323.03	209.84	309.83	400.71	229.72	267.73	125.24
MRPS17	353.59	232.94	493.56	447.82	105.89	384.34	291.04	109.66	126.12	397.93	269.6	476.71	518.15	119.26	353.59	82.87
MRPS22	785.88	647.07	1322.37	909.17	265.87	1059.11	633.73	420.68	381.68	974.5	674.59	1167.14	1369.04	551.56	802.41	356.05
MTERF	107.38	78.89	193.01	127.89	66.65	145.02	88.26	31.9	85.22	147.06	92.7	205.5	164.42	67.12	121.79	35.5
MTERFD1	283.05	248.0	454.09	341.51	114.36	343.89	249.73	137.14	201.25	414.87	312.0	500.46	392.44	180.02	356.05	105.89
MTMR9	121.79	72.01	148.09	137.14	73.54	135.24	65.72	47.5	58.71	131.51	110.43	127.0	113.56	80.01	123.5	66.18
NDUFAB1	1572.76	1295.13	2351.53	2627.46	1096.5	2997.45	1457.23	1583.71	1350.18	2537.92	2133.97	2720.15	4010.71	1745.2	2148.82	1143.1
NDUFAF4	848.22	273.37	1051.79	620.67	356.05	595.34	265.87	248.0	182.55	713.11	341.51	1023.0	780.44	476.71	679.29	224.97
NGLY1	403.5	314.17	647.07	543.96	201.25	463.65	271.48	166.73	229.72	543.96	343.89	642.59	466.88	336.79	525.39	228.13
NKIRAS2	599.49	684.02	738.29	866.07	435.55	769.69	860.08	457.25	358.54	836.53	647.07	825.0	1151.06	571.05	860.08	511.0
NOL11	497.0	327.56	703.28	603.67	325.29	660.68	371.22	226.54	217.27	842.36	414.87	878.17	571.05	379.04	620.67	204.07
NRBP1	1191.69	1081.39	1733.13	1369.04	830.75	1388.16	1498.22	988.12	1388.16	1639.59	1417.35	1870.53	1896.65	511.0	1769.57	1088.92
NUBP2	633.73	1073.91	1447.15	1088.92	343.89	1359.57	872.1	503.95	915.51	1277.29	1233.75	1519.15	1733.13	312.0	1119.56	366.09
NUP35	299.25	166.73	361.04	209.84	81.14	258.57	141.02	120.94	98.73	320.8	214.27	351.14	248.0	172.65	255.0	63.89
ORC5	125.24	152.28	237.86	190.34	83.45	226.54	183.82	79.45	140.04	201.25	140.04	299.25	334.46	152.28	204.07	77.79
PCMT1	1697.45	1250.98	2163.77	1733.13	563.18	1923.14	1111.82	848.22	1175.27	1757.34	1397.83	1781.89	1769.57	819.3	1896.65	1073.91
PCNXL4	258.57	339.14	420.68	356.05	181.28	348.71	249.73	104.42	239.52	361.04	269.6	397.93	486.75	271.48	447.82	204.07
PHF5A	1331.57	759.08	1378.57	1268.46	412.0	1151.06	764.36	669.92	438.59	866.07	909.17	902.89	1745.2	669.92	1709.26	327.56
PISD	1369.04	540.19	1044.52	802.41	642.59	642.59	848.22	620.67	547.75	1350.18	928.3	836.53	1037.29	511.0	1073.91	583.07
PJA1	327.56	483.38	571.05	376.41	303.44	563.18	287.01	301.33	412.0	543.96	339.14	693.58	493.56	248.0	454.09	314.17
PLCD4	41.52	32.13	29.27	36.79	13.32	31.67	33.3	9.2	17.0	24.28	36.01	27.25	52.45	9.93	38.67	14.89
POLR2G	1437.15	1259.69	2609.3	2004.85	1030.12	2319.15	2032.85	1015.93	1304.15	2061.24	1551.09	2573.36	3419.52	896.64	2209.26	728.11
PRKRA	738.29	769.69	1745.2	947.83	392.44	954.43	660.68	638.15	723.08	967.76	836.53	1225.22	1208.34	684.02	1199.98	490.14
PRMT5	1081.39	679.29	1151.06	1242.34	426.57	1066.48	595.34	629.35	536.45	1183.45	896.64	1127.35	1519.15	878.17	1397.83	420.68
PSMC5	2520.38	1870.53	3847.29	3467.27	1199.98	3665.02	2451.44	1605.83	1551.09	2895.31	3060.45	4066.71	3665.02	1096.5	2664.15	1745.2
PTCD1	111.21	109.66	127.0	142.01	49.56	146.03	117.6	61.68	82.87	134.3	115.97	120.94	146.03	75.64	146.03	53.95
PTS	264.03	251.48	665.29	441.64	187.71	607.87	356.05	226.54	189.02	529.06	420.68	660.68	802.41	320.8	532.74	214.27
RAG1	36.53	17.25	23.93	8.92	2.29	23.08	4.06	2.51	5.77	5.73	18.29	18.16	22.1	0.0	29.06	8.38
RBBP5	215.77	205.5	244.57	212.78	78.89	244.57	148.09	94.01	114.36	242.88	199.85	248.0	201.25	127.0	202.66	96.01
RBM28	320.8	169.07	258.57	271.48	135.24	237.86	208.38	109.66	175.07	307.69	277.2	397.93	417.77	169.07	417.77	229.72
RCE1	473.41	417.77	583.07	447.82	215.77	532.74	318.57	239.52	255.0	607.87	500.46	595.34	579.04	255.0	796.86	214.27
RNF185	780.44	764.36	1088.92	902.89	305.55	759.08	624.99	432.53	353.59	738.29	796.86	896.64	785.88	713.11	1066.48	334.46
RNF25	525.39	563.18	633.73	674.59	356.05	473.41	514.56	366.09	339.14	665.29	679.29	583.07	616.37	318.57	587.13	301.33
RPP30	483.38	444.72	830.75	629.35	389.72	723.08	447.82	329.84	318.57	665.29	529.06	884.29	791.35	483.38	679.29	271.48
RPP38	454.09	234.57	693.58	551.56	127.89	547.75	356.05	182.55	327.56	551.56	521.76	591.22	447.82	309.83	392.44	152.28
RPP40	106.63	48.87	195.72	147.06	35.5	164.42	59.13	32.36	27.25	162.14	55.49	209.84	221.86	32.59	100.13	33.78
RPUSD4	483.38	287.01	417.77	314.17	182.55	316.37	281.09	159.9	149.12	403.5	325.29	444.72	379.04	205.5	392.44	153.34
RSL1D1	4358.66	1651.0	3280.18	2664.15	1250.98	2075.59	2047.0	1963.57	1605.83	2367.9	2240.11	2148.82	2777.33	2004.85	2796.65	1594.73
RTCA	351.14	426.57	525.39	551.56	236.21	470.14	438.59	297.17	389.72	490.14	361.04	647.07	780.44	414.87	647.07	291.04
RTFDC1	2287.2	1697.45	2502.97	2255.7	1467.37	2451.44	1781.89	1674.06	1508.65	2520.38	2193.99	2664.15	2075.59	1159.07	2434.5	1685.71
SAAL1	173.85	114.36	256.78	189.02	95.34	178.77	157.68	82.87	120.1	206.94	183.82	218.79	244.57	108.14	180.02	93.35
SCNM1	536.45	511.0	974.5	1030.12	246.28	921.88	890.44	529.06	511.0	1127.35	1044.52	1044.52	1135.2	221.86	1135.2	480.04
SFTPA2	6014443.23	4023444.33	3134925.09	3940643.03	118949.35	2126426.15	4851500.88	4079609.54	5308966.95	3313672.43	5163792.94	1229805.58	1393227.06	2053992.24	1524599.69	57448.23
SLC25A33	189.02	105.15	199.85	169.07	44.89	117.6	81.14	85.22	53.19	157.68	158.79	137.14	167.9	115.97	165.57	26.28
TFCP2	327.56	334.46	429.54	336.79	138.1	409.15	303.44	170.25	269.6	460.44	373.81	480.04	361.04	209.84	381.68	159.9
THAP1	156.59	153.34	293.07	208.38	63.0	223.41	127.0	69.52	102.97	229.72	146.03	248.0	169.07	76.71	205.5	66.65
TMEM126A	775.05	438.59	1350.18	915.51	473.41	941.27	595.34	583.07	480.04	967.76	748.61	866.07	1427.22	764.36	1073.91	368.65
TMEM242	74.06	130.6	157.68	142.01	82.87	167.9	142.01	102.97	85.82	145.02	102.97	177.53	201.25	66.65	201.25	92.05
TMEM5	258.57	199.85	366.09	332.14	139.07	293.07	177.53	156.59	165.57	336.79	234.57	420.68	371.22	204.07	262.2	115.16
TMEM69	320.8	234.57	497.0	384.34	125.24	441.64	384.34	182.55	260.38	366.09	277.2	656.11	693.58	363.56	348.71	190.34
TMX2	2075.59	1745.2	2645.74	2335.28	1191.69	2193.99	1477.58	1407.55	1313.23	2468.49	2018.8	2664.15	2664.15	1159.07	2303.12	1295.13
TPD52L2	1662.49	1628.26	2335.28	2468.49	915.51	2047.0	1936.53	1369.04	1378.57	2351.53	1583.71	2303.12	2627.46	1551.09	3349.13	1216.75
TRAPPC6B	206.94	353.59	417.77	339.14	167.9	373.81	320.8	232.94	275.28	348.71	332.14	348.71	571.05	303.44	392.44	228.13
TRMT61A	277.2	182.55	279.14	211.31	100.13	204.07	120.1	121.79	155.5	384.34	264.03	283.05	264.03	156.59	336.79	70.01
TTC1	1167.14	915.51	1662.49	1359.57	329.84	1572.76	854.13	743.43	753.83	1369.04	1143.1	1745.2	1199.98	759.08	1242.34	511.0
TTC4	441.64	253.23	497.0	532.74	246.28	348.71	285.03	198.47	218.79	463.65	387.02	599.49	483.38	327.56	476.71	265.87
TXNL1	1225.22	723.08	2075.59	1447.15	688.78	1923.14	1088.92	703.28	769.69	1662.49	934.76	2047.0	1697.45	785.88	1487.87	665.29
UBE2J2	1066.48	842.36	1350.18	1037.29	551.56	1259.69	1088.92	988.12	934.76	1447.15	1378.57	1639.59	1437.15	759.08	1477.58	620.67
UTP14A	384.34	204.07	312.0	295.11	140.04	267.73	234.57	165.57	128.79	376.41	297.17	336.79	356.05	183.82	305.55	132.44
WDR5	466.88	447.82	525.39	511.0	101.54	493.56	366.09	320.8	409.15	497.0	500.46	514.56	551.56	301.33	607.87	191.67
YARS2	206.94	171.45	460.44	379.04	115.16	379.04	244.57	126.12	135.24	389.72	211.31	432.53	361.04	241.19	329.84	114.36
ZFP69	41.22	59.13	78.34	63.89	21.47	60.39	40.64	18.84	35.0	88.88	45.85	82.29	51.35	38.95	59.55	34.51
ZFPL1	624.99	620.67	1015.93	743.43	454.09	961.07	674.59	470.14	723.08	836.53	981.29	941.27	902.89	450.94	753.83	323.03
ZNF180	81.71	96.68	159.9	111.21	27.44	118.43	74.06	36.01	42.71	117.6	87.03	111.99	110.43	55.1	92.7	29.91
ZNF2	34.02	43.32	72.01	55.89	11.13	55.1	38.12	14.35	32.59	59.13	42.71	63.89	65.26	20.71	49.56	21.32
ZNF205	120.1	303.44	228.13	289.02	96.01	224.97	144.01	85.82	175.07	195.72	234.57	239.52	297.17	76.17	403.5	103.69
ZNF212	120.94	138.1	202.66	158.79	63.89	195.72	153.34	58.3	100.83	169.07	144.01	195.72	164.42	98.73	161.02	49.21
ZNF225	33.54	26.28	61.68	36.01	17.38	45.21	44.89	24.11	28.24	42.71	46.18	46.18	61.68	22.1	47.5	24.11
ZNF30	26.67	38.4	50.98	48.18	64.8	33.54	34.75	14.03	37.59	36.01	25.72	84.04	76.17	18.7	62.12	23.76
ZNF425	34.02	39.79	33.78	39.22	4.86	37.32	36.01	15.0	20.11	51.35	40.36	36.79	39.79	4.82	54.72	7.94
ZNF470	26.47	36.01	105.15	49.91	15.68	36.53	31.22	18.16	39.79	102.25	71.5	94.01	52.45	12.36	90.77	14.35
ZNF501	32.13	37.59	64.8	44.25	6.31	48.87	50.98	20.71	40.36	63.89	40.36	85.22	115.16	17.51	43.32	13.03
ZNF549	48.52	53.19	177.53	53.19	25.54	78.89	29.27	19.68	29.06	114.36	65.72	151.22	72.01	14.24	144.01	20.26
ZNF561	293.07	332.14	483.38	323.03	146.03	460.44	305.55	202.66	258.57	341.51	264.03	693.58	674.59	281.09	412.0	194.36
ZNF582	62.56	45.85	107.38	52.82	14.45	80.01	14.45	35.5	60.82	132.44	99.43	134.3	59.55	14.56	97.36	17.9
ZNF613	72.52	68.55	150.17	146.03	11.21	95.34	67.59	54.33	50.27	100.83	105.89	144.01	88.26	53.57	98.73	39.22
ZNF713	89.51	64.34	38.95	53.19	14.78	41.52	30.34	25.17	27.44	39.22	38.4	63.89	55.49	9.56	53.19	21.16
ZNF844	18.97	59.55	80.01	76.71	20.26	86.43	50.63	41.81	52.45	40.64	37.85	70.01	85.82	30.12	121.79	28.24
ZSCAN21	155.5	148.09	212.78	136.19	56.68	199.85	133.36	69.03	92.05	139.07	118.43	185.11	167.9	110.43	147.06	71.5
ZSCAN25	162.14	141.02	202.66	185.11	67.12	208.38	152.28	112.77	100.13	208.38	172.65	173.85	220.32	92.05	172.65	80.01
ZW10	177.53	162.14	264.03	211.31	81.71	249.73	125.24	92.05	112.77	223.41	143.01	336.79	232.94	120.94	194.36	93.35
