	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.XBEW.1926.SM.4SOJO	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.G3.A3CI.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.HU.A4H6.01A.11R.A251.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.IN.8462.01A.11R.2343.13	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.HU.8244.01A.11R.2343.13	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.13113.0726.SM.5LZUF	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZVP2.1626.SM.5GU5D	GTEX.ZF2S.1426.SM.57WET	GTEX.1122O.1926.SM.5EGIQ	GTEX.ZXES.1426.SM.5NQ8S	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.Y8LW.0826.SM.4WWDO	GTEX.S4UY.1626.SM.4AD55	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A45E.01A.11R.A32Y.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
NACC1	339.14	232.94	457.25	409.15	684.02	629.35	941.27	500.46	723.08	684.02	536.45	406.31	129.69	480.04	403.5	470.14	387.02	414.87	860.08	713.11	624.99	480.04	703.28	466.88	738.29	441.64	379.04	329.84	199.85	507.46	291.04	339.14	256.78	244.57	244.57	236.21	173.85	246.28	301.33	181.28	167.9	242.88	309.83	305.55	201.25	231.32	258.57	166.73	150.17	265.87	206.94	199.85	159.9	921.88	785.88	860.08	764.36	559.28	896.64	679.29	575.03	1051.79	684.02	571.05	1151.06	674.59	791.35	708.18	587.13	559.28	1015.93	830.75	819.3	1059.11	616.37	759.08	759.08	529.06	759.08	583.07	813.63	603.67	567.1	540.19	476.71	559.28	603.67	536.45	647.07	358.54	483.38	305.55	532.74	486.75	432.53	616.37	559.28	435.55	476.71	603.67	567.1	567.1	463.65
NBEAL2	112.77	120.1	1977.24	180.02	591.22	329.84	486.75	507.46	242.88	194.36	813.63	358.54	171.45	454.09	866.07	248.0	1066.48	182.55	409.15	170.25	366.09	169.07	201.25	444.72	708.18	316.37	303.44	148.09	221.86	808.0	120.94	400.71	133.36	182.55	145.02	85.82	131.51	147.06	154.42	120.1	96.68	325.29	109.66	497.0	205.5	104.42	57.08	148.09	251.48	327.56	139.07	262.2	35.5	4869.99	638.15	2502.97	2520.38	934.76	2502.97	1674.06	1745.2	3639.7	5006.93	2367.9	1350.18	3794.3	2400.97	1561.89	791.35	1119.56	2090.03	3690.52	1628.26	1857.6	791.35	1447.15	1216.75	1322.37	1388.16	1617.0	1674.06	954.43	1175.27	1583.71	769.69	819.3	1467.37	1268.46	1378.57	361.04	444.72	206.94	249.73	429.54	1572.76	291.04	536.45	275.28	587.13	309.83	295.11	532.74	258.57
NCAPD2	74.58	67.59	532.74	236.21	162.14	180.02	134.3	246.28	234.57	193.01	285.03	253.23	37.05	218.79	316.37	149.12	384.34	202.66	239.52	87.03	172.65	156.59	150.17	157.68	269.6	224.97	146.03	116.78	63.89	187.71	94.67	121.79	82.29	119.26	85.82	60.39	59.55	88.88	69.03	53.57	105.89	157.68	45.53	120.94	106.63	49.21	113.56	70.51	121.79	186.4	46.84	76.17	36.01	896.64	723.08	693.58	713.11	607.87	412.0	2032.85	507.46	684.02	493.56	389.72	698.41	638.15	1015.93	665.29	540.19	540.19	591.22	1407.55	1051.79	961.07	289.02	470.14	392.44	432.53	454.09	323.03	239.52	423.61	299.25	417.77	343.89	497.0	470.14	444.72	532.74	226.54	173.85	244.57	170.25	217.27	384.34	234.57	232.94	228.13	231.32	312.0	221.86	167.9	343.89
NCOA3	133.36	91.41	183.82	202.66	140.04	135.24	146.03	201.25	341.51	167.9	163.28	242.88	29.7	253.23	271.48	93.35	163.28	253.23	87.65	91.41	80.57	76.17	90.14	116.78	175.07	125.24	295.11	90.77	88.88	155.5	133.36	90.77	79.45	138.1	114.36	74.06	106.63	103.69	92.05	52.45	163.28	96.68	100.13	164.42	147.06	94.67	86.43	61.68	115.97	170.25	96.01	103.69	99.43	629.35	633.73	429.54	633.73	400.71	414.87	463.65	656.11	221.86	341.51	289.02	275.28	476.71	361.04	679.29	285.03	381.68	381.68	583.07	301.33	325.29	271.48	353.59	289.02	293.07	199.85	305.55	511.0	358.54	221.86	368.65	287.01	277.2	332.14	323.03	236.21	242.88	202.66	248.0	260.38	249.73	281.09	336.79	231.32	273.37	229.72	334.46	239.52	223.41	187.71
NUAK2	25.17	34.26	397.93	59.97	138.1	769.69	309.83	490.14	217.27	406.31	309.83	41.81	16.39	629.35	57.49	110.43	93.35	100.13	162.14	87.03	138.1	143.01	67.12	447.82	633.73	124.37	226.54	9.7	28.24	46.18	34.51	26.1	76.17	26.67	53.95	26.47	50.27	76.71	77.79	10.39	12.55	32.36	35.5	89.51	21.01	40.93	14.45	41.22	16.27	138.1	27.84	63.89	33.06	180.02	185.11	90.14	208.38	153.34	191.67	738.29	204.07	135.24	78.34	249.73	99.43	183.82	379.04	148.09	226.54	283.05	172.65	186.4	1119.56	138.1	44.57	153.34	99.43	92.7	75.64	87.03	91.41	273.37	81.14	130.6	130.6	135.24	170.25	96.01	170.25	38.67	244.57	138.1	332.14	166.73	186.4	94.67	94.01	128.79	94.01	178.77	229.72	43.02	133.36
NUP188	165.57	132.44	346.29	316.37	150.17	232.94	143.01	256.78	253.23	197.09	220.32	121.79	20.71	277.2	327.56	244.57	325.29	236.21	320.8	329.84	281.09	211.31	202.66	215.77	287.01	248.0	220.32	173.85	126.12	346.29	140.04	197.09	128.79	132.44	107.38	106.63	121.79	111.99	94.01	73.03	153.34	253.23	126.12	158.79	165.57	92.7	85.22	88.26	208.38	101.54	169.07	127.0	100.83	988.12	529.06	559.28	780.44	728.11	647.07	1096.5	624.99	669.92	1081.39	1119.56	624.99	466.88	723.08	708.18	753.83	540.19	733.19	1051.79	688.78	909.17	341.51	363.56	384.34	239.52	287.01	297.17	483.38	358.54	447.82	493.56	285.03	327.56	366.09	559.28	406.31	327.56	258.57	269.6	426.57	500.46	486.75	647.07	473.41	400.71	204.07	429.54	466.88	212.78	698.41
OVOL1	2.78	3.76	743.43	21.94	208.38	267.73	327.56	124.37	195.72	583.07	224.97	12.0	47.84	94.67	23.42	14.45	33.78	7.22	4.54	34.51	1.3	44.89	28.86	8.19	170.25	28.45	7.06	2.07	36.27	22.1	0.0	0.0	0.0	2.16	6.01	1.53	1.71	11.73	2.78	11.3	0.0	0.0	3.14	3.38	0.0	0.46	2.78	0.4	2.68	7.06	0.0	0.58	2.48	92.7	218.79	79.45	24.81	60.39	147.06	283.05	16.27	100.83	161.02	518.15	82.29	273.37	183.82	90.77	239.52	182.55	98.73	159.9	287.01	175.07	24.63	102.97	34.51	72.52	140.04	59.13	51.35	88.26	138.1	73.54	149.12	58.3	123.5	89.51	112.77	11.55	9.48	27.64	38.95	23.08	6.46	6.11	23.76	42.11	77.79	13.32	16.75	52.82	8.92
PELI1	92.7	55.1	412.0	201.25	123.5	84.63	77.79	154.42	114.36	113.56	105.89	140.04	50.98	271.48	142.01	97.36	224.97	176.29	88.88	105.15	79.45	43.94	113.56	129.69	75.64	161.02	229.72	115.16	110.43	314.17	83.45	182.55	162.14	116.78	84.63	56.68	129.69	208.38	104.42	49.21	82.29	64.8	74.58	159.9	92.05	53.95	33.78	45.21	88.26	220.32	84.04	77.79	98.73	616.37	444.72	603.67	595.34	336.79	575.03	395.18	638.15	341.51	665.29	860.08	346.29	660.68	591.22	417.77	733.19	457.25	447.82	860.08	403.5	429.54	185.11	348.71	493.56	457.25	323.03	473.41	665.29	348.71	327.56	620.67	281.09	228.13	341.51	480.04	334.46	197.09	129.69	92.05	146.03	158.79	348.71	187.71	674.59	143.01	90.14	171.45	167.9	239.52	143.01
PHC3	90.77	52.08	136.19	165.57	95.34	81.71	39.22	149.12	180.02	159.9	119.26	183.82	55.89	267.73	218.79	96.01	180.02	89.51	55.49	83.45	217.27	110.43	88.88	55.49	139.07	103.69	99.43	48.18	37.32	96.01	40.07	71.5	45.53	56.68	81.14	32.82	49.21	56.68	59.13	46.18	96.68	62.56	59.55	68.07	106.63	61.25	31.0	66.18	175.07	59.13	49.56	54.72	77.79	1313.23	607.87	679.29	543.96	412.0	909.17	563.18	872.1	624.99	312.0	457.25	406.31	607.87	780.44	612.11	334.46	409.15	775.05	698.41	441.64	314.17	450.94	514.56	332.14	295.11	146.03	283.05	403.5	629.35	525.39	708.18	255.0	540.19	454.09	555.41	483.38	182.55	102.25	125.24	164.42	122.64	101.54	194.36	142.01	129.69	119.26	226.54	137.14	90.77	169.07
PHLDA2	29.48	19.82	518.15	53.57	500.46	10.16	47.84	60.39	20.56	12.18	53.95	11.04	7.88	62.12	46.5	195.72	54.72	14.78	51.35	78.34	125.24	35.0	138.1	23.59	1447.15	127.0	178.77	13.62	25.91	353.59	9.27	47.5	27.64	22.75	13.93	31.0	29.06	135.24	72.52	39.79	38.4	21.16	16.75	57.08	26.1	0.0	13.93	8.32	18.84	50.27	32.36	9.48	19.82	1051.79	2627.46	2090.03	406.31	2133.97	4419.52	743.43	909.17	1135.2	1388.16	5672.41	1183.45	217.27	638.15	1896.65	1015.93	2090.03	785.88	785.88	909.17	3742.05	305.55	470.14	476.71	239.52	738.29	400.71	480.04	218.79	395.18	305.55	285.03	403.5	251.48	607.87	206.94	397.93	486.75	182.55	289.02	703.28	287.01	703.28	575.03	113.56	75.11	70.51	432.53	228.13	607.87
PHRF1	346.29	320.8	447.82	305.55	305.55	256.78	476.71	389.72	221.86	206.94	409.15	159.9	29.27	220.32	277.2	208.38	265.87	126.12	241.19	195.72	271.48	244.57	269.6	253.23	244.57	145.02	301.33	221.86	218.79	228.13	289.02	244.57	248.0	275.28	275.28	287.01	205.5	212.78	246.28	392.44	316.37	358.54	202.66	325.29	379.04	251.48	232.94	228.13	256.78	289.02	275.28	320.8	246.28	486.75	381.68	412.0	460.44	334.46	389.72	441.64	320.8	392.44	316.37	336.79	277.2	353.59	417.77	511.0	336.79	381.68	497.0	466.88	387.02	361.04	258.57	339.14	305.55	305.55	217.27	341.51	563.18	348.71	429.54	470.14	289.02	299.25	220.32	353.59	368.65	255.0	206.94	211.31	206.94	279.14	371.22	248.0	214.27	258.57	305.55	185.11	248.0	221.86	316.37
PIAS3	137.14	89.51	444.72	409.15	157.68	289.02	167.9	214.27	307.69	239.52	258.57	353.59	34.02	397.93	414.87	204.07	281.09	301.33	264.03	150.17	260.38	145.02	173.85	201.25	392.44	218.79	373.81	171.45	183.82	397.93	123.5	161.02	107.38	153.34	138.1	86.43	76.17	95.34	126.12	65.72	95.34	129.69	68.07	187.71	158.79	46.84	94.01	77.79	125.24	201.25	109.66	109.66	82.29	842.36	995.0	878.17	759.08	507.46	555.41	624.99	878.17	454.09	500.46	1111.82	1015.93	941.27	921.88	718.08	457.25	915.51	718.08	651.58	872.1	543.96	483.38	961.07	497.0	460.44	497.0	1073.91	607.87	764.36	633.73	1208.34	514.56	1096.5	967.76	1225.22	688.78	429.54	366.09	392.44	463.65	638.15	540.19	536.45	808.0	447.82	265.87	486.75	379.04	348.71	327.56
PIGA	94.01	99.43	141.02	56.68	297.17	61.68	162.14	497.0	159.9	100.83	289.02	43.32	166.73	156.59	108.14	52.08	115.16	59.13	49.56	127.0	62.12	76.71	56.68	48.18	96.68	74.58	53.19	84.63	73.03	518.15	42.11	120.94	70.01	72.52	74.06	36.79	82.29	117.6	57.89	76.71	98.73	81.14	80.01	96.68	52.45	55.89	80.57	56.68	88.88	62.56	58.3	71.0	72.01	131.51	165.57	187.71	258.57	102.97	144.01	164.42	209.84	146.03	136.19	226.54	135.24	171.45	212.78	206.94	144.01	120.94	111.21	249.73	72.52	136.19	55.49	102.25	82.29	84.63	75.64	83.45	92.05	117.6	122.64	101.54	100.83	103.69	126.12	195.72	96.01	94.67	65.72	97.36	102.97	102.97	57.89	94.67	96.68	80.57	260.38	98.04	73.54	70.01	101.54
PIM3	698.41	813.63	1331.57	1487.87	3103.19	2061.24	2682.69	4268.94	2701.35	825.0	3190.46	947.83	2400.97	1242.34	525.39	1991.0	1378.57	1135.2	1073.91	1268.46	199.85	1733.13	1397.83	954.43	1733.13	2520.38	921.88	995.0	497.0	1143.1	444.72	616.37	1127.35	967.76	620.67	1088.92	819.3	1388.16	921.88	392.44	909.17	420.68	426.57	1508.65	532.74	473.41	426.57	444.72	536.45	1369.04	848.22	575.03	389.72	1561.89	2018.8	2835.7	909.17	2148.82	2537.92	2224.63	2133.97	2367.9	1769.57	2591.27	3716.2	1350.18	988.12	3874.05	1447.15	2384.37	1628.26	1407.55	1594.73	2502.97	2485.67	2075.59	2032.85	1447.15	2664.15	3018.3	2351.53	1551.09	1950.0	2133.97	1806.78	2018.8	2303.12	2417.67	1605.83	3081.75	2555.58	1437.15	2537.92	1286.18	2032.85	698.41	708.18	3564.78	2351.53	3280.18	1295.13	2224.63	1605.83
PLA2G3	0.0	0.0	0.3	3.03	0.97	46.18	3.79	21.78	20.26	14.03	28.24	2.01	0.78	12.0	0.79	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	6.01	0.0	0.0	0.51	0.49	0.0	0.0	0.0	0.0	0.53	0.58	0.0	0.0	1.19	0.43	0.0	0.52	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.49	0.0	0.0	0.0	10.88	2.23	73.03	2.16	11.91	5.41	0.27	2.78	26.1	0.26	24.28	43.94	1.35	0.26	6.41	0.27	6.01	0.93	1.58	10.55	19.82	40.36	3.89	12.18	13.42	9.93	3.96	2.61	7.57	11.13	3.0	15.0	6.31	11.55	12.0	1.79	24.63	9.78	12.74	51.71	26.1	23.25	33.06	7.4	8.38	3.29	21.16	62.56	1.71	8.78
PLAGL2	70.51	38.12	242.88	84.04	420.68	62.56	438.59	305.55	78.34	177.53	500.46	57.89	64.34	148.09	78.89	24.28	59.55	62.56	44.57	39.79	61.25	39.5	33.54	44.25	57.08	46.5	65.26	40.36	37.32	37.85	43.32	50.27	38.67	60.39	42.71	38.4	36.01	52.08	59.13	265.87	55.1	307.69	136.19	76.71	117.6	49.56	154.42	56.28	75.64	77.25	70.01	105.15	85.22	460.44	612.11	251.48	234.57	295.11	215.77	476.71	242.88	206.94	348.71	303.44	244.57	1487.87	426.57	220.32	237.86	368.65	409.15	543.96	620.67	346.29	175.07	262.2	285.03	373.81	194.36	197.09	343.89	376.41	289.02	291.04	244.57	221.86	358.54	389.72	293.07	51.71	47.17	57.08	60.39	81.71	106.63	134.3	105.15	57.89	45.85	52.82	71.0	51.71	121.79
PLCB3	84.04	95.34	1119.56	171.45	348.71	163.28	376.41	195.72	164.42	146.03	223.41	127.0	22.75	131.51	353.59	223.41	236.21	153.34	182.55	221.86	260.38	269.6	237.86	149.12	251.48	205.5	131.51	93.35	74.58	228.13	84.04	126.12	88.88	122.64	88.88	71.5	87.65	80.57	105.89	50.63	77.79	95.34	84.04	138.1	123.5	73.03	49.56	38.67	110.43	113.56	92.05	114.36	60.82	854.13	620.67	529.06	417.77	540.19	947.83	1143.1	334.46	974.5	403.5	507.46	567.1	878.17	480.04	842.36	1104.13	563.18	780.44	1127.35	1572.76	791.35	438.59	620.67	476.71	454.09	483.38	738.29	1721.16	791.35	339.14	665.29	423.61	403.5	599.49	432.53	587.13	228.13	199.85	157.68	244.57	312.0	363.56	327.56	395.18	228.13	271.48	189.02	316.37	271.48	275.28
PLEC	426.57	392.44	915.51	3235.01	1059.11	353.59	713.11	563.18	547.75	348.71	555.41	325.29	36.27	450.94	866.07	591.22	830.75	547.75	836.53	457.25	373.81	406.31	718.08	325.29	1331.57	473.41	559.28	353.59	218.79	1199.98	291.04	366.09	275.28	366.09	417.77	363.56	212.78	309.83	187.71	187.71	164.42	159.9	159.9	420.68	334.46	291.04	128.79	256.78	379.04	395.18	409.15	214.27	236.21	4869.99	3467.27	2997.45	2835.7	1359.57	5292.48	4802.93	1605.83	2875.3	2224.63	4328.55	1407.55	854.13	1397.83	1519.15	1721.16	1350.18	4358.66	3280.18	2335.28	2537.92	967.76	1088.92	1088.92	967.76	842.36	1066.48	1487.87	1191.69	1467.37	1617.0	928.3	1883.54	1081.39	1721.16	1199.98	470.14	674.59	525.39	384.34	647.07	1001.93	426.57	748.61	713.11	450.94	647.07	647.07	379.04	490.14
PPP1R12A	185.11	128.79	559.28	414.87	175.07	217.27	133.36	395.18	406.31	320.8	323.03	275.28	94.67	559.28	373.81	113.56	366.09	211.31	101.54	164.42	212.78	151.22	208.38	185.11	256.78	187.71	269.6	109.66	137.14	332.14	108.9	130.6	120.1	125.24	127.89	30.34	112.77	149.12	199.85	75.64	163.28	123.5	133.36	229.72	162.14	122.64	104.42	68.55	255.0	156.59	100.83	162.14	129.69	1529.73	1015.93	1191.69	2591.27	5555.65	2520.38	713.11	2271.4	426.57	3742.05	2335.28	1088.92	521.76	1685.71	1199.98	1519.15	3257.52	2133.97	1651.0	567.1	1721.16	1617.0	928.3	612.11	583.07	392.44	854.13	775.05	1175.27	684.02	1051.79	830.75	1594.73	796.86	896.64	785.88	432.53	303.44	460.44	463.65	463.65	339.14	723.08	954.43	511.0	420.68	579.04	389.72	314.17	450.94
PRICKLE3	75.64	60.39	231.32	277.2	206.94	125.24	191.67	234.57	137.14	85.22	202.66	162.14	98.04	93.35	100.13	87.03	124.37	44.25	120.94	43.32	68.55	91.41	66.18	60.39	146.03	88.88	74.58	65.72	56.28	138.1	54.72	88.26	59.13	69.03	47.5	73.54	47.5	65.26	47.84	83.45	64.34	96.01	55.1	90.14	105.89	58.3	77.25	67.59	111.21	70.51	75.11	67.59	45.21	228.13	366.09	217.27	256.78	215.77	194.36	256.78	156.59	450.94	283.05	307.69	309.83	256.78	329.84	220.32	244.57	343.89	206.94	260.38	251.48	291.04	143.01	205.5	211.31	147.06	178.77	191.67	178.77	221.86	163.28	194.36	158.79	183.82	199.85	121.79	158.79	149.12	110.43	157.68	154.42	165.57	189.02	158.79	116.78	157.68	249.73	166.73	143.01	231.32	177.53
PRR12	85.82	68.07	381.68	212.78	218.79	138.1	162.14	180.02	178.77	135.24	181.28	166.73	14.35	172.65	248.0	137.14	199.85	135.24	166.73	175.07	152.28	115.16	157.68	122.64	229.72	100.13	109.66	60.82	34.02	155.5	69.03	73.54	77.25	60.39	71.5	53.19	53.57	46.18	123.5	46.18	72.01	96.01	42.71	80.01	153.34	80.57	71.5	90.14	109.66	57.49	96.01	98.04	51.35	563.18	647.07	285.03	525.39	454.09	420.68	638.15	312.0	206.94	366.09	262.2	432.53	279.14	511.0	703.28	325.29	346.29	423.61	587.13	571.05	309.83	297.17	703.28	248.0	316.37	193.01	318.57	264.03	624.99	271.48	387.02	285.03	339.14	334.46	412.0	395.18	164.42	148.09	228.13	212.78	289.02	297.17	291.04	191.67	161.02	155.5	273.37	329.84	147.06	289.02
PTPRE	28.45	16.75	220.32	104.42	93.35	43.63	54.33	131.51	94.01	42.71	78.34	38.67	4.7	70.01	195.72	47.84	162.14	80.01	124.37	79.45	99.43	67.59	86.43	36.53	74.06	117.6	73.03	19.68	74.06	193.01	17.77	60.82	12.36	54.72	42.41	17.77	28.04	72.52	28.65	12.55	17.0	18.16	11.82	100.13	28.24	11.38	13.83	10.96	43.94	23.59	6.78	38.4	8.38	454.09	265.87	503.95	420.68	295.11	616.37	403.5	334.46	409.15	123.5	260.38	194.36	587.13	244.57	316.37	201.25	275.28	312.0	237.86	182.55	334.46	117.6	140.04	265.87	78.89	107.38	139.07	343.89	194.36	98.04	277.2	113.56	149.12	185.11	128.79	169.07	169.07	204.07	57.49	93.35	158.79	346.29	316.37	808.0	102.97	63.0	102.97	149.12	111.99	130.6
PVRL4	0.0	0.67	110.43	169.07	7.17	71.5	11.21	8.45	193.01	48.87	11.04	3.59	2.71	47.84	2.32	1.51	1.95	4.24	14.35	0.84	3.38	1.48	1.36	3.26	890.44	3.35	1.6	2.66	2.58	6.31	0.72	3.32	0.71	2.14	9.2	2.84	0.66	7.22	5.77	0.17	1.64	0.66	5.15	0.0	2.73	0.04	0.0	1.45	4.35	0.67	1.73	0.16	5.45	273.37	325.29	279.14	95.34	154.42	412.0	620.67	85.82	480.04	260.38	688.78	133.36	134.3	221.86	102.97	27.25	54.72	167.9	118.43	486.75	226.54	112.77	236.21	223.41	127.89	194.36	241.19	358.54	151.22	127.0	217.27	55.89	97.36	260.38	155.5	214.27	17.77	34.26	6.62	33.54	73.54	38.95	77.79	346.29	17.77	44.89	2.29	90.14	23.93	96.68
RAB35	301.33	208.38	718.08	463.65	1143.1	1143.1	928.3	603.67	1044.52	603.67	612.11	896.64	289.02	708.18	511.0	287.01	656.11	368.65	759.08	532.74	493.56	490.14	555.41	591.22	684.02	500.46	371.22	323.03	217.27	435.55	289.02	318.57	177.53	277.2	232.94	262.2	165.57	239.52	231.32	182.55	264.03	201.25	236.21	325.29	205.5	223.41	275.28	256.78	251.48	336.79	237.86	265.87	241.19	769.69	785.88	764.36	684.02	511.0	674.59	470.14	595.34	571.05	460.44	698.41	624.99	738.29	665.29	638.15	543.96	547.75	607.87	583.07	518.15	848.22	1081.39	785.88	769.69	728.11	620.67	785.88	1313.23	860.08	633.73	651.58	587.13	743.43	603.67	728.11	775.05	470.14	493.56	379.04	332.14	358.54	620.67	392.44	429.54	417.77	555.41	500.46	379.04	412.0	320.8
RALGDS	150.17	139.07	947.83	651.58	483.38	1313.23	830.75	718.08	954.43	157.68	457.25	232.94	74.06	318.57	400.71	301.33	547.75	255.0	450.94	339.14	366.09	301.33	420.68	400.71	361.04	206.94	253.23	180.02	258.57	567.1	180.02	389.72	70.51	120.94	155.5	109.66	123.5	194.36	231.32	373.81	187.71	251.48	208.38	253.23	198.47	161.02	217.27	206.94	215.77	234.57	204.07	239.52	201.25	1096.5	684.02	1015.93	1073.91	802.41	1250.98	1175.27	1208.34	547.75	2032.85	2400.97	551.56	896.64	748.61	1066.48	1037.29	753.83	1104.13	1143.1	567.1	1313.23	379.04	842.36	909.17	633.73	738.29	842.36	743.43	928.3	684.02	928.3	607.87	679.29	890.44	1605.83	1081.39	525.39	387.02	432.53	620.67	954.43	1857.6	791.35	738.29	684.02	423.61	633.73	708.18	748.61	884.29
RARG	35.0	35.25	301.33	397.93	189.02	111.21	108.14	158.79	133.36	154.42	206.94	147.06	19.53	208.38	187.71	59.55	182.55	74.58	108.9	57.08	52.45	39.22	149.12	131.51	343.89	115.16	97.36	29.91	74.06	291.04	37.05	49.91	57.08	62.56	71.5	42.11	39.79	30.12	80.01	56.28	15.91	55.89	15.34	242.88	122.64	45.85	35.25	50.98	109.66	132.44	21.47	78.34	40.36	457.25	780.44	507.46	555.41	289.02	616.37	242.88	417.77	518.15	579.04	1051.79	466.88	236.21	497.0	346.29	232.94	507.46	624.99	412.0	435.55	358.54	470.14	406.31	279.14	346.29	269.6	555.41	559.28	928.3	191.67	981.29	279.14	361.04	595.34	429.54	536.45	348.71	532.74	283.05	371.22	587.13	525.39	660.68	854.13	363.56	264.03	466.88	559.28	305.55	476.71
RBBP6	426.57	423.61	583.07	351.14	490.14	460.44	368.65	497.0	486.75	297.17	476.71	343.89	212.78	507.46	759.08	417.77	536.45	638.15	205.5	265.87	400.71	392.44	363.56	417.77	346.29	332.14	497.0	283.05	363.56	713.11	346.29	329.84	353.59	307.69	466.88	133.36	389.72	293.07	397.93	521.76	332.14	392.44	368.65	454.09	647.07	373.81	397.93	406.31	759.08	511.0	351.14	507.46	493.56	1066.48	769.69	947.83	1208.34	974.5	785.88	878.17	1286.18	656.11	1081.39	775.05	713.11	1059.11	866.07	743.43	791.35	878.17	830.75	1183.45	607.87	769.69	529.06	660.68	603.67	514.56	493.56	693.58	698.41	830.75	511.0	785.88	529.06	698.41	684.02	941.27	638.15	620.67	395.18	463.65	567.1	708.18	603.67	599.49	624.99	571.05	563.18	599.49	511.0	583.07	738.29
