	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3655.11A.01R.1723.07	GTEX.WQUQ.2526.SM.4MVNO	GTEX.1212Z.1826.SM.5FQSH	GTEX.132NY.2726.SM.5PNY2	GTEX.13N2G.2226.SM.5IJCU	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.144GM.1626.SM.5O9AG	GTEX.OXRL.0726.SM.3NM9A	GTEX.11EQ9.0826.SM.5986Y	GTEX.PWCY.0826.SM.48TCR	GTEX.TML8.1426.SM.4DXUT	TCGA.38.4625.01A.01R.1206.07.1	GTEX.147F4.0926.SM.5Q5EO	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.A4IV.01A.31R.A251.31
C21orf33	1819.35	2119.22	2835.7	1551.09	3081.75	2335.28	2004.85	2271.4	1936.53	1044.52	1111.82	1143.1	1359.57	825.0	2520.38	1199.98	1487.87	1806.78	0.52	620.67	1709.26	1059.11
C2orf47	353.59	460.44	460.44	237.86	563.18	511.0	356.05	327.56	343.89	215.77	176.29	191.67	239.52	231.32	387.02	231.32	201.25	285.03	0.0	145.02	363.56	228.13
C2orf88	490.14	718.08	490.14	204.07	1111.82	738.29	708.18	591.22	579.04	98.04	108.9	138.1	94.01	85.82	117.6	159.9	95.34	248.0	0.28	72.01	500.46	68.07
CD320	1259.69	1427.22	1794.29	995.0	1427.22	2537.92	1037.29	1350.18	1030.12	540.19	571.05	435.55	665.29	620.67	921.88	599.49	713.11	748.61	0.51	141.02	703.28	775.05
CECR5	718.08	764.36	848.22	638.15	988.12	1143.1	483.38	607.87	769.69	575.03	493.56	493.56	536.45	314.17	551.56	571.05	426.57	457.25	0.39	96.01	620.67	406.31
CINP	551.56	633.73	571.05	579.04	878.17	995.0	723.08	769.69	571.05	612.11	473.41	473.41	460.44	438.59	753.83	353.59	447.82	665.29	0.41	211.31	703.28	567.1
COA3	2351.53	3124.78	3820.7	1896.65	5517.27	4181.07	3419.52	3491.39	2997.45	1183.45	1023.0	1191.69	2335.28	1225.22	2976.74	1709.26	1896.65	2018.8	0.22	356.05	1963.57	1819.35
COQ3	255.0	381.68	255.0	387.02	348.71	329.84	466.88	348.71	271.48	206.94	156.59	251.48	181.28	121.79	289.02	152.28	152.28	358.54	0.13	18.97	332.14	163.28
COQ4	759.08	961.07	1397.83	638.15	1407.55	1417.35	1304.15	1233.75	1259.69	500.46	483.38	293.07	813.63	497.0	890.44	703.28	679.29	842.36	251.48	320.8	642.59	674.59
CORO1B	2193.99	2591.27	3235.01	1127.35	3515.68	3060.45	1857.6	2287.2	1950.0	1467.37	1159.07	947.83	1313.23	1175.27	1397.83	1369.04	1397.83	1350.18	866.07	669.92	1447.15	1059.11
COX10	358.54	269.6	371.22	320.8	353.59	332.14	346.29	312.0	255.0	242.88	175.07	279.14	206.94	206.94	358.54	271.48	226.54	291.04	291.04	73.03	323.03	251.48
COX5A	5479.15	8778.97	12415.75	2816.11	20030.74	12676.65	9279.58	9215.48	8963.45	3280.18	2090.03	2976.74	4388.98	3982.99	6983.79	4419.52	4419.52	5183.54	0.8	1313.23	5441.3	4123.49
CTD-2369P2.12	307.69	366.09	412.0	246.28	353.59	567.1	323.03	366.09	249.73	149.12	133.36	127.89	241.19	151.22	242.88	138.1	178.77	127.89	0.54	99.43	248.0	208.38
CYB561A3	693.58	947.83	1199.98	406.31	1159.07	1369.04	1001.93	1051.79	1111.82	688.78	629.35	444.72	583.07	507.46	660.68	642.59	629.35	665.29	0.53	525.39	536.45	909.17
DNAJC11	866.07	718.08	995.0	660.68	748.61	921.88	780.44	802.41	819.3	511.0	532.74	507.46	543.96	476.71	665.29	599.49	532.74	633.73	0.46	208.38	775.05	529.06
DNAL4	318.57	406.31	417.77	325.29	514.56	490.14	473.41	511.0	486.75	236.21	246.28	190.34	301.33	137.14	358.54	194.36	239.52	293.07	0.0	177.53	343.89	249.73
ERAL1	733.19	890.44	961.07	819.3	928.3	1143.1	878.17	961.07	872.1	713.11	587.13	599.49	718.08	595.34	1044.52	616.37	567.1	813.63	0.34	177.53	708.18	759.08
FAM109A	275.28	209.84	334.46	126.12	253.23	379.04	264.03	316.37	309.83	68.55	111.99	102.25	145.02	58.71	111.21	109.66	133.36	136.19	0.43	178.77	170.25	143.01
FAM173A	559.28	547.75	693.58	555.41	674.59	1225.22	785.88	813.63	934.76	409.15	269.6	295.11	463.65	287.01	555.41	438.59	423.61	400.71	0.55	65.72	397.93	417.77
FAM195A	1044.52	1030.12	1963.57	591.22	2303.12	2816.11	1340.84	1407.55	1561.89	525.39	241.19	620.67	579.04	884.29	728.11	988.12	703.28	872.1	0.52	122.64	480.04	444.72
FARS2	262.2	358.54	353.59	289.02	368.65	341.51	271.48	329.84	277.2	262.2	182.55	195.72	211.31	205.5	277.2	239.52	229.72	291.04	0.16	100.83	297.17	202.66
FASTK	1467.37	1304.15	1794.29	1794.29	1870.53	2193.99	1721.16	2119.22	1721.16	1369.04	1359.57	1191.69	1477.58	878.17	1628.26	1104.13	1350.18	1662.49	0.74	307.69	1437.15	1350.18
FBXL15	366.09	289.02	470.14	514.56	583.07	595.34	379.04	532.74	521.76	256.78	264.03	287.01	332.14	400.71	525.39	454.09	420.68	460.44	0.57	172.65	215.77	358.54
FBXW9	127.89	137.14	149.12	112.77	237.86	215.77	153.34	181.28	242.88	74.58	67.12	57.89	94.67	75.11	144.01	108.14	92.05	92.05	0.0	43.32	98.04	101.54
GALK1	320.8	327.56	353.59	392.44	543.96	551.56	392.44	647.07	473.41	450.94	420.68	221.86	332.14	339.14	366.09	191.67	242.88	314.17	0.64	209.84	285.03	351.14
GLTPD1	733.19	490.14	1008.9	376.41	830.75	1037.29	651.58	764.36	769.69	198.47	209.84	201.25	412.0	253.23	518.15	389.72	417.77	480.04	0.33	110.43	358.54	395.18
HIBCH	728.11	878.17	813.63	454.09	954.43	909.17	872.1	674.59	713.11	336.79	371.22	441.64	547.75	339.14	473.41	312.0	387.02	536.45	0.37	358.54	808.0	444.72
HMGCL	836.53	1498.22	1674.06	848.22	2178.83	1529.73	1233.75	1322.37	1143.1	447.82	587.13	575.03	728.11	540.19	1378.57	688.78	769.69	1151.06	0.31	264.03	1111.82	547.75
ILVBL	1617.0	1583.71	1819.35	1388.16	1923.14	2319.15	1781.89	1844.76	1991.0	660.68	769.69	688.78	1127.35	536.45	830.75	785.88	780.44	961.07	0.56	249.73	1529.73	703.28
KATNB1	265.87	301.33	334.46	265.87	366.09	371.22	255.0	348.71	314.17	262.2	246.28	180.02	260.38	152.28	309.83	212.78	265.87	329.84	0.56	173.85	234.57	211.31
KCNMB2	37.32	54.72	33.78	86.43	29.91	15.68	72.52	63.45	28.04	1.69	1.5	2.14	11.13	7.82	10.71	5.06	6.67	13.72	0.0	17.0	127.89	18.43
LYPLA2	1551.09	1151.06	1572.76	575.03	1709.26	1844.76	1225.22	1233.75	1397.83	406.31	426.57	293.07	629.35	497.0	848.22	583.07	733.19	802.41	0.91	708.18	684.02	791.35
MAD2L1BP	420.68	693.58	620.67	379.04	1073.91	665.29	460.44	457.25	466.88	289.02	343.89	320.8	341.51	387.02	540.19	332.14	381.68	426.57	0.02	241.19	486.75	339.14
MED11	612.11	703.28	780.44	583.07	1051.79	1044.52	651.58	836.53	718.08	447.82	432.53	450.94	460.44	381.68	629.35	507.46	435.55	624.99	0.41	314.17	698.41	540.19
MFSD5	543.96	612.11	842.36	384.34	587.13	872.1	438.59	551.56	514.56	314.17	248.0	107.38	231.32	277.2	454.09	366.09	318.57	395.18	0.0	255.0	384.34	438.59
MGST3	5403.7	8479.89	6840.04	5633.22	9945.68	7280.4	6652.97	6935.54	6164.49	3614.55	4358.66	4836.35	3820.7	4869.99	4671.57	2976.74	4388.98	5329.3	1.01	3716.2	5403.7	3589.58
MINOS1-NBL1	102.25	126.12	182.55	105.15	264.03	332.14	193.01	132.44	127.89	0.0	82.87	58.71	0.0	38.67	98.73	52.08	2.51	2.97	0.0	19.11	40.36	11.13
MPI	759.08	1051.79	1331.57	934.76	1059.11	1119.56	854.13	1037.29	669.92	624.99	842.36	688.78	703.28	521.76	1350.18	555.41	656.11	995.0	0.0	170.25	842.36	603.67
MRPL11	1417.35	1806.78	2004.85	1617.0	2645.74	2777.33	2417.67	2255.7	1721.16	1498.22	1059.11	1044.52	1104.13	1104.13	1594.73	808.0	1127.35	1225.22	0.52	325.29	1331.57	884.29
MRPL16	1175.27	1397.83	1477.58	1250.98	1769.57	1388.16	1477.58	1457.23	1286.18	753.83	802.41	921.88	848.22	860.08	1427.22	988.12	967.76	1268.46	0.41	323.03	1242.34	909.17
MRPL34	2591.27	2434.5	3955.48	2720.15	6250.56	4704.07	3103.19	2956.17	3124.78	1388.16	1594.73	1963.57	1757.34	1111.82	3146.52	2271.4	2417.67	2591.27	0.4	543.96	1896.65	1950.0
MRPL4	1369.04	1447.15	1572.76	1417.35	1685.71	2163.77	1369.04	1388.16	1359.57	1519.15	988.12	1277.29	1127.35	974.5	1498.22	1127.35	961.07	1135.2	0.66	251.48	1096.5	1127.35
MRPL46	723.08	854.13	825.0	728.11	1119.56	1088.92	743.43	647.07	638.15	356.05	454.09	466.88	476.71	384.34	764.36	518.15	470.14	629.35	0.0	176.29	708.18	432.53
MRPS18A	1191.69	1340.84	1183.45	1037.29	2163.77	1628.26	1487.87	1498.22	1191.69	665.29	633.73	713.11	775.05	723.08	1119.56	718.08	791.35	1066.48	0.37	466.88	954.43	743.43
MRPS7	1331.57	1745.2	1819.35	1561.89	2367.9	2319.15	1685.71	1733.13	1322.37	1350.18	1111.82	1295.13	1225.22	1199.98	1639.59	1233.75	1044.52	1407.55	0.52	412.0	1359.57	1015.93
MTCH2	1250.98	2018.8	2287.2	1073.91	2555.58	2664.15	1594.73	1477.58	1605.83	1721.16	1066.48	1397.83	753.83	974.5	1359.57	1233.75	1081.39	995.0	0.0	633.73	1030.12	1030.12
MYL9	434801.29	456418.21	226632.25	1800541.22	160252.91	67846.12	136637.07	137587.47	133825.1	1070607.81	716197.51	1916442.45	610654.84	212926.09	218912.29	163620.18	153724.82	177811.84	0.89	24153.43	527933.71	144427.91
NDUFB3	1883.54	2758.13	2502.97	1870.53	3325.99	2935.74	2664.15	2271.4	2032.85	1322.37	890.44	1457.23	1208.34	1167.14	2240.11	1119.56	1143.1	1883.54	0.24	532.74	2075.59	1508.65
NDUFS3	2367.9	3515.68	3540.14	2915.45	5183.54	3874.05	3349.13	3018.3	2434.5	1519.15	1313.23	1378.57	1757.34	1583.71	2163.77	2004.85	1685.71	2287.2	0.32	642.59	2451.44	1745.2
OCEL1	629.35	819.3	1088.92	688.78	1208.34	1277.29	934.76	1216.75	743.43	336.79	285.03	376.41	497.0	429.54	775.05	514.56	409.15	785.88	0.43	271.48	579.04	441.64
OGFOD2	264.03	309.83	444.72	289.02	463.65	444.72	381.68	376.41	346.29	198.47	178.77	120.1	273.37	120.1	277.2	202.66	220.32	358.54	0.24	80.57	273.37	175.07
PDSS2	241.19	325.29	260.38	244.57	334.46	224.97	269.6	262.2	232.94	155.5	157.68	190.34	182.55	157.68	232.94	182.55	186.4	256.78	96.68	74.58	253.23	208.38
PDXP	454.09	454.09	555.41	432.53	368.65	551.56	473.41	400.71	447.82	61.68	163.28	279.14	279.14	151.22	361.04	269.6	285.03	295.11	0.42	105.89	283.05	237.86
PFDN6	1628.26	1745.2	1806.78	1529.73	2061.24	2627.46	1477.58	1467.37	1709.26	1662.49	1037.29	1073.91	1037.29	902.89	1685.71	1135.2	1023.0	1111.82	1397.83	703.28	1340.84	1388.16
PIGC	660.68	728.11	567.1	693.58	909.17	785.88	633.73	728.11	728.11	551.56	426.57	397.93	435.55	325.29	638.15	529.06	486.75	603.67	0.02	177.53	753.83	525.39
PLEKHJ1	1806.78	1733.13	2720.15	674.59	4123.49	3874.05	2209.26	2739.08	2271.4	497.0	497.0	536.45	967.76	620.67	1081.39	759.08	791.35	890.44	0.68	540.19	1127.35	723.08
PLGRKT	514.56	1111.82	967.76	473.41	1447.15	995.0	934.76	1073.91	764.36	329.84	323.03	400.71	312.0	346.29	503.95	343.89	289.02	483.38	0.39	264.03	974.5	346.29
PMVK	1081.39	1151.06	1051.79	1259.69	1167.14	1407.55	1605.83	1674.06	1508.65	967.76	974.5	1073.91	1250.98	947.83	1407.55	796.86	909.17	1051.79	0.25	429.54	941.27	802.41
PNKD	1870.53	2485.67	2319.15	2004.85	3794.3	3124.78	2835.7	2915.45	2255.7	842.36	890.44	974.5	1233.75	1268.46	1950.0	1322.37	1551.09	1883.54	1216.75	738.29	1709.26	1322.37
POP5	684.02	1066.48	1127.35	665.29	1191.69	1467.37	1250.98	988.12	1044.52	860.08	679.29	486.75	733.19	312.0	1059.11	591.22	551.56	866.07	0.04	236.21	748.61	684.02
POP7	759.08	934.76	802.41	954.43	1104.13	842.36	1044.52	1023.0	802.41	928.3	507.46	551.56	563.18	363.56	860.08	698.41	624.99	785.88	0.28	197.09	698.41	525.39
PRADC1	884.29	921.88	941.27	785.88	1561.89	1242.34	1268.46	1225.22	1378.57	387.02	457.25	567.1	507.46	414.87	995.0	559.28	555.41	603.67	0.13	144.01	674.59	441.64
PREB	974.5	1066.48	1059.11	802.41	1199.98	1388.16	1030.12	1059.11	1051.79	674.59	698.41	665.29	753.83	575.03	1066.48	698.41	684.02	743.43	0.34	409.15	688.78	866.07
PTPN18	1225.22	1111.82	1437.15	854.13	1498.22	1651.0	1059.11	1208.34	1286.18	651.58	941.27	743.43	1001.93	684.02	1259.69	842.36	1340.84	1447.15	0.44	262.2	896.64	866.07
PWWP2B	361.04	312.0	595.34	314.17	540.19	698.41	381.68	406.31	387.02	144.01	116.78	149.12	229.72	123.5	264.03	202.66	206.94	295.11	0.52	57.89	211.31	157.68
QDPR	603.67	825.0	884.29	981.29	748.61	819.3	748.61	785.88	583.07	301.33	389.72	503.95	525.39	432.53	629.35	476.71	353.59	728.11	0.2	371.22	753.83	555.41
RENBP	242.88	346.29	379.04	361.04	320.8	633.73	429.54	503.95	490.14	320.8	316.37	173.85	182.55	189.02	169.07	201.25	145.02	279.14	329.84	127.89	262.2	170.25
RFXANK	1331.57	1896.65	1977.24	1605.83	2133.97	2075.59	2417.67	2018.8	2090.03	1167.14	796.86	854.13	1059.11	559.28	1331.57	819.3	915.51	981.29	0.57	432.53	1388.16	954.43
RILP	420.68	507.46	579.04	258.57	684.02	785.88	733.19	476.71	406.31	169.07	164.42	218.79	271.48	205.5	283.05	353.59	341.51	444.72	0.35	253.23	332.14	277.2
RNFT1	293.07	299.25	356.05	110.43	406.31	371.22	234.57	217.27	334.46	190.34	226.54	154.42	176.29	76.71	201.25	198.47	217.27	224.97	0.2	162.14	281.09	299.25
RPP25L	595.34	961.07	878.17	713.11	1519.15	1044.52	753.83	884.29	660.68	361.04	392.44	336.79	397.93	258.57	698.41	346.29	329.84	651.58	0.0	111.21	647.07	423.61
SFXN4	595.34	612.11	679.29	511.0	995.0	974.5	551.56	698.41	466.88	389.72	356.05	400.71	387.02	348.71	514.56	536.45	273.37	497.0	0.0	125.24	591.22	406.31
SIGIRR	1551.09	1639.59	2004.85	723.08	2303.12	2451.44	1397.83	1923.14	1498.22	1233.75	890.44	928.3	1143.1	1417.35	1167.14	836.53	1286.18	1551.09	0.74	902.89	1088.92	1250.98
SLC35D1	395.18	312.0	320.8	63.89	229.72	429.54	281.09	265.87	361.04	85.22	137.14	96.01	129.69	56.28	140.04	127.89	152.28	175.07	0.39	60.39	265.87	258.57
SLC35F5	525.39	656.11	651.58	224.97	633.73	674.59	603.67	551.56	660.68	327.56	336.79	220.32	497.0	275.28	420.68	273.37	358.54	397.93	191.67	339.14	567.1	567.1
SMPD3	145.02	167.9	187.71	38.67	295.11	373.81	287.01	197.09	229.72	7.4	11.13	12.09	66.18	14.56	43.94	24.28	66.18	82.87	0.27	10.08	152.28	64.34
SMUG1	660.68	693.58	775.05	620.67	1037.29	995.0	825.0	988.12	808.0	454.09	429.54	358.54	591.22	351.14	813.63	457.25	571.05	616.37	0.0	136.19	555.41	612.11
SPRYD4	221.86	271.48	297.17	148.09	392.44	273.37	214.27	253.23	204.07	202.66	120.1	120.94	177.53	157.68	217.27	131.51	151.22	197.09	0.11	48.87	185.11	136.19
SSNA1	1697.45	2148.82	1936.53	1857.6	2835.7	2739.08	2240.11	2777.33	2609.3	1350.18	1104.13	1242.34	1477.58	1167.14	1769.57	1457.23	1359.57	1313.23	0.26	476.71	1340.84	1331.57
STX10	1023.0	1437.15	1437.15	1151.06	1628.26	1977.24	1340.84	1359.57	1794.29	909.17	981.29	791.35	866.07	775.05	854.13	928.3	723.08	909.17	0.73	409.15	1037.29	842.36
SUCLG1	2468.49	3928.15	3901.01	2271.4	5995.9	3768.09	3639.7	3325.99	3018.3	1697.45	1487.87	1844.76	1733.13	1583.71	2434.5	1769.57	1662.49	2193.99	0.91	674.59	2758.13	1369.04
TACO1	412.0	551.56	633.73	343.89	718.08	723.08	540.19	536.45	525.39	287.01	271.48	256.78	332.14	193.01	525.39	387.02	289.02	438.59	0.0	70.51	412.0	314.17
TEX264	1233.75	1437.15	1583.71	995.0	2090.03	1857.6	1397.83	1313.23	1277.29	629.35	638.15	684.02	764.36	651.58	791.35	872.1	660.68	872.1	0.09	420.68	947.83	825.0
TMEM177	273.37	368.65	307.69	251.48	392.44	381.68	297.17	299.25	232.94	136.19	114.36	80.57	157.68	82.29	211.31	98.73	110.43	202.66	0.0	21.78	212.78	199.85
TMEM219	3124.78	3874.05	3901.01	2645.74	6426.31	4268.94	4575.41	4972.34	4388.98	1651.0	1883.54	1769.57	2627.46	2520.38	2976.74	2090.03	2319.15	2434.5	934.76	1313.23	2895.31	2090.03
TMEM256	1697.45	2875.3	2701.35	1896.65	3589.58	2895.31	2351.53	3168.41	1781.89	1378.57	1277.29	1037.29	1561.89	1073.91	2758.13	830.75	1104.13	1551.09	0.71	928.3	1617.0	1427.22
TMEM99	195.72	325.29	281.09	229.72	346.29	432.53	314.17	316.37	395.18	218.79	161.02	187.71	264.03	52.45	414.87	237.86	334.46	231.32	0.09	67.59	221.86	175.07
TMX2	1950.0	2032.85	2090.03	1295.13	2555.58	2351.53	2018.8	1923.14	1757.34	1561.89	1151.06	1259.69	1397.83	1191.69	1963.57	1216.75	1167.14	1639.59	0.48	1167.14	1733.13	1313.23
TRAPPC6A	791.35	1051.79	1001.93	679.29	1977.24	1088.92	1037.29	1143.1	947.83	417.77	361.04	343.89	423.61	376.41	941.27	387.02	420.68	848.22	0.36	295.11	780.44	429.54
TRUB2	406.31	536.45	612.11	343.89	785.88	728.11	447.82	480.04	435.55	336.79	287.01	246.28	329.84	239.52	420.68	303.44	256.78	356.05	0.0	88.26	379.04	389.72
TXN2	1498.22	2287.2	2303.12	1572.76	3060.45	2351.53	2193.99	2148.82	1540.37	1277.29	1417.35	1322.37	1457.23	995.0	2148.82	1268.46	1350.18	2047.0	981.29	708.18	1617.0	1191.69
VPS25	1044.52	1551.09	1477.58	764.36	2303.12	1457.23	1268.46	1350.18	1127.35	872.1	665.29	447.82	679.29	759.08	1397.83	890.44	974.5	1167.14	0.0	392.44	909.17	988.12
VPS28	4268.94	5711.87	5366.37	4972.34	7485.11	6426.31	7749.1	8658.09	5913.33	3039.3	3212.66	3639.7	3395.89	3491.39	3325.99	4419.52	3820.7	3303.0	1.11	1594.73	4419.52	3168.41
ZFPL1	988.12	1340.84	1081.39	974.5	1322.37	1540.37	1096.5	1242.34	1216.75	836.53	743.43	842.36	825.0	665.29	1051.79	854.13	967.76	934.76	0.56	205.5	872.1	934.76
ZMAT5	473.41	595.34	555.41	785.88	647.07	575.03	688.78	836.53	651.58	327.56	397.93	463.65	409.15	325.29	713.11	543.96	423.61	612.11	0.08	194.36	503.95	470.14
ZNF576	348.71	389.72	389.72	361.04	470.14	575.03	423.61	441.64	379.04	264.03	293.07	295.11	258.57	226.54	420.68	242.88	273.37	264.03	0.0	66.18	314.17	231.32
