	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.G2.A3VY.01A.11R.A22U.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.BL.A0C8.01A.11R.A277.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.K4.A3WU.01B.11R.A23N.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.XF.AAMX.01A.11R.A42T.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.LT.A5Z6.01A.11R.A28M.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.A7.A13D.01A.13R.A277.07	TCGA.A7.A13E.01A.11R.A277.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A7.A26I.01A.11R.A169.07.1	TCGA.A7.A26I.01B.06R.A22O.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A6.2684.01A.01R.A278.07	TCGA.A6.5656.01A.21R.A278.07	TCGA.A6.2674.01A.02R.A278.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.44.2666.01A.01R.A278.07	TCGA.38.4625.01A.01R.1206.07	TCGA.44.6147.01A.11R.A278.07	TCGA.44.5645.01A.01R.A278.07	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.BK.A139.01A.11R.A277.07
DNAH14	132.44	343.89	195.72	134.3	24.46	173.85	127.89	316.37	723.08	58.3	36.79	100.83	303.44	98.73	167.9	119.26	80.01	312.0	102.97	228.13	214.27	175.07	279.14	139.07	156.59	204.07	177.53	1037.29	1857.6	2664.15	947.83	2303.12	1617.0	1427.22	1639.59	239.52	738.29	1119.56	28.65	503.95	0.0	1001.93	647.07	244.57	379.04	295.11	1340.84
EBLN2	11.21	27.44	0.39	12.18	28.45	4.86	9.93	17.9	56.28	9.48	1.36	9.48	8.58	13.03	14.89	13.42	12.74	27.64	28.45	13.52	19.53	5.96	10.39	12.45	0.39	27.64	23.25	52.45	73.54	85.82	59.97	279.14	37.59	180.02	88.26	115.16	161.02	221.86	1.39	70.51	0.0	71.5	55.49	39.22	63.89	61.25	97.36
FKTN	76.71	102.25	53.57	84.04	71.5	68.55	32.82	73.03	395.18	111.99	20.26	81.71	53.19	103.69	162.14	81.14	41.52	119.26	105.89	80.57	109.66	63.89	74.06	53.95	51.35	110.43	90.14	193.01	336.79	525.39	297.17	395.18	438.59	253.23	511.0	281.09	426.57	262.2	17.38	262.2	102.25	221.86	251.48	215.77	285.03	137.14	420.68
GCNT7	1.58	4.06	0.0	9.2	0.68	7.63	2.46	6.52	8.85	0.0	1.31	1.68	1.25	7.11	0.0	0.87	2.94	2.76	2.58	1.35	3.96	3.14	1.71	0.0	2.16	1.81	6.36	10.88	15.22	15.45	9.63	28.04	5.15	10.31	18.97	9.56	50.27	28.86	0.0	12.83	0.0	21.32	13.62	2.92	4.35	5.45	21.16
GNL3L	137.14	94.67	48.52	323.03	194.36	37.59	61.68	242.88	713.11	119.26	66.18	198.47	101.54	79.45	271.48	190.34	220.32	99.43	202.66	194.36	198.47	57.49	90.14	112.77	57.08	138.1	88.26	819.3	400.71	525.39	961.07	555.41	1286.18	981.29	379.04	547.75	974.5	536.45	36.27	473.41	0.0	518.15	693.58	242.88	460.44	470.14	1437.15
HELB	4.82	18.29	7.46	24.11	8.85	5.54	1.57	5.87	84.04	1.85	0.68	10.71	5.06	12.64	9.2	22.43	7.4	15.11	11.04	12.45	8.32	3.96	9.27	7.4	7.57	19.97	8.13	223.41	67.59	256.78	249.73	177.53	108.14	88.88	147.06	151.22	199.85	265.87	4.98	90.14	0.0	171.45	126.12	64.8	130.6	68.07	193.01
KLHL11	10.24	11.64	3.96	34.51	29.7	3.72	5.28	11.73	429.54	24.81	3.66	27.64	11.64	18.03	53.57	17.77	39.5	6.52	12.27	14.89	37.85	4.78	16.51	11.47	3.32	36.27	9.56	547.75	384.34	567.1	309.83	291.04	490.14	172.65	406.31	232.94	450.94	336.79	3.26	336.79	0.0	316.37	323.03	115.16	150.17	100.13	460.44
KMT2A	115.97	198.47	92.05	212.78	153.34	136.19	100.13	164.42	447.82	65.26	78.89	108.14	153.34	176.29	269.6	204.07	236.21	133.36	140.04	150.17	186.4	101.54	68.55	81.71	99.43	228.13	158.79	466.88	473.41	679.29	872.1	1216.75	698.41	1397.83	708.18	412.0	660.68	536.45	38.67	438.59	0.0	698.41	620.67	493.56	514.56	269.6	656.11
LCOR	134.3	154.42	105.89	166.73	356.05	82.29	143.01	397.93	854.13	341.51	112.77	169.07	226.54	105.89	158.79	98.73	318.57	120.1	144.01	150.17	205.5	96.01	42.41	124.37	87.65	153.34	82.87	463.65	400.71	1111.82	665.29	1268.46	693.58	1023.0	713.11	748.61	1073.91	753.83	17.77	642.59	105.15	836.53	802.41	420.68	457.25	244.57	808.0
MGA	68.55	143.01	66.65	199.85	99.43	102.25	79.45	90.77	896.64	103.69	68.07	157.68	139.07	139.07	149.12	122.64	157.68	129.69	112.77	70.01	145.02	100.13	79.45	113.56	65.72	114.36	116.78	612.11	669.92	638.15	616.37	1175.27	665.29	723.08	579.04	447.82	483.38	444.72	16.63	409.15	73.03	633.73	748.61	248.0	281.09	149.12	819.3
NBPF24	18.29	101.54	4.35	105.15	41.52	19.97	19.82	33.54	175.07	3.11	14.24	10.88	32.13	19.97	57.89	32.36	67.12	88.26	104.42	10.88	38.67	18.16	15.91	31.0	8.45	119.26	22.43	209.84	162.14	291.04	125.24	334.46	159.9	368.65	212.78	234.57	244.57	241.19	3.63	108.9	0.0	262.2	177.53	111.99	110.43	70.01	301.33
NFAT5	98.04	185.11	20.41	199.85	193.01	51.71	92.7	256.78	543.96	73.03	27.84	65.26	81.14	105.89	170.25	84.63	98.73	48.87	142.01	21.78	175.07	73.03	45.53	44.89	22.59	68.07	45.85	532.74	679.29	432.53	447.82	1073.91	392.44	1551.09	271.48	476.71	921.88	1051.79	12.09	312.0	0.0	679.29	1030.12	339.14	275.28	327.56	780.44
PLEKHA8	70.51	69.52	65.72	163.28	67.12	45.21	33.78	65.72	221.86	68.55	47.84	74.06	93.35	103.69	91.41	149.12	193.01	183.82	136.19	69.03	86.43	60.39	64.8	44.89	49.21	129.69	83.45	403.5	320.8	228.13	463.65	387.02	226.54	275.28	283.05	242.88	376.41	312.0	16.75	154.42	0.0	260.38	511.0	166.73	205.5	178.77	503.95
PLEKHM3	20.56	15.0	7.11	32.59	9.2	14.67	7.11	15.68	551.56	9.7	10.24	19.68	5.68	19.68	116.78	31.22	31.67	8.06	14.35	11.82	28.86	28.86	15.8	15.11	10.47	17.0	8.85	134.3	166.73	161.02	164.42	258.57	229.72	198.47	167.9	121.79	135.24	140.04	25.91	183.82	0.0	182.55	193.01	46.84	111.99	41.81	318.57
POMK	39.79	14.35	4.66	38.95	26.47	4.46	5.92	13.93	579.04	30.78	3.99	49.21	6.36	19.82	49.21	22.26	29.06	7.46	47.5	15.91	43.63	6.73	10.0	8.45	9.78	55.1	9.56	896.64	1340.84	1030.12	575.03	486.75	1583.71	567.1	555.41	255.0	283.05	460.44	3.32	480.04	0.0	1175.27	309.83	105.89	84.63	116.78	571.05
RBM12B	72.52	159.9	46.84	260.38	171.45	69.03	51.71	101.54	518.15	42.41	37.32	57.89	63.45	101.54	161.02	68.07	190.34	115.16	201.25	72.52	170.25	74.58	66.18	103.69	58.71	158.79	55.89	486.75	470.14	493.56	371.22	389.72	476.71	603.67	503.95	341.51	872.1	612.11	17.25	368.65	0.0	587.13	579.04	175.07	361.04	198.47	551.56
RBM12B-AS1	24.28	47.17	6.11	49.91	42.71	17.38	4.39	35.25	146.03	10.39	5.68	8.13	10.79	13.03	29.27	13.52	34.02	17.64	78.34	5.5	26.86	3.59	12.74	11.13	19.25	54.33	10.55	141.02	189.02	142.01	146.03	202.66	123.5	325.29	64.8	136.19	432.53	232.94	0.0	93.35	0.0	195.72	105.15	47.17	151.22	67.59	97.36
RBM15	44.89	75.11	47.5	105.89	70.01	44.57	30.12	70.51	473.41	65.26	33.78	40.64	62.12	43.94	92.7	53.57	183.82	40.36	84.63	50.98	54.72	47.17	75.64	31.67	41.81	142.01	58.71	532.74	366.09	587.13	633.73	759.08	518.15	529.06	423.61	392.44	525.39	420.68	34.02	470.14	0.0	490.14	412.0	175.07	212.78	136.19	417.77
RC3H1	68.55	140.04	53.95	132.44	107.38	68.55	73.54	134.3	450.94	77.79	67.12	61.25	120.94	165.57	126.12	62.56	148.09	183.82	232.94	163.28	95.34	111.99	78.34	102.97	47.5	127.89	98.04	486.75	579.04	723.08	503.95	1119.56	551.56	1844.76	555.41	283.05	400.71	384.34	25.91	287.01	53.19	547.75	466.88	273.37	212.78	177.53	638.15
RGPD8	5.77	29.91	4.66	28.04	7.22	2.63	12.09	28.24	105.15	10.08	3.66	14.45	11.38	23.25	21.16	8.92	43.32	41.22	14.45	10.47	29.27	5.96	6.26	4.43	5.5	21.78	5.15	70.51	97.36	142.01	132.44	156.59	323.03	438.59	169.07	121.79	156.59	154.42	8.19	132.44	0.0	164.42	100.83	73.54	90.77	66.18	301.33
RIF1	69.03	125.24	75.11	287.01	116.78	81.14	64.8	117.6	536.45	47.17	76.17	104.42	146.03	134.3	129.69	65.26	146.03	159.9	84.63	88.26	135.24	84.63	66.18	102.25	59.55	120.94	135.24	954.43	647.07	1015.93	1044.52	674.59	1233.75	836.53	665.29	540.19	791.35	769.69	14.03	547.75	0.0	525.39	493.56	356.05	379.04	289.02	1023.0
RNF169	63.0	75.11	41.52	140.04	90.14	46.5	24.99	105.15	198.47	30.12	20.86	95.34	40.93	85.82	63.89	105.15	74.58	68.07	57.49	40.64	94.01	27.64	30.34	43.02	34.02	98.73	40.36	258.57	246.28	277.2	567.1	457.25	409.15	591.22	309.83	253.23	329.84	297.17	21.63	275.28	0.0	303.44	423.61	131.51	136.19	229.72	379.04
RP11-10J21.3	1.27	0.0	0.0	1.13	1.01	0.0	0.0	0.0	6.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.93	2.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.94	1.53	3.0	58.71	1.23	41.22	13.93	2.36	89.51	43.94	0.0	11.3	0.0	46.18	16.51	4.31	4.1	8.51	27.84
RP11-458D21.5	2.89	3.76	0.73	12.64	0.71	0.0	0.95	0.0	152.28	1.55	0.0	3.06	0.34	1.39	13.32	1.17	1.81	3.11	8.13	0.37	8.58	0.0	1.06	1.71	2.56	13.32	9.13	127.89	146.03	162.14	85.22	209.84	99.43	102.25	117.6	103.69	72.01	163.28	0.0	38.12	0.0	126.12	165.57	24.46	29.91	23.76	148.09
RP11-861L17.3	0.0	0.0	0.0	0.0	1.36	0.0	0.0	0.0	31.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.28	22.43	11.73	8.58	55.89	17.38	106.63	15.0	21.32	10.0	94.01	0.0	62.12	0.0	99.43	13.32	1.62	1.69	1.38	151.22
SHPRH	49.21	57.89	19.25	74.58	57.89	31.22	23.76	27.05	262.2	35.76	28.24	51.35	47.84	59.55	46.84	59.13	57.08	45.21	29.27	23.76	72.52	24.11	35.0	56.68	14.56	46.84	23.42	251.48	403.5	521.76	297.17	764.36	271.48	525.39	368.65	376.41	387.02	420.68	5.23	177.53	0.0	262.2	353.59	126.12	118.43	120.1	559.28
SPATA5	17.9	31.9	22.59	21.78	32.82	21.01	18.84	51.71	236.21	22.75	25.54	29.06	29.48	38.95	53.57	12.93	22.1	24.99	24.28	43.32	35.25	23.08	27.64	40.07	25.54	21.01	34.26	208.38	307.69	392.44	142.01	836.53	111.99	206.94	231.32	123.5	226.54	218.79	10.24	103.69	44.25	165.57	185.11	64.34	77.79	69.52	361.04
SPDYE1	2.56	21.63	6.01	12.36	1.38	5.5	6.16	7.28	16.88	3.03	3.29	6.36	9.7	7.82	7.75	3.99	5.63	18.29	6.62	2.39	5.28	5.5	3.44	6.73	7.57	7.28	12.09	33.3	30.78	40.93	10.88	159.9	7.94	246.28	81.71	18.29	37.05	31.67	0.88	24.11	0.0	33.78	14.56	17.13	20.86	21.47	52.08
TAS2R13	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	36.27	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.3	0.0	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.61	0.0	50.27	82.87	13.12	13.52	44.25	27.25	81.71	42.11	35.25	81.71	70.51	0.0	13.93	0.0	33.3	40.93	11.73	1.23	2.58	102.25
TAS2R19	0.65	1.04	1.07	2.84	1.03	0.0	1.55	0.0	69.03	1.22	1.0	0.0	3.76	4.43	0.0	3.44	0.6	6.78	5.15	0.0	2.97	0.0	2.07	9.7	0.0	2.73	1.69	104.42	161.02	59.97	37.85	80.57	39.5	105.15	85.82	94.67	194.36	221.86	0.0	25.72	0.0	102.25	66.65	2.32	6.41	12.45	120.1
