	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.LN.A4A9.01A.11R.A28J.31	GTEX.V1D1.1226.SM.4JBI5	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11ZTS.2726.SM.5EQLU	GTEX.X3Y1.1126.SM.4PQZ9	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.12WSJ.0726.SM.5GCN6	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.13YAN.2026.SM.5Q5EY	GTEX.ZAB4.1226.SM.5CVN5	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	GTEX.PWN1.2626.SM.2I3FH
PDC	1.16	4.7	3.14	2.05	5.82	1.48	2.43	3.08	2.94	6.41	11.64	4.17	7.0	9.7	5.11	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	3.29	0.0	0.62	0.77	0.67	0.0	1.66
PGR	3.32	44.25	50.27	54.33	54.33	21.78	56.68	49.56	51.35	34.26	74.06	30.56	53.95	48.87	66.18	1.53	5.36	1.51	1.16	13.62	0.71	5.23	11.13	0.59	3.35	7.75	0.55	1.6	3.26	8.06	0.3	0.59	3.79	3.14	0.0	25.17
POPDC2	115.16	579.04	1167.14	1088.92	358.54	1015.93	450.94	361.04	2835.7	1295.13	518.15	325.29	599.49	339.14	547.75	10.16	25.17	35.76	66.18	33.3	19.25	51.71	39.5	24.11	23.08	33.06	13.93	26.47	6.26	34.75	3.89	8.51	20.71	42.71	0.0	181.28
PRLHR	0.0	0.19	8.58	0.0	0.99	4.62	3.66	2.66	2.56	14.67	5.73	3.56	14.78	1.73	30.34	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.23	0.0	2.05	0.0	0.0	0.0	0.0
PROX2	4.03	19.68	14.45	9.34	11.64	8.13	8.92	12.74	2.05	12.83	19.53	15.11	24.81	20.26	25.54	0.6	1.22	1.23	1.85	1.77	1.6	1.71	1.22	2.1	1.99	1.11	0.44	2.07	0.02	2.92	0.42	0.11	1.6	1.39	0.0	7.75
PRSS37	0.39	3.59	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.68	2.86	1.89	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13
PXT1	0.0	4.54	1.75	0.0	0.0	0.72	0.37	0.68	1.53	0.73	0.78	5.92	4.94	1.11	1.85	0.0	0.0	1.08	5.11	3.86	0.49	0.0	0.0	0.92	1.0	3.0	0.0	0.91	0.77	0.0	1.08	2.27	1.08	0.0	0.0	1.87
RBM5	1135.2	4607.24	4419.52	4704.07	4802.93	4095.0	3874.05	5831.91	2287.2	3467.27	6037.61	6207.38	6471.02	3742.05	6294.04	759.08	954.43	718.08	909.17	1259.69	723.08	1127.35	1487.87	624.99	848.22	1088.92	647.07	791.35	665.29	1081.39	507.46	409.15	1088.92	723.08	0.0	2537.92
RIMS1	0.39	20.41	63.0	83.45	39.22	43.32	69.03	10.55	220.32	30.56	25.91	22.92	30.34	29.7	44.57	0.18	0.0	1.73	0.21	0.0	2.01	2.61	0.0	0.0	0.23	0.68	0.18	0.0	0.13	0.19	0.0	0.0	0.27	0.0	0.0	1.81
RP1-317E23.6	1.93	20.56	4.74	5.28	5.59	10.31	12.36	0.0	7.34	0.0	0.0	7.88	8.06	5.36	0.0	1.16	2.53	5.28	1.89	5.02	2.51	6.21	2.53	2.84	1.04	0.0	0.88	1.71	0.0	4.03	0.0	0.0	1.14	0.0	0.0	10.08
SLC35E2B	231.32	551.56	1268.46	981.29	954.43	890.44	860.08	909.17	571.05	872.1	896.64	1359.57	1417.35	1088.92	1508.65	206.94	214.27	100.13	164.42	339.14	229.72	277.2	329.84	118.43	218.79	312.0	162.14	131.51	251.48	256.78	95.34	51.71	187.71	251.48	0.0	483.38
SLC51B	3.08	11.3	20.26	24.99	18.16	25.72	22.43	15.22	21.16	13.93	30.34	28.86	24.81	37.32	18.84	29.7	70.01	10.47	72.52	2.32	1.77	2.48	29.27	17.13	6.78	2.41	13.93	29.91	1331.57	37.85	1.38	13.72	0.0	2.27	0.0	6.41
SLFN14	0.21	1.89	1.57	0.0	1.31	0.43	0.0	0.4	0.45	0.43	0.89	1.11	1.19	0.44	0.84	0.0	1.07	0.0	1.73	0.56	0.07	0.09	0.0	0.93	1.83	0.08	0.49	0.28	1.87	1.46	0.64	0.06	0.88	0.55	0.0	2.46
SMTN	8658.09	15934.98	30999.42	53601.03	48643.87	20310.37	67377.47	44761.41	25708.25	35609.13	64632.75	33922.56	54727.32	54727.32	44452.21	438.59	239.52	173.85	260.38	507.46	175.07	441.64	267.73	158.79	543.96	525.39	275.28	224.97	334.46	536.45	457.25	237.86	353.59	231.32	0.0	656.11
SSMEM1	0.0	1.95	1.16	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	1.57	1.23	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST6GALNAC6	1119.56	1605.83	1991.0	1991.0	1529.73	2178.83	1757.34	1745.2	1651.0	2018.8	1685.71	2319.15	2163.77	1685.71	1923.14	1127.35	651.58	500.46	507.46	981.29	1104.13	1167.14	733.19	974.5	796.86	791.35	1233.75	819.3	575.03	753.83	808.0	1457.23	669.92	395.18	0.0	1199.98
ST7-OT4	3.29	24.81	19.11	8.06	27.05	12.09	19.25	6.01	7.11	14.56	40.36	24.81	22.1	8.13	14.24	1.57	3.23	0.96	1.48	0.0	1.57	0.0	2.23	3.2	2.81	9.34	0.0	6.16	4.1	4.17	0.0	0.0	6.41	0.0	0.0	20.56
SUPT7L	703.28	1096.5	819.3	796.86	860.08	791.35	848.22	813.63	665.29	808.0	921.88	1023.0	1111.82	866.07	915.51	305.55	447.82	334.46	444.72	500.46	273.37	480.04	490.14	289.02	397.93	525.39	387.02	301.33	361.04	511.0	164.42	208.38	466.88	363.56	0.0	616.37
SYT2	3.11	4.86	5.06	3.63	3.59	8.25	3.86	7.11	6.36	6.84	3.66	3.41	12.09	14.67	11.47	0.0	0.0	0.0	1.01	1.11	0.0	0.61	1.79	0.0	0.01	2.84	0.0	0.0	0.0	0.0	0.09	0.93	0.09	0.0	0.0	2.66
SZT2	291.04	825.0	503.95	426.57	432.53	473.41	521.76	400.71	307.69	368.65	429.54	583.07	348.71	429.54	486.75	106.63	140.04	180.02	269.6	215.77	128.79	169.07	195.72	106.63	186.4	183.82	128.79	125.24	131.51	142.01	67.12	117.6	145.02	129.69	0.0	493.56
TDRD6	11.3	132.44	25.72	29.06	17.0	33.3	50.27	35.5	29.27	43.63	36.01	71.0	21.63	19.11	48.18	9.13	13.42	11.04	13.32	23.25	14.45	17.38	16.75	19.53	9.56	35.25	11.64	14.35	3.96	41.22	2.05	0.02	44.25	24.46	0.0	8.38
TRPC6	182.55	312.0	72.01	74.06	343.89	77.79	571.05	309.83	195.72	138.1	688.78	325.29	361.04	239.52	309.83	0.69	2.43	10.47	0.75	2.81	0.8	5.82	2.25	0.0	3.96	1.33	0.0	0.72	2.14	3.0	0.89	8.06	5.5	0.31	0.0	281.09
TTC14	441.64	1175.27	1111.82	836.53	1242.34	1030.12	1143.1	1313.23	738.29	860.08	1508.65	1350.18	1697.45	1044.52	1417.35	208.38	371.22	264.03	341.51	423.61	182.55	279.14	457.25	236.21	332.14	435.55	204.07	127.89	273.37	358.54	133.36	123.5	336.79	279.14	0.0	536.45
TTC34	1.91	7.63	16.51	6.78	2.89	4.66	27.84	4.74	2.86	13.72	10.96	18.7	15.68	4.78	15.11	4.21	3.29	6.01	1.6	8.71	4.24	1.25	2.25	0.99	1.17	8.71	0.44	0.22	0.0	0.95	0.0	0.99	0.13	3.79	0.0	83.45
TTLL3	444.72	1487.87	2163.77	2573.36	2935.74	1259.69	2417.67	2133.97	688.78	1350.18	3303.0	2796.65	2796.65	2417.67	3847.29	85.82	143.01	98.73	190.34	358.54	80.01	221.86	153.34	85.22	127.89	173.85	57.08	81.14	108.14	198.47	39.5	61.68	166.73	94.67	0.0	466.88
UVSSA	120.1	234.57	384.34	251.48	208.38	185.11	251.48	279.14	144.01	217.27	327.56	307.69	348.71	273.37	595.34	30.12	23.59	22.92	55.1	91.41	30.12	34.75	65.26	37.05	22.59	60.39	8.51	36.53	8.58	50.98	9.78	14.78	34.26	15.56	0.0	231.32
VAMP2	629.35	1304.15	2520.38	3716.2	3039.3	2875.3	3395.89	3257.52	2573.36	2627.46	3060.45	2255.7	2520.38	2816.11	3847.29	1023.0	934.76	1331.57	708.18	1268.46	775.05	723.08	1044.52	785.88	1119.56	1259.69	483.38	842.36	928.3	599.49	791.35	297.17	738.29	1183.45	497.0	3190.46
VIP	2.48	251.48	854.13	59.55	234.57	387.02	703.28	743.43	149.12	1059.11	218.79	208.38	587.13	72.52	2287.2	5.19	7.69	0.0	3.06	14.45	3.44	5.5	10.71	5.28	7.88	13.62	5.96	4.13	7.17	29.06	0.0	0.0	6.84	4.1	0.0	4.9
ZCCHC11	836.53	1119.56	890.44	1081.39	1832.01	780.44	1044.52	1572.76	536.45	842.36	1617.0	2240.11	1350.18	1175.27	1286.18	236.21	490.14	420.68	693.58	842.36	303.44	629.35	571.05	358.54	460.44	647.07	295.11	358.54	579.04	514.56	237.86	150.17	629.35	543.96	0.0	836.53
