	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A227.01A.11R.A157.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7373.01A.11R.2016.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ARL3	363.56	555.41	728.11	693.58	607.87	343.89	389.72	346.29	616.37	540.19	616.37	318.57	435.55	158.79	417.77	182.55	457.25	435.55	299.25	114.36	27.84	113.56	98.73	62.56	149.12	67.59	124.37	83.45	167.9	103.69
ATP6V1G1	5672.41	6561.36	5633.22	5041.77	5711.87	5995.9	3955.48	5872.48	5995.9	5147.73	5112.16	5329.3	6121.9	4543.8	4298.64	2997.45	4388.98	4298.64	3303.0	2400.97	2104.58	3901.01	3955.48	5292.48	3168.41	2777.33	3190.46	6121.9	2758.13	1583.71
ATPIF1	5594.3	8191.0	7803.01	6983.79	4358.66	4328.55	5479.15	4836.35	10440.2	2796.65	8022.41	3168.41	3847.29	3639.7	7485.11	3614.55	6652.97	5479.15	3467.27	3039.3	2835.7	3540.14	2796.65	4419.52	3235.01	4972.34	5255.91	3690.52	0.0	0.65
BAI2	37.85	1857.6	4210.15	2502.97	1487.87	406.31	2468.49	320.8	1286.18	559.28	802.41	223.41	780.44	136.19	3540.14	90.77	1199.98	93.35	100.13	36.79	9.93	63.45	18.97	28.24	16.03	10.79	28.04	8.13	0.0	0.26
BATF	363.56	536.45	738.29	2434.5	264.03	384.34	1119.56	346.29	130.6	363.56	529.06	934.76	486.75	507.46	429.54	249.73	500.46	144.01	532.74	96.68	279.14	211.31	287.01	61.25	79.45	194.36	76.17	220.32	0.0	0.41
BSCL2	3039.3	4239.45	5555.65	6607.01	3614.55	2400.97	4802.93	2520.38	5517.27	2739.08	7803.01	1923.14	4802.93	3325.99	7230.1	1191.69	4239.45	2018.8	2573.36	647.07	693.58	738.29	669.92	262.2	129.69	961.07	854.13	376.41	0.0	0.58
C15orf65	312.0	194.36	450.94	346.29	191.67	135.24	152.28	120.1	277.2	148.09	237.86	113.56	316.37	128.79	323.03	63.89	102.97	159.9	152.28	43.02	13.32	16.39	3.14	8.99	36.53	9.7	23.25	27.05	0.0	0.0
C1orf168	21.78	55.49	199.85	503.95	94.01	31.67	37.05	15.45	19.97	34.26	78.89	8.58	31.9	6.31	169.07	7.0	137.14	50.98	65.26	0.0	3.86	0.62	0.0	0.54	0.56	0.56	0.0	0.0	0.0	0.12
C1orf210	293.07	543.96	575.03	379.04	444.72	275.28	420.68	368.65	1104.13	563.18	450.94	307.69	336.79	258.57	536.45	688.78	583.07	139.07	204.07	32.59	133.36	316.37	55.49	109.66	161.02	131.51	130.6	149.12	0.0	0.0
C1orf56	170.25	289.02	426.57	392.44	186.4	314.17	420.68	241.19	384.34	264.03	718.08	303.44	348.71	130.6	579.04	120.94	228.13	92.05	100.13	94.67	47.5	38.12	22.59	36.53	49.91	38.67	63.89	48.87	0.0	0.31
C20orf196	182.55	228.13	181.28	514.56	195.72	293.07	102.25	253.23	241.19	182.55	153.34	327.56	215.77	115.97	267.73	129.69	80.57	171.45	211.31	149.12	94.67	150.17	138.1	84.04	116.78	88.88	115.16	170.25	0.0	0.16
C21orf59	1477.58	1467.37	1572.76	1819.35	1135.2	1340.84	1819.35	1583.71	1963.57	1250.98	1508.65	1369.04	1477.58	1225.22	1378.57	866.07	1519.15	878.17	1295.13	688.78	669.92	480.04	591.22	486.75	638.15	409.15	400.71	521.76	0.0	0.46
C3orf83	59.13	128.79	92.05	138.1	108.9	102.97	77.79	48.87	223.41	125.24	65.26	178.77	57.89	99.43	55.1	61.25	132.44	2.12	47.17	33.06	28.86	11.64	18.16	7.17	49.21	6.36	16.51	66.65	0.0	0.06
C5orf60	2.25	1.99	5.19	10.08	0.33	4.9	1.39	0.69	2.23	2.61	0.99	0.66	1.91	2.36	0.38	1.55	5.02	1.08	0.43	0.39	0.0	0.0	1.13	1.11	0.0	0.0	2.58	1.19	0.0	0.0
C9orf152	703.28	483.38	802.41	872.1	988.12	660.68	503.95	221.86	638.15	909.17	486.75	551.56	540.19	521.76	432.53	133.36	1159.07	183.82	525.39	25.54	4.98	0.68	1.38	1.36	0.0	0.0	0.67	0.62	0.0	0.06
CCDC106	638.15	426.57	559.28	612.11	297.17	420.68	532.74	327.56	743.43	305.55	802.41	450.94	368.65	305.55	476.71	287.01	575.03	199.85	190.34	94.67	41.52	61.68	39.22	66.65	21.63	242.88	52.45	57.49	0.0	0.43
CCDC169	6.78	54.72	41.52	86.43	13.72	14.35	19.53	6.26	3.47	39.79	30.56	22.43	17.51	42.41	38.67	0.75	0.33	11.47	5.68	2.41	0.0	0.0	3.32	14.56	1.39	19.53	0.0	9.93	0.0	0.09
CHMP4B	3395.89	5995.9	3928.15	5441.3	4066.71	6121.9	3540.14	5479.15	8658.09	4972.34	7032.37	4802.93	3146.52	2835.7	3768.09	3212.66	4181.07	2664.15	2777.33	4066.71	4038.61	4152.18	2682.69	2796.65	2468.49	2997.45	2468.49	2796.65	0.0	0.84
CHRNA2	0.0	4.7	13.42	34.75	0.0	0.0	40.36	5.28	31.22	0.27	0.28	11.04	11.3	0.34	0.0	0.0	71.5	5.73	13.42	1.38	1.17	0.0	1.38	0.0	0.72	0.0	0.0	0.0	0.0	0.0
CLPSL2	3.66	265.87	470.14	2434.5	166.73	178.77	195.72	61.25	351.14	135.24	305.55	35.76	633.73	56.68	236.21	23.59	74.58	0.0	13.72	2.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
COA5	915.51	848.22	941.27	1008.9	981.29	587.13	679.29	764.36	1104.13	1030.12	651.58	842.36	896.64	595.34	934.76	651.58	559.28	547.75	967.76	497.0	457.25	348.71	373.81	327.56	287.01	262.2	441.64	486.75	0.0	0.56
COX20	2047.0	4181.07	3018.3	3491.39	1769.57	2451.44	2104.58	1909.85	3039.3	3018.3	3768.09	2434.5	3982.99	1216.75	1674.06	813.63	2255.7	1529.73	1340.84	866.07	1143.1	417.77	638.15	624.99	555.41	332.14	629.35	669.92	0.0	0.83
CRLS1	1519.15	909.17	915.51	2976.74	1437.15	1508.65	1037.29	1143.1	1167.14	1159.07	684.02	884.29	1437.15	1008.9	1259.69	1127.35	1096.5	1233.75	967.76	713.11	748.61	525.39	651.58	514.56	642.59	555.41	511.0	387.02	0.0	0.56
CYFIP2	231.32	412.0	738.29	1191.69	211.31	241.19	595.34	265.87	248.0	438.59	1044.52	400.71	642.59	180.02	928.3	152.28	358.54	587.13	143.01	40.36	55.1	234.57	159.9	41.52	137.14	113.56	63.0	162.14	114.36	80.01
DPY30	2485.67	2502.97	2163.77	2682.69	1883.54	1508.65	1794.29	1950.0	2777.33	2485.67	2224.63	1508.65	2384.37	2133.97	2367.9	1477.58	2384.37	1923.14	1583.71	1651.0	1583.71	1111.82	1721.16	785.88	1378.57	1369.04	1407.55	1369.04	0.0	0.43
ECT2L	7.75	9.7	15.11	571.05	21.78	3.89	82.29	5.5	3.35	26.1	3.0	3.63	78.89	8.13	5.96	1.97	18.16	3.41	5.45	3.06	0.46	0.53	0.45	0.8	0.84	1.2	0.52	1.23	0.0	0.0
EID2	255.0	231.32	323.03	316.37	246.28	198.47	162.14	264.03	214.27	223.41	171.45	130.6	271.48	236.21	273.37	185.11	780.44	187.71	154.42	289.02	209.84	136.19	195.72	138.1	125.24	120.1	162.14	130.6	0.0	0.21
ELP6	624.99	791.35	819.3	1015.93	688.78	647.07	616.37	665.29	1104.13	624.99	713.11	521.76	684.02	540.19	703.28	507.46	490.14	547.75	669.92	454.09	373.81	305.55	447.82	348.71	450.94	265.87	348.71	454.09	0.0	0.0
GALE	1044.52	1923.14	1015.93	1498.22	1832.01	1359.57	603.67	1572.76	2976.74	616.37	1447.15	974.5	1331.57	967.76	1340.84	1313.23	1350.18	287.01	532.74	400.71	555.41	769.69	808.0	1111.82	1037.29	1023.0	1001.93	995.0	0.0	0.31
GLB1L	204.07	441.64	242.88	638.15	279.14	412.0	301.33	409.15	825.0	301.33	361.04	684.02	607.87	120.94	591.22	281.09	146.03	122.64	555.41	73.03	53.57	63.89	29.7	50.27	60.39	38.4	57.49	27.44	113.56	521.76
GMPPB	511.0	1008.9	660.68	808.0	511.0	753.83	921.88	551.56	2004.85	536.45	954.43	2178.83	669.92	540.19	603.67	890.44	603.67	389.72	368.65	289.02	303.44	353.59	267.73	150.17	255.0	236.21	194.36	256.78	718.08	255.0
GPM6A	9.93	7.22	507.46	4066.71	34.75	8.32	5.54	1.79	0.0	4.24	24.99	5.92	7.51	0.44	35.76	1.22	1991.0	161.02	37.59	0.0	1.89	0.0	2.92	2.89	0.46	1.55	1.77	1.97	0.0	0.0
GSTT1	341.51	3540.14	9.41	3146.52	1709.26	1313.23	2664.15	1991.0	4152.18	0.0	1183.45	1.58	902.89	0.0	1896.65	921.88	2537.92	0.49	1135.2	532.74	571.05	320.8	186.4	0.0	872.1	299.25	1.83	0.0	0.0	0.02
HDAC8	392.44	406.31	497.0	420.68	420.68	343.89	356.05	420.68	447.82	397.93	403.5	318.57	412.0	366.09	420.68	291.04	255.0	221.86	480.04	307.69	339.14	197.09	249.73	234.57	229.72	197.09	248.0	214.27	0.0	0.41
HMGN2	16727.26	19082.0	15180.22	13033.07	12853.63	13872.08	12415.75	11827.67	18431.96	9344.14	24321.43	7433.4	15180.22	10296.45	16383.0	9409.14	19754.96	12764.83	13492.72	10808.41	11827.67	5751.61	10225.32	14765.09	8191.0	9540.5	8191.0	8778.97	10585.95	4575.41
KIF9	490.14	665.29	896.64	638.15	647.07	543.96	486.75	507.46	1277.29	583.07	473.41	301.33	728.11	476.71	591.22	187.71	669.92	497.0	460.44	193.01	237.86	89.51	70.01	60.82	152.28	90.14	100.13	86.43	0.0	0.12
KLHDC9	575.03	514.56	708.18	679.29	563.18	450.94	490.14	633.73	764.36	387.02	738.29	320.8	629.35	361.04	603.67	98.73	791.35	223.41	529.06	59.13	28.24	16.27	2.68	6.52	2.78	15.68	31.67	14.14	0.0	0.22
LY6G5C	63.45	135.24	195.72	587.13	111.21	57.08	90.14	106.63	145.02	128.79	111.99	94.01	92.7	87.65	128.79	73.54	239.52	98.04	190.34	46.5	29.27	23.42	32.36	24.11	34.26	17.77	40.36	38.95	0.0	0.32
MARVELD3	206.94	389.72	426.57	1769.57	339.14	353.59	460.44	373.81	497.0	273.37	211.31	109.66	507.46	283.05	460.44	185.11	651.58	150.17	262.2	61.25	226.54	92.7	126.12	217.27	148.09	157.68	217.27	205.5	0.0	0.0
MORN2	896.64	854.13	688.78	995.0	854.13	579.04	684.02	620.67	1313.23	860.08	915.51	525.39	961.07	563.18	1044.52	444.72	769.69	728.11	660.68	371.22	320.8	299.25	299.25	140.04	299.25	221.86	262.2	297.17	0.0	0.0
MRPL24	4066.71	4639.29	4481.23	5711.87	2061.24	3874.05	4152.18	4481.23	7749.1	3349.13	5555.65	4095.0	7280.4	3257.52	4152.18	1508.65	4481.23	1991.0	1794.29	1340.84	1111.82	1081.39	1151.06	1447.15	1457.23	1427.22	1605.83	1030.12	0.0	0.43
MTA3	1008.9	1331.57	679.29	1191.69	1359.57	915.51	902.89	872.1	941.27	1487.87	1617.0	775.05	1233.75	1467.37	1001.93	417.77	1059.11	974.5	854.13	551.56	543.96	543.96	379.04	371.22	679.29	409.15	616.37	698.41	1104.13	214.27
MTHFS	981.29	1277.29	1216.75	1242.34	1135.2	1051.79	941.27	808.0	1259.69	1159.07	921.88	1159.07	934.76	403.5	995.0	775.05	902.89	848.22	748.61	435.55	547.75	373.81	759.08	536.45	417.77	403.5	555.41	642.59	0.0	0.07
MTX2	1088.92	1081.39	1030.12	988.12	1135.2	866.07	703.28	915.51	759.08	995.0	1119.56	780.44	1104.13	842.36	743.43	521.76	842.36	961.07	902.89	674.59	748.61	420.68	703.28	723.08	967.76	698.41	651.58	791.35	0.0	0.0
NAA38	1208.34	1001.93	1023.0	4769.75	934.76	1313.23	896.64	1104.13	1295.13	1159.07	2133.97	1199.98	1407.55	878.17	6792.79	928.3	1104.13	1467.37	1111.82	872.1	921.88	536.45	693.58	785.88	718.08	540.19	884.29	884.29	0.0	0.72
NDUFB4	6294.04	11992.79	6652.97	7589.61	8598.28	9344.14	4181.07	7331.05	8718.32	5711.87	6840.04	4123.49	5995.9	8658.09	5633.22	3589.58	7081.29	7695.57	3820.7	4607.24	4736.79	6207.38	2682.69	5183.54	4607.24	5555.65	4869.99	3349.13	0.0	1.28
NPRL2	551.56	764.36	813.63	854.13	854.13	599.49	633.73	463.65	1388.16	769.69	753.83	674.59	819.3	470.14	872.1	348.71	612.11	353.59	571.05	327.56	251.48	124.37	187.71	40.36	204.07	158.79	133.36	142.01	0.0	0.62
NUCB2	13968.57	12160.22	16383.0	23009.42	9344.14	8538.88	13399.51	10084.54	14361.31	6652.97	25708.25	9151.82	18431.96	5913.33	18689.27	5147.73	14561.8	10585.95	2537.92	1322.37	825.0	1008.9	1151.06	490.14	1111.82	703.28	928.3	493.56	0.0	0.6
P4HTM	941.27	947.83	2720.15	1378.57	688.78	954.43	1208.34	819.3	1313.23	1135.2	1757.34	1388.16	1745.2	638.15	1487.87	595.34	1674.06	332.14	1119.56	215.77	309.83	113.56	82.29	45.85	70.01	63.45	42.71	50.98	0.0	0.72
PBXIP1	3639.7	3018.3	1417.35	2758.13	1208.34	2090.03	1963.57	1896.65	2664.15	1819.35	2384.37	3280.18	1991.0	1870.53	2720.15	1519.15	2895.31	2061.24	1685.71	400.71	234.57	791.35	525.39	536.45	579.04	684.02	563.18	260.38	620.67	189.02
PEX7	414.87	536.45	764.36	493.56	529.06	490.14	480.04	674.59	791.35	417.77	603.67	273.37	890.44	289.02	518.15	176.29	325.29	285.03	356.05	82.29	102.97	88.26	75.64	130.6	224.97	93.35	49.21	181.28	0.0	0.01
PPIAL4C	0.0	0.0	0.0	3.66	0.0	0.0	0.34	1.35	0.0	0.0	0.65	0.32	0.0	0.0	0.74	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPP1R7	1923.14	2032.85	2075.59	2976.74	2032.85	1733.13	1745.2	2047.0	2997.45	2193.99	2400.97	2018.8	2018.8	1594.73	1769.57	1733.13	2537.92	1745.2	1295.13	1674.06	1685.71	1151.06	802.41	1340.84	1417.35	656.11	1551.09	1277.29	1073.91	571.05
RBM45	267.73	226.54	255.0	346.29	307.69	251.48	239.52	236.21	264.03	293.07	265.87	209.84	299.25	264.03	255.0	193.01	239.52	122.64	237.86	194.36	191.67	108.9	149.12	143.01	186.4	180.02	111.21	178.77	0.0	0.0
RET	21.32	669.92	4095.0	2915.45	529.06	138.1	2271.4	49.56	2701.35	954.43	406.31	66.65	457.25	29.91	285.03	32.13	10883.59	183.82	141.02	7.22	2.1	22.43	32.13	27.44	53.57	31.9	30.78	6.46	0.0	0.22
RGS22	60.39	341.51	447.82	246.28	151.22	33.3	100.83	14.03	30.34	93.35	591.22	28.65	961.07	3.63	283.05	4.74	170.25	57.89	9.13	2.86	2.2	3.2	0.0	0.99	0.71	0.0	0.0	2.43	0.0	0.0
RNFT2	102.97	49.91	134.3	149.12	29.91	20.11	64.8	26.86	100.83	45.21	116.78	32.13	133.36	58.3	53.57	12.93	87.03	28.04	42.41	21.47	25.54	4.66	12.74	6.31	3.66	8.0	3.26	15.68	0.0	0.39
SCGB2A2	1800541.22	233003.78	92680.9	589853.66	1318073.06	1163466.92	1238359.56	1788103.97	1751305.3	2279047.19	1422501.74	1600397.78	834179.46	1524599.69	8805660.77	1345768.59	1578364.61	1442359.14	1019901.63	0.0	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	0.0
SERPINA11	29.7	2271.4	4210.15	3589.58	1651.0	2061.24	3443.31	490.14	1467.37	1378.57	2255.7	214.27	1427.22	1.16	189.02	8.19	255.0	209.84	738.29	1.07	1.45	1.17	0.0	0.99	1.46	0.0	0.67	0.0	0.0	0.09
SLC25A38	780.44	642.59	854.13	579.04	813.63	620.67	642.59	543.96	878.17	733.19	595.34	728.11	878.17	521.76	603.67	497.0	607.87	301.33	406.31	463.65	392.44	267.73	309.83	218.79	283.05	195.72	214.27	271.48	0.0	0.06
SLC45A1	75.64	100.13	183.82	309.83	22.1	52.08	81.71	56.68	108.14	35.25	116.78	31.22	35.25	18.97	114.36	28.24	92.7	28.24	27.05	26.67	8.65	18.56	2.89	2.86	5.36	6.01	8.19	1.85	0.0	0.39
SMIM4	633.73	1819.35	1143.1	1407.55	1242.34	1583.71	583.07	1447.15	2468.49	836.53	890.44	723.08	612.11	518.15	1437.15	403.5	1322.37	1427.22	529.06	490.14	529.06	423.61	559.28	236.21	299.25	291.04	332.14	223.41	0.0	0.0
SMPDL3B	403.5	518.15	738.29	497.0	563.18	149.12	684.02	336.79	915.51	283.05	928.3	171.45	607.87	381.68	444.72	450.94	836.53	85.82	218.79	12.0	20.86	3.26	46.84	7.82	29.06	16.75	12.45	25.35	0.0	0.09
SOHLH2	4.24	33.3	16.03	53.95	5.32	7.63	8.19	4.9	2.63	17.0	3.47	5.92	1.07	22.43	9.93	5.5	0.93	21.01	8.13	0.84	0.77	1.25	0.37	1.03	0.39	5.36	0.43	0.39	0.0	0.18
SPAG16	429.54	104.42	854.13	4123.49	1030.12	99.43	327.56	74.58	11.47	48.18	638.15	450.94	813.63	209.84	2485.67	312.0	37.85	878.17	521.76	265.87	260.38	90.14	87.65	59.13	17.64	41.81	128.79	17.9	0.0	0.26
SPATA32	4.13	1.31	5.5	20.71	1.31	9.78	2.43	3.82	0.55	5.54	1.66	3.63	1.51	22.59	6.84	0.39	3.32	1.16	4.28	1.16	0.99	1.48	1.62	1.58	0.51	0.49	0.0	0.0	0.0	0.01
SYNE4	307.69	493.56	555.41	490.14	371.22	400.71	486.75	429.54	785.88	444.72	555.41	392.44	420.68	336.79	688.78	237.86	764.36	115.16	327.56	20.56	10.08	0.0	1.66	4.17	0.0	0.0	1.89	2.63	0.0	0.4
TCEA3	2777.33	2720.15	2119.22	3103.19	2224.63	2163.77	2701.35	1757.34	4836.35	1467.37	3639.7	1662.49	2434.5	1617.0	3190.46	198.47	5517.27	1697.45	1340.84	466.88	96.01	59.13	39.5	55.89	31.45	351.14	277.2	90.14	0.0	0.58
TEX264	1769.57	2148.82	2163.77	2682.69	1757.34	2061.24	2502.97	2148.82	3190.46	1896.65	2502.97	2287.2	1909.85	1498.22	2090.03	1674.06	1781.89	743.43	1331.57	743.43	540.19	775.05	1008.9	575.03	896.64	660.68	688.78	1001.93	0.0	0.09
TMA7	9409.14	9025.81	8134.41	12676.65	8134.41	4450.27	5872.48	6426.31	11584.24	8191.0	7032.37	6337.83	7803.01	6471.02	10659.59	5479.15	12076.21	9215.48	5872.48	5403.7	5219.6	4038.61	3690.52	1617.0	4769.75	2895.31	3146.52	5594.3	0.0	0.99
TMEM125	470.14	753.83	995.0	995.0	595.34	409.15	995.0	587.13	1651.0	665.29	934.76	575.03	679.29	651.58	759.08	941.27	633.73	144.01	211.31	56.68	35.0	165.57	41.22	36.01	129.69	57.89	80.01	96.68	0.0	0.54
TMEM14A	1023.0	1277.29	1397.83	1208.34	1286.18	1143.1	1127.35	769.69	1199.98	1242.34	928.3	1183.45	1322.37	728.11	1304.15	518.15	3257.52	1104.13	902.89	403.5	555.41	336.79	470.14	332.14	651.58	303.44	866.07	291.04	0.0	0.22
TUBA3D	16.63	1088.92	5.06	8363.13	287.01	48.87	559.28	17.9	265.87	2.81	2502.97	32.82	275.28	5.36	5.92	1.71	11267.44	3.47	2.86	4.39	4.24	1.91	3.76	0.0	2.78	0.51	4.43	0.0	0.0	0.0
UQCRC1	4010.71	4298.64	4972.34	5041.77	3955.48	3039.3	3190.46	3928.15	7331.05	4010.71	4607.24	3060.45	5711.87	5672.41	4123.49	2816.11	4268.94	2645.74	4239.45	2061.24	2816.11	3768.09	6381.92	3081.75	4903.87	3018.3	3349.13	4298.64	0.0	0.77
WBP1	2119.22	3874.05	4181.07	3540.14	2935.74	2319.15	2485.67	2178.83	4388.98	2739.08	2645.74	2555.58	1963.57	1709.26	2591.27	1277.29	2915.45	1769.57	2777.33	708.18	532.74	612.11	521.76	466.88	397.93	507.46	1044.52	656.11	0.0	0.42
ZNF287	84.63	121.79	159.9	150.17	175.07	96.68	75.11	115.97	73.54	102.25	81.14	54.33	120.1	81.14	58.71	58.71	111.21	129.69	93.35	63.0	21.32	17.0	23.42	5.59	5.5	10.16	4.06	36.53	0.0	0.0
ZNRF3	59.55	162.14	206.94	447.82	71.0	122.64	145.02	169.07	128.79	32.82	217.27	163.28	154.42	47.84	197.09	108.9	1167.14	85.82	108.9	85.82	70.51	79.45	50.98	138.1	75.64	53.19	68.55	49.91	0.0	0.21
