	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A3Y9.01A.12R.A24K.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13OVL.2726.SM.5J2MP	GTEX.S341.0426.SM.4AD5L	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
EPM2A	25.35	47.5	148.09	193.01	414.87	101.54	18.84	127.89	27.84	110.43	180.02	115.16	30.34	22.26	1268.46	2319.15	76.17	320.8	423.61	31.45	19.39	0.0	0.26	47.17	57.08	61.68	76.17
FBXL7	1.46	32.82	457.25	53.57	275.28	147.06	18.43	108.9	27.64	90.77	115.97	106.63	63.45	60.82	612.11	713.11	104.42	325.29	332.14	4.13	14.03	0.0	0.52	67.12	25.17	22.1	23.25
FERMT2	11.73	107.38	2335.28	127.0	3467.27	463.65	51.71	733.19	69.03	373.81	1183.45	753.83	85.82	130.6	11189.6	19082.0	198.47	2645.74	3690.52	10.63	25.54	0.0	0.74	29.7	21.32	37.85	32.82
HPSE2	98.73	242.88	633.73	54.72	638.15	91.41	3.82	185.11	0.0	61.25	273.37	128.79	37.32	2.01	2627.46	4181.07	136.19	536.45	642.59	0.0	0.0	0.0	0.0	1.2	10.79	0.92	0.59
HSPA12B	12.18	93.35	136.19	43.32	483.38	130.6	21.63	96.68	36.53	81.14	145.02	125.24	72.52	138.1	595.34	358.54	31.67	189.02	223.41	4.66	10.63	0.0	0.22	78.34	31.0	35.25	40.36
HSPB2	4.94	106.63	209.84	36.79	878.17	368.65	46.18	285.03	15.22	47.17	117.6	305.55	122.64	44.57	1081.39	1651.0	88.88	753.83	579.04	0.44	69.03	0.0	0.41	256.78	226.54	146.03	143.01
HSPB7	1.01	48.87	1721.16	91.41	10512.82	1331.57	97.36	1030.12	7.63	253.23	2032.85	1277.29	82.87	21.94	7857.29	25708.25	191.67	4575.41	10440.2	0.47	15.22	0.0	0.51	214.27	199.85	486.75	148.09
JAM3	2.63	23.42	947.83	94.67	1378.57	358.54	39.79	224.97	28.86	116.78	397.93	423.61	79.45	102.25	3303.0	7081.29	130.6	1769.57	1369.04	21.47	23.59	0.0	0.62	45.85	30.56	27.44	33.06
JPH2	0.0	3.79	2468.49	146.03	5954.47	536.45	30.34	1250.98	6.62	221.86	1259.69	559.28	124.37	35.25	9540.5	15824.9	400.71	2351.53	2193.99	8.38	1.17	0.0	0.41	0.61	15.91	42.71	0.82
KCNJ8	13.72	97.36	287.01	30.56	1417.35	147.06	45.21	110.43	19.11	87.03	269.6	361.04	20.26	59.13	1407.55	1605.83	32.59	514.56	336.79	12.55	18.84	0.0	0.37	25.91	12.18	10.0	10.39
KCNMB1	2.81	19.11	1806.78	95.34	5366.37	447.82	35.0	651.58	15.0	221.86	748.61	543.96	193.01	27.25	6381.92	14065.74	291.04	1508.65	2777.33	5.19	10.55	0.0	0.42	2.32	15.22	15.22	3.0
LIMS2	35.25	285.03	4769.75	325.29	10883.59	2591.27	186.4	2224.63	158.79	753.83	3081.75	1769.57	1159.07	642.59	21468.49	42641.37	1268.46	11345.82	7966.99	16.39	69.52	0.0	0.59	190.34	88.88	113.56	127.0
LMOD1	12.36	236.21	7081.29	497.0	11424.74	1685.71	100.13	2400.97	73.54	1268.46	5006.93	2104.58	791.35	61.25	35118.87	59474.18	2997.45	10733.74	16843.62	1.14	23.25	0.0	0.49	38.95	251.48	101.54	24.63
