	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.E2.A1L7.01A.11R.A144.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.GM.A2DH.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.VS.A9UL.01A.11R.A42T.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BR.A4CR.01A.11R.A24K.31
CEP76	111.99	138.1	131.51	249.73	217.27	105.15	155.5	142.01	129.69	109.66	166.73	105.89	314.17	76.17	92.05	166.73	85.82	134.3	92.7	90.14	239.52	48.87	173.85	412.0	113.56	120.1	92.05	157.68	108.14	204.07	105.89	102.97	152.28	336.79	78.34	154.42	211.31	177.53	99.43	166.73	151.22	63.45	228.13	46.5	53.19	45.21	37.05	50.27	44.25	69.52	39.5	40.36	51.35	37.85	51.71	53.19	44.57	228.13
CKAP2L	130.6	197.09	149.12	149.12	348.71	44.25	52.08	176.29	132.44	34.02	199.85	76.71	397.93	142.01	22.92	71.0	21.47	217.27	124.37	31.0	96.01	30.12	137.14	483.38	102.25	77.25	88.26	194.36	447.82	429.54	87.03	27.84	93.35	187.71	139.07	50.98	97.36	124.37	60.39	161.02	77.25	13.12	525.39	2.29	15.91	20.11	7.28	14.45	5.87	11.64	14.67	13.12	18.84	6.16	8.45	1.99	0.96	142.01
CLSPN	89.51	191.67	69.03	176.29	148.09	29.91	53.95	153.34	42.41	18.29	158.79	115.16	287.01	86.43	15.0	59.97	20.56	172.65	264.03	24.28	84.63	21.63	130.6	507.46	123.5	72.01	63.45	156.59	158.79	406.31	53.19	19.68	90.14	256.78	51.35	56.28	79.45	39.79	135.24	87.65	48.87	5.54	417.77	0.0	7.17	12.09	3.72	2.81	2.56	5.63	5.11	10.47	10.0	6.94	2.43	0.0	1.06	738.29
COX6C	223512.12	256748.15	331809.5	194578.47	72213.45	185362.8	201440.3	198667.0	221968.2	207103.59	211455.3	355624.68	71714.63	265802.39	263966.36	242898.5	140478.49	144427.91	228208.61	202841.44	186652.11	229795.93	391864.76	20170.07	425853.18	217400.14	320506.81	205673.01	269512.87	12329.98	208544.12	195931.88	253213.41	437825.58	527933.71	200048.85	228208.61	286861.53	205673.01	223512.12	492579.5	204252.32	6294.04	91404.92	41188.81	59887.86	19892.37	39785.74	37639.55	38430.46	33688.23	59063.35	19214.73	28328.16	32540.65	10659.59	12589.08	75280.1
CYB5R4	251.48	381.68	161.02	224.97	314.17	264.03	361.04	463.65	215.77	178.77	305.55	267.73	629.35	348.71	181.28	163.28	198.47	612.11	275.28	231.32	325.29	132.44	303.44	748.61	246.28	189.02	186.4	251.48	647.07	638.15	185.11	214.27	218.79	435.55	253.23	164.42	135.24	146.03	189.02	204.07	218.79	358.54	320.8	291.04	114.36	96.01	96.01	128.79	79.45	103.69	46.5	87.65	113.56	100.83	165.57	67.12	72.01	674.59
DBR1	183.82	281.09	314.17	307.69	384.34	251.48	249.73	262.2	325.29	229.72	264.03	239.52	318.57	285.03	253.23	346.29	197.09	309.83	228.13	202.66	312.0	246.28	237.86	417.77	289.02	327.56	356.05	260.38	356.05	463.65	248.0	223.41	307.69	287.01	277.2	336.79	255.0	244.57	285.03	305.55	316.37	218.79	638.15	126.12	110.43	100.83	44.57	99.43	92.05	65.72	65.72	81.71	89.51	74.58	109.66	63.0	66.18	273.37
DCLRE1C	147.06	435.55	190.34	142.01	339.14	85.22	121.79	246.28	104.42	143.01	215.77	165.57	371.22	126.12	150.17	109.66	73.54	248.0	117.6	116.78	88.88	69.52	129.69	287.01	171.45	114.36	75.11	153.34	142.01	332.14	175.07	62.56	109.66	249.73	124.37	202.66	77.25	166.73	115.97	82.29	82.87	82.29	269.6	27.05	32.82	55.89	21.78	45.53	12.0	11.21	37.59	21.16	70.51	13.83	35.0	8.32	3.26	234.57
DLGAP5	170.25	187.71	312.0	173.85	536.45	63.89	63.0	208.38	134.3	54.33	285.03	152.28	642.59	289.02	67.59	115.97	42.41	295.11	176.29	52.82	165.57	37.05	281.09	647.07	167.9	166.73	128.79	295.11	281.09	376.41	136.19	44.57	107.38	297.17	180.02	67.59	108.9	223.41	100.83	130.6	123.5	15.45	551.56	0.78	31.22	41.52	6.73	32.59	6.89	7.75	21.47	32.13	40.64	15.91	13.83	2.86	5.5	507.46
DNA2	48.87	116.78	74.06	76.71	150.17	37.05	35.25	109.66	88.26	39.79	121.79	52.82	205.5	64.34	43.32	40.93	28.24	122.64	127.89	27.05	81.71	38.67	100.83	373.81	149.12	106.63	46.84	62.56	199.85	444.72	73.54	11.21	50.98	128.79	26.86	99.43	72.52	86.43	66.18	154.42	49.56	47.5	397.93	2.03	22.92	38.4	15.91	19.82	11.64	16.88	26.86	20.56	27.05	25.91	36.79	10.31	4.31	198.47
DNMT3A	507.46	808.0	205.5	435.55	417.77	162.14	253.23	387.02	381.68	208.38	417.77	150.17	454.09	356.05	297.17	237.86	220.32	299.25	215.77	176.29	575.03	320.8	371.22	796.86	204.07	251.48	409.15	273.37	312.0	884.29	314.17	181.28	133.36	651.58	473.41	164.42	271.48	269.6	346.29	454.09	518.15	258.57	941.27	79.45	115.16	138.1	61.68	98.04	111.99	115.16	80.01	139.07	78.34	150.17	181.28	50.98	63.45	336.79
E2F3	115.16	289.02	94.67	275.28	265.87	108.14	88.26	363.56	69.03	122.64	127.89	111.21	497.0	120.1	118.43	159.9	136.19	260.38	178.77	136.19	156.59	52.08	117.6	769.69	137.14	123.5	297.17	105.89	204.07	358.54	198.47	49.56	47.17	351.14	98.04	115.16	63.0	177.53	119.26	153.34	242.88	60.82	406.31	5.36	54.72	58.3	47.5	82.87	55.49	96.68	40.64	85.22	58.3	13.72	48.18	25.35	21.94	379.04
FAM171A2	38.95	277.2	42.11	50.98	102.25	10.31	30.56	8.78	163.28	23.76	21.32	4.17	70.51	8.71	25.54	107.38	20.41	83.45	87.65	42.41	348.71	120.94	185.11	303.44	26.28	34.51	32.13	22.92	57.08	218.79	49.21	6.89	18.84	51.35	25.17	15.22	7.88	49.91	7.63	66.18	60.39	42.71	242.88	0.39	28.45	5.06	2.76	3.47	19.25	14.35	8.13	14.35	1.03	11.13	4.54	2.16	3.96	77.25
FBXO45	180.02	368.65	277.2	287.01	353.59	202.66	180.02	339.14	289.02	151.22	237.86	199.85	373.81	267.73	143.01	246.28	126.12	152.28	211.31	169.07	412.0	198.47	199.85	532.74	329.84	267.73	248.0	255.0	460.44	819.3	220.32	156.59	305.55	318.57	258.57	220.32	132.44	309.83	204.07	351.14	285.03	108.9	571.05	27.25	127.0	69.52	69.52	80.01	67.12	80.57	59.13	76.17	96.01	62.56	82.87	73.54	39.5	343.89
FBXO5	87.65	264.03	329.84	178.77	521.76	116.78	96.01	199.85	81.71	115.16	231.32	148.09	679.29	220.32	81.14	214.27	81.14	251.48	121.79	65.72	244.57	100.13	98.04	1359.57	236.21	152.28	128.79	176.29	320.8	616.37	172.65	66.18	132.44	217.27	134.3	101.54	69.52	147.06	75.64	113.56	138.1	48.52	884.29	5.82	26.47	41.81	15.45	46.18	28.86	52.08	31.22	23.93	29.7	21.63	20.56	33.78	13.03	518.15
FIGNL1	110.43	368.65	220.32	239.52	395.18	97.36	67.12	197.09	139.07	89.51	147.06	112.77	379.04	93.35	120.1	197.09	108.14	293.07	237.86	56.28	194.36	142.01	145.02	480.04	211.31	165.57	127.0	177.53	199.85	476.71	139.07	41.81	183.82	166.73	177.53	241.19	111.99	183.82	132.44	279.14	142.01	47.17	616.37	8.85	98.04	83.45	31.0	40.36	44.57	29.27	39.5	32.13	29.06	106.63	32.82	26.1	32.36	314.17
FSD1L	98.04	432.53	40.07	55.1	423.61	29.7	88.26	101.54	129.69	71.0	33.06	35.5	63.45	10.96	31.9	74.06	40.36	31.0	33.06	29.7	106.63	36.01	32.59	343.89	31.9	48.52	19.68	92.05	447.82	111.21	51.35	24.63	34.75	45.85	37.05	42.11	26.28	63.89	50.98	289.02	102.25	22.92	75.64	198.47	14.03	21.78	5.5	14.03	13.32	31.9	8.13	8.19	6.41	9.41	23.93	2.32	4.06	409.15
GAS2L3	74.58	158.79	148.09	91.41	249.73	31.0	26.86	102.25	66.65	35.0	146.03	55.89	251.48	128.79	48.18	63.0	17.77	183.82	102.97	29.7	70.51	20.56	147.06	466.88	124.37	55.49	52.82	124.37	214.27	376.41	56.68	13.62	53.95	152.28	62.56	53.19	41.22	127.89	92.05	77.25	62.12	11.13	397.93	3.59	12.45	25.35	5.54	15.45	11.04	9.93	16.88	14.14	17.9	7.63	17.38	9.63	15.91	339.14
GEN1	50.27	244.57	77.25	88.88	232.94	40.64	57.89	137.14	58.3	62.12	137.14	56.68	223.41	127.0	39.79	51.35	38.4	146.03	89.51	30.12	163.28	31.0	82.87	138.1	83.45	78.89	59.13	88.26	69.52	190.34	64.8	67.12	43.63	366.09	172.65	53.57	47.84	133.36	92.05	131.51	78.34	30.12	392.44	3.11	46.84	28.65	42.41	45.21	39.5	27.05	21.63	37.59	35.76	37.59	33.3	38.67	19.53	89.51
GMEB1	191.67	153.34	96.68	211.31	127.0	144.01	128.79	157.68	135.24	214.27	107.38	194.36	273.37	169.07	122.64	177.53	111.99	138.1	112.77	81.71	159.9	90.77	108.14	417.77	206.94	85.22	149.12	209.84	140.04	269.6	198.47	100.13	123.5	249.73	158.79	224.97	139.07	105.89	88.88	114.36	100.13	75.11	237.86	18.84	63.0	73.54	46.5	58.71	53.19	100.13	48.18	78.34	53.95	45.21	103.69	57.08	46.84	253.23
HACE1	163.28	127.0	57.08	133.36	173.85	66.65	141.02	141.02	93.35	112.77	112.77	95.34	303.44	108.14	69.52	98.04	62.12	165.57	78.89	56.68	163.28	63.45	65.26	384.34	111.99	78.34	62.56	186.4	255.0	314.17	206.94	101.54	87.65	212.78	110.43	104.42	96.01	60.39	76.71	122.64	103.69	81.14	373.81	12.0	21.78	35.25	7.57	30.34	24.46	26.47	34.02	21.32	22.92	18.7	15.22	16.03	16.03	603.67
HNRNPH3	3372.43	3257.52	2271.4	2335.28	3901.01	1639.59	2384.37	3794.3	1832.01	2485.67	2875.3	2434.5	5112.16	4152.18	1963.57	2875.3	1322.37	3372.43	1295.13	3018.3	3190.46	2485.67	2835.7	7589.61	2224.63	2502.97	3794.3	2384.37	2739.08	6164.49	3257.52	1447.15	2104.58	3639.7	2935.74	2485.67	2271.4	2627.46	1651.0	2384.37	2485.67	1397.83	7032.37	353.59	1583.71	941.27	674.59	1044.52	836.53	785.88	753.83	928.3	896.64	878.17	825.0	995.0	802.41	3372.43
KCNJ14	9.27	13.22	19.25	17.13	13.12	4.86	15.34	11.13	5.68	26.1	13.72	12.45	52.08	11.64	5.45	23.42	5.73	35.5	9.06	11.91	32.59	5.87	8.32	67.59	26.86	9.78	11.04	8.13	3.96	27.64	14.67	4.86	12.36	9.41	4.17	11.21	17.25	9.48	12.18	16.03	9.85	8.13	22.43	1.19	3.5	5.73	4.86	7.57	8.45	5.77	2.46	2.97	5.87	5.68	3.29	1.66	1.6	95.34
KIF15	85.82	239.52	262.2	129.69	457.25	28.86	53.95	79.45	72.01	29.27	195.72	116.78	441.64	127.0	45.53	101.54	27.64	139.07	194.36	49.91	127.0	31.22	72.01	275.28	119.26	75.11	63.89	140.04	265.87	466.88	154.42	30.34	84.04	205.5	39.5	72.01	58.71	131.51	111.21	156.59	133.36	19.82	591.22	0.0	21.78	21.94	3.08	12.93	4.82	8.51	10.96	22.92	15.8	3.29	13.12	1.6	0.58	224.97
KIF18A	105.15	132.44	148.09	62.12	438.59	39.22	23.76	109.66	64.8	21.32	124.37	65.72	143.01	57.49	18.43	67.12	18.56	99.43	155.5	24.28	66.18	18.7	87.65	351.14	40.07	75.11	37.05	96.01	115.16	214.27	58.71	15.45	49.56	169.07	36.53	40.36	41.81	121.79	20.86	221.86	100.83	12.09	194.36	2.32	8.19	16.27	3.69	9.78	3.76	1.71	5.77	7.75	12.0	5.54	3.35	0.52	1.43	198.47
MELK	189.02	909.17	384.34	287.01	1119.56	90.14	92.7	307.69	206.94	79.45	651.58	143.01	599.49	218.79	109.66	205.5	60.82	400.71	353.59	61.25	291.04	47.84	221.86	928.3	214.27	190.34	147.06	334.46	612.11	1331.57	218.79	49.21	145.02	486.75	180.02	186.4	161.02	426.57	256.78	320.8	295.11	25.35	848.22	3.82	47.84	74.06	8.92	33.54	29.91	31.9	34.75	44.57	55.89	36.79	17.13	0.53	3.47	447.82
MEX3A	215.77	392.44	65.26	309.83	167.9	11.04	115.97	242.88	67.59	31.9	47.84	21.47	587.13	48.87	141.02	98.73	85.22	131.51	87.65	27.64	915.51	16.15	224.97	1427.22	241.19	46.18	299.25	30.56	137.14	995.0	255.0	13.72	52.45	70.51	124.37	127.89	62.56	121.79	10.47	116.78	155.5	150.17	454.09	1.57	31.67	32.13	28.04	33.06	8.85	36.79	21.16	85.82	22.59	35.5	22.43	12.09	1.69	297.17
MIS18BP1	323.03	403.5	334.46	228.13	620.67	156.59	277.2	432.53	236.21	175.07	356.05	269.6	567.1	312.0	124.37	166.73	118.43	476.71	149.12	116.78	186.4	205.5	275.28	555.41	277.2	269.6	208.38	271.48	457.25	450.94	209.84	113.56	166.73	381.68	186.4	289.02	145.02	232.94	244.57	289.02	167.9	101.54	698.41	47.5	75.11	60.39	39.79	54.72	46.84	41.52	51.35	57.49	38.4	58.71	52.82	22.92	16.27	872.1
MLLT11	100.13	53.57	41.81	120.94	358.54	21.16	223.41	96.01	58.3	36.53	38.95	80.57	435.55	62.56	75.11	47.17	57.49	131.51	50.98	33.54	66.65	139.07	80.01	1073.91	58.71	33.54	241.19	28.04	221.86	457.25	87.65	81.71	42.41	186.4	131.51	69.03	81.71	92.7	72.01	101.54	65.72	44.57	1037.29	5.87	15.45	30.12	16.15	9.2	14.24	13.83	54.33	38.12	12.09	17.13	13.42	10.16	18.84	117.6
MMS22L	106.63	75.64	78.34	156.59	140.04	38.12	33.3	91.41	57.89	74.58	122.64	40.36	476.71	71.5	16.88	53.57	21.94	236.21	115.97	31.22	90.77	18.84	92.05	420.68	73.54	48.52	47.84	187.71	273.37	769.69	136.19	38.12	89.51	198.47	80.01	45.85	28.04	70.51	69.03	88.88	57.89	24.63	624.99	6.94	4.66	12.55	5.32	11.38	7.06	7.22	9.27	4.66	18.16	6.11	2.27	5.92	4.28	314.17
NASP	1781.89	1407.55	1605.83	2119.22	1662.49	1066.48	1447.15	1806.78	934.76	1498.22	1519.15	2075.59	4671.57	1407.55	1313.23	1388.16	1208.34	2956.17	2555.58	878.17	1806.78	1551.09	961.07	6164.49	1870.53	1427.22	1104.13	1427.22	1088.92	5219.6	2240.11	866.07	2047.0	1923.14	802.41	1844.76	1437.15	842.36	2148.82	967.76	1781.89	733.19	6745.86	147.06	967.76	1051.79	1313.23	532.74	591.22	808.0	713.11	872.1	830.75	1066.48	665.29	928.3	551.56	4152.18
NCAPD3	221.86	595.34	2935.74	420.68	738.29	186.4	356.05	277.2	307.69	220.32	363.56	242.88	334.46	175.07	141.02	162.14	223.41	285.03	403.5	85.82	248.0	115.97	325.29	1030.12	262.2	202.66	182.55	260.38	529.06	1059.11	148.09	195.72	426.57	320.8	189.02	429.54	177.53	202.66	256.78	269.6	248.0	167.9	884.29	39.5	107.38	92.05	88.26	77.79	50.27	87.03	69.52	71.5	92.7	94.01	47.84	148.09	127.89	703.28
NCAPG	134.3	236.21	371.22	181.28	656.11	59.97	88.88	346.29	164.42	88.88	361.04	166.73	819.3	198.47	58.3	130.6	38.12	161.02	234.57	34.02	159.9	48.18	285.03	733.19	376.41	169.07	100.83	178.77	358.54	493.56	187.71	53.19	231.32	500.46	205.5	102.25	105.89	232.94	91.41	285.03	129.69	24.46	529.06	5.41	26.86	66.18	11.04	44.89	11.73	19.97	39.22	49.56	47.84	22.1	10.47	3.17	0.0	473.41
NUP35	281.09	363.56	343.89	209.84	358.54	361.04	267.73	281.09	221.86	271.48	325.29	305.55	470.14	239.52	256.78	232.94	157.68	320.8	277.2	253.23	277.2	291.04	332.14	493.56	195.72	277.2	301.33	289.02	595.34	339.14	329.84	260.38	180.02	244.57	339.14	226.54	343.89	351.14	215.77	435.55	358.54	205.5	368.65	131.51	256.78	162.14	211.31	269.6	187.71	157.68	164.42	164.42	162.14	176.29	187.71	167.9	109.66	346.29
PLEKHG4B	24.81	2.2	0.62	85.82	171.45	26.47	180.02	55.89	8.92	4.9	3.35	1.53	878.17	27.05	59.55	12.83	13.52	62.12	3.23	39.79	67.59	6.06	52.45	595.34	6.36	0.35	30.12	30.56	177.53	376.41	171.45	13.32	1.31	31.9	9.13	153.34	18.7	2.71	0.31	154.42	115.16	3.47	1023.0	1.5	0.53	0.93	0.0	0.0	0.0	0.87	0.53	0.0	0.0	8.06	0.0	0.0	0.0	1159.07
PRPF38A	567.1	470.14	447.82	679.29	536.45	713.11	480.04	759.08	420.68	825.0	563.18	674.59	1628.26	620.67	599.49	688.78	432.53	981.29	759.08	409.15	909.17	842.36	543.96	934.76	490.14	532.74	547.75	497.0	423.61	1378.57	842.36	353.59	633.73	764.36	447.82	543.96	603.67	409.15	629.35	353.59	575.03	226.54	1304.15	105.89	220.32	285.03	454.09	232.94	256.78	301.33	180.02	341.51	253.23	251.48	339.14	277.2	305.55	748.61
RAD51AP1	193.01	438.59	525.39	253.23	429.54	137.14	82.87	358.54	189.02	84.04	511.0	169.07	607.87	239.52	74.58	201.25	77.25	183.82	486.75	81.14	289.02	60.82	441.64	4328.55	389.72	205.5	111.99	285.03	743.43	808.0	217.27	39.5	195.72	616.37	211.31	109.66	130.6	297.17	108.14	417.77	138.1	27.05	878.17	20.11	48.18	62.56	17.51	32.82	10.79	23.59	26.1	22.92	31.45	17.9	7.82	5.06	6.78	854.13
