	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.Y8.A8S1.01A.11R.A37K.07	GTEX.13O3O.1826.SM.5IFGW	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.TMMY.0926.SM.4TT1Z	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.131YS.0926.SM.5IJB9	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.W5X1.0526.SM.3GILH	GTEX.14DAR.0226.SM.5S2PR	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRK.0926.SM.2HMKP	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.QMRM.0826.SM.3NB33
KRBOX4	113.56	665.29	53.57	75.64	231.32	182.55	223.41	316.37	198.47	470.14	108.9	220.32	208.38	161.02	406.31	223.41	197.09	141.02	414.87	212.78	320.8	185.11	339.14	403.5	320.8	400.71
LATS1	57.08	808.0	36.53	64.8	208.38	140.04	214.27	224.97	178.77	371.22	82.29	133.36	176.29	92.7	389.72	205.5	136.19	85.22	318.57	141.02	307.69	92.7	265.87	285.03	140.04	283.05
LMBRD1	432.53	3589.58	981.29	409.15	1977.24	579.04	2018.8	1883.54	1857.6	3212.66	450.94	1583.71	974.5	1127.35	4010.71	1250.98	1350.18	1066.48	2664.15	1519.15	1832.01	764.36	2032.85	2271.4	967.76	2119.22
LMBRD2	22.43	264.03	17.13	32.59	138.1	82.29	81.14	97.36	86.43	343.89	51.35	74.06	98.73	46.18	215.77	161.02	80.57	57.89	277.2	58.71	104.42	55.1	127.0	208.38	63.45	221.86
LYRM7	34.51	466.88	14.56	45.85	100.13	74.06	83.45	85.82	59.13	237.86	52.08	60.39	44.57	94.67	242.88	92.7	54.72	26.86	229.72	50.63	81.71	73.54	134.3	128.79	70.51	96.01
MAT2B	579.04	2758.13	954.43	457.25	2119.22	785.88	1437.15	1950.0	1709.26	4010.71	466.88	2287.2	1508.65	909.17	3901.01	1167.14	1870.53	1340.84	2976.74	1605.83	1950.0	967.76	1991.0	3146.52	1216.75	2287.2
MCM8	37.59	171.45	4.43	3.96	21.63	22.92	27.64	63.45	40.64	201.25	20.26	12.45	37.85	31.45	57.08	43.02	45.21	14.35	67.12	21.16	39.5	27.05	140.04	120.1	83.45	81.71
MOCS2	551.56	4210.15	518.15	503.95	1015.93	579.04	647.07	1304.15	723.08	1721.16	348.71	967.76	575.03	529.06	1721.16	947.83	511.0	392.44	1175.27	753.83	896.64	547.75	947.83	1008.9	497.0	1096.5
MTAP	145.02	2303.12	125.24	356.05	309.83	301.33	376.41	202.66	281.09	460.44	90.77	180.02	264.03	463.65	802.41	204.07	438.59	224.97	941.27	171.45	896.64	103.69	279.14	684.02	289.02	616.37
MYLK	764.36	12502.12	329.84	180.02	1467.37	1051.79	4543.8	4836.35	1151.06	3303.0	679.29	555.41	2609.3	941.27	5147.73	1467.37	1628.26	1427.22	1369.04	1350.18	3768.09	1378.57	4869.99	2720.15	1991.0	5479.15
NAPEPLD	52.08	417.77	68.55	37.32	217.27	131.51	119.26	197.09	155.5	397.93	77.79	159.9	111.21	87.65	368.65	173.85	256.78	157.68	414.87	146.03	260.38	99.43	314.17	316.37	220.32	264.03
NARG2	232.94	1963.57	59.97	71.5	332.14	417.77	389.72	392.44	325.29	1183.45	258.57	325.29	273.37	314.17	743.43	351.14	358.54	309.83	665.29	267.73	463.65	371.22	555.41	723.08	414.87	529.06
NDFIP1	518.15	4268.94	1023.0	1081.39	2777.33	595.34	1551.09	1286.18	1286.18	2701.35	490.14	1709.26	1135.2	607.87	3742.05	1572.76	1023.0	872.1	1781.89	1378.57	1259.69	1350.18	1781.89	2271.4	1008.9	2032.85
NEDD1	65.72	536.45	30.78	28.65	212.78	130.6	251.48	273.37	166.73	507.46	33.78	172.65	111.21	153.34	389.72	123.5	162.14	96.01	368.65	110.43	239.52	76.17	287.01	392.44	155.5	346.29
NUP43	110.43	379.04	151.22	56.68	205.5	153.34	159.9	186.4	164.42	287.01	113.56	246.28	167.9	149.12	275.28	173.85	193.01	132.44	358.54	132.44	208.38	118.43	249.73	412.0	291.04	329.84
PABPC5	6.89	120.1	5.82	1.41	11.91	4.24	21.47	11.55	4.66	34.51	6.16	13.83	5.06	6.26	62.56	14.24	11.04	11.21	46.18	4.94	23.76	13.72	44.25	36.01	11.47	72.01
PDPK1	149.12	954.43	239.52	46.18	624.99	518.15	497.0	463.65	547.75	587.13	309.83	376.41	571.05	209.84	307.69	563.18	718.08	500.46	616.37	500.46	848.22	376.41	616.37	791.35	490.14	819.3
PHAX	251.48	1437.15	132.44	221.86	743.43	493.56	595.34	591.22	688.78	674.59	246.28	587.13	551.56	334.46	738.29	651.58	336.79	194.36	718.08	616.37	299.25	376.41	785.88	842.36	490.14	738.29
PIGK	150.17	1242.34	329.84	151.22	460.44	279.14	392.44	476.71	329.84	525.39	105.89	387.02	275.28	186.4	780.44	426.57	248.0	164.42	571.05	329.84	493.56	346.29	713.11	825.0	323.03	591.22
PLEKHF2	301.33	1477.58	94.67	133.36	480.04	267.73	476.71	420.68	529.06	684.02	175.07	490.14	371.22	208.38	607.87	301.33	248.0	234.57	780.44	438.59	703.28	267.73	638.15	463.65	154.42	579.04
POLA1	75.64	414.87	22.92	28.86	62.56	99.43	134.3	151.22	77.79	309.83	27.64	100.83	88.26	78.34	312.0	71.5	56.28	63.89	146.03	57.49	73.54	94.67	158.79	212.78	95.34	139.07
PPIL4	127.0	1295.13	22.92	293.07	500.46	253.23	376.41	708.18	583.07	1135.2	358.54	420.68	231.32	366.09	860.08	447.82	361.04	348.71	629.35	341.51	728.11	414.87	708.18	476.71	438.59	693.58
PPP3CB	376.41	3639.7	341.51	156.59	647.07	540.19	532.74	813.63	651.58	1331.57	281.09	607.87	457.25	397.93	1159.07	638.15	435.55	384.34	934.76	414.87	769.69	435.55	764.36	1008.9	579.04	1044.52
PUM2	376.41	3325.99	275.28	260.38	684.02	633.73	1135.2	1111.82	808.0	2178.83	392.44	718.08	748.61	679.29	1733.13	764.36	796.86	563.18	1572.76	638.15	1572.76	718.08	1662.49	1936.53	748.61	1674.06
PURA	111.99	236.21	42.71	97.36	264.03	153.34	314.17	371.22	307.69	358.54	116.78	217.27	178.77	176.29	363.56	271.48	325.29	220.32	395.18	234.57	343.89	173.85	353.59	403.5	183.82	381.68
RAB23	64.8	1388.16	12.74	9.41	173.85	143.01	249.73	403.5	173.85	575.03	83.45	88.26	155.5	128.79	575.03	201.25	143.01	111.99	273.37	91.41	343.89	137.14	281.09	262.2	166.73	387.02
RAD18	56.68	202.66	13.52	15.56	72.01	73.54	100.13	74.06	78.34	135.24	41.81	72.01	87.65	91.41	135.24	64.8	59.97	52.45	152.28	64.8	110.43	59.13	118.43	115.16	100.83	104.42
RCN2	450.94	2193.99	256.78	53.95	1832.01	429.54	1051.79	902.89	941.27	1977.24	341.51	1359.57	543.96	490.14	2303.12	1417.35	748.61	669.92	1896.65	624.99	2148.82	1119.56	813.63	1909.85	591.22	1745.2
RDX	120.1	3103.19	63.45	708.18	1417.35	743.43	1909.85	1870.53	1639.59	4512.4	764.36	1199.98	1457.23	1151.06	4066.71	1340.84	1088.92	915.51	2915.45	1447.15	2303.12	902.89	2816.11	2720.15	1378.57	2816.11
RECQL	137.14	819.3	48.87	96.68	366.09	228.13	441.64	529.06	307.69	642.59	185.11	351.14	343.89	563.18	947.83	890.44	262.2	387.02	599.49	353.59	429.54	91.41	587.13	1191.69	289.02	616.37
REST	81.14	669.92	28.45	57.49	236.21	102.25	171.45	285.03	205.5	287.01	65.26	198.47	150.17	102.97	351.14	220.32	115.16	107.38	392.44	194.36	199.85	87.03	318.57	287.01	206.94	241.19
RGS7BP	0.27	138.1	0.72	0.0	5.02	6.62	43.02	56.28	14.89	11.21	5.54	3.89	15.56	2.16	123.5	18.03	36.27	11.21	20.11	18.29	60.39	9.06	32.59	25.54	15.11	58.3
RTN3	2434.5	3665.02	3039.3	698.41	4210.15	2163.77	2816.11	3419.52	3614.55	3325.99	842.36	2018.8	2997.45	1896.65	3443.31	2468.49	2758.13	1709.26	4268.94	3614.55	3257.52	2555.58	3794.3	3349.13	2468.49	2796.65
RYR2	3.76	193.01	0.75	0.0	9.93	11.38	31.9	110.43	13.03	208.38	13.62	53.57	42.41	21.78	181.28	32.82	31.0	42.71	120.94	19.68	59.55	20.26	100.13	38.12	66.18	132.44
SCAMP1	159.9	1923.14	111.21	90.77	381.68	127.0	457.25	486.75	412.0	1388.16	129.69	353.59	244.57	279.14	884.29	217.27	397.93	220.32	890.44	279.14	629.35	253.23	599.49	603.67	212.78	642.59
SEC23A	122.64	1540.37	181.28	647.07	466.88	412.0	559.28	503.95	343.89	616.37	299.25	232.94	314.17	599.49	476.71	748.61	483.38	323.03	470.14	215.77	848.22	204.07	559.28	1051.79	463.65	450.94
SEPT7	1143.1	6381.92	511.0	753.83	2502.97	1662.49	2178.83	3419.52	2004.85	5954.47	1233.75	2468.49	1870.53	1844.76	6164.49	2319.15	1977.24	1844.76	2434.5	2004.85	3190.46	1487.87	2468.49	3168.41	1794.29	3395.89
SFTPC	85.22	5.54	6.94	11.13	5.882801313E7	1.748967224E7	7.92550749E7	6766600.51	4.811555286E7	9279.58	5650706.18	4.188702152E7	3.130739107E7	2.4225111E7	746611.43	5.761735011E7	4.878722096E7	3.72309724E7	1.410789979E7	5.228884881E7	6014443.23	1.0826562323E8	2.560637942E7	9906883.49	6.17527469E7	1.391367215E7
SKAP2	110.43	1639.59	191.67	25.54	921.88	301.33	547.75	1119.56	543.96	1572.76	332.14	612.11	457.25	208.38	1662.49	684.02	454.09	140.04	981.29	563.18	848.22	400.71	860.08	1143.1	466.88	988.12
SLC9A6	72.01	555.41	145.02	38.95	224.97	111.21	194.36	232.94	190.34	507.46	73.03	143.01	181.28	144.01	271.48	211.31	241.19	170.25	277.2	144.01	320.8	178.77	173.85	309.83	131.51	256.78
SMIM14	447.82	2591.27	353.59	1540.37	1605.83	366.09	1733.13	947.83	1757.34	1628.26	460.44	551.56	954.43	470.14	2303.12	2061.24	2319.15	813.63	1923.14	1066.48	3515.68	738.29	1519.15	1628.26	802.41	1059.11
SNX18	94.01	1037.29	102.25	115.16	329.84	277.2	447.82	332.14	363.56	376.41	147.06	483.38	228.13	231.32	612.11	242.88	173.85	138.1	412.0	305.55	214.27	232.94	802.41	674.59	193.01	759.08
SPIN1	277.2	2816.11	327.56	76.71	791.35	466.88	954.43	1167.14	909.17	1844.76	277.2	583.07	633.73	457.25	2018.8	759.08	669.92	470.14	1277.29	665.29	1183.45	620.67	1051.79	1088.92	743.43	1313.23
STAM2	85.22	890.44	39.5	78.89	332.14	228.13	363.56	329.84	267.73	603.67	154.42	301.33	246.28	178.77	518.15	339.14	356.05	152.28	642.59	271.48	435.55	239.52	397.93	497.0	366.09	483.38
THAP5	73.54	1081.39	18.43	177.53	251.48	153.34	295.11	417.77	341.51	769.69	194.36	371.22	262.2	214.27	902.89	220.32	271.48	303.44	579.04	249.73	567.1	194.36	555.41	567.1	180.02	647.07
TMEM106B	94.67	1199.98	155.5	156.59	361.04	121.79	277.2	409.15	346.29	647.07	133.36	232.94	133.36	221.86	713.11	356.05	493.56	194.36	728.11	187.71	728.11	142.01	423.61	830.75	281.09	713.11
TMEM50A	1769.57	5366.37	1844.76	497.0	4038.61	1233.75	2224.63	3901.01	2061.24	4239.45	2061.24	3955.48	1819.35	1883.54	3280.18	1806.78	2796.65	2720.15	3257.52	2777.33	2739.08	1923.14	2664.15	3614.55	1407.55	2004.85
TMEM59	4095.0	10014.87	6337.83	2287.2	10225.32	2835.7	6983.79	8658.09	9088.59	12244.81	2915.45	8658.09	4903.87	4239.45	13776.25	6381.92	7280.4	7537.18	13123.73	7589.61	17558.94	5872.48	11909.94	14361.31	3372.43	8778.97
TMEM65	70.01	518.15	65.72	16.88	157.68	100.13	131.51	201.25	194.36	395.18	32.59	64.34	71.0	102.25	285.03	126.12	62.12	23.93	429.54	81.14	124.37	53.57	244.57	211.31	127.89	253.23
TMPO	336.79	1397.83	109.66	99.43	363.56	269.6	651.58	1350.18	547.75	1427.22	232.94	595.34	521.76	246.28	884.29	480.04	563.18	147.06	941.27	379.04	1015.93	361.04	1030.12	1896.65	947.83	1268.46
TMTC3	55.49	353.59	22.26	46.5	109.66	51.35	111.99	86.43	84.63	303.44	20.86	52.82	63.45	76.17	249.73	116.78	72.52	33.3	323.03	64.34	91.41	33.06	153.34	283.05	63.45	271.48
TOPORS	86.43	698.41	23.93	139.07	194.36	104.42	258.57	323.03	256.78	571.05	71.0	166.73	208.38	68.55	303.44	226.54	191.67	92.7	265.87	171.45	406.31	114.36	435.55	373.81	223.41	400.71
TRAK2	159.9	1936.53	164.42	33.06	346.29	305.55	684.02	825.0	403.5	915.51	156.59	384.34	543.96	265.87	941.27	457.25	341.51	438.59	791.35	332.14	507.46	327.56	954.43	743.43	480.04	1350.18
TRANK1	105.15	460.44	129.69	53.19	77.25	128.79	435.55	470.14	169.07	426.57	107.38	214.27	400.71	44.57	693.58	244.57	291.04	103.69	878.17	97.36	500.46	211.31	708.18	647.07	587.13	493.56
TRIQK	69.03	1467.37	111.99	92.05	486.75	177.53	748.61	748.61	457.25	2119.22	105.89	368.65	384.34	127.89	1051.79	389.72	366.09	152.28	1023.0	264.03	902.89	379.04	974.5	796.86	476.71	603.67
TSPAN12	127.89	1628.26	246.28	115.16	2434.5	409.15	2591.27	2555.58	1697.45	12244.81	79.45	2193.99	1519.15	693.58	13872.08	753.83	995.0	633.73	4268.94	1242.34	2303.12	1199.98	2609.3	1304.15	995.0	3303.0
UBTD2	147.06	1167.14	152.28	77.25	361.04	218.79	299.25	435.55	343.89	728.11	211.31	287.01	295.11	153.34	423.61	334.46	195.72	166.73	423.61	249.73	392.44	162.14	397.93	490.14	299.25	473.41
UPF2	150.17	872.1	25.17	59.55	156.59	170.25	241.19	279.14	312.0	409.15	166.73	251.48	178.77	182.55	595.34	217.27	351.14	201.25	420.68	220.32	412.0	193.01	470.14	395.18	220.32	435.55
WDR44	67.12	647.07	52.08	57.89	178.77	111.99	187.71	234.57	237.86	476.71	68.07	158.79	162.14	127.89	316.37	239.52	173.85	124.37	336.79	172.65	287.01	113.56	412.0	397.93	187.71	314.17
WDR47	127.0	470.14	70.01	27.64	209.84	102.25	223.41	267.73	281.09	463.65	59.55	152.28	176.29	106.63	334.46	204.07	139.07	53.57	226.54	152.28	164.42	131.51	447.82	400.71	194.36	353.59
YIPF4	255.0	1242.34	480.04	334.46	563.18	389.72	808.0	684.02	500.46	860.08	314.17	591.22	376.41	361.04	866.07	511.0	575.03	281.09	1096.5	450.94	796.86	351.14	872.1	872.1	540.19	928.3
ZC3H13	182.55	1340.84	97.36	764.36	595.34	363.56	559.28	460.44	579.04	928.3	205.5	483.38	403.5	237.86	748.61	647.07	316.37	314.17	693.58	583.07	412.0	267.73	981.29	866.07	490.14	769.69
ZCCHC7	126.12	733.19	35.5	140.04	185.11	197.09	151.22	249.73	204.07	579.04	303.44	151.22	127.89	194.36	466.88	253.23	209.84	136.19	483.38	156.59	341.51	277.2	277.2	202.66	157.68	167.9
ZFP1	45.53	723.08	30.34	39.5	128.79	74.06	186.4	239.52	137.14	224.97	82.87	88.88	98.73	64.8	155.5	128.79	115.16	80.57	242.88	129.69	180.02	146.03	147.06	156.59	96.68	181.28
ZFP30	12.45	236.21	18.97	10.16	41.81	30.56	46.18	68.07	72.01	96.68	33.78	62.56	55.1	11.55	228.13	59.97	73.54	93.35	159.9	27.05	127.89	59.97	142.01	136.19	61.25	177.53
ZFP90	194.36	954.43	108.14	13.72	161.02	153.34	204.07	258.57	246.28	470.14	124.37	191.67	226.54	108.9	353.59	285.03	212.78	190.34	511.0	161.02	236.21	153.34	412.0	271.48	255.0	316.37
ZHX1	151.22	1081.39	67.59	224.97	463.65	234.57	406.31	547.75	295.11	848.22	177.53	269.6	273.37	191.67	733.19	486.75	305.55	181.28	616.37	251.48	693.58	220.32	567.1	830.75	258.57	718.08
