	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A8.A09I.01A.22R.A034.07	TCGA.A8.A08X.01A.21R.A00Z.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0DG.01A.21R.A12P.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.JL.A3YW.01A.12R.A239.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.EW.A1OZ.01A.11R.A144.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.VS.A9UO.01A.11R.A42T.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.CM.6162.01A.11R.1653.07	TCGA.DM.A28K.01A.21R.A32Y.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.VR.AA4D.01A.11R.A37I.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.AG.3725.01A.11R.1736.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.F1.A72C.01A.21R.A33Y.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.12WSB.0726.SM.5N9GD
CYP26A1	4.66	1.55	0.0	1.73	68.55	34.75	19.39	34.75	6.78	15.34	90.77	43.02	28.86	80.01	3.5	11.73	162.14	4.13	21.01	65.72	24.99	0.0	43.94	11.13	4.03	0.4	5.19	0.0	0.0	3.26	0.46	0.46	1.06	2.68	2.16	1.85	2.61	0.83	0.6	0.0	1.06	5.23	1.41	0.97	4.06	7.63	0.42	0.39	0.41	21.63	0.92	8.65	8.85	0.39	17.0	0.39	0.0	1.11	23.59	0.0	0.39	3.29	0.0	0.0	1.45	14.56
DIRC1	0.6	1.93	2.94	6.16	53.57	3.41	26.67	3.41	4.86	19.68	16.88	5.82	11.91	8.0	1.97	10.71	21.47	0.61	20.41	20.41	12.0	4.13	6.52	0.0	0.3	0.0	0.0	7.0	0.0	1.83	0.0	0.0	0.0	1.79	0.0	0.0	0.78	0.0	0.8	1.28	0.0	0.8	0.0	0.0	0.0	1.04	0.0	0.0	0.0	19.82	2.58	0.0	0.0	0.0	1.69	0.0	0.0	0.0	2.16	1.57	0.0	0.0	0.0	2.97	0.0	0.0
DSEL	7.06	14.56	3.56	26.86	95.34	46.5	111.99	46.5	13.52	38.4	82.29	43.32	125.24	35.5	16.75	13.22	73.54	12.36	91.41	74.58	1.11	29.91	43.63	122.64	1.04	1.13	1.38	35.25	1.79	9.63	10.39	0.96	3.14	3.2	3.99	2.63	11.91	5.59	7.0	4.17	5.59	6.26	17.77	2.18	12.0	5.28	3.47	17.0	9.85	43.63	2.86	1.69	11.04	6.78	7.63	3.63	6.26	10.88	11.64	6.36	3.11	18.84	14.56	18.43	18.43	34.75
ECM2	45.21	96.01	13.62	150.17	1359.57	555.41	1498.22	555.41	167.9	327.56	836.53	633.73	941.27	518.15	156.59	177.53	1662.49	76.17	651.58	1286.18	40.07	206.94	896.64	1001.93	4.39	12.18	5.68	221.86	7.22	29.27	56.28	12.93	13.93	37.32	27.44	52.08	149.12	68.07	82.87	20.11	51.35	63.89	102.25	17.77	15.68	27.44	20.26	100.83	25.91	703.28	24.46	13.72	77.25	40.64	70.01	23.25	26.47	114.36	108.9	34.75	14.03	70.51	10.39	85.82	22.75	743.43
EXTL1	4.39	11.82	0.31	14.35	17.13	16.75	30.12	16.75	10.47	19.25	56.68	17.64	24.11	16.51	1.33	12.93	18.03	9.56	32.13	12.36	0.0	1.51	9.85	18.29	0.34	0.69	0.0	11.82	0.84	1.53	2.73	0.0	1.45	0.99	1.57	1.0	1.6	3.11	3.82	2.12	0.0	1.07	0.0	0.0	1.45	7.94	0.0	7.94	2.14	12.83	7.94	0.51	0.87	0.85	3.59	2.86	0.0	8.51	9.41	0.44	0.46	1.08	1.66	3.82	1.48	10.79
FAM180A	23.93	39.79	0.31	37.32	135.24	98.73	223.41	98.73	17.25	67.59	172.65	71.5	110.43	103.69	29.48	33.06	242.88	17.64	106.63	145.02	61.68	27.84	73.03	181.28	0.0	1.81	5.02	197.09	5.36	8.06	19.39	0.0	4.35	1.5	4.28	1.51	22.92	6.67	9.34	6.36	5.23	33.78	20.26	3.69	8.51	29.48	3.76	38.4	4.9	135.24	2.16	0.8	16.88	9.41	5.63	1.11	2.48	14.56	26.47	6.89	1.73	15.8	0.44	25.91	18.56	152.28
FBLN2	224.97	890.44	46.84	1001.93	4671.57	2351.53	3768.09	2351.53	540.19	1617.0	2855.44	2739.08	2271.4	2997.45	551.56	1225.22	2555.58	476.71	2061.24	4152.18	571.05	2485.67	6792.79	3589.58	88.88	283.05	14.67	813.63	33.78	73.03	563.18	4.86	271.48	49.56	106.63	56.28	607.87	198.47	305.55	260.38	55.1	450.94	447.82	42.41	208.38	236.21	64.8	785.88	102.25	1216.75	45.21	2.89	447.82	48.52	285.03	32.59	26.47	301.33	1037.29	269.6	42.41	435.55	131.51	454.09	236.21	3081.75
FBN1	237.86	454.09	38.95	884.29	7642.41	2645.74	10084.54	2645.74	1199.98	2303.12	4903.87	4639.29	4181.07	2895.31	995.0	1794.29	6516.03	954.43	5711.87	7331.05	21.94	1794.29	2502.97	2271.4	18.16	61.25	68.55	2400.97	155.5	379.04	836.53	23.08	151.22	96.68	172.65	159.9	819.3	343.89	633.73	341.51	208.38	373.81	693.58	153.34	130.6	229.72	46.84	842.36	161.02	1991.0	142.01	40.36	559.28	165.57	595.34	236.21	180.02	620.67	423.61	299.25	176.29	332.14	191.67	395.18	273.37	5292.48
FGF1	31.0	99.43	12.09	63.0	563.18	155.5	351.14	155.5	83.45	190.34	329.84	334.46	295.11	187.71	49.21	149.12	409.15	75.64	356.05	287.01	153.34	18.03	27.05	43.32	1.62	6.84	5.77	87.65	3.79	11.3	24.81	3.2	6.94	11.13	18.97	11.21	23.42	15.56	12.36	16.27	23.93	29.91	25.54	9.85	50.63	7.94	11.82	35.0	11.47	130.6	4.62	3.03	11.38	9.78	7.34	14.67	9.56	23.93	34.51	6.67	19.68	26.1	9.78	23.76	15.0	205.5
FGF14	35.0	45.53	34.51	205.5	151.22	92.05	236.21	92.05	24.63	32.36	150.17	88.26	175.07	77.25	41.52	21.63	166.73	24.63	87.03	264.03	186.4	155.5	579.04	698.41	0.0	0.27	0.74	40.64	0.74	2.76	7.11	0.77	6.73	1.45	1.77	1.46	11.82	2.86	11.55	2.89	2.32	15.91	5.02	2.48	9.85	3.23	2.03	20.41	1.55	60.39	3.0	1.14	18.84	0.68	6.46	1.1	2.27	17.13	41.22	5.06	0.0	29.91	22.1	10.96	5.63	283.05
FMO1	28.86	11.55	3.89	109.66	836.53	191.67	1407.55	191.67	80.57	212.78	275.28	358.54	153.34	599.49	249.73	137.14	1151.06	121.79	312.0	260.38	67.59	119.26	102.25	183.82	1.35	31.45	0.35	23.08	2.76	0.39	6.89	2.92	26.86	13.22	16.39	4.82	63.45	12.64	38.12	16.75	10.31	339.14	59.97	1.23	101.54	9.06	2.27	30.34	6.57	348.71	14.24	6.67	36.27	15.22	50.98	3.59	9.48	21.94	38.95	28.65	3.0	35.5	3.79	49.21	2.63	450.94
FZD1	190.34	169.07	35.5	651.58	1044.52	412.0	995.0	412.0	202.66	559.28	1159.07	518.15	961.07	647.07	339.14	379.04	934.76	403.5	813.63	1051.79	571.05	1508.65	514.56	629.35	146.03	54.33	56.68	264.03	44.89	110.43	162.14	60.39	239.52	93.35	152.28	146.03	142.01	166.73	198.47	97.36	113.56	208.38	206.94	97.36	279.14	94.67	143.01	172.65	157.68	316.37	166.73	75.11	241.19	47.84	148.09	113.56	68.07	170.25	438.59	432.53	90.14	262.2	109.66	287.01	155.5	902.89
GLT8D2	193.01	291.04	24.99	579.04	1977.24	733.19	2255.7	733.19	221.86	633.73	1159.07	915.51	1467.37	854.13	223.41	334.46	1977.24	156.59	1199.98	1745.2	31.67	143.01	1037.29	1216.75	11.04	23.08	21.32	679.29	51.71	872.1	239.52	18.29	41.22	51.71	49.56	35.25	209.84	58.3	125.24	92.05	110.43	103.69	241.19	59.55	18.16	70.01	24.46	348.71	55.1	698.41	69.03	28.45	112.77	47.5	129.69	53.95	43.63	177.53	277.2	84.04	31.22	253.23	48.87	159.9	117.6	1322.37
HMCN1	33.78	22.43	1.23	156.59	1208.34	423.61	1819.35	423.61	109.66	239.52	674.59	587.13	599.49	283.05	69.52	205.5	896.64	108.9	1183.45	830.75	1359.57	1015.93	223.41	297.17	1.68	13.12	15.8	178.77	9.41	19.97	66.18	0.95	24.46	17.38	86.43	42.71	124.37	48.87	141.02	120.1	28.86	183.82	307.69	31.45	126.12	27.05	7.57	43.02	31.22	228.13	10.71	6.94	63.45	21.47	62.56	17.9	18.56	94.67	66.65	39.5	10.71	81.14	8.51	28.45	18.29	154.42
ISLR	1397.83	3325.99	57.08	4903.87	8305.36	5219.6	6250.56	5219.6	1936.53	2701.35	9025.81	4671.57	5006.93	6207.38	1769.57	3235.01	7433.4	848.22	6699.25	7081.29	30.34	2178.83	16496.96	8538.88	95.34	204.07	102.97	3665.02	51.35	260.38	1583.71	37.59	371.22	162.14	242.88	198.47	1487.87	161.02	679.29	571.05	185.11	808.0	633.73	189.02	127.89	295.11	48.18	2485.67	397.93	10225.32	166.73	62.56	808.0	82.87	500.46	90.77	115.97	2075.59	2018.8	796.86	39.79	728.11	151.22	802.41	279.14	9151.82
ITGBL1	490.14	532.74	307.69	1963.57	2417.67	1896.65	4802.93	1896.65	435.55	796.86	2758.13	1417.35	1519.15	1313.23	878.17	633.73	3768.09	447.82	1561.89	2997.45	194.36	432.53	2976.74	698.41	0.64	6.67	4.46	624.99	12.93	15.8	87.03	0.0	78.89	19.39	14.89	15.68	153.34	44.25	142.01	42.41	29.27	122.64	82.29	29.27	82.29	60.39	17.9	248.0	26.86	713.11	30.12	1.31	228.13	6.31	82.87	12.74	29.06	262.2	551.56	71.0	8.65	34.26	5.41	73.54	18.03	5954.47
KCND2	31.67	17.25	3.59	87.65	178.77	54.33	172.65	54.33	17.64	85.22	102.97	183.82	145.02	26.47	19.68	17.9	103.69	18.03	132.44	96.68	22.43	22.43	10.16	111.21	0.56	0.31	0.49	30.34	0.49	2.36	10.96	0.52	2.63	0.53	5.45	2.27	7.46	1.73	8.38	1.19	1.41	11.3	1.81	0.0	1.33	1.5	7.34	9.34	0.29	29.06	0.8	0.0	2.16	4.82	0.92	0.28	0.0	2.68	13.62	4.78	0.89	1.73	0.0	4.9	1.27	21.78
LCN2	318292.9	3467.27	129266.49	217400.14	363.56	186.4	358.54	186.4	802.41	713.11	476.71	616.37	4.94	400.71	3372.43	2.01	66.18	87.65	136.19	25.35	565825.41	1179708.33	706337.4	313910.86	90146.51	214407.12	316094.29	796.86	12589.08	204252.32	542775.98	135693.24	343510.77	158046.64	313910.86	204252.32	275175.93	606436.73	256748.15	654483.73	1238359.56	336441.4	513497.31	134755.94	425853.18	1034138.94	565825.41	23169.48	251464.33	1472666.19	593956.43	181548.07	269512.87	431797.89	334117.42	466008.55	301123.38	251464.33	383800.28	305326.92	350728.68	248002.34	217400.14	301123.38	320506.81	1183.45
LRRC15	88.88	309.83	0.93	258.57	5711.87	1268.46	4704.07	1268.46	633.73	1359.57	3039.3	3665.02	3901.01	2335.28	483.38	583.07	3690.52	356.05	1870.53	4328.55	67.59	78.89	3.86	0.62	0.0	1.58	1.04	483.38	4.66	31.22	124.37	1.69	8.19	2.01	4.78	1.62	26.86	4.28	12.83	14.56	2.97	10.96	13.83	21.16	0.72	30.56	2.32	217.27	28.45	339.14	15.45	4.06	94.01	1.69	55.49	13.83	36.01	14.67	152.28	96.68	9.93	96.68	4.82	39.79	12.18	171.45
MMP11	2627.46	8247.98	417.77	7589.61	25354.3	5292.48	14867.79	5292.48	9344.14	15285.81	11267.44	12502.12	13776.25	38966.94	3614.55	15392.14	44761.41	2004.85	18178.19	20593.91	1208.34	2367.9	7537.18	6652.97	183.82	264.03	493.56	5006.93	341.51	332.14	3280.18	165.57	571.05	283.05	587.13	361.04	3690.52	198.47	860.08	480.04	460.44	2400.97	543.96	432.53	16.88	620.67	269.6	3303.0	114.36	4298.64	551.56	336.79	1477.58	258.57	665.29	275.28	679.29	2209.26	5633.22	1417.35	125.24	137.14	16.63	50.63	31.0	3325.99
MRC2	669.92	1551.09	223.41	1467.37	2956.17	1781.89	2997.45	1781.89	651.58	1540.37	4543.8	1857.6	1883.54	3280.18	718.08	1819.35	3515.68	536.45	4298.64	3325.99	414.87	1183.45	2271.4	1340.84	43.63	283.05	100.83	1617.0	228.13	616.37	764.36	43.63	139.07	97.36	242.88	149.12	555.41	242.88	518.15	334.46	169.07	323.03	638.15	95.34	368.65	281.09	97.36	620.67	314.17	1369.04	120.94	37.59	397.93	130.6	486.75	312.0	218.79	813.63	830.75	289.02	138.1	543.96	242.88	559.28	239.52	2485.67
MXRA5	171.45	368.65	20.41	1857.6	5791.62	2255.7	6887.62	2255.7	934.76	2319.15	3928.15	2895.31	4769.75	2400.97	1066.48	1304.15	5076.84	878.17	4450.27	4268.94	127.89	579.04	154.42	343.89	295.11	73.03	15.68	1191.69	60.39	323.03	305.55	6.31	31.9	21.78	25.54	15.0	131.51	674.59	961.07	61.68	57.49	212.78	124.37	40.64	95.34	197.09	45.21	607.87	316.37	1909.85	79.45	51.71	353.59	50.27	1051.79	126.12	642.59	583.07	743.43	301.33	854.13	563.18	187.71	884.29	297.17	536.45
NAP1L3	9.93	48.87	0.62	72.52	130.6	73.54	206.94	73.54	20.86	31.67	128.79	68.07	120.94	43.63	16.39	23.08	128.79	23.59	114.36	197.09	2.53	371.22	376.41	769.69	0.91	3.06	2.03	54.72	2.71	7.22	18.56	0.61	6.16	2.16	2.14	1.3	12.36	3.32	13.42	2.51	3.5	10.47	8.92	4.03	1.11	6.78	2.56	19.25	8.92	50.63	2.46	2.05	13.93	2.29	13.32	1.55	5.96	25.54	18.7	6.11	1.89	19.11	7.88	16.88	6.84	108.14
NUDT10	6.16	17.25	0.32	19.53	82.29	79.45	157.68	79.45	6.26	45.53	72.01	40.64	50.98	105.89	8.06	17.9	106.63	18.97	71.5	65.72	10.88	12.36	269.6	120.94	0.72	1.08	0.0	11.38	0.0	6.89	13.62	1.64	0.91	0.95	1.27	0.95	3.06	0.97	1.35	0.0	2.12	4.39	3.08	1.57	5.87	2.81	1.1	8.32	1.46	42.41	0.92	0.0	0.62	0.0	3.29	0.62	0.0	15.11	7.46	2.01	1.73	26.28	7.06	11.38	7.11	19.68
OLFML1	47.17	93.35	16.63	205.5	624.99	423.61	884.29	423.61	133.36	325.29	417.77	343.89	454.09	229.72	98.73	124.37	679.29	79.45	392.44	780.44	76.17	656.11	947.83	460.44	4.58	14.14	5.06	193.01	14.24	21.63	96.01	3.32	34.75	35.0	32.36	24.46	129.69	37.59	92.05	38.95	54.33	58.3	104.42	19.39	15.34	39.22	18.97	167.9	50.63	397.93	29.91	26.1	96.68	35.76	121.79	46.84	31.45	108.9	111.21	32.82	30.56	269.6	61.68	258.57	64.8	392.44
OLFML3	490.14	1242.34	27.05	1583.71	2935.74	5517.27	4972.34	5517.27	1051.79	1540.37	3060.45	1769.57	6935.54	2555.58	432.53	733.19	3716.2	518.15	3395.89	3168.41	23.59	1250.98	2502.97	2240.11	10.63	253.23	35.76	1059.11	98.04	231.32	476.71	31.22	117.6	68.07	208.38	82.87	412.0	262.2	275.28	271.48	143.01	223.41	379.04	95.34	86.43	575.03	73.54	435.55	255.0	1745.2	180.02	76.17	253.23	52.08	277.2	441.64	208.38	902.89	679.29	129.69	46.84	529.06	332.14	728.11	323.03	575.03
OMD	21.47	33.78	0.0	81.71	1508.65	297.17	902.89	297.17	88.88	134.3	547.75	463.65	1066.48	392.44	127.0	63.0	934.76	40.93	305.55	1023.0	9.13	221.86	480.04	1331.57	0.0	0.0	0.0	19.39	1.04	1.13	11.91	0.0	8.13	2.66	3.11	10.47	8.99	5.32	33.78	3.5	2.92	15.22	7.88	1.03	37.05	3.82	0.89	29.91	12.74	371.22	3.5	0.87	25.72	2.18	11.82	0.83	1.19	35.0	55.49	10.88	1.48	22.59	3.76	27.64	11.91	1151.06
PLXDC2	228.13	262.2	5.77	480.04	1857.6	974.5	2835.7	974.5	575.03	884.29	1662.49	909.17	1923.14	842.36	403.5	435.55	1721.16	373.81	1617.0	2133.97	217.27	195.72	656.11	693.58	4.21	135.24	12.83	759.08	150.17	167.9	191.67	23.93	85.82	78.34	194.36	130.6	258.57	220.32	217.27	136.19	117.6	299.25	363.56	27.25	232.94	94.01	24.99	242.88	68.55	1268.46	27.64	59.55	220.32	74.06	221.86	156.59	47.17	251.48	204.07	88.88	50.27	279.14	104.42	236.21	163.28	698.41
