	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.77.8007.11A.01R.2187.07
CD37	4903.87	3690.52	4836.35	1651.0	1594.73	4481.23	2816.11	2855.44	4671.57	6792.79	764.36	332.14	152.28	493.56	343.89	571.05	226.54	248.0	38.67	115.16	50.63	28.24	988.12	139.07	81.71	92.05	116.78	271.48	57.08	209.84	74.06	152.28	75.64	63.45	97.36	118.43	285.03	226.54	244.57	255.0	860.08	122.64	329.84	708.18	136.19	3589.58	236.21	1870.53	12076.21	1417.35	3081.75	13872.08	10014.87	2591.27	9088.59	5403.7	9474.59	12589.08	5006.93	1709.26
CD3D	329.84	397.93	896.64	183.82	248.0	426.57	612.11	486.75	323.03	353.59	295.11	135.24	248.0	291.04	81.71	536.45	118.43	236.21	3.26	90.77	8.06	44.89	417.77	120.1	64.8	30.78	100.13	178.77	19.11	105.89	95.34	38.4	141.02	59.13	64.34	73.54	23.42	77.25	208.38	343.89	99.43	98.73	99.43	312.0	33.54	486.75	100.83	718.08	813.63	642.59	723.08	2178.83	674.59	2163.77	624.99	559.28	679.29	679.29	915.51	848.22
CD3E	457.25	616.37	1167.14	279.14	392.44	733.19	1104.13	808.0	633.73	656.11	291.04	138.1	72.52	348.71	114.36	356.05	136.19	260.38	2.07	54.72	12.93	12.0	371.22	70.01	83.45	75.64	92.05	221.86	28.86	93.35	61.25	55.1	51.35	34.51	60.82	87.03	68.55	110.43	69.03	198.47	334.46	82.29	177.53	503.95	37.59	507.46	115.16	591.22	1225.22	669.92	915.51	2664.15	1277.29	2004.85	1467.37	759.08	1605.83	1561.89	1135.2	791.35
CD3G	53.57	50.27	190.34	40.93	27.64	50.98	181.28	48.52	98.73	41.52	46.18	15.91	12.18	44.57	7.69	29.7	12.09	27.64	0.0	12.27	0.83	4.94	56.68	6.26	19.68	6.67	23.93	30.56	3.89	5.06	14.67	10.16	4.82	3.89	14.45	6.21	3.63	42.11	20.41	131.51	28.04	12.83	25.72	37.85	35.25	127.89	21.47	136.19	209.84	209.84	201.25	273.37	183.82	379.04	181.28	142.01	88.88	163.28	101.54	158.79
CD48	1583.71	1551.09	2777.33	708.18	642.59	947.83	1519.15	1104.13	1225.22	1697.45	417.77	204.07	101.54	329.84	115.16	426.57	161.02	197.09	13.22	44.57	22.92	12.27	738.29	77.25	78.89	55.1	95.34	221.86	47.84	120.1	40.93	61.25	108.9	67.12	62.56	97.36	181.28	91.41	180.02	351.14	363.56	150.17	269.6	612.11	132.44	1216.75	108.9	1963.57	4268.94	1015.93	2591.27	3742.05	3847.29	1378.57	1127.35	521.76	1923.14	830.75	2367.9	1322.37
CD5	54.33	61.68	163.28	37.59	59.97	163.28	129.69	95.34	98.73	57.89	55.49	25.35	11.21	50.27	19.25	34.26	27.25	29.48	0.8	9.41	2.03	1.3	80.01	9.56	10.16	15.45	16.15	32.59	4.82	13.03	5.5	3.76	5.92	8.78	6.84	9.78	13.42	5.45	20.86	33.54	17.13	6.36	17.9	60.39	27.64	108.9	17.38	88.26	187.71	97.36	170.25	180.02	161.02	279.14	287.01	109.66	172.65	107.38	688.78	180.02
CD53	4388.98	2855.44	6037.61	1487.87	1923.14	3716.2	3325.99	2997.45	3467.27	3742.05	967.76	497.0	397.93	728.11	409.15	1059.11	190.34	376.41	49.56	120.1	44.57	48.52	1447.15	212.78	141.02	132.44	161.02	470.14	130.6	307.69	134.3	275.28	323.03	102.97	152.28	215.77	503.95	202.66	616.37	138.1	514.56	237.86	802.41	1023.0	170.25	4181.07	244.57	5517.27	10659.59	4239.45	3060.45	7966.99	10154.69	3589.58	8718.32	14663.09	4836.35	7032.37	12764.83	4937.99
CD6	145.02	149.12	291.04	88.26	82.29	169.07	173.85	158.79	162.14	108.9	96.68	50.63	18.84	81.71	29.48	76.17	33.06	60.82	2.01	22.26	4.78	4.9	98.73	19.53	15.22	15.22	26.28	61.68	8.92	19.68	9.41	11.64	11.04	11.04	10.47	27.84	6.78	21.47	23.59	57.49	74.58	13.93	35.0	82.29	21.16	201.25	32.13	122.64	295.11	181.28	265.87	423.61	172.65	281.09	486.75	158.79	255.0	183.82	507.46	289.02
CD69	599.49	277.2	325.29	59.97	93.35	63.0	98.73	198.47	167.9	145.02	69.03	27.44	15.8	48.52	27.25	55.1	31.67	45.21	2.27	9.93	4.17	4.03	242.88	13.62	26.86	10.47	14.35	32.36	9.93	49.91	4.62	10.96	31.67	14.89	26.67	21.94	86.43	71.0	23.42	470.14	226.54	28.04	77.79	32.13	7.4	521.76	20.56	438.59	1639.59	183.82	612.11	2178.83	521.76	2384.37	2915.45	674.59	738.29	603.67	5219.6	780.44
CD72	316.37	381.68	493.56	77.79	72.52	176.29	221.86	249.73	224.97	193.01	111.21	47.17	93.35	111.21	46.84	224.97	76.71	68.55	10.63	12.55	26.47	21.94	463.65	20.86	64.8	10.47	27.84	99.43	45.21	67.59	26.67	55.89	92.7	15.8	56.68	51.35	16.88	31.67	141.02	36.27	55.49	54.72	63.45	127.0	49.21	351.14	38.12	178.77	633.73	161.02	246.28	205.5	285.03	176.29	579.04	339.14	186.4	84.04	2384.37	358.54
CD80	38.67	14.03	71.0	9.63	11.73	20.56	14.24	7.75	11.04	8.06	22.43	10.96	17.9	14.67	4.13	16.88	0.37	6.16	0.34	2.41	0.0	1.53	60.39	1.39	4.74	2.03	2.84	5.23	1.58	11.73	0.77	4.31	10.63	1.93	1.66	4.86	14.45	0.0	16.03	7.4	7.69	6.41	6.84	6.84	2.25	59.97	3.69	120.1	125.24	129.69	178.77	72.52	87.65	88.88	147.06	68.55	74.58	38.12	45.21	87.65
CD8A	297.17	217.27	389.72	65.72	146.03	239.52	961.07	271.48	289.02	205.5	21.94	37.32	11.13	90.77	44.57	158.79	17.77	105.89	1.5	9.41	5.82	9.78	206.94	11.73	40.36	19.97	37.32	123.5	14.24	34.75	13.12	13.22	9.34	29.27	20.26	28.24	17.0	171.45	17.38	171.45	156.59	33.78	65.72	329.84	76.17	156.59	111.99	493.56	808.0	152.28	269.6	1268.46	825.0	1745.2	2485.67	698.41	698.41	656.11	688.78	358.54
CD8B	99.43	132.44	198.47	26.47	58.3	106.63	412.0	139.07	82.87	115.16	12.36	14.14	16.15	39.79	15.91	87.03	5.19	34.75	0.0	4.78	3.0	15.34	78.89	4.5	25.91	10.0	273.37	77.79	4.78	10.55	6.84	6.16	19.25	18.56	14.89	20.41	12.83	49.91	7.4	108.9	59.55	34.75	13.32	139.07	23.59	63.89	25.91	172.65	470.14	41.52	178.77	872.1	339.14	1313.23	373.81	285.03	318.57	366.09	97.36	183.82
CD96	126.12	85.82	135.24	36.27	40.64	46.5	117.6	91.41	80.01	58.3	69.03	30.12	35.76	75.11	25.17	133.36	38.95	44.89	2.81	7.28	2.92	2.34	135.24	15.91	14.14	14.24	22.43	37.59	11.38	47.84	6.21	11.64	22.92	14.89	19.68	14.89	36.01	37.05	15.91	79.45	99.43	4.7	33.06	35.76	11.82	118.43	18.29	148.09	368.65	107.38	178.77	295.11	164.42	567.1	543.96	264.03	205.5	100.83	1191.69	327.56
CECR1	4639.29	2875.3	6561.36	5006.93	2075.59	5633.22	9808.75	1757.34	4639.29	3372.43	775.05	237.86	81.14	454.09	366.09	579.04	178.77	195.72	52.08	74.58	81.14	28.45	1119.56	158.79	120.94	81.71	77.79	226.54	115.97	135.24	60.82	92.7	241.19	43.32	69.52	130.6	100.13	141.02	579.04	166.73	281.09	368.65	902.89	1008.9	540.19	2835.7	457.25	2004.85	6699.25	4972.34	3847.29	6250.56	4450.27	3564.78	5255.91	2090.03	1977.24	7589.61	13492.72	1427.22
CELF2	303.44	248.0	318.57	79.45	102.97	211.31	202.66	215.77	555.41	206.94	54.33	34.75	20.41	37.85	25.35	61.68	15.68	21.63	4.98	8.92	4.13	3.38	106.63	14.24	9.2	14.45	8.25	22.26	11.47	20.11	6.31	17.38	16.03	5.15	12.36	14.89	50.27	44.89	42.71	36.79	90.14	9.48	18.56	54.72	15.56	579.04	173.85	503.95	723.08	103.69	182.55	329.84	248.0	642.59	2682.69	255.0	444.72	1096.5	6250.56	633.73
