	TCGA.C5.A1M9.01A.11R.A13Y.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.G3.A3CK.01A.11R.A213.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.8602.01A.11R.2402.13	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.CD.8531.01A.11R.2343.13
GHR	0.83	20.56	154.42	96.68	127.0	134.3	102.97	47.5	9.13	5.11	24.11	131.51	1519.15	674.59	1397.83	1991.0	6840.04	2555.58	5711.87	1233.75	1001.93	5791.62	2664.15	813.63	9215.48	1757.34	0.0	0.44	5.23	3.53	7.57
GYS2	0.0	151.22	497.0	167.9	371.22	748.61	101.54	3.72	53.57	4.74	22.1	406.31	4450.27	435.55	2875.3	5913.33	5954.47	5872.48	9740.98	2384.37	1104.13	6294.04	3614.55	1896.65	13215.02	11827.67	0.0	0.19	0.0	0.0	22.92
HAO2	0.91	141.02	45.53	202.66	414.87	117.6	133.36	37.59	202.66	3.26	32.13	223.41	21919.61	540.19	2163.77	24153.43	10659.59	3103.19	5672.41	6079.61	15392.14	21919.61	6037.61	303.44	33688.23	8022.41	0.0	0.0	2.58	0.0	61.68
KDM8	67.12	98.04	376.41	271.48	92.05	356.05	181.28	44.89	48.87	64.34	56.68	73.54	4512.4	836.53	579.04	529.06	3212.66	1794.29	2209.26	4481.23	4210.15	3395.89	2537.92	409.15	7032.37	1639.59	0.0	0.06	57.89	40.07	57.49
KHK	547.75	2664.15	7857.29	7749.1	7081.29	10225.32	2468.49	412.0	6337.83	4419.52	5076.84	4388.98	25179.16	6652.97	5954.47	36106.23	35363.15	25530.66	18178.19	22850.48	12676.65	23492.92	42937.97	6983.79	51062.33	4010.71	0.0	0.15	164.42	178.77	34.26
LCAT	171.45	493.56	1857.6	1674.06	967.76	1008.9	674.59	209.84	181.28	323.03	212.78	343.89	16269.83	3874.05	8247.98	22072.07	17437.64	8901.53	16383.0	14262.1	5791.62	15934.98	23986.58	3257.52	19618.49	5751.61	0.0	1.11	83.45	157.68	111.21
LIPG	57.08	85.82	186.4	283.05	320.8	316.37	100.83	97.36	181.28	6.36	35.5	95.34	1259.69	708.18	57.08	454.09	1322.37	143.01	1697.45	1225.22	563.18	1143.1	1216.75	164.42	389.72	723.08	0.0	0.0	21.16	255.0	2.86
MAGI2	2.71	4.54	8.06	12.93	6.84	10.0	3.17	5.45	5.77	3.89	2.63	3.14	39.22	11.91	14.24	30.12	13.42	17.25	15.45	25.54	6.31	21.47	1.53	17.25	20.26	15.68	0.0	0.26	3.29	2.12	6.31
MPDZ	49.56	198.47	743.43	547.75	511.0	503.95	161.02	165.57	249.73	173.85	143.01	591.22	981.29	642.59	819.3	1721.16	1359.57	1540.37	1721.16	872.1	769.69	1594.73	1388.16	884.29	2720.15	1697.45	0.0	0.59	46.5	14.14	47.84
NR1I2	0.31	156.59	507.46	444.72	748.61	693.58	204.07	35.0	460.44	12.64	224.97	281.09	2271.4	525.39	830.75	3146.52	1350.18	2271.4	1794.29	954.43	3018.3	3742.05	1135.2	1151.06	3982.99	2075.59	0.0	0.13	0.0	25.72	0.42
PCK2	1096.5	2816.11	4358.66	4450.27	7433.4	4298.64	4095.0	2148.82	3081.75	693.58	638.15	4123.49	35118.87	9025.81	22225.61	81809.59	20310.37	37121.34	32315.87	16960.78	17804.06	38966.94	38697.77	6607.01	23820.89	56657.31	0.0	0.0	603.67	470.14	387.02
PCP4L1	0.0	6.11	12.83	17.9	39.79	27.64	19.82	4.39	3.63	13.12	12.74	29.06	91.41	6.84	31.0	61.68	32.59	28.24	1127.35	41.52	140.04	77.79	214.27	86.43	23.42	1216.75	0.0	0.23	0.57	0.83	0.44
PIPOX	8.19	2739.08	6037.61	3820.7	4450.27	3349.13	3103.19	287.01	3419.52	1407.55	2609.3	3372.43	18431.96	3794.3	8363.13	19348.38	15392.14	16727.26	35118.87	7130.55	10883.59	42054.3	18819.27	8363.13	14765.09	33224.42	0.0	0.17	7.06	10.24	10.08
PVRL3	123.5	82.29	98.04	137.14	102.97	145.02	44.89	23.93	234.57	2.66	53.57	111.99	251.48	111.21	291.04	348.71	708.18	126.12	988.12	149.12	134.3	441.64	191.67	131.51	591.22	915.51	0.0	0.27	28.24	87.03	32.13
PXMP2	759.08	2573.36	3467.27	2956.17	7485.11	3443.31	2271.4	836.53	3665.02	1651.0	2032.85	3395.89	15075.35	5872.48	7382.04	22692.63	11909.94	17681.08	11909.94	7433.4	6516.03	11189.6	11189.6	5872.48	12589.08	14065.74	0.0	0.06	638.15	934.76	1023.0
RBP5	25.54	1709.26	4010.71	3395.89	5041.77	2224.63	1963.57	215.77	1844.76	514.56	743.43	961.07	18560.17	7803.01	6792.79	65535.0	22535.88	19618.49	28923.41	15285.81	10883.59	38430.46	10733.74	4704.07	29531.18	19892.37	0.0	0.27	42.71	18.84	55.89
SARDH	5.54	842.36	921.88	780.44	915.51	651.58	559.28	265.87	348.71	142.01	476.71	748.61	6471.02	1883.54	3349.13	6887.62	4181.07	5292.48	6079.61	4038.61	4298.64	6561.36	4575.41	1977.24	4123.49	3515.68	0.0	0.34	29.27	4.13	10.31
TMEM27	7.34	17.0	28.86	193.01	21.94	72.52	6.94	12.36	29.48	15.34	46.18	16.03	406.31	92.05	303.44	1467.37	4802.93	607.87	928.3	981.29	379.04	1037.29	1340.84	153.34	4704.07	934.76	0.0	0.0	3.99	13.62	4.46
TPPP2	0.0	5.5	27.25	43.02	75.64	28.45	18.16	0.0	7.34	3.47	4.74	18.29	753.83	154.42	120.1	2148.82	356.05	271.48	381.68	218.79	157.68	303.44	223.41	127.0	909.17	131.51	0.0	0.0	0.0	0.0	0.0
TUSC1	9.06	51.71	48.87	19.25	59.13	28.65	48.52	16.39	148.09	8.85	42.11	103.69	295.11	229.72	237.86	129.69	273.37	218.79	95.34	221.86	95.34	71.0	80.57	40.93	271.48	154.42	0.0	0.56	28.86	7.34	45.21
UGP2	1963.57	2335.28	3540.14	3168.41	7433.4	3742.05	2875.3	1417.35	2178.83	1540.37	2133.97	2855.44	14065.74	5147.73	7857.29	10084.54	18819.27	10808.41	19754.96	16727.26	9876.98	13399.51	21768.19	12160.22	18560.17	26800.01	1437.15	1023.0	961.07	1259.69	1225.22
