	TCGA.D8.A1J9.01A.11R.A13Q.07	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.C8.A12Q.01A.11R.A115.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.D8.A27P.01A.11R.A16F.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.131YS.0626.SM.5EGKL	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.A11D.11A.12R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.11ZTS.1426.SM.5EQMM	GTEX.145MF.0826.SM.5QGQA	GTEX.13NYC.2626.SM.5K7VN
MARCKSL1	8421.31	2956.17	7695.57	9409.14	8078.22	10296.45	5255.91	5403.7	7857.29	6652.97	8363.13	5076.84	5292.48	4095.0	3349.13	543.96	1096.5	599.49	490.14	540.19	536.45	547.75	262.2	183.82	559.28
MND1	105.15	204.07	73.03	106.63	96.68	281.09	47.17	32.82	118.43	123.5	239.52	43.63	115.16	47.5	57.08	0.0	25.35	5.23	3.2	14.03	4.58	4.39	6.52	14.14	93.35
MUCL1	453265.5	550352.86	2216726.5	520665.48	794671.01	386469.83	307450.64	919186.72	1273174.62	524287.0	1255646.43	900270.11	985160.01	887875.81	1299926.74	0.0	0.0	4.24	0.0	0.0	0.0	0.0	11.82	0.0	9635979.21
NRBP1	2434.5	2520.38	1977.24	2591.27	1832.01	3419.52	1923.14	1651.0	2591.27	2061.24	2664.15	1617.0	1870.53	2090.03	1359.57	1135.2	1167.14	1340.84	988.12	1023.0	1051.79	1104.13	967.76	808.0	1806.78
PCNXL3	836.53	748.61	713.11	521.76	718.08	1183.45	579.04	536.45	624.99	1001.93	738.29	521.76	603.67	438.59	426.57	185.11	265.87	224.97	234.57	201.25	202.66	305.55	130.6	211.31	314.17
PDCL3	1015.93	1242.34	791.35	1015.93	1073.91	1519.15	780.44	660.68	1216.75	775.05	1388.16	802.41	780.44	414.87	1183.45	177.53	224.97	323.03	178.77	186.4	197.09	205.5	159.9	186.4	642.59
PLK1	551.56	1295.13	187.71	318.57	466.88	444.72	133.36	92.7	400.71	423.61	848.22	242.88	244.57	60.39	54.33	7.17	23.25	25.35	11.55	34.51	8.71	7.88	5.41	22.26	177.53
POLR2D	547.75	563.18	336.79	444.72	518.15	457.25	341.51	334.46	371.22	336.79	262.2	273.37	454.09	212.78	339.14	248.0	251.48	285.03	206.94	234.57	242.88	209.84	178.77	180.02	575.03
PPP1R14B	5517.27	4512.4	4038.61	3124.78	3146.52	7485.11	2061.24	1697.45	4181.07	5913.33	7230.1	2701.35	3716.2	967.76	1963.57	1662.49	1936.53	1674.06	1674.06	1529.73	1216.75	1923.14	1191.69	1066.48	3303.0
PSMD14	1806.78	1709.26	1191.69	1721.16	947.83	2224.63	947.83	878.17	1467.37	1023.0	1572.76	961.07	1467.37	651.58	1008.9	406.31	460.44	684.02	493.56	518.15	500.46	595.34	351.14	638.15	1233.75
RALA	854.13	1208.34	896.64	1617.0	878.17	2434.5	669.92	665.29	1467.37	1023.0	1037.29	723.08	836.53	532.74	536.45	265.87	314.17	297.17	224.97	260.38	237.86	232.94	260.38	180.02	890.44
RALB	1605.83	2075.59	928.3	1794.29	1286.18	3081.75	1111.82	1407.55	1529.73	1397.83	1378.57	1051.79	1674.06	808.0	1001.93	281.09	483.38	500.46	325.29	361.04	305.55	483.38	193.01	316.37	1191.69
SNRPB2	1991.0	1617.0	854.13	1617.0	1167.14	1923.14	848.22	848.22	947.83	825.0	1487.87	1286.18	1001.93	728.11	2163.77	607.87	575.03	529.06	476.71	490.14	525.39	571.05	348.71	376.41	878.17
SOX11	220.32	353.59	115.16	154.42	82.29	371.22	5.19	3.63	466.88	392.44	271.48	2.18	6.11	1.69	0.87	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.06
STIL	159.9	221.86	55.49	140.04	239.52	91.41	53.19	43.94	108.14	74.58	129.69	70.01	54.33	34.75	41.81	4.17	8.45	7.94	3.99	5.54	7.88	2.27	2.81	2.78	15.22
STIP1	3901.01	4010.71	2163.77	4095.0	3467.27	3081.75	1857.6	1909.85	3146.52	2976.74	2796.65	2303.12	1407.55	1427.22	1407.55	1037.29	825.0	988.12	575.03	785.88	866.07	934.76	674.59	753.83	3443.31
STX1A	447.82	429.54	703.28	878.17	223.41	928.3	154.42	163.28	1350.18	454.09	371.22	90.14	312.0	150.17	98.04	22.1	42.71	27.25	10.63	50.63	16.75	14.03	19.68	6.26	74.06
TMEM51	395.18	521.76	507.46	392.44	395.18	547.75	242.88	299.25	571.05	536.45	785.88	181.28	376.41	173.85	241.19	75.11	92.05	91.41	44.57	67.59	49.56	53.95	45.53	27.05	229.72
TMPRSS13	444.72	466.88	438.59	511.0	201.25	703.28	98.04	232.94	536.45	323.03	366.09	127.0	368.65	273.37	341.51	6.78	8.65	6.89	2.73	4.98	7.69	3.35	1.28	7.82	291.04
TRPM2	262.2	246.28	353.59	244.57	293.07	624.99	102.97	139.07	285.03	327.56	470.14	91.41	166.73	76.17	211.31	31.0	37.32	23.25	14.67	7.69	20.11	19.68	23.59	1.41	2.86
TTYH3	723.08	2777.33	1733.13	1498.22	1008.9	3589.58	521.76	486.75	1685.71	2835.7	1369.04	954.43	1096.5	293.07	265.87	172.65	441.64	366.09	157.68	224.97	166.73	145.02	149.12	134.3	144.01
VPS37B	902.89	808.0	536.45	612.11	896.64	1242.34	547.75	579.04	775.05	728.11	332.14	387.02	518.15	629.35	463.65	303.44	251.48	153.34	133.36	127.89	147.06	138.1	181.28	121.79	271.48
YKT6	1268.46	2090.03	1883.54	3060.45	2090.03	3280.18	1304.15	1250.98	1936.53	1896.65	1127.35	1977.24	2104.58	796.86	1407.55	303.44	420.68	346.29	325.29	395.18	307.69	435.55	206.94	329.84	703.28
ZNF480	379.04	256.78	264.03	291.04	323.03	417.77	262.2	199.85	327.56	236.21	226.54	275.28	312.0	214.27	231.32	112.77	162.14	120.94	114.36	149.12	97.36	152.28	60.39	35.5	316.37
