	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.T5JC.1726.SM.4DM6U	GTEX.1399R.0826.SM.5IJEL	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.X585.1226.SM.46MW7	GTEX.ZVT2.1326.SM.5E45H	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.146FH.1726.SM.5QGQ2	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.14AS3.0626.SM.5QGQD	GTEX.12ZZX.1326.SM.5DUWI	TCGA.CV.7089.01A.11R.2016.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6960.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.7242.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7103.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.11EI6.0826.SM.5985V	GTEX.131XW.1126.SM.5EGK4	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZA64.1726.SM.5CVMF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
CCT8	3039.3	4328.55	2976.74	2468.49	3443.31	2976.74	2075.59	2875.3	2682.69	3039.3	2451.44	3190.46	2434.5	2004.85	3614.55	2997.45	2485.67	2061.24	1883.54	2047.0	1651.0	2335.28	2148.82	3190.46	2018.8	2075.59	1745.2	2777.33	1806.78	2104.58	2976.74	3540.14	2119.22	3847.29	2047.0	1781.89	2701.35	3235.01	2573.36	2090.03	3515.68	4239.45	2061.24	3794.3	3190.46	3467.27	2875.3	3103.19	3081.75	3491.39	2255.7	3280.18	2287.2	1639.59	1350.18	2104.58	1977.24	2303.12	2627.46	4066.71	4268.94	3280.18	5329.3	2555.58	3168.41	3039.3	4010.71	2287.2
CD3EAP	154.42	132.44	190.34	141.02	206.94	199.85	237.86	169.07	279.14	218.79	64.8	163.28	124.37	105.89	289.02	151.22	57.08	102.97	87.03	73.54	73.03	50.63	78.89	95.34	36.27	77.25	90.14	74.58	46.18	59.13	62.12	61.25	19.53	153.34	75.64	52.45	111.99	94.67	334.46	44.25	105.15	197.09	74.58	214.27	301.33	226.54	61.25	186.4	137.14	136.19	96.68	130.6	13.12	20.41	19.53	16.88	14.67	54.72	15.56	150.17	148.09	202.66	563.18	176.29	111.99	118.43	92.7	33.54
CHMP6	536.45	543.96	403.5	633.73	551.56	665.29	432.53	708.18	435.55	563.18	620.67	684.02	532.74	470.14	612.11	620.67	480.04	441.64	497.0	447.82	307.69	412.0	493.56	543.96	463.65	447.82	521.76	438.59	406.31	551.56	348.71	414.87	289.02	497.0	480.04	358.54	426.57	291.04	525.39	473.41	441.64	543.96	633.73	669.92	575.03	579.04	693.58	429.54	603.67	748.61	470.14	656.11	129.69	366.09	236.21	229.72	348.71	356.05	171.45	890.44	1175.27	684.02	412.0	638.15	954.43	854.13	764.36	414.87
CIRH1A	890.44	420.68	642.59	733.19	1119.56	1167.14	679.29	1030.12	1268.46	688.78	599.49	651.58	1208.34	753.83	1369.04	1008.9	599.49	480.04	547.75	599.49	460.44	518.15	791.35	616.37	389.72	486.75	490.14	665.29	500.46	607.87	579.04	507.46	368.65	728.11	547.75	400.71	738.29	571.05	928.3	334.46	866.07	842.36	518.15	1023.0	1135.2	1119.56	708.18	860.08	830.75	988.12	674.59	909.17	218.79	189.02	339.14	323.03	297.17	316.37	303.44	981.29	1001.93	796.86	1832.01	728.11	884.29	624.99	1066.48	536.45
CISD3	769.69	447.82	769.69	819.3	738.29	620.67	599.49	854.13	480.04	463.65	486.75	1233.75	819.3	1183.45	769.69	759.08	551.56	470.14	409.15	525.39	420.68	346.29	397.93	591.22	441.64	540.19	497.0	529.06	543.96	493.56	403.5	420.68	279.14	785.88	563.18	559.28	480.04	429.54	759.08	463.65	500.46	718.08	599.49	981.29	866.07	753.83	759.08	476.71	842.36	703.28	591.22	921.88	825.0	669.92	447.82	559.28	444.72	476.71	316.37	1350.18	1447.15	703.28	842.36	748.61	769.69	1023.0	825.0	698.41
CTU2	262.2	82.29	215.77	275.28	387.02	334.46	206.94	441.64	334.46	327.56	189.02	334.46	409.15	249.73	500.46	332.14	232.94	137.14	208.38	169.07	151.22	138.1	166.73	215.77	127.0	172.65	201.25	186.4	204.07	167.9	171.45	162.14	125.24	301.33	171.45	299.25	212.78	237.86	325.29	141.02	253.23	353.59	163.28	329.84	305.55	348.71	242.88	193.01	283.05	351.14	183.82	258.57	166.73	175.07	101.54	157.68	96.68	178.77	64.34	236.21	236.21	162.14	420.68	190.34	155.5	206.94	176.29	152.28
DCAF13	665.29	620.67	466.88	633.73	547.75	884.29	599.49	395.18	967.76	728.11	368.65	587.13	651.58	486.75	878.17	723.08	441.64	500.46	490.14	363.56	299.25	603.67	753.83	466.88	285.03	567.1	473.41	583.07	287.01	567.1	518.15	540.19	277.2	500.46	358.54	293.07	563.18	514.56	684.02	244.57	753.83	764.36	387.02	928.3	693.58	698.41	536.45	896.64	656.11	884.29	543.96	660.68	140.04	132.44	144.01	108.14	156.59	215.77	141.02	941.27	1286.18	808.0	1529.73	785.88	595.34	866.07	954.43	493.56
DDX10	389.72	202.66	341.51	397.93	860.08	660.68	463.65	397.93	571.05	460.44	329.84	450.94	412.0	406.31	620.67	441.64	285.03	206.94	264.03	309.83	208.38	214.27	267.73	409.15	165.57	201.25	242.88	262.2	301.33	205.5	285.03	267.73	314.17	314.17	293.07	183.82	314.17	334.46	441.64	182.55	457.25	603.67	273.37	559.28	518.15	616.37	371.22	373.81	403.5	629.35	392.44	525.39	102.97	220.32	167.9	115.97	99.43	239.52	178.77	460.44	633.73	346.29	819.3	297.17	361.04	587.13	493.56	334.46
DDX19A	457.25	291.04	403.5	567.1	748.61	587.13	543.96	684.02	669.92	559.28	397.93	466.88	591.22	525.39	669.92	708.18	470.14	438.59	371.22	417.77	253.23	371.22	473.41	575.03	277.2	460.44	397.93	444.72	426.57	450.94	493.56	412.0	371.22	518.15	400.71	271.48	473.41	409.15	616.37	295.11	656.11	748.61	384.34	703.28	629.35	642.59	521.76	540.19	629.35	616.37	476.71	591.22	264.03	351.14	414.87	309.83	353.59	305.55	228.13	616.37	688.78	532.74	753.83	559.28	473.41	579.04	341.51	444.72
DNAAF2	111.99	223.41	78.34	91.41	107.38	218.79	111.21	124.37	120.94	102.97	75.64	84.04	131.51	79.45	124.37	122.64	87.03	141.02	119.26	95.34	98.04	130.6	92.05	110.43	107.38	105.89	99.43	119.26	110.43	107.38	127.0	122.64	46.5	147.06	99.43	94.01	96.01	70.01	126.12	62.12	150.17	153.34	109.66	182.55	164.42	142.01	133.36	176.29	135.24	220.32	96.01	148.09	83.45	57.49	74.06	58.3	96.68	119.26	66.65	170.25	281.09	84.63	228.13	155.5	65.72	128.79	153.34	123.5
EBNA1BP2	1909.85	1427.22	1639.59	1757.34	3039.3	2816.11	1745.2	2720.15	2075.59	2178.83	1350.18	2090.03	3018.3	1819.35	2855.44	2335.28	1250.98	934.76	967.76	1073.91	947.83	1044.52	1199.98	2417.67	842.36	1183.45	866.07	1519.15	854.13	1081.39	1135.2	1175.27	902.89	1819.35	1225.22	974.5	1286.18	1096.5	2701.35	1268.46	1685.71	1844.76	1242.34	2178.83	1923.14	2335.28	1617.0	1733.13	1467.37	2573.36	1259.69	2148.82	521.76	638.15	486.75	497.0	603.67	842.36	525.39	2777.33	3874.05	2573.36	2758.13	1685.71	1551.09	1781.89	1697.45	1322.37
EIF3I	5672.41	4123.49	4095.0	3982.99	5479.15	4869.99	3190.46	5403.7	4181.07	4543.8	3690.52	4836.35	4239.45	3955.48	4972.34	4419.52	4239.45	3235.01	2720.15	3690.52	2255.7	3081.75	3419.52	4869.99	2537.92	3325.99	2835.7	3768.09	2875.3	3124.78	3742.05	3257.52	2976.74	4512.4	3168.41	1819.35	3614.55	3874.05	5633.22	2976.74	4869.99	5517.27	4575.41	6164.49	5633.22	5995.9	5255.91	5006.93	5292.48	6699.25	4095.0	5479.15	3103.19	2976.74	3190.46	3303.0	2303.12	3124.78	2319.15	6294.04	10368.08	7032.37	6887.62	5594.3	5292.48	5633.22	5954.47	3928.15
ELAC2	660.68	551.56	884.29	1757.34	1350.18	1183.45	995.0	1322.37	1001.93	974.5	884.29	915.51	1175.27	708.18	915.51	1508.65	1143.1	728.11	775.05	708.18	660.68	698.41	718.08	1167.14	587.13	934.76	607.87	928.3	748.61	928.3	902.89	928.3	703.28	1167.14	947.83	688.78	941.27	616.37	1015.93	555.41	941.27	1259.69	748.61	1216.75	1015.93	1096.5	866.07	981.29	1183.45	1135.2	764.36	1088.92	334.46	483.38	460.44	353.59	473.41	234.57	351.14	1457.23	878.17	1331.57	819.3	1175.27	941.27	854.13	808.0	785.88
EMG1	854.13	921.88	848.22	890.44	1037.29	1340.84	813.63	1594.73	1183.45	1498.22	723.08	1175.27	1322.37	1001.93	1477.58	947.83	624.99	599.49	684.02	698.41	543.96	723.08	514.56	928.3	441.64	633.73	633.73	974.5	579.04	624.99	595.34	967.76	490.14	1259.69	599.49	547.75	1001.93	753.83	1111.82	567.1	1073.91	1331.57	813.63	1313.23	1175.27	1233.75	974.5	791.35	1111.82	1044.52	836.53	1199.98	289.02	514.56	361.04	500.46	356.05	414.87	376.41	1857.6	2367.9	896.64	1467.37	1044.52	813.63	1427.22	540.19	866.07
FAM86A	176.29	185.11	153.34	234.57	339.14	295.11	171.45	343.89	279.14	215.77	172.65	211.31	279.14	208.38	351.14	277.2	221.86	146.03	177.53	167.9	131.51	134.3	126.12	309.83	52.08	181.28	158.79	185.11	127.0	175.07	211.31	137.14	94.67	291.04	231.32	137.14	208.38	127.0	209.84	162.14	255.0	358.54	145.02	381.68	277.2	204.07	209.84	204.07	283.05	303.44	185.11	277.2	103.69	90.77	68.07	43.63	90.77	84.04	78.89	279.14	343.89	148.09	351.14	237.86	212.78	265.87	241.19	166.73
FBL	8247.98	8022.41	5831.91	6207.38	7230.1	7331.05	6607.01	7485.11	8134.41	8421.31	4769.75	5076.84	11992.79	5366.37	8963.45	8022.41	6983.79	5479.15	4419.52	5751.61	3928.15	3639.7	5112.16	6250.56	4010.71	3928.15	4512.4	5183.54	3190.46	4736.79	4639.29	4210.15	4869.99	5751.61	5329.3	4210.15	4869.99	5831.91	8022.41	1769.57	8901.53	9409.14	7032.37	10883.59	10808.41	12160.22	7803.01	7589.61	10368.08	9606.86	5995.9	10883.59	2875.3	2627.46	4239.45	1857.6	1991.0	3212.66	1896.65	8247.98	17681.08	13776.25	12589.08	8134.41	7589.61	6294.04	12329.98	3982.99
GEMIN5	152.28	82.87	94.67	173.85	256.78	193.01	181.28	164.42	180.02	198.47	110.43	142.01	180.02	143.01	215.77	165.57	127.0	108.9	102.97	100.13	73.03	94.01	110.43	120.94	65.72	112.77	102.25	102.25	99.43	101.54	128.79	133.36	61.68	186.4	102.97	67.59	129.69	105.15	170.25	38.67	194.36	295.11	124.37	253.23	256.78	212.78	117.6	178.77	183.82	163.28	141.02	199.85	111.99	82.29	103.69	55.49	73.54	48.52	91.41	149.12	175.07	100.13	309.83	155.5	111.21	156.59	108.9	96.68
GPATCH4	780.44	269.6	872.1	629.35	703.28	1151.06	651.58	651.58	825.0	684.02	323.03	802.41	813.63	825.0	559.28	890.44	307.69	395.18	529.06	420.68	414.87	381.68	559.28	769.69	236.21	466.88	351.14	595.34	325.29	529.06	555.41	543.96	279.14	791.35	559.28	432.53	718.08	414.87	934.76	246.28	718.08	808.0	400.71	753.83	884.29	728.11	591.22	525.39	599.49	738.29	571.05	836.53	173.85	271.48	256.78	201.25	205.5	215.77	176.29	941.27	819.3	587.13	860.08	638.15	547.75	764.36	480.04	450.94
GRK6	529.06	607.87	551.56	748.61	660.68	769.69	579.04	902.89	575.03	934.76	532.74	860.08	866.07	607.87	748.61	603.67	647.07	490.14	567.1	466.88	316.37	323.03	540.19	381.68	297.17	567.1	387.02	373.81	301.33	476.71	339.14	363.56	447.82	842.36	591.22	463.65	543.96	878.17	656.11	356.05	669.92	764.36	567.1	796.86	674.59	988.12	764.36	633.73	698.41	633.73	417.77	718.08	265.87	571.05	291.04	728.11	470.14	348.71	221.86	1001.93	587.13	642.59	1508.65	454.09	872.1	432.53	603.67	361.04
GRWD1	764.36	316.37	323.03	620.67	738.29	555.41	669.92	775.05	791.35	693.58	301.33	674.59	679.29	521.76	599.49	718.08	466.88	423.61	384.34	336.79	316.37	363.56	454.09	429.54	277.2	373.81	329.84	444.72	218.79	417.77	444.72	432.53	170.25	616.37	438.59	260.38	529.06	187.71	825.0	212.78	559.28	785.88	429.54	813.63	866.07	830.75	624.99	651.58	638.15	769.69	435.55	679.29	189.02	239.52	246.28	205.5	251.48	212.78	155.5	848.22	728.11	540.19	1081.39	679.29	559.28	660.68	486.75	262.2
IPO4	660.68	457.25	444.72	780.44	909.17	791.35	444.72	1191.69	759.08	780.44	483.38	842.36	587.13	518.15	1001.93	967.76	688.78	429.54	575.03	450.94	269.6	414.87	647.07	896.64	273.37	457.25	395.18	583.07	327.56	543.96	532.74	470.14	346.29	718.08	583.07	435.55	620.67	473.41	842.36	218.79	909.17	1151.06	493.56	974.5	878.17	1119.56	802.41	688.78	909.17	1191.69	543.96	981.29	126.12	158.79	166.73	143.01	224.97	189.02	166.73	1008.9	733.19	759.08	1340.84	785.88	748.61	785.88	688.78	343.89
KARS	2303.12	2255.7	2148.82	2104.58	2796.65	2758.13	1709.26	2720.15	2682.69	2193.99	1923.14	2075.59	2855.44	2255.7	3190.46	2303.12	1781.89	1583.71	1605.83	1674.06	1167.14	1662.49	1857.6	2178.83	1467.37	1628.26	1551.09	1977.24	1594.73	1721.16	1794.29	1950.0	1417.35	2367.9	1583.71	967.76	1844.76	1977.24	2935.74	1617.0	2319.15	2796.65	2163.77	3303.0	2777.33	2609.3	2351.53	2400.97	2609.3	2591.27	2133.97	2777.33	1551.09	1167.14	1051.79	1350.18	1044.52	1313.23	1066.48	4038.61	3874.05	2875.3	3060.45	2720.15	2434.5	2777.33	2627.46	1477.58
KPNA2	1529.73	1073.91	1662.49	896.64	4298.64	4210.15	1519.15	2032.85	1242.34	2645.74	507.46	1350.18	1991.0	808.0	6294.04	1605.83	1015.93	830.75	450.94	769.69	483.38	603.67	718.08	1015.93	660.68	718.08	435.55	890.44	241.19	723.08	954.43	1059.11	624.99	2502.97	981.29	567.1	1066.48	769.69	3018.3	896.64	1583.71	1950.0	1066.48	2209.26	2061.24	1963.57	1378.57	1397.83	1437.15	1709.26	1369.04	2090.03	141.02	206.94	212.78	674.59	454.09	1001.93	463.65	1819.35	2664.15	1896.65	2400.97	1769.57	1733.13	1437.15	2178.83	785.88
LTV1	647.07	309.83	728.11	607.87	688.78	842.36	638.15	620.67	728.11	708.18	409.15	540.19	620.67	540.19	878.17	684.02	435.55	356.05	447.82	379.04	287.01	476.71	583.07	551.56	234.57	432.53	303.44	444.72	309.83	532.74	521.76	412.0	201.25	551.56	346.29	348.71	679.29	279.14	507.46	244.57	733.19	603.67	299.25	723.08	748.61	665.29	521.76	647.07	497.0	819.3	400.71	599.49	205.5	195.72	231.32	199.85	264.03	293.07	215.77	684.02	819.3	796.86	836.53	567.1	647.07	540.19	785.88	348.71
METTL1	638.15	518.15	334.46	595.34	559.28	836.53	679.29	1008.9	1096.5	551.56	212.78	780.44	872.1	543.96	642.59	620.67	371.22	255.0	450.94	289.02	325.29	329.84	423.61	406.31	187.71	314.17	403.5	473.41	371.22	366.09	426.57	389.72	202.66	583.07	348.71	414.87	483.38	305.55	693.58	246.28	753.83	961.07	361.04	909.17	988.12	866.07	543.96	638.15	698.41	941.27	417.77	836.53	111.21	241.19	229.72	176.29	180.02	237.86	154.42	647.07	808.0	457.25	728.11	463.65	497.0	470.14	339.14	275.28
MRPS35	947.83	884.29	1322.37	941.27	961.07	954.43	1151.06	934.76	1051.79	1268.46	728.11	1159.07	1051.79	921.88	1175.27	825.0	679.29	796.86	878.17	796.86	616.37	1135.2	988.12	769.69	791.35	848.22	638.15	909.17	591.22	915.51	830.75	1088.92	733.19	1167.14	708.18	441.64	934.76	718.08	890.44	460.44	1044.52	1225.22	842.36	1191.69	1088.92	1151.06	775.05	1030.12	1001.93	1175.27	854.13	1159.07	540.19	223.41	287.01	224.97	480.04	521.76	327.56	1477.58	2645.74	1191.69	1757.34	1369.04	1051.79	1191.69	1594.73	884.29
