	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
CHMP4B	0.0	0.84	2682.69	2573.36	3515.68	3589.58	3257.52	3372.43	3395.89	3540.14	2335.28	3190.46	3103.19	3146.52	2520.38	3325.99	2537.92	4066.71	2875.3	2502.97	3103.19	2400.97	3515.68	3103.19	1977.24	3716.2	2502.97	3395.89	2163.77	2935.74	3280.18	3349.13	2835.7	3325.99	3443.31	2956.17	2816.11	2976.74	3639.7	3235.01	2609.3	2351.53	3614.55	2976.74	3716.2	3928.15	3395.89	2148.82	3874.05	3103.19	2915.45	3419.52	2645.74	3146.52	3564.78	2209.26	3847.29	3419.52	3372.43	2520.38	3443.31	2555.58	2367.9	3190.46	3372.43	3212.66	3589.58	2796.65	3190.46	3325.99	2997.45	3395.89	3742.05	3639.7	3491.39	3419.52
CHRNB1	0.0	0.35	127.0	55.89	90.77	98.04	55.89	53.19	113.56	128.79	62.56	139.07	145.02	77.79	70.01	137.14	102.97	98.04	48.52	78.34	138.1	47.84	124.37	120.1	121.79	175.07	104.42	151.22	100.13	93.35	145.02	79.45	55.89	154.42	119.26	120.1	66.65	99.43	71.5	101.54	75.11	169.07	123.5	63.0	146.03	133.36	71.0	65.72	90.77	47.84	154.42	96.01	76.71	92.05	55.89	75.64	102.25	127.89	82.29	96.01	105.89	96.01	82.87	100.83	126.12	154.42	77.25	62.12	166.73	136.19	114.36	145.02	127.0	214.27	185.11	211.31
CNPPD1	0.0	0.25	1745.2	1950.0	2537.92	2209.26	1963.57	1721.16	2303.12	2271.4	1950.0	2047.0	2451.44	2163.77	1551.09	2047.0	2193.99	1950.0	1844.76	1857.6	1781.89	1721.16	2319.15	1781.89	1697.45	2367.9	1407.55	2148.82	1417.35	2047.0	1477.58	1963.57	1909.85	1295.13	1806.78	1870.53	1721.16	1896.65	1909.85	2451.44	1769.57	3212.66	2645.74	2018.8	2758.13	2193.99	1794.29	1896.65	1594.73	1950.0	1991.0	2335.28	2061.24	1923.14	2090.03	1991.0	2367.9	1857.6	2104.58	2335.28	2468.49	1844.76	1605.83	1733.13	2255.7	2434.5	2148.82	1769.57	2417.67	2417.67	1540.37	2468.49	2119.22	2335.28	2032.85	1733.13
CREB3	0.0	0.84	1594.73	1832.01	3325.99	1896.65	1870.53	1963.57	2537.92	2047.0	1806.78	2047.0	2075.59	2400.97	1477.58	2018.8	1277.29	2319.15	1583.71	1977.24	1697.45	921.88	1977.24	1923.14	1277.29	2573.36	2061.24	1551.09	1417.35	1745.2	1159.07	2255.7	1583.71	1340.84	1781.89	1936.53	2047.0	1561.89	1870.53	2956.17	1313.23	1313.23	2303.12	1572.76	1769.57	1781.89	1883.54	1225.22	1709.26	2573.36	2133.97	1806.78	1781.89	1437.15	1551.09	1295.13	2193.99	1819.35	2104.58	1936.53	2047.0	1709.26	1119.56	1709.26	2119.22	2400.97	2319.15	1519.15	2240.11	2468.49	1832.01	2384.37	2163.77	2271.4	1883.54	1909.85
CTD-2210P24.4	0.0	0.04	10.24	5.77	15.56	17.25	2.43	3.79	6.41	14.03	10.96	13.22	14.45	10.63	8.0	14.56	8.92	12.55	3.03	10.47	7.28	8.32	22.1	13.42	1.22	15.68	11.73	8.19	1.55	6.52	15.8	13.62	13.42	12.0	6.06	6.84	5.45	5.23	8.51	11.91	5.96	14.56	15.56	12.93	9.63	16.75	9.85	7.11	2.27	6.46	5.73	9.13	4.43	2.84	6.01	3.69	10.79	13.12	8.13	11.47	7.94	8.19	8.06	2.81	14.35	18.43	19.11	3.38	11.82	11.21	16.15	15.91	12.27	19.97	28.86	17.9
DAGLB	0.0	0.57	220.32	212.78	358.54	253.23	248.0	271.48	309.83	301.33	246.28	295.11	327.56	291.04	251.48	248.0	262.2	312.0	157.68	279.14	285.03	265.87	329.84	325.29	260.38	351.14	224.97	295.11	214.27	287.01	267.73	264.03	205.5	221.86	255.0	237.86	209.84	285.03	363.56	264.03	228.13	285.03	289.02	273.37	309.83	195.72	262.2	209.84	293.07	267.73	273.37	343.89	314.17	232.94	194.36	264.03	353.59	307.69	293.07	271.48	336.79	256.78	189.02	209.84	283.05	351.14	309.83	241.19	314.17	267.73	351.14	341.51	309.83	392.44	265.87	258.57
DEF6	0.0	0.42	547.75	511.0	728.11	361.04	129.69	215.77	830.75	723.08	500.46	941.27	511.0	713.11	190.34	1001.93	363.56	642.59	733.19	595.34	540.19	218.79	620.67	470.14	599.49	583.07	339.14	733.19	246.28	318.57	848.22	521.76	341.51	563.18	420.68	555.41	301.33	463.65	591.22	791.35	368.65	612.11	633.73	80.57	480.04	376.41	753.83	373.81	366.09	329.84	575.03	759.08	221.86	351.14	62.12	332.14	934.76	536.45	607.87	688.78	775.05	547.75	470.14	236.21	713.11	764.36	1051.79	583.07	698.41	1044.52	1143.1	521.76	525.39	660.68	583.07	507.46
DEXI	0.0	0.71	825.0	854.13	1304.15	961.07	718.08	718.08	1340.84	1143.1	785.88	1023.0	1088.92	1015.93	612.11	1066.48	728.11	1191.69	934.76	813.63	780.44	693.58	1359.57	1127.35	842.36	1487.87	693.58	796.86	616.37	1066.48	775.05	1104.13	836.53	836.53	928.3	947.83	830.75	941.27	1322.37	896.64	713.11	1378.57	1322.37	769.69	1167.14	1015.93	1051.79	620.67	954.43	928.3	961.07	1030.12	764.36	759.08	665.29	723.08	1143.1	995.0	1081.39	974.5	1225.22	921.88	738.29	915.51	1096.5	1250.98	1286.18	854.13	1044.52	1001.93	1073.91	1388.16	1051.79	1216.75	1023.0	1081.39
DNAJB2	0.0	0.6	2061.24	2384.37	3395.89	3146.52	1950.0	2855.44	3395.89	2875.3	2591.27	3168.41	3039.3	2591.27	2148.82	2796.65	2224.63	2935.74	2240.11	2303.12	2417.67	1832.01	2997.45	3257.52	2075.59	3349.13	2148.82	2573.36	1685.71	2240.11	1923.14	2816.11	2997.45	1857.6	2434.5	2384.37	2178.83	2255.7	3168.41	3639.7	1733.13	3325.99	3515.68	2573.36	3820.7	3540.14	2895.31	1909.85	2287.2	2777.33	2434.5	3060.45	2468.49	2485.67	2915.45	1857.6	3395.89	2816.11	3018.3	2664.15	3443.31	2287.2	1529.73	2956.17	3168.41	3467.27	3039.3	2645.74	3212.66	3639.7	3103.19	3190.46	2875.3	2997.45	2627.46	2400.97
ENHO	0.0	0.0	61.25	127.89	73.54	198.47	22.59	46.84	204.07	559.28	90.77	183.82	303.44	128.79	50.98	241.19	96.01	92.05	39.22	108.9	53.95	25.72	332.14	21.01	154.42	255.0	21.16	201.25	19.97	59.55	52.08	39.5	27.44	26.86	118.43	64.8	143.01	215.77	132.44	208.38	73.54	99.43	358.54	18.84	256.78	237.86	94.01	71.5	120.94	90.77	295.11	105.15	64.34	52.82	309.83	132.44	450.94	325.29	126.12	127.0	162.14	35.76	76.71	15.0	226.54	343.89	242.88	68.55	423.61	273.37	169.07	420.68	450.94	262.2	281.09	271.48
FAM131C	0.0	0.34	0.0	0.77	5.92	1.91	0.75	1.1	2.73	3.72	1.08	4.28	1.51	0.0	0.84	1.58	3.08	3.69	0.0	0.45	2.27	0.44	1.19	4.39	1.23	3.26	0.42	1.95	1.19	1.53	1.53	1.13	1.87	1.17	5.41	0.44	2.41	0.83	1.14	1.91	0.45	5.87	3.53	0.8	2.32	3.76	2.29	0.0	0.82	0.0	1.6	1.91	1.17	0.42	0.0	0.44	2.27	2.73	1.5	0.8	3.35	1.87	0.46	1.46	1.95	0.0	2.61	1.57	3.53	3.35	4.35	1.6	4.21	4.03	2.29	3.86
FBF1	0.0	0.6	107.38	108.9	186.4	111.99	111.21	98.04	197.09	248.0	128.79	320.8	171.45	146.03	73.54	172.65	127.0	194.36	158.79	181.28	128.79	141.02	186.4	148.09	190.34	166.73	234.57	177.53	113.56	63.89	244.57	185.11	190.34	75.11	110.43	133.36	45.21	118.43	85.22	236.21	119.26	171.45	197.09	111.99	194.36	167.9	145.02	105.89	94.67	134.3	140.04	165.57	94.67	162.14	111.21	103.69	291.04	205.5	221.86	137.14	218.79	121.79	103.69	95.34	178.77	271.48	149.12	161.02	221.86	332.14	420.68	253.23	123.5	120.94	190.34	129.69
FCGRT	0.0	0.95	1407.55	1605.83	1242.34	1977.24	928.3	466.88	2682.69	3280.18	532.74	2271.4	2701.35	1733.13	1651.0	1909.85	1167.14	2163.77	1572.76	2133.97	1417.35	1508.65	2319.15	2303.12	1781.89	2701.35	785.88	1662.49	961.07	1359.57	2133.97	1407.55	808.0	1199.98	1794.29	1059.11	1662.49	1781.89	2520.38	1781.89	1259.69	4836.35	2384.37	1143.1	2047.0	2835.7	1208.34	1015.93	1350.18	1088.92	1662.49	866.07	1199.98	1437.15	532.74	974.5	2502.97	1794.29	1832.01	1963.57	1662.49	1286.18	1594.73	1119.56	1794.29	2502.97	1519.15	1769.57	3018.3	2319.15	3124.78	2895.31	2148.82	2997.45	2701.35	3491.39
FDXR	251.48	1037.29	195.72	199.85	246.28	226.54	111.99	242.88	277.2	295.11	231.32	320.8	172.65	198.47	107.38	248.0	189.02	224.97	142.01	223.41	255.0	115.16	363.56	198.47	198.47	244.57	81.14	325.29	68.07	173.85	295.11	215.77	162.14	190.34	301.33	273.37	125.24	246.28	171.45	249.73	153.34	232.94	283.05	180.02	309.83	275.28	299.25	119.26	389.72	162.14	289.02	297.17	211.31	214.27	224.97	108.9	353.59	358.54	265.87	215.77	305.55	142.01	157.68	186.4	224.97	327.56	379.04	237.86	314.17	260.38	323.03	236.21	251.48	299.25	226.54	253.23
FKBP8	5872.48	3564.78	4704.07	5913.33	7803.01	7180.15	5954.47	4328.55	10225.32	7966.99	6121.9	8134.41	8078.22	7032.37	3690.52	6652.97	4671.57	8305.36	5403.7	5329.3	6935.54	4575.41	9740.98	7331.05	4903.87	9876.98	5791.62	8247.98	3235.01	6745.86	4152.18	6887.62	4937.99	5913.33	6840.04	6652.97	4512.4	5329.3	9025.81	7433.4	3928.15	12676.65	10225.32	5913.33	6207.38	7803.01	6983.79	4358.66	5183.54	6792.79	7642.41	8247.98	4639.29	6607.01	5711.87	3257.52	9279.58	6792.79	7382.04	7230.1	8538.88	5872.48	4239.45	6471.02	7485.11	9808.75	6840.04	6164.49	8363.13	8078.22	8191.0	9151.82	7382.04	8305.36	6561.36	6745.86
FLNB	0.0	0.53	4123.49	4328.55	5479.15	5517.27	2935.74	3372.43	4298.64	6471.02	2485.67	4512.4	4836.35	4152.18	3060.45	4802.93	4543.8	6337.83	3325.99	5112.16	5112.16	4512.4	4903.87	6337.83	5555.65	5479.15	4937.99	6294.04	2537.92	5292.48	3742.05	4575.41	5913.33	2835.7	5555.65	4095.0	3168.41	4736.79	4512.4	7032.37	4388.98	6516.03	6121.9	4010.71	5995.9	4481.23	4066.71	4450.27	4210.15	1745.2	5594.3	5594.3	6607.01	4543.8	4181.07	4802.93	6037.61	5441.3	6607.01	4481.23	5112.16	4152.18	4123.49	6381.92	5076.84	6164.49	5329.3	4419.52	5594.3	6426.31	4123.49	4903.87	5791.62	5995.9	4869.99	4210.15
FLYWCH1	0.0	0.64	423.61	395.18	743.43	529.06	381.68	447.82	848.22	698.41	698.41	934.76	571.05	878.17	283.05	684.02	441.64	629.35	642.59	703.28	532.74	358.54	660.68	595.34	466.88	860.08	547.75	629.35	454.09	503.95	384.34	591.22	612.11	559.28	555.41	521.76	327.56	473.41	748.61	896.64	397.93	718.08	791.35	525.39	660.68	698.41	866.07	332.14	603.67	638.15	583.07	693.58	470.14	507.46	429.54	299.25	802.41	595.34	764.36	759.08	540.19	607.87	379.04	389.72	1023.0	1135.2	743.43	728.11	753.83	642.59	1561.89	759.08	571.05	521.76	728.11	529.06
GAS2L1	0.0	0.47	307.69	325.29	409.15	381.68	255.0	353.59	595.34	674.59	356.05	674.59	420.68	387.02	275.28	540.19	417.77	476.71	414.87	518.15	346.29	356.05	718.08	713.11	334.46	665.29	392.44	759.08	159.9	363.56	412.0	559.28	351.14	356.05	547.75	316.37	224.97	406.31	775.05	808.0	314.17	842.36	708.18	301.33	603.67	624.99	285.03	273.37	392.44	470.14	476.71	500.46	267.73	379.04	381.68	241.19	713.11	769.69	733.19	397.93	647.07	251.48	329.84	325.29	457.25	599.49	507.46	409.15	633.73	511.0	703.28	595.34	559.28	397.93	389.72	417.77
