	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.11WQC.0726.SM.5EQMR	GTEX.NFK9.2226.SM.3MJGP	TCGA.EM.A3FR.01A.11R.A220.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.EL.A3CY.01A.11R.A19O.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.EL.A3ZL.11A.11R.A23N.07	TCGA.FY.A3TY.11A.12R.A22U.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EL.A3T2.11A.11R.A22L.07	TCGA.BJ.A2N7.11A.11R.A18C.07	GTEX.S7SF.0226.SM.5SI7H	GTEX.WOFL.0726.SM.3MJG4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.YB5K.0526.SM.5LUAS	GTEX.XUJ4.0726.SM.4BOOP	GTEX.13OVI.0826.SM.5KLZ8
BEND6	9.34	0.93	1.14	0.0	0.0	2.32	1.38	0.61	0.65	5.73	10.31	0.99	2.48	0.0	0.29	0.0	4.98	1.07	0.0	0.3	20.71	0.0	0.0	0.35	1.38	4.24	0.0	0.35	0.0	14.89	1.45	0.0	6.62	0.84	7.17	0.0	2.63	0.96	0.0	0.91	5.63	0.97	4.43	0.3	0.0	0.36	0.32	3.0	0.0	40.07	2.2	21.63	25.54	39.22	28.45	31.22	15.34	28.24	15.34	15.91	24.28	24.46	13.62	27.05	19.39	18.7	15.91	17.0	96.01	20.11	20.11	55.49	28.04	14.56	2.2
BFSP1	9.78	8.51	3.44	3.72	4.5	19.53	10.16	5.73	9.48	11.47	9.41	7.57	17.9	7.11	4.06	4.43	2.86	4.35	3.14	4.82	26.67	3.82	2.34	8.85	3.86	6.62	14.89	7.46	9.7	17.38	9.85	5.41	3.23	12.74	6.84	4.94	10.16	5.96	5.41	1.99	11.13	6.01	15.91	4.17	1.77	3.99	9.7	2.03	12.83	35.76	205.5	45.85	53.19	27.05	46.18	71.0	61.68	76.71	62.56	55.49	85.82	79.45	43.32	71.0	78.89	95.34	102.97	80.57	55.49	48.52	98.73	74.58	91.41	77.79	50.27
BTNL9	115.97	193.01	51.35	154.42	19.11	115.16	81.71	56.28	115.97	223.41	98.73	31.67	273.37	117.6	54.72	43.32	32.13	217.27	146.03	161.02	995.0	27.64	49.21	6.84	15.0	87.65	66.18	111.21	111.99	299.25	120.1	148.09	209.84	239.52	540.19	212.78	56.28	162.14	57.89	54.72	389.72	236.21	93.35	27.05	34.02	201.25	96.68	171.45	127.0	175.07	457.25	698.41	231.32	579.04	323.03	295.11	397.93	503.95	195.72	412.0	341.51	291.04	358.54	339.14	205.5	753.83	281.09	540.19	432.53	248.0	303.44	118.43	299.25	381.68	1030.12
C10orf112	0.0	0.0	0.67	0.62	0.0	5.06	0.0	2.51	0.0	2.81	6.01	0.0	0.0	5.5	0.96	0.0	0.0	0.0	2.23	0.6	28.86	8.32	3.86	0.0	2.36	0.0	0.55	0.25	0.0	1.06	7.75	0.68	0.79	0.0	5.96	0.62	1.66	8.13	0.0	0.62	0.57	4.86	2.58	2.92	0.0	0.0	3.0	0.64	0.0	10.71	36.27	10.55	10.16	25.35	7.17	8.32	9.27	14.14	16.51	3.47	10.79	24.11	9.27	14.78	4.58	13.12	30.12	16.88	40.64	11.64	4.1	7.57	8.32	25.35	3.47
C14orf119	842.36	769.69	518.15	500.46	473.41	764.36	738.29	651.58	563.18	884.29	1008.9	490.14	679.29	591.22	503.95	599.49	753.83	703.28	775.05	575.03	1277.29	450.94	808.0	587.13	376.41	947.83	1008.9	507.46	785.88	813.63	830.75	591.22	693.58	521.76	995.0	417.77	802.41	796.86	708.18	769.69	748.61	669.92	1073.91	490.14	525.39	713.11	802.41	642.59	563.18	884.29	2004.85	1427.22	1208.34	1487.87	1250.98	1304.15	1119.56	1167.14	1088.92	1135.2	1369.04	1208.34	1437.15	1135.2	1259.69	1199.98	1286.18	1225.22	1295.13	1378.57	1437.15	1331.57	1457.23	1183.45	1081.39
C16orf93	52.45	14.45	17.64	8.06	31.67	19.11	16.39	22.92	17.51	18.7	20.41	26.67	11.47	2.43	3.92	22.75	11.3	6.84	27.25	26.67	169.07	10.71	10.88	20.56	25.91	39.79	25.91	4.86	14.89	26.47	52.45	8.0	13.83	58.71	26.28	6.31	42.71	30.56	16.63	105.15	31.9	14.78	14.14	5.06	11.82	25.35	36.27	13.03	15.45	258.57	503.95	341.51	251.48	218.79	253.23	185.11	373.81	397.93	264.03	392.44	244.57	204.07	307.69	265.87	260.38	256.78	206.94	318.57	507.46	264.03	309.83	262.2	170.25	182.55	583.07
C2orf76	287.01	144.01	113.56	93.35	129.69	194.36	110.43	116.78	232.94	217.27	163.28	123.5	161.02	166.73	135.24	136.19	152.28	70.51	195.72	172.65	366.09	212.78	133.36	100.83	170.25	173.85	146.03	71.5	127.89	134.3	205.5	111.21	141.02	123.5	209.84	92.05	221.86	152.28	126.12	199.85	232.94	177.53	183.82	131.51	87.65	114.36	228.13	133.36	153.34	642.59	466.88	320.8	366.09	271.48	301.33	348.71	412.0	441.64	426.57	432.53	376.41	384.34	379.04	397.93	420.68	339.14	532.74	376.41	400.71	511.0	521.76	361.04	463.65	323.03	231.32
C5orf45	438.59	503.95	273.37	242.88	376.41	387.02	269.6	351.14	314.17	406.31	195.72	180.02	281.09	143.01	417.77	339.14	156.59	155.5	361.04	305.55	830.75	183.82	241.19	144.01	476.71	307.69	490.14	305.55	264.03	215.77	563.18	332.14	170.25	463.65	583.07	128.79	395.18	237.86	231.32	647.07	353.59	107.38	579.04	283.05	239.52	202.66	376.41	305.55	409.15	620.67	1551.09	1037.29	1059.11	854.13	825.0	1008.9	1286.18	1487.87	1151.06	1208.34	1127.35	995.0	921.88	1151.06	967.76	1175.27	1096.5	1151.06	1119.56	995.0	967.76	1674.06	1277.29	802.41	1674.06
CACNA1I	2.89	0.0	0.0	0.0	0.0	0.91	1.03	0.68	0.0	0.67	35.0	0.0	77.79	4.24	0.52	0.6	0.02	0.04	0.58	3.96	13.52	0.0	0.04	0.0	1.1	0.53	1.08	2.34	0.04	5.45	1.17	0.66	8.71	0.0	1.64	3.06	1.85	1.41	0.01	0.0	0.0	0.65	0.0	0.0	1.66	1.45	0.0	8.13	0.0	0.75	7.17	87.65	50.63	42.11	95.34	63.45	167.9	110.43	129.69	103.69	127.89	42.71	65.72	139.07	88.26	121.79	147.06	39.79	231.32	20.71	10.96	143.01	123.5	140.04	51.71
CAMKK1	31.22	12.36	11.55	21.16	1.36	21.16	7.69	11.3	13.12	57.49	26.86	10.08	29.06	8.51	7.34	15.56	11.55	12.55	21.47	13.22	68.55	9.06	9.2	9.34	8.65	26.28	17.25	7.94	10.79	13.62	18.84	7.57	22.75	13.22	53.95	12.55	175.07	4.21	13.32	12.74	28.86	8.92	29.27	6.26	1.73	12.64	16.75	8.99	11.47	102.25	215.77	307.69	151.22	147.06	183.82	127.89	146.03	255.0	206.94	111.99	267.73	336.79	144.01	181.28	229.72	224.97	209.84	201.25	171.45	161.02	147.06	205.5	145.02	104.42	253.23
CASP12	4.21	9.48	0.0	0.69	0.0	4.21	1.14	2.07	0.79	2.73	0.99	2.12	1.51	3.17	1.03	2.01	0.0	1.91	6.11	0.0	29.48	4.31	0.0	0.0	3.63	2.18	2.58	0.0	3.5	1.11	1.31	0.0	2.73	3.76	3.41	0.0	7.06	1.14	1.81	2.56	0.0	0.0	1.07	0.75	0.92	0.0	2.53	0.0	5.59	7.06	28.86	22.59	37.32	16.27	20.71	29.06	23.42	30.12	26.28	38.4	19.11	19.53	20.56	13.03	21.16	32.59	41.81	45.53	23.08	19.11	39.5	90.77	27.44	33.78	86.43
CBLB	293.07	94.01	82.87	140.04	38.12	140.04	131.51	156.59	124.37	156.59	201.25	107.38	150.17	98.04	108.9	87.03	86.43	78.89	85.22	54.33	457.25	52.82	87.03	264.03	94.01	124.37	84.63	88.88	81.71	92.05	155.5	84.04	85.22	111.99	343.89	81.14	279.14	145.02	144.01	157.68	175.07	53.19	177.53	104.42	167.9	172.65	105.15	86.43	105.89	148.09	234.57	303.44	329.84	612.11	583.07	389.72	521.76	532.74	348.71	500.46	346.29	339.14	514.56	409.15	356.05	325.29	299.25	540.19	595.34	384.34	358.54	409.15	603.67	454.09	480.04
CBLN1	7.06	45.21	0.0	6.52	5.19	22.43	4.86	1.58	13.72	78.34	100.83	43.63	3.14	5.5	1.77	7.51	12.93	5.87	0.06	19.53	381.68	12.18	10.71	1.73	18.43	4.98	5.82	2.16	0.0	14.14	16.27	10.47	39.79	0.0	81.71	14.14	12.0	2.51	1.43	22.59	21.01	19.11	14.78	11.3	7.82	18.43	6.21	7.57	36.27	8.32	281.09	500.46	48.87	384.34	23.08	55.49	44.89	42.11	34.02	24.46	62.56	32.13	26.67	31.0	31.22	39.22	52.45	320.8	392.44	264.03	4.35	55.1	27.25	262.2	56.68
CCM2L	59.97	57.08	29.7	15.0	9.27	53.57	31.22	18.84	21.16	66.18	46.84	36.01	58.71	30.78	30.56	40.36	26.1	34.26	54.72	43.94	186.4	24.28	35.25	13.72	44.89	53.19	63.45	24.63	23.93	38.12	63.89	26.47	29.27	36.53	65.26	27.05	40.07	16.15	35.5	29.27	56.28	36.01	78.34	25.54	10.08	34.26	45.53	30.34	57.49	144.01	175.07	248.0	140.04	232.94	99.43	143.01	80.01	148.09	87.03	173.85	163.28	115.16	135.24	96.01	136.19	128.79	134.3	137.14	169.07	80.01	133.36	220.32	148.09	128.79	133.36
CCNB1IP1	808.0	764.36	624.99	536.45	872.1	974.5	813.63	406.31	842.36	1208.34	381.68	314.17	466.88	397.93	1199.98	842.36	708.18	629.35	1498.22	753.83	2664.15	323.03	974.5	142.01	884.29	457.25	473.41	395.18	1111.82	346.29	928.3	379.04	511.0	764.36	1457.23	490.14	775.05	1417.35	819.3	688.78	1242.34	571.05	1051.79	384.34	915.51	733.19	902.89	358.54	1350.18	1225.22	1909.85	1023.0	1208.34	693.58	981.29	1304.15	1857.6	1322.37	1467.37	1304.15	1369.04	1407.55	1096.5	1388.16	1159.07	1950.0	1191.69	1794.29	1183.45	1127.35	1397.83	1259.69	2104.58	1059.11	2133.97
CCR10	8.78	2.89	3.56	3.92	5.45	26.67	4.03	4.31	7.28	13.83	2.92	2.58	1.38	7.69	3.06	10.08	2.03	4.54	13.52	5.02	43.02	1.55	3.47	5.15	4.62	16.39	14.56	2.86	8.99	2.46	5.15	2.89	1.95	1.1	18.7	4.17	14.89	4.78	3.26	19.11	7.22	1.31	24.99	6.89	2.53	2.89	5.45	3.69	12.45	13.93	30.78	105.15	54.33	39.5	15.0	22.26	10.55	20.56	21.16	53.95	21.63	22.75	32.13	15.91	28.86	11.91	19.53	22.59	20.26	26.47	16.15	16.51	49.21	28.86	38.67
CDH24	26.47	17.9	5.32	5.59	2.92	18.84	6.67	4.03	5.02	34.26	14.45	9.93	13.22	3.79	2.07	3.5	3.66	3.53	9.13	16.39	49.21	0.19	7.4	0.83	9.7	10.31	22.26	3.99	10.31	11.55	11.55	7.17	6.06	4.82	6.16	3.38	23.59	3.66	4.62	10.63	35.0	4.78	30.12	2.58	0.0	8.58	15.45	9.34	12.64	37.32	63.0	325.29	94.67	336.79	110.43	83.45	68.07	136.19	64.8	155.5	83.45	65.72	92.05	76.17	76.17	111.21	98.04	110.43	208.38	67.59	111.21	150.17	111.99	129.69	120.1
CHD3	197.09	295.11	85.22	74.06	55.1	201.25	44.25	122.64	82.87	532.74	466.88	102.25	363.56	47.17	86.43	115.16	47.5	91.41	107.38	154.42	2032.85	22.92	120.94	22.26	223.41	297.17	161.02	101.54	118.43	224.97	144.01	43.32	100.13	24.28	318.57	34.75	693.58	40.64	41.22	248.0	271.48	61.25	669.92	38.12	16.27	138.1	214.27	144.01	490.14	2224.63	1467.37	1639.59	1594.73	1769.57	2032.85	2018.8	1628.26	2384.37	1870.53	1857.6	1977.24	1697.45	1896.65	2018.8	1662.49	1519.15	1697.45	1498.22	1883.54	1295.13	1340.84	3467.27	1551.09	2133.97	2075.59
CHMP3	988.12	738.29	595.34	514.56	438.59	909.17	518.15	684.02	647.07	1183.45	1407.55	674.59	934.76	796.86	503.95	591.22	819.3	941.27	708.18	961.07	1950.0	651.58	651.58	764.36	403.5	1268.46	1104.13	620.67	483.38	1359.57	447.82	890.44	819.3	460.44	1023.0	1081.39	866.07	521.76	579.04	361.04	1008.9	708.18	1259.69	595.34	567.1	718.08	493.56	854.13	775.05	4239.45	2319.15	2004.85	2090.03	2018.8	2240.11	2271.4	2004.85	2119.22	2303.12	1628.26	2384.37	2502.97	2193.99	2163.77	2018.8	2537.92	2119.22	2119.22	2061.24	2591.27	2018.8	2018.8	2090.03	2384.37	1745.2
CHST10	52.08	16.88	23.42	10.31	8.45	20.26	14.45	24.99	16.51	91.41	52.08	8.71	15.34	23.76	5.73	22.43	112.77	5.82	41.22	14.14	159.9	11.04	8.0	3.32	2.46	9.78	16.39	5.73	78.89	44.25	12.64	1.17	15.0	42.11	33.78	3.96	82.87	8.32	6.52	13.12	13.93	48.52	23.76	9.27	1.46	13.62	8.25	12.74	28.86	215.77	293.07	251.48	205.5	163.28	175.07	194.36	244.57	237.86	234.57	205.5	246.28	253.23	181.28	325.29	194.36	271.48	224.97	214.27	201.25	211.31	212.78	256.78	211.31	220.32	142.01
CHST12	208.38	94.01	102.25	83.45	58.3	178.77	96.01	104.42	129.69	297.17	111.99	228.13	144.01	201.25	130.6	96.01	43.94	76.71	155.5	85.22	392.44	88.26	152.28	66.18	167.9	212.78	134.3	59.13	125.24	81.14	135.24	95.34	118.43	89.51	131.51	87.03	429.54	101.54	139.07	119.26	131.51	42.41	151.22	105.15	68.07	116.78	125.24	95.34	113.56	195.72	480.04	525.39	389.72	348.71	271.48	384.34	249.73	249.73	312.0	511.0	346.29	283.05	441.64	273.37	389.72	256.78	271.48	351.14	214.27	318.57	420.68	473.41	395.18	348.71	271.48
CNKSR1	11.21	63.89	9.93	24.81	5.19	27.44	8.32	58.3	28.65	21.47	802.41	9.63	149.12	12.74	16.51	17.25	1.0	6.52	2.01	20.56	368.65	0.28	1.6	56.28	43.02	215.77	775.05	38.4	42.71	36.79	57.08	10.24	12.36	12.09	56.28	6.62	96.01	314.17	3.82	23.59	14.14	9.06	115.16	31.45	1.36	23.42	20.56	341.51	36.79	420.68	878.17	638.15	638.15	460.44	470.14	591.22	866.07	967.76	599.49	579.04	753.83	642.59	591.22	642.59	674.59	698.41	599.49	698.41	441.64	633.73	802.41	651.58	647.07	753.83	775.05
CPNE1	2335.28	2163.77	1250.98	947.83	1350.18	2434.5	1331.57	1477.58	1498.22	2047.0	872.1	1242.34	1104.13	753.83	1437.15	1561.89	1143.1	629.35	1519.15	1066.48	2835.7	656.11	995.0	1745.2	2287.2	1498.22	1268.46	753.83	1417.35	819.3	1757.34	1135.2	638.15	1594.73	2816.11	791.35	1709.26	1508.65	1757.34	2777.33	2303.12	540.19	2193.99	1331.57	785.88	878.17	1950.0	909.17	1745.2	2855.44	3081.75	4736.79	3847.29	4268.94	2895.31	3467.27	3742.05	3820.7	3212.66	3665.02	2287.2	3280.18	3955.48	3928.15	3928.15	4152.18	3419.52	2758.13	3716.2	1870.53	3665.02	3820.7	3820.7	3491.39	3928.15
