	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.QXCU.0626.SM.2TC69	GTEX.RM2N.0426.SM.2TF4T	TCGA.92.7340.11A.01R.2045.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07
C21orf33	1001.93	0.0	0.52	947.83	1819.35	1268.46	2591.27	2855.44	3742.05	3443.31	2935.74	2240.11	2875.3	2682.69	4903.87	4298.64	3443.31	2240.11	3103.19	2609.3	2384.37	3081.75	961.07	2758.13	2255.7	2875.3	2796.65	2133.97	2520.38	2417.67	2720.15	3018.3	2032.85	2417.67	3742.05	2976.74	1628.26	2555.58	2591.27	1519.15	2303.12	1936.53	1662.49	3564.78	3982.99	2451.44	4066.71	2555.58	2319.15	2777.33	2417.67	2434.5	3303.0	2645.74	2287.2
CARS2	423.61	0.0	0.71	412.0	921.88	819.3	1008.9	928.3	1870.53	1051.79	1639.59	1111.82	1437.15	967.76	2047.0	2224.63	947.83	1096.5	1594.73	698.41	1304.15	1407.55	1111.82	1286.18	1250.98	1259.69	890.44	688.78	1037.29	1745.2	995.0	1594.73	1378.57	1143.1	2163.77	967.76	1127.35	753.83	1498.22	764.36	1225.22	848.22	934.76	1572.76	1709.26	995.0	1769.57	848.22	995.0	1225.22	988.12	1096.5	1216.75	1529.73	1015.93
CCDC57	275.28	432.53	169.07	1183.45	961.07	674.59	2047.0	2133.97	2645.74	2720.15	4607.24	2255.7	2485.67	1923.14	5831.91	3372.43	1529.73	2004.85	2855.44	2061.24	2739.08	2935.74	2835.7	2777.33	2573.36	2255.7	1447.15	1745.2	1950.0	2682.69	1870.53	1073.91	2537.92	1950.0	3716.2	3060.45	1322.37	2485.67	2645.74	1697.45	2777.33	1191.69	1096.5	2777.33	2502.97	1950.0	3639.7	2119.22	1936.53	1832.01	1977.24	2367.9	3168.41	2287.2	1331.57
CD320	293.07	0.0	0.51	373.81	389.72	500.46	1529.73	2255.7	2976.74	2835.7	3103.19	2520.38	2682.69	2224.63	5517.27	3467.27	2816.11	1191.69	3794.3	1427.22	1551.09	2303.12	961.07	3349.13	1583.71	2004.85	1923.14	2555.58	1991.0	5112.16	4010.71	1628.26	1540.37	1883.54	3901.01	2956.17	759.08	3716.2	3081.75	813.63	934.76	1397.83	1313.23	3372.43	2915.45	2133.97	3103.19	2178.83	2739.08	791.35	2004.85	1909.85	2047.0	2835.7	1757.34
CHCHD10	1832.01	0.0	0.6	647.07	1437.15	1088.92	1870.53	1794.29	5076.84	3081.75	2573.36	3564.78	2485.67	3564.78	12853.63	4903.87	6426.31	2240.11	1950.0	3874.05	1143.1	2367.9	947.83	3716.2	1819.35	3639.7	3395.89	2816.11	2119.22	6079.61	1883.54	4419.52	2417.67	2018.8	4066.71	2777.33	1199.98	3303.0	1769.57	1104.13	995.0	1769.57	1508.65	2956.17	3955.48	2502.97	7331.05	1733.13	3212.66	1583.71	1781.89	2997.45	5633.22	4802.93	2287.2
CHID1	1331.57	0.0	0.53	967.76	1008.9	1143.1	2591.27	3124.78	4869.99	3443.31	3690.52	3372.43	3280.18	3443.31	4152.18	3589.58	3325.99	2720.15	3589.58	3235.01	2956.17	3491.39	2090.03	3665.02	3443.31	3540.14	3515.68	3190.46	2875.3	4210.15	2720.15	5913.33	3124.78	3018.3	4736.79	3168.41	2875.3	3716.2	3081.75	2209.26	1819.35	2240.11	2148.82	3742.05	4543.8	2835.7	4358.66	2502.97	3018.3	2701.35	2739.08	3901.01	2855.44	3419.52	2682.69
COMMD6	4298.64	3303.0	1685.71	2384.37	2739.08	4038.61	3018.3	3540.14	3146.52	3168.41	5255.91	4802.93	4836.35	5403.7	8022.41	7130.55	5441.3	3847.29	6207.38	3794.3	3955.48	5076.84	3665.02	4607.24	4010.71	4836.35	3349.13	5076.84	4607.24	6337.83	4181.07	5366.37	4972.34	3190.46	7180.15	5219.6	2835.7	2591.27	4575.41	2468.49	4607.24	4671.57	3372.43	4481.23	5479.15	4038.61	6250.56	2895.31	2468.49	5329.3	3901.01	2485.67	4358.66	5995.9	3955.48
COQ6	327.56	0.0	0.14	251.48	463.65	414.87	595.34	638.15	1001.93	775.05	665.29	529.06	536.45	825.0	1295.13	896.64	1015.93	791.35	599.49	733.19	603.67	651.58	698.41	769.69	612.11	775.05	612.11	638.15	669.92	1001.93	583.07	915.51	830.75	988.12	796.86	890.44	718.08	769.69	547.75	638.15	669.92	529.06	514.56	785.88	1143.1	563.18	928.3	647.07	728.11	660.68	660.68	713.11	947.83	591.22	607.87
COX7C	12943.04	0.0	1.23	5872.48	7280.4	11189.6	10585.95	15392.14	29943.43	22380.2	22535.88	22692.63	21172.91	24832.5	32540.65	30361.44	28132.47	13399.51	26067.14	19892.37	17681.08	27174.14	13586.57	19754.96	16383.0	23820.89	18689.27	22535.88	17927.91	31215.04	17558.94	18689.27	20881.4	24321.43	27174.14	20737.16	12244.81	16727.26	16269.83	11909.94	18178.19	18819.27	13586.57	19618.49	20030.74	15934.98	26431.04	16383.0	17681.08	22850.48	14561.8	10733.74	29124.6	23820.89	16496.96
CROCC	69.03	0.0	0.74	105.89	137.14	146.03	273.37	242.88	361.04	299.25	206.94	351.14	256.78	271.48	540.19	490.14	287.01	244.57	503.95	163.28	193.01	343.89	305.55	161.02	277.2	346.29	81.71	57.89	161.02	281.09	423.61	312.0	363.56	490.14	403.5	265.87	202.66	144.01	563.18	165.57	358.54	70.01	149.12	273.37	356.05	155.5	162.14	318.57	201.25	291.04	149.12	186.4	136.19	180.02	139.07
CSNK2B	2451.44	0.0	1.25	4450.27	2758.13	3257.52	3982.99	4836.35	6426.31	4543.8	5791.62	3716.2	4937.99	4671.57	7911.95	5913.33	6207.38	4543.8	4543.8	5255.91	4836.35	5112.16	3039.3	5441.3	4152.18	4869.99	4575.41	4388.98	4010.71	5995.9	3665.02	6037.61	5006.93	4704.07	5913.33	4736.79	4328.55	4419.52	4123.49	4239.45	4239.45	3467.27	3235.01	5006.93	5594.3	3614.55	6337.83	3901.01	4937.99	4769.75	4298.64	4481.23	5831.91	5555.65	3928.15
CUEDC2	954.43	0.0	0.69	764.36	981.29	981.29	1397.83	1594.73	2537.92	1685.71	2255.7	1662.49	1806.78	1794.29	3303.0	2627.46	2485.67	1551.09	1977.24	1143.1	1819.35	2287.2	1104.13	2255.7	1639.59	2047.0	1286.18	1561.89	1662.49	2915.45	1757.34	2573.36	2148.82	2090.03	2417.67	2061.24	1073.91	1572.76	1896.65	1111.82	1977.24	1388.16	1259.69	1794.29	2287.2	1313.23	2133.97	1781.89	2119.22	1651.0	1628.26	1119.56	2209.26	2287.2	1529.73
CUTA	2609.3	0.0	1.08	1066.48	2573.36	2739.08	6164.49	6079.61	12076.21	7911.95	8078.22	7485.11	7749.1	7749.1	15180.22	9673.69	10014.87	7589.61	8840.04	8421.31	7857.29	8078.22	4481.23	8598.28	6037.61	8078.22	6935.54	7433.4	6652.97	10084.54	6652.97	14262.1	8778.97	6935.54	8598.28	7589.61	5219.6	7280.4	7537.18	5147.73	6426.31	5633.22	4607.24	7485.11	11827.67	4869.99	9540.5	6294.04	8778.97	7485.11	6164.49	7032.37	8479.89	7642.41	5913.33
DBNDD1	142.01	0.0	0.47	40.36	138.1	131.51	432.53	429.54	511.0	791.35	540.19	295.11	389.72	403.5	1331.57	460.44	624.99	173.85	679.29	387.02	928.3	647.07	187.71	540.19	277.2	543.96	599.49	295.11	450.94	470.14	232.94	547.75	271.48	197.09	551.56	480.04	371.22	463.65	743.43	205.5	563.18	199.85	170.25	473.41	400.71	264.03	603.67	616.37	759.08	426.57	511.0	620.67	579.04	281.09	205.5
DDX41	607.87	0.0	0.78	1397.83	921.88	915.51	1340.84	1183.45	2090.03	1639.59	1639.59	1397.83	1662.49	1674.06	2573.36	1651.0	1857.6	1674.06	1551.09	1331.57	1950.0	1769.57	974.5	1572.76	1467.37	1757.34	1023.0	1001.93	1268.46	1819.35	1322.37	2209.26	1709.26	1519.15	1991.0	1508.65	1369.04	1561.89	1745.2	1268.46	1331.57	934.76	1191.69	1628.26	1143.1	1135.2	1639.59	1583.71	1447.15	1794.29	1378.57	1388.16	1883.54	1540.37	1457.23
EBNA1BP2	988.12	0.0	0.0	1167.14	1037.29	934.76	1295.13	1572.76	2032.85	1674.06	1457.23	1417.35	1757.34	1457.23	2209.26	2271.4	1733.13	1467.37	1487.87	1250.98	1572.76	1529.73	1119.56	1709.26	1551.09	1529.73	1119.56	1199.98	1359.57	1794.29	1216.75	2119.22	2090.03	1769.57	1662.49	1191.69	1216.75	1561.89	1378.57	1286.18	1127.35	1167.14	1268.46	1498.22	1721.16	1378.57	1143.1	1477.58	1295.13	1369.04	1519.15	1407.55	1225.22	1199.98	1233.75
EHMT2	384.34	1529.73	591.22	248.0	447.82	493.56	693.58	638.15	1111.82	647.07	915.51	884.29	616.37	1023.0	2163.77	1331.57	967.76	595.34	825.0	974.5	1183.45	1015.93	647.07	1023.0	587.13	1051.79	624.99	656.11	780.44	1295.13	748.61	1167.14	974.5	743.43	1340.84	1066.48	688.78	854.13	1167.14	674.59	743.43	559.28	647.07	1191.69	941.27	693.58	1286.18	813.63	934.76	684.02	909.17	780.44	1111.82	961.07	808.0
EIF2B3	376.41	0.0	0.09	162.14	392.44	400.71	599.49	392.44	743.43	551.56	490.14	470.14	447.82	518.15	753.83	693.58	638.15	607.87	490.14	447.82	525.39	583.07	563.18	559.28	457.25	521.76	567.1	536.45	532.74	591.22	363.56	555.41	616.37	476.71	463.65	476.71	503.95	521.76	409.15	412.0	412.0	438.59	406.31	575.03	684.02	376.41	466.88	483.38	476.71	473.41	555.41	559.28	536.45	483.38	457.25
EIF3I	2777.33	7081.29	2255.7	2664.15	3325.99	2855.44	4972.34	6337.83	6037.61	5329.3	7331.05	4512.4	6079.61	5292.48	7331.05	9279.58	7749.1	5041.77	6840.04	5076.84	5913.33	5913.33	4095.0	8078.22	5711.87	4671.57	7032.37	5479.15	6337.83	8778.97	5147.73	7032.37	6561.36	6164.49	7180.15	5995.9	3982.99	5441.3	5633.22	4268.94	5329.3	4010.71	4038.61	5633.22	8022.41	5255.91	7331.05	5112.16	5954.47	5329.3	5913.33	5329.3	5441.3	5366.37	3928.15
EMC10	1572.76	0.0	0.78	3349.13	2193.99	1467.37	3103.19	3614.55	6652.97	4769.75	4937.99	3564.78	3212.66	3303.0	5831.91	3768.09	5366.37	3768.09	4010.71	4066.71	4152.18	4095.0	1896.65	4639.29	3901.01	3928.15	5041.77	3372.43	3103.19	5183.54	3060.45	7485.11	3742.05	5183.54	4481.23	3874.05	4123.49	3955.48	3690.52	2777.33	3419.52	2104.58	2178.83	3982.99	5913.33	3190.46	4512.4	3124.78	3540.14	4010.71	2777.33	5112.16	4066.71	3928.15	3395.89
ERI3	860.08	0.0	0.72	947.83	1159.07	830.75	1397.83	1519.15	2240.11	1551.09	1883.54	1467.37	1806.78	1733.13	2335.28	2591.27	2287.2	1769.57	1605.83	1950.0	1721.16	1697.45	1407.55	1870.53	1697.45	1662.49	1417.35	1437.15	1437.15	2178.83	1709.26	2061.24	2018.8	1870.53	1977.24	1508.65	1651.0	1794.29	1551.09	1313.23	1508.65	1286.18	1350.18	1832.01	2209.26	1277.29	2090.03	1437.15	1769.57	1572.76	1519.15	2163.77	1977.24	1781.89	1508.65
ETFB	1104.13	0.0	0.62	1477.58	2417.67	1340.84	1794.29	2224.63	5041.77	2935.74	4298.64	1909.85	3039.3	3060.45	7537.18	2664.15	3491.39	2816.11	3491.39	2133.97	3124.78	3982.99	1304.15	4358.66	2178.83	3280.18	1477.58	2018.8	2520.38	5913.33	3325.99	3639.7	2400.97	4268.94	5183.54	2956.17	1733.13	2271.4	5995.9	1781.89	3901.01	2303.12	2537.92	3349.13	3982.99	2816.11	5147.73	2796.65	2573.36	3146.52	2701.35	2976.74	3103.19	4388.98	2573.36
FARSA	684.02	0.0	0.0	406.31	796.86	540.19	1304.15	1407.55	1909.85	1594.73	1417.35	1407.55	1331.57	1508.65	2148.82	2163.77	1883.54	1639.59	1662.49	1467.37	1769.57	1427.22	1088.92	1936.53	1508.65	1551.09	1498.22	1313.23	1304.15	1857.6	1407.55	2047.0	1806.78	1397.83	1551.09	1331.57	1662.49	1806.78	1617.0	1529.73	1498.22	825.0	1143.1	1757.34	1781.89	1127.35	1709.26	1508.65	1583.71	1427.22	1540.37	1733.13	1216.75	1359.57	1183.45
FBXL15	39.79	0.0	0.57	142.01	130.6	98.73	212.78	173.85	612.11	420.68	205.5	323.03	269.6	397.93	493.56	334.46	521.76	358.54	366.09	141.02	217.27	490.14	145.02	191.67	318.57	490.14	189.02	124.37	177.53	693.58	423.61	514.56	343.89	503.95	447.82	417.77	220.32	145.02	432.53	169.07	480.04	95.34	186.4	376.41	563.18	180.02	269.6	356.05	241.19	417.77	101.54	153.34	316.37	258.57	249.73
FIBP	884.29	0.0	0.39	579.04	1233.75	915.51	1208.34	1551.09	2255.7	1721.16	1870.53	1295.13	1685.71	1498.22	2645.74	2178.83	2209.26	1594.73	1617.0	1508.65	1733.13	1662.49	1096.5	1896.65	1427.22	1487.87	1583.71	1167.14	1457.23	2367.9	1286.18	1651.0	1769.57	1963.57	1896.65	1457.23	1081.39	1583.71	1508.65	1295.13	1127.35	1088.92	1023.0	1628.26	2271.4	1167.14	2193.99	1508.65	1963.57	1745.2	1259.69	1519.15	1857.6	1896.65	1295.13
FTSJ1	595.34	0.0	0.77	647.07	647.07	567.1	679.29	693.58	775.05	624.99	642.59	532.74	674.59	684.02	1066.48	713.11	708.18	698.41	638.15	624.99	567.1	638.15	521.76	813.63	603.67	713.11	684.02	679.29	559.28	748.61	587.13	928.3	723.08	540.19	669.92	723.08	595.34	703.28	688.78	684.02	607.87	511.0	583.07	743.43	612.11	656.11	785.88	616.37	708.18	599.49	723.08	656.11	688.78	642.59	612.11
GADD45GIP1	878.17	0.0	0.74	547.75	854.13	915.51	1651.0	2032.85	4181.07	2119.22	2935.74	2075.59	2835.7	2555.58	4639.29	3614.55	3639.7	2591.27	3540.14	2351.53	2255.7	3443.31	1487.87	2573.36	2193.99	3419.52	1427.22	2178.83	1936.53	4388.98	2319.15	4123.49	2537.92	2956.17	3665.02	2271.4	1605.83	2240.11	2163.77	1674.06	1909.85	1662.49	1540.37	2502.97	4704.07	1594.73	2915.45	2287.2	2573.36	2976.74	1844.76	2591.27	2915.45	2682.69	1857.6
IDH3G	511.0	0.0	0.93	1208.34	780.44	915.51	1388.16	1437.15	2502.97	1685.71	1561.89	1359.57	1639.59	1498.22	2335.28	1697.45	1806.78	1561.89	1639.59	1508.65	1819.35	1685.71	921.88	1685.71	1487.87	1832.01	1529.73	1216.75	1304.15	2018.8	1322.37	2119.22	1662.49	1540.37	1991.0	1651.0	1540.37	1628.26	1662.49	1208.34	1388.16	928.3	1119.56	1757.34	1923.14	1233.75	1721.16	1519.15	1359.57	1806.78	1498.22	1551.09	1745.2	1583.71	1407.55
IDI2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.54	46.5	0.0	24.63	22.59	11.21	9.2	55.49	28.45	1.23	0.0	1.58	6.41	8.85	2.05	0.0	34.51	0.0	9.93	22.59	7.17	0.0	56.28	7.82	28.04	1.95	2.68	38.4	18.03	0.0	0.0	5.77	0.0	0.0	0.0	0.0	21.94	0.0	0.0	53.95	8.51	26.47	1.53	0.0	0.0	25.91	24.81	0.0
ISOC2	665.29	0.0	0.34	208.38	460.44	417.77	1183.45	1540.37	2319.15	1628.26	1832.01	1529.73	2004.85	1685.71	3190.46	1639.59	2451.44	1651.0	1127.35	2303.12	1745.2	1477.58	1104.13	1936.53	1662.49	1757.34	1225.22	1540.37	1359.57	2468.49	1322.37	2915.45	1628.26	1259.69	2417.67	1674.06	1250.98	1769.57	1583.71	1216.75	1350.18	928.3	1250.98	2061.24	2664.15	1159.07	1662.49	1594.73	1639.59	1685.71	988.12	1651.0	2384.37	1844.76	1191.69
KLK3	0.0	0.0	0.0	0.0	0.0	163.28	772940.66	881742.8	1345768.59	1116072.03	1212874.47	800198.39	845824.19	887875.81	373305.21	389157.95	834179.46	985160.01	649962.87	875652.15	1063212.58	731246.37	691801.16	1187913.85	1093103.58	1139523.1	906531.99	1327240.99	731246.37	1147449.11	925580.18	1412675.8	1238359.56	1327240.99	731246.37	800198.39	851707.37	985160.01	845824.19	805764.22	919186.72	767601.56	589853.66	736332.6	1212874.47	654483.73	985160.01	751804.53	1048575.0	1345768.59	711250.37	1472666.19	1229805.58	925580.18	794671.01
LEPRE1	336.79	0.0	0.68	303.44	221.86	363.56	525.39	432.53	473.41	305.55	878.17	438.59	595.34	368.65	941.27	599.49	723.08	406.31	450.94	638.15	387.02	551.56	334.46	624.99	420.68	454.09	343.89	376.41	353.59	902.89	368.65	438.59	665.29	540.19	743.43	684.02	429.54	447.82	426.57	379.04	414.87	271.48	389.72	587.13	514.56	514.56	620.67	438.59	376.41	379.04	423.61	457.25	532.74	555.41	312.0
MECR	289.02	0.0	0.06	314.17	358.54	281.09	334.46	316.37	718.08	607.87	486.75	463.65	540.19	447.82	890.44	693.58	571.05	426.57	679.29	460.44	507.46	514.56	493.56	521.76	366.09	547.75	299.25	366.09	389.72	620.67	361.04	438.59	575.03	486.75	599.49	400.71	244.57	555.41	403.5	457.25	351.14	348.71	346.29	555.41	507.46	463.65	559.28	483.38	435.55	432.53	532.74	480.04	480.04	432.53	420.68
